"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume","SLB.Adjusted"
"2007-01-03",63.01,63.02,60.06,60.82,13473900,55.23
"2007-01-04",60.59,60.68,59.25,59.3,13932800,53.85
"2007-01-05",59.8,60.07,59.1,59.2,10295500,53.76
"2007-01-08",60.03,60.2,58.58,58.67,11255600,53.28
"2007-01-09",57.77,58.65,57.03,58.19,16272000,52.84
"2007-01-10",57.93,58.9,55.68,57.03,13254500,51.79
"2007-01-11",57.3,58.66,56.31,56.52,14208800,51.33
"2007-01-12",57.24,58.05,57.01,57.89,15343200,52.57
"2007-01-16",57.4,58.2,57.15,57.79,12805900,52.48
"2007-01-17",58,58.91,58,58.48,14842900,53.11
"2007-01-18",58.9,59.38,57.41,57.9,13552800,52.58
"2007-01-19",59.45,61.11,58.84,61,18668500,55.4
"2007-01-22",61.6,62.89,60.69,61,15783100,55.4
"2007-01-23",62.55,63.92,62.46,63.62,13556200,57.78
"2007-01-24",63.5,64.37,62.28,64.01,10901500,58.13
"2007-01-25",63.8,63.9,62.47,62.62,8387200,56.87
"2007-01-26",62.95,63.49,62.26,62.65,7423100,56.89
"2007-01-29",62.7,63.22,61.8,62.02,7297600,56.32
"2007-01-30",62.41,63.7,62.18,63.46,9442700,57.63
"2007-01-31",63.11,63.77,62.67,63.49,12777800,57.66
"2007-02-01",63.6,64.5,63.23,64.39,11514400,58.48
"2007-02-02",64.67,65.6,63.95,65.12,8848600,59.14
"2007-02-05",65.5,65.71,64.76,65.12,6071800,59.14
"2007-02-06",65.75,65.78,64.31,64.87,9343600,58.91
"2007-02-07",65.05,65.79,63.9,64.45,6593900,58.53
"2007-02-08",64.86,65.22,63.79,64.95,6947900,58.98
"2007-02-09",64.9,65.33,64.22,64.46,7720300,58.54
"2007-02-12",63.87,63.87,63.21,63.6,9093800,57.76
"2007-02-13",63.86,64.67,63.86,64.6,6641400,58.67
"2007-02-14",64.68,65.33,64.15,64.66,7184000,58.72
"2007-02-15",64.31,64.44,63.55,63.79,9088300,57.93
"2007-02-16",63.79,63.94,63.12,63.33,7350900,57.67
"2007-02-20",62.65,62.66,61.8,62.34,9200900,56.77
"2007-02-21",62.16,63.57,62.15,63.55,8198500,57.87
"2007-02-22",63.37,65.18,63.05,64.97,10270200,59.16
"2007-02-23",65.31,65.75,64.58,64.58,7536400,58.81
"2007-02-26",64.99,65.7,64.5,65.2,7092300,59.37
"2007-02-27",64.14,64.45,61.93,62.8,12576100,57.19
"2007-02-28",62.8,63.46,62.31,62.8,11163300,57.19
"2007-03-01",62,64,61.81,63.42,11055500,57.75
"2007-03-02",63.19,63.6,61.97,62.25,9234400,56.69
"2007-03-05",61.59,62.55,61,61.67,10379200,56.16
"2007-03-06",62.4,63.54,62.31,63.28,8057900,57.63
"2007-03-07",63.16,66,63.02,65.06,11143900,59.25
"2007-03-08",65.5,66,64.92,65.68,8212900,59.81
"2007-03-09",65.8,65.87,64.65,65.1,8591100,59.28
"2007-03-12",64.81,65.3,64.2,65,5505200,59.19
"2007-03-13",65.01,65.73,63.72,64.11,8565700,58.38
"2007-03-14",64.26,65.2,63.62,64.93,12327800,59.13
"2007-03-15",64.93,65.15,64.02,64.4,7776200,58.64
"2007-03-16",64.41,65.05,64.06,64.48,9474100,58.72
"2007-03-19",65.17,66.55,65.17,66.24,8081400,60.32
"2007-03-20",66.15,66.7,64.78,65.8,12354700,59.92
"2007-03-21",66.1,68.5,65.9,67.92,10651400,61.85
"2007-03-22",68.06,69.71,68,68.99,12763900,62.82
"2007-03-23",69.35,69.69,68.27,69.1,6924900,62.92
"2007-03-26",69.25,69.65,68.61,69.58,10039800,63.36
"2007-03-27",68.92,70.1,68.49,69.86,8643800,63.62
"2007-03-28",70.25,70.5,69.32,69.32,10932800,63.13
"2007-03-29",69.5,71.17,69.24,70.67,7943700,64.35
"2007-03-30",69.92,70.27,69,69.1,8111200,62.92
"2007-04-02",69.1,70.91,68.25,70.82,10567000,64.49
"2007-04-03",70.56,71.2,70.07,70.95,6226700,64.61
"2007-04-04",70.24,71.53,70.01,71.39,6502100,65.01
"2007-04-05",71.22,72.37,71,71.84,7056200,65.42
"2007-04-09",72,72.64,71.44,71.57,6288800,65.17
"2007-04-10",71.64,73.19,71.59,73.13,8286000,66.59
"2007-04-11",72.6,73.98,72.53,72.99,9657000,66.47
"2007-04-12",73.05,75.37,72.37,75.31,9372500,68.58
"2007-04-13",75.2,76.26,74.77,76,8476400,69.21
"2007-04-16",76.25,78,75.32,77.57,13571300,70.64
"2007-04-17",77.66,78.25,77.24,77.5,12196100,70.57
"2007-04-18",76.62,76.7,74.34,74.91,15764400,68.22
"2007-04-19",74.5,74.55,73.44,74.32,12048400,67.68
