"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2007-03-23",118.43,119.08,118.18,118.56,206200,92.66
"2007-03-26",118.4,118.4,116.77,117.92,224500,92.16
"2007-03-27",117.67,117.92,116.51,116.71,203300,91.21
"2007-03-28",116.5,116.5,115.03,115.57,517000,90.32
"2007-03-29",116.4,117.12,115.93,116.37,413800,90.94
"2007-03-30",116.12,116.61,114.77,115.83,415700,90.52
"2007-04-02",106,108.08,104.52,105.95,2196700,82.8
"2007-04-03",106.1,106.62,105.23,106.27,1106300,83.05
"2007-04-04",105.85,106.07,104.3,104.6,878600,81.75
"2007-04-05",104.08,106.22,104.08,105.99,627700,82.83
"2007-04-09",105.71,105.82,104.75,105.27,574600,82.27
"2007-04-10",105.27,106.27,105.25,106.09,571900,82.91
"2007-04-11",106.31,106.31,105.25,105.36,530500,82.34
"2007-04-12",105.08,105.12,104,104.64,683400,81.78
"2007-04-13",104.58,105.93,104.19,105.88,589400,82.75
"2007-04-16",106.21,108.47,106.1,107.57,597800,84.07
"2007-04-17",109,109.99,107.49,109.12,981100,85.28
"2007-04-18",110,113.5,110,112.1,1118400,87.61
"2007-04-19",111.55,113.13,111.35,112.56,856200,87.97
"2007-04-20",113.8,113.95,112.7,113.59,642300,88.77
"2007-04-23",113.6,113.6,111.9,112.11,529500,87.61
"2007-04-24",112.75,113.46,111.49,112.1,569500,87.61
"2007-04-25",112.1,113.13,112.06,113.07,480900,88.37
"2007-04-26",112.5,113.1,111.38,112.42,423900,87.86
"2007-04-27",109.96,112.13,109.96,111.62,792300,87.23
"2007-04-30",112.91,113,111.34,111.34,896700,87.01
"2007-05-01",111.35,112.38,110.84,111.92,559300,87.47
"2007-05-02",112.1,112.74,111.77,112.56,293800,87.97
"2007-05-03",113.05,113.31,112.23,113.05,296700,88.35
"2007-05-04",113.24,113.7,112.8,113.62,320800,88.8
"2007-05-07",113.62,114.33,113.28,113.48,299500,88.69
"2007-05-08",112.82,113.05,112.48,112.75,378700,88.12
"2007-05-09",112.7,113.34,112.53,113.08,398000,88.37
"2007-05-10",112.43,112.55,111.32,111.39,425200,87.05
"2007-05-11",111.64,112.42,111.36,112.05,358900,87.57
"2007-05-14",112.04,112.86,111.29,111.71,383000,87.3
"2007-05-15",111.99,113.05,111.11,111.15,453100,86.86
"2007-05-16",111.48,112.15,110.94,112.12,444900,87.62
"2007-05-17",112.4,112.78,112.07,112.41,395800,87.85
"2007-05-18",113.25,113.26,112.3,112.7,377800,88.08
"2007-05-21",112.55,113.01,111.73,112.94,487900,88.26
"2007-05-22",112.94,113.48,112.02,113.11,492700,88.4
"2007-05-23",113.12,113.59,112.72,112.86,378100,88.2
"2007-05-24",112.84,113.28,110.88,110.98,579800,86.73
"2007-05-25",110.88,111.3,110.2,110.75,413000,86.55
"2007-05-29",110.9,112.96,110.42,110.88,512000,86.65
"2007-05-30",110.01,111.22,109.64,110.75,515500,87.02
"2007-05-31",111.06,111.53,110.2,110.43,662700,86.77
"2007-06-01",110.68,111.42,110.57,111.34,669900,87.49
"2007-06-04",111.35,111.35,110.09,110.56,503000,86.87
"2007-06-05",110.56,110.81,109.01,109.01,564100,85.66
"2007-06-06",109.02,109.23,107.99,108.2,542700,85.02
"2007-06-07",107.8,108,107.14,107.29,600200,84.3
"2007-06-08",107.4,109.64,107.39,109.57,639000,86.1
"2007-06-11",109.57,110.12,108.87,109.51,348000,86.05
"2007-06-12",109.47,109.48,107.22,107.22,689200,84.25
"2007-06-13",107.51,109.55,107.38,109.55,511200,86.08
"2007-06-14",109.55,109.68,108.66,108.82,654500,85.51
"2007-06-15",109.02,109.73,108.69,108.75,517800,85.45
"2007-06-18",108.36,108.99,108.25,108.68,557100,85.4
"2007-06-19",108.69,109.55,108.47,109.39,461400,85.95
"2007-06-20",109.48,109.68,107.47,107.65,620800,84.59
"2007-06-21",107.65,109,107.2,108.52,512000,85.27
"2007-06-22",107.91,108.21,106.74,106.94,657000,84.03
"2007-06-25",107.98,108.5,106.41,106.78,477100,83.9
"2007-06-26",107.05,108.15,106.71,107.21,480300,84.24
"2007-06-27",106.99,108.59,106.91,108.39,552500,85.17
"2007-06-28",108.39,109,107.4,108.33,310400,85.12
"2007-06-29",108.2,108.77,106.44,106.9,564800,84
"2007-07-02",107.29,108.64,107.29,108.54,390000,85.29
"2007-07-03",108.55,109.44,108.38,109.2,249500,85.81
"2007-07-05",109.19,109.2,107.47,108.04,388300,84.89
"2007-07-06",108.14,108.91,107.6,108.7,412100,85.41
"2007-07-09",108.7,108.77,107.55,107.96,537300,84.83
"2007-07-10",107.68,107.68,106.25,106.54,755200,83.71
"2007-07-11",106.22,107.8,106.03,107.73,817000,84.65
"2007-07-12",110.61,111.77,107.73,111.74,1260700,87.8
"2007-07-13",111.33,112.06,110.67,111.72,535400,87.79
"2007-07-16",111.23,112.81,111.04,112.12,414900,88.1
"2007-07-17",112.42,113.69,111.48,112.69,806100,88.55
"2007-07-18",112.05,112.67,109.26,110.5,886300,86.83
"2007-07-19",111.39,111.5,110.05,110.74,789200,87.02
"2007-07-20",110.53,110.73,108.59,108.71,968600,85.42
"2007-07-23",109.6,109.85,108.25,108.32,635100,85.11
"2007-07-24",107.81,107.99,105.17,105.55,1295600,82.94
"2007-07-25",106.27,107.33,105.23,107.06,1275300,84.12
"2007-07-26",105.83,106.39,103.6,105.04,1254900,82.54
"2007-07-27",106.75,106.75,104.89,105.4,1177100,82.82
"2007-07-30",105.17,107.61,103.63,107.16,1039700,84.2
"2007-07-31",108.16,108.47,106.1,106.29,1368200,83.52
"2007-08-01",105.65,106.76,104.16,106.53,953600,83.71
"2007-08-02",106.57,107.23,104.2,105.37,1380500,82.8
"2007-08-03",105.09,105.33,99.85,99.85,1271600,78.46
"2007-08-06",100.57,106.93,100.12,106.93,1245200,84.02
"2007-08-07",106.06,107.5,104.69,106.27,1340900,83.5
"2007-08-08",106.28,109.23,105.56,107.35,1268100,84.35
"2007-08-09",104.25,106.46,99,99.95,1591700,78.54
"2007-08-10",97.26,103.71,97.26,102.39,852100,80.45
"2007-08-13",104.38,104.38,101.33,101.6,778400,79.83
"2007-08-14",101.81,102.06,99.6,100.04,824000,78.61
"2007-08-15",100.25,103.5,99.66,100.55,693900,79.01
"2007-08-16",100.35,108.54,100.04,108.43,1308700,85.2
"2007-08-17",109,115.81,109,111.67,1579800,87.75
"2007-08-20",111.91,112.08,106.6,107.7,883700,84.63
"2007-08-21",107.25,109.94,106.57,108.57,521300,85.31
"2007-08-22",109.91,110.37,106.11,108.29,485900,85.09
"2007-08-23",108.62,109.27,105.55,106.09,800500,83.36
"2007-08-24",106.87,108.28,105.33,108.04,582100,84.89
