"","WLP.Open","WLP.High","WLP.Low","WLP.Close","WLP.Volume","WLP.Adjusted"
"2007-01-03",78.42,78.85,77.65,78.19,3356500,73.8
"2007-01-04",78.19,78.42,77.73,77.87,2157600,73.5
"2007-01-05",78.55,78.95,78.29,78.49,3251600,74.08
"2007-01-08",78.35,79.05,78.25,78.96,2136200,74.53
"2007-01-09",78.87,78.87,75.5,76.21,8980400,71.93
"2007-01-10",75.65,76.59,75.04,76.31,2950800,72.03
"2007-01-11",76.67,77.45,76.58,77.34,2025300,73
"2007-01-12",76.95,78.03,76.49,77.8,3051700,73.43
"2007-01-16",77.85,78.81,77.8,78.45,2183500,74.05
"2007-01-17",78.65,79,78.43,78.78,2412600,74.36
"2007-01-18",78.46,78.46,76.75,76.83,3116000,72.52
"2007-01-19",76.81,77.51,76.7,77.32,2857600,72.98
"2007-01-22",77.11,77.4,76.55,76.81,4430900,72.5
"2007-01-23",76.65,77.42,76.03,77.03,2116000,72.71
"2007-01-24",74.69,77.74,73.88,76,6937900,71.73
"2007-01-25",75.75,76.99,75.45,76,3621000,71.73
"2007-01-26",76.2,76.45,75.87,75.98,3077100,71.71
"2007-01-29",76,76.71,75.96,76.45,2287800,72.16
"2007-01-30",76.77,77.93,76.55,77.85,2692200,73.48
"2007-01-31",77.9,78.39,77.52,78.38,2600300,73.98
"2007-02-01",78.15,79.48,77.93,79.31,3682700,74.86
"2007-02-02",79.31,79.64,78.57,78.71,2659200,74.29
"2007-02-05",79.48,80.35,78.78,79.9,5749600,75.41
"2007-02-06",80.05,80.75,80,80.15,3369900,75.65
"2007-02-07",80.42,82,80.29,81.8,4746800,77.21
"2007-02-08",81.5,82.26,80.99,81.5,2914700,76.92
"2007-02-09",81.59,81.85,80.57,80.68,2551500,76.15
"2007-02-12",80.98,81.18,80.44,80.69,2250200,76.16
"2007-02-13",80.98,81.06,80.56,80.87,1928800,76.33
"2007-02-14",80.69,81.29,80.27,80.98,2696600,76.43
"2007-02-15",80.98,82.96,80.98,82.41,3901400,77.78
"2007-02-16",81.95,82.94,81.75,82.25,2358600,77.63
"2007-02-20",83.41,84.15,81.86,81.9,1731500,77.3
"2007-02-21",81.4,81.86,81.33,81.69,2322200,77.1
"2007-02-22",82,82.05,81.36,81.76,1912700,77.17
"2007-02-23",81.76,81.78,81.03,81.5,1514600,76.92
"2007-02-26",81.05,81.33,80.61,81.13,2645100,76.58
"2007-02-27",80.8,81,77.01,77.9,5461000,73.53
"2007-02-28",77.91,79.87,77.91,79.39,4287900,74.93
"2007-03-01",79.4,80.99,78.74,80.81,3869100,76.27
"2007-03-02",82.71,82.71,80,80.06,2839500,75.57
"2007-03-05",82.77,82.77,79.28,80.29,3039900,75.78
"2007-03-06",80.42,80.64,79.74,80.08,3922400,75.58
"2007-03-07",79.75,80.19,79.08,79.76,3335900,75.28
"2007-03-08",80.1,80.5,79.11,79.51,3530800,75.05
"2007-03-09",80.12,80.12,78.16,78.32,3188900,73.92
"2007-03-12",78.52,79.28,78.37,79,2484200,74.57
"2007-03-13",78.5,79.14,77.74,77.9,2793600,73.53
"2007-03-14",78.15,78.4,77.45,78.09,3255200,73.71
"2007-03-15",77.85,78.5,77.85,78.31,2473800,73.91
"2007-03-16",78.7,79.25,78.34,78.8,4757400,74.38
"2007-03-19",79.1,79.4,78.32,78.99,2751500,74.56
"2007-03-20",78.95,79.02,78.01,79.02,2174400,74.58
"2007-03-21",78.67,80,78.4,79.85,3392000,75.37
"2007-03-22",80.99,81.31,79.81,80.91,2790300,76.37
"2007-03-23",80.91,82.09,80.75,81.67,3163000,77.09
"2007-03-26",81.92,82.25,81.21,81.89,1570800,77.29
"2007-03-27",81.1,81.59,80.56,81.44,2650100,76.87
"2007-03-28",81.35,81.97,81.23,81.62,2526100,77.04
"2007-03-29",81.62,81.62,79.17,80.41,4858000,75.9
"2007-03-30",80.4,81.34,80.4,81.1,3168300,76.55
"2007-04-02",81,81.45,80.72,81.03,2011400,76.48
"2007-04-03",81.5,82.21,81.21,82.18,1883100,77.57
"2007-04-04",81.98,82.73,81.94,82.56,1941600,77.93
"2007-04-05",82.31,82.59,81.57,81.92,2213500,77.32
"2007-04-09",81.97,82.43,81.6,82.25,1946300,77.63
"2007-04-10",81.9,82.17,81.61,81.94,1660500,77.34
"2007-04-11",81.8,81.9,80.72,80.95,2208500,76.41
"2007-04-12",80.96,82,80.94,81.86,1816000,77.26
"2007-04-13",83.74,83.74,81.09,82.24,1900800,77.62
"2007-04-16",82.51,83.55,82.13,83.55,2194900,78.86
"2007-04-17",83.33,84.55,83.14,84.06,2565600,79.34
"2007-04-18",84.06,85.08,83.83,84.6,4422400,79.85
"2007-04-19",83.86,83.86,81.5,83.05,3810900,78.39
"2007-04-20",86.25,86.25,82.47,82.85,4222500,78.2
"2007-04-23",82.8,83.61,82.26,82.96,2544600,78.3
"2007-04-24",82.97,83.67,82.21,82.24,3967100,77.62
"2007-04-25",79,79.75,78.55,78.84,10421900,74.41
"2007-04-26",77.98,81.05,77.98,79.02,7419000,74.58
"2007-04-27",78.98,79.62,78.92,79.19,3023600,74.74
"2007-04-30",79.26,79.52,78.97,78.97,4510900,74.54
"2007-05-01",79.17,80.12,79.05,79.72,3897600,75.24
"2007-05-02",80,81.3,79.61,81.09,3102500,76.54
"2007-05-03",81.05,81.23,80.48,81.21,3225200,76.65
"2007-05-04",79.71,81.7,78.95,81.43,2015400,76.86
"2007-05-07",82.02,82.18,81.33,82.06,2825400,77.45
"2007-05-08",82.22,82.6,81.72,81.97,2212200,77.37
"2007-05-09",81.93,82.44,81.53,82.15,1796100,77.54
"2007-05-10",82.14,82.48,81.87,82.15,2283100,77.54
"2007-05-11",82,83.69,81.9,83.5,4310300,78.81
"2007-05-14",82,83.65,81.98,83.5,2879400,78.81
"2007-05-15",83.5,84.05,83.47,83.55,2455200,78.86
"2007-05-16",84,85.16,83.95,84.86,4577300,80.1
"2007-05-17",84.85,85.45,84.15,85,2718400,80.23
"2007-05-18",85.01,85.25,84.58,85.07,1735100,80.29
"2007-05-21",84.9,84.99,84.3,84.43,2216800,79.69
"2007-05-22",84.5,84.68,84.35,84.59,1733800,79.84
"2007-05-23",84.4,84.81,84.06,84.47,1783700,79.73
"2007-05-24",84.32,85,84.14,84.48,2088200,79.74
"2007-05-25",84.5,84.88,83.96,83.98,2506900,79.27
"2007-05-29",84.1,84.35,83.52,84.21,2388500,79.48
"2007-05-30",84.1,84.74,84.03,84.4,2561700,79.66
"2007-05-31",82.3,83.05,81.34,81.41,12683700,76.84
"2007-06-01",81.44,82.25,81.44,81.78,7973300,77.19
"2007-06-04",81.7,81.89,81.02,81.22,4352100,76.66
"2007-06-05",81.24,81.57,81.08,81.44,5837900,76.87
"2007-06-06",81.33,81.76,81.01,81.45,5279600,76.88
"2007-06-07",81.55,82.23,80.96,81.03,5058300,76.48
"2007-06-08",80.75,81.9,80.75,81.56,3985800,76.98
"2007-06-11",81.54,81.55,80.8,81.31,3825100,76.75
"2007-06-12",80.85,81.48,80.8,80.93,2769000,76.39
"2007-06-13",81.04,81.39,80.75,81.37,5070400,76.8
"2007-06-14",81.9,82,81.05,81.23,2644300,76.67
"2007-06-15",81.29,81.73,81,81.04,4105600,76.49
"2007-06-18",81.2,81.45,80.88,81,3981900,76.45
"2007-06-19",80.68,81.1,80.63,80.99,2925200,76.44
"2007-06-20",81.34,81.9,80.26,80.34,7515900,75.83
"2007-06-21",80.31,80.4,79.75,80.23,6294400,75.73
"2007-06-22",80.11,80.18,79.29,79.51,3773400,75.05
"2007-06-25",79.69,80.42,79.4,80.08,3823000,75.58
"2007-06-26",80.16,81.07,80.02,80.76,3351200,76.23
"2007-06-27",80,80.83,79.95,80.6,2748100,76.08
"2007-06-28",80.65,81.18,80.07,80.37,2825500,75.86
"2007-06-29",81.1,81.1,79.04,79.83,3630500,75.35
"2007-07-02",80.28,81.27,79.89,81.07,2759300,76.52
"2007-07-03",81.07,81.23,80.78,81.04,1103700,76.49
"2007-07-05",80.93,81.87,80.85,81.7,3666300,77.11
"2007-07-06",81.74,82.67,81.37,82.23,2112600,77.61
"2007-07-09",82.05,82.39,80.97,81.52,2637300,76.94
"2007-07-10",81.23,81.98,80.41,80.44,3180800,75.92
"2007-07-11",79,81.01,78.55,81,2351100,76.45
"2007-07-12",81.04,82.25,80.98,82.23,2736300,77.61
"2007-07-13",82.22,82.22,81.42,81.78,1808100,77.19
"2007-07-16",81.78,82.38,81.57,82.01,2697400,77.41
"2007-07-17",81.98,82.18,81.64,81.95,2286100,77.35
"2007-07-18",82.7,83.4,82.35,83.07,4631900,78.41
"2007-07-19",82,82.26,81.69,81.85,2781900,77.26
"2007-07-20",80.35,83.55,79.96,81.2,3165800,76.64
"2007-07-23",81.34,81.9,80.84,81.59,1671600,77.01
"2007-07-24",80.09,83.46,80.09,82.17,4757100,77.56
"2007-07-25",80.48,80.48,78.4,79.99,7630300,75.5
"2007-07-26",79.05,79.71,77.83,78.15,5193300,73.76
"2007-07-27",78.27,78.5,75.93,75.93,4667700,71.67
"2007-07-30",75.5,75.92,74.58,75.5,5136000,71.26
"2007-07-31",75.82,76.15,75.06,75.12,5245400,70.9
"2007-08-01",75.16,75.64,73.36,74.45,8124100,70.27
"2007-08-02",74.63,75.94,74.61,75.84,4978400,71.58
"2007-08-03",75.63,76.82,74.81,75.05,5312300,70.84
"2007-08-06",73.15,76.65,72.9,76.3,8498600,72.02
"2007-08-07",74.41,77.51,74.41,76.89,4036500,72.57
"2007-08-08",76.42,77.71,75.95,77.31,4175900,72.97
"2007-08-09",75.18,77.03,75.18,75.78,5257600,71.53
"2007-08-10",73.9,77.75,73.43,77.02,3382400,72.7
"2007-08-13",76.4,78.39,76.33,77.77,3633400,73.4
"2007-08-14",78.1,78.28,76.44,76.97,3809600,72.65
"2007-08-15",77.39,79.83,77.39,78.39,6364800,73.99
"2007-08-16",77.35,78.39,76.91,78.04,5958200,73.66
"2007-08-17",79.39,79.66,76,79.55,4024800,75.08
"2007-08-20",79.5,79.53,78.91,79.05,1984400,74.61
"2007-08-21",79.2,79.31,77.47,77.62,4070200,73.26
"2007-08-22",78.4,78.75,76.75,77.44,4134300,73.09
"2007-08-23",77.2,77.72,76.7,77.37,2478900,73.03
"2007-08-24",77.65,78.38,77.33,78.18,1890400,73.79
"2007-08-27",78.24,78.63,77.88,78.09,2050400,73.71
"2007-08-28",78.64,78.8,77.63,78,3234100,73.62
"2007-08-29",78.3,79.16,78.16,79.15,2281100,74.71
"2007-08-30",79.15,79.95,78.54,79.67,2007800,75.2
"2007-08-31",80,80.74,79.72,80.59,2357000,76.07
"2007-09-04",80.83,82.02,80.59,81.68,2707300,77.09
"2007-09-05",81.2,81.61,80.6,81,3058800,76.45
"2007-09-06",81.38,81.38,79.7,79.76,4638000,75.28
"2007-09-07",79.87,79.87,78.94,79.06,3796600,74.62
"2007-09-10",79.25,79.77,79.05,79.24,2959300,74.79
"2007-09-11",79.31,79.99,78.79,79.72,2480000,75.24
"2007-09-12",79.55,80.27,79.1,79.23,3501500,74.78
"2007-09-13",79.5,80.24,78.94,79.58,3435800,75.11
"2007-09-14",79.41,79.62,78.96,79.32,4291000,74.87
"2007-09-17",78.9,79.36,78.44,79.06,2441500,74.62
"2007-09-18",79.4,80.72,79.4,80.67,3810600,76.14
"2007-09-19",80.97,80.97,79.85,79.92,3989300,75.43
"2007-09-20",79.7,80.24,76.62,79.17,3475300,74.73
"2007-09-21",79.5,80.04,79.17,79.89,4645200,75.41
"2007-09-24",79.73,81.09,79.59,80.73,2681700,76.2
"2007-09-25",80.67,81.55,80.37,80.66,5795900,76.13
"2007-09-26",79.85,80.09,79.03,79.56,3676400,75.09
"2007-09-27",79.8,79.89,79.26,79.65,1955000,75.18
"2007-09-28",79.75,80.01,78.78,78.92,4175200,74.49
"2007-10-01",79.67,79.67,78.63,78.95,2568900,74.52
"2007-10-02",78.7,78.77,76.27,77.43,4897300,73.08
"2007-10-03",77.1,77.16,75.68,76.56,4695800,72.26
"2007-10-04",76.25,78.63,75.08,78.32,4022900,73.92
"2007-10-05",78.23,78.69,78.13,78.46,3137800,74.06
"2007-10-08",78.46,79.29,78.18,78.91,1616800,74.48
"2007-10-09",79.27,79.65,78.8,79.65,2195900,75.18
"2007-10-10",79.45,80.36,79.25,80.14,2951700,75.64
"2007-10-11",80.5,80.58,78.41,78.56,3733800,74.15
"2007-10-12",78.9,79.75,78.85,79.59,2546900,75.12
"2007-10-15",79.45,79.47,78.45,78.96,2443900,74.53
"2007-10-16",78.96,79.12,77.73,78.49,2144900,74.08
"2007-10-17",78.71,79.26,78.56,78.89,2201500,74.46
"2007-10-18",78.75,80.03,78.64,79.66,2514500,75.19
"2007-10-19",79.38,79.84,78.71,78.78,2793600,74.36
"2007-10-22",78.44,78.78,78.07,78.69,2007100,74.27
"2007-10-23",78.61,79.67,78.35,79.48,2651100,75.02
"2007-10-24",78.39,79.21,77.43,78.34,3320600,73.94
"2007-10-25",78.5,79.15,77.35,78.64,2938500,74.23
"2007-10-26",78.95,78.95,77.66,78.7,2775100,74.28
"2007-10-29",78.85,79.63,78.58,79.08,2614600,74.64
"2007-10-30",79.07,79.62,78.9,79.02,2846100,74.58
"2007-10-31",79.1,79.47,77.4,79.23,8395400,74.78
"2007-11-01",79.21,79.53,77.9,78.06,3537600,73.68
"2007-11-02",78.06,78.38,77.46,78.31,2540800,73.91
"2007-11-05",77.65,79.22,77.65,78.72,2107100,74.3
"2007-11-06",78.66,79.01,78.07,79.01,1837400,74.57
"2007-11-07",78.39,79.4,77.95,78.05,2484000,73.67
"2007-11-08",78,79.23,77.98,79.03,3470500,74.59
"2007-11-09",78.27,80.74,78.27,79.9,4172300,75.41
"2007-11-12",79.92,81.24,79.39,80.9,3640600,76.36
"2007-11-13",81.42,81.6,80.72,81.59,3267300,77.01
"2007-11-14",81.92,82.14,80.85,81.6,2883800,77.02
"2007-11-15",81.15,82,80.96,81.16,2488100,76.6
"2007-11-16",81.49,82.18,80.92,81.63,3107000,77.05
"2007-11-19",82.2,82.8,81.6,81.99,2907100,77.39
"2007-11-20",81.96,82.88,81.67,82.21,2704000,77.6
"2007-11-21",81.7,82.75,81.27,81.27,2374800,76.71
"2007-11-23",81.55,81.9,81.28,81.76,1053300,77.17
"2007-11-26",81.6,83,81.3,82.15,2732400,77.54
"2007-11-27",82.41,83.73,82.15,83.63,3366000,78.94
"2007-11-28",84.09,84.5,83.35,83.78,3816100,79.08
"2007-11-29",83.68,84.89,83.25,84.3,2432700,79.57
"2007-11-30",84.47,84.95,83.84,84.21,3312200,79.48
"2007-12-03",83.5,84.99,83.5,84.24,2141100,79.51
"2007-12-04",83.57,84.75,83.57,83.86,2403000,79.15
"2007-12-05",84.31,84.63,83.74,84.47,2127900,79.73
"2007-12-06",84.44,86.2,84.26,86.11,2855700,81.28
"2007-12-07",86.18,87.32,85.79,85.97,2408000,81.14
"2007-12-10",86.34,86.34,85.02,85.78,1695500,80.96
"2007-12-11",85.77,86.32,84.92,84.92,3227300,80.15
"2007-12-12",86.65,86.65,84.44,84.75,4679200,79.99
"2007-12-13",84.5,86.76,84.14,86.63,4927400,81.77
"2007-12-14",86.35,87.75,86.06,86.16,3458600,81.32
"2007-12-17",85.96,86.5,84.91,84.96,3447500,80.19
"2007-12-18",85.19,86.29,85.05,86.13,3073300,81.29
"2007-12-19",86.13,87.03,85.82,86.57,1892000,81.71
"2007-12-20",87.03,88.56,86.8,88.49,3762700,83.52
"2007-12-21",89.54,89.95,89.05,89.46,5702100,84.44
"2007-12-24",89.61,89.95,89.44,89.72,1244900,84.68
"2007-12-26",89.92,89.93,89.03,89.57,1441600,84.54
"2007-12-27",89.33,89.36,87.66,87.74,1866700,82.81
"2007-12-28",88.44,88.69,87.39,88.1,1169400,83.15
"2007-12-31",87.76,88.21,87.45,87.73,1333800,82.81
"2008-01-02",87.84,88.03,86.75,87,3383000,82.12
"2008-01-03",86.95,88.31,86.57,88,2501400,83.06
"2008-01-04",88.05,88.65,87.18,87.57,3027600,82.65
"2008-01-07",87.93,89.32,87.37,89.28,2892800,84.27
"2008-01-08",89.54,90,86.78,88.48,4124600,83.51
"2008-01-09",88.83,88.83,87.43,88.23,4669900,83.28
"2008-01-10",87.74,89.58,87.67,88.37,4080200,83.41
"2008-01-11",87.73,88.53,87.52,87.63,4665400,82.71
"2008-01-14",88.5,88.5,85.74,86.33,4713600,81.48
"2008-01-15",85.43,85.83,83.62,83.76,6529800,79.06
"2008-01-16",83.36,85.04,81.74,83.46,7902300,78.77
"2008-01-17",83.86,83.94,82.03,82.41,4936400,77.78
"2008-01-18",82.89,84.11,81.97,82.88,4271700,78.23
"2008-01-22",73.5,82.32,73.5,78.75,7611700,74.33
"2008-01-23",74.75,76.22,73.85,75.85,11835600,71.59
"2008-01-24",77.97,77.97,75.52,76.62,6391900,72.32
"2008-01-25",77.4,77.5,74.39,74.69,6765900,70.5
"2008-01-28",74.9,76.2,74.3,76.02,4536600,71.75
"2008-01-29",76.52,76.76,75.59,76.48,3355500,72.19
"2008-01-30",76.3,78.38,76.08,77.47,5125300,73.12
"2008-01-31",76.41,78.51,76.41,78.2,5672500,73.81
"2008-02-01",78.37,78.96,77.37,78.92,3169200,74.49
"2008-02-04",78.64,79.29,77.97,78.8,2518000,74.38
"2008-02-05",77.9,79.1,77.5,78.56,3620200,74.15
"2008-02-06",78.94,79.82,77.78,78.92,4071200,74.49
"2008-02-07",78.14,79.04,77,77.62,4640800,73.26
"2008-02-08",77.36,77.36,75.47,76.63,3751000,72.33
"2008-02-11",76.46,76.85,75.33,75.64,3800900,71.39
"2008-02-12",75.95,76.22,75.35,75.88,4199400,71.62
"2008-02-13",75.95,75.95,71.73,74.42,11245400,70.24
"2008-02-14",74.53,75.2,73.32,73.71,4897600,69.57
"2008-02-15",73.57,75.09,73.47,75.07,4310800,70.86
"2008-02-19",75.78,76.19,74.67,75.01,2872800,70.8
"2008-02-20",74.51,75.3,73.89,74.99,2622800,70.78
"2008-02-21",75.1,75.33,74.08,74.23,2449300,70.06
"2008-02-22",74.39,74.78,72.87,73.93,3073800,69.78
"2008-02-25",73.83,74.88,73.83,74.58,2452300,70.39
"2008-02-26",74.09,74.93,74.03,74.47,2676500,70.29
"2008-02-27",73.89,74.53,73.6,73.75,6490900,69.61
