"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2007-04-25",115.99,116.89,114.69,116.36,5643600,51.08
"2007-04-26",116.47,116.49,114.48,114.77,3359400,50.38
"2007-04-27",114.35,116.56,113.74,115.84,4460800,50.85
"2007-04-30",115.75,116.4,114.25,114.25,4336000,50.15
"2007-05-01",114.55,115.73,112.03,112.22,8077200,49.26
"2007-05-02",113.93,113.93,112.36,113.42,5132800,49.79
"2007-05-03",114.8,117.78,114.8,116.55,5525600,51.16
"2007-05-04",116.5,116.88,115.29,116.64,4741600,51.2
"2007-05-07",116.6,117.29,115.96,116.44,3620600,51.11
"2007-05-08",117.46,118.49,116.42,117.54,6988000,51.6
"2007-05-09",117.57,118.25,116.51,117.54,4991000,51.6
"2007-05-10",116.65,117.32,115.3,116.02,4640200,50.93
"2007-05-11",116.7,117.23,116.51,116.9,4794600,51.32
"2007-05-14",118.45,118.45,116.54,117.41,3149200,51.54
"2007-05-15",117.4,119.09,117.35,118.29,6124000,51.93
"2007-05-16",118.99,119.8,117.99,119.39,5076000,52.41
"2007-05-17",119,121.08,118.78,120.81,5776400,53.03
"2007-05-18",120.79,120.79,119.19,119.85,4341600,52.61
"2007-05-21",119.43,120.34,118.8,119.08,4844200,52.27
"2007-05-22",120.5,120.5,117.64,118.56,3131800,52.05
"2007-05-23",119.12,119.5,118.33,118.9,3449000,52.19
"2007-05-24",118.91,119.6,116.79,117.26,3584800,51.47
"2007-05-25",118.06,119.34,117.75,117.96,2658800,51.94
"2007-05-29",118.16,119.37,117.85,118.66,2766200,52.25
"2007-05-30",117.78,118.95,117.78,118.82,2083400,52.32
"2007-05-31",119.05,121.14,119,120.68,3556600,53.13
"2007-06-01",121.23,122.79,121.2,122.03,3710400,53.73
"2007-06-04",121.74,122.13,121.13,121.93,2757200,53.68
"2007-06-05",121.11,122,120.11,120.98,2887400,53.27
"2007-06-06",120.92,120.92,118.16,118.16,3899800,52.02
"2007-06-07",117.7,118.16,114.82,114.82,6136000,50.55
"2007-06-08",114.82,117.09,114.71,116.65,4195600,51.36
"2007-06-11",116.4,116.75,115.66,115.67,3022200,50.93
"2007-06-12",115.4,115.64,113.31,113.31,4959000,49.89
"2007-06-13",112.69,116.73,112.69,116.73,5162800,51.4
"2007-06-14",117.14,118.9,116.88,118.18,4814400,52.03
"2007-06-15",118.7,121.74,118.7,120.26,6692600,52.95
"2007-06-18",120.26,120.26,119.01,119.49,1992800,52.61
"2007-06-19",119.3,119.76,118.61,119.52,3940200,52.62
"2007-06-20",119.2,119.75,117.15,117.31,3163600,51.65
"2007-06-21",117.2,118.08,116.36,118,3666200,51.95
"2007-06-22",118,118.03,114.82,116.09,4849600,51.11
"2007-06-25",116.56,116.67,114.36,114.7,3574800,50.5
"2007-06-26",115.43,115.53,113.25,113.48,3896800,49.96
"2007-06-27",112.82,115.11,112.08,114.7,4579600,50.5
"2007-06-28",114.5,115.99,114.4,115.1,3050200,50.68
"2007-06-29",115.72,116.79,114.38,115.15,3017200,50.7
"2007-07-02",115.85,116.91,115.71,116.24,2864600,51.18
"2007-07-03",116.28,116.95,115.99,116.73,1530200,51.4
"2007-07-05",116.52,116.83,115.31,116,2526000,51.07
"2007-07-06",116.1,117.43,115.15,116.81,3102400,51.43
"2007-07-09",117.05,117.98,116.77,116.86,2586600,51.45
"2007-07-10",116.46,116.46,114.84,115.07,4356800,50.66
"2007-07-11",114.77,117.84,114.71,117.75,4849800,51.84
"2007-07-12",119,119.74,117.75,119.73,4536000,52.72
"2007-07-13",119.79,121.2,118.59,120.8,2794400,53.19
"2007-07-16",119.82,123.19,117.17,122.18,4170200,53.79
"2007-07-17",123.89,124.99,121.81,123.9,5771000,54.55
"2007-07-18",126,129.36,125.59,125.91,11583400,55.44
"2007-07-19",126.91,127.11,124.56,125.74,8123200,55.36
"2007-07-20",124.5,126.34,123.71,125.87,5456400,55.42
"2007-07-23",125,127.99,125,127.32,3621600,56.06
"2007-07-24",122.94,127.63,122.94,124.99,7281200,55.03
"2007-07-25",126,127.79,121.06,122.81,7495400,54.07
"2007-07-26",120.31,120.96,118.25,120.1,9092400,52.88
"2007-07-27",118.41,121.75,117.41,119.12,8242000,52.45
"2007-07-30",118.75,121.66,118.39,120.7,4733200,53.14
"2007-07-31",121.7,122.13,119.14,119.14,4883600,52.46
"2007-08-01",118,120,117.49,119.34,5944200,52.54
"2007-08-02",119.5,120.7,118.38,119.99,5772400,52.83
"2007-08-03",119.97,120.19,114.25,114.25,7020600,50.3
"2007-08-06",115.3,115.9,113.52,114.69,8727600,50.5
"2007-08-07",114.3,118.14,113.01,116.87,6641000,51.46
"2007-08-08",118.02,120.25,117.79,119.06,7937600,52.42
"2007-08-09",118.08,119.68,115.7,115.7,6237000,50.94
"2007-08-10",115.5,117.37,113.01,116.65,8226600,51.36
"2007-08-13",117.3,119.75,117.27,117.97,4145600,51.94
"2007-08-14",117.79,118.35,113.01,113.14,6859600,49.81
"2007-08-15",111.42,112.89,106.48,107.65,8951800,47.4
"2007-08-16",106.51,107.27,99.38,105,16321600,46.23
"2007-08-17",108.52,109.12,103.01,105.93,7972600,46.64
"2007-08-20",105.75,112.43,105.75,111.73,8728600,49.19
"2007-08-21",112,112.22,109.34,109.62,4194400,48.26
"2007-08-22",111.45,113.17,111.06,112.87,5490800,49.7
"2007-08-23",113.28,114.01,109.27,109.66,4976000,48.28
"2007-08-24",109.68,111.43,109.06,111.07,3479600,48.9
"2007-08-27",110.9,111.41,109.37,109.51,2732200,48.22
"2007-08-28",109.35,109.5,106.67,106.82,3762000,47.18
"2007-08-29",107.53,110.12,107.5,109.93,3749800,48.56
"2007-08-30",108.32,110.28,106.99,107.86,5115200,47.64
"2007-08-31",109.28,112.16,108.65,111.57,6018400,49.28
"2007-09-04",110.9,113.39,110.63,112.55,2670600,49.71
"2007-09-05",111.52,111.77,108.41,109.13,5820600,48.2
"2007-09-06",109.33,109.88,107.77,109.28,3446200,48.27
"2007-09-07",107.85,110.83,107.05,108.11,5403000,47.75
"2007-09-10",109,109.65,105.06,105.92,4330200,46.79
"2007-09-11",106.53,109.03,106.25,108.48,2773400,47.92
"2007-09-12",107.77,109.61,106.86,108.69,2930000,48.01
"2007-09-13",109.9,113.37,108.85,112.68,5270800,49.77
"2007-09-14",112,113.34,111.12,111.83,3058000,49.4
"2007-09-17",111.61,112.21,110.59,111,2232400,49.03
"2007-09-18",111.77,116.35,110.62,116.26,5247600,51.35
"2007-09-19",117.31,117.31,113.9,114.83,4374000,50.72
"2007-09-20",114.55,114.72,111.64,112.06,4724600,49.5
"2007-09-21",113,113.65,112.06,112.87,4990000,49.86
"2007-09-24",113.43,113.7,110.65,111.39,2967000,49.2
"2007-09-25",110.15,111.62,110,110.9,7615600,48.98
"2007-09-26",111.8,113.18,111.31,112.36,8564400,49.63
"2007-09-27",113.02,114.3,112.09,113.78,5125200,50.26
"2007-09-28",113.91,114.67,112.23,113.06,2108800,49.94
"2007-10-01",114.03,114.95,111.78,114.32,3804600,50.5
"2007-10-02",114.74,114.87,112.29,113.33,2176000,50.06
"2007-10-03",112.5,113,110.54,111.02,3242200,49.04
"2007-10-04",111.71,112.74,110.07,112.36,3646800,49.63
"2007-10-05",113,117.99,113,117.35,6857400,51.83
"2007-10-08",116.93,118.03,115.61,117.36,2524200,51.84
"2007-10-09",117.25,118.85,116.13,118.14,3406400,52.18
"2007-10-10",117.92,118.59,116.63,117.68,2135600,51.98
"2007-10-11",118.18,119.46,116,118.4,4322600,52.3
"2007-10-12",118.24,119.79,117.69,119.52,4560000,52.79
"2007-10-15",119.2,119.82,116.62,118.16,3847600,52.19
"2007-10-16",117.42,117.5,114.88,116.18,4143400,51.32
"2007-10-17",118.58,119.8,117.21,118.98,9001800,52.55
"2007-10-18",118.9,127.17,118.9,125.93,11797800,55.62
"2007-10-19",125.96,126.07,122.43,122.62,7173800,54.16
"2007-10-22",120.5,126.38,119.05,125.25,5597400,55.32
"2007-10-23",126.99,130,126.99,129.96,7402600,57.4
"2007-10-24",128.97,129.38,125.65,129.03,4985400,56.99
"2007-10-25",129.35,129.4,125.25,127.28,6397000,56.22
"2007-10-26",128.53,128.66,126.29,127.9,2560200,56.49
"2007-10-29",128.57,129.06,127.27,127.48,5262400,56.31
"2007-10-30",127.7,128.35,126.01,126.21,3141400,55.75
"2007-10-31",126.68,128.5,126.51,128.04,4332000,56.56
"2007-11-01",126.95,127.88,124.42,124.75,3859600,55.1
"2007-11-02",125.05,126.41,123.2,126,4148400,55.65
"2007-11-05",125,126.75,124.6,125.61,5297200,55.48
"2007-11-06",126.2,127.07,125.84,126.87,4820600,56.04
"2007-11-07",125,126.24,123.33,124.57,4978200,55.02
"2007-11-08",124.68,126.75,123.29,126.48,6167400,55.87
"2007-11-09",125,126.38,124.13,124.65,4881200,55.06
"2007-11-12",124.73,126.72,123.38,123.6,4273200,54.59
"2007-11-13",124.39,126,123.83,125.48,5453800,55.42
"2007-11-14",126.49,127.39,123.86,124.37,4446400,54.93
"2007-11-15",123.63,126.9,122.39,124.43,4972000,54.96
"2007-11-16",125,126.5,124.35,126.48,4922400,55.87
"2007-11-19",125.92,126.08,124.08,124.7,5939400,55.08
"2007-11-20",125.15,127.85,124.49,126.45,4699000,55.85
"2007-11-21",125.4,125.45,122.06,122.91,4790200,54.29
"2007-11-23",123.48,125.49,123.48,124.68,1938400,55.07
"2007-11-26",124.94,125.96,121.36,121.36,3580800,53.61
"2007-11-27",121.75,124.93,121,124.41,4278600,55.15
"2007-11-28",125.1,127.4,125,126.89,5696400,56.25
"2007-11-29",126.23,126.84,124.34,125.48,3253400,55.63
"2007-11-30",126.73,128.89,125.46,126.14,4688000,55.92
"2007-12-03",126,126.94,124.35,126.31,3655000,55.99
"2007-12-04",125.81,128.05,125.25,126.74,3118000,56.19
"2007-12-05",128.17,129.56,128.01,129.3,4520200,57.32
"2007-12-06",129.1,134.88,128.96,134.15,6640600,59.47
"2007-12-07",134.67,136.74,134.01,134.84,4084800,59.78
"2007-12-10",135.49,135.72,133.87,135.26,2303000,59.96
"2007-12-11",135.27,135.9,130.15,130.64,4840200,57.91
"2007-12-12",133.84,137.56,130.28,132.57,6033600,58.77
"2007-12-13",132.18,134,130.54,133.8,2921600,59.31
"2007-12-14",134.8,134.8,130.3,130.56,3445200,57.88
"2007-12-17",130.25,130.84,128.77,128.96,3766800,57.17
"2007-12-18",130.14,130.14,127.53,129.43,3514400,57.38
"2007-12-19",122.49,126.6,121.36,124.61,14797400,55.24
"2007-12-20",125.77,125.77,121.9,123.3,6473600,54.66
"2007-12-21",124.39,126.54,123.65,126.02,7020800,55.87
"2007-12-24",125.69,128.84,125.69,128.47,1577600,56.95
"2007-12-26",127.83,128.46,127.25,128,1977400,56.74
"2007-12-27",127.5,128.85,127.1,127.3,2753200,56.43
"2007-12-28",127.29,128.25,126.5,127.73,2481400,56.62
"2007-12-31",127,127.39,125.5,125.62,2381400,55.69
"2008-01-02",125.78,127.25,123.62,124.24,5136000,55.08
"2008-01-03",124.89,125.73,123.25,123.86,3194000,54.91
"2008-01-04",122.92,122.92,119.66,120.04,5556200,53.22
"2008-01-07",120.9,121.89,117.39,118.99,6860000,52.75
"2008-01-08",119.16,120,114.86,115.26,5757000,51.1
"2008-01-09",115.26,116.25,111.96,114.52,8289600,50.77
"2008-01-10",113.44,118.48,111.1,116.85,5742800,51.8
"2008-01-11",115.55,117.33,113.17,114.11,4556000,50.59
"2008-01-14",115.25,116.34,114.68,115.24,4472400,51.09
"2008-01-15",113.6,114.15,111.76,112.29,5203000,49.78
"2008-01-16",111.56,114.52,111.27,112.9,5329200,50.05
"2008-01-17",113.46,114.65,108.39,109.04,6987200,48.34
"2008-01-18",110,111.81,107.62,110.45,6673800,48.96
"2008-01-22",105.32,111.65,105.32,110.37,8505400,48.93
"2008-01-23",110.74,117.3,108.73,117.01,11051200,51.87
"2008-01-24",118.32,124.93,118.28,120.96,8673400,53.62
"2008-01-25",122.07,123.63,118.85,119.81,8750400,53.11
"2008-01-28",120.22,121.47,118.99,121.22,7834000,53.74
"2008-01-29",122.21,122.21,120.71,121.45,7168600,53.84
"2008-01-30",120.69,122.8,119.71,120.96,8976200,53.62
"2008-01-31",115,126.49,115,124.76,9294000,55.31
"2008-02-01",125.31,128.33,123.5,127.97,19111600,56.73
"2008-02-04",127.45,128.62,125.14,125.7,6068200,55.72
"2008-02-05",122.27,124.9,121.55,122.63,4616200,54.36
"2008-02-06",123.71,125.22,122.28,123.14,3587400,54.59
"2008-02-07",122.98,125.18,122.46,124.27,4560200,55.09
"2008-02-08",123.6,126.91,123.1,125.35,5135400,55.57
"2008-02-11",125.56,125.85,122.64,125.5,4293600,55.64
"2008-02-12",126.53,128.22,124.1,125.58,4729200,55.67
"2008-02-13",126.79,127.09,124.6,125.96,4074400,55.84
"2008-02-14",127.09,127.09,124.27,124.73,5344000,55.29
"2008-02-15",124.49,124.95,122.93,124.8,4997000,55.33
"2008-02-19",126.49,126.49,121.42,122.75,8765200,54.42
"2008-02-20",121.44,124.99,121.01,123.97,5035800,54.96
"2008-02-21",124.65,125.18,121.89,123.22,7753800,54.62
"2008-02-22",123.97,124.13,121.92,124.13,7053800,55.03
"2008-02-25",124.45,126.89,122.4,126.66,5268800,56.15
"2008-02-26",126.04,129.5,125.64,129.11,5880200,57.24
"2008-02-27",128.07,128.71,126.8,127.75,5646000,56.63
"2008-02-28",126.83,127.18,125.26,126.26,4201000,55.97
"2008-02-29",125.03,126.11,123.14,124.76,5882800,55.31
"2008-03-03",125,125,121.39,123.85,6101800,54.9
"2008-03-04",122.46,124.8,121.75,123.52,5363800,54.76
"2008-03-05",124.75,126.81,123.1,125.75,5089000,55.75
"2008-03-06",125.38,125.38,120.86,120.99,6471000,53.64
"2008-03-07",120.6,122.8,118.55,119.66,11043400,53.05
"2008-03-10",119,121.19,118.28,118.77,4442400,52.85
"2008-03-11",121.87,124.54,120.6,124.54,5606000,55.41
"2008-03-12",124.99,125.93,123.13,123.39,6164400,54.9
"2008-03-13",121.5,123.88,120.51,123.38,5604400,54.9
"2008-03-14",124.53,124.89,120.15,122.75,6473200,54.62
"2008-03-17",119.75,123.5,119.75,122.19,6437000,54.37
"2008-03-18",124.75,129.38,123.99,129.3,13376400,57.53
"2008-03-19",129.88,130.57,124.3,124.3,6220800,55.31
"2008-03-20",124.45,124.45,118.25,122.06,12013200,54.31
"2008-03-24",122.8,127.12,122.42,125.56,5264000,55.87
"2008-03-25",125.93,130,125.2,129.01,5647800,57.4
"2008-03-26",128.6,129.15,126.48,127.87,4364000,56.9
"2008-03-27",127.88,128.75,125.2,125.58,3893600,55.88
"2008-03-28",126.43,126.93,124.65,125.02,2994400,55.63
"2008-03-31",124.34,126,123.59,125.38,3769800,55.79
"2008-04-01",126.95,128.88,125.96,127.95,3744400,56.93
"2008-04-02",128.92,130.31,127.85,129.63,5886200,57.68
"2008-04-03",128.9,133,128.54,132.07,6604000,58.76
"2008-04-04",132.53,134.4,131.01,133.66,4617000,59.47
"2008-04-07",134.91,135,132.34,133.44,5038400,59.37
"2008-04-08",132.25,134.36,131.75,133.48,4035000,59.39
"2008-04-09",132.33,133.29,128.36,129.87,4867400,57.79
"2008-04-10",129.64,130.52,128.04,130,3757800,57.84
"2008-04-11",128.96,131.26,128.32,130.21,3601000,57.94
"2008-04-14",130.21,131.75,129.81,131.37,4169200,58.45
"2008-04-15",131.91,132.03,129.99,130.9,4854000,58.24
"2008-04-16",132.21,137.03,132.21,136.57,11253800,60.77
"2008-04-17",136.22,137.15,134.54,135.55,4874600,60.31
"2008-04-18",137.2,138.82,136.81,138.08,6946800,61.44
"2008-04-21",137.6,138.16,136.21,137.8,5581200,61.31
"2008-04-22",136.91,138.01,135.81,136.82,5943800,60.88
"2008-04-23",136.92,137.04,134,135.14,4924200,60.13
"2008-04-24",134.02,139.75,132.89,138.04,8169600,61.42
"2008-04-25",138.69,141.25,135.22,140.59,7550000,62.56
"2008-04-28",140.63,142.5,139.48,141.6,3300200,63
"2008-04-29",141.7,145.16,141.42,143.93,7828800,64.04
"2008-04-30",143.98,147.31,143.51,145.19,13770800,64.6
"2008-05-01",145.27,147.95,143.4,146.63,7642600,65.24
"2008-05-02",148.25,148.66,144.38,146.88,5285400,65.35
"2008-05-05",148.58,148.58,145.03,146.83,3495600,65.33
"2008-05-06",144.41,149.37,144.41,148.93,4126400,66.27
"2008-05-07",149.33,149.33,144.76,145.07,4259600,64.55
"2008-05-08",145.8,147.48,145.25,147.19,3587400,65.49
"2008-05-09",145.95,146.65,144.51,146.28,2581000,65.09
"2008-05-12",146.62,147.92,145,147.65,2560000,65.7
"2008-05-13",148.63,150,147.46,149.06,4209000,66.32
"2008-05-14",149.99,151.61,149,149.95,3655000,66.72
"2008-05-15",150.33,152.38,148.37,152,5014600,67.63
"2008-05-16",152.25,156.15,151.92,153,7998600,68.08
"2008-05-19",155,159.65,152.55,153.5,10607400,68.3
"2008-05-20",153.05,154.36,151.65,153.58,5895600,68.33
"2008-05-21",154.14,157.35,152.71,153.08,5542400,68.11
"2008-05-22",153.59,156.23,151.78,154.44,5736600,68.72
"2008-05-23",154.01,154.25,150.24,152.16,6653200,67.7
"2008-05-27",153.11,157.9,151.43,157.9,6553400,70.26
"2008-05-28",158.85,159,156.24,157.58,13242600,70.11
"2008-05-29",78.49,81.41,78.14,80.35,5789100,71.5
"2008-05-30",80.75,82.61,80.2,82.31,6056800,73.25
"2008-06-02",82.12,82.12,80.02,81.18,5091300,72.24
"2008-06-03",81.47,82.76,79.03,79.71,6000400,70.93
"2008-06-04",79.49,80.46,78.93,79.64,3422100,71.07
"2008-06-05",80,81.84,80,81.71,4622600,72.91
"2008-06-06",81.18,81.18,77.9,77.95,5880400,69.56
"2008-06-09",78.55,80,78.55,79.72,3166700,71.14
"2008-06-10",79.1,79.67,77.9,78.56,4146900,70.1
"2008-06-11",78.5,78.68,74.04,74.1,8927900,66.12
"2008-06-12",74.62,76.44,74.61,75.41,9136700,67.29
"2008-06-13",75.81,77.89,74.46,75.57,5905000,67.44
"2008-06-16",75.22,76.44,74.08,76.06,8596300,67.87
"2008-06-17",76.6,76.61,72.21,72.47,9783700,64.67
"2008-06-18",72.14,76.47,71.9,75.82,13345700,67.66
"2008-06-19",75.49,78.58,75.3,77.8,6542100,69.43
"2008-06-20",77.06,77.77,76.2,76.88,5176300,68.6
"2008-06-23",77.36,77.36,75.18,75.54,3236500,67.41
"2008-06-24",75.11,75.6,73.51,73.77,4861900,65.83
"2008-06-25",74.27,75.97,74.27,74.88,4314000,66.82
"2008-06-26",74.19,75.22,72.68,72.99,4999100,65.13
"2008-06-27",72.5,74.21,72.28,73.83,6448000,65.88
"2008-06-30",73.87,76.06,73.57,75.5,6375500,67.37
"2008-07-01",74.75,74.75,71.8,73.65,7163200,65.72
"2008-07-02",74.07,74.34,69.99,70.21,5332000,62.65
"2008-07-03",70.66,71.82,69.61,70.85,3450500,63.22
"2008-07-07",71.29,72.81,69.29,70.32,5415600,62.75
"2008-07-08",70.74,74.2,69.93,73.81,6680700,65.86
"2008-07-09",73.95,74.74,70.87,71.34,4584500,63.66
"2008-07-10",71.5,73.23,71.2,72.19,4372400,64.42
"2008-07-11",71.2,73.21,70.2,71.92,4338900,64.18
"2008-07-14",72.65,74.41,70.45,71.31,4581100,63.63
"2008-07-15",70.51,70.51,67.9,69.69,7673300,62.19
"2008-07-16",69.85,73.48,69.85,73.45,5925500,65.54
"2008-07-17",73.69,74.43,71.93,73.2,4268600,65.32
"2008-07-18",73.42,73.95,71.51,72.54,6435500,64.73
"2008-07-21",72.98,73.18,72.02,72.51,2719700,64.7
"2008-07-22",71.85,74.93,71.85,74.15,5170700,66.17
"2008-07-23",75.15,77.5,74.17,77.33,5745000,69.01
"2008-07-24",78.41,79.79,76.96,77.18,5984200,68.87
"2008-07-25",77.74,78.98,75.81,77.49,3326100,69.15
"2008-07-28",78.09,78.92,76.54,76.58,3949900,68.34
"2008-07-29",76.84,81.21,76.02,81.01,6782200,72.29
"2008-07-30",81.36,83.91,81.13,83.25,8088000,74.29
"2008-07-31",82.3,84.25,82.2,82.44,4440400,73.57
"2008-08-01",82.45,82.86,78.85,79.44,7916600,70.89
"2008-08-04",79.5,80.95,79.46,79.99,5667800,71.38
"2008-08-05",80.94,82.68,80.93,82.19,5265600,73.34
"2008-08-06",81.96,82.44,81.2,82.05,3333100,73.22
"2008-08-07",81.1,82.63,80.41,81.31,4937300,72.56
"2008-08-08",81.35,83.6,81.06,83.18,4950400,74.23
"2008-08-11",83.15,83.31,78.62,79.25,8445900,70.72
"2008-08-12",79.54,80.15,73.53,76.14,13583700,67.94
"2008-08-13",75.87,76.84,73.56,76.57,5978300,68.33
"2008-08-14",76.07,78.92,75.06,77.63,4313800,69.27
"2008-08-15",78.02,78.44,76.58,76.87,4604000,68.6
"2008-08-18",77.39,77.89,76.17,76.64,2918900,68.39
"2008-08-19",77.2,77.26,76.23,76.63,5470600,68.38
"2008-08-20",77.49,78.3,76.9,77.83,4988400,69.45
"2008-08-21",77.52,78.56,76.86,77.98,3591000,69.59
"2008-08-22",78.62,81.15,78.32,79.55,4754900,70.99
"2008-08-25",79.96,80.51,78.39,79.52,3084200,70.96
"2008-08-26",79.62,81.27,79.06,81.12,4838300,72.39
"2008-08-27",81.4,82.41,79.91,82.17,3437600,73.57
"2008-08-28",82.7,84.04,82.7,83.74,4355300,74.98
"2008-08-29",82.76,84.95,82.76,83.9,5117000,75.12
"2008-09-02",84.45,85.8,81.23,81.96,7096600,73.38
"2008-09-03",82.03,83.03,79.53,80.55,6707200,72.12
"2008-09-04",79.81,80,74.81,75.73,10364200,67.8
"2008-09-05",75.24,75.58,72.28,75.46,7744900,67.56
"2008-09-08",77.77,78.8,74.12,75.45,7535600,67.55
"2008-09-09",75.71,77.08,70.25,70.78,12083600,63.37
"2008-09-10",72.37,75.1,71.25,73.81,8727300,66.08
"2008-09-11",74.5,78.74,73.8,78.64,8820300,70.41
"2008-09-12",78,78.41,76.01,77.8,5430900,69.66
"2008-09-15",76.03,76.85,72.52,72.52,8566700,64.93
"2008-09-16",70.99,73.3,69.52,73.16,15941100,65.5
"2008-09-17",72.68,74.82,69.94,72.76,11357600,65.14
"2008-09-18",72.77,74.77,70.1,73.81,11926100,66.08
"2008-09-19",77,80.05,73.99,76.73,9307000,68.7
"2008-09-22",76.71,76.99,72.28,72.86,5842200,65.23
"2008-09-23",74.97,76.49,72.7,73.73,9461000,66.01
"2008-09-24",74.01,74.2,71.2,71.82,4967500,64.3
"2008-09-25",72.16,74.64,71.38,72.34,5908900,64.77
"2008-09-26",71.06,73.4,71,73.27,4068600,65.6
"2008-09-29",72.19,72.28,67.34,69.15,8061400,61.91
