"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2007-01-03",92.47,93.99,91.79,92.48,2768400,40.46
"2007-01-04",92.38,92.57,91.5,91.8,2991800,40.16
"2007-01-05",91.72,91.78,90.58,90.66,3221600,39.66
"2007-01-08",90.42,91.3,90.15,90.8,2441400,39.72
"2007-01-09",91.02,91.43,90.44,90.85,3412800,39.75
"2007-01-10",90.4,90.54,89.58,90.13,4415000,39.43
"2007-01-11",90.23,90.96,90.23,90.5,4345000,39.59
"2007-01-12",90.51,92.49,90.51,91.96,4162400,40.23
"2007-01-16",91.96,95.88,91.68,95.43,7421400,41.75
"2007-01-17",95.07,95.2,93.8,94.04,3325400,41.14
"2007-01-18",93.23,98.15,93.23,96.72,10411200,42.31
"2007-01-19",96.7,97.45,95.82,96.33,5089600,42.14
"2007-01-22",96.46,96.63,94.78,95.31,3258200,41.7
"2007-01-23",94.1,99.09,93.92,98.22,9435000,42.97
"2007-01-24",97.5,98.8,96.21,96.96,5281800,42.42
"2007-01-25",96.44,97.97,96.21,96.49,5524000,42.21
"2007-01-26",96.74,97.01,95.04,95.43,4059200,41.75
"2007-01-29",95.43,96.9,94.57,95.56,5998400,41.81
"2007-01-30",96.18,97.07,95.17,96.98,4196000,42.43
"2007-01-31",97.28,101.23,97.14,101,7221800,44.19
"2007-02-01",101,103.4,100.98,102.84,8537000,44.99
"2007-02-02",102.85,103.1,102,102.4,4187400,44.8
"2007-02-05",102,103.04,101.76,102.44,3245000,44.82
"2007-02-06",100.61,101.46,99.86,99.94,4988600,43.72
"2007-02-07",100.35,102.19,99.93,100.15,4090200,43.82
"2007-02-08",100.24,101.15,99.71,100.58,3150800,44
"2007-02-09",101.2,101.2,99.07,99.64,3287200,43.59
"2007-02-12",99.89,100.2,98.8,99.76,2428800,43.64
"2007-02-13",100.01,103.02,99.99,102.81,3091600,44.98
"2007-02-14",103.07,104.7,102.14,104.49,7533400,45.71
"2007-02-15",103.6,104.09,101.25,102.24,6328000,44.73
"2007-02-16",102.33,102.73,100.34,101.73,3193000,44.51
"2007-02-20",101.5,102.95,101.1,102.7,3401400,44.93
"2007-02-21",102.3,104.54,101.81,104.31,3563800,45.64
"2007-02-22",104.89,105.84,103.52,104.11,4159400,45.55
"2007-02-23",103.5,104.32,102.87,103.88,4113800,45.45
"2007-02-26",103.96,103.96,101.51,101.72,4992800,44.65
"2007-02-27",101.78,102.43,96.5,97.99,8079600,43.02
"2007-02-28",98.85,99.78,97.86,98.58,5466200,43.27
"2007-03-01",97.5,99.52,96.74,98.89,6040000,43.41
"2007-03-02",98.88,99.25,97.37,97.82,4254000,42.94
"2007-03-05",96.63,97.22,95.6,96.11,5367200,42.19
"2007-03-06",96.12,97.34,95.97,96.21,5450400,42.23
"2007-03-07",95.85,97.87,95.8,97.5,4760000,42.8
"2007-03-08",98,99.86,98,99.08,4704200,43.49
"2007-03-09",99.8,100.5,98.5,98.74,3277600,43.34
"2007-03-12",98.69,102.04,98.6,101.36,5776400,44.49
"2007-03-13",100.4,100.57,97.89,98.06,4238800,43.05
"2007-03-14",98.31,98.89,95.51,97.57,6331000,42.83
"2007-03-15",97.57,99.6,97.43,98.68,3452000,43.32
"2007-03-16",98.93,100.35,97.23,99.95,6302400,43.88
"2007-03-19",99.59,100.39,98.87,99.61,5270200,43.73
"2007-03-20",99.61,100.89,99.29,100.44,6322800,44.09
"2007-03-21",100.2,101.47,99.75,101.3,4843400,44.47
"2007-03-22",101.25,101.29,99.7,100.37,3489200,44.06
"2007-03-23",100.55,104.66,100.2,104.2,7984800,45.74
"2007-03-26",105.08,105.7,102.19,102.63,4759800,45.05
"2007-03-27",102.5,102.6,100.75,100.94,3347400,44.31
"2007-03-28",100.19,101.05,99.38,100.04,3064200,43.92
"2007-03-29",101.31,102.17,99.98,101.3,4534000,44.47
"2007-03-30",101.25,103.53,101,101.55,6938000,44.58
"2007-04-02",101.41,102.11,100.41,101.97,2932400,44.76
"2007-04-03",102.41,103.43,102.11,103.1,2766000,45.26
"2007-04-04",103.49,103.89,102.86,103.02,2360600,45.22
"2007-04-05",101.05,103.4,101.05,103.2,3678600,45.3
"2007-04-09",106.59,111.24,106.48,107.15,11593400,47.04
"2007-04-10",106.9,108.15,106.25,107.51,4771400,47.19
"2007-04-11",107.55,108,105.98,106.41,2808600,46.71
"2007-04-12",106.3,112.1,105.62,111.02,7398400,48.74
"2007-04-13",111.02,111.18,108.65,109.78,3173600,48.19
"2007-04-16",111,111.75,110.18,111.43,2924800,48.92
"2007-04-17",111.41,111.41,109.94,110.46,2633400,48.49
"2007-04-18",110.55,115.25,110.55,113.78,7787000,49.95
"2007-04-19",114.51,119.22,113.27,116.47,12933600,51.13
"2007-04-20",117.39,118.01,116.47,117.21,5524400,51.45
"2007-04-23",116.92,117.84,116.5,116.6,3320200,51.18
"2007-04-24",116.32,116.79,115.33,115.94,4224400,50.9
