"","CLF.Open","CLF.High","CLF.Low","CLF.Close","CLF.Volume","CLF.Adjusted"
"2007-04-09",67.99,68.36,67.51,67.61,1318200,30.11
"2007-04-10",67.9,68,67.16,67.4,1264000,30.01
"2007-04-11",67.41,67.95,66.14,66.65,1083000,29.68
"2007-04-12",66.8,68.23,66.7,68.11,1199800,30.33
"2007-04-13",68.02,69.36,67.54,69.25,1461600,30.84
"2007-04-16",69.56,69.99,69,69.62,1033400,31
"2007-04-17",69.5,69.62,68.38,68.66,1482000,30.57
"2007-04-18",68.49,68.49,67.36,67.56,1421200,30.08
"2007-04-19",66.9,67.68,65.84,67.24,1510800,29.94
"2007-04-20",67.86,68.96,67.86,68.75,1062800,30.61
"2007-04-23",68.88,70.36,68.75,69.59,1271200,30.99
"2007-04-24",69.01,69.25,67.89,68.27,1549000,30.4
"2007-04-25",68.75,70.15,68.36,69.92,1365400,31.14
"2007-04-26",69.9,70.65,68.79,69.41,2212400,30.91
"2007-04-27",69.42,70.13,69.1,69.75,1417600,31.06
"2007-04-30",69.98,70.75,69.07,69.29,1569400,30.86
"2007-05-01",69.3,69.8,67.41,68.49,1780600,30.5
"2007-05-02",68.49,70.74,68.42,70.08,3573000,31.21
"2007-05-03",70.2,71.91,69.75,71.75,4813600,31.95
"2007-05-04",72.1,72.75,71.66,72.27,1116400,32.18
"2007-05-07",72.67,73.97,72.57,73.89,1841000,32.9
"2007-05-08",74.12,74.12,72.81,73.66,1560400,32.8
"2007-05-09",73.8,74.75,73.15,74.65,1853200,33.24
"2007-05-10",74.03,74.2,72,72.18,1619800,32.14
"2007-05-11",72.82,73.96,72.65,73.6,917200,32.77
"2007-05-14",74.75,76.21,74.33,74.53,4774800,33.19
"2007-05-15",75.3,76.1,74.5,74.62,3798200,33.23
"2007-05-16",74.9,75,72.75,74.01,1383600,33.01
"2007-05-17",73.95,73.96,72.22,73.39,1509000,32.74
"2007-05-18",73.39,73.91,72.65,73.81,1138000,32.92
"2007-05-21",73.95,74.92,73.6,74.23,1095200,33.11
"2007-05-22",73.86,74.9,73.8,74.15,1126600,33.07
"2007-05-23",74.42,75.49,73.43,73.62,1331600,32.84
"2007-05-24",73.66,74.23,70,70.8,2177800,31.58
"2007-05-25",71.3,78.3,71.1,78.13,6521800,34.85
"2007-05-29",76.43,78.61,76.03,78.02,3013000,34.8
"2007-05-30",77.09,81.66,76.8,81.54,4200200,36.37
"2007-05-31",84.1,88.64,83.72,88.29,8813000,39.38
"2007-06-01",90.4,92.06,88.31,89.46,9768400,39.9
"2007-06-04",88.45,88.7,87.22,88.09,3385400,39.29
"2007-06-05",87.7,88,85.5,86.4,3646200,38.54
"2007-06-06",85.7,85.9,83.05,84.33,3716800,37.62
"2007-06-07",84.33,85.58,82.3,82.6,3169000,36.84
"2007-06-08",81.4,84.91,81,84.63,5191600,37.75
"2007-06-11",82.92,82.93,79.64,79.88,4290400,35.63
"2007-06-12",79.75,80.55,77.75,78.01,3405400,34.8
"2007-06-13",78.6,79.15,76.34,77.42,5065800,34.53
"2007-06-14",77.5,79,76.05,76.45,4027600,34.1
"2007-06-15",79.2,81.5,78.25,80.74,6783600,36.01
"2007-06-18",81.01,81.05,77.5,77.9,4702400,34.75
"2007-06-19",78.01,79.12,77.15,77.78,3468800,34.69
"2007-06-20",77.92,79.9,76.4,76.64,4679000,34.19
"2007-06-21",76.65,78.33,75.2,78.16,3511200,34.86
"2007-06-22",77.91,79.46,76.88,79.46,8391200,35.44
"2007-06-25",79,79.87,77.88,78.05,5648600,34.81
"2007-06-26",78.37,78.5,75.81,75.96,3075600,33.88
"2007-06-27",74.96,76.72,72.16,76.53,4222800,34.14
"2007-06-28",76.01,77.91,76,76.55,2599000,34.15
"2007-06-29",77,78.9,76.95,77.67,3711200,34.65
"2007-07-02",77.9,81.07,77.89,80.72,3637400,36.01
"2007-07-03",80.93,80.99,79.84,80.36,1391400,35.84
"2007-07-05",80.35,83.6,80.31,83.5,4049000,37.25
"2007-07-06",84.62,85.08,82.5,84.11,3662200,37.52
"2007-07-09",84.37,85.17,82.5,84.19,2169400,37.55
"2007-07-10",83.88,85.03,82.7,83.96,2332400,37.45
"2007-07-11",84.37,85.95,83.3,85.59,2454600,38.18
"2007-07-12",86.3,86.76,84.86,85.74,3117200,38.24
"2007-07-13",85.2,87.54,84.8,86.69,2220200,38.67
"2007-07-16",86.15,86.6,84.15,85.04,1965800,37.93
"2007-07-17",85,86.42,84.54,85.12,1306600,37.97
"2007-07-18",84.75,86.18,84.24,85.92,2056200,38.33
"2007-07-19",85.7,86.69,84.65,85.25,1645800,38.03
"2007-07-20",84.98,85.9,83.56,83.7,2061000,37.33
"2007-07-23",85.25,85.25,82.5,83.45,1272400,37.22
"2007-07-24",82.9,83.88,80.2,80.97,1770600,36.12
"2007-07-25",81.1,81.3,77.23,79,2217000,35.24
"2007-07-26",78.65,78.65,74.11,75.7,2382800,33.77
"2007-07-27",71.18,75.66,67.94,69.39,5185400,30.95
"2007-07-30",69.84,71.61,68.5,71.17,3363200,31.75
"2007-07-31",71.4,72.26,68.76,69.27,2476600,30.9
"2007-08-01",68.04,68.7,64.5,67.23,4024800,29.99
"2007-08-02",69.5,71.12,68.08,69.35,3763600,30.93
"2007-08-03",69.5,71.08,67.37,68.05,3960200,30.35
"2007-08-06",68.95,69.12,64.25,67.99,2963600,30.33
"2007-08-07",67.82,68.11,63.1,65,3368200,28.99
"2007-08-08",65.53,68.97,65.35,68.24,4011000,30.44
"2007-08-09",65.84,66.48,62.66,63.12,4151800,28.15
"2007-08-10",62.5,67.78,61.59,67.3,3952200,30.02
"2007-08-13",69.45,70.14,67.33,68.25,2270600,30.5
"2007-08-14",68.8,69.48,65.75,66.51,1520200,29.72
"2007-08-15",65.54,66.88,62.71,63.06,2275000,28.18
"2007-08-16",62.06,62.27,56.39,60.63,4595400,27.09
"2007-08-17",62.51,63,60.02,62.5,3220600,27.93
"2007-08-20",62.9,64.73,62.43,64.12,1941000,28.65
"2007-08-21",64.24,66.94,63.8,66.52,2179000,29.73
"2007-08-22",67.75,71.46,67.51,71.16,2426400,31.8
"2007-08-23",71.41,72.19,69.55,70.42,1744600,31.47
"2007-08-24",70.92,73.53,70.05,73.14,7184000,32.69
"2007-08-27",72.59,73.6,71.12,72.69,1877800,32.48
"2007-08-28",71.8,71.86,69.89,69.9,2499400,31.24
"2007-08-29",70.6,73.37,70.34,73.37,2168200,32.79
"2007-08-30",72.5,73.65,71,72.5,1562800,32.4
"2007-08-31",74.32,76.88,73.77,76.27,1904600,34.08
"2007-09-04",75.27,79.75,75.13,78.6,2163400,35.13
"2007-09-05",78.1,78.14,75.57,75.98,2199800,33.95
"2007-09-06",76.93,77.75,76.22,76.61,1792400,34.24
"2007-09-07",75.5,76.49,73.52,74.5,1804000,33.29
"2007-09-10",74.89,75.6,71.29,71.97,2272400,32.16
"2007-09-11",72.41,73.57,71.87,72.01,2105600,32.18
"2007-09-12",71.53,75.69,71.09,74.2,2130600,33.16
"2007-09-13",74.8,78.95,74.4,77,2719400,34.41
"2007-09-14",76.25,78.9,76,78.62,1712800,35.13
"2007-09-17",78.56,80,78.33,78.73,3044400,35.18
"2007-09-18",79.58,83.17,78.5,82.85,2695800,37.02
"2007-09-19",83.5,85.66,83.21,84.3,4650200,37.67
"2007-09-20",84.3,85.95,84.1,84.19,2150400,37.62
"2007-09-21",84.63,86.8,83.95,86.28,1966800,38.56
"2007-09-24",86.51,87.75,83.57,84.55,2369200,37.78
"2007-09-25",83.96,84.91,83.03,84.78,1834800,37.89
"2007-09-26",85.2,86.97,85.2,86.56,2879200,38.68
"2007-09-27",86.93,89.74,86.75,89.14,2732800,39.84
"2007-09-28",88.75,90,86.98,87.97,1841600,39.31
"2007-10-01",88.81,92.41,88.4,91.78,3054600,41.02
"2007-10-02",91.66,92.49,89.6,90.21,2065200,40.31
"2007-10-03",89.81,90.48,88,88.42,2126400,39.51
"2007-10-04",88.91,89,87.48,88.03,1873800,39.34
"2007-10-05",89.5,93.54,89.5,92.41,2088000,41.3
"2007-10-08",91.75,93.5,91.46,92.85,1296200,41.49
"2007-10-09",93.74,97,93.29,96.76,2190600,43.24
"2007-10-10",96.75,100.12,96.28,100.12,4004400,44.74
"2007-10-11",100.42,104.51,97.6,98.86,4038600,44.18
"2007-10-12",98.46,106.29,97.76,103.61,3961200,46.3
"2007-10-15",104.04,104.8,99.8,100.71,2292400,45.01
"2007-10-16",99.9,99.9,97.58,98.66,2038800,44.09
"2007-10-17",99.75,100.31,96.55,97.35,2151800,43.5
"2007-10-18",96.69,100.3,96.1,98.94,1563800,44.21
"2007-10-19",98.94,102.22,96.82,97.41,3537800,43.53
"2007-10-22",96.04,98.28,93.68,95.53,4417800,42.69
"2007-10-23",98.51,98.6,96.02,97.19,1439200,43.43
"2007-10-24",96.78,98.02,94.37,97.89,1356000,43.75
"2007-10-25",97.28,98.5,95.05,95.84,2396400,42.83
"2007-10-26",97.34,100.17,96.84,98.82,1725000,44.16
"2007-10-29",99.01,103,98.64,101.16,2530800,45.21
"2007-10-30",98.2,100.59,95.34,95.34,2310800,42.61
"2007-10-31",96.43,97.85,94.84,95.65,2161600,42.74
"2007-11-01",94.81,94.81,89.22,89.32,3220800,39.92
"2007-11-02",86.27,89.7,83.1,88.57,5766200,39.58
"2007-11-05",88.81,88.81,82.44,84.71,3361600,37.86
"2007-11-06",84.33,89.23,84.33,88.97,1976000,39.76
"2007-11-07",86,89.35,83.57,84.4,2292800,37.72
"2007-11-08",87.25,89.57,81.75,84.15,4323000,37.61
"2007-11-09",83.02,83.02,80.04,80.7,2706000,36.06
"2007-11-12",80.9,82.15,75.83,76.7,4280000,34.28
"2007-11-13",77.38,79.41,77,78.4,3677600,35.04
"2007-11-14",79.21,81.87,78.75,80.02,4443400,35.76
"2007-11-15",80.05,80.54,75.98,78.23,3202800,34.96
"2007-11-16",78.08,80.14,77.17,79.89,3793600,35.7
"2007-11-19",79.2,79.46,73.5,74.65,4292800,33.36
"2007-11-20",74.52,78.26,74.52,76.69,3970400,34.33
"2007-11-21",76,76.45,73.93,75.95,2833000,34
"2007-11-23",76.7,80.8,76.5,80.5,2289200,36.03
"2007-11-26",80.83,82.73,80,80.44,4292600,36.01
"2007-11-27",80.65,83.89,80.65,83.7,3876400,37.47
"2007-11-28",84.42,88.24,83.99,87.37,2485600,39.11
"2007-11-29",87.17,90.25,86.24,88.48,2024800,39.61
"2007-11-30",89.79,90.69,89.36,90.2,2685000,40.38
"2007-12-03",91.5,91.5,88.57,89.5,1569400,40.06
"2007-12-04",89.69,91.74,88.45,90.17,1925800,40.36
"2007-12-05",91.13,94.64,90.89,92.03,3244000,41.2
"2007-12-06",91.72,96.81,90.86,95.86,2994600,42.91
"2007-12-07",97.37,98.34,95.07,98.02,2798200,43.88
"2007-12-10",98.48,99.52,97.47,98.46,2125200,44.07
"2007-12-11",98.57,99,96.06,96.19,2819200,43.06
"2007-12-12",97.58,100.61,97.03,99.47,3051400,44.53
"2007-12-13",99.23,99.82,95.1,98.01,3214200,43.87
"2007-12-14",95.65,97.34,93.55,95.84,3468600,42.9
"2007-12-17",95.2,97.13,93.65,93.91,2357800,42.04
"2007-12-18",94.59,96.13,92.32,94.9,1850200,42.48
"2007-12-19",94.51,96.98,94.51,95.9,2175600,42.93
"2007-12-20",96.43,98.96,95.35,98.96,1507200,44.3
"2007-12-21",100.6,102.35,99.82,101.42,1424400,45.4
"2007-12-24",102.17,104.27,101.42,102.53,458000,45.9
"2007-12-26",102.17,104.61,101.43,104.11,833000,46.6
"2007-12-27",103.8,103.8,100.33,100.59,1104400,45.03
"2007-12-28",100.5,105.07,100.5,104.75,1800600,46.89
"2007-12-31",105.21,105.21,100.27,100.8,1475400,45.12
"2008-01-02",101.81,102,95.25,96.57,2728800,43.23
"2008-01-03",97.65,103.04,96.29,100.61,2393000,45.04
"2008-01-04",99.21,99.21,94.66,95.86,2114400,42.91
"2008-01-07",96.44,96.44,88.05,89.88,5843200,40.23
"2008-01-08",90.19,93.99,88.65,89.04,2737600,39.86
"2008-01-09",88.88,90.78,85.16,89.09,2650400,39.88
"2008-01-10",88.51,92.47,86.71,91.09,2318400,40.78
"2008-01-11",89.4,92.05,89.18,89.34,1929200,39.99
"2008-01-14",91.06,95.58,90.34,94.77,2256000,42.42
"2008-01-15",93.7,93.84,89.75,91.4,2311200,40.91
"2008-01-16",90.85,91.17,85.19,86.48,5188800,38.71
"2008-01-17",87.01,90.5,84.62,85.3,5540400,38.18
"2008-01-18",86.45,92.54,86.45,91.84,5790800,41.11
"2008-01-22",86,92.52,82.86,91.07,5885800,40.77
"2008-01-23",88.89,90.14,77.25,89.9,7504800,40.24
"2008-01-24",90.47,95.52,90.12,94.95,3595000,42.5
"2008-01-25",97.12,99.62,94.36,95.79,3153000,42.88
"2008-01-28",95.57,99.23,93.35,99.06,1686000,44.34
"2008-01-29",98.34,100.5,97.23,98.08,1682000,43.9
"2008-01-30",97.43,100,94.66,97.58,4763000,43.68
"2008-01-31",95.95,103.38,94.39,102,3380800,45.66
"2008-02-01",102.22,106.41,101.92,105.3,2597200,47.14
"2008-02-04",105.3,106.42,103.01,103.72,2469400,46.43
"2008-02-05",102,102,97.45,98.38,2224600,44.04
"2008-02-06",99.1,103.55,98.56,99.34,2520200,44.47
"2008-02-07",98.56,101.56,95.57,101.29,2602400,45.34
"2008-02-08",101.64,108.44,100.83,108.06,5195000,48.37
"2008-02-11",108.36,117.85,107.32,116.29,8200800,52.06
"2008-02-12",117.07,120,113.57,115.14,4817800,51.54
"2008-02-13",114.78,119,114.78,116.7,2941200,52.32
"2008-02-14",117.86,117.86,114.3,115.96,2644600,51.99
"2008-02-15",115.49,118.21,112.86,117.56,2314600,52.7
"2008-02-19",120.26,126.27,120.14,122.26,6250600,54.81
"2008-02-20",120,124.87,119.67,122.08,4168800,54.73
"2008-02-21",124.57,127.33,119.38,119.76,5011000,53.69
"2008-02-22",116.84,122.27,112.42,121.89,7267000,54.65
"2008-02-25",122,127.4,120.09,126.11,3646600,56.54
"2008-02-26",126.8,127,122.22,124.96,3275200,56.02
"2008-02-27",126.1,126.67,123.35,124.07,2559200,55.62
"2008-02-28",123.68,127.78,123.01,126.93,2616400,56.9
"2008-02-29",126.55,126.55,117.89,119.46,3552600,53.56
"2008-03-03",119.71,125.35,119.71,121.91,3448200,54.65
"2008-03-04",120.9,122.92,115.05,119.18,4189000,53.43
"2008-03-05",119.99,123.67,118.9,122.99,2571200,55.14
"2008-03-06",120.71,123.65,117.56,117.78,1817200,52.8
"2008-03-07",116.48,117.62,111.58,112.41,3096200,50.4
"2008-03-10",112.35,112.35,104.47,105.17,4099600,47.15
"2008-03-11",108.68,114.1,108.07,113.81,3741600,51.02
"2008-03-12",115.51,118.99,114.25,117.86,3049800,52.84
"2008-03-13",114.5,121,113.5,120.16,3519600,53.87
"2008-03-14",121.39,122.49,115.56,118.82,3016400,53.27
"2008-03-17",116.04,116.47,107.24,111.2,2971600,49.85
"2008-03-18",113.3,119.17,111.53,118.09,3434000,52.94
"2008-03-19",118.78,120.48,107.35,107.7,4258000,48.28
"2008-03-20",106,114.69,105.65,113.95,5166200,51.09
"2008-03-24",113.92,120.17,113.92,116.94,2297600,52.43
"2008-03-25",118.69,121,117.33,117.87,2638000,52.84
"2008-03-26",117.59,124.21,117.43,123.65,3358400,55.43
"2008-03-27",123.91,124.86,119.82,120.95,2741200,54.22
"2008-03-28",121.36,124.37,120.46,122.13,2415600,54.75
"2008-03-31",122.25,124.37,117.38,119.82,2740400,53.72
"2008-04-01",120.54,128.96,114.63,127.46,5115000,57.14
"2008-04-02",127.75,133.5,125.41,132.99,3791000,59.62
"2008-04-03",130.88,134,127.61,132.74,3488200,59.51
"2008-04-04",133.03,138.37,132.25,137.33,3059400,61.57
"2008-04-07",140.96,142.76,138.37,141.42,3540400,63.4
"2008-04-08",140.14,145.38,138.92,144.54,2533000,64.8
"2008-04-09",145.99,145.99,140.54,142.64,2703200,63.95
"2008-04-10",141.52,142.88,135.8,141.23,3487600,63.32
"2008-04-11",139.48,142.82,137.38,141.81,2558200,63.58
"2008-04-14",142.07,149.15,140.06,147.91,3940800,66.31
"2008-04-15",150.94,150.94,143.29,147.47,3340600,66.11
"2008-04-16",149.11,152.28,148.59,150.26,3830000,67.36
"2008-04-17",149.43,159.16,147.62,158.05,5034000,70.86
"2008-04-18",158.89,164.73,156.01,163.31,3109600,73.21
"2008-04-21",163.13,164.44,159.52,160.9,3271000,72.13
"2008-04-22",160.6,163.8,159.81,161.34,2727200,72.33
"2008-04-23",162.08,163.7,159.06,160.46,2246600,71.94
"2008-04-24",160.47,160.48,152.8,157.84,2922000,70.76
"2008-04-25",157.94,164.42,157.62,163.32,2092000,73.22
"2008-04-28",163.98,168.84,161.19,166.65,2466600,74.71
"2008-04-29",165.05,165.75,157.62,159.85,3795000,71.66
"2008-04-30",161,163.7,156.05,160.4,3468600,71.91
"2008-05-01",160.19,160.95,147.72,154.81,4156400,69.4
"2008-05-02",154.34,166,153.85,157.59,4285200,70.65
"2008-05-05",160,168.63,157.99,167.22,3790000,74.97
"2008-05-06",163.01,178.96,162.5,175.95,7862400,78.88
"2008-05-07",176.21,181.98,173.51,174.62,4699400,78.28
"2008-05-08",176.91,182.7,175.39,182.02,3961000,81.6
"2008-05-09",181.48,182.98,176.34,179.82,3529200,80.62
"2008-05-12",180.39,181.82,175.56,180.55,2432000,80.94
"2008-05-13",180.84,186.79,177.16,186.79,3821800,83.74
"2008-05-14",187.86,190.9,183.41,183.89,2994400,82.44
"2008-05-15",186.4,192.4,185,190.99,7613000,85.62
"2008-05-16",98.29,99.72,95.06,97.54,2410500,87.46
"2008-05-19",97.7,100.83,93,93.85,3251800,84.15
"2008-05-20",93.56,97.48,93,97.42,2275800,87.35
"2008-05-21",97.79,97.93,92.78,92.99,3122200,83.42
"2008-05-22",93.75,96.12,91.36,94.04,2741500,84.36
"2008-05-23",93.88,94.9,90.77,93.75,2204100,84.1
"2008-05-27",93.85,97.04,92.04,97.04,3545200,87.05
"2008-05-28",97.51,107.15,97.2,107,5350200,95.98
"2008-05-29",106.63,107,99.65,101.09,3969500,90.68
"2008-05-30",103.41,107.88,102.52,106.7,5727200,95.71
"2008-06-02",106.54,110.83,105.77,107.52,2433900,96.45
"2008-06-03",108.03,109.75,102.62,105.9,3219400,95
"2008-06-04",105.32,105.4,101.32,102,3022300,91.5
"2008-06-05",104.49,109.08,100.78,108.8,3457600,97.6
"2008-06-06",107.8,109.08,104.29,104.35,2058300,93.61
"2008-06-09",106.18,107.95,103.08,106.6,2059000,95.62
"2008-06-10",105.67,105.67,98.28,99.6,3360200,89.34
"2008-06-11",101.07,101.99,95.34,95.61,3564400,85.77
"2008-06-12",96.55,100.2,95.56,97.23,2977000,87.22
"2008-06-13",97.74,102.18,97.74,101.58,1758200,91.12
"2008-06-16",101.03,102.5,99.38,101.04,2242100,90.64
"2008-06-17",102.25,106.03,102.08,104.18,2668200,93.45
"2008-06-18",101.61,106.49,100.15,105.5,2750700,94.64
"2008-06-19",105.78,107.6,104.37,105.86,2403200,94.96
"2008-06-20",105.57,106.25,99.83,100.41,2908200,90.07
"2008-06-23",101.35,111.97,100.65,111.27,4873400,99.81
"2008-06-24",111.57,117.58,108.25,114.5,5683200,102.71
"2008-06-25",115.11,115.63,109.24,113.27,3423300,101.61
"2008-06-26",113.14,114.72,106.5,109.6,3097000,98.32
"2008-06-27",109.6,112.99,108.5,111.32,2396900,99.86
"2008-06-30",116.41,121.95,116,119.19,4064100,106.92
"2008-07-01",117.02,118,110.5,115.6,3892600,103.7
"2008-07-02",115.87,118.1,95.16,95.67,8156700,85.82
"2008-07-03",96.42,101.04,91.28,93.57,4998800,83.94
"2008-07-07",94.81,100.69,92.91,98.35,4467500,88.22
"2008-07-08",98.48,98.48,85.3,91.94,7582900,82.47
"2008-07-09",102.35,110.7,102,105.78,9375200,94.89
"2008-07-10",108.14,109.69,99.5,107.87,5614200,96.76
"2008-07-11",105.88,112.45,104.8,109.41,3587500,98.14
"2008-07-14",113.13,114.07,109.41,113.44,2638900,101.76
"2008-07-15",110.93,114.4,103.32,111.46,4892400,99.98
"2008-07-16",106.89,106.89,97.36,104.02,15784300,93.31
"2008-07-17",101.75,106.1,93.21,97.25,7757500,87.24
"2008-07-18",100.42,103.82,97.28,98.23,6272700,88.12
"2008-07-21",98.59,105.41,96.8,104.79,4523300,94
"2008-07-22",103.95,104.95,98.18,100.74,3443600,90.37
"2008-07-23",100.23,103,94.1,95.06,4450500,85.27
"2008-07-24",94.5,98.66,88.26,93,4923500,83.42
"2008-07-25",95.13,99.94,91.77,98.01,3541700,87.92
"2008-07-28",99.4,104.69,97.36,101.13,3501900,90.72
"2008-07-29",106,107.45,100.5,105.8,4265900,94.91
"2008-07-30",108.07,116.14,106.51,116,5765900,104.06
"2008-07-31",115,115,104.8,108.41,5532700,97.25
"2008-08-01",110,112.1,105,105.96,4348100,95.05
"2008-08-04",105,106,98.02,100.79,4471600,90.41
"2008-08-05",100.3,101.75,88.24,94.05,11591200,84.37
"2008-08-06",94,99.98,93.59,95.12,4355200,85.33
"2008-08-07",97.69,97.69,90.26,90.74,3379400,81.4
"2008-08-08",88.8,91.48,85.33,90.26,3620400,80.97
"2008-08-11",90.27,92.53,84.33,85.9,3726200,77.06
"2008-08-12",85.6,88.67,84.96,86.77,3196900,77.84
"2008-08-13",87.84,94.88,87.84,93.67,3689900,84.11
"2008-08-14",93.33,98.4,90.12,96.99,5718700,87.09
"2008-08-15",96.28,97.19,93.15,94.51,2918200,84.87
"2008-08-18",95.35,98.19,93.93,95.04,3040700,85.34
"2008-08-19",94.6,97.09,93.75,94.18,3068000,84.57
"2008-08-20",95.34,99.48,94.75,99.18,3165700,89.06
"2008-08-21",99.97,101.82,97.1,99.85,3410900,89.66
"2008-08-22",98.49,100.42,97.19,99.37,2382200,89.23
"2008-08-25",98.34,99.23,94.88,96.96,2376400,87.07
"2008-08-26",96.94,98.01,95.44,97.37,2938000,87.43
"2008-08-27",99.52,99.65,96.94,99.26,2270400,89.13
"2008-08-28",99.74,101.57,98.39,101.57,2315400,91.2
"2008-08-29",101.19,103.21,100.37,101.22,1757100,90.89
"2008-09-02",98.31,99.01,92.03,92.49,4683100,83.05
"2008-09-03",92.38,92.98,85.22,88.96,5048500,79.88
"2008-09-04",88.96,89.18,79.99,80.97,5366600,72.71
"2008-09-05",80.52,82.69,75.74,82.13,4901800,73.75
"2008-09-08",84.56,86.34,75.22,76.85,4302300,69.01
"2008-09-09",75.48,75.48,67.57,67.94,6285200,61.01
"2008-09-10",68.6,74.18,68.1,71.96,5057400,64.62
"2008-09-11",70.44,74.75,67.7,74.19,5149200,66.62
"2008-09-12",74.34,81.85,73.5,81.59,5943600,73.26
"2008-09-15",77.04,84.47,71.14,73.1,4964600,65.64
"2008-09-16",70,75.49,68.5,75.33,5111900,67.64
"2008-09-17",74.29,74.58,63.8,64.75,5843300,58.14
"2008-09-18",65.85,70.75,63.32,69.22,3906700,62.16
"2008-09-19",76.65,80.48,72,76.4,4829400,68.6
"2008-09-22",76.14,80.52,76.05,76.52,3187100,68.71
"2008-09-23",76.38,77,71.12,71.84,2767000,64.51
"2008-09-24",73.18,73.85,68,68.31,2735000,61.34
"2008-09-25",68.83,69.05,64.25,65.14,4270900,58.49
"2008-09-26",62.37,62.9,58.26,59.89,3913800,53.78
"2008-09-29",56.35,56.5,42.16,48.13,8654000,43.22
"2008-09-30",49.07,53.22,46.66,52.94,5762700,47.54
