"","CLF.Open","CLF.High","CLF.Low","CLF.Close","CLF.Volume","CLF.Adjusted"
"2007-01-03",48.7,48.75,47.01,47.84,1794000,21.25
"2007-01-04",47.4,47.99,47,47.5,1641200,21.1
"2007-01-05",47.15,47.43,46,46.41,2335000,20.62
"2007-01-08",46.36,48.6,46,48.17,1752400,21.4
"2007-01-09",48.09,48.21,47.09,47.85,1322400,21.26
"2007-01-10",47.68,48.87,47.15,48.53,1087000,21.56
"2007-01-11",48.5,49.7,48.43,49.11,931200,21.82
"2007-01-12",49,50.65,49,50.29,1408800,22.34
"2007-01-16",50.52,50.65,49.4,49.68,967200,22.07
"2007-01-17",49.29,50.49,49.24,49.84,897800,22.14
"2007-01-18",49.77,50.62,48.98,49.29,1081200,21.9
"2007-01-19",49.29,50.3,49.22,50.07,1129400,22.24
"2007-01-22",50.07,51.04,50.03,50.21,1028200,22.31
"2007-01-23",50.23,52.11,50.03,52,1905400,23.1
"2007-01-24",51.95,52.9,51.75,52.79,1100400,23.45
"2007-01-25",53.01,53.4,51.7,52.1,952200,23.15
"2007-01-26",52.07,52.7,51.5,52.52,751600,23.33
"2007-01-29",52.5,53.25,52.02,52.84,1390600,23.47
"2007-01-30",52.84,54.21,52.5,53.94,1715200,23.96
"2007-01-31",53.83,55,53.45,54.66,1763800,24.28
"2007-02-01",54.76,55.5,54.26,55.31,1392800,24.57
"2007-02-02",55.32,55.6,54.58,55.4,1243800,24.61
"2007-02-05",55.19,55.44,54.12,54.42,769400,24.18
"2007-02-06",54.68,55.5,54.12,55.49,1010800,24.65
"2007-02-07",55.65,56.04,55.09,55.44,1257800,24.63
"2007-02-08",55.26,55.26,53.73,54.87,798000,24.38
"2007-02-09",54.88,54.88,52.7,52.85,1228400,23.48
"2007-02-12",52.87,53.46,52.52,52.85,969000,23.48
"2007-02-13",53.33,55.8,53.25,54.96,1446600,24.47
"2007-02-14",55.01,55.47,54.65,54.95,1065800,24.47
"2007-02-15",54.7,56.07,54.7,55.31,1613600,24.63
"2007-02-16",55.31,56,54.84,55.82,830400,24.86
"2007-02-20",55.47,56.57,54.98,56.27,975000,25.06
"2007-02-21",55.45,57.07,55.41,56.95,1364000,25.36
"2007-02-22",57.95,59.13,57.19,58.57,2125000,26.08
"2007-02-23",58.57,59.95,58.28,58.96,1638000,26.26
"2007-02-26",59.35,60.9,59.35,60.58,1853000,26.98
"2007-02-27",58.75,58.88,55.3,56.01,3333800,24.94
"2007-02-28",55.9,56.93,55.24,56.32,2970200,25.08
"2007-03-01",55.15,57.76,53.95,56.74,1977400,25.27
"2007-03-02",56.5,56.98,53.6,53.74,2298400,23.93
"2007-03-05",53,54.65,51.81,53.44,3096800,23.8
"2007-03-06",54.2,55.95,54,55.67,1688000,24.79
"2007-03-07",55.67,57.13,55.4,56.05,1615200,24.96
"2007-03-08",56.47,57.93,56.47,57.04,1516600,25.4
"2007-03-09",57.5,58.15,56.67,57.54,1239600,25.62
"2007-03-12",57.43,59.45,56.69,58.37,2284400,25.99
"2007-03-13",58.12,58.72,56.2,56.37,1794600,25.1
"2007-03-14",56.36,58.45,55.96,58.27,1811000,25.95
"2007-03-15",58.4,59.37,58.28,58.89,1507400,26.22
"2007-03-16",58.89,59,57.64,57.98,1063600,25.82
"2007-03-19",58.5,59.32,58.31,59.32,987800,26.42
"2007-03-20",59.72,61.17,59.12,60.73,1937000,27.04
"2007-03-21",60.73,63.03,60.71,62.96,2116600,28.04
"2007-03-22",63.09,63.85,62.75,63.4,1851600,28.23
"2007-03-23",63.4,63.75,62.77,62.94,1446200,28.03
"2007-03-26",62.94,64.5,62.1,64.4,1626200,28.68
"2007-03-27",64.4,64.7,63.28,63.42,1202400,28.24
"2007-03-28",63.25,63.26,62.08,62.16,1465200,27.68
"2007-03-29",63,64.11,62.87,63.93,1622800,28.47
"2007-03-30",64,64.84,63.3,64.01,1608600,28.5
"2007-04-02",64.26,65.68,64.2,65.34,2084600,29.1
"2007-04-03",65.81,66.6,65.4,65.75,1366000,29.28
"2007-04-04",65.71,67.37,65.7,67.06,1182000,29.86
"2007-04-05",67.3,68.27,67.19,67.55,1657600,30.08
