"","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
"2007-01-03",91.6,92.51,91.51,91.93,1753900,72.31
"2007-01-04",92.05,92.23,91.08,91.69,1942900,72.13
"2007-01-05",91.69,92.57,91.37,92.02,1954600,72.38
"2007-01-08",91.55,94.2,91.54,93.69,2002400,73.7
"2007-01-09",94.03,94.67,93.25,93.6,1501600,73.63
"2007-01-10",93.3,94.85,92.86,94.58,1305100,74.4
"2007-01-11",94.55,95.76,94.12,95.66,1949700,75.25
"2007-01-12",95.41,96.68,95.32,96.31,1760500,75.76
"2007-01-16",96.05,97.48,96.03,97,1551800,76.3
"2007-01-17",97.25,97.42,96.07,96.5,2229900,75.91
"2007-01-18",96.12,97.38,96.12,96.8,1562600,76.14
"2007-01-19",96.97,97.75,96.29,97.27,1578400,76.51
"2007-01-22",97.28,97.29,95.6,96.77,3031700,76.12
"2007-01-23",96.7,98.75,96.5,98.74,3159400,77.67
"2007-01-24",98.2,98.21,96.5,97.14,3100300,76.41
"2007-01-25",98.5,98.75,97.44,97.44,2715700,76.65
"2007-01-26",98.75,98.75,96.21,96.67,2306300,76.04
"2007-01-29",96.33,96.62,95.95,96.06,3140600,75.56
"2007-01-30",96,96.36,95.82,96.24,1851000,75.7
"2007-01-31",96.2,97.3,96.16,97.19,1893500,76.45
"2007-02-01",96.9,98.53,96.72,98.46,2281900,77.45
"2007-02-02",97.85,99,97.58,98.46,2322000,77.45
"2007-02-05",98,99.38,97.86,99.08,1763800,77.94
"2007-02-06",99.39,101.32,99.19,101.29,3627000,79.68
"2007-02-07",100.92,101.84,100.67,101.52,2205500,79.86
"2007-02-08",101.52,101.78,100.66,100.88,1300000,79.35
"2007-02-09",100.76,101.59,100.72,101.16,1075700,79.57
"2007-02-12",101.16,101.93,101.13,101.63,1690800,79.94
"2007-02-13",101.64,102.61,101.52,102.26,1632200,80.44
"2007-02-14",102.38,102.81,102,102.32,1010100,80.49
"2007-02-15",102.14,103.46,102.04,103.34,1233800,81.29
"2007-02-16",102.66,103.26,101.58,101.95,1854700,80.2
"2007-02-20",101.7,102.79,101.45,102.79,2235300,80.86
"2007-02-21",102.76,103.42,102.27,102.55,1242900,80.67
"2007-02-22",103.24,103.5,101.12,101.55,3377500,79.88
"2007-02-23",101.59,102.32,101.13,102.11,1630900,80.32
"2007-02-26",102.07,102.34,101,101.47,1383700,79.82
"2007-02-27",101.16,101.34,96.33,97.57,2717300,77.02
"2007-02-28",96.75,98.84,95.84,97.26,3070100,76.77
"2007-03-01",96.25,98.09,92.68,97.82,2382400,77.21
"2007-03-02",97.66,97.94,95.44,95.44,2296700,75.33
"2007-03-05",94.96,97.54,94.8,96.5,2866100,76.17
"2007-03-06",96.89,97.52,96.35,96.9,1898900,76.49
"2007-03-07",96.86,97.1,96.31,96.54,1256100,76.2
"2007-03-08",97.4,97.98,96.72,97.18,1324700,76.71
"2007-03-09",97.56,97.83,96.6,96.89,1176400,76.48
"2007-03-12",96.65,100.02,96.65,100,2120300,78.93
"2007-03-13",99.52,99.74,96.87,96.87,2067900,76.46
"2007-03-14",97.09,98.35,95.95,98.14,2120300,77.47
"2007-03-15",97.94,98.28,97.45,98.05,1425800,77.39
"2007-03-16",98.43,98.47,97.72,97.8,1702800,77.2
"2007-03-19",98,99.06,98,98.97,1150400,78.12
"2007-03-20",98.6,98.69,97.75,98.38,1181000,77.66
"2007-03-21",98.54,99.85,98.39,99.85,1191800,78.82
