"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2008-07-17",73.7,75.06,71.35,75.06,16817200,71.97
"2008-07-18",74.24,74.49,72.12,73.4,11658000,70.38
"2008-07-21",73.91,74.94,71.57,71.9,13234300,68.94
"2008-07-22",69.6,74.23,67.9,74.05,16352000,71
"2008-07-23",73.5,75,72.6,73.25,12485700,70.23
"2008-07-24",72.92,73.73,69.96,70.08,9156400,67.2
"2008-07-25",70.54,72.35,69.07,71.96,9672700,69
"2008-07-28",72.41,73.6,70.25,70.55,8924800,67.65
"2008-07-29",71.03,75.97,71.01,75.97,12260100,72.84
"2008-07-30",77.25,78.9,74.27,78.45,19022300,75.22
"2008-07-31",76.22,78.15,71.49,73.06,37222200,70.05
"2008-08-01",73.3,74.1,70.35,71.73,15428900,68.78
"2008-08-04",71.76,73.6,71.5,72.5,10671500,69.52
"2008-08-05",73.2,74.23,72.32,73.6,8588700,70.57
"2008-08-06",72.8,72.81,71.07,71.48,10231000,68.54
"2008-08-07",70.78,71.25,69.34,69.5,10961800,66.64
"2008-08-08",69.77,72.85,69.11,72.6,9088600,69.61
"2008-08-11",72.44,76.5,71.95,74.79,13822300,71.71
"2008-08-12",74.2,74.8,72.6,72.8,8433600,69.8
"2008-08-13",72.75,74.17,72.48,73.93,7481200,70.99
"2008-08-14",73.87,75.79,73.6,75.78,6459800,72.77
"2008-08-15",75.99,76.53,74.83,75.79,6500800,72.78
"2008-08-18",75.62,76.25,74.14,74.94,6462600,71.96
"2008-08-19",74.45,75.24,73.61,73.74,5276200,70.81
"2008-08-20",74.1,74.71,73.66,74.57,4529700,71.6
"2008-08-21",73.96,74.64,73.19,74.38,3886200,71.42
"2008-08-22",75.36,75.79,73.84,74.09,5238900,71.14
"2008-08-25",73.52,74.89,73.13,73.32,4509900,70.4
"2008-08-26",73.67,74.3,72.87,73.34,4666800,70.42
"2008-08-27",73.03,74.5,72.85,74.45,4785400,71.49
"2008-08-28",74.75,75.81,74.17,75.65,6685300,72.64
"2008-08-29",74.96,76,74.7,75.9,4831600,72.88
"2008-09-02",76.83,77.5,74.39,74.99,7474600,72.01
"2008-09-03",74.56,75.34,72.07,73.05,8850200,70.14
"2008-09-04",72.52,72.63,69.75,70.5,9417500,67.7
"2008-09-05",69.97,71.98,69.25,71.76,10154200,68.91
"2008-09-08",73.51,74.29,68.68,70.1,14167400,67.31
"2008-09-09",70.35,70.35,67.18,67.49,12470500,64.81
"2008-09-10",67.27,69.9,66.63,69.04,10984200,66.29
"2008-09-11",67.41,71.36,67.05,70.95,11783000,68.13
"2008-09-12",69.93,71.66,69.25,71.65,7060100,68.8
"2008-09-15",68.66,70.98,68.26,69.38,9683600,66.62
"2008-09-16",66.62,68.96,65,66.35,20899100,63.71
"2008-09-17",65.81,67.95,64.01,64.09,16884200,61.54
"2008-09-18",64.2,67.24,58.38,66.9,21047300,64.24
"2008-09-19",71.01,71.16,67.04,69.57,17235400,66.8
"2008-09-22",68.92,68.99,64.9,65.18,11566600,62.59
"2008-09-23",65.85,67.47,64.11,66.9,10950900,64.24
"2008-09-24",67.05,67.72,65.5,65.68,6133100,63.07
"2008-09-25",65.75,66.47,64.54,64.6,5973800,62.03
"2008-09-26",62.73,63.4,60.8,62.04,12792800,59.57
"2008-09-29",60.3,60.48,55.89,57.8,19609800,55.5
"2008-09-30",56.38,61.43,56.38,61.39,9680100,58.95
"2008-10-01",60.75,62.1,59.21,61.31,6763500,58.87
"2008-10-02",61.49,61.49,57.31,57.59,8804000,55.3
"2008-10-03",59.07,60.17,56.31,56.84,14588900,54.58
"2008-10-06",53.42,56.02,50.25,55.38,21840200,53.18
"2008-10-07",56,56.44,50.62,51.15,18961400,49.12
"2008-10-08",49.01,54.43,47.75,52.63,18802600,50.54
"2008-10-09",53.79,55.94,49.41,49.85,10634400,47.87
"2008-10-10",47,53.95,47,52,18135400,49.93
"2008-10-13",54.99,59,53.59,58.87,12358300,56.53
"2008-10-14",62,62.11,55.25,57.61,13285600,55.32
"2008-10-15",55.52,56,48.53,49.75,19174800,47.77
"2008-10-16",50.15,53.33,48.04,53.07,14015700,50.96
"2008-10-17",51.5,55.07,51.5,52.22,8774600,50.14
"2008-10-20",53.31,53.82,51.12,52.01,8991400,49.94
"2008-10-21",51.35,53.07,50.29,50.7,7248900,48.68
"2008-10-22",49.97,52,48,48.51,10060900,46.58
"2008-10-23",48.76,49.55,45.74,48.32,11992500,46.4
"2008-10-24",43.8,48.5,43.74,47.98,10199700,46.07
"2008-10-27",47.01,49.2,46.44,46.59,10475400,44.74
"2008-10-28",47.9,51.58,47.05,49.97,14609000,47.98
"2008-10-29",50.4,53.51,49.51,50.69,13998600,48.67
"2008-10-30",50.59,56.16,50.58,54.25,18728300,52.09
"2008-10-31",53.89,56.08,53,55.35,10093200,53.15
"2008-11-03",55.92,56.1,51.91,52.49,7106300,50.4
"2008-11-04",54.38,60.45,53.88,59.81,18400900,57.43
"2008-11-05",58.29,59.2,56.43,56.47,11248000,54.22
"2008-11-06",55.04,56,50.74,51.53,13023200,49.48
"2008-11-07",52.45,54.8,51.31,53.5,7726600,51.37
"2008-11-10",55.3,55.3,51.2,51.99,6629200,49.92
"2008-11-11",50.99,54.99,50.36,53.79,8098200,51.65
"2008-11-12",52.45,55.65,51.18,51.75,10686500,49.79
"2008-11-13",51.88,54.58,49.89,54.44,9683400,52.38
"2008-11-14",53.11,57,52.45,54.24,9352600,52.18
"2008-11-17",53.11,54.23,51.66,52.76,7325800,50.76
"2008-11-18",52.79,55.08,52.61,54.64,7870700,52.57
"2008-11-19",54,55.84,51.24,51.58,8737000,49.62
"2008-11-20",50.21,51.3,48,48.14,12747500,46.32
"2008-11-21",49.6,49.6,43.54,46.38,21192800,44.62
"2008-11-24",47.61,50,45.78,49.72,11213400,47.84
"2008-11-25",50.36,50.97,49,49.53,11239900,47.65
"2008-11-26",48.81,52,48.2,52,6917500,50.03
"2008-11-28",51.71,52.74,51.17,52.56,2652500,50.57
"2008-12-01",51,51.14,47.67,48.05,7737900,46.23
"2008-12-02",48.69,49.76,47.53,49.68,6643300,47.8
"2008-12-03",48.12,52.75,48.11,52.44,9099900,50.45
"2008-12-04",51.93,52.75,50.22,50.81,7621100,48.88
"2008-12-05",49.75,53.47,48.5,53.18,10247900,51.16
"2008-12-08",54.4,57.67,53.97,56.16,13273400,54.03
"2008-12-09",55.5,56.44,53.1,53.53,8031800,51.5
"2008-12-10",53.15,53.85,50.95,53.16,7546700,51.15
"2008-12-11",52.4,54.59,51.72,52.09,7482100,50.12
"2008-12-12",50.51,53.91,50.5,52.95,6275000,50.94
"2008-12-15",52.81,53.77,51.77,52.75,5464700,50.75
"2008-12-16",53.3,54.78,52.74,54.77,7678600,52.69
"2008-12-17",54.29,56,54.06,55.36,6171900,53.26
"2008-12-18",55.37,56.19,54.07,54.7,7593700,52.63
"2008-12-19",54.51,56.23,53.78,54.97,8896300,52.89
"2008-12-22",54.86,55.24,52.98,53.75,3520900,51.71
"2008-12-23",53.52,54.4,53.12,53.65,2667600,51.62
"2008-12-24",53.44,53.75,52.65,52.89,1632400,50.89
"2008-12-26",52.78,53.46,51.93,53.25,1619100,51.23
"2008-12-29",53.05,53.59,51.93,52.17,3450400,50.19
"2008-12-30",52.2,52.2,50.27,50.99,4273800,49.06
"2008-12-31",50.61,52.77,50.6,52.45,4092900,50.46
"2009-01-02",52.92,53.71,52.24,53.44,3299800,51.41
"2009-01-05",53,55.3,53,53.82,4150000,51.78
"2009-01-06",54.5,57.98,54.5,57.61,8126600,55.43
"2009-01-07",56.69,57.95,55.99,56.36,7110400,54.22
"2009-01-08",56.01,56.3,53.27,55.76,8670900,53.65
"2009-01-09",56.02,56.31,54.78,55.62,4175600,53.51
"2009-01-12",55.29,56.15,52.56,52.96,7880100,50.95
"2009-01-13",52.75,53.34,51.51,53.14,5783300,51.13
"2009-01-14",52.01,52.61,50.22,50.97,6311700,49.04
"2009-01-15",50.38,50.85,47.5,49.38,11861600,47.51
"2009-01-16",49.03,49.45,45.21,47.41,17301200,45.61
"2009-01-20",46.05,46.41,42.06,42.42,14941500,40.81
"2009-01-21",43.2,45.15,42.7,44.18,12625800,42.51
"2009-01-22",43.78,45.68,43.23,44.18,7981900,42.51
"2009-01-23",42.69,44.45,41.78,44.32,5654300,42.64
"2009-01-26",44.3,45.24,42.52,42.59,6002300,40.98
"2009-01-27",43.49,44.19,42.64,44.15,6609000,42.48
"2009-01-28",45.91,47.48,45.25,47.22,8022400,45.43
"2009-01-29",45.94,48.11,45.25,46.27,6524400,44.52
"2009-01-30",47.05,49.35,46.86,49.35,7578800,47.48
"2009-02-02",48.26,49.99,47.54,49.97,7136000,48.08
"2009-02-03",50.21,50.95,48.19,48.39,7238400,46.56
"2009-02-04",48.86,50.24,48.56,49.13,8291600,47.27
"2009-02-05",52.24,55.1,51.5,53.74,24182100,51.7
"2009-02-06",53.95,56,53.68,55.41,11476900,53.31
"2009-02-09",55.52,56.35,54.6,55.32,7968600,53.22
"2009-02-10",55.13,56,53.61,53.85,9517900,51.81
"2009-02-11",54.1,55.23,53.5,54.96,5917000,52.98
"2009-02-12",54.28,56.6,53.1,56.4,8706900,54.37
"2009-02-13",56.93,57.95,55.26,55.95,10197000,53.93
"2009-02-17",54.69,55.2,53.67,54.25,8895400,52.3
"2009-02-18",54.57,56.89,54.25,56.15,9082300,54.13
"2009-02-19",56.95,57.9,55.49,55.63,8775600,53.63
"2009-02-20",54.65,56.09,54.5,55.66,10727000,53.65
"2009-02-23",56.04,56.84,53.99,54.25,7991800,52.3
"2009-02-24",54.34,56.98,53.61,56.35,10897700,54.32
"2009-02-25",56.11,56.55,55.14,55.42,8598700,53.42
"2009-02-26",56.25,56.66,54.79,56.06,8975600,54.04
"2009-02-27",55,57.9,55,56.71,11809300,54.67
"2009-03-02",55.93,56.97,53.87,54.16,9765000,52.21
"2009-03-03",54.73,55.63,53.21,54.36,10548900,52.4
"2009-03-04",55,55.87,53.9,55.29,8943800,53.3
"2009-03-05",54.55,55.49,52.68,53.42,11036200,51.5
"2009-03-06",53.76,54.15,49.21,50.19,15175400,48.38
"2009-03-09",49.67,51.08,48.74,49.8,8388600,48.01
"2009-03-10",50.99,52.87,50.59,52.87,9661100,50.97
"2009-03-11",53.66,53.66,50.52,51.37,9031100,49.52
"2009-03-12",51.3,54.09,50.27,54.09,10819000,52.14
"2009-03-13",54.26,55.35,51.7,52.05,12391100,50.18
"2009-03-16",52.98,53.73,51.86,52.17,8368600,50.29
"2009-03-17",52,55.38,51.33,55.29,6432600,53.3
"2009-03-18",54.45,56.5,53.46,56.31,11324100,54.28
"2009-03-19",56.38,56.7,52.43,52.69,10435900,50.79
"2009-03-20",53.2,54.36,52.5,52.53,8369000,50.64
"2009-03-23",53.87,55.58,52.9,55.54,11164200,53.54
"2009-03-24",54.28,54.79,53.27,53.6,10888900,51.67
"2009-03-25",53.95,54.75,51.28,52.75,14656200,50.85
"2009-03-26",53.38,55.79,52.52,55.5,14866600,53.5
"2009-03-27",54.28,56.31,54.21,54.25,8171800,52.3
"2009-03-30",53.3,54.85,53.01,53.5,9649100,51.57
"2009-03-31",54.4,56.23,53.84,55.6,11861600,53.6
"2009-04-01",54.75,56,53.63,54.29,11036100,52.33
"2009-04-02",55.46,57.11,55.12,55.59,11849200,53.59
"2009-04-03",55.27,60.16,55.27,60.08,14423700,57.92
"2009-04-06",58.7,60.04,57.75,59.13,11231900,57
"2009-04-07",58.38,58.76,57.07,57.15,6780600,55.09
"2009-04-08",57.8,57.87,56.41,57.82,5953900,55.74
"2009-04-09",58.85,59.53,57.63,58.79,11446400,56.67
"2009-04-13",58.16,61.4,58,61.11,9531100,58.91
"2009-04-14",60.11,60.92,58.13,58.33,8928000,56.23
"2009-04-15",58.03,59.28,57.25,59.11,7421900,56.98
"2009-04-16",58.1,59.37,57.5,58.07,9028500,55.98
"2009-04-17",58.18,59.13,57.26,58,9453600,55.91
"2009-04-20",57,57.68,54.96,55,10644300,53.02
"2009-04-21",54.84,58.7,54.25,58.63,9436500,56.52
"2009-04-22",57.8,59.94,57.21,57.51,8670000,55.44
"2009-04-23",58.25,58.97,57.1,58.23,8972700,56.13
"2009-04-24",59.31,60.75,58.04,60.38,9921500,58.2
"2009-04-27",58.78,59.72,58.63,58.87,7374200,56.75
"2009-04-28",58.15,62.04,58.1,60.71,10571900,58.52
"2009-04-29",61.89,63.74,61.51,63.51,14810100,61.22
"2009-04-30",64.14,68,63.92,64.96,25438400,62.62
"2009-05-01",64.15,66.3,62.64,65.01,15154200,62.67
"2009-05-04",66.08,68.56,64.72,68.2,19733800,65.74
"2009-05-05",67.82,68.5,66.97,67.39,14196500,64.96
"2009-05-06",68.07,68.22,65.75,66.19,10457600,63.81
"2009-05-07",66.63,67,65.35,65.53,8682800,63.17
"2009-05-08",65.97,68.47,65.5,68.43,9458700,65.96
"2009-05-11",66.8,67.95,65.93,65.93,6495000,63.56
"2009-05-12",66.84,67.25,64.71,65.22,9093400,62.87
"2009-05-13",64.32,65.47,63.51,64.47,11888900,62.25
"2009-05-14",63.98,65.1,63.51,64.52,8215400,62.3
"2009-05-15",64.45,65.5,64.02,65.07,6170500,62.83
"2009-05-18",65.32,66.55,64.26,66.41,14826100,64.12
"2009-05-19",66.03,66.31,64.29,64.8,11446100,62.57
"2009-05-20",65.26,66.96,64.61,64.96,8464500,62.72
"2009-05-21",64.51,66.32,64.47,66.28,13930900,64
"2009-05-22",66.91,67.5,65.23,65.75,5433800,63.48
"2009-05-26",65.79,66.89,65.28,66.77,5139200,64.47
"2009-05-27",66.33,68.14,65.25,65.92,6789200,63.65
"2009-05-28",66.29,66.99,65.75,66.5,5046000,64.21
"2009-05-29",66.63,67.9,65.8,67.71,8049600,65.38
"2009-06-01",68.5,68.95,65.82,66.66,10907000,64.36
"2009-06-02",66.4,67,65.5,66.81,7760900,64.51
"2009-06-03",66.69,68.76,65.87,68.23,8840700,65.88
"2009-06-04",68.45,71.24,68.32,69.52,14055300,67.12
"2009-06-05",70.01,70.84,68.8,69.28,18565200,66.89
