"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2007-03-09",70.95,70.99,70.37,70.63,3071500,57.53
"2007-03-12",70.88,71.39,70.62,71.15,3238800,57.95
"2007-03-13",70.5,70.98,69.76,69.91,4159900,56.94
"2007-03-14",70.12,70.32,68.75,70.23,5049200,57.2
"2007-03-15",70.3,70.64,69.33,69.41,4343700,56.54
"2007-03-16",69.7,69.82,68.81,69.26,6065400,56.41
"2007-03-19",69.65,69.85,69.07,69.48,3494000,56.59
"2007-03-20",69.28,70.38,69.26,70.25,2839400,57.22
"2007-03-21",69.7,71.32,69.34,71.28,5350600,58.06
"2007-03-22",70.71,71.38,70.57,71.09,3341600,57.9
"2007-03-23",71.13,71.63,70.79,71.47,3123600,58.21
"2007-03-26",71.25,71.35,70.5,71.31,2782100,58.08
"2007-03-27",71.03,71.16,70.64,70.9,2160000,57.75
"2007-03-28",70.6,70.9,70.04,70.4,3141600,57.34
"2007-03-29",71.49,71.49,69.62,70.16,3389300,57.15
"2007-03-30",70.16,70.73,69.59,70.1,3216900,57.1
"2007-04-02",70.09,70.14,69.53,69.86,3251700,56.9
"2007-04-03",70,70.41,69.75,69.96,3802800,56.98
"2007-04-04",69.8,69.98,69.57,69.88,3278500,56.92
"2007-04-05",69.75,70.39,69.65,70.26,3813900,57.23
"2007-04-09",70.24,70.99,70,70.09,2729500,57.09
"2007-04-10",70.07,70.9,70,70.79,3257200,57.66
"2007-04-11",70.62,70.76,70.19,70.47,3452100,57.4
"2007-04-12",70.29,70.6,69.81,70.38,2920400,57.33
"2007-04-13",70.81,70.81,69.71,70.31,2679100,57.27
"2007-04-16",70.41,71.17,70.19,71.08,2963900,57.9
"2007-04-17",71.25,71.88,70.86,71.64,2762800,58.35
"2007-04-18",71.15,71.58,71.09,71.4,2788500,58.16
"2007-04-19",71.75,72.05,71,71.99,3236000,58.64
"2007-04-20",71.99,73.2,71.99,72.82,5555800,59.31
"2007-04-23",72.65,73,71.9,71.94,2575200,58.6
"2007-04-24",71.81,72.15,71.44,71.93,3482200,58.59
"2007-04-25",71.48,73.05,71.11,73,4411100,59.46
"2007-04-26",72.4,72.75,71.65,71.91,5186400,58.57
"2007-04-27",71.87,71.9,71.09,71.5,3895900,58.24
"2007-04-30",71.39,71.52,70.37,70.43,4423100,57.37
"2007-05-01",70.6,70.68,69.71,69.94,5320900,56.97
"2007-05-02",70,70.88,70,70.74,4514300,57.62
"2007-05-03",70.97,71.4,70.66,70.89,3284000,57.74
"2007-05-04",70.99,71.34,70.83,71.09,2524900,57.9
"2007-05-07",71.34,71.48,70.75,70.78,2178900,57.65
"2007-05-08",70.62,70.89,70.25,70.84,2739200,57.7
"2007-05-09",70.84,71.1,70.58,70.9,2854400,57.75
"2007-05-10",70.5,71.06,69.75,69.83,4801800,56.88
"2007-05-11",69.99,71.42,69.92,71.27,4383200,58.05
"2007-05-14",71.05,71.43,70.44,70.68,2577400,57.57
"2007-05-15",70.8,71.28,70.4,70.48,3706300,57.41
"2007-05-16",70.6,71.36,70.28,71.34,2932600,58.11
"2007-05-17",70.92,70.92,70.09,70.15,2761000,57.48
"2007-05-18",70.25,70.36,70,70.05,3364000,57.39
"2007-05-21",70.02,70.5,69.9,70.31,3340400,57.61
"2007-05-22",70.5,70.5,69.91,70.1,2839600,57.44
"2007-05-23",70.1,70.45,69.85,69.98,3491300,57.34
"2007-05-24",70.25,70.91,70.11,70.65,4341300,57.89
"2007-05-25",70.73,71.24,70.68,71.08,2920700,58.24
"2007-05-29",71.1,71.5,70.91,71.34,2906300,58.45
"2007-05-30",71.17,71.56,70.9,71.56,3048700,58.63
"2007-05-31",71.56,72.2,71.35,71.97,3332100,58.97
"2007-06-01",72.1,72.47,71.97,72.36,3521200,59.29
"2007-06-04",72.36,72.36,71.79,72.27,2285600,59.21
"2007-06-05",72.5,72.5,71.63,71.72,3407300,58.76
"2007-06-06",71.63,71.63,71,71.62,3409800,58.68
"2007-06-07",71.62,72.3,70.93,71.25,5872900,58.38
"2007-06-08",71.25,72.44,71.25,72.32,4188800,59.25
"2007-06-11",72.07,72.88,71.75,72.48,3589700,59.39
"2007-06-12",72.05,72.4,71.2,71.25,3650700,58.38
"2007-06-13",71.65,72.26,70.96,72.14,3435500,59.11
"2007-06-14",72.14,74.04,72.14,73.95,6573000,60.59
"2007-06-15",74.26,74.48,74,74.05,5461300,60.67
"2007-06-18",74,74.14,73.25,73.32,3545500,60.07
"2007-06-19",73,73.2,72.46,73,3702300,59.81
"2007-06-20",72.24,74.09,72.24,72.91,4110000,59.74
"2007-06-21",73.09,73.59,72.66,73.37,2782400,60.12
"2007-06-22",73,73.1,72.34,72.85,3625300,59.69
"2007-06-25",72.68,73.91,72.68,73.29,3951900,60.05
"2007-06-26",73.43,73.75,72.83,73.15,2990400,59.93
"2007-06-27",72.58,73.66,72.48,73.56,3532700,60.27
"2007-06-28",73.83,73.9,73.11,73.62,2633700,60.32
"2007-06-29",73.58,73.73,72.57,73,4397400,59.81
"2007-07-02",73.48,73.85,72.89,73.33,3063500,60.08
"2007-07-03",73.35,73.48,73.04,73.2,1444700,59.98
"2007-07-05",73.1,73.8,72.7,73.75,2994900,60.43
"2007-07-06",73.76,73.84,73.38,73.7,2325900,60.39
"2007-07-09",73.8,74.57,73.58,74.4,3806300,60.96
"2007-07-10",73.72,74.5,73.63,74.04,4503400,60.66
"2007-07-11",73.82,74.49,73.58,74.33,2224600,60.9
"2007-07-12",73.76,74.81,73.55,74.76,2926700,61.25
"2007-07-13",74.58,75.42,74.34,75.15,4441100,61.57
"2007-07-16",75.98,76,74.76,75.53,3712200,61.88
"2007-07-17",75.26,75.9,74.81,75.52,3057000,61.88
"2007-07-18",75.57,75.88,74.64,75.2,4200500,61.61
"2007-07-19",75.26,75.98,75.1,75.84,3588200,62.14
"2007-07-20",75.62,75.62,74.75,75.01,5094400,61.46
"2007-07-23",74.98,75.55,74.29,74.54,4390100,61.07
"2007-07-24",74.05,76.15,74.05,74.68,7001100,61.19
"2007-07-25",75.48,78.4,74.91,76.21,5703200,62.44
"2007-07-26",75.6,76.53,75.22,75.7,8206100,62.02
"2007-07-27",75.7,76.89,75.51,75.67,7603500,62
"2007-07-30",75.67,77,75.5,76.82,6635200,62.94
"2007-07-31",77,77.15,75.64,75.72,7073500,62.04
"2007-08-01",75.51,77.07,75.16,76.93,6828700,63.03
"2007-08-02",76.96,77.4,76.02,76.58,5554100,62.75
"2007-08-03",76.44,76.91,75.13,75.17,5924300,61.59
"2007-08-06",75.43,77.83,75.35,77.83,7055700,63.77
"2007-08-07",77.01,78.5,77.01,77.74,7464400,63.7
"2007-08-08",77.56,78.61,77.1,78.37,5706300,64.21
"2007-08-09",77.5,78.99,77.4,78.1,7435200,63.99
"2007-08-10",76.84,78.01,76.32,76.75,10144000,62.88
"2007-08-13",76.8,77.64,76.51,76.71,4634200,62.85
"2007-08-14",76.82,76.9,75.67,75.71,5010800,62.03
"2007-08-15",75.71,75.75,74.07,74.23,6679200,60.82
"2007-08-16",73,75.51,72.87,74.82,8968000,61.3
"2007-08-17",76.07,76.78,75.03,76.32,7609000,62.53
"2007-08-20",76.13,76.72,75.56,75.94,3671800,62.22
"2007-08-21",75.6,76.34,75.17,75.52,3257700,61.88
"2007-08-22",75.76,76.24,75.48,76.04,3334000,62.3
"2007-08-23",76.28,76.64,75.69,76.42,3655800,62.61
"2007-08-24",76.29,77.14,76.27,77.03,3733300,63.11
"2007-08-27",76.63,77.11,76.11,76.42,2788600,62.61
"2007-08-28",76.11,76.75,75.3,75.34,3936400,61.73
"2007-08-29",75.57,76.15,75.27,76.08,3459400,62.34
"2007-08-30",75.51,76.12,75.03,75.48,3425700,61.84
"2007-08-31",75.91,76.18,75.25,75.86,3196800,62.16
"2007-09-04",75.54,76.32,75.12,76.15,3009200,62.39
"2007-09-05",75.78,75.96,75.05,75.36,3993400,61.75
"2007-09-06",75.3,75.39,74.17,75.09,2779400,61.87
"2007-09-07",74.4,74.66,73.62,74.13,5186900,61.08
"2007-09-10",74.39,74.59,73.35,73.79,3354000,60.8
"2007-09-11",73.81,74.43,73.31,74.15,4538000,61.09
"2007-09-12",74.09,74.79,73.89,74.17,3060800,61.11
"2007-09-13",74.44,75.09,74.1,74.38,3138500,61.28
"2007-09-14",74.1,74.7,73.56,74.38,2980000,61.28
"2007-09-17",74.28,74.89,74.11,74.33,1984300,61.24
"2007-09-18",74.83,75.92,74.11,75.78,4172600,62.44
"2007-09-19",76.4,76.42,75.32,75.97,3911700,62.59
"2007-09-20",75.37,75.72,75.05,75.27,4061500,62.02
"2007-09-21",75.33,76.3,75.27,75.75,4322900,62.41
"2007-09-24",75.66,76.22,75.31,75.46,2816300,62.17
"2007-09-25",75.18,75.73,74.56,75.4,3649600,62.12
"2007-09-26",75.46,75.73,74.53,74.84,3963400,61.66
"2007-09-27",75.15,75.29,74.47,74.82,3848600,61.65
"2007-09-28",75.15,75.33,74.82,75.1,3267700,61.88
"2007-10-01",75.54,76.53,75.54,75.9,4193500,62.54
"2007-10-02",75.78,76.29,75.37,75.65,2958000,62.33
"2007-10-03",75.71,76.19,75.23,75.59,2277000,62.28
"2007-10-04",75.62,75.81,75.47,75.6,1820900,62.29
"2007-10-05",76,76.87,75.71,76.41,2971400,62.96
"2007-10-08",76.36,76.69,76.11,76.45,1351500,62.99
"2007-10-09",76.44,77,76.14,76.88,2803000,63.34
"2007-10-10",76.71,76.88,76.01,76.33,3245600,62.89
"2007-10-11",76.4,77.76,76.09,76.51,3293700,63.04
"2007-10-12",76.51,76.88,76.16,76.62,2613600,63.13
"2007-10-15",76.57,76.86,76.17,76.54,2674900,63.06
"2007-10-16",76.5,76.55,75.63,75.81,3063800,62.46
"2007-10-17",76.23,76.35,75.52,76,2782900,62.62
"2007-10-18",75.96,76.42,75.64,76.02,3049200,62.64
"2007-10-19",75.51,75.95,74.99,75.03,5153900,61.82
"2007-10-22",74.67,75.6,74.36,75.09,5263300,61.87
"2007-10-23",76.4,76.47,74.65,75.64,4293300,62.32
"2007-10-24",75.35,75.9,74,75.46,4424800,62.17
"2007-10-25",75.63,75.85,74.34,74.97,2980800,61.77
"2007-10-26",75.18,75.32,74.4,74.97,2802500,61.77
"2007-10-29",74.58,75.44,74.4,75.1,2115600,61.88
"2007-10-30",75,75.27,74.31,74.75,2216100,61.59
"2007-10-31",75.04,75.61,74.69,75.1,3741800,61.88
"2007-11-01",74.73,75.1,73.39,73.59,3984300,60.63
"2007-11-02",73.7,74.57,73.46,74.03,3720200,61
"2007-11-05",73.14,74.93,73.14,74.48,3292300,61.37
"2007-11-06",74.42,74.8,73.39,74.23,4689700,61.16
"2007-11-07",73.5,73.96,71.63,71.68,5568900,59.06
"2007-11-08",71.75,72.45,71.05,72.06,6709400,59.37
"2007-11-09",71.25,71.92,70.63,70.71,5231500,58.26
"2007-11-12",71.14,73.67,70.9,72.65,5669700,59.86
"2007-11-13",73.11,74.08,72.54,74,4405900,60.97
"2007-11-14",74.3,74.47,73.18,73.33,3258400,60.42
"2007-11-15",73,73.67,72.54,73.1,3390300,60.58
"2007-11-16",71,72.3,70.89,72.01,6782100,59.67
"2007-11-19",71.41,72.24,70.86,71.96,5405300,59.63
"2007-11-20",71.93,72.87,71.14,71.65,5461200,59.37
"2007-11-21",71,71.67,70,70.14,6158200,58.12
"2007-11-23",70.46,70.94,70.38,70.92,1726900,58.77
"2007-11-26",70.98,71.98,70.07,70.36,4704700,58.31
"2007-11-27",70.58,71.54,70.5,71.44,4511400,59.2
"2007-11-28",71.83,73.73,71.39,73.57,5644900,60.97
"2007-11-29",73.19,73.66,72.79,73.3,3295300,60.74
"2007-11-30",73.91,74.32,73.32,73.68,4507900,61.06
"2007-12-03",73,73.68,72.67,72.9,3981400,60.41
"2007-12-04",72.61,73.24,72.16,72.63,2525700,60.19
"2007-12-05",73.45,73.54,72.85,73.34,2321800,60.78
"2007-12-06",74,74,73,73.83,2361400,61.18
"2007-12-07",73.82,74.81,73.82,74.17,3431400,61.46
"2007-12-10",74.53,75.44,74.16,75.14,4582400,62.27
"2007-12-11",75.41,75.79,73.89,74.03,5334200,61.35
"2007-12-12",75.82,75.82,73.24,74.04,5685800,61.36
"2007-12-13",73.53,74,72.89,73.92,4957000,61.26
"2007-12-14",73.1,73.36,72.59,72.61,3901800,60.17
"2007-12-17",72.15,72.9,71.66,72.02,5147300,59.68
"2007-12-18",72.55,72.64,71.79,72.48,3780600,60.06
"2007-12-19",72.35,72.55,71.17,71.3,4293600,59.08
"2007-12-20",70.72,71.64,70.25,71.6,4802400,59.33
"2007-12-21",71.96,73.3,71.96,72.4,7099700,60
"2007-12-24",72.5,73.6,72.1,73.46,1554000,60.87
"2007-12-26",73.17,73.5,72.49,73.2,2556600,60.66
"2007-12-27",73.18,73.19,71.85,71.9,2768500,59.58
"2007-12-28",72.25,72.53,71.26,71.56,2860000,59.3
"2007-12-31",71.19,71.33,70.61,70.72,3319200,58.6
"2008-01-02",70.55,70.55,68.85,69.16,6506100,57.31
"2008-01-03",69.25,69.89,68.92,69.23,3842500,57.37
"2008-01-04",68.51,69.09,67.8,68.01,5501300,56.36
"2008-01-07",68.29,68.79,67.32,67.84,6548000,56.22
"2008-01-08",67.89,68.18,66.46,66.67,5459700,55.25
"2008-01-09",66.59,67.16,65.74,66.71,5093900,55.28
"2008-01-10",68.78,70.49,68.31,69.66,12525400,57.73
"2008-01-11",69.55,70.55,69.25,69.59,7260800,57.67
"2008-01-14",70.01,70.06,69.29,69.92,5293900,57.94
"2008-01-15",69.19,69.8,68.54,68.96,6674600,57.15
"2008-01-16",68.72,69.5,68.15,68.63,6663600,56.87
"2008-01-17",68.7,69.14,67.09,67.17,9622500,55.66
"2008-01-18",67.22,68.18,66.77,67.16,7247800,55.65
"2008-01-22",64.01,67.97,64.01,67.54,8553400,55.97
"2008-01-23",67.23,71.98,66,71.63,10772500,59.36
"2008-01-24",70.84,71.79,70.41,71.22,6769800,59.02
"2008-01-25",71.76,71.89,69.69,69.97,5934900,57.98
"2008-01-28",69.93,71.11,69.18,71.05,6135700,58.88
"2008-01-29",70.96,71.96,70.37,70.92,6929800,58.77
"2008-01-30",69.31,73.4,69.31,72.02,8812400,59.68
"2008-01-31",71.48,73.52,70.3,72.97,8450400,60.47
"2008-02-01",73.03,73.95,71.8,73.78,4694100,61.14
"2008-02-04",73.78,73.95,72.64,72.72,3495000,60.26
"2008-02-05",72.46,72.97,71.53,71.75,5139100,59.46
"2008-02-06",72.36,72.62,71.67,71.76,3559900,59.47
"2008-02-07",71.22,72.57,70.55,71.74,5950800,59.82
"2008-02-08",71.49,71.71,70.37,70.58,4583200,58.86
"2008-02-11",70.48,71.79,69.93,71.41,5447800,59.55
"2008-02-12",71.71,72.85,71.45,72.47,5182300,60.43
"2008-02-13",72.56,73.74,72.48,73.51,6273400,61.3
"2008-02-14",73.39,73.69,72.34,72.34,3570900,60.32
"2008-02-15",72.2,72.68,71.87,72.42,3398600,60.39
"2008-02-19",73.1,73.1,71.61,72.23,4156700,60.23
"2008-02-20",71.56,72.87,71.56,72.64,3046100,60.58
"2008-02-21",72.5,73,71.85,71.9,3115700,59.96
"2008-02-22",72.05,72.3,70.69,71.89,4738100,59.95
"2008-02-25",72.23,72.66,71.44,72.48,4584600,60.44
"2008-02-26",72.27,72.87,71.72,72.53,3655200,60.48
"2008-02-27",72.04,73,72.03,72.31,2618600,60.3
"2008-02-28",72,72.07,71.41,71.75,3109100,59.83
"2008-02-29",71,71.41,70.13,70.24,6565100,58.57
"2008-03-03",70.01,70.8,69.41,70.61,4747600,58.88
"2008-03-04",70.1,71.22,70,71.05,5142500,59.25
"2008-03-05",70.89,72.34,70.89,72.3,7372100,60.29
"2008-03-06",72.09,72.65,71.56,72.04,5347200,60.07
"2008-03-07",71.34,72.54,71.34,71.96,5511100,60.01
"2008-03-10",71.88,72.34,70.9,71.19,5227000,59.37
"2008-03-11",71.5,72.86,71.3,72.79,6412000,60.7
"2008-03-12",71.03,72.76,71.03,71.94,5195200,59.99
"2008-03-13",70.82,71.67,70.01,70.73,8300800,58.98
"2008-03-14",70.59,71,68.92,69.61,8540100,58.05
"2008-03-17",68.55,70.28,68.36,69.61,6428300,58.05
"2008-03-18",70.4,71.9,69.89,71.9,8871300,59.96
"2008-03-19",71.9,72.52,70.6,70.64,6768700,58.91
"2008-03-20",70.01,71.83,70.01,71.66,9024500,59.76
"2008-03-24",71.8,73.72,71.15,73.36,6906800,61.18
"2008-03-25",73.5,73.74,72.53,73.34,5154600,61.16
"2008-03-26",73.03,73.19,72.49,72.73,4439700,60.65
"2008-03-27",72.75,73.45,72.42,72.83,4169300,60.73
"2008-03-28",73.04,73.31,72.21,72.26,3279700,60.26
"2008-03-31",72.19,73.39,72,73.02,4543200,60.89
"2008-04-01",73.17,74.75,73.17,74.73,7955900,62.32
"2008-04-02",74.66,75.08,74.1,74.51,6149300,62.13
"2008-04-03",74.21,74.73,73.65,74.58,3954100,62.19
"2008-04-04",74.64,74.9,74.17,74.41,3793200,62.05
"2008-04-07",74.45,74.62,73.51,73.78,5374200,61.53
"2008-04-08",73.8,73.86,73.1,73.31,6779900,61.13
"2008-04-09",71.05,71.61,70.43,70.57,14156500,58.85
"2008-04-10",70.71,71.74,70.46,71.33,4672700,59.48
"2008-04-11",70.62,71.98,70.51,70.89,5579300,59.12
"2008-04-14",70.42,71.12,70.02,70.25,5526500,58.58
"2008-04-15",70.58,71.47,70.2,71.03,3495800,59.23
"2008-04-16",71.49,72.96,71.18,72.79,4895000,60.7
"2008-04-17",72.43,72.62,71.65,72.2,3794800,60.21
"2008-04-18",73,73.34,72.59,73.19,5709200,61.03
"2008-04-21",72.66,73.04,72.36,72.52,4238000,60.48
"2008-04-22",72,72.3,71.42,71.9,4410400,59.96
"2008-04-23",71.37,72.9,70.95,71.67,4960600,59.77
"2008-04-24",71.27,73.14,71.27,72.77,4795600,60.68
"2008-04-25",72.98,73.17,71.51,72.72,3254200,60.64
"2008-04-28",72.98,73.12,72.32,72.76,2809300,60.68
"2008-04-29",72.52,73.45,72.52,73.19,3222800,61.03
"2008-04-30",73.47,73.64,72.3,72.41,5178100,60.38
"2008-05-01",72.17,74,72.17,73.58,4325300,61.36
"2008-05-02",74.14,74.14,72.55,73.28,4061100,61.11
"2008-05-05",72.65,72.88,72.17,72.74,3412100,60.66
"2008-05-06",72.25,73.4,72.08,73.33,3316500,61.15
"2008-05-07",73.5,73.5,71.45,71.58,4912200,59.69
"2008-05-08",71.99,72.3,70.66,71.07,4633000,59.27
"2008-05-09",70.51,70.8,70.05,70.29,4179600,58.62
"2008-05-12",69.8,70.68,69.6,70.42,4075500,58.72
"2008-05-13",70.64,71.13,70.29,70.8,3876600,59.04
"2008-05-14",70.98,72.04,70.8,71.6,3553400,59.71
"2008-05-15",71.49,71.49,70.27,71.36,4504400,59.88
"2008-05-16",71.33,71.33,70.05,70.77,4228900,59.39
"2008-05-19",70.94,71.85,70.6,70.92,3536000,59.51
"2008-05-20",70.5,70.9,69.98,70.2,3336000,58.91
"2008-05-21",70.46,70.81,69.15,69.38,6819800,58.22
"2008-05-22",69.61,69.78,69.1,69.35,4198100,58.2
"2008-05-23",69.16,69.48,66.8,67.02,11591500,56.24
"2008-05-27",66.92,68.57,66.92,68.4,6319700,57.4
"2008-05-28",70.27,70.98,69.5,70.54,9399900,59.2
"2008-05-29",70.89,71.9,70.37,71.6,6796400,60.09
"2008-05-30",71.67,71.72,70.86,71.02,4534500,59.6
"2008-06-02",71.02,71.38,70.52,70.99,4275100,59.57
"2008-06-03",71.1,71.74,70.41,70.83,4314300,59.44
"2008-06-04",70.5,71.15,70.26,70.74,3499700,59.36
"2008-06-05",70.72,71.22,70.43,71.05,3028100,59.62
"2008-06-06",70.48,70.48,68.54,68.59,5946200,57.56
"2008-06-09",69.21,69.68,68.76,69.47,3328100,58.3
"2008-06-10",69.09,70.22,68.54,69.99,5522400,58.73
"2008-06-11",69.18,69.4,67.93,68.06,5124200,57.11
"2008-06-12",68.5,69.57,67.68,68.29,4015600,57.31
"2008-06-13",68.78,69.14,67.5,68.31,6231100,57.32
"2008-06-16",67.99,68.45,67.89,68.08,3431900,57.13
"2008-06-17",68.29,68.32,67.23,67.34,3534600,56.51
"2008-06-18",65.5,66.44,65.01,65.8,8196400,55.22
"2008-06-19",65.63,67.08,65.28,66.84,5741400,56.09
"2008-06-20",65.85,67.08,65.85,66.37,8470500,55.7
"2008-06-23",66.88,66.9,66.17,66.26,4323500,55.6
"2008-06-24",63.68,64.72,62.18,62.26,14626600,52.25
"2008-06-25",62.43,62.55,61.18,61.4,9857600,51.53
"2008-06-26",61.15,61.42,59.83,59.88,10591600,50.25
"2008-06-27",59.83,60.44,59.3,60.36,9467000,50.65
"2008-06-30",60.33,62.13,59.94,61.47,9080500,51.58
"2008-07-01",60.42,61,59.5,60.5,9432700,50.77
"2008-07-02",60.76,60.96,58.54,58.54,8839400,49.13
"2008-07-03",58.37,60.02,58.26,59.47,5184400,49.91
"2008-07-07",59.83,60.5,57.62,57.9,8549200,48.59
"2008-07-08",58.94,60.45,58.77,60.4,10272100,50.69
"2008-07-09",60.35,61,59.22,59.29,6207200,49.76
"2008-07-10",59.41,59.9,58.63,59.3,5098300,49.76
"2008-07-11",58.51,58.93,57.15,57.99,7010000,48.66
"2008-07-14",58.58,58.77,57,57.19,5187000,47.99
"2008-07-15",57.05,57.65,56.1,56.44,6206400,47.36
"2008-07-16",56.61,59.21,56.41,59.14,6108600,49.63
"2008-07-17",59.5,60.04,58.42,59.77,7337600,50.16
"2008-07-18",59.71,61.02,59.01,60.81,9593800,51.03
"2008-07-21",61.52,61.52,59.06,59.46,5252500,49.9
"2008-07-22",59.03,62.2,59.03,62.11,7114100,52.12
"2008-07-23",62.93,63.57,61.51,63.4,7172800,53.2
"2008-07-24",63.53,63.65,62.45,62.51,7029700,52.46
"2008-07-25",62.84,63.39,62.13,62.55,4292000,52.49
"2008-07-28",62.49,62.74,61.59,61.59,4613100,51.69
"2008-07-29",62.1,63.77,61.71,63.61,5923700,53.38
"2008-07-30",64,64.85,62.2,62.94,6184700,52.82
"2008-07-31",62.56,63.52,62.48,63.08,5922700,52.94
"2008-08-01",62.67,63.2,61.38,62.26,4805900,52.25
"2008-08-04",62.11,63.25,61.98,62.57,3443500,52.51
"2008-08-05",62.97,65.43,62.97,65.25,7080400,54.76
"2008-08-06",65.13,65.13,63.74,64.3,4251300,53.96
"2008-08-07",63.32,64.22,63.01,63.26,4446000,53.09
"2008-08-08",63.59,66.02,63.59,65.7,6374000,55.13
"2008-08-11",65.45,66.33,64.54,65.51,5256800,54.97
"2008-08-12",64.89,65.64,64.58,64.93,3594200,54.49
"2008-08-13",64.59,65.01,63.5,64.6,3971200,54.21
"2008-08-14",64.27,66.08,63.75,65.59,4744300,55.04
"2008-08-15",66,66.86,65.64,66.14,5080800,55.5
"2008-08-18",66.26,66.41,64.92,65.3,4029000,54.8
"2008-08-19",64.91,65.12,63.9,64,5559700,53.71
"2008-08-20",64.08,64.77,62.34,63.07,5139200,52.93
"2008-08-21",62.11,62.37,60.99,62.19,3702700,52.56
"2008-08-22",62.41,63.74,62.41,63.52,3655700,53.69
"2008-08-25",63.06,63.52,62.47,62.87,3795400,53.14
"2008-08-26",62.4,62.95,62.07,62.8,3934300,53.08
"2008-08-27",62.76,64,62.15,63.52,3561900,53.69
"2008-08-28",63.82,65.08,63.6,64.7,3203100,54.69
"2008-08-29",64.5,65.16,64.04,64.12,3243700,54.2
"2008-09-02",64.99,66.99,64.85,65.01,5300500,54.95
"2008-09-03",65.05,65.81,64.55,65.65,5342000,55.49
"2008-09-04",65.5,65.95,63.65,64.16,5090000,54.23
"2008-09-05",63.77,64.07,62.65,63.89,4067500,54
"2008-09-08",64.88,66.26,64.76,65.99,5804300,55.78
"2008-09-09",65.25,66.94,65.16,65.16,5907500,55.07
"2008-09-10",66.68,67.47,66.05,66.69,6493000,56.37
"2008-09-11",66.18,68.25,65.84,68.12,7220200,57.58
"2008-09-12",67.86,69.05,67.27,68.6,7063000,57.98
"2008-09-15",66.87,69.27,66.87,67.65,6421200,57.18
"2008-09-16",66.06,69.04,65.78,68.82,7931000,58.17
"2008-09-17",67.26,67.47,64.58,65.56,9927500,55.41
"2008-09-18",65.76,67.18,64.73,66.48,10911800,56.19
"2008-09-19",67.01,70,64.13,67.7,9194700,57.22
"2008-09-22",66.98,67.6,65.41,65.88,5135600,55.68
"2008-09-23",65.94,67.16,64.56,64.79,4756400,54.76
"2008-09-24",64.34,65.47,62.71,63.39,6116800,53.58
"2008-09-25",63.89,64.54,63.42,63.77,5241300,53.9
"2008-09-26",62.73,64.8,62.73,64.39,4972900,54.42
