"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2007-01-03",75.45,75.98,74.4,74.97,3955300,60.72
"2007-01-04",75.25,75.5,74.52,75.09,2306000,60.82
"2007-01-05",75.04,75.04,73.62,74.15,3602400,60.06
"2007-01-08",74.16,74.59,73.74,74.38,2354800,60.24
"2007-01-09",74.98,75,73.91,74.08,3322200,60
"2007-01-10",73.75,73.85,73.25,73.63,2895100,59.64
"2007-01-11",73.63,73.88,73.55,73.65,3060900,59.65
"2007-01-12",73.65,74.47,73.35,74.44,3027600,60.29
"2007-01-16",74.8,75.35,74.61,74.88,3693000,60.65
"2007-01-17",74.95,75.22,74.68,75,2737600,60.75
"2007-01-18",75.12,75.4,74.62,74.81,2895700,60.59
"2007-01-19",75.3,75.3,74.75,75.02,4242100,60.76
"2007-01-22",75.05,75.17,73.72,74.28,3972600,60.16
"2007-01-23",74.29,74.29,73.42,73.62,2702800,59.63
"2007-01-24",73.9,74.82,73.62,74.45,3481600,60.3
"2007-01-25",74.44,74.45,73.43,73.61,2706500,59.62
"2007-01-26",73.8,73.8,72.21,72.49,4726200,58.71
"2007-01-29",72.5,73.82,72.47,73.65,3937400,59.65
"2007-01-30",71.17,72.7,70.38,72.7,12995800,58.88
"2007-01-31",72.3,72.61,71.5,72.28,6078800,58.54
"2007-02-01",72.85,73.74,72.74,73.64,4495700,59.65
"2007-02-02",73.57,74.48,73.5,74.17,5510000,60.07
"2007-02-05",74.18,74.33,73.65,73.68,2751500,59.68
"2007-02-06",73.7,74,73.66,73.93,2259700,59.88
"2007-02-07",74.16,74.16,73.46,73.92,2461100,59.87
"2007-02-08",73.92,73.93,73.21,73.33,2348500,59.39
"2007-02-09",74.12,74.24,73.28,73.56,3573800,59.58
"2007-02-12",73.95,74.09,73.68,73.87,2636700,59.83
"2007-02-13",73.9,74.45,73.57,74.39,3617300,60.25
"2007-02-14",74.51,75.32,74.51,75.02,4576900,60.76
"2007-02-15",75,75.19,74.39,74.48,3738800,60.67
"2007-02-16",74.2,74.6,73.83,74.04,3249700,60.31
"2007-02-20",74,74.24,73.7,73.9,2550200,60.19
"2007-02-21",73.77,74.1,73.45,73.8,2891300,60.11
"2007-02-22",73.77,74.18,73.26,73.4,2760600,59.79
"2007-02-23",73.4,73.4,72.75,73.34,3844700,59.74
"2007-02-26",73.48,73.74,72.69,72.79,3836400,59.29
"2007-02-27",72.6,72.6,70,70.23,6281200,57.2
"2007-02-28",70.4,70.93,69.93,70.19,7900600,57.17
"2007-03-01",69.4,70.3,68.66,70.12,4972800,57.11
"2007-03-02",69.95,70.1,69.34,69.47,3676800,56.58
"2007-03-05",69.27,70.11,68.75,69.7,7667000,56.77
"2007-03-06",70,70.24,69.42,69.91,4800800,56.94
"2007-03-07",69.91,70.35,69.78,70,4024800,57.02
"2007-03-08",70.09,70.5,69.75,69.87,3170600,56.91
