"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted"
"2007-01-03",53.35,54.09,52.43,52.84,3888100,45.37
"2007-01-04",53.44,54.22,53.02,54.07,3982700,46.43
"2007-01-05",54.15,54.24,53.11,53.41,3511500,45.86
"2007-01-08",53.17,53.81,53.12,53.63,2978100,46.05
"2007-01-09",53.63,54.16,53.6,54.03,3211500,46.39
"2007-01-10",53.67,54.43,53.46,54.41,3842600,46.72
"2007-01-11",54.41,55.42,54.22,55.32,3427300,47.5
"2007-01-12",54.99,56.06,54.99,55.95,3538600,48.04
"2007-01-16",55.9,56.24,55.7,56.24,3041900,48.29
"2007-01-17",56,56.79,55.93,56.68,4804700,48.67
"2007-01-18",56.68,57.25,56.46,56.9,3675900,48.86
"2007-01-19",56.66,56.98,56.42,56.77,2818400,48.75
"2007-01-22",56.62,56.74,55.89,56.34,3358100,48.38
"2007-01-23",56.37,57.14,56.12,56.44,2775100,48.46
"2007-01-24",56.5,57.18,56.48,57.06,2026300,48.99
"2007-01-25",56.83,56.97,55.58,55.73,2515500,47.85
"2007-01-26",55.85,55.85,55.14,55.36,1841500,47.54
"2007-01-29",54.99,55.89,54.66,55.27,3074000,47.46
"2007-01-30",55.58,55.83,54.98,55.3,2177500,47.48
"2007-01-31",55.49,56.52,55.03,56.16,3101100,48.22
"2007-02-01",56.25,56.88,56.09,56.39,2176800,48.42
"2007-02-02",56.51,56.72,55.8,56.01,2224400,48.09
"2007-02-05",56,56.7,55.86,56.21,3316100,48.27
"2007-02-06",56.53,57.04,56.41,56.57,1675400,48.57
"2007-02-07",56.62,57.45,56.62,57.13,2986700,49.05
"2007-02-08",56.04,57.09,55.68,56.62,5392400,48.62
"2007-02-09",56.78,56.88,55.85,55.98,2510300,48.07
"2007-02-12",56.68,56.7,55.64,55.8,2442500,48.02
"2007-02-13",56.14,56.62,55.9,56.46,2285000,48.59
"2007-02-14",56.51,57.15,56.34,57.05,2246200,49.1
"2007-02-15",56.89,57.9,56.76,57.9,3241400,49.83
"2007-02-16",57.72,58.1,57.57,57.8,3756100,49.75
"2007-02-20",57.97,58.7,57.6,58.28,3534800,50.16
"2007-02-21",58.09,58.28,57.82,58.18,1882000,50.07
"2007-02-22",58.33,58.33,57.55,58.09,2099300,50
"2007-02-23",58.1,58.19,57.27,57.47,3148000,49.46
"2007-02-26",57.92,58.07,56.97,57.4,2731500,49.4
"2007-02-27",56.94,57.12,55.36,55.4,4827000,47.68
"2007-02-28",55.8,56.25,55.05,55.89,5102600,48.1
"2007-03-01",55.1,56.39,54.77,56,4399200,48.2
"2007-03-02",55.5,56.74,55.5,55.75,4694300,47.98
"2007-03-05",55.28,56.13,55.23,55.25,3807700,47.55
"2007-03-06",55.71,56.09,55.16,55.72,3297300,47.96
"2007-03-07",55.99,56.53,55.72,56.12,3136200,48.3
"2007-03-08",55.48,56.46,54.05,54.26,12785200,46.7
"2007-03-09",54.44,54.53,53.5,54.34,7836100,46.77
"2007-03-12",54.18,54.37,53.28,53.65,6271200,46.17
"2007-03-13",53.24,53.92,52.57,52.96,6579200,45.58
"2007-03-14",52.82,53.15,51.52,52.53,7118000,45.21
"2007-03-15",52.4,53.48,52.4,53.19,3777100,45.78
"2007-03-16",53.02,53.55,52.77,52.98,5569600,45.6
"2007-03-19",53.1,53.72,52.95,53.24,3162600,45.82
"2007-03-20",53.38,53.38,52.71,53.18,5226000,45.77
"2007-03-21",53.15,54.55,53.09,54.34,4189800,46.77
"2007-03-22",54.51,54.66,53.97,54.24,3585800,46.68
"2007-03-23",54.19,55.02,54.09,54.56,2715500,46.96
"2007-03-26",54.44,54.53,53.69,54.52,2799900,46.92
"2007-03-27",54.27,54.37,53.81,54.13,2840100,46.59
"2007-03-28",53.76,54.29,53.17,53.71,3600700,46.23
"2007-03-29",54.14,54.2,53.24,53.7,3497900,46.22
"2007-03-30",53.57,53.92,53.03,53.84,4306400,46.34
"2007-04-02",53.35,54.02,53.35,53.91,4549000,46.4
"2007-04-03",53.99,55,53.84,54.55,4584600,46.95
"2007-04-04",54.7,54.7,54.09,54.45,3444900,46.86
"2007-04-05",54.5,55.12,54.27,54.88,2787300,47.23
"2007-04-09",55,55.09,54.53,54.82,2301500,47.18
"2007-04-10",54.81,55.08,54.34,54.67,2451300,47.05
"2007-04-11",54.61,54.78,53.84,54.03,3796900,46.5
"2007-04-12",54.68,55.04,53.75,54.68,3707700,47.06
"2007-04-13",54.77,54.77,53.81,54.16,2628100,46.61
"2007-04-16",54.33,54.46,54,54.4,2831900,46.82
"2007-04-17",55.4,56.03,55.17,55.6,5958500,47.85
"2007-04-18",55.22,55.7,54.8,55.02,3553500,47.35
"2007-04-19",54.74,55.43,54.71,55.32,3287000,47.61
"2007-04-20",55.87,56.07,54.85,55.12,6148600,47.44
"2007-04-23",55.1,55.32,54.6,54.88,2766300,47.23
"2007-04-24",54.58,54.6,54.03,54.25,3950200,46.69
"2007-04-25",54.34,54.52,53.93,54.27,3557000,46.83
"2007-04-26",54.06,54.36,53.96,54.04,2697600,46.63
"2007-04-27",54.01,54.57,53.66,54.46,4273700,47
"2007-04-30",54.36,54.68,53.56,53.57,4180100,46.23
"2007-05-01",53.58,53.91,53.11,53.46,3904700,46.13
"2007-05-02",53.42,54.28,53.29,53.35,2764800,46.04
"2007-05-03",53.64,53.83,53,53.14,3975900,45.86
"2007-05-04",53.41,54.01,53.29,53.79,4429600,46.42
