"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume","BDX.Adjusted"
"2007-07-27",76.9,77.72,76.65,76.73,2189000,67.17
"2007-07-30",77.12,78.27,76.58,78.02,1714300,68.3
"2007-07-31",78.18,78.48,76.36,76.36,1614900,66.84
"2007-08-01",76.46,79.06,76.3,78.97,1947400,69.13
"2007-08-02",79.3,79.3,78.18,78.48,2184100,68.7
"2007-08-03",76.32,78.27,73.48,76.2,1600400,66.7
"2007-08-06",76.48,77.9,74.04,77.32,1834100,67.68
"2007-08-07",76.75,78.08,76.57,77.6,1571900,67.93
"2007-08-08",77.72,79.49,77.07,78.17,1954000,68.43
"2007-08-09",77.75,78.18,73.7,75.08,2687700,65.72
"2007-08-10",72.15,78.16,72.15,77.74,2130800,68.05
"2007-08-13",77.63,77.73,76.88,77.1,1108700,67.49
"2007-08-14",77.08,77.36,75.74,75.74,1041200,66.3
"2007-08-15",75.83,76.37,74.72,74.89,785700,65.56
"2007-08-16",74.1,75.61,73.96,75,1457500,65.65
"2007-08-17",76.9,77.99,75.42,76.89,2061500,67.31
"2007-08-20",77.1,77.68,76.25,77.27,1088600,67.64
"2007-08-21",78,78,76.74,77.06,941600,67.46
"2007-08-22",77.9,77.94,76.61,76.95,1128200,67.36
"2007-08-23",77,77.46,76.36,77.05,1759800,67.45
"2007-08-24",77.11,77.5,77,77.49,1396000,67.83
"2007-08-27",77.8,78.27,77.72,78.08,1680400,68.35
"2007-08-28",78.24,78.89,77.26,77.3,1983600,67.67
"2007-08-29",77.9,78.07,76.83,77.55,1695700,67.89
"2007-08-30",77.31,77.4,76.49,76.69,1569500,67.13
"2007-08-31",77.9,77.92,76.5,76.94,1551300,67.35
"2007-09-04",77.07,77.37,76.83,77.02,1195500,67.42
"2007-09-05",76.52,76.84,76,76.38,1356200,67.07
"2007-09-06",76.28,77.24,76.16,77.06,1701800,67.67
"2007-09-07",76.51,77.14,76.09,76.77,1374400,67.42
"2007-09-10",76.9,77.54,76.67,77.04,1563400,67.65
"2007-09-11",77.21,77.71,76.76,77.71,2415500,68.24
"2007-09-12",77.62,78.99,77.48,78.75,1276900,69.16
"2007-09-13",79,79.15,78.35,78.82,1280600,69.22
"2007-09-14",78.6,78.97,78.36,78.8,713100,69.2
"2007-09-17",78.61,78.65,78.14,78.54,915100,68.97
"2007-09-18",78.6,79.43,78.07,79.25,1029900,69.6
"2007-09-19",79.8,81.32,79.58,81.06,1761100,71.18
"2007-09-20",81.06,81.36,80.48,80.58,983900,70.76
"2007-09-21",81.63,84.9,80.58,81.86,2116600,71.89
"2007-09-24",81.78,81.8,80.8,81.13,1107500,71.25
"2007-09-25",80.9,82.17,80.72,81.98,857400,71.99
"2007-09-26",82.21,83,82.21,82.61,973600,72.55
"2007-09-27",82.6,82.7,81.66,82.05,863800,72.05
"2007-09-28",82.05,82.36,81.97,82.05,1248700,72.05
"2007-10-01",82.43,82.99,82.27,82.76,1384000,72.68
"2007-10-02",82.87,83.14,82.52,82.86,1009800,72.77
"2007-10-03",82.74,82.79,81.7,82.13,1007400,72.12
"2007-10-04",82.42,82.76,81.85,82.29,688700,72.26
"2007-10-05",82.8,83.54,82.26,83.31,759900,73.16
"2007-10-08",83.35,83.4,83.05,83.23,456300,73.09
"2007-10-09",83.45,83.62,82.99,83.61,591100,73.42
"2007-10-10",83.4,83.89,83.01,83.68,430900,73.49
"2007-10-11",83.83,84.11,83.35,83.42,1110400,73.26
"2007-10-12",83.62,84.11,83.49,83.7,512600,73.5
"2007-10-15",83.95,84,82.53,82.74,945600,72.66
"2007-10-16",82.4,83.21,82.4,82.53,698200,72.48
"2007-10-17",83.04,83.53,81.91,82.3,676100,72.27
"2007-10-18",82.26,84.12,82.26,83.99,809800,73.76
"2007-10-19",83.5,84.44,81.65,81.74,1239300,71.78
"2007-10-22",81.46,81.77,80.86,81.42,828600,71.5
"2007-10-23",81.7,81.92,81.09,81.77,876200,71.81
"2007-10-24",81.55,81.87,80.63,81.71,942600,71.76
"2007-10-25",81.98,83.81,81.88,83.6,1076300,73.42
"2007-10-26",84,84.53,83.79,84.33,965800,74.06
"2007-10-29",84.55,84.7,83.42,84.24,780400,73.98
"2007-10-30",84.05,84.45,83.4,83.44,773100,73.27
"2007-10-31",83.24,84.26,83.05,83.46,1210200,73.29
"2007-11-01",84.03,84.43,80.56,80.58,1793800,70.76
"2007-11-02",81,83.44,80.96,82.78,1773200,72.7
"2007-11-05",82.14,82.17,79.54,80.37,1888800,70.58
"2007-11-06",80.31,80.44,78.95,80.3,1648600,70.52
"2007-11-07",79.26,82.09,79.26,80.43,2575000,70.63
"2007-11-08",80.5,81.24,78.91,80.99,2132000,71.12
"2007-11-09",80.25,81.97,80.23,81.45,1613500,71.53
"2007-11-12",81.14,82.19,81.14,81.6,1746300,71.66
"2007-11-13",82.12,83.2,81.15,83.02,1318800,72.91
"2007-11-14",83.29,84.23,82.21,83.43,1508400,73.27
"2007-11-15",83.26,84.2,82.91,83.42,1676900,73.26
"2007-11-16",84.15,84.15,82.59,83.48,1282100,73.31
"2007-11-19",83.12,85.5,83.04,85.3,1954900,74.91
"2007-11-20",85.1,85.89,83.52,84.33,1594200,74.06
"2007-11-21",83.71,84.17,82.22,82.31,1053800,72.28
"2007-11-23",82.59,83.52,82.33,83.52,496200,73.34
"2007-11-26",83.36,83.68,80.56,80.74,1713600,70.9
"2007-11-27",81.26,82,80.1,81.8,2308700,71.83
"2007-11-28",81.8,82.85,80.47,82.85,1743700,72.76
"2007-11-29",82.48,82.48,81.13,81.28,1499200,71.38
"2007-11-30",81.32,82.79,80.92,82.73,1658200,72.65
"2007-12-03",83,83.05,81.04,81.27,1600900,71.37
"2007-12-04",81.2,81.33,80.16,80.38,1524700,70.59
"2007-12-05",80.96,82.33,80.73,82.1,1251000,72.1
"2007-12-06",82.07,82.2,81.5,82.16,1141400,72.15
"2007-12-07",82.18,82.87,81.4,82.68,1058500,72.61
"2007-12-10",82.74,84.3,82.18,84.3,1203600,74.29
"2007-12-11",84.6,84.6,82.36,82.39,1119900,72.6
"2007-12-12",83.66,83.95,81.8,82.61,1270300,72.8
"2007-12-13",82.1,83.21,81.86,83.13,823100,73.25
"2007-12-14",82.9,83.79,82.46,82.46,765000,72.66
"2007-12-17",81.94,82.1,80.86,80.86,707500,71.25
"2007-12-18",81.99,82.52,81.59,82.37,1127600,72.59
"2007-12-19",82.55,82.7,81.85,82.06,732200,72.31
"2007-12-20",82.55,82.57,81.79,82.23,928700,72.46
"2007-12-21",83.02,84.55,82.92,84.32,1464000,74.3
"2007-12-24",84.05,84.66,83.7,84.55,380100,74.51
"2007-12-26",83.56,84.49,83.56,84.41,303500,74.38
"2007-12-27",84.2,84.89,83.78,84.68,835400,74.62
"2007-12-28",85,85.54,84.6,84.95,878500,74.86
"2007-12-31",84.79,85.16,83.58,83.58,1040500,73.65
"2008-01-02",84.95,88.17,84.95,86.78,2501100,76.47
"2008-01-03",87.02,88.2,86.46,88.19,2849500,77.71
"2008-01-04",88.14,88.63,87.56,87.76,1665200,77.33
"2008-01-07",88.12,90.4,87.89,90.35,2495400,79.62
"2008-01-08",90.62,91.2,88.51,88.68,2931300,78.15
"2008-01-09",88.52,91.06,88.04,91.06,2471900,80.24
"2008-01-10",90.28,90.77,89.4,89.52,1998400,78.89
"2008-01-11",88.87,91.87,88.69,91.21,1807100,80.38
"2008-01-14",91.4,91.95,90.58,91.59,1519800,80.71
"2008-01-15",91,92.33,91,91.3,2174300,80.45
"2008-01-16",91.07,93.24,91.07,92.34,1616000,81.37
"2008-01-17",91.75,92.73,89.49,89.59,2127600,78.95
"2008-01-18",90,90.17,87.36,87.62,2309400,77.21
"2008-01-22",83.56,86.37,81.06,85.36,2848100,75.22
"2008-01-23",84.5,85.29,83.09,84.64,2359200,74.59
"2008-01-24",90.02,90.25,86.36,87.17,3177400,76.82
"2008-01-25",87.83,87.83,85.56,86.6,2543000,76.31
"2008-01-28",86.55,86.8,85.53,86.25,2164500,76
"2008-01-29",86.73,86.85,85.58,85.72,1263000,75.54
"2008-01-30",85.25,86.5,84.69,84.92,1623400,74.83
"2008-01-31",83.76,86.95,83.57,86.44,2048400,76.17
"2008-02-01",86.88,87.59,86.4,87.17,1588300,76.82
"2008-02-04",87.19,88.65,87.03,88.2,1648100,77.72
"2008-02-05",86.82,88.55,86.82,87.06,1650700,76.72
"2008-02-06",87.48,88.21,86.85,87.26,1420500,76.89
"2008-02-07",87.26,89.6,86.91,89.59,2661200,78.95
"2008-02-08",88.75,90,87.88,89.95,1974900,79.26
"2008-02-11",90.1,90.1,88.46,89.32,1543600,78.71
"2008-02-12",90,90.47,89.1,90.47,1483600,79.72
"2008-02-13",91.01,91.39,89.71,90.92,1290800,80.12
"2008-02-14",91.26,91.5,90.67,91,1626900,80.19
"2008-02-15",90.83,91.19,89.84,90.36,1944100,79.63
"2008-02-19",91.21,91.21,89.45,89.87,1494100,79.19
"2008-02-20",89.65,90.03,88.46,90.03,1770100,79.34
"2008-02-21",90.02,90.47,88.76,88.96,1245900,78.39
"2008-02-22",89.15,90.03,88.46,89.91,1101900,79.23
"2008-02-25",90,91.82,90,91.63,1531300,80.75
"2008-02-26",91.37,92,91,91.74,1408900,80.84
"2008-02-27",91.37,91.6,90.63,91.43,1627200,80.57
"2008-02-28",90.95,92.12,90.95,91.67,2126000,80.78
"2008-02-29",91.04,91.28,90.28,90.42,1175000,79.68
"2008-03-03",90.25,90.61,89.41,90.19,1233200,79.48
"2008-03-04",89.65,90.76,89.35,90.52,1760300,79.77
"2008-03-05",90.5,90.5,88.6,89.33,1802400,78.72
"2008-03-06",88.97,88.97,86.69,86.69,1615100,76.64
"2008-03-07",85.95,87,85.92,86.1,1867300,76.11
"2008-03-10",85.86,86.23,83.96,84.03,2204200,74.29
"2008-03-11",85.75,85.75,84.09,84.9,1686900,75.05
"2008-03-12",85.3,87.05,85.25,86.39,1262700,76.37
"2008-03-13",86.2,86.45,84.69,85.77,1892500,75.82
"2008-03-14",86.22,86.26,83.85,85.38,1612600,75.48
"2008-03-17",83.72,85.69,83.72,84.98,1256000,75.12
"2008-03-18",86.42,88.41,85.73,88.37,1890900,78.12
"2008-03-19",90,91,88.17,88.25,1779500,78.02
"2008-03-20",88.68,88.68,87.5,88.31,1818900,78.07
"2008-03-24",88.49,89.24,88.38,89.07,896500,78.74
"2008-03-25",89,89.57,88.82,88.97,1249400,78.65
"2008-03-26",88.9,88.96,87.02,87.02,1889100,76.93
"2008-03-27",87.36,88.55,87.23,87.79,1057100,77.61
"2008-03-28",87.95,88.71,87.04,87.23,696600,77.11
"2008-03-31",87,87,85.17,85.85,1779300,75.89
"2008-04-01",86.31,87.86,86.31,87.25,2250500,77.13
"2008-04-02",87.67,87.74,85.02,85.06,1712400,75.2
"2008-04-03",85,85.48,83.94,84.19,1736000,74.43
"2008-04-04",84.15,86.89,84.15,86.07,1757900,76.09
"2008-04-07",86.5,86.8,83.91,84.5,2010300,74.7
"2008-04-08",84.07,86.25,84.07,86.05,1077300,76.07
"2008-04-09",86.2,86.81,85.42,85.71,814200,75.77
"2008-04-10",85.72,86.1,85.34,85.63,638200,75.7
"2008-04-11",84.79,85.54,84.79,85.05,750500,75.19
"2008-04-14",85,85.12,84.17,84.46,549500,74.67
"2008-04-15",84.83,84.9,83.56,83.84,822100,74.12
"2008-04-16",84.15,84.15,83.38,83.89,1353600,74.16
"2008-04-17",83.82,84,81.56,81.63,1823800,72.16
"2008-04-18",82.5,84.83,81.95,84.32,1827700,74.54
"2008-04-21",84,86.01,84,85.81,1405000,75.86
"2008-04-22",85.78,86.15,84.33,84.58,960900,74.77
"2008-04-23",87.84,87.87,84.62,86.14,2579500,76.15
"2008-04-24",86.5,87.45,86.31,86.85,1433900,76.78
"2008-04-25",86.8,88.54,86.8,88.2,1362500,77.97
"2008-04-28",88.91,89.02,88.32,88.56,1344200,78.29
"2008-04-29",88,89.02,87.94,88.85,980400,78.55
"2008-04-30",88.97,89.91,88.89,89.4,1342300,79.03
"2008-05-01",89.99,89.99,88.39,89.24,1317000,78.89
"2008-05-02",89.76,89.76,87.94,88.27,977400,78.03
"2008-05-05",87.63,89.17,87.6,89.17,863400,78.83
"2008-05-06",88.57,89.22,87.76,88.71,819400,78.42
"2008-05-07",88.96,89.26,86.66,86.76,1038500,76.7
"2008-05-08",87.31,88.4,86.61,88,894800,77.79
"2008-05-09",87.45,88.15,86.45,86.99,868000,76.9
"2008-05-12",86.9,88.29,85.86,88.2,1172000,77.97
"2008-05-13",88.22,88.3,85.93,86,1633800,76.03
"2008-05-14",85.5,86.89,85.5,86.31,1476100,76.3
"2008-05-15",86.53,86.53,85.15,85.65,1078600,75.72
"2008-05-16",85.22,85.52,83.76,84.65,1934500,74.83
"2008-05-19",84.72,84.74,83.57,83.73,1630400,74.02
"2008-05-20",83.59,84.81,83.3,84.12,1958300,74.36
"2008-05-21",84.1,85.05,83.29,84.45,1963900,74.66
"2008-05-22",84.22,84.75,83.73,84.4,960700,74.61
"2008-05-23",83.84,84.22,83.4,83.58,1094700,73.89
"2008-05-27",83.9,84.87,83.42,84.68,1034100,74.86
"2008-05-28",84.94,85.54,84.09,84.48,1178900,74.68
"2008-05-29",84.49,85.88,84.49,85.64,989900,75.71
"2008-05-30",85.25,85.42,84,84.45,1058600,74.66
"2008-06-02",84.29,84.86,83.27,84.08,858400,74.33
"2008-06-03",84.49,84.49,82.3,82.52,1351600,72.95
"2008-06-04",82.12,84.82,82.12,84.13,1203700,74.37
"2008-06-05",84.26,84.57,83.25,84.53,880800,74.98
"2008-06-06",83.61,84.09,82.53,82.53,989000,73.21
"2008-06-09",82.8,83.22,81.74,82.58,883100,73.25
"2008-06-10",82.4,83.2,81.65,83.2,1103100,73.8
"2008-06-11",82.62,82.77,81.38,81.39,1121100,72.2
"2008-06-12",81.63,82.21,80.87,81.33,1005800,72.14
"2008-06-13",81.95,82.63,81.33,82.56,950500,73.23
"2008-06-16",82.19,82.35,81.54,81.82,1079200,72.58
"2008-06-17",81.9,82.19,79.93,80.16,1442800,71.1
"2008-06-18",79.81,79.87,78.79,78.89,1799800,69.98
"2008-06-19",78.54,79.73,78.23,79.68,1656000,70.68
"2008-06-20",79.69,80.06,78.66,79.04,1287900,70.11
"2008-06-23",79.3,79.37,78.38,78.94,1064500,70.02
"2008-06-24",78.81,79,77.42,77.93,1801100,69.13
"2008-06-25",78.25,79.72,78.04,79.27,1613100,70.32
"2008-06-26",78.34,79.67,78.09,78.79,1574400,69.89
"2008-06-27",78.85,80.03,78.85,79.8,2544500,70.79
"2008-06-30",79.37,81.77,79.16,81.3,1978900,72.12
"2008-07-01",81.26,83,80.29,82.96,2987800,73.59
"2008-07-02",83.29,83.31,81.84,82.29,1195800,72.99
"2008-07-03",83,83,81.76,82.35,599400,73.05
"2008-07-07",82.56,82.65,80.55,81.21,1447500,72.04
"2008-07-08",81.21,81.64,80.45,81.54,3646300,72.33
"2008-07-09",81.92,82.12,80.16,81.3,1904000,72.12
"2008-07-10",82.05,83.41,82,82.98,3357700,73.61
"2008-07-11",82.2,82.32,80.93,81.17,2518100,72
"2008-07-14",81.68,81.68,79.74,79.79,2317700,70.78
"2008-07-15",79.7,80.3,79.3,79.9,4973100,70.87
"2008-07-16",80.15,82.04,79.78,82.01,3214400,72.75
"2008-07-17",82.47,84.22,81.66,83.59,2019400,74.15
"2008-07-18",83,85.15,83,84.63,1728800,75.07
"2008-07-21",84.8,85.21,83.71,83.95,1440200,74.47
"2008-07-22",83.52,85.47,83.5,85.47,1928900,75.81
"2008-07-23",85.43,85.75,84.72,85.6,2311100,75.93
"2008-07-24",85.9,87.96,84.8,86.28,3082000,76.53
"2008-07-25",86.82,86.82,84.79,85.01,2205200,75.41
"2008-07-28",84.99,85.59,84.65,84.98,1799500,75.38
"2008-07-29",84.98,85.28,84.38,84.75,1804600,75.18
"2008-07-30",84.94,85.87,84.83,85.74,1087500,76.05
"2008-07-31",85.82,86,84.63,84.91,1501400,75.32
"2008-08-01",85,85.84,83.71,83.86,1102900,74.39
"2008-08-04",83.96,85.06,83.3,84.67,1108300,75.11
"2008-08-05",85.02,85.58,83.23,84.61,1827900,75.05
"2008-08-06",84.55,85.83,83.65,85.32,1682300,75.68
"2008-08-07",84.41,85.77,84.32,85.35,1653500,75.71
"2008-08-08",85.41,87.91,85.22,87.41,1851800,77.54
"2008-08-11",87.22,87.33,86.22,87.16,1340400,77.31
"2008-08-12",86.87,86.98,85.86,86.35,1431100,76.6
"2008-08-13",86.4,87.49,86.34,87.18,1101000,77.33
"2008-08-14",86.49,87.28,85.74,86.63,948600,76.84
"2008-08-15",86.62,87.55,86.54,87.55,1079200,77.66
"2008-08-18",87.51,88.12,87.11,87.41,1066900,77.54
"2008-08-19",87.32,87.64,86.95,87.47,1390500,77.59
"2008-08-20",87.83,87.83,86.5,87.07,1309600,77.23
"2008-08-21",86.72,88.19,86.72,87.98,1178800,78.04
"2008-08-22",88.43,88.62,88.06,88.49,702700,78.49
"2008-08-25",88.32,88.32,87.27,87.53,736200,77.64
"2008-08-26",87.48,88.23,87.03,88.02,654400,78.08
"2008-08-27",88,88.16,87.03,87.64,580900,77.74
"2008-08-28",87.99,88.07,87.38,87.54,1138600,77.65
"2008-08-29",87.61,88.14,86.88,87.38,855300,77.51
"2008-09-02",88.05,89.24,87.39,87.63,1255300,77.73
"2008-09-03",87.41,87.93,86.78,87.66,989000,77.76
"2008-09-04",87.16,87.41,85.56,85.78,929400,76.09
"2008-09-05",85.07,85.85,84.66,85.04,1003800,75.68
"2008-09-08",86.5,87.43,85.95,87.36,1011100,77.75
"2008-09-09",87.92,88.36,86.51,86.51,1099500,76.99
"2008-09-10",86.8,86.86,83.86,84.11,2163300,74.86
"2008-09-11",82.8,83.51,81.16,83.39,2797900,74.22
"2008-09-12",83.32,83.32,81.38,81.96,1632400,72.94
"2008-09-15",80.63,83.28,80.61,81.71,1346400,72.72
"2008-09-16",80.65,82.58,79.5,81,1806200,72.09
"2008-09-17",80,80.44,78.71,78.71,2172200,70.05
"2008-09-18",78.94,80.46,76.02,80.46,3351000,71.61
"2008-09-19",82.05,84.81,80.51,82.5,2146300,73.42
"2008-09-22",81.67,82.7,80.23,80.23,1369600,71.4
"2008-09-23",80.03,81.54,79.77,80.66,1844700,71.79
"2008-09-24",80.59,82.05,80.22,81.77,926000,72.77
"2008-09-25",82.28,83.57,81.48,82.7,1234100,73.6
"2008-09-26",82.62,82.7,81.47,82.36,934600,73.3
"2008-09-29",81.81,82.97,79.42,79.48,1763300,70.74
"2008-09-30",80.39,81.28,79.46,80.26,1548900,71.43
"2008-10-01",79.81,80.65,79.51,80.18,1322200,71.36
"2008-10-02",79.88,80.45,79.15,79.8,1425400,71.02
"2008-10-03",81.03,81.88,79.91,80.24,1937700,71.41
