"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume","BDX.Adjusted"
"2007-01-03",70.54,71.11,70.11,70.43,1490900,61.25
"2007-01-04",70.25,70.58,69.75,69.85,1463200,60.75
"2007-01-05",69.65,70.22,69.3,70,1519300,60.88
"2007-01-08",70.16,70.71,69.84,70.45,1102200,61.27
"2007-01-09",70.58,71.38,70.52,71.23,1378500,61.95
"2007-01-10",71.23,71.92,70.82,71.76,1365600,62.41
"2007-01-11",71.76,72.44,71.76,72.23,1259700,62.82
"2007-01-12",71.9,72.1,71.57,71.97,789700,62.59
"2007-01-16",71.9,72.56,71.76,72.54,1028600,63.09
"2007-01-17",72.55,73.31,72.12,72.75,863600,63.27
"2007-01-18",74.65,74.65,72.66,73.88,996100,64.25
"2007-01-19",74.2,74.69,73.61,73.99,1162100,64.35
"2007-01-22",73.99,74.23,73.28,73.46,1378200,63.89
"2007-01-23",73.45,74,73.15,73.91,811300,64.28
"2007-01-24",74.14,75.25,73.96,75.15,1269800,65.36
"2007-01-25",75.15,75.5,73.79,74.61,1547200,64.89
"2007-01-26",74.2,74.69,74.05,74.48,1370800,64.77
"2007-01-29",74.17,74.99,74.07,74.71,1910000,64.97
"2007-01-30",75,77.1,74.27,76.85,2256400,66.83
"2007-01-31",76.6,77.3,76.08,76.94,1703700,66.91
"2007-02-01",77.48,77.51,76.94,77.41,1717600,67.32
"2007-02-02",76.98,77.52,76.96,77.13,1113500,67.08
"2007-02-05",77.22,77.53,76.95,77.35,1315300,67.27
"2007-02-06",77.56,78,77.28,77.63,1274000,67.51
"2007-02-07",77.53,78.22,77.2,77.95,1000900,67.79
"2007-02-08",78.18,78.83,77.95,78.14,1481800,67.96
"2007-02-09",78.32,78.33,77.33,77.5,996500,67.4
"2007-02-12",77.51,77.66,76.79,76.8,1220900,66.79
"2007-02-13",76.9,77.06,76.6,76.81,834100,66.8
"2007-02-14",77.01,77.71,76.93,77.36,904100,67.28
"2007-02-15",77.4,77.53,77.01,77.46,643900,67.36
"2007-02-16",77.86,78.2,77.24,77.93,952700,67.77
"2007-02-20",78.11,78.5,77.34,77.5,1186700,67.4
"2007-02-21",77.1,77.55,77.06,77.41,1113600,67.32
"2007-02-22",77.43,77.57,77.28,77.45,1324000,67.36
"2007-02-23",77.5,77.74,77.38,77.58,976700,67.47
"2007-02-26",77.59,77.78,77.08,77.21,1065900,67.15
"2007-02-27",77.08,77.25,74.6,74.79,1901900,65.04
"2007-02-28",74.79,76.47,74.79,75.95,1769800,66.05
"2007-03-01",75.19,76.11,74.83,75.82,1334900,65.94
"2007-03-02",75.82,75.82,74.86,74.87,1059000,65.11
"2007-03-05",74.45,75.13,73.96,73.98,1162800,64.34
"2007-03-06",74.22,74.61,74.14,74.52,772300,64.81
"2007-03-07",74.26,74.57,74.02,74.15,774600,64.7
"2007-03-08",74.65,75.39,74.42,74.92,720800,65.37
"2007-03-09",75.2,75.37,74.7,75,782000,65.44
"2007-03-12",74.5,74.89,74.39,74.51,1103300,65.01
"2007-03-13",74.15,74.18,73.4,73.48,1291900,64.11
"2007-03-14",73.65,74.66,73.29,74.55,1278300,65.05
"2007-03-15",74.38,74.96,74.3,74.54,1276500,65.04
"2007-03-16",74.8,74.87,74.21,74.4,1577800,64.92
"2007-03-19",75.16,75.16,74.53,74.86,679800,65.32
"2007-03-20",74.89,75.19,74.51,75.12,632000,65.55
"2007-03-21",75.05,75.94,74.25,75.93,872000,66.25
"2007-03-22",75.85,76,75.42,75.86,695500,66.19
"2007-03-23",75.7,75.86,75.25,75.37,529000,65.76
"2007-03-26",75.29,75.5,74.69,75.34,662300,65.74
"2007-03-27",75,75.72,74.7,75.33,603700,65.73
"2007-03-28",75.2,75.63,74.6,75.16,656100,65.58
"2007-03-29",75.6,76.23,75.51,76.11,1019800,66.41
"2007-03-30",76.2,77.02,76.03,76.89,1413600,67.09
"2007-04-02",77,78.13,76.89,77.9,1575100,67.97
"2007-04-03",78.03,79.14,78.03,78.89,1547400,68.83
"2007-04-04",79.05,79.25,78.63,78.9,995400,68.84
"2007-04-05",78.06,79,77.4,78.42,1311300,68.42
"2007-04-09",78.42,78.51,77.8,77.9,608400,67.97
"2007-04-10",78.05,78.17,77.72,77.93,690000,68
"2007-04-11",77.81,78.49,77.25,78.27,995400,68.29
"2007-04-12",78.34,78.78,78.08,78.46,674600,68.46
"2007-04-13",78.46,78.85,78.13,78.28,688400,68.3
"2007-04-16",78.41,78.86,78.29,78.75,485800,68.71
"2007-04-17",78.9,78.9,78.59,78.61,624200,68.59
"2007-04-18",78.5,78.58,77.71,78.05,859600,68.1
"2007-04-19",77.7,78.38,77.41,78.02,636500,68.08
"2007-04-20",78.8,79.25,78.39,79.05,1158100,68.97
"2007-04-23",78.88,79.1,78.32,78.49,714300,68.49
"2007-04-24",78.45,78.47,77.87,78.11,716200,68.15
"2007-04-25",79.77,80,78.53,78.53,1122100,68.52
"2007-04-26",78.1,79,77.5,77.91,1142300,67.98
"2007-04-27",77.55,78.96,77.4,78.66,1311400,68.63
"2007-04-30",78.5,78.99,78.31,78.69,949900,68.66
"2007-05-01",79,79.83,78.9,79.63,1482700,69.48
"2007-05-02",79.7,80.88,79.46,80.87,1074000,70.56
"2007-05-03",81,81.08,80.16,80.33,686200,70.09
"2007-05-04",80.33,80.49,79.53,79.78,725500,69.61
"2007-05-07",79.82,80.25,79.68,79.77,698000,69.6
"2007-05-08",79.35,79.5,78.82,79.28,661600,69.17
"2007-05-09",79.29,79.62,79.08,79.46,785500,69.33
"2007-05-10",79.21,79.24,78.07,78.07,927500,68.12
"2007-05-11",78.32,78.69,77.9,78.28,735800,68.3
"2007-05-14",78.03,78.14,77.45,77.59,979500,67.7
"2007-05-15",78,78.53,77.8,78.05,1168200,68.1
"2007-05-16",78.05,78.7,77.71,78.7,924800,68.67
"2007-05-17",78.5,78.58,77.26,77.44,1249200,67.57
"2007-05-18",77.45,77.79,77.26,77.79,996600,67.87
"2007-05-21",77.54,77.75,76.72,76.98,1209800,67.17
"2007-05-22",77.14,77.35,76.29,76.91,1013700,67.11
"2007-05-23",76.75,77.38,76.54,77.04,987600,67.22
"2007-05-24",77.7,78.2,77.08,77.16,1284600,67.33
"2007-05-25",77.26,77.39,76.94,77.13,661200,67.3
"2007-05-29",77.5,78,76.52,76.58,876400,66.82
"2007-05-30",76.49,76.7,75.9,76.44,1146000,66.7
"2007-05-31",76.5,76.67,75.9,76.25,955100,66.53
"2007-06-01",76.12,76.34,75.74,76.02,981100,66.33
"2007-06-04",76.27,76.31,75.93,76.09,823400,66.39
"2007-06-05",75.8,76.35,75.4,75.54,1100900,65.91
"2007-06-06",75.54,75.55,74.77,74.77,1165200,65.45
"2007-06-07",74.5,75.02,74.34,74.47,1289200,65.19
"2007-06-08",74.33,75.38,74.3,75.38,1071600,65.99
"2007-06-11",75.38,75.38,74.79,75,1388500,65.65
"2007-06-12",74.5,75.13,74,74.44,1044600,65.16
"2007-06-13",74.65,74.68,73.63,74.33,2136100,65.07
"2007-06-14",74.46,76.37,74.41,76.1,1663100,66.62
"2007-06-15",76.8,76.96,75.99,76.24,1204600,66.74
"2007-06-18",75.85,76.16,75.3,75.38,590200,65.99
"2007-06-19",75.45,75.45,74.74,75.34,1474200,65.95
"2007-06-20",75.35,75.7,74.95,74.95,993800,65.61
"2007-06-21",74.96,75.3,74.81,75.04,836000,65.69
"2007-06-22",74.84,75.48,74.45,75.19,1962700,65.82
"2007-06-25",75.25,75.5,74,74.22,1177000,64.97
"2007-06-26",74.97,75.32,73.79,73.9,1259100,64.69
"2007-06-27",73.7,73.86,72.4,73.65,1837600,64.47
"2007-06-28",73.48,74.16,73.37,73.72,714500,64.53
"2007-06-29",73.75,74.59,73.75,74.5,1121200,65.22
"2007-07-02",74.9,75.26,74.47,75.04,1216600,65.69
"2007-07-03",75.14,75.25,74.92,75.06,340800,65.71
"2007-07-05",75.15,75.22,74.37,74.9,486900,65.57
"2007-07-06",74.6,75.33,74.26,75.16,579500,65.79
"2007-07-09",75.3,75.56,74.95,75.44,668400,66.04
"2007-07-10",74.84,75.47,74.26,74.27,1013100,65.01
"2007-07-11",74.07,74.89,73.92,74.89,682900,65.56
"2007-07-12",74.93,75.57,74.6,75.57,611100,66.15
"2007-07-13",75.57,76.16,75.42,76.09,418600,66.61
"2007-07-16",75.85,75.95,75.25,75.34,930100,65.95
"2007-07-17",72.97,75.73,72.97,75.3,937700,65.92
"2007-07-18",75.31,75.44,74.3,74.48,1003300,65.2
"2007-07-19",74.66,75.08,74.13,74.79,1263900,65.47
"2007-07-20",74.82,75.04,74.24,74.24,1444600,64.99
"2007-07-23",74.78,75.4,74.37,74.45,836900,65.17
"2007-07-24",74.23,74.91,73.8,74.48,1770400,65.2
"2007-07-25",74.85,76.09,74.85,75.8,1466900,66.35
"2007-07-26",75.66,79.42,75.36,77.15,2627800,67.54
