"","PCLN.Open","PCLN.High","PCLN.Low","PCLN.Close","PCLN.Volume","PCLN.Adjusted"
"2007-01-03",43.98,44.92,43.35,43.97,1301700,43.97
"2007-01-04",44.04,44.62,43.59,44.44,920600,44.44
"2007-01-05",44.32,44.49,43.66,43.87,490500,43.87
"2007-01-08",43.97,44,43.46,43.76,614100,43.76
"2007-01-09",44,44.35,43.69,44.06,563100,44.06
"2007-01-10",43.86,44.92,43.65,44.84,1209100,44.84
"2007-01-11",44.93,44.93,44.26,44.65,638800,44.65
"2007-01-12",44.37,44.7,44.16,44.5,426100,44.5
"2007-01-16",44.63,44.78,44.21,44.55,482700,44.55
"2007-01-17",44.55,44.6,43.9,44.03,610600,44.03
"2007-01-18",44.29,44.29,42.53,43.15,885300,43.15
"2007-01-19",43.04,43.26,42.59,42.99,464700,42.99
"2007-01-22",43.22,43.22,42.6,42.74,443800,42.74
"2007-01-23",42.54,42.9,42.53,42.72,288900,42.72
"2007-01-24",42.97,43.31,42.73,43.09,415600,43.09
"2007-01-25",43.16,43.2,42.21,42.38,650800,42.38
"2007-01-26",42.29,42.48,41.8,42.29,476200,42.29
"2007-01-29",41.96,42.84,41.96,42.57,703700,42.57
"2007-01-30",42.64,42.83,42.55,42.7,661700,42.7
"2007-01-31",42.7,42.89,42.31,42.62,953000,42.62
"2007-02-01",42.9,43.39,42.76,43.17,675700,43.17
"2007-02-02",43.22,44.4,43.22,44.01,882800,44.01
"2007-02-05",43.88,44.97,43.88,44.56,1188800,44.56
"2007-02-06",44.53,44.88,43.99,44.58,1402300,44.58
"2007-02-07",44.79,45.98,44.59,45.64,1212700,45.64
"2007-02-08",45.81,45.81,44.97,45,619900,45
"2007-02-09",45.16,45.91,45.16,45.59,1132600,45.59
"2007-02-12",45.87,46.3,45.3,45.93,2614500,45.93
"2007-02-13",49.65,51.39,48.75,50.8,8458700,50.8
"2007-02-14",50.8,51.25,50.56,51.01,1471800,51.01
"2007-02-15",50.99,51.81,50.36,50.82,1354600,50.82
"2007-02-16",50.64,52.02,50.36,51.87,1577100,51.87
"2007-02-20",51.87,53.89,51.67,53.5,1757900,53.5
"2007-02-21",53.3,54.46,52.72,54.16,2114800,54.16
"2007-02-22",54.18,54.69,53.18,53.62,857600,53.62
"2007-02-23",53.62,54.58,53.61,54,656400,54
"2007-02-26",54.4,54.68,52,53.76,852100,53.76
"2007-02-27",53.04,53.57,52.28,52.28,1308900,52.28
"2007-02-28",52.29,53.45,51.85,52.41,1193400,52.41
"2007-03-01",51.7,53.9,51.28,53.16,2727200,53.16
"2007-03-02",53.04,53.15,51.86,51.93,1490700,51.93
"2007-03-05",51.37,52.17,50.27,51.32,1232300,51.32
"2007-03-06",51.65,52.48,51.52,52.02,1688600,52.02
"2007-03-07",52.04,52.66,51.42,52.15,1177900,52.15
"2007-03-08",52.48,53.81,52.48,52.81,1032900,52.81
"2007-03-09",53.33,53.45,51.61,52.27,639000,52.27
"2007-03-12",52.3,53.1,52.09,52.89,416600,52.89
"2007-03-13",52.42,52.55,51.23,51.34,764700,51.34
"2007-03-14",51.17,51.84,49.8,51.77,848900,51.77
"2007-03-15",51.62,51.99,51.26,51.66,418000,51.66
"2007-03-16",51.75,52.24,51.28,51.71,474400,51.71
"2007-03-19",51.76,52.47,51.61,52.33,724400,52.33
"2007-03-20",52.47,53.35,52.35,53.35,677500,53.35
"2007-03-21",53.46,53.98,52.76,53.98,521400,53.98
"2007-03-22",54.35,56.11,54.34,55.26,1169300,55.26
"2007-03-23",54.97,55.2,53.14,54.2,750000,54.2
