"","NOV.Open","NOV.High","NOV.Low","NOV.Close","NOV.Volume","NOV.Adjusted"
"2007-02-21",66.5,67.85,66.37,67.8,5375000,31.81
"2007-02-22",67.6,69.49,67.08,69.13,4894600,32.43
"2007-02-23",69.64,70.39,69.08,69.85,4982400,32.77
"2007-02-26",70.09,71.03,69.82,70.38,4270000,33.02
"2007-02-27",69,70.15,67.31,67.82,7999800,31.82
"2007-02-28",67.84,69.99,67.68,69.64,8783200,32.67
"2007-03-01",68.55,71.35,67.8,70.45,8107400,33.05
"2007-03-02",70.45,70.59,68.01,68.56,5855200,32.16
"2007-03-05",67.75,69.16,67,67.72,6371800,31.77
"2007-03-06",68.62,71,68.62,70.5,6754600,33.07
"2007-03-07",70.48,73.3,70.14,72.31,7781800,33.92
"2007-03-08",72.79,74.26,72.52,73.55,6937800,34.51
"2007-03-09",73.6,73.8,72,72.6,4943200,34.06
"2007-03-12",71.87,72.47,71.42,72.47,5131000,34
"2007-03-13",72.95,74.67,72.17,72.45,11468800,33.99
"2007-03-14",72.83,75,72.49,74.37,6774800,34.89
"2007-03-15",74.2,74.35,72.91,73.3,4971600,34.39
"2007-03-16",73.89,74.14,72.65,72.91,5293800,34.2
"2007-03-19",74.01,75.82,74.01,75.35,4767200,35.35
"2007-03-20",75.17,76.24,73.61,74.7,8730800,35.04
"2007-03-21",75.1,77.89,74.97,77.18,6375200,36.21
"2007-03-22",77.8,78.32,76.74,76.9,6951200,36.08
"2007-03-23",76.96,77.57,76.68,77.36,5481800,36.29
"2007-03-26",77.86,78.18,76.31,78.08,5597800,36.63
"2007-03-27",78,78,76.76,77.8,4202200,36.5
"2007-03-28",78.45,78.99,77.41,77.81,5566800,36.5
"2007-03-29",78.76,79.28,76.86,78.71,6169200,36.93
"2007-03-30",78.71,78.93,77.45,77.79,3981000,36.49
"2007-04-02",77.6,78.34,76.55,78.2,6820400,36.69
"2007-04-03",78.2,78.62,76.88,78.5,4335400,36.83
"2007-04-04",78,79.81,77.76,79.38,4892400,37.24
"2007-04-05",80.99,80.99,78.98,79.82,4370200,37.45
"2007-04-09",79.67,81,79.23,79.63,3876000,37.36
"2007-04-10",79.42,81.98,79.41,81.96,5017800,38.45
"2007-04-11",81.96,81.96,80,80.44,5784000,37.74
"2007-04-12",80.77,83.38,80.76,83.06,6150000,38.97
"2007-04-13",83.12,83.36,82.24,83.17,4804400,39.02
"2007-04-16",81.52,84.1,81.52,84.02,4426400,39.42
"2007-04-17",84.23,84.69,82.32,82.8,5613800,38.84
"2007-04-18",81.2,81.28,78.71,79.48,10099600,37.29
"2007-04-19",79.99,79.99,77.81,78.31,4613200,36.74
"2007-04-20",79.45,79.72,78.4,79.26,4488800,37.18
"2007-04-23",80.2,81.69,79.87,80.69,5880600,37.85
"2007-04-24",80.01,80.97,79.01,79.5,5976400,37.3
"2007-04-25",80.35,82.23,80.26,81.41,6761000,38.19
"2007-04-26",82.2,83.08,80.01,82.81,6997400,38.85
"2007-04-27",84.48,87.86,83.35,86.65,15361000,40.65
"2007-04-30",86.78,87.26,84.78,84.85,8331000,39.81
"2007-05-01",84.79,87.15,83.84,87.1,7935400,40.86
"2007-05-02",88.01,89.25,87.1,88.59,6617200,41.56
"2007-05-03",88.59,90.66,87.88,89.81,5719000,42.13
"2007-05-04",90.25,90.65,87.52,88.04,9446800,41.3
"2007-05-07",88.04,88.79,87.36,88.48,3922600,41.51
"2007-05-08",88.48,90.46,86.81,90.29,7283800,42.36
"2007-05-09",90.29,90.42,88.07,90.41,6514200,42.41
"2007-05-10",90.61,90.7,88.13,88.39,4830600,41.47
"2007-05-11",88.99,91.93,88.39,91.71,5367600,43.02
"2007-05-14",92,92.39,90.36,91.37,4828400,42.87
"2007-05-15",90.9,92.25,90.16,90.63,5763600,42.52
"2007-05-16",91.1,91.38,88.6,90.3,4889600,42.36
"2007-05-17",90.01,92.24,89.67,91.9,5549800,43.11
"2007-05-18",93.48,94.28,92.8,94.28,5893400,44.23
"2007-05-21",96,96,93.76,94.65,5937400,44.4
"2007-05-22",94.24,95,92.07,92.29,5008800,43.3
"2007-05-23",92.63,94.32,92.29,92.75,6091600,43.51
"2007-05-24",92.97,94.04,88.63,89.21,7795400,41.85
"2007-05-25",90.2,91.83,90.2,91.75,5017200,43.04
"2007-05-29",91.09,92.41,90.7,91.2,4105600,42.79
"2007-05-30",90.5,93.84,90.36,93.66,5053400,43.94
"2007-05-31",93.66,96.1,93.02,94.45,11308000,44.31
"2007-06-01",94.51,96.88,94.45,95.74,4599800,44.92
"2007-06-04",95.74,98.05,95.64,97.71,4683400,45.84
"2007-06-05",99.42,99.43,97.2,98.14,5364000,46.04
"2007-06-06",97.98,98.14,95.58,96.72,4506000,45.38
"2007-06-07",96.31,98.32,95.69,96.11,7490800,45.09
"2007-06-08",95.5,96.41,94.52,96.35,4777000,45.2
"2007-06-11",97.05,99.03,96.77,97.6,4378800,45.79
"2007-06-12",97.6,99.26,97.05,97.28,7368600,45.64
"2007-06-13",98.15,102.39,97.91,101.83,8874400,47.77
"2007-06-14",102.61,106.04,102.42,105.66,9646200,49.57
"2007-06-15",106.8,107.81,106.52,107.07,8136800,50.23
"2007-06-18",106.87,107.15,104.15,106.67,5739800,50.04
"2007-06-19",106.67,108.91,105.81,107.65,4772600,50.5
