"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2007-04-19",557.31,562.45,552.66,553.85,1893500,84.47
"2007-04-20",557.5,559.81,554.5,555.89,2250500,84.78
"2007-04-23",555.89,556.2,546.25,547.4,2239000,83.48
"2007-04-24",549.4,549.4,530.79,531.3,4051000,81.03
"2007-04-25",533.9,534.99,523.56,530.7,3958500,80.94
"2007-04-26",533,533.5,517.29,518.75,3941500,79.11
"2007-04-27",519,529.4,518.97,521.99,2295000,79.61
"2007-04-30",523.97,529,515.9,516.75,2699000,78.81
"2007-05-01",517.5,521.45,505.15,512.6,4719000,78.18
"2007-05-02",516.5,522.23,513.5,515.3,3428000,78.59
"2007-05-03",515.3,522.89,514.45,521,3354500,79.46
"2007-05-04",521,522.1,512.37,514.9,2373500,78.53
"2007-05-07",508,513.1,504.26,507.95,4252500,77.47
"2007-05-08",506.25,512.5,501.1,508.75,3087000,77.59
"2007-05-09",504.75,511.5,503.5,506.95,2178000,77.31
"2007-05-10",507,510.91,497,497.95,3631000,75.94
"2007-05-11",525.15,537.64,514,536.3,9464000,81.79
"2007-05-14",536.3,544.41,528.25,529.49,5070500,80.75
"2007-05-15",529.7,533.5,520.09,523.4,2813000,79.82
"2007-05-16",524.4,526.6,515.5,521.55,2845000,79.54
"2007-05-17",520,525.9,516.42,523.8,2789500,79.88
"2007-05-18",524.26,525.99,518.77,519.9,2365000,79.29
"2007-05-21",519.89,520.8,514.39,515,2620500,78.54
"2007-05-22",514,522.77,512.5,522.16,2596500,79.63
"2007-05-23",522,526,519.07,519.39,2572500,79.21
"2007-05-24",520,522,508,512.25,2619500,78.12
"2007-05-25",514.2,515.74,510.17,513.5,1301500,78.31
"2007-05-29",516.96,526.72,516,526.02,3450500,80.22
"2007-05-30",522,528,518.25,527.85,2496000,80.5
"2007-05-31",528.5,533.19,528.5,531,2584000,80.98
"2007-06-01",532.95,538.33,526.45,537,2396500,81.9
"2007-06-04",537,539.5,533.43,535.25,1858000,81.63
"2007-06-05",533.97,539.9,533.4,539.27,2544500,82.24
"2007-06-06",538.42,545.5,536,542.4,3257000,82.85
"2007-06-07",542.2,547.43,532.96,539.47,3439500,82.41
"2007-06-08",540,550.25,540,549.63,4690000,83.96
"2007-06-11",549.95,560.25,548.49,557.07,3112500,85.09
"2007-06-12",557.1,558.55,548.5,548.5,3819000,83.78
"2007-06-13",550.25,552.67,543.12,551.25,2558500,84.2
"2007-06-14",549.75,552.85,546.03,547.49,2759000,83.63
"2007-06-15",553.58,558.55,548.73,552.7,4187500,84.43
"2007-06-18",551.15,552.5,543,545.99,3221500,83.4
"2007-06-19",536.1,547,536.1,546.28,3050000,83.45
"2007-06-20",547,549.72,543.9,543.9,2227500,83.08
"2007-06-21",545.65,549.45,540,549.25,1583000,83.9
"2007-06-22",547.3,550.29,539.95,539.95,3241000,82.48
"2007-06-25",539,544.45,530.68,533.4,2304000,81.48
"2007-06-26",533.3,539.45,529.69,530.9,1692000,81.1
"2007-06-27",528,542.6,526.1,542.16,2684500,82.82
"2007-06-28",542.17,547.15,538.65,540.48,1821000,82.56
"2007-06-29",540.48,545,531.8,534.36,1907000,81.62
"2007-07-02",538.8,538.9,531.87,532.5,2154500,81.34
"2007-07-03",539,542.75,536.01,539.35,2017000,82.39
"2007-07-05",542,555.69,539.35,555.69,2561000,84.88
"2007-07-06",555,577.5,544.15,574.8,9142500,87.8
"2007-07-09",573,582.03,567.05,570.58,6383000,87.16
"2007-07-10",570,570.4,560.11,560.8,5446000,85.66
