"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"2007-06-13",149.31,150.5,146.09,147.78,2368100,146.88
"2007-06-14",148.46,155.75,148.35,154.89,4693900,153.95
"2007-06-15",157.74,160.22,155.1,156.98,4021900,156.03
"2007-06-18",157.25,158.75,152.35,154.43,2236900,153.49
"2007-06-19",155.01,158.45,154,156.3,2635300,155.35
"2007-06-20",156.5,162.47,155.3,158.1,4536300,157.14
"2007-06-21",158.25,159.81,156.01,158.55,3025700,157.59
"2007-06-22",159.6,161.23,153.75,155.52,2805900,154.58
"2007-06-25",155.75,158.2,148.3,149.24,3073500,148.33
"2007-06-26",150.94,152.76,143.91,145.56,3289700,144.68
"2007-06-27",144.5,151.05,141.25,151.05,3734900,150.13
"2007-06-28",151.65,151.99,148.28,148.79,2137800,147.89
"2007-06-29",148.9,150.92,146.02,147.85,1561500,146.95
"2007-07-02",149.19,149.2,144.55,145.01,1858000,144.13
"2007-07-03",146.12,149.4,145.31,148.88,1402300,147.98
"2007-07-05",149.55,152.24,147.31,151.81,1756000,150.89
"2007-07-06",154.89,156.79,152.49,156.09,2712800,155.14
"2007-07-09",157.75,160.19,155.37,156.78,3201200,155.83
"2007-07-10",156.79,157.86,153.5,155.73,2267300,154.78
"2007-07-11",157,167.4,154.7,167.07,6148100,166.06
"2007-07-12",168.68,172.45,165.5,168.99,6370400,167.96
"2007-07-13",168.22,169,165.6,167.11,2027200,166.1
"2007-07-16",168.2,174.15,167.43,169.98,3720000,168.95
"2007-07-17",171.23,172.27,166.85,166.85,2310900,165.84
"2007-07-18",165.01,165.82,161.35,162.93,2860500,161.94
"2007-07-19",164.91,165.5,160.17,161.35,2219200,160.37
"2007-07-20",161.15,165.13,159.67,160.24,2967700,159.27
"2007-07-23",161.41,161.68,154.6,156.09,1839800,155.14
"2007-07-24",153.75,155.08,145.62,147.79,2460800,146.89
"2007-07-25",148.45,151.69,140.75,143.75,3956600,142.88
"2007-07-26",142,147.63,140.9,146.34,3693600,145.45
"2007-07-27",146.34,154.87,144.67,151.4,3821000,150.48
"2007-07-30",153.95,156.49,152.02,156.4,2421000,155.45
"2007-07-31",156.81,158.86,150.21,151.13,2303900,150.21
"2007-08-01",150.27,151.55,145,150,2915000,149.09
"2007-08-02",150.49,153.84,146.55,152.18,2094600,151.26
"2007-08-03",152.52,158.19,150,153.96,2934000,153.02
"2007-08-06",153,156.23,148.75,153.58,2305000,152.65
"2007-08-07",154.09,158.15,152.3,156.85,1899500,155.9
"2007-08-08",158.38,162.23,157.83,159.88,1880700,158.91
"2007-08-09",156.95,164.44,153.81,154,2768500,153.06
"2007-08-10",153.21,156,148.29,151.05,2952000,150.13
"2007-08-13",152.75,153.9,146.5,147,2301700,146.11
"2007-08-14",146.93,148.69,141.3,143.12,2352600,142.25
"2007-08-15",141.75,142.25,132.95,134,3264500,133.19
"2007-08-16",130,130.76,117.25,129.5,6766700,128.71
"2007-08-17",134,136,128.71,133.54,3463900,132.73
"2007-08-20",134,139.25,133.75,137.67,3341100,136.83
"2007-08-21",137,137.67,132.06,135.17,2671500,134.35
"2007-08-22",139.28,143.99,138.3,138.83,2711900,137.99
"2007-08-23",141.4,142.87,137.55,139.55,1769400,138.7
"2007-08-24",139,142.6,137.8,142.5,954700,141.63
"2007-08-27",142.25,143.31,139.26,140.18,952800,139.33
"2007-08-28",138.27,139,134,134.9,1323900,134.08
"2007-08-29",136.3,140.43,135.43,139.62,1429200,138.77
"2007-08-30",137.62,142.67,137,139.75,1181100,138.9
"2007-08-31",142.22,146.18,141,145.87,1557600,144.98
"2007-09-04",144.87,149.99,143.88,147.84,1667900,146.94
"2007-09-05",146,146.48,140.17,140.89,2084500,140.03
"2007-09-06",142.1,142.3,136.2,138.07,2058700,137.23
"2007-09-07",135.38,136,131.62,132.84,1727300,132.03
"2007-09-10",134.07,135.17,129.85,132.15,1870700,131.35
"2007-09-11",132.6,134.8,130.9,131.45,1399300,130.65
"2007-09-12",131.66,133.58,129.8,131.4,1341700,130.6
"2007-09-13",132.27,132.53,128.5,129.07,1716200,128.29
"2007-09-14",127.3,128.91,126.6,127.71,1408900,126.93
"2007-09-17",127.82,128.88,125.7,126.5,1440700,125.73
"2007-09-18",127.7,136.88,125.68,135.65,2504300,134.83
"2007-09-19",138.25,139.5,130.5,131.6,2093200,130.8
"2007-09-20",130.9,138.63,130.28,135.38,2508300,134.56
"2007-09-21",137,137.88,134.35,135.46,1740600,134.64
