"","JOY.Open","JOY.High","JOY.Low","JOY.Close","JOY.Volume","JOY.Adjusted"
"2008-01-02",65.48,65.93,63.47,64.49,1759900,59.16
"2008-01-03",64.48,65.55,64.12,64.76,1372700,59.41
"2008-01-04",63.73,64.01,60.5,61.57,1934500,56.48
"2008-01-07",62.1,62.7,59.01,60.1,2097700,55.13
"2008-01-08",60.93,63.5,60.5,61.31,2039100,56.24
"2008-01-09",61.01,62,57.74,60.19,2819400,55.22
"2008-01-10",59.38,62.79,57.97,61.9,2261300,56.79
"2008-01-11",61.4,62.42,59.11,60.01,1569600,55.05
"2008-01-14",60.68,62.36,59.8,62.21,1717700,57.07
"2008-01-15",61.51,63.92,60.94,61.01,2463500,55.97
"2008-01-16",60.56,61.91,57.07,58.2,2633700,53.39
"2008-01-17",58.22,59.57,53.12,53.58,3220200,49.15
"2008-01-18",53.39,56.25,52.63,55.05,2857100,50.5
"2008-01-22",51.34,55.31,50,54.6,3132800,50.09
"2008-01-23",52,53.55,47.97,52.63,3428100,48.28
"2008-01-24",52.71,56.54,52.01,54.79,2525000,50.26
"2008-01-25",57.18,59.41,56.2,56.99,2667600,52.28
"2008-01-28",57.22,59.98,56.42,59.5,2584400,54.58
"2008-01-29",59.58,61.33,59.14,60.37,2240000,55.38
"2008-01-30",60,62.33,59,60.3,1940700,55.32
"2008-01-31",59.18,63.62,58.21,63.05,2694700,57.84
"2008-02-01",63.63,65.1,63,64.5,2434900,59.17
"2008-02-04",65.96,66.73,64.63,65,2479100,59.63
"2008-02-05",64.1,64.48,61.51,61.52,2274200,56.44
"2008-02-06",62.52,64.15,61.67,62.21,1640400,57.07
"2008-02-07",61.82,65.31,60.7,64.58,2507000,59.24
"2008-02-08",64.59,66,63.46,64.06,2230700,58.77
"2008-02-11",64.23,65.88,63.96,65.37,2036500,59.97
"2008-02-12",66.93,68.19,65.28,65.84,2329800,60.4
"2008-02-13",66.91,67,65.45,66.55,2195900,61.05
"2008-02-14",66,66.93,64.3,64.46,1992800,59.13
"2008-02-15",64.04,65.55,62.5,63.68,2403200,58.42
"2008-02-19",64.99,67.08,64.87,65.88,2472600,60.44
"2008-02-20",65.4,68.77,65.02,68.17,2670200,62.54
"2008-02-21",68.35,69.5,67.56,67.72,2494400,62.12
"2008-02-22",68.05,69.08,66.04,68.01,1457600,62.39
"2008-02-25",68.02,69.49,67.52,69.09,1577600,63.38
"2008-02-26",68.49,70.56,68.21,68.99,2222800,63.29
"2008-02-27",68.48,68.91,66.82,68.13,1905800,62.5
"2008-02-28",67.58,69.72,67.57,69.15,1654000,63.44
"2008-02-29",68.36,68.67,65.67,66.37,2338900,60.89
"2008-03-03",66.25,67.75,65.37,66.47,1748900,61.12
"2008-03-04",65.4,66.13,63.55,65.09,2519600,59.85
"2008-03-05",64.87,66.11,63.5,65.8,3362000,60.5
"2008-03-06",66,70.86,65.95,69.11,5311600,63.54
"2008-03-07",68.26,68.65,65.75,66.5,3498900,61.14
"2008-03-10",67,67.28,63.66,63.83,2489100,58.69
"2008-03-11",66.96,69.4,66.34,69.35,3786000,63.76
"2008-03-12",69.55,71,68.54,69.47,3256100,63.87
"2008-03-13",68.4,71.15,67.65,70.55,3044900,64.87
"2008-03-14",71.41,72,67.57,68.8,2514100,63.26
"2008-03-17",67.04,68.57,65,66.52,2856800,61.16
"2008-03-18",67.7,69.64,66.98,69.4,1926600,63.81
"2008-03-19",69.4,70.69,64.37,64.37,2947900,59.19
"2008-03-20",64.17,64.37,60.5,62.04,4140100,57.04
"2008-03-24",62.07,65.96,62.05,64.78,1933100,59.56
"2008-03-25",65.44,67.28,63.92,66.46,1766300,61.11
"2008-03-26",66.11,67.08,65.15,66.21,1851700,60.88
"2008-03-27",66.64,67.02,65.2,65.65,1533600,60.36
"2008-03-28",67.26,67.26,64.96,65.29,1202900,60.03
"2008-03-31",65.61,66.7,64.07,65.16,1460700,59.91
"2008-04-01",65.75,66.29,62.76,65.63,2629900,60.34
"2008-04-02",65.62,67.46,64.72,66.53,1737700,61.17
"2008-04-03",67.01,69.49,66.16,68.74,2226400,63.2
"2008-04-04",69.23,70.12,68.67,69.12,1971700,63.55
"2008-04-07",69.61,71.28,68.71,69.14,2052400,63.57
"2008-04-08",69.67,70.55,68.95,70.25,1747600,64.59
"2008-04-09",70,71.22,68.81,69.58,1510100,63.98
"2008-04-10",69.5,71.97,68.78,71,1736000,65.28
"2008-04-11",70.7,70.7,68.35,68.66,1375000,63.13
"2008-04-14",68.41,69.79,68.19,69.1,1112600,63.53
"2008-04-15",70.57,71.77,69.26,70.78,1878200,65.08
"2008-04-16",71.4,73.82,70.89,73.65,2405600,67.72
"2008-04-17",73.49,74.17,71.65,73,1968800,67.12
"2008-04-18",74.7,77.19,74.31,76.71,3424700,70.53
"2008-04-21",76.13,76.5,74.64,75.9,1648700,69.79
"2008-04-22",75.5,76,72.5,73.69,1755600,67.75
"2008-04-23",74.11,75.51,73.46,75.11,1339600,69.06
"2008-04-24",75.2,75.65,72.04,73.4,2079100,67.49
"2008-04-25",74,75.85,72.64,75.69,1988400,69.59
"2008-04-28",76.07,77.67,75.67,76.9,1683100,70.71
"2008-04-29",76.49,76.73,73.1,73.82,1787600,67.87
"2008-04-30",74.13,75.31,73.27,74.25,1712000,68.27
"2008-05-01",73.54,74.69,71.53,74.04,1923100,68.08
"2008-05-02",75.08,77.61,74.96,76.97,1955600,70.77
"2008-05-05",77.38,79.05,77.14,78.64,1663000,72.31
"2008-05-06",75,79.25,74.76,79.08,3207400,72.71
"2008-05-07",77.84,79.2,75.53,75.67,2547700,69.58
"2008-05-08",76.44,77.65,75.87,77.5,1870600,71.26
"2008-05-09",77.83,79.31,77.35,78.99,1525300,72.63
"2008-05-12",79.3,80.35,77.2,79.96,1536700,73.52
"2008-05-13",79.84,80.27,77.79,79.28,2045500,72.89
"2008-05-14",79,79.19,76.93,77,1948300,70.8
"2008-05-15",77.73,80.35,77.52,80.3,1921200,73.83
"2008-05-16",80.46,82.25,80.46,81.93,2119800,75.33
"2008-05-19",80.03,82.48,79.61,79.72,1801000,73.3
"2008-05-20",78.78,80.25,77.61,80.16,1813400,73.7
"2008-05-21",79.79,81.87,77.67,77.93,2017100,71.65
"2008-05-22",77.82,79.46,77.31,77.47,1699800,71.23
"2008-05-23",77.33,78.27,75.5,76.91,1433000,70.72
"2008-05-27",76.4,76.9,74.91,75.69,2062900,69.59
"2008-05-28",75.65,77.88,74.92,77.88,2014500,71.61
"2008-05-29",82.17,82.75,77.88,80.44,5452100,73.96
"2008-05-30",82.52,85.8,81.59,84.23,4643500,77.45
"2008-06-02",83.87,84.95,81.75,82.59,2740200,75.94
"2008-06-03",83.7,84.9,81.58,83.17,2148700,76.61
"2008-06-04",83.13,85.04,82.29,83,1786700,76.45
"2008-06-05",84,88.38,83.63,88.18,2886200,81.22
"2008-06-06",88.27,90,87.54,87.54,3342800,80.64
"2008-06-09",88.29,88.38,86.16,88.02,2781900,81.08
"2008-06-10",87.05,87.93,84.6,85.42,1578000,78.68
"2008-06-11",85.09,86.45,82.4,82.41,3077900,75.91
"2008-06-12",84.28,84.28,81.5,82.08,2262700,75.61
"2008-06-13",83.02,85.62,82.53,85.38,2165500,78.65
"2008-06-16",85.34,85.34,84.19,84.9,2052200,78.2
"2008-06-17",85.66,85.68,83.94,84.22,1788200,77.58
"2008-06-18",84,84.92,81.72,82.49,2149900,75.98
"2008-06-19",82.26,83.8,81.86,83.05,1812900,76.5
"2008-06-20",82.17,83.32,80.35,81.09,2145600,74.69
"2008-06-23",81.53,83.5,81.27,82.46,1751900,75.96
"2008-06-24",81.67,82.77,80.03,80.17,1882300,73.85
"2008-06-25",80.01,81.94,77.5,78.78,2524200,72.57
"2008-06-26",78.01,79.16,75.1,76,2141900,70.01
"2008-06-27",75.34,77.73,75.01,76.76,1843900,70.71
"2008-06-30",76.84,77.36,75.8,75.83,1881300,69.85
"2008-07-01",75.48,77.7,74.33,77.54,2379000,71.42
"2008-07-02",78.23,78.65,71.11,71.35,3519900,65.72
"2008-07-03",69.84,71.38,69.03,70.3,2247000,64.76
"2008-07-07",71.39,73.33,69.93,72.43,3138200,66.72
"2008-07-08",72.14,72.14,69.22,71.16,2544600,65.55
"2008-07-09",72.01,75.45,71.94,72.75,2635300,67.01
"2008-07-10",73.03,74.66,71.55,73.22,2030600,67.44
"2008-07-11",71.99,74.42,70.5,74,2683800,68.16
"2008-07-14",74.52,77.65,73.51,77.07,2742700,70.99
"2008-07-15",77.81,77.97,73.35,74.55,3446400,68.67
"2008-07-16",74.68,75.67,72.73,75.47,2282100,69.52
"2008-07-17",75.52,76.74,72,73.37,3147500,67.58
"2008-07-18",74.5,74.5,70.32,70.78,3002500,65.2
"2008-07-21",71.1,72.74,70.18,72.21,3482300,66.51
"2008-07-22",72.16,72.29,68.05,68.97,2990800,63.53
"2008-07-23",68.61,69.08,65.83,68.14,3046100,62.77
"2008-07-24",67.9,68.62,65.68,66.44,2701800,61.2
"2008-07-25",67.12,71.14,67.11,71.05,3402900,65.45
"2008-07-28",70.68,71.84,69.63,70.93,2992500,65.34
"2008-07-29",71.67,72.85,70.95,72.01,2104000,66.33
"2008-07-30",72.08,76.68,71.53,76.31,2916900,70.29
"2008-07-31",75.67,76.26,72.22,72.22,2597800,66.52
"2008-08-01",73.23,74.13,71.35,71.74,1916900,66.08
"2008-08-04",71.59,71.68,64.36,64.68,3397600,59.58
"2008-08-05",64.92,65.94,64.04,65.21,3299800,60.07
"2008-08-06",64.05,67.2,63.43,66.77,2049200,61.5
"2008-08-07",66.7,68.11,66.04,67.19,2329200,61.89
"2008-08-08",66.78,67.75,64.52,67.05,1933700,61.76
"2008-08-11",67.66,68.04,65.62,66.02,2304500,60.81
"2008-08-12",65.59,66.46,64.86,65.4,1799000,60.24
"2008-08-13",64.8,67.43,63.79,67.2,2229800,61.9
"2008-08-14",67.85,67.85,65.87,66.97,1708500,61.69
"2008-08-15",66.28,67.34,65.35,66.22,1066300,61
"2008-08-18",66.69,67.95,65.14,65.81,1076000,60.62
"2008-08-19",66.79,67.96,65.3,67.01,1585500,61.72
"2008-08-20",68.52,68.52,66.27,66.95,1754800,61.67
"2008-08-21",67.37,71.65,67.35,71.28,2764100,65.66
"2008-08-22",70.85,70.85,68.94,69.5,1489200,64.02
"2008-08-25",69.34,69.7,67.97,68.68,1246300,63.26
"2008-08-26",68.88,68.97,67.77,68.54,1106400,63.13
"2008-08-27",68.44,71.57,68.44,71.26,1425500,65.64
"2008-08-28",70.78,73.33,70.23,72.34,1557300,66.63
"2008-08-29",72.26,72.93,70.38,71.04,865900,65.44
"2008-09-02",69.98,70.06,65.61,65.75,3607200,60.56
"2008-09-03",61,62.25,51.76,53.05,12859200,49
"2008-09-04",53.73,54.43,50.46,50.74,7059400,46.86
"2008-09-05",50.33,52.13,49.36,51.44,5872800,47.51
"2008-09-08",52.85,53.12,46.67,46.86,4993200,43.28
"2008-09-09",45.7,46.26,42.1,43.68,7685100,40.34
"2008-09-10",44.01,46.16,43.94,44.97,5551200,41.53
"2008-09-11",45.64,50.29,45.49,50.15,7326100,46.32
"2008-09-12",51,53.12,49.56,52.55,4424700,48.53
"2008-09-15",49.25,51.9,48.05,49.79,3969300,45.99
"2008-09-16",48.02,52.31,46.71,51.61,4089500,47.67
"2008-09-17",51,51.75,47.9,48.5,3978000,44.79
"2008-09-18",50.46,51.92,48.04,51.55,3220900,47.61
"2008-09-19",54.65,56.04,51.25,54.78,4150300,50.59
"2008-09-22",54.94,56.07,53.1,53.16,2796700,49.1
"2008-09-23",53.52,54.47,50.51,52.67,2789900,48.65
"2008-09-24",53.06,53.88,50,50.62,2441700,46.75
"2008-09-25",50.67,51.33,49.42,50.41,2336100,46.56
"2008-09-26",48.66,49.61,46.5,47.62,2584400,43.98
"2008-09-29",46.07,46.37,35.82,39.93,6376100,36.88
