"","JOY.Open","JOY.High","JOY.Low","JOY.Close","JOY.Volume","JOY.Adjusted"
"2007-01-03",48.7,48.99,45.06,45.58,3964000,41.31
"2007-01-04",45.68,45.72,44.74,45.62,3196900,41.35
"2007-01-05",45.36,46.43,44.86,45.24,2257900,41
"2007-01-08",45.14,47.04,45.07,46.83,2458100,42.44
"2007-01-09",46.8,47.07,45.5,46.73,1903300,42.35
"2007-01-10",46.51,47.3,45.8,46.94,1433600,42.54
"2007-01-11",47.35,48.49,47.23,47.59,1271000,43.13
"2007-01-12",47.51,48.33,47.51,47.68,1213500,43.21
"2007-01-16",46.77,47.02,45.53,45.92,3126300,41.62
"2007-01-17",45.79,47.11,45.75,46.3,1930900,41.96
"2007-01-18",46.62,46.97,45.93,45.97,1340900,41.66
"2007-01-19",45.31,47.16,45.31,46.95,1754400,42.55
"2007-01-22",46.97,47.45,45.84,46.23,1669400,41.9
"2007-01-23",46.08,48,46.08,47.51,1932800,43.06
"2007-01-24",47.5,48.45,46.86,48,1516300,43.5
"2007-01-25",48.16,48.16,46.5,46.77,1700500,42.39
"2007-01-26",46.92,47.54,45.35,45.81,2022500,41.52
"2007-01-29",45.63,46.15,45.16,45.3,1865300,41.06
"2007-01-30",45.36,45.97,44.71,45.76,1289700,41.47
"2007-01-31",45.7,46.63,45.26,46.47,1260900,42.12
"2007-02-01",46.76,47.4,46.52,47.09,1225800,42.68
"2007-02-02",47.25,47.89,46.99,47.46,1324200,43.01
"2007-02-05",47.51,48,47.34,47.55,1256100,43.1
"2007-02-06",47.79,48.34,47.68,48.2,1136800,43.69
"2007-02-07",48.22,49.15,48.2,48.58,1580200,44.03
"2007-02-08",49,49.13,47.7,47.85,1247300,43.37
"2007-02-09",47.12,47.55,46.29,46.39,1713600,42.05
"2007-02-12",46.49,46.72,45.36,45.57,1645000,41.3
"2007-02-13",45.87,46.91,45.65,46.1,1519000,41.78
"2007-02-14",46.41,47.58,46.36,47.05,1549200,42.64
"2007-02-15",47.5,48.2,47.43,47.71,1510000,43.24
"2007-02-16",47.7,48.16,47.4,47.77,1762800,43.3
"2007-02-20",47.73,50.74,47.64,50.13,2888100,45.43
"2007-02-21",50.06,54.53,50.01,53.98,6569900,48.92
"2007-02-22",53.93,54.86,52.5,53.55,4030300,48.53
"2007-02-23",53.68,55.8,53.51,54.83,3178600,49.69
"2007-02-26",54.11,55.18,53.51,54.15,2097300,49.08
"2007-02-27",52,52.38,49.41,50.33,4738400,45.62
"2007-02-28",46.75,47.19,43.62,44.34,13014800,40.19
"2007-03-01",42.2,44.71,40.75,43.58,6961000,39.63
"2007-03-02",43.25,43.36,42.4,42.4,4599800,38.56
"2007-03-05",41.53,42.34,40.36,41.43,3620200,37.68
"2007-03-06",42.42,42.9,41.12,41.79,3190200,38
"2007-03-07",43.04,44.5,42.81,43.21,5238400,39.3
"2007-03-08",43.67,44.24,43.23,43.85,2992800,39.88
"2007-03-09",44.01,44.1,42.94,43.6,2284200,39.65
"2007-03-12",43.18,43.9,43,43.05,1564800,39.15
"2007-03-13",42.89,43.05,41.41,41.95,2471700,38.15
"2007-03-14",41.6,42.2,40.65,41.56,2760500,37.8
"2007-03-15",41.4,42,41.04,41.52,2837900,37.76
"2007-03-16",41.42,41.98,40.94,41.17,2788000,37.44
"2007-03-19",41.73,41.9,40.83,41.09,2514800,37.37
"2007-03-20",41.05,41.79,41.05,41.42,1653600,37.67
"2007-03-21",41.38,42.02,40.86,41.57,2264500,37.8
"2007-03-22",41.52,44.2,41.32,43.25,5055900,39.33
"2007-03-23",43.48,44.86,42.98,43.18,2569700,39.27
"2007-03-26",43.16,43.44,42.1,43.36,1942100,39.43
"2007-03-27",43.36,43.96,42.73,43.1,2309900,39.2
"2007-03-28",42.76,43.6,42.54,42.59,1598100,38.73
"2007-03-29",42.94,43.57,42.85,43.5,1557000,39.56
"2007-03-30",43.45,44.38,42.62,42.9,2438000,39.01
"2007-04-02",43,43.61,42.43,43.27,2381400,39.35
"2007-04-03",43.43,44.72,43.25,43.94,2427800,39.96
"2007-04-04",44.08,44.2,43.5,43.6,1507600,39.65
"2007-04-05",43.77,45.19,43.52,44.78,2026100,40.72
"2007-04-09",45.45,45.65,44.25,44.75,2210600,40.7
"2007-04-10",44.67,46.48,44.67,46.06,2863000,41.89
"2007-04-11",46.24,46.4,44.74,44.86,2364600,40.8
"2007-04-12",44.83,46.62,44.46,46.48,2952600,42.27
"2007-04-13",46.39,46.91,46.04,46.19,1671500,42.01
"2007-04-16",46.58,47,46.28,47,1325700,42.74
"2007-04-17",47,47.44,46.75,47.12,1962200,42.85
"2007-04-18",46.96,48.25,46.61,47.65,1559100,43.33
"2007-04-19",46.99,47.32,46.13,47,1993200,42.74
"2007-04-20",48.03,49.32,47.47,47.81,2311600,43.48
"2007-04-23",49.9,50.4,49.31,49.88,3414800,45.36
"2007-04-24",50.37,50.81,49.41,49.94,2019500,45.42
"2007-04-25",50.02,51.9,49.42,51.28,2577100,46.63
"2007-04-26",51.66,52.48,51.29,52.18,2619500,47.45
"2007-04-27",52.02,52.51,50.87,51.8,1612000,47.11
"2007-04-30",51.9,51.93,50.5,50.63,1690500,46.04
"2007-05-01",50.5,50.91,49.37,50.64,2656400,46.05
"2007-05-02",50.97,52.67,50.67,52.06,2148500,47.34
"2007-05-03",52.11,53.3,52,52.35,1563200,47.61
"2007-05-04",52.68,52.93,51.99,52.22,1674300,47.49
"2007-05-07",52.36,52.62,51.55,52.08,1568500,47.36
"2007-05-08",51.88,52.38,50.77,51.97,1105100,47.26
"2007-05-09",51.5,53.77,51.26,53.6,1992700,48.74
"2007-05-10",53.02,53.65,51.49,51.83,2071000,47.14
"2007-05-11",51.94,52.7,51.02,52.55,2416400,47.79
"2007-05-14",52.87,53.34,51.78,51.85,1564000,47.15
"2007-05-15",51.85,53.22,51.61,52.8,1920800,48.02
"2007-05-16",52.84,53.2,51.73,52.71,1808900,47.94
"2007-05-17",52.55,52.95,51.8,52.78,1407700,48
"2007-05-18",52.97,53.1,51.97,52.23,2015900,47.5
"2007-05-21",52.18,54.75,52.16,53.81,2461300,48.94
"2007-05-22",54.27,54.62,53.43,53.79,1583900,48.92
"2007-05-23",53.78,54.46,52.55,52.59,1787600,47.83
"2007-05-24",52.59,52.79,50.42,50.64,2628500,46.05
"2007-05-25",50.94,51.93,50.9,51.27,1587300,46.63
"2007-05-29",51.27,52.5,50.46,50.81,2560900,46.21
"2007-05-30",48.77,56.05,48.5,55.76,10016200,50.71
"2007-05-31",55.99,57.45,55.37,56.63,3153600,51.5
"2007-06-01",56.7,58.18,56.32,58.02,2120800,52.9
"2007-06-04",57.47,58.11,56.35,57.86,1511600,52.76
"2007-06-05",57.57,59.96,57.57,58.92,2491800,53.73
"2007-06-06",58.85,58.89,57.87,58.07,1556000,52.95
"2007-06-07",57.75,57.77,55.74,55.84,2548400,50.92
"2007-06-08",55.35,57.65,54.35,57.47,1814100,52.4
"2007-06-11",57.5,58.17,56.8,57.33,1217700,52.28
"2007-06-12",57.01,58.13,56.42,57.02,1097200,51.99
"2007-06-13",57.65,59.16,57.07,59.11,1933900,53.9
"2007-06-14",59.2,61.55,59.03,60.43,2398800,55.1
"2007-06-15",61.15,61.99,60.63,61.24,2693600,55.84
"2007-06-18",61.39,61.67,60.17,60.42,1333300,55.09
"2007-06-19",60.47,61.46,59.75,61.3,1512800,55.9
"2007-06-20",61.25,61.77,60.5,60.63,2004200,55.28
"2007-06-21",60.63,61.13,59.8,60.84,1409900,55.48
"2007-06-22",60.85,61.44,60,60,1717100,54.71
"2007-06-25",60.12,60.52,59.49,59.78,1541000,54.51
"2007-06-26",59.84,60.45,58.53,59.02,1947100,53.82
"2007-06-27",58.62,59.28,57.5,59.16,2011900,53.94
"2007-06-28",59.34,60.24,58.83,58.84,1121400,53.65
"2007-06-29",59,59.69,57.97,58.33,1312400,53.19
"2007-07-02",58.55,60.5,58.38,60.48,1430500,55.15
"2007-07-03",60.8,61.28,59.94,60.81,624200,55.45
"2007-07-05",60.55,60.72,58.7,59.6,1672000,54.35
"2007-07-06",59.62,61.05,59.5,60.96,945200,55.59
"2007-07-09",61.3,61.71,60.53,60.94,1470400,55.57
"2007-07-10",60.66,61.3,59.86,61.25,2283900,55.85
"2007-07-11",61.16,63.47,61.09,62.77,1991700,57.24
"2007-07-12",63.39,63.64,62.28,63.15,1477300,57.58
"2007-07-13",63.27,64.26,62.77,64.02,1614600,58.38
"2007-07-16",64.7,65.5,64.29,64.34,1559900,58.67
"2007-07-17",64.62,64.88,62.65,62.99,1669400,57.44
"2007-07-18",62.55,64.16,62.3,64.14,1215300,58.49
"2007-07-19",64.48,65.3,64.21,64.38,1279500,58.7
"2007-07-20",63.8,63.8,62.43,63.03,2332900,57.47
"2007-07-23",63.25,63.39,61.75,62.27,2325500,56.78
"2007-07-24",62.16,62.52,59.12,59.56,3557100,54.31
"2007-07-25",53.6,54.39,50.41,52.45,9936200,47.83
"2007-07-26",50.08,51.39,47.46,48.42,6212300,44.15
"2007-07-27",48.88,49.19,46.38,47.22,3111300,43.06
"2007-07-30",47.16,49.94,47,49.02,2899100,44.7
"2007-07-31",49.68,51,49.27,49.49,3174200,45.13
"2007-08-01",49.17,50.17,47,48.36,2889200,44.1
"2007-08-02",48.7,49.18,48.06,48.59,1715900,44.31
"2007-08-03",48.62,49.35,46.98,47.07,1571700,42.92
"2007-08-06",47.19,47.85,44.51,47.52,1982600,43.33
"2007-08-07",47.26,50,46.96,49.24,2299800,44.9
"2007-08-08",49.66,54,49.59,51.32,3229200,46.8
"2007-08-09",50.49,52.49,49.59,49.59,2887600,45.22
"2007-08-10",49.32,50.28,47.52,48.01,3041100,43.78
"2007-08-13",48.9,48.95,47.15,47.47,1510100,43.28
"2007-08-14",47.5,48.1,45.88,45.9,1023100,41.85
"2007-08-15",45.75,45.94,44.03,44.24,2094700,40.34
"2007-08-16",43.23,44.09,42.21,43.49,2850200,39.66
"2007-08-17",44.61,48,43.3,43.85,2714600,39.98
"2007-08-20",44.04,44.59,43.12,43.95,1543000,40.08
"2007-08-21",43.47,43.95,43.15,43.47,1341100,39.64
"2007-08-22",43.88,45.88,43.7,44.99,1798800,41.02
"2007-08-23",47.03,49.5,46.37,47.15,2713400,42.99
"2007-08-24",47.01,47.52,46.23,47.52,1138300,43.33
"2007-08-27",47.71,49.04,47.58,47.73,1616600,43.52
"2007-08-28",47.59,47.73,44.41,44.82,2199400,40.87
"2007-08-29",43.06,43.79,42.27,42.93,4238700,39.15
"2007-08-30",43.66,44.45,42.93,43.3,2733900,39.48
"2007-08-31",43.72,44.59,43.3,43.39,2757200,39.7
"2007-09-04",43.41,44.48,42.88,44.17,2258700,40.42
"2007-09-05",43.84,44.58,43.69,44.5,1555700,40.72
"2007-09-06",44.72,46.22,44.35,45.72,1840000,41.83
"2007-09-07",45.06,45.68,43.28,43.88,2043100,40.15
"2007-09-10",44.04,44.5,42.1,42.93,1239900,39.28
"2007-09-11",43.26,44.56,43.25,44.39,1171400,40.62
"2007-09-12",44.19,44.81,43.91,44.23,798100,40.47
"2007-09-13",44.41,45.87,44.09,45.25,1191900,41.4
"2007-09-14",44.83,46.31,44.15,46.09,1173100,42.17
"2007-09-17",46.01,46.25,45.3,45.75,1022500,41.86
"2007-09-18",46.25,48.71,46.09,48.3,1908400,44.19
"2007-09-19",48.87,51.09,48.7,48.96,2934400,44.8
"2007-09-20",49.4,49.51,47.57,48.68,2013600,44.54
"2007-09-21",48.95,50.47,48.73,49.59,2418400,45.38
"2007-09-24",49.82,49.99,47.65,48.78,1703800,44.63
"2007-09-25",48.54,49.78,48.16,48.96,1198400,44.8
"2007-09-26",49.19,49.64,48.53,48.97,1107900,44.81
"2007-09-27",49.46,50.86,49.34,50.06,1202800,45.81
"2007-09-28",50.42,51.74,50.2,50.86,1366900,46.54
"2007-10-01",51.63,53.25,50.69,52.19,1738000,47.75
"2007-10-02",52.06,53.29,51.48,53.03,1330000,48.52
"2007-10-03",53.02,53.3,50.7,51.36,1364000,46.99
"2007-10-04",51.27,52.16,50.49,51.12,1027500,46.77
"2007-10-05",51.31,52.1,50.88,51.62,1389600,47.23
"2007-10-08",51.04,51.59,50.43,51.25,893200,46.89
"2007-10-09",51.16,52.2,50.55,51.94,1152600,47.53
"2007-10-10",52.11,52.48,50.82,52.14,1685700,47.71
"2007-10-11",52.83,54.85,52.24,53.03,3194700,48.52
"2007-10-12",53.18,53.94,52.72,53.35,801600,48.82
"2007-10-15",53.51,53.99,52.12,52.86,1080300,48.37
"2007-10-16",52.6,52.84,51.4,51.95,1248200,47.53
"2007-10-17",52.39,52.83,51.2,52.67,1141300,48.19
"2007-10-18",52.65,54.45,52.05,53.76,1244000,49.19
"2007-10-19",53.6,54.39,51.31,51.31,2096800,46.95
"2007-10-22",50.58,52,48.76,51.85,1553900,47.44
"2007-10-23",52.76,53.3,51.5,53.17,1426800,48.65
"2007-10-24",52.16,53.48,51.74,53.38,1123700,48.84
"2007-10-25",53.45,54.24,51.85,52.92,1416500,48.42
"2007-10-26",53.67,56.61,53.4,56.14,3022600,51.37
"2007-10-29",56.48,59,56.05,58.91,3000400,53.9
"2007-10-30",58.97,58.99,56.52,56.71,1498100,51.89
"2007-10-31",57.02,58.09,56.56,58.06,1823700,53.13
"2007-11-01",57.42,57.96,56,56,1546900,51.24
"2007-11-02",57.46,57.73,54.8,57.18,3131700,52.32
"2007-11-05",56,57.19,55.55,55.94,1733600,51.19
"2007-11-06",56.49,57.32,56.05,56.89,2063100,52.05
"2007-11-07",56.51,56.99,55.39,56.07,2216400,51.3
"2007-11-08",56.28,56.79,53.34,54.62,3152000,49.98
"2007-11-09",54.5,54.7,51.79,51.99,2376200,47.57
"2007-11-12",51.8,52.57,49.06,49.55,2929200,45.34
"2007-11-13",49.8,51.48,49.55,51.27,2110600,46.91
"2007-11-14",51.57,53.25,51.02,52.79,1480400,48.3
"2007-11-15",52.3,53.62,50.6,51.12,1617100,46.77
"2007-11-16",51.41,52.29,50.68,51.99,1843400,47.57
"2007-11-19",53.06,53.45,49.98,50.14,2537400,45.88
"2007-11-20",50.48,52.39,50.02,51.43,2257000,47.06
"2007-11-21",50.88,53.36,50.5,52.29,1483800,47.85
"2007-11-23",52.34,53.33,52.13,52.9,855300,48.4
"2007-11-26",52.79,55.05,51.75,53.31,1438200,48.78
"2007-11-27",53.55,54.43,52.46,53.85,1241100,49.27
"2007-11-28",54.64,56.94,53.96,56.47,1369500,51.67
"2007-11-29",55.94,57.75,55.81,57.4,1192700,52.52
"2007-11-30",57.86,58.82,57.33,58,1738600,53.07
"2007-12-03",57.33,58.02,56.63,56.87,965700,52.17
"2007-12-04",56.62,57.99,55.42,57.73,1102600,52.96
"2007-12-05",58.24,59.2,57.66,58.67,1036200,53.82
"2007-12-06",57.25,61.54,56.47,60.98,2347000,55.94
"2007-12-07",60.5,61.38,59.81,60.39,1190600,55.4
"2007-12-10",60.82,61.19,60,61,1641900,55.96
"2007-12-11",61.31,61.52,57.77,58.13,1416100,53.33
"2007-12-12",59.55,60.99,58.66,59.78,1816400,54.84
"2007-12-13",58.48,60,58.48,59.16,1096400,54.27
"2007-12-14",58.19,59.69,57.97,58.21,808500,53.4
"2007-12-17",58.66,59.08,56.06,56.16,1504500,51.52
"2007-12-18",57.45,57.92,54.24,55.6,1846500,51.01
"2007-12-19",58.33,60.32,58.22,59.58,4480600,54.66
"2007-12-20",59.59,62.42,59.5,62.41,2323500,57.25
"2007-12-21",63.86,65.7,62.69,65.7,3429400,60.27
"2007-12-24",65.37,65.9,63.8,64.62,803600,59.28
"2007-12-26",64.65,67.49,64.01,67.24,1502700,61.68
"2007-12-27",67.13,67.61,65.63,65.88,1454000,60.44
"2007-12-28",66,67.05,65.64,66.92,924600,61.39
"2007-12-31",66,66.93,64.65,65.82,1008500,60.38
