"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2007-04-02",88.48,88.49,84.88,85.85,6675000,21.46
"2007-04-03",86.43,89.51,86.13,88.93,4095000,22.23
"2007-04-04",89.32,89.38,87.73,87.75,2943800,21.94
"2007-04-05",86.92,87.23,84.93,86.76,5411800,21.69
"2007-04-09",86.93,87.31,85.38,86.04,3789600,21.51
"2007-04-10",86,86,84.28,85.67,3795000,21.42
"2007-04-11",84.48,84.6,82.65,83.2,7450400,20.8
"2007-04-12",83,86.34,82.8,85.5,5474600,21.38
"2007-04-13",86.56,88.87,86.5,87.38,5930000,21.84
"2007-04-16",87.8,88.12,87.16,87.8,2934800,21.95
"2007-04-17",87.4,88.74,87.27,88.43,4105200,22.11
"2007-04-18",87.87,88.38,87.17,87.86,3711600,21.97
"2007-04-19",87.57,87.57,85.87,86.47,2403400,21.62
"2007-04-20",87.89,89.31,86.72,88.21,3578200,22.05
"2007-04-23",88.55,88.98,87.77,88.26,2163400,22.07
"2007-04-24",88.51,88.59,87.32,87.59,1865600,21.9
"2007-04-25",87.59,89.93,86.95,89.58,2916200,22.4
"2007-04-26",89.32,89.86,88.52,89.17,2243200,22.29
"2007-04-27",88.97,90.97,88.55,90.62,3402800,22.66
"2007-04-30",90.2,90.66,89.4,89.4,4104400,22.35
"2007-05-01",90.19,90.19,87.25,88.47,5142800,22.12
"2007-05-02",86.02,86.47,82.77,84.36,11941000,21.09
"2007-05-03",84.61,85.17,83.72,84.13,6088800,21.03
"2007-05-04",84.74,85.1,83.42,83.9,3937400,20.98
"2007-05-07",83.95,84,80.9,81.36,7087200,20.34
"2007-05-08",81.4,81.45,79.66,80.3,9247200,20.08
"2007-05-09",79.63,80.31,79.13,79.7,5759200,19.92
"2007-05-10",79.16,81.42,79,80.08,6373800,20.02
"2007-05-11",80.27,81.1,80,80.65,3362800,20.16
"2007-05-14",80.65,81.12,78.38,78.65,5136600,19.66
"2007-05-15",78.36,79.92,78.14,78.29,5907800,19.57
"2007-05-16",78.29,78.75,76.77,77.7,4562800,19.42
"2007-05-17",78.23,78.78,76.48,76.82,5615600,19.2
"2007-05-18",77.01,79.47,76.58,78.83,6047400,19.71
"2007-05-21",77.88,78.88,77.71,78.42,3670200,19.6
"2007-05-22",79.52,80.54,78.33,78.69,4276000,19.67
"2007-05-23",78.51,78.7,75.8,76.17,6836000,19.04
"2007-05-24",76.07,76.57,74.48,74.94,6116200,18.74
"2007-05-25",75.07,76.22,75.07,75.71,3056600,18.93
"2007-05-29",75.56,77.05,75.51,76.44,3977400,19.11
"2007-05-30",75.8,79.04,75.67,78.93,6750800,19.73
"2007-05-31",78.92,79.5,78.25,78.56,3929200,19.64
"2007-06-01",79.15,79.33,77.78,78.11,3273000,19.53
"2007-06-04",77.64,78.42,77.33,78.04,3767800,19.51
"2007-06-05",77.9,78.61,77.26,78.56,3268200,19.64
"2007-06-06",78.58,78.59,76.57,76.97,5344200,19.24
"2007-06-07",76.51,76.68,74.7,74.95,4954000,18.74
"2007-06-08",74.68,75.56,74,75.47,4902000,18.87
"2007-06-11",75.5,76.8,75.21,76.37,5279200,19.09
"2007-06-12",76.2,76.89,75.35,75.5,4371200,18.88
"2007-06-13",75.8,79.2,75.8,78.93,7429000,19.73
"2007-06-14",79,80.18,78.89,79.1,4258200,19.77
"2007-06-15",80.05,80.84,78.91,79.02,5400200,19.75
"2007-06-18",79.19,79.45,77.83,78.07,4386400,19.52
"2007-06-19",77.69,78.37,77.11,77.69,2514800,19.42
"2007-06-20",77.89,78.72,76.3,76.56,3238400,19.14
"2007-06-21",76.22,76.88,75.75,76.5,3882600,19.12
"2007-06-22",76.5,76.9,75.44,75.93,2795600,18.98
"2007-06-25",76.1,77.05,74.94,75.48,3107000,18.87
"2007-06-26",75.6,76.18,74.64,74.84,3432000,18.71
"2007-06-27",74.83,76.29,74.3,76.04,3395600,19.01
"2007-06-28",75.55,77.39,75.21,76.6,3930200,19.15
"2007-06-29",76.86,76.99,74.89,75,3622400,18.75
"2007-07-02",75.37,76.45,75.05,76.18,2739000,19.05
"2007-07-03",75.55,76.32,75.31,75.45,1473200,18.86
"2007-07-05",75.24,75.38,74.05,74.41,3662800,18.6
"2007-07-06",74.86,78.9,74.86,78.89,6047200,19.72
"2007-07-09",79.94,81.7,79.56,80,8642400,20
"2007-07-10",79.95,80.07,78,79.84,18278200,19.96
"2007-07-11",78.85,82.24,78.78,82.16,9201200,20.54
"2007-07-12",83.45,86.44,82.16,86.44,8902600,21.61
"2007-07-13",86.19,86.3,83.91,86.18,5783600,21.55
"2007-07-16",85.89,85.98,84.82,85.68,3199000,21.42
"2007-07-17",85.74,86.3,84.05,84.5,4341200,21.12
"2007-07-18",84.22,85.43,83.77,84.99,3319800,21.25
"2007-07-19",86.37,88,86.21,87.52,4245400,21.88
"2007-07-20",87.67,88.39,85.53,85.84,4012400,21.46
"2007-07-23",86.16,86.55,84.82,85.06,2857200,21.26
"2007-07-24",84.53,85.87,82.91,83.26,3406200,20.82
"2007-07-25",83.92,84.71,82.11,82.3,3549200,20.58
"2007-07-26",81.51,82.59,80.01,81.67,4780600,20.42
"2007-07-27",81.69,83.16,79.67,81.54,5562000,20.39
"2007-07-30",81.58,83.85,80.85,83.19,3580800,20.8
"2007-07-31",84.89,84.94,80.6,80.98,6001400,20.25
"2007-08-01",80.28,82.35,78.5,80.81,8632200,20.2
"2007-08-02",81.34,84.22,81.25,84,5685000,21
"2007-08-03",84.1,84.56,82.67,82.85,4177600,20.71
"2007-08-06",82.8,83.84,81.04,83.83,4133000,20.96
"2007-08-07",83.02,85.46,82.97,85.03,4819000,21.26
"2007-08-08",85.53,88.86,85,87.03,6037600,21.76
"2007-08-09",85.72,88.88,84.05,85.12,5697800,21.28
"2007-08-10",84.56,84.71,81.36,82.34,5530200,20.58
"2007-08-13",83.54,83.97,82.06,82.45,2481400,20.61
"2007-08-14",82.77,83.58,80.05,80.35,2227600,20.09
"2007-08-15",79.59,80.84,77.96,78.04,3498800,19.51
"2007-08-16",76.87,77.6,72.5,74.88,7555400,18.72
"2007-08-17",75.69,76.48,72.64,74.95,10616200,18.74
"2007-08-20",75.27,75.67,73.25,73.68,4728400,18.42
"2007-08-21",73.25,74.23,71.07,72.54,5234000,18.14
"2007-08-22",73.53,76.65,73,75.02,4877600,18.75
"2007-08-23",75.24,75.92,73.66,74.55,3032800,18.64
"2007-08-24",74.5,74.5,72.9,73.45,3160800,18.36
"2007-08-27",72.29,74.93,72.15,72.79,3910800,18.2
"2007-08-28",72.01,72.79,69.72,69.85,4115200,17.46
"2007-08-29",70.69,72.25,70.63,72.1,3706200,18.02
"2007-08-30",71.41,72.63,70.88,71.93,3815600,17.98
"2007-08-31",72.93,73.99,72.5,73.51,3612400,18.38
"2007-09-04",73.52,73.99,72.24,73.46,3230000,18.36
"2007-09-05",73,73.1,71.21,71.46,3650800,17.86
"2007-09-06",72,72.79,71.5,72.1,3179200,18.02
"2007-09-07",71.05,71.75,70.36,71.07,2770000,17.77
"2007-09-10",71.34,71.34,67.6,67.75,8355800,16.94
"2007-09-11",67.93,69.78,67.91,68.42,6770200,17.1
"2007-09-12",69.7,70.96,69.2,69.9,4997400,17.48
"2007-09-13",70.18,72.57,70.01,71.88,5488600,17.97
"2007-09-14",71.07,72.78,70.3,72.07,5112200,18.02
"2007-09-17",73.03,73.8,71.71,71.97,3164200,17.99
"2007-09-18",72.66,74.86,72.34,74.3,6581600,18.58
"2007-09-19",75.49,76.05,74.92,75.6,5768200,18.9
"2007-09-20",75.71,75.71,72.71,73.41,4515400,18.35
"2007-09-21",74.31,76.86,73.41,75.87,7011800,18.97
"2007-09-24",76,76.31,74.25,74.83,3894600,18.71
"2007-09-25",74.73,77.35,74.18,77.27,3727200,19.32
"2007-09-26",77.79,78.63,77.51,78.27,2761200,19.57
"2007-09-27",78.81,79.8,78.28,79.74,3527800,19.93
"2007-09-28",79.98,80.81,79.25,79.79,2700600,19.95
"2007-10-01",80.44,82.55,79.84,82.42,3943400,20.6
"2007-10-02",82.44,82.56,81.14,82.06,2724400,20.51
"2007-10-03",82.19,83,81.73,82.89,2277400,20.72
"2007-10-04",83.15,83.94,82.65,83.34,2258800,20.83
"2007-10-05",83.52,86,83.31,85.79,2809000,21.45
"2007-10-08",85.29,85.49,83.31,83.55,3242600,20.89
"2007-10-09",83.6,85.05,83.6,84.74,3013200,21.18
"2007-10-10",84.47,85.68,82.47,85.04,3403400,21.26
"2007-10-11",84.59,84.79,80.91,81.19,6266600,20.3
"2007-10-12",81.51,82.62,80.88,81.85,3476400,20.46
"2007-10-15",81.39,81.66,78.88,80.32,3960800,20.08
"2007-10-16",79.75,81.22,78.37,79.75,4422600,19.94
"2007-10-17",41.1,41.69,40.61,41.57,3349200,20.78
"2007-10-18",41.23,41.83,40.6,41.82,2679900,20.91
"2007-10-19",41.76,42.15,40,40.02,3876400,20.01
"2007-10-22",39.73,40.59,39.54,40.32,2115000,20.16
"2007-10-23",40.15,40.97,39.59,40.58,2391200,20.29
"2007-10-24",40.08,40.62,38.31,39.17,3803700,19.58
"2007-10-25",39.9,40.2,38.51,39.2,2453000,19.6
"2007-10-26",39.84,40.2,39,39.94,2649500,19.97
"2007-10-29",40.26,40.86,40,40.35,1616700,20.17
"2007-10-30",40.11,40.79,39.85,40.46,1465200,20.23
"2007-10-31",40.76,41.46,39.84,41.46,2471100,20.73
"2007-11-01",41.4,42,39.54,39.64,2997800,19.82
"2007-11-02",39.85,41.21,39.75,40.9,2843400,20.45
"2007-11-05",40.9,40.9,38.81,39.61,4377500,19.81
"2007-11-06",32.9,34.7,31.15,32,33473100,16
"2007-11-07",32.18,34.48,31.96,33.09,12449100,16.55
"2007-11-08",33.34,33.62,30,31.57,9622200,15.78
"2007-11-09",30.56,32.24,30.05,30.79,8200000,15.4
"2007-11-12",30.8,31.53,29.92,30.76,5990700,15.38
"2007-11-13",31.14,32.51,30.76,32.3,5896400,16.15
"2007-11-14",32.57,32.69,30.74,30.85,5154000,15.43
