"","BCR.Open","BCR.High","BCR.Low","BCR.Close","BCR.Volume","BCR.Adjusted"
"2007-05-31",84.95,84.99,84.14,84.41,434800,80.11
"2007-06-01",84.42,84.53,83.77,84.46,290100,80.16
"2007-06-04",84.11,85,83.93,84.89,348400,80.57
"2007-06-05",84.9,85,84.33,84.55,346600,80.25
"2007-06-06",84.4,84.42,83.51,83.79,293100,79.53
"2007-06-07",83.8,83.9,83.23,83.49,627800,79.24
"2007-06-08",83.39,84.63,83.27,84.63,469200,80.32
"2007-06-11",84.49,84.7,84.31,84.51,370800,80.21
"2007-06-12",84.4,84.7,84.15,84.28,456800,79.99
"2007-06-13",84.3,84.99,84.25,84.91,433800,80.59
"2007-06-14",84.91,84.99,84.43,84.74,334600,80.43
"2007-06-15",85,85.45,84.75,84.84,373400,80.52
"2007-06-18",84.67,84.95,84.48,84.73,296600,80.42
"2007-06-19",84.74,85.12,84.5,85.04,320000,80.71
"2007-06-20",85.05,85.18,84.43,84.49,302700,80.19
"2007-06-21",84.49,84.51,84.07,84.19,323400,79.91
"2007-06-22",84.02,84.05,81.67,82.07,1011900,77.89
"2007-06-25",82.08,82.75,81.54,81.81,446900,77.65
"2007-06-26",82.01,82.12,81.41,81.45,599400,77.31
"2007-06-27",81.15,81.78,80.49,81.59,717000,77.44
"2007-06-28",81.42,82.52,81.13,82.39,664500,78.2
"2007-06-29",82.4,82.95,82.25,82.63,843700,78.43
"2007-07-02",82.9,83.26,82.75,83.08,369700,78.85
"2007-07-03",83.33,84.14,83.33,83.98,181500,79.71
"2007-07-05",84.3,84.4,83.17,83.56,367300,79.31
"2007-07-06",83.3,83.72,82.92,83.5,267900,79.25
"2007-07-09",83.44,84.11,83.41,83.6,466400,79.35
"2007-07-10",83.46,83.7,83.13,83.13,444700,78.9
"2007-07-11",83.19,83.85,83.1,83.52,478200,79.27
"2007-07-12",83.69,83.81,83.42,83.74,584700,79.48
"2007-07-13",83.76,84.47,83.44,84.39,438000,80.1
"2007-07-16",84,84,83.32,83.44,451700,79.19
"2007-07-17",83.33,83.85,82.69,82.69,589400,78.48
"2007-07-18",82.65,82.95,82.14,82.37,647300,78.18
"2007-07-19",82.55,82.55,81.46,81.74,851300,77.72
"2007-07-20",81.15,81.54,80.76,81.04,1179900,77.06
"2007-07-23",81.45,83.07,81.45,82.59,724500,78.53
"2007-07-24",82.15,83.07,82.07,82.12,871300,78.08
"2007-07-25",81.05,81.29,78.03,78.65,2921000,74.78
"2007-07-26",78.19,80.3,76.61,79.71,1830600,75.79
"2007-07-27",79.61,79.61,78.81,79,1299600,75.12
"2007-07-30",79,80.09,78.85,79.84,1358500,75.92
"2007-07-31",80,80.07,78.37,78.47,1083200,74.61
"2007-08-01",78.39,79.94,78.37,79.79,978500,75.87
"2007-08-02",79.98,80.87,79.73,79.96,1509200,76.03
"2007-08-03",80,80.18,78.41,78.41,1334800,74.56
"2007-08-06",78.66,79.8,78.66,79.8,833400,75.88
"2007-08-07",79.47,80.53,79.07,79.62,933600,75.71
"2007-08-08",79.82,81.17,79.3,80.98,1070200,77
"2007-08-09",80.24,81.45,80.24,80.38,1154500,76.43
"2007-08-10",80,81.64,79.02,81.23,906800,77.24
"2007-08-13",81.52,81.67,80.35,80.84,1471100,76.87
"2007-08-14",80.84,81.46,80.34,80.93,725600,76.95
"2007-08-15",80.62,81.52,79.1,79.25,844000,75.35
"2007-08-16",79.05,79.62,77.26,77.99,1649300,74.16
"2007-08-17",78.65,80.6,78.26,80.6,1129100,76.64
"2007-08-20",80.58,81.45,80.3,81.18,606200,77.19
