"","BIIB.Open","BIIB.High","BIIB.Low","BIIB.Close","BIIB.Volume","BIIB.Adjusted"
"2007-01-03",49.28,50.25,48.2,49.33,3833500,49.33
"2007-01-04",49.27,50.1,48.88,49.75,2884300,49.75
"2007-01-05",49.99,50.33,49.51,49.76,2230400,49.76
"2007-01-08",50,50.16,48.91,50.02,3160200,50.02
"2007-01-09",49.88,50.14,49.3,49.5,2816500,49.5
"2007-01-10",49.23,49.55,48.82,49.28,3161600,49.28
"2007-01-11",49.34,50.63,49.1,50.44,2847900,50.44
"2007-01-12",50.36,51.37,50.36,50.97,3147800,50.97
"2007-01-16",51.2,51.85,50.5,51.8,2710000,51.8
"2007-01-17",51.48,52.45,51.41,51.9,3963000,51.9
"2007-01-18",51.91,52.43,51.37,51.52,2043900,51.52
"2007-01-19",51.44,52.02,51.18,51.84,2367200,51.84
"2007-01-22",51.7,51.75,50.11,50.18,3699500,50.18
"2007-01-23",50.19,50.26,48.53,49.13,4706700,49.13
"2007-01-24",49.23,49.3,48.59,48.79,3545200,48.79
"2007-01-25",48.5,48.56,47.44,47.79,4167600,47.79
"2007-01-26",47.74,47.94,47.04,47.52,2816400,47.52
"2007-01-29",47.43,48.01,47.23,47.68,2753400,47.68
"2007-01-30",47.85,48.21,47.58,48.05,2927700,48.05
"2007-01-31",47.86,48.6,47.32,48.34,2184800,48.34
"2007-02-01",48.32,49.6,48.27,49.39,4495600,49.39
"2007-02-02",49.33,49.71,49.19,49.3,2725200,49.3
"2007-02-05",49.22,49.32,48.5,49.03,2073200,49.03
"2007-02-06",49.04,49.08,47.86,48.94,3008600,48.94
"2007-02-07",48.85,49.48,48.71,49.32,2026900,49.32
"2007-02-08",49.16,49.89,49.04,49.64,1993700,49.64
"2007-02-09",49.77,50.17,49.07,49.5,2031800,49.5
"2007-02-12",49.36,49.49,49.04,49.31,3229100,49.31
"2007-02-13",49.2,49.68,48.87,49.17,2737300,49.17
"2007-02-14",49.48,50.51,49.3,50.49,3603900,50.49
"2007-02-15",50.16,50.37,47.31,48,8861500,48
"2007-02-16",47.89,48.39,47.6,48.25,4051300,48.25
"2007-02-20",48,48.14,46.91,47.2,4040900,47.2
"2007-02-21",47.1,47.27,46.5,47.02,4409300,47.02
"2007-02-22",47.01,47.3,46.32,47.18,3247800,47.18
"2007-02-23",47.31,47.44,46.77,46.9,1835700,46.9
"2007-02-26",46.9,47.65,46.9,47.17,2518000,47.17
"2007-02-27",46.82,47.07,45.02,45.88,5027100,45.88
"2007-02-28",45.3,46.15,45.09,45.19,4535000,45.19
"2007-03-01",44.22,45.35,43.27,44.57,5295300,44.57
"2007-03-02",44.16,44.74,43.65,43.66,4058100,43.66
"2007-03-05",43.32,44.2,43.11,43.41,3803800,43.41
"2007-03-06",43.96,44.5,43.65,44.18,4578700,44.18
"2007-03-07",43.88,44.58,43.5,43.78,3808800,43.78
"2007-03-08",44.1,44.19,43.06,43.13,3787200,43.13
"2007-03-09",43.5,43.66,42.86,43.3,2910000,43.3
"2007-03-12",43.31,44.1,42.93,44.09,2390000,44.09
"2007-03-13",43.78,44.78,43.08,43.16,4306700,43.16
"2007-03-14",43.28,44.18,43.02,44.11,4712700,44.11
"2007-03-15",44.12,44.49,43.63,44.1,3586100,44.1
"2007-03-16",44,44.32,43.52,43.55,4386900,43.55
"2007-03-19",43.6,44.68,43.59,44.4,3110200,44.4
"2007-03-20",44.4,44.8,44.26,44.71,2598700,44.71
"2007-03-21",44.64,45.81,44.11,45.81,3301900,45.81
