"","FFIV.Open","FFIV.High","FFIV.Low","FFIV.Close","FFIV.Volume","FFIV.Adjusted"
"2007-01-03",73.42,75.22,72.15,73.72,1740400,36.86
"2007-01-04",73.47,76.62,73.46,76.36,1992600,38.18
"2007-01-05",76.26,76.3,74.36,75.16,1192800,37.58
"2007-01-08",75.55,78.88,75.42,78.75,3219000,39.38
"2007-01-09",79.29,79.95,76.85,77.7,2267200,38.85
"2007-01-10",77.51,79.2,76.66,78.85,2060800,39.42
"2007-01-11",79.08,79.08,77.76,78.45,1262200,39.22
"2007-01-12",78.33,80.85,78.08,79.77,1859800,39.88
"2007-01-16",80.34,80.57,78.33,79.06,1148400,39.53
"2007-01-17",79,80.08,78.49,78.86,1110000,39.43
"2007-01-18",79.73,80.1,74.69,75.05,4690400,37.53
"2007-01-19",74.82,76.77,73.58,75.61,2499200,37.81
"2007-01-22",76.07,76.32,73.73,73.94,1819000,36.97
"2007-01-23",73.69,75.22,73.16,73.45,1857000,36.72
"2007-01-24",74.01,75.9,73.81,74.48,6694800,37.24
"2007-01-25",73.61,75.1,71.13,74.04,10256800,37.02
"2007-01-26",74.05,74.75,72.1,72.7,2003200,36.35
"2007-01-29",72.3,73.24,71.43,72.21,1964200,36.1
"2007-01-30",72.53,73.1,71.81,72.9,1004800,36.45
"2007-01-31",72.89,72.89,70.4,71.41,2423000,35.71
"2007-02-01",71.41,72.36,70.85,71.81,2247600,35.9
"2007-02-02",71.83,72.25,70.5,70.98,1703200,35.49
"2007-02-05",71,72.58,70.74,71.98,1128600,35.99
"2007-02-06",71.84,72.61,70.86,72.19,1279200,36.1
"2007-02-07",72.93,75.48,72.9,75.38,3789800,37.69
"2007-02-08",75.3,75.9,74.1,75.01,2030400,37.51
"2007-02-09",76.1,76.47,74.84,75.5,2693200,37.75
"2007-02-12",75.57,75.75,73.51,73.73,1242800,36.87
"2007-02-13",74.01,75.15,72.97,73.72,971800,36.86
"2007-02-14",73.9,74.56,73.01,73.75,1630200,36.88
"2007-02-15",74.03,75.33,73.5,74.21,1414200,37.1
"2007-02-16",74.29,74.81,72.87,73.59,1531000,36.79
"2007-02-20",73.3,76.17,73.3,76.03,2127600,38.01
"2007-02-21",75.91,76.09,75.2,75.97,808800,37.99
"2007-02-22",76.21,78.69,76.21,78.53,2499200,39.26
"2007-02-23",78.5,78.55,77.63,78.12,1060400,39.06
"2007-02-26",78,78.49,77.1,77.87,829000,38.94
"2007-02-27",76.65,76.74,72.46,73.3,1867200,36.65
"2007-02-28",73.26,74,72.09,72.62,1639000,36.31
"2007-03-01",71.22,74.14,70.05,72.42,1719400,36.21
"2007-03-02",72.18,72.36,68.88,69.12,2140200,34.56
"2007-03-05",68.5,70.92,68,68.88,2181000,34.44
"2007-03-06",69.9,72.58,69.6,72.25,2498600,36.12
"2007-03-07",72,72.49,70.83,71.09,1612800,35.54
"2007-03-08",71.99,72.96,71.4,71.62,1356200,35.81
"2007-03-09",73,74.05,72.01,73.31,1931400,36.65
"2007-03-12",73.31,73.72,72.66,73.32,615600,36.66
"2007-03-13",72.91,73,70.87,70.89,1386600,35.44
"2007-03-14",71.07,71.69,69.65,71.06,1401800,35.53
"2007-03-15",71.01,72.24,71.01,71.56,753200,35.78
"2007-03-16",71.84,71.85,70.91,71.08,1109800,35.54
"2007-03-19",72,73,71.39,72.94,1032200,36.47
"2007-03-20",72.81,73.81,72.5,73.81,895000,36.9
"2007-03-21",73.75,75.17,72.98,75.03,1510000,37.51
"2007-03-22",74.74,74.99,73.62,73.92,1043000,36.96
"2007-03-23",74.2,74.2,71.86,72.37,1588600,36.19
"2007-03-26",72.37,72.4,67.99,68.25,5803000,34.12
"2007-03-27",68.26,69.98,67.48,67.77,3784200,33.88
"2007-03-28",67.37,70.42,67.1,69.63,3162200,34.81
"2007-03-29",69.95,70.5,67.62,69.24,2656600,34.62
"2007-03-30",68.96,69.42,66.55,66.68,2843600,33.34
"2007-04-02",66.06,66.98,64.74,64.89,3173800,32.44
"2007-04-03",65.95,67.98,65.8,67.22,3929600,33.61
"2007-04-04",66.75,67.26,65.64,65.93,2809400,32.97
