"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2007-05-29",111.74,112.14,110.38,110.87,804500,92.93
"2007-05-30",110.16,112,110.05,111.83,737200,93.74
"2007-05-31",112.44,112.8,111.12,111.65,864700,93.58
"2007-06-01",111.79,112.25,111.07,111.39,890000,93.37
"2007-06-04",111.4,112.47,111.15,112.06,654300,93.93
"2007-06-05",111.57,113.55,111.5,111.72,1127800,93.64
"2007-06-06",111,112.65,110.68,111.77,973200,93.69
"2007-06-07",110.94,111.17,107.53,107.64,1530200,90.22
"2007-06-08",107.65,110.84,107.24,110.83,1023700,92.9
"2007-06-11",110.76,112.4,109.9,111.72,753000,93.64
"2007-06-12",110.81,112.8,110.77,111.32,1037200,93.31
"2007-06-13",111.96,112.17,109.58,112.14,946700,94
"2007-06-14",111.78,113.65,111.78,112.18,794600,94.03
"2007-06-15",113.64,115.06,113,114.7,987200,96.14
"2007-06-18",115.32,117.44,115.14,116.66,1194800,97.78
"2007-06-19",116.85,117.42,115.35,116.85,731900,97.94
"2007-06-20",116.8,118,114.59,114.6,783900,96.06
"2007-06-21",114.5,115.35,113.2,114.77,892300,96.2
"2007-06-22",114.77,115.33,112.75,112.98,741600,94.7
"2007-06-25",113.1,114.52,112.53,112.83,798500,94.57
"2007-06-26",112.97,113.35,111,111,808700,93.04
"2007-06-27",110.12,112.77,110.09,112.65,635600,94.42
"2007-06-28",112.7,113.6,111.6,112.55,743200,94.34
"2007-06-29",112.59,113.25,110.3,111.2,751900,93.21
"2007-07-02",111.99,113.17,111.4,112.2,704800,94.05
"2007-07-03",112.29,113.26,112.03,112.36,265100,94.18
"2007-07-05",112.36,112.8,111.42,112.09,440400,93.95
"2007-07-06",111.39,114.05,111.39,113.92,548200,95.49
"2007-07-09",114.21,114.61,112.43,112.45,614300,94.26
"2007-07-10",111.4,111.74,107.62,107.73,1483100,90.3
"2007-07-11",107.74,110.31,106.64,108.95,1380300,91.32
"2007-07-12",109.37,111.18,108.95,111.09,953600,93.12
"2007-07-13",111,111.63,109.78,111.31,725700,93.3
"2007-07-16",111.1,113.51,110.96,111.92,1606400,93.81
"2007-07-17",112.57,115.9,112.31,115,1820900,96.39
"2007-07-18",114.02,114.64,113.41,114.47,950400,95.95
"2007-07-19",114.85,116.79,114.17,116.66,1268700,97.78
"2007-07-20",114.3,115.47,110.1,110.43,2584100,92.56
"2007-07-23",108.54,112.64,101.61,112.22,1227800,94.06
"2007-07-24",110.25,112.11,108.75,109,1338100,91.36
"2007-07-25",110.58,110.58,107.4,109.8,1115800,92.03
"2007-07-26",108.68,109,103.6,104.71,1934100,87.77
"2007-07-27",103.94,105.94,102.56,102.63,1249100,86.02
"2007-07-30",102.6,103.27,100.06,102.59,1265000,85.99
"2007-07-31",103.8,105.4,102.11,102.11,1195100,85.59
"2007-08-01",101.6,102.09,98.71,100.35,1881300,84.11
"2007-08-02",100.8,101.89,99.91,100.84,971700,84.52
"2007-08-03",100.96,102.1,97.77,97.77,1099200,81.95
"2007-08-06",98.4,99.96,96.58,98.96,1095500,82.95
"2007-08-07",98.46,100.73,97.78,98.84,1186700,82.85
"2007-08-08",100.3,102.16,99.34,99.78,1621200,83.64
"2007-08-09",98.98,98.98,94.34,96.78,2234400,81.12
"2007-08-10",95.5,95.95,72.1,94.31,1786900,79.05
"2007-08-13",94.87,96.74,93.92,93.98,1177100,78.77
"2007-08-14",94.29,94.49,91.25,91.61,1372200,76.79
"2007-08-15",90.86,93.23,89.19,89.25,1532800,74.81
"2007-08-16",88.96,93.89,87.07,92.8,1810100,77.78
"2007-08-17",95.6,97.77,90.9,93.63,1425000,78.48
"2007-08-20",93.86,94.8,93.5,94.62,761200,79.31
"2007-08-21",94.51,96.04,94.14,95.29,520500,79.87
"2007-08-22",96.3,97.05,95.71,96.71,627200,81.06
"2007-08-23",97.52,97.69,96.27,96.96,580200,81.27
"2007-08-24",96.82,98.41,96.33,98.07,450000,82.2
"2007-08-27",97.98,98.93,97.65,98.21,628600,82.32
"2007-08-28",97.57,98,93.41,93.46,975600,78.34
"2007-08-29",93.76,95.74,93.19,95.44,622400,80.37
"2007-08-30",94.4,96,94.06,95.15,443500,80.12
"2007-08-31",95.89,97.18,94.67,96.41,647600,81.18
"2007-09-04",96.75,97.26,95.57,96.76,679400,81.48
"2007-09-05",95.91,96.13,94.62,95.09,689000,80.07
"2007-09-06",95.3,96.68,94.08,96.07,681300,80.9
"2007-09-07",94.66,95.17,92.25,92.77,823300,78.12
"2007-09-10",93.2,93.72,90.21,90.46,976100,76.17
"2007-09-11",91.17,92.11,90.1,90.4,968800,76.12
"2007-09-12",89.79,91.46,89.79,90.24,930000,75.99
"2007-09-13",91.19,93,89.87,91.57,922900,77.11
"2007-09-14",91.02,91.71,90.57,91.2,528400,76.8
"2007-09-17",90.98,92.1,90.55,91.28,392100,76.86
"2007-09-18",91.36,94.08,90.23,93.98,1083700,79.14
"2007-09-19",94.5,98.33,94.5,95.12,1508200,80.1
"2007-09-20",94.99,95.01,92.13,93,1252100,78.31
"2007-09-21",93.19,93.25,91.78,92.21,980200,77.65
"2007-09-24",92,92.6,91.17,91.3,850600,76.88
"2007-09-25",90.24,90.27,86.57,86.83,2903500,73.12
"2007-09-26",87.1,87.67,85.77,86.7,1318800,73.01
"2007-09-27",86.83,88.89,86.11,88.27,1256700,74.33
"2007-09-28",88.1,91.54,87.91,89.1,2171900,75.03
"2007-10-01",90,92.34,89.18,92.02,1088700,77.49
"2007-10-02",92.25,93.28,91.39,92.07,939100,77.53
"2007-10-03",91.6,94.72,91.59,93.36,1005000,78.62
"2007-10-04",93.33,93.71,91.37,91.93,572400,77.41
"2007-10-05",92.71,94.85,92.53,94.29,755000,79.4
"2007-10-08",94.41,94.89,92.79,93.21,377900,78.49
"2007-10-09",93.68,94.24,92,93.45,492000,78.69
"2007-10-10",93.41,93.92,91,92.28,735600,77.71
"2007-10-11",92.79,93.76,89.77,90.24,775600,75.99
"2007-10-12",90.19,90.78,88.89,89.27,765300,75.17
