"","ALXN.Open","ALXN.High","ALXN.Low","ALXN.Close","ALXN.Volume","ALXN.Adjusted"
"2007-01-03",40.49,41.31,39.88,40.61,3268000,10.15
"2007-01-04",40.5,40.93,40.02,40.73,1785200,10.18
"2007-01-05",40.6,41.46,40.23,40.46,3026400,10.11
"2007-01-08",40.37,40.54,39.29,39.35,2312400,9.84
"2007-01-09",39.44,39.48,38.62,39.05,3556000,9.76
"2007-01-10",38.88,40.48,38.77,40.38,3366000,10.1
"2007-01-11",40.47,41.09,40.16,40.88,2340800,10.22
"2007-01-12",40.96,41.28,40.71,41.15,1527600,10.29
"2007-01-16",41.29,41.89,41.19,41.67,1848800,10.42
"2007-01-17",41.65,42.69,41.55,42.52,2997600,10.63
"2007-01-18",42.49,42.65,41.87,42.02,1517200,10.51
"2007-01-19",41.92,42.97,41.89,42.87,1551600,10.72
"2007-01-22",42.75,42.87,41.95,42.16,2526800,10.54
"2007-01-23",42.09,42.5,41.83,42.36,1520000,10.59
"2007-01-24",42.47,42.76,42.1,42.32,1351200,10.58
"2007-01-25",42.49,42.49,41.91,41.98,1362400,10.49
"2007-01-26",42.13,42.26,41.31,41.57,1149600,10.39
"2007-01-29",41.57,42.32,41.24,41.33,1412000,10.33
"2007-01-30",41.4,41.64,41.06,41.11,901600,10.28
"2007-01-31",41.09,41.82,40.76,41.57,860400,10.39
"2007-02-01",41.77,42.68,41.61,42.43,2680000,10.61
"2007-02-02",42.58,42.7,41.61,41.94,945600,10.48
"2007-02-05",42.05,42.88,40.78,40.9,2563600,10.23
"2007-02-06",40.94,41.4,40.8,41.36,3530400,10.34
"2007-02-07",41.34,41.61,40.84,41.21,1948000,10.3
"2007-02-08",41.06,41.32,40.41,40.67,1744400,10.17
"2007-02-09",40.71,40.76,39.8,39.91,1711200,9.98
"2007-02-12",40.05,40.33,39.19,39.64,2265200,9.91
"2007-02-13",39.58,40.19,39.33,39.65,1246800,9.91
"2007-02-14",39.63,40.14,39.34,39.42,1484800,9.85
"2007-02-15",39.78,40,39.23,39.58,2840800,9.9
"2007-02-16",39.25,39.26,38.4,39.04,3585600,9.76
"2007-02-20",39.05,39.37,38.27,39.01,2679600,9.75
"2007-02-21",38.85,39.18,38.51,38.94,1041200,9.73
"2007-02-22",38.95,39.26,38.26,38.88,1548400,9.72
"2007-02-23",38.93,39.16,38.41,38.91,1482000,9.73
"2007-02-26",38.91,39.01,38.28,38.62,1280000,9.65
"2007-02-27",38.27,39.15,37.04,37.3,3759200,9.32
"2007-02-28",37.5,37.5,36.48,36.88,2058800,9.22
"2007-03-01",36.5,37.15,36.19,37.03,3526400,9.26
"2007-03-02",37,37.34,35.76,35.93,2004000,8.98
"2007-03-05",35.66,36.7,35.55,35.77,1906800,8.94
"2007-03-06",35.92,36.36,35.13,36.29,2990400,9.07
"2007-03-07",36.29,36.89,36.24,36.57,2311200,9.14
"2007-03-08",37,37.82,36.57,37.4,2114400,9.35
"2007-03-09",37.77,37.77,36.77,37.08,1194800,9.27
"2007-03-12",36.93,37.65,36.92,37.5,1574800,9.38
"2007-03-13",37.31,37.59,36.25,36.28,2249600,9.07
"2007-03-14",36.28,37.07,35.83,37.01,2996400,9.25
"2007-03-15",37.03,37.54,36.89,37.37,1870400,9.34
"2007-03-16",37.36,40.4,37.1,40.15,18148800,10.04
"2007-03-19",40.34,40.7,38.75,39,5558000,9.75
"2007-03-20",38.89,39.92,38.83,39.36,2829200,9.84
"2007-03-21",39.57,39.72,39.13,39.29,2887600,9.82
"2007-03-22",39.34,40.71,39.03,40.55,4693200,10.14
"2007-03-23",40.62,40.79,39.01,40.07,2106000,10.02
"2007-03-26",45.51,45.78,43.63,43.78,24498800,10.94
"2007-03-27",43.51,44.01,43,43.48,5686400,10.87
"2007-03-28",43.2,43.58,42.98,43.17,3078800,10.79
