"","ALXN.Open","ALXN.High","ALXN.Low","ALXN.Close","ALXN.Volume","ALXN.Adjusted"
"2007-03-29",43.28,43.77,43.26,43.66,3789200,10.91
"2007-03-30",43.52,44,43.02,43.24,3410000,10.81
"2007-04-02",43.14,43.48,42.25,42.88,3885600,10.72
"2007-04-03",42.97,44.33,42.51,43.53,3693200,10.88
"2007-04-04",43.43,43.94,43.26,43.82,2126800,10.95
"2007-04-05",44.08,45,43.83,44.46,2601600,11.11
"2007-04-09",44.36,44.4,43.82,44.02,1708000,11.01
"2007-04-10",43.9,44.77,43.8,44.38,1676000,11.1
"2007-04-11",44.24,44.26,43.52,44.19,2855600,11.05
"2007-04-12",43.97,44.59,43.55,44.56,3518800,11.14
"2007-04-13",44.49,44.99,44.35,44.96,2490000,11.24
"2007-04-16",45,45,44.72,44.85,1614400,11.21
"2007-04-17",44.98,44.98,43.87,43.93,2664800,10.98
"2007-04-18",44.02,44.26,43.45,43.58,1835200,10.9
"2007-04-19",43.52,44.16,43.19,43.41,1376000,10.85
"2007-04-20",43.67,43.97,43.58,43.8,1296800,10.95
"2007-04-23",43.8,44.34,43.8,43.97,1103200,10.99
"2007-04-24",44.23,44.38,43.12,43.48,2948400,10.87
"2007-04-25",43.67,43.7,42.74,42.93,2101200,10.73
"2007-04-26",42.94,43.02,42.15,43.01,2468000,10.75
"2007-04-27",43.43,43.73,42.37,42.55,2203600,10.64
"2007-04-30",42.48,42.91,41.72,41.86,2348800,10.47
"2007-05-01",42.5,42.9,40.95,42.71,4076800,10.68
"2007-05-02",42.71,43.81,42.71,43.58,2931600,10.9
"2007-05-03",43.66,43.74,43.08,43.36,1499600,10.84
"2007-05-04",43.58,46.91,43.35,45.89,6998400,11.47
"2007-05-07",45.6,46.3,45.25,46.05,4086000,11.51
"2007-05-08",46.05,47.44,45.9,47.37,5523600,11.84
"2007-05-09",47.05,48.32,47.03,48.19,4464400,12.05
"2007-05-10",47.89,48.39,46.18,46.24,4263600,11.56
"2007-05-11",46.27,47.14,46.01,47.05,3026000,11.76
"2007-05-14",46.93,47.39,46.51,46.69,2030800,11.67
"2007-05-15",46.63,47.31,46.02,46.38,2088000,11.6
"2007-05-16",46.54,46.9,45.98,46.7,2102800,11.68
"2007-05-17",46.67,46.97,46.19,46.36,1341200,11.59
"2007-05-18",46.52,47.33,45.73,47.25,2558800,11.81
"2007-05-21",47.15,47.97,46.68,47.71,1892400,11.93
"2007-05-22",47.64,48.36,47.24,47.47,1685200,11.87
"2007-05-23",47.49,48.5,47.04,47.29,1844400,11.82
"2007-05-24",47.2,47.77,46.61,46.98,1897200,11.74
"2007-05-25",47.03,47.47,46.81,47.34,919200,11.84
"2007-05-29",47.26,48.13,47.02,47.17,2266400,11.79
"2007-05-30",47.02,48.46,46.73,48.44,3304000,12.11
"2007-05-31",48.44,48.57,47.75,48.57,3416800,12.14
"2007-06-01",48.6,49.39,48.13,49.21,2433200,12.3
"2007-06-04",48.96,50.22,48.63,50.13,2878000,12.53
"2007-06-05",50,50.36,49.68,50,1853600,12.5
"2007-06-06",49.71,50.09,49.33,49.36,1662400,12.34
"2007-06-07",49.38,49.38,47.52,47.57,3056000,11.89
"2007-06-08",47.54,48.5,47.13,47.92,1632000,11.98
"2007-06-11",47.9,47.9,46.91,47.05,2360800,11.76
"2007-06-12",46.82,47.04,45.39,46.41,4130400,11.6
"2007-06-13",46.48,47.02,46.11,46.9,1674800,11.73
"2007-06-14",46.91,47.84,46.91,47.66,1434000,11.91
"2007-06-15",47.97,48.75,47.5,48.53,2655200,12.13
"2007-06-18",48.7,48.78,47.4,47.6,1260400,11.9
"2007-06-19",47.34,48.33,46.98,48.28,1814800,12.07
"2007-06-20",48.36,48.49,46.63,46.7,2327600,11.68
"2007-06-21",46.56,46.74,46.02,46.33,1808400,11.58
"2007-06-22",46.25,46.33,45.02,45.33,2789600,11.33
"2007-06-25",45.28,45.28,44.13,44.64,3070000,11.16
"2007-06-26",44.67,44.87,43.71,44,2076800,11
"2007-06-27",43.72,45.78,43.49,45.75,4366800,11.44
"2007-06-28",45.61,45.63,44.78,45.46,2566800,11.36
"2007-06-29",45.55,45.85,44.82,45.06,2196000,11.27
"2007-07-02",45.27,46.47,45.27,46.38,1803200,11.6
"2007-07-03",46.31,46.92,46.31,46.68,997600,11.67
"2007-07-05",46.82,46.82,45.6,45.93,1569200,11.48
"2007-07-06",45.85,46.29,45.44,46.19,1030400,11.55
"2007-07-09",46.5,46.85,46.31,46.84,2033200,11.71
"2007-07-10",46.99,48.31,46.64,47.95,4019200,11.99
"2007-07-11",48.02,48.23,47.41,47.66,1657200,11.91
"2007-07-12",47.85,48.84,47.58,48.78,1702800,12.19
"2007-07-13",48.73,50.2,47.88,50.05,3143200,12.51
"2007-07-16",50.22,50.81,49.25,49.57,3035600,12.39
"2007-07-17",49.91,50.59,49.07,49.97,2617200,12.49
"2007-07-18",50.08,50.9,49.09,50.85,5686800,12.71
"2007-07-19",50.94,51.98,50.48,51.29,6656000,12.82
"2007-07-20",51.18,51.29,49.95,50.5,3280400,12.62
"2007-07-23",50.69,51.48,50.38,50.82,3426400,12.7
"2007-07-24",51.05,51.31,49.52,49.68,4693600,12.42
"2007-07-25",56.85,59.21,55.52,58.38,25020400,14.6
"2007-07-26",58.29,58.32,56.33,57.18,7456000,14.3
"2007-07-27",56.87,60.15,56.1,58.62,9384000,14.65
"2007-07-30",58.35,59.75,58.05,59.37,5233200,14.84
"2007-07-31",59.86,60.24,57.96,58.16,5157200,14.54
"2007-08-01",58,59.59,57.86,58.92,3906400,14.73
"2007-08-02",59.29,61.18,58.3,61.13,4814400,15.28
"2007-08-03",61,63.1,60.49,61.28,5994800,15.32
"2007-08-06",61.5,62.13,59.74,62.01,4448000,15.5
"2007-08-07",61.77,65.15,61.62,64.12,6093200,16.03
"2007-08-08",61.8,65.95,61.8,65.19,10078400,16.3
"2007-08-09",64.55,67.95,63.71,65.19,7773200,16.3
"2007-08-10",64.09,65.52,60.68,61.96,7015600,15.49
"2007-08-13",62.5,63,60.21,60.73,3606400,15.18
"2007-08-14",60.74,61.15,58.79,59.03,4414800,14.76
"2007-08-15",59.07,60.07,58.5,58.77,3394000,14.69
"2007-08-16",58.73,59.16,56.54,57.91,4341200,14.48
"2007-08-17",59.68,61,57.77,58.34,3719600,14.59
"2007-08-20",58.48,58.66,56.31,58.22,5319600,14.56
"2007-08-21",58.17,59.55,57.92,58.9,3391600,14.73
"2007-08-22",59.15,59.83,58.88,59.27,1690400,14.82
"2007-08-23",59.58,60.25,58.03,58.25,2195600,14.56
"2007-08-24",58.4,58.91,57.75,58.87,1094400,14.72
"2007-08-27",58.8,58.93,57.7,57.79,1088000,14.45
"2007-08-28",57.29,57.57,56,56.01,1768400,14
"2007-08-29",56.44,58.47,55.8,58.4,2433600,14.6
"2007-08-30",57.84,59,57.84,58.35,1478400,14.59
"2007-08-31",58.55,60.8,58.51,60.47,2901200,15.12
"2007-09-04",60.83,64.62,60.78,64.15,5208400,16.04
"2007-09-05",63.75,65.57,63.28,65.3,3738800,16.33
"2007-09-06",65.4,65.47,64.42,65.11,2432400,16.28
"2007-09-07",64.2,65.1,63.39,65.05,2780400,16.26
"2007-09-10",65.18,65.98,63.74,64.86,2748400,16.22
"2007-09-11",65.33,65.86,64.67,65.09,1564400,16.27
"2007-09-12",64.72,65.62,63.54,63.66,2426800,15.91
"2007-09-13",63.77,64,62.93,63.31,1543200,15.83
"2007-09-14",62.77,62.83,60.95,61.75,3792400,15.44
"2007-09-17",61.5,62.57,61.25,61.52,2154800,15.38
"2007-09-18",61.98,65.38,61.7,64.16,3763600,16.04
"2007-09-19",64.59,65.28,64.38,64.89,2060400,16.22
"2007-09-20",64.54,65.07,63.4,63.66,1070400,15.91
"2007-09-21",64.26,64.26,63.28,63.39,1842800,15.85
"2007-09-24",63.4,65.9,63,65.36,1883200,16.34
"2007-09-25",64.92,66.9,64.76,66.16,2430400,16.54
"2007-09-26",66.19,67.83,66.02,66.7,2268400,16.67
"2007-09-27",67.56,67.61,65.32,65.48,1298800,16.37
"2007-09-28",65.55,66.3,64.84,65.15,1322000,16.29
"2007-10-01",64.85,67.9,64.77,66.83,2907600,16.71
"2007-10-02",67.48,67.5,66.14,67.11,1949200,16.78
"2007-10-03",66.64,69.38,66.53,67.51,3319200,16.88
"2007-10-04",68,69.87,67.98,68.31,2232000,17.08
"2007-10-05",69.33,69.77,68.68,68.98,2377600,17.25
"2007-10-08",69.66,71.1,69.03,70.61,2811200,17.65
"2007-10-09",70.67,72.07,70.28,71,2573200,17.75
"2007-10-10",70.81,72.54,70.81,72.46,2236400,18.11
"2007-10-11",72.69,74.18,69.8,70.76,6803200,17.69
"2007-10-12",72.98,72.99,71.06,71.38,3027600,17.84
"2007-10-15",71.35,71.68,68.06,68.92,3906400,17.23
"2007-10-16",68.59,69.47,67.56,68.03,2177600,17.01
"2007-10-17",68.52,68.97,67.5,68.49,2438000,17.12
"2007-10-18",68.35,71.05,68.24,69.79,2902400,17.45
"2007-10-19",69.81,69.98,68.26,68.41,2581600,17.1
"2007-10-22",68.09,70.04,66.86,69.41,2284000,17.35
"2007-10-23",70.24,71.13,68.62,70.65,1933600,17.66
"2007-10-24",70.03,71.28,68.26,69.95,3798400,17.49
"2007-10-25",74.79,77.45,73.51,77.13,12400400,19.28
"2007-10-26",78.56,80.12,77.53,79.8,6266800,19.95
"2007-10-29",79.74,80,78.05,78.69,3093200,19.67
"2007-10-30",78.6,79.47,76.77,76.88,2840000,19.22
"2007-10-31",76.72,77.24,75.95,76.5,3444400,19.12
"2007-11-01",76.18,77.2,74.54,75.2,3570000,18.8
"2007-11-02",76,76.49,74.77,76.32,2392000,19.08
"2007-11-05",75.02,76.28,74.66,75.9,1704000,18.98
"2007-11-06",75.86,76.99,75.51,76.89,2097200,19.22
"2007-11-07",76.1,76.97,75.96,76.26,2444800,19.07
"2007-11-08",76.65,77.22,74.51,76.3,2054800,19.08
"2007-11-09",76.02,76.36,74.68,75.15,1705600,18.79
"2007-11-12",75,75.96,72.58,73.38,2624400,18.34
"2007-11-13",73.92,73.92,72.14,73.48,2512400,18.37
"2007-11-14",74.1,74.2,72.02,72.21,3004000,18.05
"2007-11-15",72.29,73.56,71.72,72.49,2348800,18.12
"2007-11-16",72.64,74,72.25,73.8,2479200,18.45
"2007-11-19",73.25,73.74,70.92,71.48,3576000,17.87
"2007-11-20",71.35,72.9,70.27,71.3,2210000,17.83
"2007-11-21",70.56,71,68.69,68.75,1744400,17.19
"2007-11-23",69.28,70.39,67.95,69.64,1054400,17.41
"2007-11-26",69.46,71.54,69.25,69.61,1953200,17.4
"2007-11-27",69.68,72.55,69.56,72.46,2664800,18.11
"2007-11-28",72.87,74.97,72.6,74.93,2528800,18.73
"2007-11-29",74.89,75.88,73.52,74,2650400,18.5
"2007-11-30",74.77,75,72.14,72.72,2075600,18.18
"2007-12-03",73.01,73.68,71.3,72.13,2322400,18.03
"2007-12-04",71.62,72.23,70.1,70.12,3201200,17.53
"2007-12-05",70.88,71.64,70.76,71.32,1658800,17.83
"2007-12-06",71.09,73.85,71.09,73.85,2014400,18.46
"2007-12-07",73.64,74.93,73.64,74.79,1964400,18.7
"2007-12-10",74.92,75.96,74.44,75.89,3270800,18.97
"2007-12-11",76.35,77.16,74.65,74.9,1995200,18.73
"2007-12-12",75.95,76.2,75.36,76.08,1994000,19.02
"2007-12-13",75.58,76.17,74.06,74.7,1460000,18.67
"2007-12-14",74.14,74.85,73.86,74.38,1227200,18.59
"2007-12-17",74.09,74.48,73.27,73.62,1657200,18.41
"2007-12-18",74.09,74.82,73.65,74.68,1483600,18.67
"2007-12-19",74.42,74.66,73.36,74,1148800,18.5
"2007-12-20",74.09,75.56,73.27,75.45,1628000,18.86
"2007-12-21",76.34,76.77,74.83,75.68,2683600,18.92
"2007-12-24",75.7,77.41,75.34,77.11,964800,19.28
"2007-12-26",77,77.86,76.4,77.67,1056000,19.42
"2007-12-27",77.21,77.53,75.95,76.39,1584000,19.1
"2007-12-28",76.97,77.11,75.96,76.52,752400,19.13
"2007-12-31",76.3,77.11,74.5,75.03,1359600,18.76
"2008-01-02",75.23,76.82,74.54,75.51,2582800,18.88
"2008-01-03",75.51,78,75.51,77.11,2545600,19.28
"2008-01-04",76.58,77.86,74.4,74.61,2842000,18.65
"2008-01-07",75.12,75.2,69.96,71.49,7292400,17.87
"2008-01-08",71.6,74,71.1,71.25,5932800,17.81
"2008-01-09",71.07,72.61,69.7,70.59,3861600,17.65
"2008-01-10",69.9,69.93,68.1,68.7,4655200,17.17
"2008-01-11",68.2,68.43,64.98,66.75,5359200,16.69
"2008-01-14",66.9,68.07,65.8,68.07,3416400,17.02
"2008-01-15",67.43,68,65.41,66.15,2613200,16.54
"2008-01-16",65.84,68,65.84,67.48,4336000,16.87
"2008-01-17",67.5,68.09,66.41,66.94,3411600,16.74
"2008-01-18",66.95,66.95,65.5,66.18,2610800,16.55
"2008-01-22",64.12,66.18,63.62,64.79,2562800,16.2
"2008-01-23",63.22,66.38,61.79,66.19,5066000,16.55
"2008-01-24",66.27,67.5,64.56,65.23,1677600,16.31
"2008-01-25",66.16,66.46,63.71,64.21,1470400,16.05
"2008-01-28",64.2,65.88,62.71,63.46,5758800,15.86
"2008-01-29",63.98,65.51,63.51,65.36,2621200,16.34
"2008-01-30",64.84,66.1,64.52,64.84,3522800,16.21
"2008-01-31",64.52,66.1,63.75,65.32,3665200,16.33
"2008-02-01",65.56,69.21,65.56,68.84,3479600,17.21
"2008-02-04",68.56,69.23,68.06,68.32,2556400,17.08
"2008-02-05",67.75,68.92,67.01,67.67,2140000,16.92
"2008-02-06",67.74,69.1,66.49,67.6,3402800,16.9
"2008-02-07",67.35,69.17,65.88,68.61,2442800,17.15
"2008-02-08",68.47,69.3,65.98,66.55,3492800,16.64
"2008-02-11",66.62,68.82,66.51,68.19,3018000,17.05
"2008-02-12",68.32,70.47,68.32,70.08,3339600,17.52
"2008-02-13",70.83,71.31,68.3,69.63,3472800,17.41
"2008-02-14",74.25,74.45,69.38,71.68,12633200,17.92
"2008-02-15",69.64,70.4,64.9,65.98,11986800,16.5
"2008-02-19",67.02,67.67,61.91,62.55,6370400,15.64
"2008-02-20",61.71,62.5,57.76,58.95,10211600,14.74
"2008-02-21",59,61.55,58,60.76,11664800,15.19
"2008-02-22",60.73,61.86,60,60.75,5160400,15.19
"2008-02-25",60.65,61.65,60.01,60.95,3382400,15.24
"2008-02-26",60.81,63.5,60.8,62.85,3550400,15.71
"2008-02-27",62.22,63.99,62.22,63.3,2664400,15.82
"2008-02-28",63.36,63.69,62.29,63.42,2496800,15.85
"2008-02-29",62.63,63.01,59.61,60.61,3958800,15.15
"2008-03-03",59.97,60.97,58.7,59.96,4287200,14.99
"2008-03-04",59.38,60.61,58.42,60.2,4091200,15.05
"2008-03-05",60.11,60.87,58,59.2,2836800,14.8
"2008-03-06",59.11,59.81,57.55,57.64,1688400,14.41
"2008-03-07",57,57.3,55.16,56.06,3428400,14.02
"2008-03-10",56.05,56.15,52.17,52.4,5774800,13.1
"2008-03-11",53.87,53.9,51.22,52,6647600,13
"2008-03-12",52.03,53.19,51.26,52.13,4561600,13.03
"2008-03-13",51.85,55.72,51.26,55.27,5443200,13.82
"2008-03-14",55.25,56.43,52.9,54.21,4454000,13.55
"2008-03-17",52.57,53.63,49.26,50.97,5404400,12.74
"2008-03-18",52.44,56.06,52.13,55.53,5724800,13.88
"2008-03-19",55.51,58.23,54.07,55.23,4914000,13.81
"2008-03-20",57.32,57.78,54.25,57.4,5889200,14.35
"2008-03-24",57.51,60.42,57.34,59.91,3305600,14.98
"2008-03-25",60.36,60.59,59.03,59.86,4160400,14.97
"2008-03-26",59.45,59.86,57.97,58.75,2220000,14.69
"2008-03-27",58.52,59.32,57.5,58.3,1887200,14.57
"2008-03-28",58.15,59.72,57.99,58.32,1229200,14.58
"2008-03-31",59.67,59.78,57.89,59.3,1816000,14.82
"2008-04-01",59.2,61.11,59.18,61.02,2487200,15.26
"2008-04-02",60.82,63.65,60.63,62.9,3868000,15.73
"2008-04-03",62.82,63.06,61.68,62.57,2274400,15.64
"2008-04-04",62.75,65.25,62,64.48,2851600,16.12
"2008-04-07",64.67,65.57,64.07,64.91,1887200,16.23
"2008-04-08",65.2,66.23,64.35,65.37,1620800,16.34
"2008-04-09",65.5,65.69,62.32,63.18,1929600,15.8
"2008-04-10",63.55,67.9,63.34,66.85,6539200,16.71
"2008-04-11",66.19,67,65.04,65.27,2031200,16.32
"2008-04-14",64.87,66.03,64.51,65.11,1672800,16.28
"2008-04-15",65.55,66.05,64.43,65.71,1302400,16.43
"2008-04-16",66.12,68.37,65.46,68.27,4536000,17.07
"2008-04-17",68,68,66.48,67.11,2665200,16.78
"2008-04-18",68,69.29,67.55,68.16,3413600,17.04
"2008-04-21",68.13,69.53,67.76,68.94,1464800,17.24
"2008-04-22",68.49,69.39,68.37,68.67,2248400,17.17
"2008-04-23",68.95,70.87,68.63,70.35,1860800,17.59
"2008-04-24",70.61,70.93,69.03,69.36,2487200,17.34
"2008-04-25",69.78,71,68.23,69.11,1974000,17.28
"2008-04-28",69.57,70.16,68.9,69.73,2046800,17.43
"2008-04-29",70.06,70.13,68.5,68.65,2612400,17.16
"2008-04-30",70.36,71.5,69.77,70.38,8393200,17.59
"2008-05-01",70.99,72.19,69.24,72.05,4826000,18.01
"2008-05-02",72.25,74.22,72,72.92,4092800,18.23
"2008-05-05",72.53,73.2,70.86,70.93,1877200,17.73
"2008-05-06",70.77,71.39,70.09,70.52,2026800,17.63
"2008-05-07",70.88,72.2,70.18,70.53,2677600,17.63
"2008-05-08",70.9,72.63,70.21,72.45,5984000,18.11
"2008-05-09",71.74,72.4,70.88,72.03,1924800,18.01
"2008-05-12",72.33,72.72,71.78,72.25,1798000,18.06
"2008-05-13",72.25,72.81,71.44,72.1,1194400,18.02
"2008-05-14",72.09,72.75,70.71,70.96,1520800,17.74
"2008-05-15",70.55,71.2,70.17,70.69,1378000,17.67
"2008-05-16",71,71.66,70.51,70.99,2561200,17.75
"2008-05-19",70.83,71.38,69,69.03,1796400,17.26
"2008-05-20",69.01,69.51,67.52,68.08,2179600,17.02
"2008-05-21",68.27,69.19,66.64,67,1913600,16.75
"2008-05-22",67.35,68.88,67.03,67.61,3365600,16.9
"2008-05-23",67.37,68.31,66.7,66.78,1730000,16.69
"2008-05-27",66.71,68.86,66.6,68.15,1534400,17.04
"2008-05-28",68.22,69.55,67.75,69.32,1799200,17.33
"2008-05-29",69.78,71.99,69.46,71.25,3358400,17.81
"2008-05-30",71.06,71.68,70.78,71.35,2514800,17.84
"2008-06-02",71,71,69.16,70.1,1667600,17.52
"2008-06-03",70.24,70.4,68.1,69.48,3024800,17.37
"2008-06-04",69.34,70.75,68.59,69.98,1335600,17.5
"2008-06-05",70.27,72.32,70,71.32,2017600,17.83
"2008-06-06",70.82,72,70.23,70.23,1506800,17.56
"2008-06-09",70.15,70.7,69.24,70.13,1369200,17.53
"2008-06-10",69.68,70.34,68.67,70.16,1547600,17.54
"2008-06-11",69.84,70.35,68.63,69.03,1943600,17.26
"2008-06-12",69.35,69.81,67.26,67.65,2033200,16.91
"2008-06-13",68.29,70.58,67.66,69.85,2241600,17.46
"2008-06-16",69.45,70.98,68.83,70.48,1302400,17.62
"2008-06-17",70.56,70.56,68.88,69.03,1272000,17.26
"2008-06-18",68.45,69.24,68.01,68.75,1373200,17.19
"2008-06-19",68.75,69.39,66.85,69.38,2890800,17.34
"2008-06-20",68.82,69.36,67.4,68.79,2458800,17.2
"2008-06-23",69.2,70.91,69.01,69.09,2068000,17.27
"2008-06-24",68.49,69.74,68.49,69.27,1557600,17.32
"2008-06-25",69.19,72.1,69.19,71.48,4669200,17.87
"2008-06-26",70.89,71.99,70.49,71.46,1566800,17.86
"2008-06-27",71.44,73.39,71.18,72.79,3998400,18.2
"2008-06-30",72.97,73.89,72.09,72.5,1804800,18.12
"2008-07-01",72.25,74.56,71.45,74.56,4915600,18.64
"2008-07-02",74.58,76,73.82,74.05,5041200,18.51
"2008-07-03",74.37,74.37,72.35,73.36,1698000,18.34
"2008-07-07",73.95,74.99,72.34,73.32,1703600,18.33
"2008-07-08",73.59,76.31,73.32,76.22,2387600,19.06
"2008-07-09",76.38,77.46,75.41,75.7,2476400,18.92
"2008-07-10",75.75,76.98,74.71,75.58,1716000,18.9
"2008-07-11",74.71,76.59,74.68,75.9,1869600,18.98
"2008-07-14",76.48,77,74.46,74.81,2014800,18.7
"2008-07-15",74.22,77.27,74.15,77.16,2380400,19.29
"2008-07-16",77.16,79.54,77.12,79.05,2966000,19.76
"2008-07-17",79.5,79.67,75.11,76.72,5026000,19.18
"2008-07-18",76.67,77.05,73.51,74.85,2074000,18.71
"2008-07-21",74.99,78.29,74.88,77.81,2315200,19.45
"2008-07-22",77.73,80.15,77.73,79.61,3577200,19.9
"2008-07-23",79.87,80,76.97,77.28,2750800,19.32
"2008-07-24",77.44,77.44,75.92,76.34,2018000,19.08
"2008-07-25",77.44,82,76.86,80.99,3946800,20.25
"2008-07-28",81.25,81.96,78.9,79.95,3182400,19.99
"2008-07-29",85.37,89.67,84.75,86.77,12698800,21.69
"2008-07-30",87.62,93,87.62,89.95,9042800,22.49
"2008-07-31",88.74,94.91,86.38,93.75,11416800,23.44
"2008-08-01",94,94,90.5,92.22,4612000,23.06
"2008-08-04",91.85,92.23,90.56,91.87,4383200,22.97
"2008-08-05",92.27,92.98,91,92.5,3844800,23.12
"2008-08-06",92.44,93.39,91.73,93.01,3085200,23.25
"2008-08-07",93.98,95.27,89.71,90.32,3999600,22.58
"2008-08-08",90,92.56,89.82,92.43,3097200,23.11
"2008-08-11",92.55,95.19,91.78,95.01,3139200,23.75
"2008-08-12",95,95.25,92.41,93,2735600,23.25
"2008-08-13",93.02,95.83,92.3,94.71,3955600,23.68
"2008-08-14",95.63,95.91,92.3,94.4,4303200,23.6
"2008-08-15",95.35,95.79,92.48,92.77,4000800,23.19
"2008-08-18",92.5,93.47,90.5,91.16,2794400,22.79
"2008-08-19",90.36,91.69,89.04,90.5,5091200,22.62
"2008-08-20",90.67,91.28,88.58,89.74,4462000,22.43
"2008-08-21",89.26,90.3,86.17,88,4870000,22
"2008-08-22",87.65,89.08,87.57,87.79,4637600,21.95
"2008-08-25",43.92,44.88,42.17,43.64,1985600,21.82
"2008-08-26",43.94,44.17,42.71,43.21,1878800,21.6
"2008-08-27",43.46,44.07,43.26,44.01,1774800,22
"2008-08-28",43.91,45.33,43.66,44.99,2000800,22.5
"2008-08-29",44.81,45.21,44.58,45.08,1095000,22.54
"2008-09-02",45.64,46,44.88,45.18,2222600,22.59
"2008-09-03",45.07,46.77,45.03,46,1794000,23
"2008-09-04",45.82,46.3,43.68,43.76,1972200,21.88
"2008-09-05",43.15,43.24,41.46,41.8,4190200,20.9
"2008-09-08",42.81,43.53,41.77,42.76,2266000,21.38
"2008-09-09",42.76,43,40.64,40.69,2596800,20.34
"2008-09-10",40.96,41.32,40.54,40.78,1797600,20.39
"2008-09-11",40.4,42.13,40,42.01,1950600,21
"2008-09-12",42.01,42.14,41.11,41.53,1560400,20.76
"2008-09-15",40.91,41.48,39.5,39.74,2037400,19.87
"2008-09-16",39.35,41.9,38.44,41.5,3274400,20.75
"2008-09-17",40.57,41.92,37.19,37.25,5084400,18.62
"2008-09-18",38,40.96,35.92,40.3,6434800,20.15
"2008-09-19",43.59,45.21,41.12,41.12,6309600,20.56
"2008-09-22",41,43.31,40.11,40.42,3296400,20.21
"2008-09-23",40.6,41.31,39.51,40.71,1781000,20.35
"2008-09-24",42.2,42.94,40.99,41.85,2234200,20.92
"2008-09-25",42.85,43.47,42.05,42.92,1656600,21.46
"2008-09-26",42.44,44.17,41.25,42.32,3016400,21.16
"2008-09-29",42,42.18,38,39.32,2645600,19.66
