"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"2007-07-19",53.91,54.66,53.68,54.53,981900,47.65
"2007-07-20",54.73,54.77,53.65,54.02,1565900,47.21
"2007-07-23",54.31,54.65,53.13,53.86,1193600,47.07
"2007-07-24",53.98,54.51,52.12,52.51,1386300,45.89
"2007-07-25",52.52,52.73,47.55,50.03,3764800,43.72
"2007-07-26",49.49,50.42,48.51,49.7,2872200,43.43
"2007-07-27",50.48,50.63,49.25,49.29,1481200,43.07
"2007-07-30",49.35,50.54,48.93,50.2,1536400,43.87
"2007-07-31",50.03,50.57,48.61,48.65,1742400,42.51
"2007-08-01",48.51,49.46,48.13,49.16,1661500,42.96
"2007-08-02",49.28,49.55,48.32,49.54,1374300,43.29
"2007-08-03",49.33,49.57,47.02,47.04,1729300,41.11
"2007-08-06",47.42,49.19,46.86,49.14,1814900,42.94
"2007-08-07",48.74,50.09,48.15,49.5,2165300,43.26
"2007-08-08",49.33,51.75,49.17,51.42,1868700,44.93
"2007-08-09",50.59,54.96,50.17,51.6,2144900,45.09
"2007-08-10",51.61,52.82,49.01,49.72,1904800,43.45
"2007-08-13",50.06,50.06,48.15,49.13,1238900,42.93
"2007-08-14",49.33,49.36,47.37,47.37,1096600,41.39
"2007-08-15",47.54,48.5,46.52,46.65,1011800,40.77
"2007-08-16",46.97,47.39,45.54,47.09,1470600,41.15
"2007-08-17",48.27,49.16,46.58,48.27,2182500,42.18
"2007-08-20",48.09,48.77,47.63,48.21,1092900,42.13
"2007-08-21",47.95,48.5,47.2,47.56,584100,41.56
"2007-08-22",47.73,49.3,47.56,49.18,818500,42.98
"2007-08-23",49.39,49.63,48.25,48.8,632000,42.64
"2007-08-24",48.77,49.61,48.6,49.59,482600,43.33
"2007-08-27",49.6,49.69,48.78,48.8,563600,42.64
"2007-08-28",48.66,49.19,47.57,47.59,995300,41.59
"2007-08-29",47.89,48.78,47.44,48.77,685800,42.62
"2007-08-30",48.6,49.03,47.89,48.36,565900,42.26
"2007-08-31",48.8,49.33,47.8,49.04,715600,42.85
"2007-09-04",49.12,50.67,48.41,50.1,910300,43.78
"2007-09-05",49.82,50.16,48.95,49.35,857300,43.28
"2007-09-06",49.7,50.23,49.2,50.13,957000,43.96
"2007-09-07",49.55,49.91,47.89,48.15,1014000,42.23
"2007-09-10",48.48,49.14,47.83,48.7,1371100,42.71
"2007-09-11",49.05,50.54,48.62,50.53,1256000,44.31
"2007-09-12",50.51,50.77,49.57,50.2,1156800,44.03
"2007-09-13",50.71,50.83,49.7,50.61,985800,44.38
"2007-09-14",50.14,51.89,50.11,51.75,948400,45.38
"2007-09-17",51.35,52,50.71,50.76,721000,44.52
"2007-09-18",51.01,53.29,50.57,53.19,1037700,46.65
"2007-09-19",53.44,54.12,52.37,54,1336600,47.36
"2007-09-20",53.58,53.8,52.55,53.09,1459600,46.56
"2007-09-21",53.49,54.18,52.91,53.95,2293000,47.31
"2007-09-24",53.81,54.88,53.12,53.97,1098500,47.33
"2007-09-25",53.64,55.3,53.63,55.3,1208700,48.5
"2007-09-26",55.3,55.5,54.48,55.14,1118300,48.36
"2007-09-27",55.53,55.53,54.62,55.32,671600,48.52
"2007-09-28",55.44,55.57,54.03,54.29,1627700,47.61
"2007-10-01",54.4,55.04,54.34,55.03,1133300,48.26
"2007-10-02",54.86,55.5,54.54,55.33,917900,48.52
"2007-10-03",55.17,55.33,53.33,53.66,1887800,47.06
"2007-10-04",53.69,53.97,52.66,53.08,1024600,46.55
"2007-10-05",53.36,55.13,53.27,54.25,1066200,47.58
"2007-10-08",54.06,54.36,52.93,53.09,889800,46.56
"2007-10-09",53.49,53.71,52.37,53.51,1263400,46.93
"2007-10-10",53.39,53.39,51.77,52.13,1203100,45.72
"2007-10-11",52.12,52.81,51.72,51.96,1031000,45.57
"2007-10-12",52.22,53.89,51.9,53.72,956000,47.11
"2007-10-15",53.56,53.99,52.96,53.44,989600,46.87
"2007-10-16",53.29,54,52.73,52.9,1002500,46.39
"2007-10-17",53.49,54.69,52.71,53.24,1165600,46.69
"2007-10-18",53.15,54.24,52.73,54.09,787900,47.44
"2007-10-19",54.01,54.48,51.72,51.76,1706700,45.39
"2007-10-22",51.75,53.67,51.36,53.08,1273200,46.55
"2007-10-23",53.01,53.48,51.67,51.84,1604200,45.46
"2007-10-24",51.7,52.1,49.07,51.16,1994800,44.87
"2007-10-25",51.17,51.81,50.13,50.99,1513000,44.72
"2007-10-26",51.62,51.72,49.34,50.54,1047200,44.32
"2007-10-29",50.53,50.94,49.16,49.4,1641900,43.32
"2007-10-30",49.18,50.11,48.98,49.08,1733200,43.04
"2007-10-31",49.2,49.92,48.44,49.92,1638200,43.78
"2007-11-01",49.13,49.91,47.34,47.48,1762600,41.64
"2007-11-02",47.96,48.29,47.07,47.44,1995400,41.6
"2007-11-05",47.33,47.72,46.35,47.33,1589700,41.51
"2007-11-06",47.15,47.62,46.68,47.36,1553300,41.53
"2007-11-07",47.06,47.22,46.4,46.4,3104300,40.69
"2007-11-08",46.4,47.62,46.31,47.49,3461800,41.65
"2007-11-09",46.07,47.68,46,46,2970100,40.34
"2007-11-12",45.92,46.39,45.01,45.17,2420900,39.61
"2007-11-13",45.5,46.59,45.17,46.4,1845800,40.69
"2007-11-14",46.15,46.8,46,46.52,1912400,40.8
"2007-11-15",46.45,47.25,46.45,46.77,1441700,41.02
"2007-11-16",46.7,47.2,46.08,46.62,2925800,40.89
"2007-11-19",46.33,46.42,45.64,45.85,2207100,40.21
"2007-11-20",45.85,46.51,45.02,45.91,1646600,40.26
"2007-11-21",45.53,47.05,45.24,46.4,2119400,40.69
"2007-11-23",46.54,46.94,46.02,46.89,582200,41.12
"2007-11-26",46.56,47.41,46.39,46.44,1905600,40.73
"2007-11-27",46.79,48.26,46.46,48.19,1818900,42.26
"2007-11-28",48.44,50.62,48.23,50.58,1591900,44.36
"2007-11-29",50.41,50.67,49.5,50.27,1043200,44.09
"2007-11-30",50.06,51.63,50.06,51.55,2831400,45.21
"2007-12-03",51.63,51.63,50.67,51.22,1743400,44.92
"2007-12-04",50.7,53.33,50.7,53.03,2458600,46.51
"2007-12-05",52.79,53.48,52.35,53.46,1608200,47.08
"2007-12-06",53.4,53.4,52.2,53.04,1544700,46.71
"2007-12-07",53.31,54.07,52.86,53.88,1394800,47.45
"2007-12-10",53.48,54.44,53.18,54.25,1073800,47.78
"2007-12-11",54.25,54.44,52.28,52.28,1349200,46.04
"2007-12-12",52.57,53.5,51.92,52.69,1662100,46.4
"2007-12-13",52.81,53,52.14,52.5,1259300,46.23
"2007-12-14",52.01,52.4,51.48,51.52,1319700,45.37
"2007-12-17",52.03,52.65,51.21,51.5,1402600,45.35
"2007-12-18",52.05,52.29,51.29,51.94,1247400,45.74
"2007-12-19",51.97,52.21,51.44,51.68,888700,45.51
"2007-12-20",52.24,52.97,51.31,52.95,1106800,46.63
