"","DNB.Open","DNB.High","DNB.Low","DNB.Close","DNB.Volume","DNB.Adjusted"
"2007-01-03",83.1,83.73,81.68,82.28,361200,72.76
"2007-01-04",81.68,82.68,81.5,82.56,266500,73.01
"2007-01-05",82.43,82.89,81.91,82.69,172200,73.12
"2007-01-08",82.69,82.93,82.15,82.79,145800,73.21
"2007-01-09",82.9,84.1,82.55,84,450200,74.28
"2007-01-10",83.78,84.17,83,83.27,323300,73.63
"2007-01-11",83.49,84.73,83.32,84.62,340900,74.83
"2007-01-12",84.46,85.07,84.23,85,203300,75.16
"2007-01-16",85.1,85.37,84.16,84.4,219800,74.63
"2007-01-17",84.1,84.79,83.84,84.4,287500,74.63
"2007-01-18",84.4,85.09,84.08,84.37,323100,74.61
"2007-01-19",84.15,84.8,83.61,84.8,368500,74.99
"2007-01-22",84.96,85.3,83.96,84.43,171100,74.66
"2007-01-23",84.43,85.2,84.43,84.75,180500,74.94
"2007-01-24",84.5,85.13,84.21,84.57,213000,74.78
"2007-01-25",84.65,84.65,83.73,83.97,189900,74.25
"2007-01-26",84.15,84.15,82.98,83.55,241700,73.88
"2007-01-29",83.55,83.67,83.19,83.5,218500,73.84
"2007-01-30",83.65,84.02,83.26,83.8,172700,74.1
"2007-01-31",83.8,85.62,83.56,85,241000,75.16
"2007-02-01",84.25,86.03,84.25,86.03,293100,76.07
"2007-02-02",86,86,82.75,84.53,592500,74.75
"2007-02-05",84.54,85.38,84.54,85.3,309100,75.43
"2007-02-06",85.3,85.73,84.94,85.7,192200,75.78
"2007-02-07",85.7,87.97,85.6,87.66,555700,77.52
"2007-02-08",87.7,88.51,87.57,88.14,225900,77.94
"2007-02-09",88.25,88.56,87.07,87.6,276600,77.46
"2007-02-12",87.8,88.3,87.75,88.26,205000,78.05
"2007-02-13",88.45,88.84,88.25,88.7,177600,78.43
"2007-02-14",88.7,89.68,88.7,89.4,213100,79.05
"2007-02-15",89.3,89.71,89.1,89.62,279100,79.25
"2007-02-16",89.68,89.84,89.4,89.77,309200,79.38
"2007-02-20",89.8,90.89,89.4,90.81,189600,80.3
"2007-02-21",90.7,90.9,89.86,90.32,176900,79.87
"2007-02-22",90.55,91.02,90.01,90.98,239300,80.45
"2007-02-23",91,91,90.18,90.82,163700,80.31
"2007-02-26",90.95,90.95,90.03,90.52,260000,80.04
"2007-02-27",89.52,89.89,88.27,88.4,331600,78.17
"2007-02-28",88.3,88.55,87.51,88.28,362500,78.06
"2007-03-01",87.7,89.91,86.75,89.36,472400,79.02
"2007-03-02",89.15,89.35,88.25,88.45,244100,78.21
"2007-03-05",87.75,88.52,86.25,86.29,455400,76.3
"2007-03-06",86.05,87.98,86.05,87.46,321700,77.56
"2007-03-07",87.26,87.7,86.93,87.26,265800,77.39
"2007-03-08",87.6,88.51,87.59,88.18,271900,78.2
"2007-03-09",88.43,88.83,88.39,88.55,163600,78.53
"2007-03-12",88.54,89.46,88.1,89.46,328100,79.34
"2007-03-13",89.25,89.26,87.69,87.78,284400,77.85
"2007-03-14",87.78,88.38,87.21,88.38,170500,78.38
"2007-03-15",88.28,89.34,88.28,89.16,204600,79.07
"2007-03-16",89.17,89.35,88.58,88.87,317800,78.81
"2007-03-19",89.12,90.62,89.12,90.59,351100,80.34
"2007-03-20",90.5,91.07,90.25,90.85,361600,80.57
"2007-03-21",90.85,91.4,90.07,91.2,413300,80.88
"2007-03-22",91.18,91.54,90.73,91.51,240300,81.15
"2007-03-23",91.68,91.69,90.74,91,191200,80.7
"2007-03-26",90.85,90.93,90.25,90.7,261500,80.44
"2007-03-27",90.35,91.21,89.72,90.35,245100,80.13
"2007-03-28",90,90.16,89.26,89.69,296400,79.54
"2007-03-29",90.05,90.58,89.7,90.43,261100,80.2
"2007-03-30",90.68,91.72,90.43,91.2,535800,80.88
"2007-04-02",91.3,91.8,91.07,91.56,288700,81.2
