"","AZO.Open","AZO.High","AZO.Low","AZO.Close","AZO.Volume","AZO.Adjusted"
"2007-01-03",115.94,120.05,115.94,118.61,1421300,118.61
"2007-01-04",118.61,120.25,118.35,119.6,726900,119.6
"2007-01-05",119.3,119.9,118.39,118.83,544300,118.83
"2007-01-08",118.75,118.99,117.87,118.85,298300,118.85
"2007-01-09",119.1,122.21,119,121.61,780900,121.61
"2007-01-10",121.61,121.61,120.17,120.82,475900,120.82
"2007-01-11",120.94,124.94,120.92,124.86,832700,124.86
"2007-01-12",124.87,125.32,122.84,124.61,520900,124.61
"2007-01-16",124.61,125.28,123.39,123.74,443600,123.74
"2007-01-17",123.35,124.34,123.33,123.56,542200,123.56
"2007-01-18",123.73,124.23,123.56,123.87,601000,123.87
"2007-01-19",124.94,125.41,123.2,125.09,551300,125.09
"2007-01-22",124.85,125.14,124.17,124.71,519700,124.71
"2007-01-23",124.7,126.14,124.6,124.95,487100,124.95
"2007-01-24",125.1,125.77,124.9,125.52,362900,125.52
"2007-01-25",125.4,125.4,124.43,124.44,603800,124.44
"2007-01-26",124.64,125.13,123.94,124.75,431700,124.75
"2007-01-29",124.85,125.4,124.16,124.52,317700,124.52
"2007-01-30",124.58,124.78,123.03,123.39,435500,123.39
"2007-01-31",123.37,126,123.27,125.63,578600,125.63
"2007-02-01",125.88,126.97,125.34,126.74,438600,126.74
"2007-02-02",126.99,127.43,126.32,126.85,269900,126.85
"2007-02-05",126.65,127.31,125.9,126.41,345000,126.41
"2007-02-06",126.42,127.59,126.15,127.45,234600,127.45
"2007-02-07",127.5,128,126.94,127.35,349900,127.35
"2007-02-08",127,127,125.9,126.62,367000,126.62
"2007-02-09",126.78,127.14,125.28,125.56,242200,125.56
"2007-02-12",125.6,126.84,125.6,126.7,289900,126.7
"2007-02-13",126.55,127.7,126.55,127.56,326500,127.56
"2007-02-14",127.81,127.91,127.24,127.79,315900,127.79
"2007-02-15",127.61,127.95,127,127.49,369200,127.49
"2007-02-16",127.23,127.6,126.55,126.82,323800,126.82
"2007-02-20",127.05,128.07,126.83,127.96,318400,127.96
"2007-02-21",127.93,128.58,127.08,128.27,425800,128.27
"2007-02-22",129.13,129.91,128.9,129.83,627200,129.83
"2007-02-23",130.32,131.12,129.77,131,704900,131
"2007-02-26",131.01,132.22,130.87,131.41,1612700,131.41
"2007-02-27",129,129,123.17,124,1888000,124
"2007-02-28",124.1,126.48,123.85,125.46,1360900,125.46
"2007-03-01",124.6,125.39,123.05,124.8,973300,124.8
"2007-03-02",124.8,124.94,122.37,122.53,743700,122.53
"2007-03-05",122.03,123,121.52,121.57,691100,121.57
"2007-03-06",122.8,123.9,121.76,123.7,711800,123.7
"2007-03-07",123.7,125.95,123.4,125.67,787900,125.67
"2007-03-08",126.15,126.94,125.85,126.31,512200,126.31
"2007-03-09",127.5,127.9,126.57,127.28,489500,127.28
"2007-03-12",127,127.69,126.06,127.34,297800,127.34
"2007-03-13",126.8,127.21,125.5,125.58,616400,125.58
"2007-03-14",125.58,125.76,122.17,124.32,739900,124.32
"2007-03-15",124.26,125.33,124.25,125.06,566500,125.06
"2007-03-16",125.06,125.14,124,124.6,507600,124.6
"2007-03-19",125.13,126,124.82,125.01,612400,125.01
"2007-03-20",125.01,126.55,124.93,126.47,360600,126.47
"2007-03-21",126.72,127.5,126.56,127.41,687300,127.41
"2007-03-22",127.5,128.6,127.37,128.1,363000,128.1
"2007-03-23",128.2,129.49,127.69,129.06,365200,129.06
"2007-03-26",129.06,129.18,127.9,129.02,305000,129.02
"2007-03-27",128.6,129.15,128.2,128.68,377800,128.68
"2007-03-28",128.44,128.44,127.01,127.53,567900,127.53
"2007-03-29",127.55,128.32,126.92,127.68,704200,127.68
"2007-03-30",127.7,128.47,126.85,128.14,524100,128.14
"2007-04-02",128.45,129.3,128.03,128.98,821800,128.98
"2007-04-03",129.45,130.6,129.25,129.34,825700,129.34
"2007-04-04",128.9,129.87,128.5,129.38,993600,129.38
"2007-04-05",129.37,130.1,129.01,129.63,227500,129.63
"2007-04-09",129.69,130.38,129.5,130.18,322800,130.18
"2007-04-10",130.19,131.61,130.19,130.42,543800,130.42
"2007-04-11",130.42,131.69,129.99,130.42,593900,130.42
"2007-04-12",129.65,131.19,128.53,130.82,533300,130.82
"2007-04-13",130.82,130.83,129.55,130.61,378200,130.61
"2007-04-16",131,132.81,131,132.54,514400,132.54
"2007-04-17",132.7,132.92,131.05,131.93,396100,131.93
"2007-04-18",131.68,132.27,130.59,131.65,445400,131.65
"2007-04-19",131.3,132.4,130.93,132.01,349100,132.01
"2007-04-20",132.95,133.81,132.36,133.73,393500,133.73
"2007-04-23",133.74,134.55,133.6,134.11,284300,134.11
"2007-04-24",134.24,134.24,131.92,133.57,526700,133.57
"2007-04-25",136.75,137.66,135.33,135.49,736700,135.49
"2007-04-26",134.12,135.72,133.84,133.88,430200,133.88
"2007-04-27",133.86,133.86,132.96,133.19,372200,133.19
"2007-04-30",133.19,134.58,133.04,133.04,586400,133.04
"2007-05-01",133.65,133.8,131.52,133.5,537100,133.5
"2007-05-02",133.5,134.35,132.61,132.71,629000,132.71
"2007-05-03",132.72,133.53,131.5,132.98,495100,132.98
"2007-05-04",132.98,133.21,131.94,132.3,408300,132.3
"2007-05-07",132.42,132.84,131.95,132.52,250500,132.52
"2007-05-08",132.73,132.94,131.8,132.46,568400,132.46
"2007-05-09",132.46,135.4,132.46,135.1,623800,135.1
"2007-05-10",135.1,135.74,133.67,133.67,688700,133.67
"2007-05-11",133.92,135.31,133.85,134.8,421200,134.8
"2007-05-14",134.9,135.34,133.5,133.69,462700,133.69
"2007-05-15",132,132.63,130.24,130.26,1123800,130.26
"2007-05-16",130.46,131.96,130.37,131.67,602800,131.67
"2007-05-17",131.67,133.31,131.24,132.85,538600,132.85
"2007-05-18",133.4,134.51,133.17,134.51,572800,134.51
"2007-05-21",134.75,135.76,133.79,133.99,988000,133.99
"2007-05-22",133.99,134.12,131.1,132.11,1264000,132.11
"2007-05-23",131.12,131.75,126.33,126.33,2402000,126.33
"2007-05-24",127.14,128.25,125.81,126.01,1447800,126.01
"2007-05-25",126.01,127.18,126.01,127.03,837400,127.03
"2007-05-29",127.1,127.76,126.73,127.6,901700,127.6
"2007-05-30",127.6,128.57,126.88,128.57,1082700,128.57
"2007-05-31",128.95,129.37,127.56,128.63,1203000,128.63
"2007-06-01",128.7,130.09,128.3,130.09,883700,130.09
"2007-06-04",130.09,131.99,129.89,131.79,1145100,131.79
"2007-06-05",131.79,132.4,130.52,132.17,1392700,132.17
"2007-06-06",132.17,132.17,131,131.7,906200,131.7
"2007-06-07",133,133.65,131.34,131.44,1339400,131.44
"2007-06-08",131.16,131.91,130.99,131.68,933000,131.68
"2007-06-11",132.17,134.75,131.25,134.42,1097500,134.42
"2007-06-12",134.42,136.3,133.98,134.21,1166600,134.21
"2007-06-13",134.76,137.74,134.58,137.74,989900,137.74
"2007-06-14",137.25,137.64,136.05,136.61,847900,136.61
"2007-06-15",137.25,138.66,136.84,137.39,781300,137.39
"2007-06-18",138.55,140.2,137.85,139.31,973000,139.31
"2007-06-19",139.32,139.7,137.75,139.2,786000,139.2
"2007-06-20",139,139.15,137.72,137.72,572500,137.72
"2007-06-21",137.72,137.86,136.65,137,1036100,137
"2007-06-22",137.09,138.35,137.05,137.09,828200,137.09
"2007-06-25",137.13,138.3,136.58,137.04,610000,137.04
"2007-06-26",137.12,137.51,136,136,673600,136
"2007-06-27",135.9,137.2,135.51,137.19,606700,137.19
"2007-06-28",136.97,137.91,136.53,136.92,459700,136.92
"2007-06-29",136.98,137.75,135.87,136.62,463500,136.62
