"","AZO.Open","AZO.High","AZO.Low","AZO.Close","AZO.Volume","AZO.Adjusted"
"2007-07-02",137.4,138.03,137.02,137.78,313900,137.78
"2007-07-03",137.95,138.8,137.95,138.47,205200,138.47
"2007-07-05",138.48,140.1,138.09,140.1,365600,140.1
"2007-07-06",140.1,140.29,139.02,139.92,528100,139.92
"2007-07-09",139.75,139.89,138.05,138.47,337000,138.47
"2007-07-10",138,138,134.96,134.96,666000,134.96
"2007-07-11",134.96,136.17,134.55,135.5,606700,135.5
"2007-07-12",133,135.5,131.86,134.65,970600,134.65
"2007-07-13",134.15,135.96,134.04,135.88,330100,135.88
"2007-07-16",135.4,136.14,134.52,135.15,326200,135.15
"2007-07-17",134.95,135.63,134.31,135.6,440800,135.6
"2007-07-18",134.45,135.22,132.99,134.43,675600,134.43
"2007-07-19",134.95,135.84,134.5,135.66,427700,135.66
"2007-07-20",135.8,135.8,133.46,133.72,718100,133.72
"2007-07-23",134.6,134.87,133.15,133.61,405400,133.61
"2007-07-24",132.95,133.25,131.22,131.31,702300,131.31
"2007-07-25",131.36,131.42,128.2,129.05,953700,129.05
"2007-07-26",128.5,128.95,125.3,127.23,845100,127.23
"2007-07-27",128.1,129.41,127.35,127.45,1098100,127.45
"2007-07-30",127.3,129.86,125.56,129.39,1087300,129.39
"2007-07-31",129.92,130.12,126.81,126.81,788100,126.81
"2007-08-01",127.05,127.79,124.29,126.31,887600,126.31
"2007-08-02",126.2,128.23,126.2,127.88,722400,127.88
"2007-08-03",127.3,127.8,121.86,122.04,1017100,122.04
"2007-08-06",122.55,124.37,121,124.37,781200,124.37
"2007-08-07",123.7,124.81,121.53,123.74,1061900,123.74
"2007-08-08",124.11,125.96,121.15,122.28,1128300,122.28
"2007-08-09",119.86,120.55,116.21,116.69,1791900,116.69
"2007-08-10",115.52,117.35,111.78,115.88,1288500,115.88
"2007-08-13",116.65,120.71,116.46,118.81,817700,118.81
"2007-08-14",118.36,119.25,115.63,115.68,614300,115.68
"2007-08-15",115.94,117.1,114.11,114.17,731400,114.17
"2007-08-16",114,114.66,111.46,113.16,1464400,113.16
"2007-08-17",116.03,118.72,115.35,118.17,1024300,118.17
"2007-08-20",118.35,120.37,117.5,118.75,709200,118.75
"2007-08-21",118.8,120.5,117.85,119.8,428900,119.8
"2007-08-22",121.2,123.14,120.43,122.76,607800,122.76
"2007-08-23",123.4,123.52,120.2,120.7,464700,120.7
"2007-08-24",120.5,123.26,120.27,123.26,365800,123.26
"2007-08-27",123.23,124.04,120.95,121.1,433100,121.1
"2007-08-28",120.5,120.6,115.59,115.6,789800,115.6
"2007-08-29",117.8,121.35,116.86,121.35,1068900,121.35
"2007-08-30",119.7,121.18,119.38,120.23,412600,120.23
"2007-08-31",121.75,122.42,119.77,121.29,563200,121.29
"2007-09-04",121.19,121.21,118.69,118.97,833500,118.97
"2007-09-05",117.85,117.97,114.21,114.57,1391100,114.57
"2007-09-06",115.05,115.5,112.97,114.69,841800,114.69
"2007-09-07",113.3,113.52,111.37,111.49,1013100,111.49
"2007-09-10",112,112.39,109.03,110.48,1133300,110.48
"2007-09-11",110.43,111.35,110.07,110.85,852600,110.85
"2007-09-12",110.5,110.93,108.07,108.36,1141900,108.36
"2007-09-13",108.45,110.61,108.36,109.12,1004600,109.12
"2007-09-14",108.52,111.05,107.6,109.9,772900,109.9
"2007-09-17",109.25,109.88,107.8,108.62,781600,108.62
"2007-09-18",107.1,113.67,107.1,113.12,1790200,113.12
"2007-09-19",115.65,117.09,112.98,114.54,1037700,114.54
"2007-09-20",114.85,115.72,112.79,114.03,787300,114.03
"2007-09-21",113.97,114.22,112.44,113.91,908700,113.91
"2007-09-24",113.51,115.79,113.51,115.38,693800,115.38
"2007-09-25",114.8,114.84,112.01,113.75,747900,113.75
"2007-09-26",114.06,115.1,113.14,114.47,673500,114.47
"2007-09-27",114.79,116,114.65,115.44,710800,115.44
"2007-09-28",115.8,116.19,115.03,116.14,766200,116.14
"2007-10-01",115.9,117.21,115.69,116.52,1023600,116.52
"2007-10-02",116.9,119.89,116.63,119.31,1239700,119.31
"2007-10-03",118.65,122.29,118.65,121.85,1183600,121.85
"2007-10-04",122.02,122.23,119.77,120.5,662600,120.5
"2007-10-05",121.85,125.54,121.67,124.59,807300,124.59
"2007-10-08",124.8,125.17,122.66,123.37,782100,123.37
"2007-10-09",123.7,123.9,121.82,122.97,735600,122.97
"2007-10-10",122.77,123.5,121.66,123.31,714600,123.31
"2007-10-11",123.95,124.68,122.38,123.34,690900,123.34
"2007-10-12",123.83,125,122.82,123.7,486300,123.7
"2007-10-15",123.88,124.68,121.69,122.14,658000,122.14
"2007-10-16",122.02,122.98,120.3,120.99,709600,120.99
"2007-10-17",121.65,121.93,119.69,121,1095200,121
"2007-10-18",120.7,121.95,119.41,121.29,933300,121.29
"2007-10-19",121.29,121.29,118.54,118.67,1000800,118.67
"2007-10-22",117,120.59,117,120.16,680100,120.16
"2007-10-23",120.6,120.97,118.67,119.66,653300,119.66
"2007-10-24",119,122.49,118.8,122.01,1059700,122.01
"2007-10-25",122.03,124.77,121,122.5,912900,122.5
"2007-10-26",124.1,124.23,121.61,123.08,583800,123.08
"2007-10-29",123.74,125,123.24,123.6,454000,123.6
"2007-10-30",123.27,124.25,123.02,123.64,367800,123.64
"2007-10-31",124.2,125.75,122.73,124.41,661100,124.41
"2007-11-01",123,123.65,121.37,121.66,745700,121.66
"2007-11-02",121.82,122,119.96,121.15,570000,121.15
"2007-11-05",120.89,120.89,118.02,118.88,694200,118.88
"2007-11-06",118.85,121.37,118.49,121.18,740300,121.18
"2007-11-07",119.9,121.15,118.92,118.92,528200,118.92
"2007-11-08",118.16,118.99,115.04,117.67,796200,117.67
"2007-11-09",116.3,116.3,113.63,113.68,908500,113.68
"2007-11-12",113.25,117.04,113.25,114.61,526800,114.61
"2007-11-13",115.2,118.1,114.71,117.75,506400,117.75
"2007-11-14",118.06,118.39,114.55,114.75,671500,114.75
"2007-11-15",114.52,115.87,113.5,113.97,827200,113.97
"2007-11-16",114,114.92,110.79,111.64,1108600,111.64
"2007-11-19",110.76,111.79,108.34,108.43,985500,108.43
"2007-11-20",108.8,109.28,104.69,106,1554700,106
"2007-11-21",104.92,106.28,104.53,105.41,780000,105.41
"2007-11-23",106.42,107.55,105.75,107.24,257200,107.24
"2007-11-26",107.03,107.03,103.43,103.43,635200,103.43
"2007-11-27",103.4,106.09,103.4,105.03,801300,105.03
"2007-11-28",105.63,109.29,105.24,108.77,759200,108.77
"2007-11-29",108.2,110.7,107.63,109.38,755600,109.38
"2007-11-30",111.2,113.16,110.92,111.63,2163000,111.63
"2007-12-03",111.25,111.51,107.52,107.87,910900,107.87
"2007-12-04",116.62,128.8,116.62,128.8,4186500,128.8
"2007-12-05",129.73,130.26,124.5,126.22,1742700,126.22
"2007-12-06",125.67,128.43,125.67,128.19,826500,128.19
"2007-12-07",129.59,130.97,128.6,129.87,745800,129.87
"2007-12-10",129.97,132.44,129.3,132.17,761100,132.17
"2007-12-11",130.52,132.38,126.92,127.5,1532800,127.5
"2007-12-12",130.62,130.62,123.55,124.19,1183500,124.19
"2007-12-13",123.33,124.59,120.38,120.58,1370900,120.58
"2007-12-14",120.74,122.67,119.75,120.07,996500,120.07
"2007-12-17",119.75,121.63,119.75,119.89,802900,119.89
"2007-12-18",120.52,122.25,119.02,120.3,639300,120.3
"2007-12-19",120.56,123.12,119.5,123,975200,123
"2007-12-20",123.07,124.28,121.15,122.9,568100,122.9
"2007-12-21",124.25,124.45,121.6,122.39,654900,122.39
"2007-12-24",122.39,124.14,121.83,124.02,144700,124.02
"2007-12-26",123.5,123.53,120.58,121.7,336800,121.7
"2007-12-27",121.26,121.99,120.12,120.28,362000,120.28
"2007-12-28",121.45,121.5,118.36,118.85,441600,118.85
"2007-12-31",117.93,120.36,117.93,119.91,581200,119.91
"2008-01-02",120.1,120.1,115.64,116.21,932900,116.21
"2008-01-03",116.63,116.93,113.3,113.72,775900,113.72
"2008-01-04",112.87,112.9,110.24,110.58,978700,110.58
"2008-01-07",111.45,113.6,109.87,112.65,950800,112.65
"2008-01-08",113.6,113.93,108.15,108.38,932500,108.38
"2008-01-09",108.34,108.9,104.89,107.94,1292200,107.94
"2008-01-10",107.1,110.46,105.26,109.71,1240700,109.71
"2008-01-11",108.49,108.8,105.95,106.09,1020100,106.09
"2008-01-14",106.89,108.11,106.3,107.03,644600,107.03
"2008-01-15",106.03,106.49,103.35,104.07,941700,104.07
"2008-01-16",103.3,108.39,103.3,107.14,919300,107.14
"2008-01-17",107,107.07,103.6,103.88,914000,103.88
"2008-01-18",104.39,107.85,104.39,106.06,1217500,106.06
"2008-01-22",104.18,111.51,103.07,110.49,1369500,110.49
"2008-01-23",108.5,114.8,107.65,114.58,1340600,114.58
"2008-01-24",117.07,117.07,112.1,114.34,834000,114.34
"2008-01-25",115,116,111.02,112.03,701200,112.03
"2008-01-28",111.84,118.75,111.04,118.68,1182300,118.68
"2008-01-29",119.19,119.86,115.82,118.43,681500,118.43
"2008-01-30",117.65,119.58,115.18,116.09,820000,116.09
"2008-01-31",115.06,122.74,114.86,120.65,949500,120.65
"2008-02-01",120.38,121.85,118.7,121.59,921700,121.59
"2008-02-04",121.2,121.4,116.83,117.6,752100,117.6
"2008-02-05",117.64,118.31,114.58,114.8,736300,114.8
"2008-02-06",115.44,118.36,114,114,715500,114
"2008-02-07",112.72,118,111.31,116.6,924200,116.6
"2008-02-08",116.19,118.16,114.41,115.62,659000,115.62
"2008-02-11",115.81,117.61,113.85,117.59,561900,117.59
"2008-02-12",117.89,118.79,115.06,116.25,565800,116.25
"2008-02-13",116.64,118.3,114.79,116.26,543000,116.26
"2008-02-14",114.75,115.5,111.77,113.12,846800,113.12
"2008-02-15",112.28,113.64,111.28,113.62,631300,113.62
"2008-02-19",114.79,115.47,112.5,113.37,847500,113.37
"2008-02-20",112.33,118.24,112.03,117.08,801500,117.08
"2008-02-21",117.51,117.71,113.58,113.65,593300,113.65
"2008-02-22",114,115.31,112.5,115.31,612600,115.31
"2008-02-25",116.05,118.56,113.25,117.37,1021400,117.37
"2008-02-26",118.78,126,118.25,124.93,1857000,124.93
"2008-02-27",123.93,125.69,121.4,122.25,953100,122.25
"2008-02-28",120.79,121.78,119.26,119.73,580100,119.73
"2008-02-29",118.18,119.4,114.63,115.08,661300,115.08
"2008-03-03",115.35,118.4,113.23,117.72,714300,117.72
"2008-03-04",117,117.2,114.78,116.78,707400,116.78
"2008-03-05",117.5,119.81,116.17,117.26,641300,117.26
"2008-03-06",116.76,116.95,113.53,113.67,613900,113.67
"2008-03-07",112.8,115.7,112,112.83,721200,112.83
"2008-03-10",112.71,113.07,109.97,110.23,523800,110.23
"2008-03-11",113.3,114.96,112.06,114.84,736800,114.84
"2008-03-12",115.05,116.56,111.48,111.57,695900,111.57
"2008-03-13",110.5,115.81,109.9,115.18,739200,115.18
"2008-03-14",115.15,115.15,110.26,113.61,1098000,113.61
"2008-03-17",111.52,113.45,108.89,110.86,867500,110.86
"2008-03-18",111.41,114.39,111.37,113.88,1555800,113.88
"2008-03-19",114.75,115.89,112.69,112.69,788800,112.69
"2008-03-20",113.16,117.08,112.96,116.64,1198100,116.64
"2008-03-24",116.55,121.6,116.55,119.75,595000,119.75
"2008-03-25",119.77,120.81,118.27,119.88,438900,119.88
"2008-03-26",119.59,119.7,117.56,117.92,473700,117.92
"2008-03-27",118.21,118.47,115.07,115.16,484800,115.16
"2008-03-28",115.11,115.3,112.87,113.25,454900,113.25
"2008-03-31",113.31,115.45,112.56,113.83,569800,113.83
"2008-04-01",117.23,119.61,115.21,119.55,607700,119.55
"2008-04-02",119.09,120.25,117.35,118.21,545400,118.21
"2008-04-03",116.95,118.85,116.26,117.78,374900,117.78
"2008-04-04",117.71,119.02,116.16,116.98,352100,116.98
"2008-04-07",117.95,118.12,115.63,115.76,514100,115.76
"2008-04-08",115.1,116.42,114.67,115.94,517800,115.94
"2008-04-09",116.17,116.37,113.68,114.44,652000,114.44
"2008-04-10",113.83,117.3,113.65,116.61,710000,116.61
"2008-04-11",116.18,118.05,116,116.96,727300,116.96
"2008-04-14",116.9,118.82,116.9,117.13,800300,117.13
"2008-04-15",117.39,119,116.75,118.3,638000,118.3
"2008-04-16",119.09,120.7,118.54,120.46,645700,120.46
"2008-04-17",119.8,121.77,119.19,121.36,637800,121.36
"2008-04-18",123.15,125,121.97,122.42,613200,122.42
"2008-04-21",121.7,122.78,120.85,122.25,282700,122.25
"2008-04-22",122.37,122.37,118.41,119.52,385200,119.52
"2008-04-23",118.5,125.22,117.86,119.19,656200,119.19
"2008-04-24",119.2,122.72,119.2,121.48,568800,121.48
"2008-04-25",122.2,124.31,122,123.85,765500,123.85
"2008-04-28",123.71,124.58,122.35,123.65,514900,123.65
"2008-04-29",123.74,125.69,123.55,125.36,636300,125.36
"2008-04-30",125.49,125.6,120.75,120.75,774500,120.75
"2008-05-01",121.35,126.85,120.91,125.95,566000,125.95
"2008-05-02",126.6,126.8,123.01,123.9,453900,123.9
"2008-05-05",124,124.33,121.7,122.85,570700,122.85
"2008-05-06",121.01,125.46,121.01,124.61,867600,124.61
"2008-05-07",124.28,126.54,123.48,124.19,667400,124.19
"2008-05-08",125.63,127.54,122.04,122.76,1016600,122.76
"2008-05-09",121.59,124.39,121.35,122.44,546800,122.44
"2008-05-12",122.62,126.02,122.5,125.77,386000,125.77
"2008-05-13",126.53,127.23,124.43,126.67,479300,126.67
"2008-05-14",127.72,128.43,126.67,126.83,512600,126.83
"2008-05-15",127.57,128.9,125.44,128.35,663600,128.35
"2008-05-16",127,128.01,124.47,127.21,838700,127.21
"2008-05-19",127.02,129.5,126.56,127.8,784400,127.8
"2008-05-20",129,130.79,125.67,126.99,1028700,126.99
"2008-05-21",127.58,129.5,125.02,125.67,954500,125.67
"2008-05-22",125.06,129.75,125.06,128.44,753000,128.44
"2008-05-23",128.2,128.65,126.66,127.28,556200,127.28
"2008-05-27",126.65,129.5,125.81,127.23,1141800,127.23
"2008-05-28",128,128.37,125.8,127.02,489500,127.02
"2008-05-29",127.46,128.93,127.13,127.77,728500,127.77
"2008-05-30",127.44,127.7,126.2,126.56,362600,126.56
"2008-06-02",126.25,127.81,125.87,127.39,633200,127.39
"2008-06-03",128.19,128.19,125.75,127.39,861300,127.39
"2008-06-04",127.27,127.46,124.65,125.75,740800,125.75
"2008-06-05",127.51,127.9,125.14,126.09,744000,126.09
"2008-06-06",124.79,125.1,120.94,121.74,775800,121.74
"2008-06-09",122.15,123.36,120.46,121.45,559500,121.45
"2008-06-10",120.15,123.13,119.68,121.29,714600,121.29
"2008-06-11",120.5,121.3,117.98,118.14,513700,118.14
"2008-06-12",118.8,120.89,117.52,118.3,496400,118.3
"2008-06-13",118.89,120.38,118.3,119.52,474800,119.52
"2008-06-16",118.62,121.01,118.42,120.37,663500,120.37
"2008-06-17",120.6,120.8,119.35,120.33,673500,120.33
"2008-06-18",119.07,119.31,117.03,117.76,763300,117.76
"2008-06-19",118.06,119.16,117.21,118.82,725200,118.82
"2008-06-20",118.22,118.22,114.35,115,646300,115
"2008-06-23",115.4,115.8,111.57,112.23,690900,112.23
"2008-06-24",111.51,114.09,110.39,111.9,1095300,111.9
"2008-06-25",112.15,115.65,111.29,111.82,1344700,111.82
"2008-06-26",112.65,116.91,110.99,114.67,1921100,114.67
"2008-06-27",115.28,121.41,115.28,120.13,3454000,120.13
"2008-06-30",121.7,124.51,120.37,121.01,1664100,121.01
"2008-07-01",118.69,122.16,118.01,121.69,1142600,121.69
"2008-07-02",122.24,122.34,118.45,118.45,1078200,118.45
"2008-07-03",119.2,121.77,118.66,120.18,695600,120.18
"2008-07-07",120.84,121.85,118,119.41,929800,119.41
"2008-07-08",119.8,122.44,118.72,122.27,1143300,122.27
"2008-07-09",122,123.04,120.84,121.33,941900,121.33
"2008-07-10",121.1,123.73,119.59,120.15,905400,120.15
"2008-07-11",118.53,120.15,116.11,117.68,1088400,117.68
"2008-07-14",119.29,120.13,116.62,117.52,669900,117.52
"2008-07-15",117.04,117.2,112.78,115.14,1351900,115.14
"2008-07-16",115.1,120.44,115.1,119.93,1020900,119.93
"2008-07-17",120.4,125.59,119.01,124.9,1302700,124.9
"2008-07-18",126.58,126.58,123.61,126.01,1116800,126.01
"2008-07-21",125.5,126.97,123.63,124.52,779700,124.52
"2008-07-22",123.93,129.59,123.6,128.22,1077100,128.22
"2008-07-23",127.85,133.59,127.62,130.58,1441000,130.58
"2008-07-24",130.76,131.97,128.8,129,844700,129
"2008-07-25",130.16,130.83,127.51,127.87,769400,127.87
"2008-07-28",126.7,128.28,124.49,126.71,696500,126.71
"2008-07-29",126.65,131.56,126.52,131.03,719200,131.03
"2008-07-30",130.91,133.16,128.72,131.25,767400,131.25
"2008-07-31",129.91,133.66,129.42,130.29,750000,130.29
"2008-08-01",130.38,132.72,129.18,131.33,677600,131.33
"2008-08-04",131.01,131.67,129.43,130.47,639100,130.47
"2008-08-05",131.9,136.34,131.9,136.05,1098100,136.05
"2008-08-06",135.23,135.23,131.46,134,1174400,134
"2008-08-07",132.55,134.96,132.1,133.93,1078100,133.93
"2008-08-08",133.26,138.97,133.26,138.35,968000,138.35
"2008-08-11",138.01,142.49,137.25,138.96,1004700,138.96
"2008-08-12",138.74,139.17,136,136.61,685400,136.61
"2008-08-13",136.06,136.17,131.31,134.3,938600,134.3
"2008-08-14",133.99,137.49,132.61,136.06,857400,136.06
"2008-08-15",135.25,138.92,135.25,138.59,618700,138.59
"2008-08-18",139.5,140,136.64,137.21,559800,137.21
"2008-08-19",136.12,136.69,134.22,134.89,513600,134.89
"2008-08-20",136.56,137.25,133.89,135.17,736200,135.17
"2008-08-21",133.56,135.86,132.78,134.34,874900,134.34
"2008-08-22",135,137.29,134.66,136.72,567900,136.72
"2008-08-25",136.2,136.56,133.23,133.45,491500,133.45
"2008-08-26",132.83,136.46,132.46,136.34,595000,136.34
"2008-08-27",135.29,138.35,135.29,137.3,642000,137.3
"2008-08-28",137.57,140.51,137.19,138.73,744900,138.73
"2008-08-29",138,139.85,136.82,137.23,544500,137.23
"2008-09-02",139.24,143.8,137.51,138.31,1217500,138.31
"2008-09-03",138.9,141.77,138.15,141.13,1078800,141.13
"2008-09-04",140.79,142.36,138.31,138.38,900800,138.38
"2008-09-05",137.5,138.91,135.25,138.19,681000,138.19
"2008-09-08",139.13,140.7,136.2,139.98,1005800,139.98
"2008-09-09",140.5,141.97,134.98,135.01,1154900,135.01
"2008-09-10",135.02,137.78,133.77,137,708100,137
"2008-09-11",136.4,138.44,134.24,137.82,978200,137.82
"2008-09-12",136.3,138.97,135.91,138.5,840700,138.5
"2008-09-15",136.74,140.52,135.58,135.88,1067300,135.88
"2008-09-16",134.76,135.31,129.6,133.63,1823700,133.63
"2008-09-17",131.32,132.86,128.09,128.19,1226600,128.19
"2008-09-18",129.75,130.6,120,128.53,1950400,128.53
"2008-09-19",134.38,136.4,123,130.79,1240500,130.79
"2008-09-22",128,134.14,127.69,129.06,1261200,129.06
"2008-09-23",129.55,130.21,126.93,127.17,678900,127.17
"2008-09-24",127.09,129.05,125.52,125.98,647000,125.98
"2008-09-25",127.4,130.38,126.64,128.77,916900,128.77
"2008-09-26",128.76,130.44,127.04,129.35,457800,129.35
"2008-09-29",128.6,129.42,121.94,124.55,899600,124.55
"2008-09-30",125.85,125.85,121.46,123.34,1316500,123.34
"2008-10-01",122.46,124.38,121.73,122.07,758000,122.07
"2008-10-02",122.07,123.47,115.43,116.99,1150300,116.99
"2008-10-03",118.1,120.72,117.18,117.4,1101600,117.4
"2008-10-06",115.66,120.09,114.02,119.1,1354200,119.1
"2008-10-07",118.85,119.96,107.5,108.21,2264400,108.21
"2008-10-08",106.11,111.47,103.67,106.95,1502400,106.95
"2008-10-09",107.2,108.7,98.79,98.79,1241100,98.79
"2008-10-10",95.34,103.79,93.55,99.7,1495700,99.7
"2008-10-13",102.55,107.8,102.22,107.25,269900,107.25
"2008-10-14",110.9,111.05,104.36,108.5,1311700,108.5
