"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2013-12-13",71.25,72.02,70.57,71.6,2711400,71.22
"2013-12-16",71.68,73.26,71.53,72.61,2741600,72.23
"2013-12-17",72.61,73.27,72.25,72.6,2438200,72.22
"2013-12-18",72.56,74.12,72.21,73.98,3960900,73.59
"2013-12-19",73.55,74.39,72.7,72.92,3505000,72.53
"2013-12-20",73.2,74.53,73.05,74.03,4906800,73.64
"2013-12-23",74.5,75.39,74.28,74.41,2556800,74.02
"2013-12-24",74.74,74.97,74.29,74.74,1065000,74.34
"2013-12-26",75,75.29,74.68,75.12,1187000,74.72
"2013-12-27",75.14,75.18,74.19,74.75,1688800,74.35
"2013-12-30",75.01,75.6,74.69,74.72,2252200,74.32
