"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2007-01-03",61.71,62.31,60.7,61.16,6134800,50.83
"2007-01-04",61.25,61.28,60.34,61,4058900,50.7
"2007-01-05",60.77,60.92,59.95,60.22,6267100,50.05
"2007-01-08",60.09,60.57,59.86,60.29,3942900,50.11
"2007-01-09",60.46,60.7,60,60.62,3928300,50.38
"2007-01-10",60.19,60.39,59.85,60.32,6825100,50.13
"2007-01-11",60.14,60.58,59.9,60,7440900,49.87
"2007-01-12",59.66,59.9,59.2,59.74,6560800,49.65
"2007-01-16",59.87,59.93,59.1,59.24,6842100,49.23
"2007-01-17",59.36,60.68,59.25,59.91,7255600,49.79
"2007-01-18",59.6,60.3,59.6,59.9,7027500,50.03
"2007-01-19",60.1,60.2,59.28,59.37,5561400,49.59
"2007-01-22",59.37,59.53,57.98,58.17,9881000,48.59
"2007-01-23",58.43,59.56,58.17,59.56,8587300,49.75
"2007-01-24",59.79,60.12,59.05,59.73,8014800,49.89
"2007-01-25",59.85,60.12,59.38,59.63,7481400,49.81
"2007-01-26",61.26,61.42,60.5,61.09,12450500,51.03
"2007-01-29",61.29,62.29,61.07,61.7,9608800,51.54
"2007-01-30",62.15,63.16,61.96,62.88,8941400,52.52
"2007-01-31",63.14,64.34,62.98,64.07,9617800,53.52
"2007-02-01",64.8,65.25,64.45,64.99,10272800,54.28
"2007-02-02",65,65.37,64.55,65.25,5971000,54.5
"2007-02-05",65.25,65.3,64.31,64.49,5253400,53.87
"2007-02-06",64.5,64.95,64.32,64.42,4873100,53.81
"2007-02-07",64.9,65.9,64.65,65.64,6546300,54.83
"2007-02-08",65.58,65.85,64.86,65.63,4528600,54.82
"2007-02-09",65.99,65.99,64.69,64.8,5576200,54.13
"2007-02-12",64.75,65.18,64.28,64.6,4974700,53.96
"2007-02-13",64.7,65.18,64.31,64.73,4965100,54.07
"2007-02-14",65.45,66.48,65.17,66.16,7495500,55.26
"2007-02-15",68,68.2,67,67.62,9566900,56.48
"2007-02-16",67.79,68.04,67.3,67.67,4249900,56.52
"2007-02-20",67.54,68,67.01,67.93,6964300,56.74
"2007-02-21",67.59,68.36,67.33,68.21,7225300,56.97
"2007-02-22",68.25,68.43,67.33,67.78,4989400,56.61
"2007-02-23",67.51,67.66,67.07,67.26,3777200,56.18
"2007-02-26",67.51,67.77,67.07,67.26,3990400,56.18
"2007-02-27",66.05,66.17,63.51,64.83,10791600,54.15
"2007-02-28",64.67,65.06,63.01,64.43,9555400,53.82
"2007-03-01",63.9,64.29,62.75,63.9,7993700,53.37
"2007-03-02",63.4,64.16,62.94,63.04,6037300,52.66
"2007-03-05",62.52,63.8,62.34,63.17,6710700,52.76
"2007-03-06",63.56,64.13,63.19,63.62,5360600,53.14
"2007-03-07",63.73,64.65,63.63,64.23,5284300,53.65
"2007-03-08",64.56,64.99,64,64.3,4206200,53.71
"2007-03-09",64.46,64.8,64.01,64.4,3267700,53.79
"2007-03-12",64.3,64.89,63.63,64.57,4949100,53.93
"2007-03-13",64.11,64.65,63.18,63.34,6297900,52.91
"2007-03-14",63.21,63.78,62.58,63.64,6611900,53.16
"2007-03-15",63.49,63.91,63.17,63.46,4546400,53.01
"2007-03-16",63.72,64.11,62.9,63.16,5239200,52.76
"2007-03-19",64.65,64.75,63.89,64.17,5076000,53.6
"2007-03-20",64.17,65.18,64.01,64.86,4730600,54.18
"2007-03-21",65.1,66.45,64.99,66.21,5864200,55.3
"2007-03-22",66.62,66.87,65.94,66.54,4674200,55.58
"2007-03-23",66.65,67.43,66.6,66.88,3955400,55.86
"2007-03-26",67.45,67.72,66.26,66.84,7645500,55.83
"2007-03-27",66.31,67.04,66.14,66.88,4266500,55.86
"2007-03-28",66.55,66.74,65.75,66.24,4428700,55.33
"2007-03-29",66.67,66.91,65.63,66.19,3752400,55.29
"2007-03-30",66.7,67.69,66.65,67.03,6216000,55.99
"2007-04-02",67.04,67.15,66.02,66.75,4917200,55.75
"2007-04-03",67.21,67.7,66.84,67.24,5065400,56.16
"2007-04-04",67.24,67.76,66.93,67.48,3255600,56.36
"2007-04-05",67.48,68,67.4,67.63,3632700,56.49
"2007-04-09",67.76,68.19,67.08,67.34,3780700,56.25
"2007-04-10",67.2,67.55,66.4,66.95,3700000,55.92
"2007-04-11",67,67.17,66.05,66.35,3778800,55.42
"2007-04-12",66.1,66.75,65.86,66.64,4017800,55.66
"2007-04-13",66.95,67.03,66.33,66.79,3449700,55.79
"2007-04-16",67.03,67.33,66.47,66.9,5126400,55.88
"2007-04-17",67,67.76,66.8,67.66,7919000,56.51
"2007-04-18",68.41,69.86,68.41,69.37,9469600,57.94
"2007-04-19",68.7,68.93,68.08,68.62,6962400,57.56
"2007-04-20",72.03,72.83,70.71,71.82,19014800,60.25
"2007-04-23",72.2,73,71.74,71.85,10759000,60.27
"2007-04-24",71.9,72.94,71.83,72.81,6840800,61.08
"2007-04-25",73,73.49,72.01,73.23,5801600,61.43
"2007-04-26",73.05,73.34,72.61,73,4474400,61.24
"2007-04-27",72.6,74.1,72.5,73.76,6509400,61.88
"2007-04-30",73.56,73.92,72.51,72.62,5221000,60.92
"2007-05-01",72.6,73.31,71.78,73.24,5284800,61.44
"2007-05-02",73.31,74.29,73.15,73.4,4313500,61.57
"2007-05-03",73.31,73.69,72.89,73.36,4111400,61.54
"2007-05-04",73.8,74.18,72.83,73.1,3466500,61.32
"2007-05-07",72.95,73.42,72.38,72.67,3632400,60.96
"2007-05-08",72.5,73.85,72.24,73.43,4548500,61.6
"2007-05-09",73.4,74.76,73.3,74.75,5651900,62.71
"2007-05-10",74.51,74.9,73.41,73.81,4533500,61.92
"2007-05-11",74.1,75,73.85,74.88,5549100,62.82
"2007-05-14",75,76.46,74.6,76.3,8043400,64.01
"2007-05-15",76.03,76.84,75.79,76.01,5614100,63.76
"2007-05-16",76.5,76.79,75.13,75.95,5897500,63.71
"2007-05-17",75.18,75.2,73.85,74.84,6486100,62.78
"2007-05-18",75.01,75.25,74.47,74.77,5199400,62.72
"2007-05-21",74.77,75.26,74.32,74.85,4445700,62.79
"2007-05-22",74.85,75.73,74.78,75.51,4168700,63.34
"2007-05-23",75.88,77.25,75.81,76.03,5682700,63.78
"2007-05-24",76.03,76.98,75.08,75.43,6316100,63.28
"2007-05-25",75.37,76.59,75.35,75.71,3337400,63.51
"2007-05-29",75.82,76.31,75.28,75.75,3813500,63.55
"2007-05-30",75.4,78.64,75.3,78.48,8529600,65.84
"2007-05-31",78.6,78.89,77.88,78.58,5709700,65.92
"2007-06-01",78.85,79.46,77.74,78.14,6532100,65.55
"2007-06-04",77.99,78.41,77.51,78.29,3212700,65.68
"2007-06-05",78.12,78.88,77.8,78.65,3480600,65.98
"2007-06-06",78.12,79.12,78,78.68,5391900,66
"2007-06-07",78.43,79.28,77.1,77.31,6367900,64.85
"2007-06-08",77.24,78.58,77.05,78.52,5047500,65.87
"2007-06-11",78.32,79.46,78.06,78.75,3694100,66.06
"2007-06-12",78.3,79.33,78.02,78.08,4579000,65.5
"2007-06-13",78.46,79.97,78.01,79.93,7961800,67.05
"2007-06-14",79.48,81,79.48,80.73,6187700,67.72
"2007-06-15",81.55,81.6,81,81.11,5875000,68.04
"2007-06-18",81.11,82.13,81.06,81.85,4548500,68.66
"2007-06-19",81.85,82.8,81.58,82.49,4052300,69.2
"2007-06-20",82.88,82.89,81.26,81.38,4160800,68.27
"2007-06-21",81.01,81.63,80.22,81.47,5261900,68.34
"2007-06-22",81.47,81.99,80.77,80.9,5134200,67.87
"2007-06-25",80.65,81.58,80.15,80.7,4386400,67.7
"2007-06-26",80.95,81.14,80.2,80.29,5537900,67.35
"2007-06-27",80.02,80.29,78.44,79.51,7854800,66.7
"2007-06-28",79.55,79.63,78.65,79.09,4736600,66.35
"2007-06-29",79.02,79.35,77.53,78.3,7513400,65.69
"2007-07-02",78.6,80.87,78.51,80.45,4866900,67.49
"2007-07-03",79.19,79.19,77.6,77.99,6246900,65.43
"2007-07-05",78,78.38,77.16,77.49,4410300,65.01
"2007-07-06",77.76,79.14,77.6,78.81,4731900,66.11
"2007-07-09",79.24,80.79,79.08,79.83,6499300,66.97
"2007-07-10",80.02,81.84,80,81.22,10013300,68.14
"2007-07-11",81.4,82.58,81.22,82.17,6648900,68.93
"2007-07-12",82.98,84.15,82.17,84.09,7163500,70.54
"2007-07-13",84.9,85.9,84.67,85.13,6337700,71.42
"2007-07-16",85.97,86.49,85.26,85.9,6032800,72.06
"2007-07-17",86.25,87,85.99,86.47,5677700,72.54
"2007-07-18",85.98,86.98,84.83,86.23,7014200,72.64
"2007-07-19",86.76,87,85.63,86.98,6256100,73.27
"2007-07-20",79.75,83.2,78.26,83.2,38719900,70.09
"2007-07-23",82.47,82.99,81.39,82,10070300,69.08
"2007-07-24",81.82,82.37,80.91,81.66,8273000,68.79
"2007-07-25",82.02,82.06,79.56,80.5,9406700,67.81
"2007-07-26",79.48,80.83,76.8,78.29,11559100,65.95
"2007-07-27",78.7,79.98,75.25,76.02,12589000,64.04
"2007-07-30",76.99,77.75,75.67,77.04,6763900,64.9
"2007-07-31",78.11,79.7,77.87,78.8,11029000,66.38
"2007-08-01",78.61,80.28,78.08,80.13,10204600,67.5
"2007-08-02",80.25,80.8,79,80.67,6631600,67.96
"2007-08-03",80.11,81.42,78.92,78.96,7816900,66.52
"2007-08-06",79,81.11,77.65,81,7033600,68.23
"2007-08-07",80.38,81.56,79.46,80.44,6449800,67.76
"2007-08-08",80.3,82.13,79.69,80.9,6859400,68.15
"2007-08-09",79.62,80.48,78.41,78.48,8139000,66.11
"2007-08-10",77.68,78.5,76.89,77.55,8464000,65.33
"2007-08-13",78.11,79.3,77.81,77.9,3866600,65.62
"2007-08-14",77.91,78.21,76.59,76.77,5190900,64.67
"2007-08-15",76.5,77.32,74.53,74.95,7455600,63.14
"2007-08-16",73,74.11,70.59,73,16052900,61.5
"2007-08-17",75.24,75.7,71.81,72.64,10761200,61.19
"2007-08-20",72.97,74.8,72.23,74.05,6780200,62.38
"2007-08-21",74.31,75,73.3,74.28,4737700,62.57
"2007-08-22",75.25,76.24,74.88,75.3,5236400,63.43
"2007-08-23",75.98,76.5,74.32,75.17,5548200,63.32
"2007-08-24",75.43,76.41,74.8,76.32,3483400,64.29
"2007-08-27",75.87,76.89,75.51,76,3136400,64.02
"2007-08-28",75.98,76.24,74.09,74.16,4653000,62.47
"2007-08-29",74.23,75.1,73.35,75.04,4401200,63.21
"2007-08-30",74.47,75.7,74.2,74.66,3579600,62.89
"2007-08-31",75.66,76.28,75.21,75.77,3341500,63.83
"2007-09-04",75.8,77.37,75.47,76.85,4472000,64.74
"2007-09-05",76.25,76.95,75.06,75.54,4675700,63.64
"2007-09-06",75.7,76.82,74.68,75.75,4614200,63.81
"2007-09-07",74.2,74.5,73.1,73.44,6396200,61.87
"2007-09-10",73.55,74.47,72.64,73.74,4753800,62.12
"2007-09-11",74.1,74.78,73.5,73.89,4688900,62.25
"2007-09-12",73.74,74,72.5,72.77,5656100,61.3
"2007-09-13",73.17,73.4,72.62,72.99,4667100,61.49
"2007-09-14",72.29,73.8,72.2,73.16,4028800,61.63
"2007-09-17",73,74.6,73,73.69,4660800,62.08
"2007-09-18",74.2,77.96,74.18,77.46,7461900,65.25
"2007-09-19",78.66,80.17,77.65,77.91,7598000,65.63
"2007-09-20",77.9,77.92,76.61,77.37,4506500,65.18
"2007-09-21",78.14,78.36,77.37,78.16,5950300,65.84
"2007-09-24",78.64,79.75,77.45,77.72,5683000,65.47
"2007-09-25",76.98,77.31,75.97,76.37,6759000,64.33
"2007-09-26",76.78,76.78,75.38,76.66,6032600,64.58
"2007-09-27",77.03,78.03,76.75,77.47,4773400,65.26
"2007-09-28",77.5,79,77.44,78.43,5644800,66.07
"2007-10-01",78.91,80.04,78.43,79.56,4480100,67.02
"2007-10-02",79.97,80.17,78.43,79.64,5048900,67.09
"2007-10-03",79.64,79.65,78.05,78.56,4610400,66.18
"2007-10-04",78.57,78.99,77.17,78.64,4306000,66.25
"2007-10-05",79.01,81,79.01,80.33,6658300,67.67
"2007-10-08",80.74,81.61,80.48,81.34,3633100,68.52
"2007-10-09",81.69,82.74,81.08,82.51,4899600,69.51
"2007-10-10",82.4,82.41,80.34,81.16,5167600,68.37
