"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"2007-08-29",76.31,78.25,76.31,78.25,1375500,66.43
"2007-08-30",77.36,78.79,77.11,78.09,1016900,66.29
"2007-08-31",78.99,79.75,78.36,78.56,1286300,66.69
"2007-09-04",78.53,79.4,77.7,79.31,1080200,67.32
"2007-09-05",76.62,78.9,76.62,77.87,1087800,66.1
"2007-09-06",77.63,78.87,77.4,78.85,882100,66.93
"2007-09-07",77.75,79.07,77.64,78.14,1665600,66.33
"2007-09-10",79.05,79.29,77.36,78.7,1152600,66.81
"2007-09-11",79.07,79.89,78.44,79.53,1468000,67.51
"2007-09-12",79.35,80.56,79.35,80.08,1494900,67.98
"2007-09-13",80.77,81.49,80.27,80.86,1340800,68.64
"2007-09-14",80.17,81.5,80.17,81.12,2154900,68.86
"2007-09-17",80.83,80.95,80.03,80.48,1025900,68.32
"2007-09-18",80.72,81.99,80.26,81.89,1401800,69.52
"2007-09-19",82.03,83.43,82.01,83,1438500,70.46
"2007-09-20",83.21,83.59,82.54,83.22,1161100,70.64
"2007-09-21",84.18,84.9,82.96,82.96,2865900,70.42
"2007-09-24",82.67,83.47,81.6,81.74,1536200,69.39
"2007-09-25",81.65,84.33,81.65,84.3,1854500,71.56
"2007-09-26",84.11,85.22,83.85,84.37,1617500,71.62
"2007-09-27",85.04,85.09,83.75,84.79,1050200,71.98
"2007-09-28",84.98,85.7,83.83,84.47,1566600,71.71
"2007-10-01",84.4,86.11,84.17,84.51,1940600,71.74
"2007-10-02",85.41,86.09,83.14,83.35,2438000,70.75
"2007-10-03",82.8,83.41,82.41,83.27,1276000,70.93
"2007-10-04",83.76,84.23,83.44,83.8,763800,71.38
"2007-10-05",84.46,84.75,83.81,84.06,1010500,71.61
"2007-10-08",84.28,86.66,84.28,85.9,1405500,73.17
"2007-10-09",86.26,87.55,86.08,87.17,1387700,74.26
"2007-10-10",87.24,87.46,85.36,85.98,1440100,73.24
"2007-10-11",86.5,87.99,86.16,87.01,1657400,74.12
"2007-10-12",87.42,89.19,86.76,89.01,1603900,75.82
"2007-10-15",89.39,90.95,88.5,88.95,2100700,75.77
"2007-10-16",88.91,89.07,87.63,88.18,1260300,75.12
"2007-10-17",89.06,89.06,86.56,87.31,1487700,74.37
"2007-10-18",87.2,88.12,87.05,87.74,889700,74.74
"2007-10-19",87.29,87.43,85.47,85.47,1718300,72.81
"2007-10-22",84.69,85.96,84.29,85.94,1121100,73.21
"2007-10-23",86.77,87.65,85.78,87.1,1140600,74.2
"2007-10-24",88,90,87.31,90,3466200,76.67
"2007-10-25",90.39,90.97,89.71,90.38,2783300,76.99
"2007-10-26",91.76,91.88,90.74,91.23,1542200,77.71
"2007-10-29",90.74,91,89.91,90.45,1768300,77.05
"2007-10-30",89.72,90.93,89.53,89.98,1580400,76.65
"2007-10-31",90.74,90.96,89.65,90.96,1422500,77.48
"2007-11-01",89.87,91,89.6,89.92,2227900,76.6
"2007-11-02",90.2,90.6,88.72,90.13,1552700,76.78
"2007-11-05",91,92.39,89.43,91.85,2031000,78.24
"2007-11-06",91.92,93.57,91.46,93.52,2331100,79.66
"2007-11-07",93.27,93.27,90.37,90.46,1992500,77.06
"2007-11-08",90.9,91.63,89.31,90.94,2625800,77.47
"2007-11-09",89.92,90.42,88.05,88.24,2387800,75.17
"2007-11-12",88.09,89.15,86.38,86.76,2010400,73.91
"2007-11-13",87.31,88.57,86.79,88.34,2857600,75.25
"2007-11-14",88.79,89.69,88.29,88.48,2051000,75.37
"2007-11-15",88.3,89.11,87.81,88.01,1716100,74.97
"2007-11-16",88.78,89.75,88.13,89.75,2377800,76.45
"2007-11-19",89.11,89.81,87.32,88.45,1961600,75.35
"2007-11-20",88.77,90.3,87.31,88.46,1871900,75.35
"2007-11-21",87.56,88.32,86.79,86.79,1215900,73.93
"2007-11-23",87.19,88.5,87.19,88.5,669700,75.39
"2007-11-26",88.5,89.91,87.12,87.3,1591000,74.37
"2007-11-27",87.58,88.59,87.42,88.23,2161700,75.16
"2007-11-28",88.72,90.49,88.29,90.02,1904400,76.68
"2007-11-29",89.9,89.9,88.48,88.78,1847900,75.63
"2007-11-30",90.02,90.02,88.07,88.78,1921400,75.63
"2007-12-03",89.11,89.86,88.82,89.01,1493800,75.82
"2007-12-04",88.99,90.62,88.91,89.86,1715500,76.55
"2007-12-05",90.69,92.64,90.24,92.43,2376700,78.74
"2007-12-06",92.4,93.85,92.06,93.07,2607700,79.28
"2007-12-07",93.06,94.55,92.77,93.68,1672600,79.8
"2007-12-10",93.73,94.5,93.6,94,1433100,80.07
"2007-12-11",93.96,93.96,91.06,91.29,1785300,77.77
"2007-12-12",93.19,93.38,90.95,91.68,1942000,78.1
"2007-12-13",91.05,93.05,91.05,92.76,1433600,79.02
"2007-12-14",91.94,92.83,91.44,91.44,1244700,77.89
"2007-12-17",91.23,91.69,89.42,89.6,1310700,76.33
"2007-12-18",89.9,89.9,87.2,88.28,2665800,75.2
"2007-12-19",89.06,89.06,87.31,88.12,1494800,75.06
"2007-12-20",88.83,89.03,87.87,88.41,1249000,75.31
"2007-12-21",89.25,89.56,88.58,89.24,2189100,76.02
"2007-12-24",88.95,91.18,88.95,90.71,482900,77.27
"2007-12-26",90.77,90.81,89.69,90.43,665100,77.03
"2007-12-27",90.05,90.64,88.85,89.22,966200,76
"2007-12-28",90.07,90.1,88.92,89.05,836900,75.86
"2007-12-31",88.16,89.53,88.16,88.99,825500,75.81
"2008-01-02",88.75,89.43,86.92,87.44,1031000,74.49
"2008-01-03",87.89,89.05,87.63,88.5,1363300,75.39
"2008-01-04",88.1,88.24,85.86,86,1730700,73.26
"2008-01-07",86.68,86.7,85.06,85.91,2181800,73.18
"2008-01-08",86.16,87.25,85.22,85.63,2507100,72.94
"2008-01-09",85.31,89.04,84.85,88.93,2667100,75.75
"2008-01-10",88.49,89.88,88.25,88.83,2214600,75.67
"2008-01-11",88.19,88.21,86.06,86.56,1933100,73.74
"2008-01-14",87.61,87.69,86.15,86.4,2289100,73.6
"2008-01-15",85.5,87.18,84.9,85.32,2071600,72.68
"2008-01-16",84.76,85.46,83.62,83.97,2270800,71.77
"2008-01-17",84.17,85.6,80.39,80.79,3062100,69.06
"2008-01-18",81.5,83.92,80.36,80.8,2635900,69.06
"2008-01-22",78.73,80.17,74.01,78.85,3367300,67.4
"2008-01-23",75,79.05,75,79.05,3354800,67.57
"2008-01-24",80.32,83.86,79.81,83.07,3768800,71
"2008-01-25",84.03,84.03,80.88,81.13,3197700,69.35
"2008-01-28",81.08,82.98,81.08,82.8,2374400,70.77
"2008-01-29",83.15,83.8,82.84,83.32,1659100,71.22
"2008-01-30",82.93,85.52,82.93,83.71,1594400,71.55
"2008-01-31",83.31,85.08,82.49,84.53,2351700,72.25
"2008-02-01",84.9,85.6,84.09,85.34,1510600,72.94
"2008-02-04",85.36,85.36,84.46,84.88,1156900,72.55
"2008-02-05",83.57,83.99,82.77,82.93,1950600,70.88
"2008-02-06",83.34,84,82.84,82.99,1840300,70.94
"2008-02-07",82.37,83.5,82.16,83.45,2260300,71.33
"2008-02-08",82.88,83.87,82.23,83.37,1562800,71.26
"2008-02-11",83.51,83.79,82.74,83.3,1593000,71.2
"2008-02-12",83.65,84.66,82.93,84.04,2813700,71.83
"2008-02-13",84.71,84.71,83.13,84.15,2316400,71.93
"2008-02-14",84,84.72,82.89,83.33,1957700,71.23
"2008-02-15",83.28,83.81,82.42,83.43,1753500,71.31
"2008-02-19",84.22,84.64,83.46,83.93,1420800,71.74
"2008-02-20",83.37,84.44,82.7,84.16,1490700,71.94
"2008-02-21",83.75,84.46,82.65,82.8,1919600,70.77
"2008-02-22",82.98,83.76,82.59,83.65,1888100,71.5
"2008-02-25",83.82,84.5,82.91,83.93,2565700,71.74
"2008-02-26",83.42,83.79,82.91,83.46,1962400,71.34
"2008-02-27",82.8,84.75,82.8,83.37,1628500,71.26
"2008-02-28",82.94,83.45,82.69,83,1186800,70.94
"2008-02-29",82.25,82.72,81.65,81.85,1908400,69.96
"2008-03-03",81.26,82.48,81.05,81.75,2492300,69.88
"2008-03-04",81.16,83,81.05,82.61,2589300,70.61
