"","ETN.Open","ETN.High","ETN.Low","ETN.Close","ETN.Volume","ETN.Adjusted"
"2007-03-09",82.03,83.37,81.98,83.03,2917400,33.8
"2007-03-12",82.34,83,81.97,82.57,1800200,33.62
"2007-03-13",82.57,82.66,81.07,81.24,2261400,33.07
"2007-03-14",81.62,82.86,80.97,82.59,2523800,33.62
"2007-03-15",82.4,82.8,81.74,82.15,1305200,33.44
"2007-03-16",82.77,83.32,81.96,82.52,1787400,33.59
"2007-03-19",83,84.15,82.9,83.91,2086000,34.16
"2007-03-20",83.91,84.21,83.49,83.59,1835000,34.03
"2007-03-21",83.69,84.51,83.1,84.35,2740000,34.34
"2007-03-22",87.16,87.16,84.42,84.98,1755400,34.6
"2007-03-23",84.83,85.54,84.77,85.53,1954000,34.82
"2007-03-26",85.53,85.67,83.88,85.09,1931600,34.64
"2007-03-27",85.1,85.1,84,84.04,1263400,34.21
"2007-03-28",84.03,84.25,83.33,83.85,1706600,34.14
"2007-03-29",84.5,84.77,82.68,82.93,2746000,33.76
"2007-03-30",83.12,83.87,82.59,83.56,1871200,34.02
"2007-04-02",83.81,84.19,83.46,83.85,1717000,34.14
"2007-04-03",84.04,85.22,84.04,84.75,1647400,34.5
"2007-04-04",84.76,85,84.56,84.86,1468400,34.55
"2007-04-05",86.72,86.72,84.7,85.44,1080800,34.78
"2007-04-09",85.49,85.6,85.02,85.51,1511600,34.81
"2007-04-10",85.5,85.76,84.9,84.93,1264800,34.58
"2007-04-11",84.64,85.09,84.06,84.1,1900000,34.24
"2007-04-12",84.5,85.05,83.21,84.85,1950000,34.54
"2007-04-13",85.31,85.71,84.76,85.16,2101800,34.67
"2007-04-16",88.16,88.9,87.01,87.5,3938600,35.62
"2007-04-17",86.91,87,86.22,86.8,2855400,35.34
"2007-04-18",87.57,87.7,86.08,86.5,2324200,35.21
"2007-04-19",86.1,86.46,85.64,86.2,2236200,35.09
"2007-04-20",87.2,87.4,86.67,87.07,2572800,35.45
"2007-04-23",87.22,88.44,87.07,87.85,2284600,35.76
"2007-04-24",88.3,88.83,87.84,88.08,2388800,35.86
"2007-04-25",88.32,88.45,87.76,88.4,2228600,35.99
"2007-04-26",88.4,88.93,88.3,88.63,1742000,36.08
"2007-04-27",88.59,91.25,88.37,90.6,4331200,36.88
"2007-04-30",90.58,90.79,89.21,89.21,2654000,36.32
"2007-05-01",89.21,90.24,88.66,89.65,2347200,36.5
"2007-05-02",89.59,91.47,89.44,91.05,2822000,37.07
"2007-05-03",91.42,92.93,90.41,90.73,2481400,37.11
"2007-05-04",90.87,91.07,90.19,90.6,1154400,37.06
"2007-05-07",90.8,91.1,89.96,90.55,1700200,37.04
"2007-05-08",90.46,91.09,90.11,90.96,1705600,37.21
"2007-05-09",90.97,91.52,90.69,91.18,2315600,37.3
"2007-05-10",91.05,91.06,90.1,90.37,2055800,36.97
"2007-05-11",90.47,91.07,90.4,90.99,1578600,37.22
"2007-05-14",90.91,91.7,90.7,91.66,2321200,37.49
"2007-05-15",91.59,93.62,91.51,91.7,2758400,37.51
"2007-05-16",91.95,92.1,90.58,91.9,2004400,37.59
"2007-05-17",91.35,91.86,91.03,91.6,1681400,37.47
"2007-05-18",92.1,92.6,91.89,92.4,1682600,37.8
"2007-05-21",92.15,92.64,91.75,92.31,2307000,37.76
"2007-05-22",92.47,92.47,91.47,91.48,1573400,37.42
"2007-05-23",91.09,91.77,90.98,91.03,1952600,37.24
"2007-05-24",92.5,93.5,91.36,91.45,2402400,37.41
"2007-05-25",91.72,93.21,91.72,92.49,1407000,37.83
"2007-05-29",92.5,93.32,92.49,93.04,1660000,38.06
"2007-05-30",92.81,93.55,92.51,93.55,1687400,38.27
"2007-05-31",93.71,94.41,93.59,93.74,2114000,38.34
"2007-06-01",94,94.27,93,93.51,2064600,38.25
"2007-06-04",93.27,93.61,92.94,93.2,1476000,38.12
"2007-06-05",93,93.12,92.35,92.79,1815000,37.95
"2007-06-06",92.8,92.8,90.4,90.52,2271200,37.03
"2007-06-07",90.2,90.56,88.17,88.17,2197800,36.07
"2007-06-08",88.01,89.27,87.67,89.13,3131200,36.46
"2007-06-11",89.13,90,89,89.23,1950200,36.5
"2007-06-12",89,91.89,88.9,91.1,4324400,37.26
"2007-06-13",91.34,92.98,90.51,92.86,3058600,37.98
"2007-06-14",92.8,95.2,92.78,93.71,2864000,38.33
"2007-06-15",94.82,95,93.91,94.12,1966800,38.5
"2007-06-18",94.1,94.24,93.51,93.8,1464400,38.37
"2007-06-19",93.3,94.34,93.25,94.15,1259800,38.51
"2007-06-20",94.11,95.59,94.08,94.08,1993600,38.48
"2007-06-21",93.67,94.37,93.06,94.03,1790600,38.46
"2007-06-22",94.04,94.45,92.39,92.95,2706600,38.02
"2007-06-25",93.4,93.87,91.83,92.23,1615600,37.73
"2007-06-26",92.91,93,91.71,91.71,1382400,37.51
"2007-06-27",90.8,91.76,90.41,91.64,1633800,37.48
"2007-06-28",91.46,92.99,91.13,92.58,1158200,37.87
"2007-06-29",92.63,93.94,92.11,93,2024600,38.04
"2007-07-02",93.21,94.81,92.9,94.65,1956400,38.72
"2007-07-03",94.53,94.89,94.05,94.4,800400,38.61
"2007-07-05",94.4,94.6,93.81,94.3,987600,38.57
"2007-07-06",94.69,94.78,93.67,94.46,780600,38.64
"2007-07-09",94.95,97.02,94.6,96.92,2398400,39.64
"2007-07-10",96.57,96.57,94.68,94.68,2068000,38.73
"2007-07-11",94.68,95.87,94.38,95.26,1247200,38.97
"2007-07-12",95.84,98.39,95.26,98.39,2048000,40.25
"2007-07-13",98.41,98.75,97.66,98.1,2961600,40.13
"2007-07-16",102.24,104.04,100.87,100.87,8226600,41.26
"2007-07-17",101.77,102.74,101.6,102,4436800,41.72
"2007-07-18",101.9,103,101.75,102.23,3445400,41.82
"2007-07-19",103.17,104.12,101.84,102.12,2025600,41.77
"2007-07-20",101.3,101.5,99.84,100.56,2843000,41.13
"2007-07-23",101.8,103.18,101.11,102.55,3036800,41.95
"2007-07-24",101.5,101.68,100.61,100.85,3290400,41.25
"2007-07-25",101.3,101.7,98.37,99.31,2941000,40.62
"2007-07-26",98.78,99.75,95.73,97.45,4547200,39.86
"2007-07-27",97.3,97.59,94.67,94.67,3049600,38.72
"2007-07-30",95.26,98.35,95.26,98.13,2811400,40.14
"2007-07-31",98.96,99.71,96.99,97.18,3375400,39.75
"2007-08-01",97.19,98.93,96.79,98.76,4808200,40.4
"2007-08-02",98.86,99.89,98.33,99.59,4201600,40.91
"2007-08-03",99.66,99.94,96.74,96.74,2804400,39.74
"2007-08-06",95.57,97.38,95.57,97.38,3162800,40.01
"2007-08-07",96.43,97.29,94.51,95.19,3713000,39.11
"2007-08-08",95.25,95.48,92.03,93.66,3038800,38.48
"2007-08-09",92.84,93.91,86.47,86.47,4870800,35.52
"2007-08-10",86.4,94.1,86.4,93.45,5491200,38.39
"2007-08-13",94.2,95.61,92.91,93,2817200,38.21
"2007-08-14",93.83,94.39,89.49,89.69,3901800,36.85
"2007-08-15",89.78,91.35,87.69,87.75,2394800,36.05
"2007-08-16",86.64,86.83,82.25,85.12,4909000,34.97
"2007-08-17",89.27,90.32,82.66,90.14,4627800,37.03
"2007-08-20",90.57,91.48,89.82,90.57,2198800,37.21
"2007-08-21",90.9,90.97,89.59,90.54,1805400,37.2
"2007-08-22",91.54,93.57,91.14,93.36,1457200,38.36
"2007-08-23",93.36,94.59,91.3,91.66,1314800,37.66
"2007-08-24",91.44,94.75,91.44,94.6,1754200,38.86
"2007-08-27",94.6,94.6,93.32,93.85,1519600,38.56
"2007-08-28",93.4,93.63,90.32,90.33,3167800,37.11
"2007-08-29",90.67,93.78,90.65,93.73,1748200,38.51
"2007-08-30",93,94.21,92.53,92.79,1602600,38.12
"2007-08-31",94,94.9,93.06,94.22,2371000,38.71
"2007-09-04",94.5,95.16,93.51,94.64,1885400,38.88
"2007-09-05",93.99,94.42,92.23,92.62,2692800,38.05
"2007-09-06",93.08,94.83,92.01,94.62,1997400,38.87
"2007-09-07",93.05,93.21,90.8,91.38,1484200,37.54
"2007-09-10",91.7,91.89,88.74,89.67,1778600,36.84
"2007-09-11",90.2,91.1,88,90.85,3156600,37.32
"2007-09-12",90.46,92.49,90.25,92,2841400,37.8
"2007-09-13",92.4,92.67,90.78,91.75,1877600,37.69
"2007-09-14",91.04,92.72,90.93,92.53,1822400,38.01
"2007-09-17",92.34,92.67,91.3,91.56,1342000,37.62
"2007-09-18",92.6,97.16,92.35,96.95,3338000,39.83
"2007-09-19",97.4,100.66,97.4,100.12,4391800,41.13
"2007-09-20",99.66,100.75,97.95,98.38,2558400,40.42
"2007-09-21",98.5,99.76,98.08,98.82,2499400,40.6
"2007-09-24",98.49,98.73,96.83,97.35,1736000,39.99
"2007-09-25",96.88,97.41,94.91,96.28,2523400,39.55
"2007-09-26",96.86,97.43,95.85,96.6,1692800,39.69
"2007-09-27",95.9,98.55,95.9,98.37,2389400,40.41
"2007-09-28",98.69,99.88,98.2,99.04,2816200,40.69
"2007-10-01",98.75,101.19,98.58,100.68,1802000,41.36
"2007-10-02",100.6,101.35,100.28,101.26,2030800,41.6
"2007-10-03",100.9,101.82,100,100.61,2239600,41.33
"2007-10-04",100.99,101.3,98.78,99.72,1606200,40.97
"2007-10-05",100.25,101.38,99.79,100.86,1709200,41.44
"2007-10-08",100.92,101.47,99.88,100.88,1342800,41.44
"2007-10-09",101.17,101.75,99.88,100.76,1516400,41.4
"2007-10-10",100.04,100.79,98.16,99,1768000,40.67
"2007-10-11",99.45,100.19,97.05,97.32,2232000,39.98
"2007-10-12",97.15,97.24,95.31,96.4,2281000,39.6
"2007-10-15",92,95.28,91.5,93.04,5599800,38.22
"2007-10-16",94.33,96.15,93.25,95.74,3514000,39.33
"2007-10-17",98.25,98.46,94.34,95.67,2367600,39.3
"2007-10-18",94.88,96.24,94.82,95.56,1738400,39.26
"2007-10-19",95.27,95.29,91.96,92.42,3068000,37.97
"2007-10-22",91.05,92.74,91.02,92.1,2133400,37.84
"2007-10-23",92.25,92.4,91.02,92.13,2286800,37.85
"2007-10-24",91.71,94.48,90.69,93.69,3903800,38.49
"2007-10-25",93.5,93.64,90.73,91.67,2418800,37.66
"2007-10-26",92.67,92.9,91.81,92.49,1340200,38
"2007-10-29",92.99,93.43,92.37,93.25,1042200,38.31
"2007-10-30",93.23,93.33,91.3,91.39,1575200,37.55
"2007-10-31",91.75,93.29,91.59,92.58,2360400,38.03
"2007-11-01",91.65,91.86,90.1,90.14,1562400,37.21
"2007-11-02",90.45,90.9,88.95,90.83,2176600,37.49
"2007-11-05",89.9,90.55,89.06,90.05,1710000,37.17
"2007-11-06",90.6,92.1,90.42,92.1,2960000,38.01
"2007-11-07",90.95,91.58,87.87,87.91,2489800,36.28
"2007-11-08",89,92.19,89,91.43,3671800,37.74
"2007-11-09",90.05,90.05,88.13,88.5,2371400,36.53
"2007-11-12",88.18,89.09,85.69,85.75,2003600,35.39
"2007-11-13",86.3,89.11,86.3,89.11,2326200,36.78
"2007-11-14",89.83,91.32,89.27,90.3,3443400,37.27
"2007-11-15",90.12,90.19,87.68,88.46,3215600,36.51
"2007-11-16",89.44,89.48,86.53,87.38,3092000,36.07
"2007-11-19",88.5,88.78,85.09,85.29,4702400,35.2
"2007-11-20",85.6,88.68,84.63,87.72,5030600,36.21
"2007-11-21",86.85,88.39,86.17,86.88,3650800,35.86
"2007-11-23",87.77,88.16,86.85,87.96,839600,36.31
"2007-11-26",88.14,89.03,86.24,86.24,2223400,35.6
"2007-11-27",86.51,87.74,85.71,87.57,2455200,36.14
"2007-11-28",88.41,90.36,87.75,89.95,2667400,37.13
"2007-11-29",89.84,90.3,88.35,88.6,2473400,36.57
"2007-11-30",89.5,89.94,88.72,89.31,3479200,36.86
"2007-12-03",90.1,90.1,87.57,88.2,2625800,36.4
"2007-12-04",87.95,89.99,87.78,89.26,3429600,36.84
"2007-12-05",90.27,92.06,90.11,91.74,2379600,37.87
"2007-12-06",91.71,95.55,91.28,95.42,2485600,39.38
"2007-12-07",94.64,95.64,93.38,94.64,1763600,39.06
"2007-12-10",94.2,96.04,94.2,95.75,1415800,39.52
"2007-12-11",95.77,96.25,92.23,92.43,2002400,38.15
"2007-12-12",94.69,95.14,91.66,92.5,2084400,38.18
"2007-12-13",91.86,92.96,90.51,91.6,2357800,37.81
"2007-12-14",90.32,91.54,89.62,89.62,2018400,36.99
"2007-12-17",89.05,89.05,87.52,88.54,3272200,36.54
"2007-12-18",89.37,89.49,87.46,89.11,2396600,36.78
"2007-12-19",89.3,90.15,88.67,89.42,1282800,36.91
"2007-12-20",90.25,95.5,90.25,94.88,3943200,39.16
"2007-12-21",95.81,99.41,95.28,99.41,4326800,41.03
"2007-12-24",99.28,99.42,97.06,97.93,1615200,40.42
"2007-12-26",97.77,99.66,97.16,99.17,1770800,40.93
"2007-12-27",98.45,98.81,97.35,97.83,1510200,40.38
"2007-12-28",98.55,99.34,96.37,97.72,2284400,40.33
"2007-12-31",97.59,98.13,96.75,96.95,1498400,40.02
"2008-01-02",96.7,97.74,93.41,93.66,3855800,38.66
"2008-01-03",93.78,96.5,93.78,96.18,3417400,39.7
"2008-01-04",95.56,95.56,91.91,92.12,2871000,38.02
"2008-01-07",92.86,93.84,90.98,93.22,4446200,38.48
"2008-01-08",93.32,93.9,87.7,88.11,3810000,36.37
"2008-01-09",88,88.88,85.92,88.69,4644800,36.61
"2008-01-10",87.5,89.58,85.25,88.18,5459000,36.4
"2008-01-11",87.38,88.64,85.47,86.04,3848400,35.51
"2008-01-14",86.91,89.51,86.91,89.05,2400400,36.76
"2008-01-15",87.65,87.95,85.85,86.27,2505600,35.61
"2008-01-16",85.6,86,82.25,84.37,4031800,34.82
"2008-01-17",84.87,85.16,80.03,80.51,4145000,33.23
"2008-01-18",80.83,82.75,79.06,81.08,3871800,33.47
"2008-01-22",75.9,82.56,66.27,81.19,5814000,33.51
"2008-01-23",78.57,82.3,76.1,81.99,6850600,33.84
"2008-01-24",82.47,82.89,80.03,81.29,5314400,33.55
"2008-01-25",82.22,84.93,81.3,82.72,5699200,34.14
"2008-01-28",83.01,83.01,81.24,82.38,3430200,34
"2008-01-29",83.06,83.12,81.31,82.46,2076600,34.04
"2008-01-30",82.27,83.6,80.75,81.61,3552200,33.68
"2008-01-31",80.05,83.42,78.84,82.59,4833200,34.3
"2008-02-01",82.95,86.21,82.05,86.02,3446000,35.72
"2008-02-04",86.67,86.92,83.75,84.78,3153600,35.21
"2008-02-05",83.15,83.28,81.5,81.84,2806000,33.99
"2008-02-06",82.02,82.85,79.82,80.41,4544000,33.39
"2008-02-07",79.9,81.35,79.48,80.37,3114200,33.38
"2008-02-08",80.19,81.25,79.51,80.48,2732400,33.42
"2008-02-11",80.38,80.73,78.69,80.34,3092000,33.36
"2008-02-12",81.12,82.24,80.5,81.24,3036800,33.74
"2008-02-13",81.7,82.59,81.47,82.49,2989800,34.26
"2008-02-14",82.35,82.54,80.13,80.67,2996400,33.5
"2008-02-15",80.27,80.34,78,79.22,3774800,32.9
"2008-02-19",79.97,80.81,78.45,78.91,3291600,32.77
"2008-02-20",77.99,79.19,76.44,78.83,4147400,32.74
"2008-02-21",79.13,80.71,79.04,79.68,5200600,33.09
"2008-02-22",80,80.71,78.45,80.55,4421000,33.45
"2008-02-25",80.85,83.33,80.69,83.11,3714600,34.51
"2008-02-26",82.52,84.2,82.05,83.92,3070200,34.85
"2008-02-27",83.25,84.27,82.47,83.68,3702600,34.75
"2008-02-28",82.99,84.36,82.35,83.57,4419200,34.71
"2008-02-29",82.87,82.87,80.56,80.63,3604600,33.48
"2008-03-03",80.81,82.26,80.81,82.11,4117400,34.1
"2008-03-04",83.2,83.9,80.59,82.06,4651600,34.08
"2008-03-05",81.92,82.55,80.42,81.67,3549200,33.92
"2008-03-06",81.32,81.5,80.26,80.88,4166000,33.59
"2008-03-07",80.08,80.51,78.01,78.71,3456600,32.69
"2008-03-10",78.65,78.92,77.16,77.55,3107800,32.21
"2008-03-11",79.45,80.48,78.1,80.48,3434000,33.42
"2008-03-12",80.67,83.1,80.61,81.77,3995600,33.96
"2008-03-13",80.35,82.97,78.8,82.7,4198200,34.34
"2008-03-14",83.11,83.36,79.58,81.85,3879200,33.99
"2008-03-17",79.75,80.94,78.5,79.94,3871000,33.2
"2008-03-18",81.31,84.04,80.69,83.98,4951800,34.88
"2008-03-19",84.22,85.06,79.91,80,4666000,33.22
"2008-03-20",80.1,80.73,78.66,80.5,4039400,33.43
"2008-03-24",81,82.64,80.53,82.08,2177400,34.09
"2008-03-25",82.08,83.83,81.44,83.2,2015000,34.55
"2008-03-26",82.45,82.63,81.22,82.2,2603200,34.14
"2008-03-27",82.22,82.47,80.24,80.4,2564800,33.39
"2008-03-28",80.9,81.45,79.06,79.35,2567200,32.95
"2008-03-31",79.5,80.43,78.27,79.67,3065400,33.09
"2008-04-01",79.21,82.2,78.42,81.83,3395800,33.98
"2008-04-02",82.25,82.43,80.73,81.31,2683800,33.77
"2008-04-03",80.98,80.98,79.25,80.19,2759600,33.3
"2008-04-04",80.45,83.66,80,82.33,5741000,34.19
"2008-04-07",82.56,82.92,81.33,81.63,2707400,33.9
"2008-04-08",81.22,81.67,80.67,81.19,2813200,33.72
"2008-04-09",81.56,82.28,79.26,79.77,2803600,33.13
"2008-04-10",79.77,80.32,79.46,79.98,3362000,33.22
"2008-04-11",79.5,79.5,77.42,78.94,5277400,32.78
"2008-04-14",82.4,82.8,79.05,80.03,9316000,33.24
"2008-04-15",80.65,82.04,80.03,81.59,5180800,33.88
"2008-04-16",81.71,85.9,81.71,85.72,6117200,35.6
"2008-04-17",85.63,85.63,84.19,84.8,3261800,35.22
"2008-04-18",85.8,91.6,85.8,90.63,6626400,37.64
"2008-04-21",87.75,88.38,85.82,87.94,8046800,36.52
"2008-04-22",87.4,87.6,84.97,85.09,8284200,35.34
"2008-04-23",83.92,84.54,83.52,84.39,27268200,35.05
"2008-04-24",84.64,86.83,84.1,86.04,7274000,35.73
"2008-04-25",86.62,87,85.1,86.49,4181000,35.92
"2008-04-28",86.7,87.69,86.5,87.63,3811200,36.39
"2008-04-29",88.79,88.97,87.79,88.14,5617400,36.6
"2008-04-30",88.88,89.34,87.64,87.84,6256800,36.48
"2008-05-01",87.7,88.8,86.72,88.66,5235000,37.03
"2008-05-02",89.48,90.55,87.89,88.69,4018400,37.04
"2008-05-05",89,89.14,87.75,87.98,3989800,36.75
"2008-05-06",87.8,88.8,86.86,88.07,4388400,36.78
"2008-05-07",88.01,88.97,85.28,85.8,5474200,35.84
"2008-05-08",86.48,87.33,85.8,86.68,4290600,36.2
"2008-05-09",86.01,86.41,85,85.66,4476200,35.78
"2008-05-12",85.8,87.27,85.47,87.23,4220200,36.43
"2008-05-13",87.44,88.1,86.39,87.35,3795800,36.48
"2008-05-14",87.92,89.27,87.06,88.42,4042600,36.93
"2008-05-15",88.64,88.75,87.41,88.32,3797800,36.89
"2008-05-16",88.32,89,87.42,88.43,2515400,36.93
"2008-05-19",88.35,92.55,88.19,90.39,6188800,37.75
"2008-05-20",89.79,89.95,88.58,89.44,4231000,37.36
"2008-05-21",89.69,91.75,89.11,89.3,5202400,37.3
"2008-05-22",89.8,90.08,88.67,89.14,3708400,37.23
"2008-05-23",89,89.24,87.72,88.45,3342000,36.94
"2008-05-27",88.31,89.57,87.85,89.25,2336200,37.28
"2008-05-28",89.66,93.72,89.5,93.27,7780800,38.96
"2008-05-29",93.28,94.96,92.44,94.26,5554600,39.37
"2008-05-30",94.73,97.45,94.55,96.68,6025200,40.38
"2008-06-02",97.61,98.14,94.54,96.05,5048200,40.12
"2008-06-03",95.47,96.16,94.43,94.99,5493800,39.67
"2008-06-04",95.51,95.86,93.18,94.47,4800200,39.46
"2008-06-05",94.75,96.83,94.15,96.69,4474600,40.38
"2008-06-06",96.56,96.56,93.37,93.37,4416200,39
"2008-06-09",95.92,96.49,94.19,95.52,4969600,39.9
"2008-06-10",94.75,95.36,93.65,94.37,3063200,39.42
"2008-06-11",93.68,94.17,91.82,92.41,4041600,38.6
"2008-06-12",93.09,97.03,93.09,95.47,5389200,39.87
"2008-06-13",96.36,97.35,95.11,96.04,5145800,40.11
"2008-06-16",95.59,96.6,95.27,96.18,4240600,40.17
"2008-06-17",97.34,97.93,95.32,95.51,2718600,39.89
"2008-06-18",95,95,93.02,94.17,3334800,39.33
"2008-06-19",94.41,95.98,93.82,95.92,2890000,40.06
"2008-06-20",95.43,95.43,92.82,93.44,3644800,39.03
"2008-06-23",94.02,94.7,92.69,92.94,2915800,38.82
"2008-06-24",92.7,92.72,90.93,91,4470800,38.01
"2008-06-25",90.64,91.52,88.38,88.55,7906000,36.98
"2008-06-26",87.94,87.94,84.7,85.15,7455400,35.56
"2008-06-27",84.89,85.34,82.5,84.2,7260000,35.17
"2008-06-30",84.26,85.88,84.26,84.97,4936200,35.49
"2008-07-01",83.5,84.88,82,84.33,5277400,35.22
"2008-07-02",84.84,84.84,82.15,82.2,3490000,34.33
"2008-07-03",82.92,83.88,82.28,83.21,2612400,34.75
"2008-07-07",83.75,84.96,81.79,82.22,5365400,34.34
"2008-07-08",81.75,83.51,81.1,83.28,3369600,34.78
"2008-07-09",83.78,84.45,80.91,80.91,3116200,33.79
"2008-07-10",80.51,82.32,79,81.43,5562200,34.01
"2008-07-11",82.32,82.33,79.44,80.93,4284200,33.8
"2008-07-14",81.99,81.99,78.23,79.89,6079800,33.37
"2008-07-15",72.01,74.47,68.75,74.47,21619800,31.1
"2008-07-16",74.47,75.72,71.73,73.37,11958000,30.64
"2008-07-17",73.37,74.22,72.01,74.08,8401400,30.94
"2008-07-18",74.29,74.59,71.19,72.92,6768000,30.46
"2008-07-21",73.73,73.92,71.18,71.58,7189800,29.9
"2008-07-22",71.66,73.41,70.31,73.24,4810600,30.59
"2008-07-23",72.78,74.19,72.41,73.55,4490600,30.72
"2008-07-24",73.64,73.64,70.33,70.33,6397200,29.37
"2008-07-25",70.5,71.24,69.85,71,3660200,29.65
"2008-07-28",70.88,71.28,69.08,69.08,2902200,28.85
"2008-07-29",69.55,70.16,69.15,69.98,4804000,29.23
"2008-07-30",70.59,72.93,70.35,72.59,3622000,30.32
"2008-07-31",71.72,72.43,70.87,71.04,4887600,29.88
"2008-08-01",71.44,71.62,68.95,69.44,3571000,29.2
"2008-08-04",69.4,69.5,68.17,68.55,3390200,28.83
"2008-08-05",68.83,71.9,68.83,71.62,4962400,30.12
"2008-08-06",71.42,72.05,70.64,71.95,5862200,30.26
"2008-08-07",71.28,71.97,70.23,71.3,4672400,29.99
"2008-08-08",71.68,72.99,71,72.65,3327200,30.55
"2008-08-11",73.14,75.04,72.12,74.12,3689000,31.17
"2008-08-12",74.14,74.33,72.53,72.86,2123200,30.64
"2008-08-13",72.43,73.03,70.84,72.52,3712800,30.5
"2008-08-14",71.69,73.51,71.44,72.67,2426200,30.56
"2008-08-15",72.8,73.62,72.34,73.52,3023800,30.92
"2008-08-18",73.84,74.22,72.03,72.53,2218000,30.5
"2008-08-19",72.04,72.51,70.75,71.58,2985400,30.1
"2008-08-20",71.52,71.68,70.48,71.55,3033400,30.09
"2008-08-21",70.78,71.55,70.14,71.09,1929400,29.9
"2008-08-22",71.7,72.33,71.14,71.94,1275800,30.26
"2008-08-25",72.1,72.22,70.64,70.96,1989600,29.84
"2008-08-26",70.88,71.3,69.82,70.74,2110600,29.75
"2008-08-27",71.14,72.05,70.7,71.38,1983000,30.02
"2008-08-28",71.95,73.79,71.79,73.75,2611200,31.02
"2008-08-29",73.49,74.23,73.12,73.18,2006400,30.78
"2008-09-02",74.26,75.72,71.71,72.04,3321800,30.3
"2008-09-03",72.03,72.94,70.5,71.53,1975400,30.08
"2008-09-04",70.95,70.95,68.66,69.27,4290600,29.13
"2008-09-05",68.83,70.02,67.52,69.67,3458000,29.3
"2008-09-08",71.04,73.36,69.64,70.77,4241800,29.76
"2008-09-09",71.07,71.21,67.12,67.12,3063200,28.23
"2008-09-10",67.65,71.09,67.23,69.94,5336000,29.41
"2008-09-11",68.33,71.17,66.3,71.17,5950000,29.93
"2008-09-12",70.6,71.7,69.11,71.45,2767400,30.05
"2008-09-15",68.56,71.3,68.56,68.73,3499000,28.91
"2008-09-16",67.1,68.88,65.86,68.37,6065400,28.75
"2008-09-17",66.93,66.93,64.78,65.3,5422600,27.46
"2008-09-18",64.97,68.58,62.51,67.9,6069800,28.56
"2008-09-19",70.09,71.38,67.96,69.33,5002400,29.16
"2008-09-22",68.51,69.33,66.13,66.34,2823200,27.9
"2008-09-23",66.42,66.42,62.61,62.92,4623600,26.46
"2008-09-24",63.31,63.52,59.61,59.97,8803200,25.22
"2008-09-25",60.47,61.07,59.33,59.49,6638600,25.02
