"","ETN.Open","ETN.High","ETN.Low","ETN.Close","ETN.Volume","ETN.Adjusted"
"2007-01-03",74.89,75.92,74.89,75.19,2639600,30.44
"2007-01-04",75.18,75.64,74.52,75.26,1442000,30.47
"2007-01-05",74.75,75.17,74.28,74.62,1275800,30.21
"2007-01-08",74.5,74.92,73.89,74.58,2029000,30.2
"2007-01-09",73.9,74.52,73.4,74.22,2994800,30.05
"2007-01-10",74.16,74.39,73.22,74.25,3783800,30.06
"2007-01-11",72.18,74.63,71.91,74.28,5331800,30.07
"2007-01-12",74.3,74.52,73.85,74.52,2751800,30.17
"2007-01-16",74.82,75.16,74.41,75.15,1623000,30.43
"2007-01-17",75.5,77.68,75.3,76.83,3582000,31.11
"2007-01-18",76.26,77.08,76.09,76.34,2118400,30.91
"2007-01-19",76.9,78.23,76.75,77.65,2878600,31.44
"2007-01-22",77.21,77.21,72.18,73.8,8213200,29.88
"2007-01-23",74.15,76.12,73.9,76.07,3895200,30.8
"2007-01-24",75.8,76.2,75.26,75.91,1983200,30.73
"2007-01-25",75.58,75.88,74.96,74.99,2491600,30.36
"2007-01-26",74.94,75.81,74.81,75.65,2434400,30.63
"2007-01-29",75.66,76.57,75.19,76.25,3970000,30.87
"2007-01-30",76.57,77,75.91,76.96,3078400,31.16
"2007-01-31",76.96,78.58,76.7,78.35,2392200,31.72
"2007-02-01",78.04,78.55,77.63,78.35,2402600,31.9
"2007-02-02",77.91,79,77.69,78.62,1883400,32.01
"2007-02-05",78.5,79.11,78.25,78.82,1653400,32.09
"2007-02-06",78.67,78.67,77.89,78.11,1875000,31.8
"2007-02-07",78.11,78.59,77.67,78.54,1369600,31.97
"2007-02-08",78.35,78.36,77.38,77.82,1920800,31.68
"2007-02-09",78.02,78.24,77.19,77.43,1649600,31.52
"2007-02-12",77.43,77.55,76.78,77.22,1133600,31.44
"2007-02-13",77.55,78.26,77.32,78.03,1120200,31.77
"2007-02-14",78.4,79.36,78.02,79.23,2458800,32.26
"2007-02-15",79.35,80.23,79.1,79.91,2247000,32.53
"2007-02-16",79.91,79.95,79.23,79.48,1608800,32.36
"2007-02-20",79.49,79.9,78.88,79.65,1867600,32.43
"2007-02-21",79.27,80.88,79.27,80.78,2220200,32.89
"2007-02-22",81.05,83.47,80.82,83.35,5482800,33.93
"2007-02-23",84.4,84.89,83.48,84.04,3669800,34.21
"2007-02-26",83.82,84.36,83.17,83.41,2444800,33.96
"2007-02-27",82.27,82.5,79.12,80.01,3618600,32.57
"2007-02-28",80.38,81.47,79.89,81,2839400,32.98
"2007-03-01",79.25,81.41,78.5,81.01,3108000,32.98
"2007-03-02",80.38,81.15,79.63,79.73,1829400,32.46
"2007-03-05",79.7,80.88,78.9,79.38,2705400,32.32
"2007-03-06",80.07,81.19,79.72,80.89,1915200,32.93
"2007-03-07",81,81.65,80.72,80.87,1980800,32.92
"2007-03-08",81.12,81.84,81.12,81.57,1840400,33.21
