"","WAT.Open","WAT.High","WAT.Low","WAT.Close","WAT.Volume","WAT.Adjusted"
"2007-05-16",60.51,61.32,60.41,61.27,938300,61.27
"2007-05-17",61.22,61.24,60.48,61.13,627000,61.13
"2007-05-18",61.22,61.39,60.69,61.38,879900,61.38
"2007-05-21",61.37,61.47,61.04,61.12,874400,61.12
"2007-05-22",61.06,61.12,60.44,60.7,800300,60.7
"2007-05-23",60.7,60.76,59.81,60.01,912600,60.01
"2007-05-24",60.02,60.8,59.86,60.12,1060700,60.12
"2007-05-25",60.2,60.78,60.05,60.64,510300,60.64
"2007-05-29",60.8,60.95,60.28,60.57,603600,60.57
"2007-05-30",60.4,60.54,59.97,60.38,715400,60.38
"2007-05-31",60.53,60.64,60.19,60.3,809400,60.3
"2007-06-01",60.3,60.7,60.02,60.08,663700,60.08
"2007-06-04",60.02,60.06,59.37,59.73,637600,59.73
"2007-06-05",59.65,59.71,59.12,59.61,734800,59.61
"2007-06-06",59.61,61.5,59.36,61,2388500,61
"2007-06-07",60.87,61.03,60.19,60.24,1623500,60.24
"2007-06-08",60,60.3,59.8,60.3,1007900,60.3
"2007-06-11",60.45,61.75,60.28,61.24,1420000,61.24
"2007-06-12",60.86,61,60.42,60.53,1157800,60.53
"2007-06-13",60.69,61.08,60.26,61.01,760900,61.01
"2007-06-14",61.01,61.35,60.64,60.9,740900,60.9
"2007-06-15",61.09,61.28,60.8,61.03,560900,61.03
"2007-06-18",61.17,61.4,60.53,60.71,333000,60.71
"2007-06-19",60.75,60.91,60.29,60.44,524900,60.44
"2007-06-20",60.3,60.6,59.87,59.87,456500,59.87
"2007-06-21",59.88,60.06,59.29,59.94,695800,59.94
"2007-06-22",59,59.44,58.76,59.13,943800,59.13
"2007-06-25",59.19,60.13,58.98,59.95,909800,59.95
"2007-06-26",60.09,60.45,59.53,59.96,606400,59.96
"2007-06-27",59.5,60.12,59.34,60,537300,60
"2007-06-28",60.01,60.58,59.65,60.08,569200,60.08
"2007-06-29",60.04,60.09,59.18,59.36,636700,59.36
"2007-07-02",59.36,60.09,58.87,59.99,630100,59.99
"2007-07-03",60.04,60.66,60.04,60.5,157000,60.5
"2007-07-05",60.5,61.08,60.28,60.64,620200,60.64
"2007-07-06",60.69,61.25,60.21,61,426100,61
"2007-07-09",60.87,60.98,59.99,60.88,463300,60.88
"2007-07-10",60.41,61.22,60.4,60.83,827000,60.83
"2007-07-11",60.9,61.59,60.74,61.59,662300,61.59
"2007-07-12",61.63,62.69,61.33,62.64,897800,62.64
"2007-07-13",62.8,62.8,61.04,61.58,858100,61.58
"2007-07-16",61.58,61.76,61.09,61.58,544100,61.58
"2007-07-17",61.55,62,61.05,61.89,515400,61.89
"2007-07-18",61.4,61.59,60.87,61.51,477300,61.51
"2007-07-19",61.65,61.75,60.32,61.49,708800,61.49
"2007-07-20",61.39,61.58,60.55,61.3,1017400,61.3
"2007-07-23",61.6,62.56,61.03,62.21,768000,62.21
"2007-07-24",62.66,63.38,59.19,59.35,2184300,59.35
"2007-07-25",60.06,61.59,59.67,60.16,1940900,60.16
"2007-07-26",59.67,60.33,58.66,60.16,1446700,60.16
"2007-07-27",58.08,60.33,57.54,59.08,1041200,59.08
"2007-07-30",58.2,59.45,57.9,58.98,1155900,58.98
"2007-07-31",59.23,59.23,58.19,58.26,948500,58.26
"2007-08-01",58.1,59.4,57.64,59.36,925000,59.36
"2007-08-02",58.75,61.2,57.59,60.76,1042000,60.76
"2007-08-03",60.76,63.05,60.72,60.77,1312700,60.77
"2007-08-06",61.45,62.9,60.81,62.9,1156000,62.9
"2007-08-07",62.3,63.84,62.14,63.31,985900,63.31
"2007-08-08",63.57,64.5,62.97,63.52,992000,63.52
"2007-08-09",63.18,63.78,59.34,60.02,1355900,60.02
"2007-08-10",59.5,62.91,58.06,62.53,1459500,62.53
"2007-08-13",62.3,62.56,60.86,61.73,491900,61.73
"2007-08-14",62,62.57,61.55,62.02,631300,62.02
"2007-08-15",61.55,62.92,61.26,62.26,744100,62.26
"2007-08-16",62.39,63.92,57.12,59.13,1374400,59.13
"2007-08-17",60.02,61.68,59.03,61.58,929800,61.58
"2007-08-20",61.58,61.97,60.56,61.15,461900,61.15
"2007-08-21",60.93,62.04,60.12,61.35,697400,61.35
"2007-08-22",61.68,61.68,60.61,61.45,477100,61.45
"2007-08-23",61.77,62.4,61.71,62,478000,62
"2007-08-24",62.41,63.49,61.68,62.92,529700,62.92
"2007-08-27",62.15,62.55,61.19,61.61,468200,61.61
"2007-08-28",61.45,61.62,60.91,60.95,366600,60.95
"2007-08-29",61.32,61.79,60.92,61.72,352600,61.72
"2007-08-30",61.12,61.93,61.03,61.13,319100,61.13
"2007-08-31",61.79,61.8,61.09,61.57,414100,61.57
"2007-09-04",61.75,62.74,61.43,62.51,479000,62.51
"2007-09-05",62.03,63.38,61.91,62.55,885600,62.55
"2007-09-06",62.9,63.19,61.78,63.11,503900,63.11
"2007-09-07",62.47,63.98,62.36,62.86,647900,62.86
"2007-09-10",63.28,63.29,62.45,62.76,264300,62.76
"2007-09-11",63.06,64.17,63,63.62,701200,63.62
"2007-09-12",63.36,63.81,63.11,63.54,395700,63.54
"2007-09-13",63.98,64.32,63.3,64.21,619800,64.21
"2007-09-14",64.21,65.91,64.06,65.55,1110100,65.55
"2007-09-17",65.62,66.19,64.84,65.89,727000,65.89
"2007-09-18",65.9,67,64.51,66.46,1106600,66.46
"2007-09-19",66.9,68.21,66.63,67.46,694000,67.46
"2007-09-20",67.31,68.69,67.22,67.39,627000,67.39
"2007-09-21",67.59,68.42,66.95,67.36,759600,67.36
"2007-09-24",67.14,68.05,66.67,66.77,740400,66.77
"2007-09-25",66.93,67.39,66.5,67.28,626700,67.28
"2007-09-26",67.72,68.39,67.57,68.19,436100,68.19
"2007-09-27",68.27,68.5,67.77,67.95,349500,67.95
"2007-09-28",67.57,67.8,66.72,66.92,485200,66.92
"2007-10-01",67.46,68.39,67.34,67.43,583400,67.43
"2007-10-02",67.76,67.82,66.73,67,345500,67
"2007-10-03",66.73,66.77,66.15,66.37,333700,66.37
"2007-10-04",66.92,66.97,66.42,66.85,349600,66.85
"2007-10-05",67.09,67.98,67.09,67.51,407200,67.51
"2007-10-08",67.69,67.95,67.31,67.31,262100,67.31
"2007-10-09",67.46,67.46,66.52,66.96,513500,66.96
"2007-10-10",66.08,67.24,66.08,66.65,712000,66.65
"2007-10-11",67.1,67.17,66,66.2,476300,66.2
"2007-10-12",66.4,67.27,66.37,66.69,829400,66.69
"2007-10-15",67.05,67.9,66.23,66.79,723200,66.79
"2007-10-16",66.71,68,66.7,67.95,703600,67.95
"2007-10-17",68.6,68.77,67.64,68.21,827500,68.21
"2007-10-18",68.18,69,68,68.54,617000,68.54
"2007-10-19",68.52,68.93,67.39,67.39,678200,67.39
"2007-10-22",67.03,67.89,66.95,67.84,595700,67.84
"2007-10-23",69,73.97,69,73.92,2418400,73.92
"2007-10-24",73.9,75.89,71.92,75.43,1583100,75.43
"2007-10-25",75,76.5,74.82,75.85,1336000,75.85
"2007-10-26",75.99,76.31,74.96,75.63,765300,75.63
"2007-10-29",75.74,76.6,75.65,75.95,517200,75.95
"2007-10-30",75.94,75.99,74.84,75.22,585300,75.22
"2007-10-31",75.49,77.04,75.4,76.98,868300,76.98
"2007-11-01",76.47,77.27,75.48,75.65,713000,75.65
"2007-11-02",75.89,76,74.46,75.28,970800,75.28
"2007-11-05",75.56,77.18,74.08,75.26,846800,75.26
"2007-11-06",75.64,75.64,73.64,74.75,827800,74.75
"2007-11-07",74.43,75.61,74.17,74.97,1017700,74.97
"2007-11-08",75.33,75.8,73.89,75.65,891800,75.65
"2007-11-09",74.88,75.32,73.99,74.35,699300,74.35
"2007-11-12",74.35,74.81,73.15,73.39,713900,73.39
"2007-11-13",73.29,74.96,72.05,74.96,859900,74.96
"2007-11-14",75.02,75.73,74.34,75.21,852500,75.21
"2007-11-15",74.76,75.28,73.82,74.38,647900,74.38
"2007-11-16",74.93,76.57,74.33,76.57,1010000,76.57
"2007-11-19",76.24,76.57,75.08,76.52,931000,76.52
"2007-11-20",76.53,77.98,76.14,76.79,1263600,76.79
"2007-11-21",76.31,77.1,76.26,76.48,896100,76.48
"2007-11-23",76.88,77.52,76.65,77.35,239100,77.35
"2007-11-26",77.15,77.8,76.6,76.75,632500,76.75
"2007-11-27",76.99,77.71,76.7,77.54,515000,77.54
"2007-11-28",78.18,78.27,76.57,78.27,719000,78.27
"2007-11-29",78.17,78.3,77.52,77.71,509300,77.71
"2007-11-30",78.48,78.48,77.58,78.04,660400,78.04
"2007-12-03",78,79.44,78,78.93,681300,78.93
"2007-12-04",78.62,80,78.46,79.97,1148500,79.97
"2007-12-05",79.97,80.85,79.49,79.99,719200,79.99
"2007-12-06",79.64,80.11,78.47,79.98,601500,79.98
"2007-12-07",80.16,80.19,78.71,79.22,603400,79.22
"2007-12-10",79.28,79.86,78.47,78.82,556600,78.82
"2007-12-11",78.58,79.41,77.94,77.94,611700,77.94
"2007-12-12",79.53,79.84,78.16,79.62,1334500,79.62
"2007-12-13",79.39,80.5,79.11,80.07,916700,80.07
"2007-12-14",80.41,81.53,79.23,80.07,970700,80.07
"2007-12-17",79.88,79.99,78.05,78.05,648600,78.05
"2007-12-18",78.46,78.92,76.65,77.29,700600,77.29
"2007-12-19",77.46,77.79,76.7,76.71,696400,76.71
"2007-12-20",76.66,77.38,76.55,77.28,699000,77.28
"2007-12-21",78.03,78.1,77.36,77.86,1023500,77.86
"2007-12-24",78.22,78.73,78.02,78.37,184900,78.37
"2007-12-26",78.35,79.68,78.1,79.63,467500,79.63
"2007-12-27",79.67,79.75,78.81,78.95,476700,78.95
"2007-12-28",79.22,79.7,78.77,79.43,472500,79.43
"2007-12-31",78.99,79.7,78.92,79.07,401900,79.07
"2008-01-02",78.61,79.08,76.54,76.75,871700,76.75
"2008-01-03",77.29,77.96,77.03,77.79,676300,77.79
"2008-01-04",77.59,78.65,76.93,77.51,1044200,77.51
"2008-01-07",77.83,78.74,77.53,78.28,771500,78.28
"2008-01-08",79,81.84,78.94,79.71,1555800,79.71
"2008-01-09",79.74,80.39,78.82,80.11,804100,80.11
"2008-01-10",79.68,80.42,79.25,80.03,1319400,80.03
"2008-01-11",79.55,80.3,78.4,78.7,692900,78.7
"2008-01-14",79.48,80.68,78.8,80.43,820300,80.43
"2008-01-15",79.29,81.16,79.22,80.77,1065000,80.77
"2008-01-16",80.4,81.72,76.84,77.46,1481600,77.46
"2008-01-17",77.53,79.1,76.35,76.4,1089600,76.4
"2008-01-18",76.77,77.48,71.83,73.23,2173300,73.23
"2008-01-22",62.25,62.27,57.42,58.58,6002000,58.58
"2008-01-23",56.6,57.5,54.32,55.27,4758000,55.27
"2008-01-24",55.37,57.63,55.07,56.04,4194400,56.04
"2008-01-25",56.93,57.63,55.49,57.07,3120200,57.07
"2008-01-28",57.09,57.09,55.3,56.55,2552700,56.55
"2008-01-29",56.95,59.08,56.51,58.16,2759000,58.16
"2008-01-30",58.56,59.03,57.21,58.23,2023600,58.23
"2008-01-31",58.03,58.03,56.79,57.3,2458000,57.3
"2008-02-01",57.57,60.66,56.75,60.62,2388700,60.62
"2008-02-04",60.64,61.03,59.69,60.06,1580500,60.06
"2008-02-05",59.32,59.48,58.23,59.28,1632800,59.28
"2008-02-06",59.57,60.86,59.25,59.38,1868200,59.38
"2008-02-07",59.27,60.68,58.59,60.57,2004100,60.57
"2008-02-08",60.45,60.52,59.71,60.16,1458900,60.16
"2008-02-11",60.26,61.56,59.22,60.75,1626800,60.75
"2008-02-12",61.19,62.27,60.68,62.08,1269300,62.08
"2008-02-13",62.46,62.46,60.82,61.34,870800,61.34
"2008-02-14",61.41,61.66,60.21,60.25,684100,60.25
"2008-02-15",60.13,60.5,59.84,60.37,950300,60.37
"2008-02-19",61.17,61.43,59.6,59.71,635900,59.71
"2008-02-20",59.31,61.15,59.29,61.05,1422900,61.05
"2008-02-21",61.24,61.31,58.9,59.42,1398900,59.42
"2008-02-22",59.55,60.24,59.05,60.07,1075700,60.07
"2008-02-25",59.99,60.8,59.99,60.58,830100,60.58
"2008-02-26",60.41,61.03,60.29,60.97,936100,60.97
"2008-02-27",60.63,61.76,60.48,60.87,623600,60.87
"2008-02-28",60.7,61.17,60.47,60.62,550300,60.62
"2008-02-29",59.83,60,59.19,59.61,714900,59.61
"2008-03-03",59.5,60.3,59.4,60.17,1055900,60.17
"2008-03-04",59.97,61.13,59.89,60.81,1665700,60.81
"2008-03-05",61,61.16,59.96,60.85,1279700,60.85
"2008-03-06",60.62,61.54,60.49,60.64,1372600,60.64
"2008-03-07",60.04,60.76,58.51,59.1,1491700,59.1
"2008-03-10",58.74,59.21,57.43,57.79,1136100,57.79
"2008-03-11",58.96,59.15,58.22,59.15,953700,59.15
"2008-03-12",59.39,59.93,58.89,59.22,755900,59.22
"2008-03-13",58.65,59.62,58.22,59.13,970600,59.13
"2008-03-14",59.14,59.91,57.13,57.55,1137400,57.55
"2008-03-17",56.31,57.35,56.31,56.88,1067700,56.88
"2008-03-18",57.66,58.26,56.48,57.28,1514300,57.28
"2008-03-19",57.28,57.82,54.09,54.14,2525600,54.14
"2008-03-20",54.21,54.42,52.52,52.59,2739100,52.59
"2008-03-24",52.78,53.1,51.92,52.93,2771500,52.93
"2008-03-25",52.73,53.94,52.52,53.68,2167000,53.68
"2008-03-26",55.25,56.75,54.14,56.19,2545900,56.19
"2008-03-27",56.17,57.27,55.9,56.41,2288400,56.41
"2008-03-28",56.69,56.83,55.56,55.72,799800,55.72
"2008-03-31",55.87,56.03,55.29,55.7,1336300,55.7
"2008-04-01",56,57.09,55.98,57.07,1360800,57.07
"2008-04-02",57.3,57.49,56.81,57.38,1176100,57.38
"2008-04-03",56.92,57.44,55.97,56.44,985300,56.44
"2008-04-04",56.64,56.92,56.19,56.38,825200,56.38
"2008-04-07",56.74,56.74,55.84,55.97,625300,55.97
"2008-04-08",55.68,56.7,55.62,56.58,703300,56.58
"2008-04-09",56.5,57.08,56.5,56.78,655100,56.78
"2008-04-10",56.46,57.17,56.46,56.97,749700,56.97
"2008-04-11",56.42,57.6,56.42,56.63,1285300,56.63
"2008-04-14",56.91,56.96,56.07,56.32,478600,56.32
"2008-04-15",55.97,55.97,52.05,53.7,2969400,53.7
"2008-04-16",53.76,54.19,53.25,53.98,1930900,53.98
"2008-04-17",54.07,54.3,53.64,53.94,1191700,53.94
"2008-04-18",54.98,55.03,54.14,54.77,1464900,54.77
"2008-04-21",54.78,55.31,53.91,54.55,1247300,54.55
"2008-04-22",56.03,59.42,56.03,57.28,3282900,57.28
"2008-04-23",57.91,58,56.69,57.78,2334400,57.78
"2008-04-24",58.13,58.13,57,57.37,1193900,57.37
"2008-04-25",57.71,58.77,57.09,58.47,1106000,58.47
"2008-04-28",58.67,59.92,58.67,59.92,1007900,59.92
"2008-04-29",59.61,60,58.98,59.12,1344400,59.12
"2008-04-30",59.61,62.42,59.01,61.46,1859200,61.46
"2008-05-01",61.85,62.47,61,62.44,928800,62.44
"2008-05-02",63,63.23,62.25,62.34,955400,62.34
"2008-05-05",62.01,62.42,61.34,62.41,776400,62.41
"2008-05-06",61.99,62.3,61.6,62.06,868600,62.06
"2008-05-07",61.95,63.1,61.86,62.02,865900,62.02
"2008-05-08",62.19,62.96,61.87,62.85,569600,62.85
"2008-05-09",62.9,63.67,62.25,63.41,840600,63.41
"2008-05-12",63.49,64.07,63.1,63.99,509100,63.99
"2008-05-13",64.41,64.48,63.55,64.43,771900,64.43
"2008-05-14",64.42,64.63,63.7,64.02,716400,64.02
"2008-05-15",64,64.65,63.93,64.59,518800,64.59
"2008-05-16",64.75,64.75,63.73,64.38,745400,64.38
"2008-05-19",64.46,64.71,63.56,64.08,769400,64.08
"2008-05-20",63.68,64.25,63.27,63.64,743200,63.64
"2008-05-21",63.56,64.24,62.38,62.42,857200,62.42
"2008-05-22",62.81,63.94,62.16,63.78,1024700,63.78
"2008-05-23",63.99,63.99,63,63.2,659500,63.2
"2008-05-27",63.35,63.89,63.12,63.69,325900,63.69
"2008-05-28",64.05,64.05,61.66,61.99,1144100,61.99
"2008-05-29",62.1,62.19,61.18,61.61,1246600,61.61
"2008-05-30",61.54,62.08,61.4,61.52,1358800,61.52
"2008-06-02",61.59,61.7,60.58,61.19,874300,61.19
"2008-06-03",61.33,61.33,60.02,60.34,1176900,60.34
"2008-06-04",60.42,62.27,60.23,61.51,713400,61.51
"2008-06-05",61.31,62.77,61.12,62.7,823800,62.7
"2008-06-06",61.98,62.33,61.33,61.33,935800,61.33
"2008-06-09",61.21,61.23,60,60.43,1295900,60.43
"2008-06-10",60.15,60.46,59.46,60.09,878100,60.09
"2008-06-11",59.66,60.1,59.3,59.33,532500,59.33
"2008-06-12",60.1,62.74,60.09,61.62,1199100,61.62
"2008-06-13",61.78,62.67,61.42,62.29,666400,62.29
"2008-06-16",61.93,63.21,61.55,62.91,811200,62.91
"2008-06-17",63.11,63.24,62.16,62.29,548000,62.29
"2008-06-18",62.2,63.32,62.02,63,802300,63
"2008-06-19",63.1,63.98,62.82,63.94,658200,63.94
"2008-06-20",62.83,63.68,61.66,62.94,628100,62.94
"2008-06-23",63.34,63.71,63.05,63.38,679600,63.38
"2008-06-24",63.5,63.73,62.93,63.43,1162300,63.43
"2008-06-25",63.77,65,63.51,64.63,968200,64.63
"2008-06-26",64.3,65.34,63.79,64.7,1193500,64.7
"2008-06-27",64.68,65.31,64.33,65.17,1449500,65.17
"2008-06-30",64.95,65.16,64.38,64.5,1288100,64.5
"2008-07-01",64.13,65.72,64.05,65.52,1324400,65.52
"2008-07-02",65.77,66.25,65.01,65.35,1140300,65.35
"2008-07-03",65.63,65.94,64.14,65.31,602900,65.31
"2008-07-07",65.65,66.09,65.09,65.38,1091800,65.38
"2008-07-08",65.01,67.13,64.91,66.94,1009700,66.94
"2008-07-09",66.75,67.4,66.07,66.32,843800,66.32
"2008-07-10",66.43,66.68,64.75,66.25,1048400,66.25
"2008-07-11",65.75,65.97,64.66,65.19,1145600,65.19
"2008-07-14",65.82,66.25,64.29,64.86,1310500,64.86
"2008-07-15",64.14,65.18,62.9,63.7,1628000,63.7
"2008-07-16",63.64,64.84,63.59,64.6,741100,64.6
"2008-07-17",64.41,64.81,62.12,62.69,1779600,62.69
"2008-07-18",62.69,63.08,62.26,62.7,1208600,62.7
"2008-07-21",62.81,62.81,62.07,62.32,1421300,62.32
"2008-07-22",64.95,69.61,64.54,69.23,3303200,69.23
"2008-07-23",69.32,70.31,68.37,68.5,1147000,68.5
"2008-07-24",68.8,68.92,66.46,67.46,1292500,67.46
"2008-07-25",67.58,67.92,66.85,67.31,755700,67.31
"2008-07-28",67.3,68.03,66.69,66.85,1115400,66.85
"2008-07-29",67.37,67.5,66.53,66.92,667200,66.92
"2008-07-30",67.41,67.6,66.78,67.48,826300,67.48
"2008-07-31",67.46,68.84,67.35,67.94,1206500,67.94
"2008-08-01",67.72,67.9,66.71,66.95,539500,66.95
"2008-08-04",67.23,67.23,66.15,66.4,450500,66.4
"2008-08-05",66.61,67.9,66.28,67.9,819200,67.9
"2008-08-06",67.6,68.46,67.36,68.29,754500,68.29
"2008-08-07",68.01,69.21,67.29,68.19,1081900,68.19
"2008-08-08",68.02,69.88,67.67,69.18,886300,69.18
"2008-08-11",69.58,70.5,69.14,69.82,679700,69.82
"2008-08-12",69.55,70.34,69.26,69.81,571500,69.81
"2008-08-13",69.78,70.2,69.06,69.39,397000,69.39
"2008-08-14",69.02,69.84,68.32,69.63,403000,69.63
"2008-08-15",69.78,70.43,69.77,70.19,424400,70.19
"2008-08-18",70.58,71,69.66,69.94,562000,69.94
"2008-08-19",69.56,70.09,68.81,69.65,724600,69.65
"2008-08-20",69.65,69.73,68.33,68.69,810300,68.69
"2008-08-21",68.34,68.42,67.51,67.94,1250600,67.94
"2008-08-22",68.08,69.07,68.08,68.91,380000,68.91
"2008-08-25",68.51,68.66,67.27,67.65,1180500,67.65
"2008-08-26",67.62,67.64,66.66,66.93,550000,66.93
"2008-08-27",66.92,67.26,66.36,67.09,583100,67.09
"2008-08-28",67.35,69.36,67.35,68.67,445200,68.67
"2008-08-29",68.13,69.06,68.12,68.25,434400,68.25
"2008-09-02",68.59,70.53,68.59,69.28,783400,69.28
"2008-09-03",69.25,69.25,67.97,68.61,1055100,68.61
"2008-09-04",68.23,68.26,64.15,64.2,1648800,64.2
"2008-09-05",64.24,64.91,62.82,64.02,1104300,64.02
"2008-09-08",64.91,65.55,63.74,64.08,899300,64.08
"2008-09-09",64.28,64.44,62.66,62.66,830400,62.66
"2008-09-10",62.79,63.24,61.69,62.16,1318800,62.16
"2008-09-11",61.93,62.78,61.33,62.43,1134300,62.43
"2008-09-12",62.32,62.67,61.68,62.28,1155200,62.28
"2008-09-15",60.42,61.19,60.18,60.19,996100,60.19
"2008-09-16",59.23,59.71,57.42,59.12,1670500,59.12
"2008-09-17",57.68,57.86,55.84,56.15,2551800,56.15
"2008-09-18",56.56,59.99,53.1,55.52,2268800,55.52
"2008-09-19",57.11,61.81,56.02,57.65,1334100,57.65
"2008-09-22",57.66,58.74,55.71,55.95,650800,55.95
"2008-09-23",55.95,56.95,55.07,55.82,1155900,55.82
"2008-09-24",55.56,59.62,55.1,57.04,1912400,57.04
"2008-09-25",57.28,59.66,57.28,59.28,1325700,59.28
"2008-09-26",58.89,59.98,58.46,59.65,891900,59.65
"2008-09-29",58.88,59.43,56.78,56.78,1497700,56.78
"2008-09-30",56.98,58.76,56.17,58.18,1249800,58.18
"2008-10-01",57.91,58.61,57.03,57.66,860800,57.66
"2008-10-02",57.43,57.57,54.3,54.43,1245200,54.43
"2008-10-03",55.16,56.37,53.78,54.06,985000,54.06
"2008-10-06",53.21,53.79,49.3,50.76,2783300,50.76
"2008-10-07",51,52.68,50.75,51.65,2074200,51.65
"2008-10-08",51.23,52.96,50.33,51.09,1398100,51.09
"2008-10-09",50.97,51.95,48.99,48.99,1698000,48.99
"2008-10-10",47.45,47.52,43.55,45.69,1626600,45.69
"2008-10-13",47.37,49.66,46.34,49.66,1511100,49.66
"2008-10-14",50.95,51,46.79,48.31,1726300,48.31
"2008-10-15",48.32,48.32,42.68,42.75,1478100,42.75
"2008-10-16",42.33,45.48,41.6,45.48,1272700,45.48
"2008-10-17",41.52,46.55,41.52,45.87,1730200,45.87
"2008-10-20",45.5,49,45.5,48.86,1348000,48.86
"2008-10-21",49.05,49.89,46.53,46.81,1876100,46.81
"2008-10-22",46.04,46.04,43.31,44.1,1593300,44.1
"2008-10-23",44.23,44.23,38.95,40.25,3304600,40.25
"2008-10-24",37.93,42.11,37.51,41.58,2280900,41.58
"2008-10-27",40.75,40.87,37.85,37.85,1821700,37.85
"2008-10-28",38.52,39.89,37,39.7,1583200,39.7
"2008-10-29",39.84,43.5,39.12,42.02,1784300,42.02
"2008-10-30",42.78,45.79,42.78,44.21,1816300,44.21
"2008-10-31",44.24,45.3,43.3,43.8,1341200,43.8
"2008-11-03",43.79,45.28,43.34,45.01,782400,45.01
"2008-11-04",45.52,46.77,44.7,45.21,873800,45.21
"2008-11-05",44.5,45.44,42.95,43.1,1116300,43.1
"2008-11-06",42.65,43.17,41.83,42.18,1165400,42.18
"2008-11-07",42.95,43.85,42.41,43.01,946100,43.01
"2008-11-10",43.5,44.3,41.95,42.51,834200,42.51
"2008-11-11",42.06,42.08,40.79,41.07,820400,41.07
"2008-11-12",40.58,41.09,38.38,38.42,1257700,38.42
"2008-11-13",38.52,40.83,38.02,40.77,1341700,40.77
"2008-11-14",40.23,41.23,38.88,39.14,880900,39.14
"2008-11-17",38.74,38.75,36.83,37.11,1650200,37.11
"2008-11-18",37.04,38.57,36.46,38.4,2121400,38.4
"2008-11-19",38.72,39.04,36.18,36.18,1735800,36.18
"2008-11-20",36.03,36.09,34.28,34.77,2701400,34.77
"2008-11-21",35.27,36.87,33.94,36.85,2533100,36.85
"2008-11-24",37.56,43.08,36.93,41.23,2688900,41.23
"2008-11-25",41.9,42.08,37.83,38.85,1984300,38.85
"2008-11-26",38.25,40.38,37.8,40.24,704400,40.24
"2008-11-28",40.04,41.58,40.02,41.23,412800,41.23
"2008-12-01",40.29,40.29,39.05,39.22,1358200,39.22
"2008-12-02",39.44,40.57,38.83,40.44,2776200,40.44
"2008-12-03",39.67,42.33,39.26,42.07,1119700,42.07
"2008-12-04",41.86,42.49,39.55,40.06,2406700,40.06
"2008-12-05",39.93,40.53,38.69,40.46,2157000,40.46
"2008-12-08",41.31,42.46,41.12,41.84,1615900,41.84
"2008-12-09",41.42,42.02,40.32,40.54,1313900,40.54
"2008-12-10",41.02,42.69,40.66,41.2,876500,41.2
"2008-12-11",40.88,42.2,40.88,41.88,1491100,41.88
"2008-12-12",33.75,37.4,32.21,37.21,7146500,37.21
"2008-12-15",36.89,37.51,35.24,35.79,2613600,35.79
"2008-12-16",36.31,36.89,35.06,36.38,1631700,36.38
"2008-12-17",35.93,36.93,35.58,36.7,1332300,36.7
"2008-12-18",36.96,37.61,35.98,36.55,1425700,36.55
"2008-12-19",36.84,37.85,36.51,36.88,1242500,36.88
"2008-12-22",36.88,36.96,35.55,36.22,889600,36.22
"2008-12-23",36.4,36.86,35.66,35.98,540400,35.98
"2008-12-24",36.15,36.35,35.74,36.17,335500,36.17
"2008-12-26",36.47,36.74,35.82,36.1,647200,36.1
"2008-12-29",36.07,36.1,35.38,35.75,598000,35.75
"2008-12-30",35.93,36.36,35.84,36.25,772000,36.25
"2008-12-31",36.16,36.86,35.62,36.65,1107100,36.65
"2009-01-02",36.7,38.21,36.13,38.09,725700,38.09
"2009-01-05",37.98,38.46,37.38,38.3,1185400,38.3
"2009-01-06",38.45,39.24,38.13,39.02,1417800,39.02
"2009-01-07",38.32,38.48,36.55,38.04,867800,38.04
"2009-01-08",37.31,37.82,36.22,36.49,2158400,36.49
"2009-01-09",36.48,36.6,35.51,35.67,1516200,35.67
"2009-01-12",35.68,36.66,35.39,36.18,1125200,36.18
"2009-01-13",35.91,37.08,35.65,36.91,1362600,36.91
"2009-01-14",36.37,36.68,35.85,36.54,1529900,36.54
"2009-01-15",36.57,38.81,36.44,38.32,1788500,38.32
"2009-01-16",38.72,39.3,38.27,38.67,1600200,38.67
"2009-01-20",38.59,39.29,37.7,38.06,2352400,38.06
"2009-01-21",38.52,38.58,36.95,38.15,2086100,38.15
"2009-01-22",37.97,38.04,36.91,37.43,1250900,37.43
"2009-01-23",37.04,37.04,35.49,36.51,1824400,36.51
"2009-01-26",36.96,37.23,36.04,36.85,2108800,36.85
"2009-01-27",37.23,38.16,36.07,37.83,2753800,37.83
"2009-01-28",38.3,38.53,37.18,38.09,1322600,38.09
"2009-01-29",38.16,38.16,36.82,36.94,968100,36.94
"2009-01-30",37.02,37.02,35.75,36.17,1270000,36.17
"2009-02-02",35.66,36.7,35.28,36.33,1174900,36.33
"2009-02-03",34.97,37.3,34.93,37.05,939000,37.05
"2009-02-04",37.63,39.98,37.05,39.59,3772800,39.59
"2009-02-05",39.39,41.32,38.79,41.06,2189600,41.06
"2009-02-06",40.83,41.94,40.76,41.76,990700,41.76
"2009-02-09",41.95,41.96,40.9,41.03,1248400,41.03
"2009-02-10",40.79,41.51,39.27,39.35,1496600,39.35
"2009-02-11",39.12,39.29,38.54,39.14,1440100,39.14
"2009-02-12",38.74,40.19,38.23,40.11,1264800,40.11
"2009-02-13",40.3,41.24,40.16,40.91,1294700,40.91
"2009-02-17",39.89,40.1,39.15,39.21,1387800,39.21
"2009-02-18",39.13,39.4,37.2,37.65,2207100,37.65
"2009-02-19",38.07,38.58,37.64,37.75,1037300,37.75
"2009-02-20",37.5,38.02,36.75,37.36,1388400,37.36
