"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"2007-07-13",92.99,94.59,92.05,94.27,1090600,75.57
"2007-07-16",95.08,96.86,94.35,94.38,1581700,75.66
"2007-07-17",94.98,95,92.8,93.61,1583500,75.04
"2007-07-18",93.61,94.25,91.07,93.29,1921800,74.79
"2007-07-19",93.42,95.06,93,94.02,1019000,75.37
"2007-07-20",93.99,93.99,91.23,91.66,2167400,73.48
"2007-07-23",92.48,92.75,90.69,90.79,1403900,72.78
"2007-07-24",89.83,91.31,89.02,89.41,2364400,71.68
"2007-07-25",90.62,91.49,87.74,89.15,2139500,71.47
"2007-07-26",89.15,89.15,85.31,87.63,4316600,70.25
"2007-07-27",85.94,89.82,84.9,84.9,3702100,68.06
"2007-07-30",89.56,89.56,84.03,86.35,2732200,69.22
"2007-07-31",89.25,90.57,86.35,86.53,2771900,69.37
"2007-08-01",86.25,86.92,82.6,86.71,3079900,69.51
"2007-08-02",87.49,88.67,86.23,87.34,2092900,70.02
"2007-08-03",87.22,88,84.87,85.03,2855900,68.17
"2007-08-06",86.98,88.51,84.52,88.23,2836600,70.73
"2007-08-07",87.54,90.4,86.49,88.98,2439400,71.33
"2007-08-08",87.26,96.5,87.26,95.04,3602400,76.19
"2007-08-09",94.46,96.77,90.5,96.03,3330900,76.98
"2007-08-10",94.22,95.32,90.69,90.99,2582600,72.94
"2007-08-13",92.9,93.07,90.6,91.35,1724900,73.23
"2007-08-14",90.81,90.95,88.57,88.97,2599000,71.32
"2007-08-15",88.63,90.63,85.42,85.69,2065600,69.35
"2007-08-16",84.1,89,84,87.87,3233800,71.11
"2007-08-17",90,95.79,89.13,91.53,2911800,74.08
"2007-08-20",91.52,94.1,90.48,93.65,2264200,75.79
"2007-08-21",92.65,94.48,92.44,94.4,1107800,76.4
"2007-08-22",95.25,96.89,94.23,96.3,1686400,77.94
"2007-08-23",96.41,97.5,94.15,94.93,1533700,76.83
"2007-08-24",94.8,94.8,92.8,94.03,1103900,76.1
"2007-08-27",94.07,94.34,91.86,91.86,930300,74.34
"2007-08-28",91.5,91.59,87.82,87.9,1878500,71.14
"2007-08-29",88.15,91.07,87.61,91.04,1217700,73.68
"2007-08-30",90.55,93,89.9,92.63,1217100,74.97
"2007-08-31",93.22,96.17,92.63,94.92,1998200,76.82
"2007-09-04",95.26,98.57,93.64,97.33,1653200,78.77
"2007-09-05",96.6,96.79,93.51,94.1,1831500,76.16
"2007-09-06",94.05,95.48,92.44,95.26,1037600,77.1
"2007-09-07",93.47,93.9,91.89,92.12,1309700,74.55
"2007-09-10",92.73,93.49,90.47,92,1151600,74.46
"2007-09-11",92.79,94.05,92.58,93.95,1218200,76.04
"2007-09-12",93.7,95.63,93.06,94.95,1191200,76.84
"2007-09-13",96.17,97.75,95.57,96.28,1853300,77.92
"2007-09-14",95.18,96.34,94.68,96.16,981800,77.82
"2007-09-17",95.44,96.18,94.08,95.16,889700,77.01
"2007-09-18",95.5,99.9,95.33,99.73,2425900,80.71
"2007-09-19",100,103,99.99,101.44,1866100,82.1
"2007-09-20",100.66,101,99.26,99.57,1189300,80.58
"2007-09-21",100,101,99.57,99.87,1836700,80.83
"2007-09-24",99.97,102.3,99.85,101.93,1065700,82.49
"2007-09-25",101.37,102.13,98,98.3,1779600,79.56
"2007-09-26",98.5,99.71,97.01,98.98,1192200,80.11
"2007-09-27",99.81,100.83,99.12,99.94,879800,80.88
"2007-09-28",99.39,100.41,98.7,100,1562100,80.93
"2007-10-01",100.49,102,99.68,101.86,1489100,82.44
"2007-10-02",102.45,105.1,102.13,105,1540100,84.98
"2007-10-03",104.57,106.06,103.98,104.65,1279500,84.69
"2007-10-04",104.82,106.55,103.64,106.37,1130600,86.09
"2007-10-05",106.75,109,106.12,108.45,1920300,87.77
"2007-10-08",107.3,107.3,104.91,105.53,1175300,85.41
"2007-10-09",105.77,107.59,103.57,107.05,1622500,86.64
"2007-10-10",107.16,107.43,105,106.61,1070800,86.28
"2007-10-11",106.95,107.1,104.2,104.86,1446200,84.86
"2007-10-12",105.25,105.62,103.86,104.43,1096500,84.52
"2007-10-15",103.98,104.75,100.54,101.08,2263000,81.81
"2007-10-16",101.05,101.25,98.65,99.55,1886000,80.57
"2007-10-17",101.21,101.52,97.25,99.76,1185400,80.74
"2007-10-18",99.32,101.47,97.46,100.44,1209800,81.29
"2007-10-19",99.75,100.1,95.94,96.35,1688200,77.98
"2007-10-22",95.03,98.05,93.52,97.62,1205400,79.01
"2007-10-23",98.28,100.43,97.02,98.61,1542800,79.81
"2007-10-24",97.82,98.45,95.12,97.78,1103900,79.13
"2007-10-25",98.6,99.64,96.61,98.47,1417900,79.69
"2007-10-26",99.29,100.35,97.03,98.48,1469300,79.7
"2007-10-29",98.9,100.64,97.85,99.29,1789700,80.36
"2007-10-30",99.42,104.39,99.05,102.39,2467300,82.87
"2007-10-31",103.2,104.61,101.32,104.33,2524000,84.44
"2007-11-01",102.86,103.91,100.11,100.42,2381300,81.27
"2007-11-02",100.88,101.18,97.2,99.17,2220300,80.26
"2007-11-05",98,99.95,97.06,98.02,1402500,79.33
"2007-11-06",98,99.11,95.75,98.81,1375200,79.97
"2007-11-07",96.85,97.56,94.67,94.67,1850300,76.62
"2007-11-08",94.28,95.89,93.11,95.08,2799700,76.95
"2007-11-09",93.5,94.52,92,92.76,2258900,75.07
"2007-11-12",92.04,95.91,92.04,93.66,1665500,75.8
"2007-11-13",95,99.25,94.27,99.1,1931600,80.2
"2007-11-14",99.15,100.45,97.45,97.71,1682500,79.75
"2007-11-15",96.55,98.16,94.9,96.78,1858700,78.99
"2007-11-16",98.44,98.44,93.28,94.31,2548600,76.98
"2007-11-19",93.94,94.16,90.92,91.23,3152300,74.46
"2007-11-20",90.95,93.31,86.59,88.97,2691100,72.62
"2007-11-21",89,90.75,85.64,89.73,2378400,73.24
"2007-11-23",90,91.38,89.51,90.75,1504200,74.07
"2007-11-26",89.33,90.39,85.78,86.04,3809200,70.23
"2007-11-27",86.66,90.68,86.15,90.68,3270100,74.02
"2007-11-28",91.18,96.36,91.18,95.41,3509000,77.88
"2007-11-29",94.9,96.68,93.37,95.41,2537500,77.88
"2007-11-30",96.42,100.03,96.42,98.45,3279900,80.36
"2007-12-03",97.56,98.47,95.9,97.24,1759600,79.37
"2007-12-04",96.47,97.16,94,94.44,1919400,77.08
"2007-12-05",95.86,97.57,94.64,97.15,1775900,79.3
"2007-12-06",97.01,99.64,96.56,99.64,1498100,81.33
"2007-12-07",100.5,100.83,97.23,97.62,1582500,79.68
"2007-12-10",97.52,100.16,96.58,100,1216600,81.62
"2007-12-11",100.35,101.98,94.01,94.4,2495800,77.05
"2007-12-12",96.71,99.89,94.54,96.04,2407100,78.39
"2007-12-13",95.38,95.95,92.55,94.87,1919600,77.44
"2007-12-14",93.26,95.94,92.07,92.18,2802700,75.24
"2007-12-17",91.6,91.72,88.28,88.74,2907200,72.43
"2007-12-18",89.5,90.95,87.64,89.78,2529300,73.28
"2007-12-19",90.6,90.89,88.13,89.35,2010500,72.93
"2007-12-20",89.83,90.85,87.89,88.5,2225300,72.24
"2007-12-21",89.36,90.76,89.2,90.1,2005900,73.54
"2007-12-24",90.75,93.99,90.5,93.71,596200,76.49
"2007-12-26",92.96,93.49,90.79,91.31,1064400,74.53
"2007-12-27",90.34,91,87.4,88.23,2119400,72.02
"2007-12-28",89,89.29,85.78,87.09,2126100,71.09
"2007-12-31",86.64,87.52,85.49,86.86,2153800,70.9
"2008-01-02",86.97,87.63,84.53,85.88,2069200,70.1
"2008-01-03",86.21,87.2,83.59,83.93,2299400,68.51
"2008-01-04",83.29,83.44,78.92,79.56,4966200,64.94
"2008-01-07",80.2,82.08,78.09,81.22,2828300,66.29
"2008-01-08",81.5,83.96,77.18,77.38,3276100,63.16
"2008-01-09",77.28,79.83,75.49,79.75,3773500,65.09
"2008-01-10",79,83.82,76.96,81.74,3929000,66.72
"2008-01-11",81.15,83.27,79.52,82.03,3778900,66.96
"2008-01-14",82.86,83.52,79.52,81.69,2073800,66.68
"2008-01-15",80.03,80.62,78.24,79.17,2535600,64.62
"2008-01-16",78.7,81.96,78.61,80.33,2770300,65.57
"2008-01-17",80.42,81.5,78.1,79.54,3357000,64.92
"2008-01-18",80.25,81.43,76.43,78.2,3149600,63.83
"2008-01-22",75.04,84.74,74.8,83.59,5952400,68.23
"2008-01-23",82.48,90.58,82,90.19,5457000,73.62
"2008-01-24",89.15,90.2,86.67,87.8,3402900,71.67
"2008-01-25",88.47,89.79,85.87,86.59,2661300,70.68
"2008-01-28",86.54,88.75,84.44,88.58,2612200,72.3
"2008-01-29",88.97,89.17,86.1,87.72,2380000,71.6
"2008-01-30",87.52,91.16,86,86.85,2811600,70.89
"2008-01-31",86.69,89.38,84.95,89.38,2784600,72.95
"2008-02-01",89.34,95.76,89.34,95.5,3920200,77.95
"2008-02-04",95.51,95.79,92.69,94.16,2777500,76.86
"2008-02-05",92.68,92.68,88.73,88.9,3107600,72.56
"2008-02-06",89.2,89.53,86,86.09,2840200,70.27
"2008-02-07",85.45,87.56,84.28,87.56,2898100,71.47
"2008-02-08",86.75,87.11,82.09,83.86,2549200,68.45
"2008-02-11",84,85.33,82.1,83.6,1845700,68.24
"2008-02-12",84.33,86.5,83.99,86.07,1793000,70.25
"2008-02-13",86.56,87.74,83.32,85.18,2589100,70.26
"2008-02-14",85.79,85.86,83.85,84.58,2493500,69.77
"2008-02-15",84.41,85.02,82.45,84.51,1839700,69.71
"2008-02-19",84.75,86.06,82.44,83.37,1435400,68.77
"2008-02-20",82.48,84.97,82.14,84.97,1365900,70.09
"2008-02-21",85.01,85.79,83.03,83.73,2566200,69.07
"2008-02-22",84.24,85.88,82.56,85.88,1908900,70.84
"2008-02-25",85.75,89.3,84.26,89.16,2513500,73.54
"2008-02-26",88.63,89.23,87.62,88.36,2492000,72.88
"2008-02-27",87.99,88.87,86.92,87.75,1565000,72.38
"2008-02-28",86.84,87.36,85.72,85.79,1389500,70.76
"2008-02-29",84.99,85.55,83.45,83.8,1919400,69.12
"2008-03-03",83.54,84.92,82.45,84.92,2931300,70.05
"2008-03-04",83.97,86.38,83.52,85.65,2850500,70.65
"2008-03-05",86.62,87.87,85.17,86.6,1972100,71.43
"2008-03-06",86.01,86.44,82.11,82.36,2335100,67.94
"2008-03-07",82.2,84.68,80.9,84.12,2617700,69.39
"2008-03-10",84.04,84.33,81.99,82.14,1758000,67.75
"2008-03-11",83.83,89.69,83.83,89.39,3382500,73.73
"2008-03-12",88.41,90.39,86.23,86.52,2644200,71.37
"2008-03-13",85,88.88,83.68,88.31,2625700,72.84
"2008-03-14",88.61,89.22,83.9,86.23,2411500,71.13
"2008-03-17",84.86,88.99,84.12,87.81,2506000,72.43
"2008-03-18",91.17,93.39,89.07,93.39,3256000,77.03
"2008-03-19",95,95,91.14,91.41,3405600,75.4
"2008-03-20",91.89,95.23,89.74,95.02,3054400,78.38
"2008-03-24",95.3,96.27,92.64,92.83,3776400,76.57
"2008-03-25",92.68,95.48,92.25,95.3,2718500,78.61
"2008-03-26",94.99,95.44,93.66,94.02,2044300,77.55
"2008-03-27",94.42,96.67,93.61,93.86,2321000,77.42
"2008-03-28",93.75,94.55,92.01,92.34,2031400,76.17
"2008-03-31",92.9,95.21,91.92,92.91,2424900,76.64
"2008-04-01",94.74,99.74,93.52,99.71,3145600,82.25
"2008-04-02",100,101.91,98.23,100.83,3037500,83.17
"2008-04-03",100.41,103.32,99.56,103.19,3045800,85.12
"2008-04-04",103.15,103.15,99.97,100.27,2414500,82.71
"2008-04-07",101.3,102.1,99.25,100.58,1370600,82.96
"2008-04-08",100.58,100.58,98.67,99.06,1907300,81.71
"2008-04-09",99.31,99.47,96.28,96.97,1464300,79.99
"2008-04-10",96.56,98.97,95.96,98.26,2114500,81.05
"2008-04-11",97.29,98.73,96.5,96.98,1233000,79.99
"2008-04-14",96.74,97.7,95.97,96.01,1239300,79.19
"2008-04-15",96.48,97.51,95.3,97.51,1632000,80.43
"2008-04-16",98.53,101.64,97.84,101.41,1826700,83.65
"2008-04-17",100.31,101.75,99.73,101.45,1621200,83.68
"2008-04-18",102.87,104.11,101.86,102.48,1599500,84.53
"2008-04-21",102.05,102.84,100.36,100.73,960000,83.09
"2008-04-22",100.92,101.4,99.22,99.87,1215900,82.38
"2008-04-23",101.36,102.83,99.74,101.99,1068700,84.13
"2008-04-24",101.63,104.88,101.63,104.32,1455300,86.05
"2008-04-25",105,105,103.26,104.6,1502700,86.28
"2008-04-28",105,105,103.25,104,1280100,85.79
"2008-04-29",104.78,104.78,100.96,101.49,1472500,83.71
"2008-04-30",101.23,103.11,99.78,99.86,1543100,82.37
"2008-05-01",99.99,103.46,99.7,102.99,1744500,84.95
"2008-05-02",105.19,106.11,103.21,103.79,2279000,85.61
"2008-05-05",102.42,104.06,102.04,103.68,1008200,85.52
"2008-05-06",102.11,104.93,101.81,104.91,1528500,86.54
"2008-05-07",104.88,105.03,100.42,100.62,1546200,83
"2008-05-08",100.59,101.53,99.22,100.38,1037700,82.8
"2008-05-09",99.68,100.88,98.68,99.53,1064000,82.1
"2008-05-12",101.21,101.48,99.19,101.31,1346000,83.57
"2008-05-13",102.28,102.4,99.91,100.8,1329900,83.15
"2008-05-14",100.79,102.48,100.76,101.86,1169400,84.78
"2008-05-15",101.53,103.67,101.05,103.67,940500,86.28
"2008-05-16",102.96,103.91,102.01,103.5,1423700,86.14
"2008-05-19",103.5,104.17,102.47,103.38,965200,86.04
"2008-05-20",102.74,103.54,101.14,101.94,1208500,84.84
"2008-05-21",102.4,103.15,99.11,99.48,1737600,82.8
"2008-05-22",99.25,99.65,97.03,97.55,2538200,81.19
"2008-05-23",96.99,98.13,96.67,97.52,1713800,81.16
"2008-05-27",97.5,99.18,97.5,99.18,964200,82.55
"2008-05-28",99.48,99.69,97.8,98.06,1279100,81.61
"2008-05-29",98.17,100.08,97.5,100.07,1344500,83.29
"2008-05-30",100.07,100.25,98.66,99.36,1239400,82.7
"2008-06-02",99.33,99.46,97.07,98.01,1480500,81.57
"2008-06-03",99.17,99.41,97.92,99,1448300,82.4
"2008-06-04",98.34,100.87,98.23,99.95,1277500,83.19
"2008-06-05",100.27,102.53,100.02,102.3,1757300,85.14
"2008-06-06",101.41,101.41,97.23,97.72,2069100,81.33
"2008-06-09",98.04,99.22,95.67,95.92,1759600,79.83
"2008-06-10",95.36,96.58,94.16,96.53,2116500,80.34
"2008-06-11",96.08,96.33,93.9,94.09,1785700,78.31
"2008-06-12",94.93,96.84,94.25,95.94,2141200,79.85
"2008-06-13",97.01,98.11,95.23,98.09,1718700,81.64
"2008-06-16",97.03,99.88,96.56,99.59,1455500,82.89
"2008-06-17",100.41,101.14,95.8,95.98,1501100,79.88
"2008-06-18",95.75,96.19,93.59,94.32,1893300,78.5
"2008-06-19",94.32,98,93.75,97.86,1570400,81.45
"2008-06-20",97.5,97.85,94.88,95.09,2486200,79.14
"2008-06-23",95.32,96.36,93.07,93.31,1605500,77.66
"2008-06-24",93.14,94.9,92,93.85,1787900,78.11
"2008-06-25",94.57,97.06,94.19,95.29,2229900,79.31
"2008-06-26",93.7,94.67,90.88,91.26,2164000,75.95
"2008-06-27",91.5,92.42,89.24,90.82,2668400,75.59
"2008-06-30",92.49,92.49,89.24,89.89,2222700,74.81
"2008-07-01",88.62,89.44,85.98,89.26,3478000,74.29
"2008-07-02",89.8,90.31,88.06,88.17,2197200,73.38
"2008-07-03",89.29,89.71,87.42,87.72,1231100,73.01
"2008-07-07",88.16,88.98,84.16,84.93,3182200,70.69
"2008-07-08",84.93,91.84,83.88,90.24,3624300,75.11
"2008-07-09",90.32,90.32,84.72,84.93,3476500,70.69
"2008-07-10",85.27,88.2,84.42,87.36,3097600,72.71
"2008-07-11",85.34,88.38,84.3,86.34,4179200,71.86
"2008-07-14",87.65,89.25,82.83,83.13,2696600,69.19
"2008-07-15",82.24,83.88,79.93,81.35,5034800,67.71
"2008-07-16",81.3,88.48,80.35,87.77,4212600,73.05
"2008-07-17",88.5,90.57,86.01,90.16,3607800,75.04
"2008-07-18",90.59,91.1,88.31,90.51,2564300,75.33
"2008-07-21",90.2,91.95,89.47,90.82,2524700,75.59
"2008-07-22",89.33,92.74,88.12,92.31,3641700,76.83
"2008-07-23",91.62,94.78,90.83,93.54,3374400,77.85
"2008-07-24",94.8,94.8,87.19,87.74,3865400,73.03
"2008-07-25",88.58,91.98,88.1,90.59,2976800,75.4
"2008-07-28",92.29,92.37,88.39,88.56,3733300,73.71
"2008-07-29",89.03,94.67,88.92,94.28,4246000,78.47
"2008-07-30",95.66,96.54,91.95,95.32,3626100,79.33
"2008-07-31",92.63,94.32,91.47,92.63,2763000,77.09
"2008-08-01",92.68,93.19,89.95,91.32,2509400,76
"2008-08-04",90.75,91.35,89.28,90.31,2258300,75.16
"2008-08-05",91.65,95.46,90.57,94.9,3535200,78.98
"2008-08-06",94.6,95.83,93.09,95.07,2787100,79.13
"2008-08-07",93.5,94.5,91.33,92.07,3374300,76.63
"2008-08-08",92.31,97.29,91.4,96.81,2500500,80.57
"2008-08-11",96.61,101.79,95.88,100.74,4035400,83.84
"2008-08-12",99.34,100.3,97.07,97.87,2904300,81.46
"2008-08-13",96.5,96.5,93.72,94.86,2665300,79.68
"2008-08-14",94,97.2,93,96.94,1687900,81.43
"2008-08-15",97.52,100.69,96.39,97.6,2012300,81.99
"2008-08-18",97.42,98.29,94.12,95.35,2636700,80.1
"2008-08-19",93.58,94.77,92.27,93.21,2878500,78.3
"2008-08-20",93.54,94.87,91.75,94.02,2330400,78.98
"2008-08-21",91.43,93.56,91.28,92.38,1910300,77.6
"2008-08-22",93.49,96.64,92.96,95.53,2378700,80.25
"2008-08-25",95.3,95.73,92.3,92.7,1851800,77.87
"2008-08-26",92.45,94.11,91.65,93.16,1942900,78.26
"2008-08-27",92.01,94.29,91.87,93.49,1795700,78.53
"2008-08-28",94.83,96.68,93.77,96.55,2135200,81.1
"2008-08-29",95.5,95.97,94.53,94.88,1755600,79.7
"2008-09-02",95.66,98.54,94,95.84,1736700,80.51
"2008-09-03",96.12,98,95.12,97.95,1930100,82.28
"2008-09-04",96.96,97.56,94.02,94.21,2894200,79.14
"2008-09-05",93.06,93.97,91.69,93.76,2222800,78.76
"2008-09-08",97,99.14,95.62,99.14,3835200,83.28
"2008-09-09",98.5,99.34,93.63,94.46,3641000,79.35
"2008-09-10",94.46,96.11,92.58,95.02,2665500,79.82
"2008-09-11",93.03,96.63,92.67,96.17,2192700,80.78
"2008-09-12",94.61,98.5,94.61,98.05,2130200,82.36
"2008-09-15",95.48,98,83.01,83.01,4697100,69.73
"2008-09-16",87.03,97.03,86.63,96.82,6604500,81.33
"2008-09-17",94.42,96.26,88.94,90,4919900,75.6
"2008-09-18",91.82,99.74,88.29,94,7536300,78.96
"2008-09-19",104,106.43,94.74,100.99,5730400,84.83
"2008-09-22",98.58,100.56,91.64,93,4656000,78.12
"2008-09-23",93,96.24,92.86,93.51,3223100,78.55
"2008-09-24",96.25,96.25,91.28,93.69,2599900,78.7
"2008-09-25",94.55,96.53,92.72,95.6,2368900,80.31
"2008-09-26",93.4,100.27,92.86,99.7,2569000,83.75
"2008-09-29",97.44,97.69,88.39,90.46,3979400,75.99
"2008-09-30",92.05,99.8,92.05,97,4012900,81.48
