"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"2007-01-03",101.54,103.05,100.74,101.7,1492700,80.34
"2007-01-04",101.44,102.1,100.93,101.67,826100,80.32
"2007-01-05",101.2,101.33,99.03,99.32,869200,78.46
"2007-01-08",99.12,99.97,98.5,99.74,749400,78.79
"2007-01-09",100.4,102.07,100.12,101.81,947400,80.43
"2007-01-10",101.63,103.66,101.24,103.61,1064000,81.85
"2007-01-11",104,106.46,103.61,105.66,1232200,83.47
"2007-01-12",105.6,106.75,104.91,105.35,1443100,83.22
"2007-01-16",106,108.47,106,108.47,1492900,85.69
"2007-01-17",108.15,109.3,106.96,108.8,1334800,85.95
"2007-01-18",108.88,109.58,108.2,108.78,962200,85.93
"2007-01-19",109,109.53,107.75,109.53,996300,86.53
"2007-01-22",109.6,109.6,108.06,108.3,890800,85.55
"2007-01-23",108.7,109.89,108.17,108.98,896300,86.09
"2007-01-24",108.98,111.29,108.86,111.29,958800,87.92
"2007-01-25",112.41,113.5,110.92,111.59,4947400,88.15
"2007-01-26",112,112.5,110.93,112.18,1463400,88.62
"2007-01-29",112.18,112.98,111.58,112.06,841100,88.52
"2007-01-30",112.31,113.49,111.42,113.49,938300,89.65
"2007-01-31",113.49,115.09,112.53,114.39,1102400,90.36
"2007-02-01",114.25,114.29,113.31,114.28,1393700,90.28
"2007-02-02",113.91,114.96,113.36,114.96,892600,90.81
"2007-02-05",114.9,116.37,114.59,116.27,962100,91.85
"2007-02-06",116.95,118.89,116.49,118.89,1914300,93.92
"2007-02-07",118.89,123.96,117.9,123.78,3060300,97.78
"2007-02-08",122.5,123.43,120.6,121.18,2553400,95.73
"2007-02-09",121.25,121.62,115.61,118.22,4414900,93.39
"2007-02-12",117.13,117.35,114.59,114.91,2626000,91.42
"2007-02-13",113.5,118.05,113.09,118,2582000,93.88
"2007-02-14",116.6,118.72,115.65,117.73,1902600,93.67
"2007-02-15",117.74,119.09,117.31,118.4,1443300,94.2
"2007-02-16",118.36,118.38,116.5,118.24,1544700,94.07
"2007-02-20",118.11,119.66,110.6,119.3,1440700,94.92
"2007-02-21",119.1,119.89,118.04,119.82,1365000,95.33
"2007-02-22",120.3,120.5,118.91,119.22,1111500,94.85
"2007-02-23",119.09,119.2,117.21,117.43,1353300,93.43
"2007-02-26",117.7,118.4,114,115.62,1866100,91.99
"2007-02-27",115.62,115.62,110.92,111.47,1958400,88.69
"2007-02-28",112.45,113.65,111.42,112.74,1960800,89.7
"2007-03-01",111.05,113.62,108.16,111.87,1916700,89.01
"2007-03-02",110.51,111.43,108.75,108.75,1872300,86.52
"2007-03-05",107.25,108.48,104.15,104.15,2219000,82.86
"2007-03-06",106.01,109.53,106.01,109.07,2213500,86.78
"2007-03-07",108.87,109.76,107.2,107.33,1870300,85.39
"2007-03-08",108.52,110.4,108.52,109.67,1511400,87.26
"2007-03-09",111.1,111.56,109.82,110.93,1189400,88.26
"2007-03-12",111.3,114.12,111.19,113.49,1905800,90.29
"2007-03-13",113.07,113.07,109.65,109.84,1822400,87.39
"2007-03-14",110.44,110.84,106.96,109.65,2201400,87.24
"2007-03-15",109.65,111.33,109.44,110.98,985700,88.3
"2007-03-16",111.15,112.05,109.33,109.49,1618200,87.11
"2007-03-19",110.6,111.57,109.95,111.36,851500,88.6
"2007-03-20",111.36,112.43,110.5,111.65,1093100,88.83
"2007-03-21",111.6,113.98,110.42,113.81,1158700,90.55
"2007-03-22",113.91,114.7,113.04,113.85,903100,90.58
"2007-03-23",113.85,115.94,113.36,114.55,1337700,91.14
"2007-03-26",114.4,114.53,111.53,111.86,1162900,89
"2007-03-27",111.67,111.67,109.5,109.95,1088600,87.48
"2007-03-28",109.3,110.04,107.62,108.86,1425000,86.61
"2007-03-29",109.86,110.66,108.62,109.2,1275800,86.88
"2007-03-30",109.67,111.45,108.63,111.25,1726700,88.51
"2007-04-02",111.25,113.06,110.83,112.6,1259400,89.59
"2007-04-03",113.9,114.91,113.22,114.71,1406600,91.27
"2007-04-04",114.88,114.95,112.25,113.16,1365400,90.03
"2007-04-05",113.16,114.07,113.1,113.64,782200,90.41
"2007-04-09",113.67,114.37,113.29,114.03,646400,90.72
"2007-04-10",114.5,115.77,113.66,114.51,897800,91.11
"2007-04-11",112.97,114.84,111.02,111.94,1473700,89.06
"2007-04-12",111.05,111.66,110.49,111.21,935400,88.48
"2007-04-13",111.21,113.3,110.32,113.1,902300,89.98
"2007-04-16",113.15,113.5,112.07,112.33,1173900,89.37
"2007-04-17",112.7,114.55,112.15,114.54,1191300,91.13
"2007-04-18",114.54,114.58,113.72,113.86,1189300,90.59
"2007-04-19",113.87,113.87,112.53,113.29,1303400,90.14
"2007-04-20",114.9,115.37,113.9,114.42,1271200,91.03
"2007-04-23",114.42,117.12,114.42,116.86,1168100,92.98
"2007-04-24",117.11,117.75,115.29,115.74,936700,92.09
"2007-04-25",116.46,117.48,114.45,115.7,1364000,92.05
"2007-04-26",115.65,116.8,114.82,115.84,815300,92.16
"2007-04-27",115.84,117.49,115.54,117.1,1001400,93.17
"2007-04-30",117.68,118.25,115.24,115.28,1458200,91.72
"2007-05-01",115.3,115.58,112.01,113.39,1867400,90.22
"2007-05-02",113.97,115.49,113.35,115.24,1170700,91.69
"2007-05-03",116,116,114.99,115.14,812300,91.61
"2007-05-04",116.01,116.14,113.02,113.35,1030600,90.18
"2007-05-07",114.95,114.95,113.51,113.92,710200,90.64
"2007-05-08",113.47,113.47,111.85,111.9,1307100,89.03
"2007-05-09",111.43,114.55,111.43,113.83,1622700,90.57
"2007-05-10",113,113.75,111.25,111.25,1686800,88.51
"2007-05-11",112.5,113.14,111.8,112.49,1202900,89.5
"2007-05-14",112.48,113.25,111.18,111.27,996500,88.53
"2007-05-15",110.82,111.52,108.27,108.52,1719600,87
"2007-05-16",108.5,108.83,105.82,106.67,1639800,85.51
"2007-05-17",106.1,106.33,103.75,104.24,1821100,83.57
"2007-05-18",104.32,104.5,101.96,103.31,2328800,82.82
"2007-05-21",103.3,105.42,103.26,104.18,1967100,83.52
"2007-05-22",104.68,106.91,104.31,106.03,1717400,85
"2007-05-23",106.03,107.07,103.75,103.8,1329400,83.21
"2007-05-24",103.6,104.25,100.14,101.16,2008900,81.1
"2007-05-25",101.97,103.74,101.41,101.88,1376800,81.67
"2007-05-29",102.85,106.76,102.85,105.4,1865500,84.5
"2007-05-30",106.85,108.75,105.62,108.75,2366400,87.18
"2007-05-31",108.71,109.3,106.79,107.98,1603500,86.56
"2007-06-01",107.98,108.58,107.03,108.02,877000,86.6
"2007-06-04",107.77,109.29,107.5,108.68,809300,87.13
"2007-06-05",108.67,108.85,105.93,105.94,1465500,84.93
"2007-06-06",105.95,105.95,104.31,104.75,1131400,83.98
"2007-06-07",104.25,104.75,100.01,100.57,2337100,80.62
"2007-06-08",100.36,101.84,99.5,101.78,1739400,81.59
"2007-06-11",99.8,100.3,98.56,99.41,1676400,79.69
"2007-06-12",98.48,98.9,96.36,96.81,2465700,77.61
"2007-06-13",97.25,99.91,96.95,99.86,2453500,80.06
"2007-06-14",98.65,100.5,97.67,98.17,2063400,78.7
"2007-06-15",99.11,100.14,98.66,99.14,1897800,79.48
"2007-06-18",98.84,99.13,96.73,96.73,1543900,77.55
"2007-06-19",96.74,97.74,95.7,97.74,1608500,78.36
"2007-06-20",97.7,97.85,95.39,95.78,2201000,76.78
"2007-06-21",95.2,96.11,93.27,95.85,2218600,76.84
"2007-06-22",95.15,96.25,93.98,94.95,1704500,76.12
"2007-06-25",94.95,95.4,91.9,92.8,1862100,74.4
"2007-06-26",92.26,93.6,91.78,92.71,2276000,74.32
"2007-06-27",91.53,96.39,91.12,96.21,2176100,77.13
"2007-06-28",96.14,97.16,94.41,94.41,1883000,75.69
"2007-06-29",94.66,95.95,92.07,93.04,2892900,74.59
"2007-07-02",93.63,96.88,93.63,96.52,2086700,77.38
"2007-07-03",97.55,97.66,94.91,95.22,1337800,76.34
"2007-07-05",95.22,99.47,93.95,96.69,1565800,77.51
"2007-07-06",96.69,96.98,95.17,95.94,997400,76.91
"2007-07-09",96.33,96.33,94.59,95.63,915200,76.66
"2007-07-10",94.73,95.19,91.52,91.81,2165700,73.6
"2007-07-11",91.54,91.6,89.56,91.24,2090000,73.14
"2007-07-12",91.82,92.98,91.03,92.9,1354200,74.48
