"","NBL.Open","NBL.High","NBL.Low","NBL.Close","NBL.Volume","NBL.Adjusted"
"2007-03-29",61.67,61.71,59.83,60.23,3364200,28.18
"2007-03-30",59.84,60.23,59.39,59.65,3377600,27.9
"2007-04-02",59.9,60.97,59.89,60.9,2710400,28.49
"2007-04-03",60.61,60.87,59.78,60.69,1656000,28.39
"2007-04-04",60.45,61.23,60,61.14,1828000,28.6
"2007-04-05",61.27,61.6,61,61.31,1120600,28.68
"2007-04-09",61.4,62.12,61.05,61.3,1791600,28.68
"2007-04-10",61.4,62.1,61.29,61.99,1754600,29
"2007-04-11",61.74,62.32,61.36,61.58,2857200,28.81
"2007-04-12",60.91,62.03,60.46,62,4457400,29
"2007-04-13",62,62.09,61.29,61.56,2286400,28.8
"2007-04-16",61.86,62.36,61.01,61.81,1311800,28.91
"2007-04-17",61.97,62.24,60.3,60.63,2457600,28.36
"2007-04-18",60.28,60.48,59.27,59.73,3634200,27.94
"2007-04-19",59.53,59.77,58.69,58.81,2216600,27.51
"2007-04-20",58.92,60.17,58.85,59.8,3326200,27.97
"2007-04-23",59.74,60.34,59.44,60.19,1908800,28.16
"2007-04-24",60.18,60.84,59.95,60.03,2790200,28.08
"2007-04-25",60.04,60.24,58.79,59.67,5091800,27.91
"2007-04-26",59.34,59.55,58.79,59.15,3822600,27.67
"2007-04-27",58.96,60.06,58.57,59.55,2681400,27.86
"2007-04-30",59.72,60.62,58.81,58.81,3113400,27.51
"2007-05-01",59.08,61.21,59.01,60.32,5340200,28.22
"2007-05-02",60.62,61.32,60.41,61.05,3738800,28.56
"2007-05-03",60.68,61.06,59.33,60.75,2902200,28.47
"2007-05-04",60.99,61.27,59.85,60.17,2415000,28.2
"2007-05-07",59.75,60.08,59.55,59.84,3320600,28.05
"2007-05-08",60.26,60.26,59.03,59.84,2349600,28.05
"2007-05-09",59.6,59.7,58.39,59.18,2604600,27.74
"2007-05-10",59.05,59.55,58.68,58.87,2861400,27.59
"2007-05-11",59.12,60.15,59.1,59.91,3267600,28.08
"2007-05-14",60.11,61.33,59.95,60.9,4341800,28.54
"2007-05-15",60.99,61.38,60.49,60.65,3357800,28.43
"2007-05-16",60.38,61.07,60.03,61.07,2882000,28.62
"2007-05-17",60.9,62.51,60.64,62.21,2377200,29.16
"2007-05-18",62.36,63.02,62.25,62.81,2818000,29.44
"2007-05-21",62.89,64.06,62.55,63.65,4116400,29.83
"2007-05-22",63.69,63.83,62.84,62.99,2374200,29.52
"2007-05-23",63.25,63.8,62.89,62.98,2829400,29.52
"2007-05-24",63.17,63.65,61.7,61.88,2591800,29
"2007-05-25",62.76,63.24,62.46,62.93,1787000,29.5
"2007-05-29",64.24,64.24,62.41,62.89,2252200,29.48
"2007-05-30",62.59,64.14,62.5,64.14,2844000,30.06
"2007-05-31",64.24,64.38,62.78,63.29,3904600,29.67
"2007-06-01",63.25,63.91,62.96,63.17,2912400,29.61
"2007-06-04",63.25,65.71,63.18,65.5,3554600,30.7
"2007-06-05",64.88,64.99,63.91,64.73,2940800,30.34
"2007-06-06",64.61,64.61,63.18,63.48,2669000,29.75
"2007-06-07",63.23,64.02,61.07,61.29,2677400,28.73
"2007-06-08",60.85,61.95,60.54,61.91,1648800,29.02
"2007-06-11",61.98,63.07,61.51,62.31,2968000,29.21
"2007-06-12",62.19,63.01,61.65,62.01,2234600,29.07
"2007-06-13",61.77,62.76,61.38,62.44,2045600,29.27
"2007-06-14",62.6,63.78,62.52,63.49,1908000,29.76
"2007-06-15",64.22,64.77,63.96,64.63,1925600,30.29
"2007-06-18",65,65.42,64.56,65,1660000,30.47
"2007-06-19",64.62,65.24,64.26,64.49,2387400,30.23
"2007-06-20",64.69,64.88,62.62,62.68,2009200,29.38
"2007-06-21",63.03,64.61,62.67,64.51,2407600,30.24
"2007-06-22",64.22,64.39,62.71,63.2,3174000,29.62
"2007-06-25",62.95,63.87,62.38,62.97,3293200,29.52
"2007-06-26",62.67,62.74,60.45,60.72,3977800,28.46
"2007-06-27",59.73,61.2,59.56,61.12,5512600,28.65
"2007-06-28",61.74,62.38,60.79,61.2,3427600,28.69
"2007-06-29",62.1,62.73,61.99,62.39,2327400,29.24
"2007-07-02",62.43,63.4,62.43,63.4,2027800,29.72
"2007-07-03",63.49,63.67,63.15,63.28,1078600,29.66
"2007-07-05",63.45,63.78,62.84,63.58,1932800,29.8
"2007-07-06",63.97,63.97,63.18,63.66,1592200,29.84
"2007-07-09",63.55,65.46,63.46,65.2,2235400,30.56
"2007-07-10",64.71,65.16,64.31,64.54,1797800,30.25
"2007-07-11",64.29,64.99,64.02,64.96,1723800,30.45
"2007-07-12",65.09,65.62,64.61,65.61,2406000,30.75
"2007-07-13",65.46,66.12,65.4,65.49,1553400,30.7
"2007-07-16",65.23,65.43,63.85,64.11,1587200,30.05
"2007-07-17",64.73,66.21,64.73,65.03,1846800,30.48
"2007-07-18",65.21,67,65,66.8,1895400,31.31
"2007-07-19",67.05,67.28,65.97,66.96,1688000,31.39
"2007-07-20",66.96,66.96,65.28,65.71,2089800,30.8
"2007-07-23",65.86,65.96,64.69,64.92,1954000,30.43
"2007-07-24",63.79,64.24,62.52,62.98,2503600,29.52
"2007-07-25",63.83,64.04,62.65,63.81,1953800,29.91
"2007-07-26",62.54,63.29,61.33,62.34,3162200,29.22
"2007-07-27",62.19,63.07,61.15,61.75,2362800,28.94
"2007-07-30",62.07,62.53,60.91,61.89,2284600,29.01
"2007-07-31",62.4,63.83,60.94,61.14,2566200,28.66
"2007-08-01",64.98,65.8,61.29,63.47,5182400,29.75
"2007-08-02",63.59,64.33,62.34,63.79,3348000,29.96
"2007-08-03",64.12,64.43,60.78,61.02,3769400,28.66
"2007-08-06",60.55,61.13,59.22,60.98,3341400,28.64
"2007-08-07",60.82,61.69,59.67,61.37,3168600,28.82
"2007-08-08",61.82,63.46,60.44,61.63,3596600,28.94
"2007-08-09",59.64,61.3,59.25,59.74,5132200,28.05
"2007-08-10",58.35,60.73,57.42,60.38,3719200,28.35
"2007-08-13",61.49,63.46,61.24,62.03,2631200,29.13
"2007-08-14",62.3,62.85,60.73,60.78,2251800,28.54
"2007-08-15",60.79,61.8,59.44,59.63,2347800,28
"2007-08-16",58.43,59.28,57.21,59.16,3932400,27.78
"2007-08-17",61,61.55,59.21,61.1,2689600,28.69
"2007-08-20",60.62,60.81,58.85,60.17,1959000,28.26
"2007-08-21",59.38,60.4,57.79,58.17,2537000,27.32
"2007-08-22",59.07,60.16,58.55,59.85,2270800,28.11
"2007-08-23",59.9,60.48,59.68,60.27,2523400,28.3
"2007-08-24",60.42,61.69,60.17,61.69,1328200,28.97
"2007-08-27",61.31,61.31,59.75,60.17,1327800,28.26
"2007-08-28",59.7,60.06,58.41,58.9,1828200,27.66
"2007-08-29",59.4,61.22,59.09,61.09,1407200,28.69
"2007-08-30",60.23,60.99,58.86,59.22,2865600,27.81
"2007-08-31",60.43,61.02,59.95,60.07,1276200,28.21
"2007-09-04",60.01,63.3,60.01,62.72,2217800,29.45
"2007-09-05",62.76,63.71,62.11,62.93,3094800,29.55
"2007-09-06",63.85,64.62,63.04,63.85,1838800,29.98
"2007-09-07",62.81,63.14,62.14,62.89,2256400,29.53
"2007-09-10",62.87,63.62,61.53,62.72,1941600,29.45
"2007-09-11",63.11,63.9,61.87,63.84,2486600,29.98
"2007-09-12",63.79,65.07,63.65,64.72,2810400,30.39
"2007-09-13",65,65.17,63.77,63.92,1901800,30.02
"2007-09-14",63.74,65.08,63.15,64.71,1576400,30.39
"2007-09-17",64.55,65.29,63.9,63.95,1688800,30.03
"2007-09-18",64.25,66.15,63.49,66.03,2638600,31.01
"2007-09-19",66.7,67.87,65.89,66.15,1776400,31.06
"2007-09-20",66.21,67.35,66.05,67.03,1655800,31.48
"2007-09-21",67.12,67.62,66.7,67.01,2517200,31.47
"2007-09-24",67.18,68.99,66.76,68.72,3313800,32.27
"2007-09-25",67.72,68.54,67.2,68.12,3095000,31.99
"2007-09-26",68.67,69.12,67.51,68.36,1748400,32.1
"2007-09-27",68.88,70.57,68.82,70.55,2347200,33.13
"2007-09-28",70.81,71.3,69.65,70.04,2001800,32.89
"2007-10-01",70.22,71.59,70.16,71.49,1940200,33.57
"2007-10-02",72.77,73.04,71.86,72.51,3524200,34.05
"2007-10-03",72.47,72.52,71.28,71.42,2864800,33.54
"2007-10-04",71.41,72.6,71.22,71.93,2831200,33.78
"2007-10-05",72.35,72.4,70.95,71.75,42446800,33.69
"2007-10-08",71.39,72.01,71,71.56,2883400,33.61
"2007-10-09",71.71,72.69,71.52,72.6,3337000,34.09
"2007-10-10",72.48,74.35,72.34,74.14,3652200,34.82
"2007-10-11",74.83,76.08,73.33,74.1,3916400,34.8
"2007-10-12",73.6,75.9,73.6,75.85,2767000,35.62
"2007-10-15",76.61,78.05,76.23,76.44,3415200,35.9
"2007-10-16",76.37,77.12,76,76.38,2501400,35.87
"2007-10-17",76.95,76.99,75.12,75.95,2182600,35.67
"2007-10-18",76.03,78.05,75.4,77.93,3160800,36.6
"2007-10-19",77.42,77.42,74.03,74.14,3568000,34.82
"2007-10-22",73.2,75.75,72.45,73.6,3066400,34.56
"2007-10-23",73.96,74.75,72.85,74,1632600,34.75
"2007-10-24",73.02,74.61,72.89,74.43,2000600,34.95
"2007-10-25",74.42,74.5,72.86,73.77,3940400,34.64
"2007-10-26",74.97,74.97,73.41,74.18,4313800,34.84
"2007-10-29",74.37,75.38,74.25,75.05,2403200,35.24
"2007-10-30",73.84,74.08,72.97,73.13,2316200,34.34
"2007-10-31",74.22,77.19,74.15,76.54,3494400,35.94
"2007-11-01",75.09,77.82,75.01,75.21,3371200,35.37
"2007-11-02",75.67,77.12,75.03,76.11,2715000,35.8
"2007-11-05",74.51,76.06,74.32,75.2,2690600,35.37
"2007-11-06",75.66,76.6,74.58,75,3770200,35.28
"2007-11-07",75,75.65,72.73,72.76,3209000,34.22
"2007-11-08",73.51,74.24,72.48,73.71,3929200,34.67
"2007-11-09",73.45,74.1,72.34,73.1,3529800,34.38
"2007-11-12",72,72,69.48,69.69,4401400,32.78
"2007-11-13",69.82,71.19,68.37,70.21,4338800,33.02
"2007-11-14",71.21,73.08,70.67,70.74,2704800,33.27
"2007-11-15",69.97,70.87,69.25,70.13,3161800,32.99
"2007-11-16",71.79,72.62,70.25,71.73,2914600,33.74
"2007-11-19",71.42,72.92,71.41,72.5,3848600,34.1
"2007-11-20",72.87,74.41,72.78,73.57,3935000,34.6
"2007-11-21",72.82,73.75,72.67,72.67,3353000,34.18
"2007-11-23",73,74.18,72.52,74.09,1079800,34.85
"2007-11-26",74.04,75.38,73.23,73.23,4279600,34.44
"2007-11-27",71.81,72.14,69.95,71.21,4215400,33.49
"2007-11-28",71.89,72.26,70.41,71.57,4490200,33.66
"2007-11-29",70.82,72.5,70.82,71.91,3576000,33.82
"2007-11-30",72.63,72.63,71.29,72.04,2355000,33.88
"2007-12-03",71.28,73.22,71.28,73,2603200,34.34
"2007-12-04",72.93,73.08,71.97,72.02,3286800,33.87
"2007-12-05",72.8,74.35,72.62,74.18,3003200,34.89
"2007-12-06",74.15,76.16,74.15,75.92,3888000,35.71
"2007-12-07",75.91,76.31,75.26,76.05,2489400,35.77
"2007-12-10",76.41,76.78,75.23,75.67,1679200,35.59
"2007-12-11",76.43,77.12,74.84,74.84,4911600,35.2
"2007-12-12",76.62,77.93,75.74,76.9,4198800,36.17
"2007-12-13",76.78,77.31,76,77.26,3563200,36.34
"2007-12-14",77.44,77.44,76.19,76.19,2557000,35.84
"2007-12-17",76.16,76.95,75.57,75.72,2897400,35.61
"2007-12-18",76.43,78.02,76.05,77.3,2570000,36.36
"2007-12-19",77.94,78.63,77.3,77.97,2311800,36.67
"2007-12-20",78.54,79.8,78.16,79.64,2559800,37.46
"2007-12-21",79.62,81.71,79.4,81.64,3250600,38.4
"2007-12-24",80.85,81.06,80.05,80.07,975600,37.66
"2007-12-26",79.42,80.36,78.95,79.74,2485400,37.51
"2007-12-27",79.67,81.45,79.65,80.55,1840000,37.89
"2007-12-28",81.41,81.41,80.55,80.66,1562000,37.94
"2007-12-31",80.53,80.93,79.34,79.52,1650600,37.4
"2008-01-02",80.07,80.24,78.78,79.81,3333000,37.54
"2008-01-03",80.17,80.68,79.95,80.32,3850400,37.78
"2008-01-04",79.82,80.07,78.8,78.83,2777000,37.08
"2008-01-07",79.09,79.44,77.83,79.02,3614800,37.17
"2008-01-08",79.71,80.28,77.33,77.61,3670200,36.5
"2008-01-09",77.7,79.51,77.51,79.2,3412000,37.25
"2008-01-10",78.62,79.43,77.51,78.9,2578600,37.11
"2008-01-11",78.03,80.87,77.99,79.66,3046200,37.47
"2008-01-14",80.52,81.58,80.3,81.27,2893000,38.22
"2008-01-15",80.61,81.28,79.42,79.46,3234000,37.37
"2008-01-16",79.26,80.01,76.13,76.26,3546000,35.87
"2008-01-17",76.39,77.56,72.53,72.65,3234200,34.17
"2008-01-18",73.16,76.33,71.12,72.34,4422200,34.02
"2008-01-22",67.21,71.99,64.98,70.19,4068600,33.01
"2008-01-23",68.27,69.34,65.36,69.18,4153400,32.54
"2008-01-24",69.5,71.47,69.39,70.85,3102000,33.32
"2008-01-25",72.05,72.68,69.15,69.42,2657000,32.65
"2008-01-28",69.75,71.4,68.3,71,2477200,33.39
"2008-01-29",71.46,72.26,70.77,72.05,2528200,33.89
"2008-01-30",71.6,74.14,71.6,72.3,2628400,34.01
"2008-01-31",70.64,73.09,70.05,72.58,3128400,34.19
"2008-02-01",73.05,73.73,72.12,73.51,2368800,34.63
"2008-02-04",73.65,75.37,72.89,75.17,2497200,35.41
"2008-02-05",73.9,74.19,71.47,71.47,2645400,33.67
"2008-02-06",72.6,72.6,70.07,70.29,2413400,33.12
"2008-02-07",70.07,71,69.63,70.55,2821200,33.24
"2008-02-08",70.27,73.08,70.27,72.7,2380600,34.25
"2008-02-11",73,74.87,72.68,74.83,2172800,35.25
"2008-02-12",74.77,76.32,73.82,74.58,2415600,35.14
"2008-02-13",74.73,76.73,74.73,76.73,2055600,36.15
"2008-02-14",76.9,77.54,76.44,76.45,1931000,36.02
"2008-02-15",76.48,76.52,74.34,75.3,1977800,35.48
"2008-02-19",76.33,78.17,76.24,77.33,2245600,36.43
"2008-02-20",76.5,79.49,76.5,79.3,2597000,37.36
"2008-02-21",79.64,79.64,77.34,77.44,2433600,36.48
"2008-02-22",78.21,78.93,77.07,78.78,2069000,37.12
"2008-02-25",79.15,80.98,78.97,80.98,2573200,38.15
"2008-02-26",80.01,81.66,78.99,80.91,2661000,38.12
"2008-02-27",81,82.29,80.14,81.09,3013600,38.2
"2008-02-28",81.94,82.82,80.77,81.35,3135600,38.33
"2008-02-29",81.01,81.01,77.11,77.4,3439400,36.47
"2008-03-03",77.45,81.1,77.45,80.87,4847000,38.1
"2008-03-04",80.53,80.8,78.07,79.32,4048000,37.37
"2008-03-05",79.98,81.28,79.38,80.72,3402200,38.03
"2008-03-06",80.13,80.64,78.44,78.44,3131800,36.96
"2008-03-07",77.83,78.54,75.65,76.57,3713600,36.07
"2008-03-10",76.49,76.69,74.52,74.91,3848800,35.29
"2008-03-11",76.29,78.19,74.68,78.1,3818000,36.79
"2008-03-12",78.12,78.9,77.37,77.63,1744000,36.57
"2008-03-13",76.06,78.61,75.65,78.03,4501400,36.76
"2008-03-14",78.23,78.47,74.91,76.27,2871600,35.93
"2008-03-17",74.31,74.82,71,72.01,4117400,33.93
"2008-03-18",73.99,75.12,73.09,75.12,3096000,35.39
"2008-03-19",74.75,75,69.93,69.93,3673800,32.95
"2008-03-20",68.45,71.2,65.39,70.93,4745000,33.42
"2008-03-24",70.95,73.22,70.66,72.3,2434800,34.06
"2008-03-25",73.27,74.24,72.37,73.9,3862600,34.82
"2008-03-26",73.66,74.75,73.15,74.07,4435400,34.9
"2008-03-27",74.8,74.8,72.62,72.88,3954800,34.34
"2008-03-28",72.01,74.13,71.96,72.88,2933600,34.34
"2008-03-31",72.88,73.88,71.72,72.8,4475200,34.3
"2008-04-01",73.62,75.81,71.95,75.79,3781000,35.71
"2008-04-02",75.98,78.56,75.98,78,4059200,36.75
"2008-04-03",77.87,79.19,77.57,78,3521000,36.75
"2008-04-04",78.64,80.28,78.31,79.55,3160800,37.48
"2008-04-07",80.18,81.77,80.09,81.07,3688800,38.19
"2008-04-08",80.87,82,80.53,80.95,3117400,38.14
"2008-04-09",81.85,83.5,81.52,82.86,3518600,39.04
"2008-04-10",82.85,83.72,81.85,83.57,2945400,39.37
"2008-04-11",83.34,83.68,82.04,82.75,3481600,38.99
"2008-04-14",83.02,85.55,83.02,85.41,3241200,40.24
"2008-04-15",86.12,87.27,84.99,86.19,3318600,40.61
"2008-04-16",86.75,89.78,86.35,89.76,4041600,42.29
"2008-04-17",89.24,90.22,87.55,88.49,2652000,41.69
"2008-04-18",87.75,90.68,87.35,90.55,3146400,42.66
"2008-04-21",90.5,91.34,90.13,90.89,3688400,42.82
"2008-04-22",90.96,91.43,90.09,90.58,3606400,42.67
"2008-04-23",88.24,90.08,87.31,87.97,3404400,41.44
"2008-04-24",87.71,88.18,85.25,86.45,2823000,40.73
"2008-04-25",87.6,88.92,87,88.92,5902200,41.89
"2008-04-28",89.35,89.98,88.39,88.73,3227200,41.8
"2008-04-29",87.06,88.04,86.59,87.21,3098600,41.09
"2008-04-30",85.75,88.28,85.75,87,3406600,40.99
"2008-05-01",88.21,88.21,81.27,84.69,4303600,39.98
"2008-05-02",85.87,87.21,85,86.75,2676400,40.95
"2008-05-05",87.25,88.78,86.58,88.46,4687400,41.76
"2008-05-06",88.87,95.83,88.07,95.45,6955600,45.06
"2008-05-07",95.99,96.62,93.22,93.95,4620600,44.35
"2008-05-08",94.17,97.08,93.5,96.88,4281600,45.74
"2008-05-09",97.68,98,94.74,96.5,4807400,45.56
"2008-05-12",96.38,97.39,95.13,96.82,3470600,45.71
"2008-05-13",96.83,98.6,95.91,97.63,4697400,46.09
"2008-05-14",99,99.11,96.55,96.85,3561200,45.72
"2008-05-15",98.5,99.67,96.91,98.95,4215400,46.71
"2008-05-16",99.84,101.54,99.21,101.54,4091200,47.94
"2008-05-19",102.5,103.12,100.76,101.56,3754600,47.95
"2008-05-20",102.3,104.67,101.29,103.83,3758400,49.02
"2008-05-21",103.95,105.11,100.98,101.21,4612000,47.78
"2008-05-22",101.63,102.38,99.36,100.38,3336200,47.39
"2008-05-23",100.47,101.55,96.89,97.96,3211600,46.25
"2008-05-27",97.54,98.27,96.5,97.62,3495400,46.09
"2008-05-28",97.49,100.99,96.02,100.61,4907000,47.5
"2008-05-29",100.15,100.15,96.11,96.57,4400200,45.59
"2008-05-30",96.87,98.3,96.16,97.45,4225000,46.01
"2008-06-02",97,100.51,97,99.46,4368000,46.96
"2008-06-03",99.35,99.85,96.92,97.52,4692600,46.04
"2008-06-04",96.56,98.38,95.39,96.69,4315400,45.65
"2008-06-05",96.76,100.5,96.23,100.5,3724400,47.45
"2008-06-06",101.23,104.24,100.02,100.02,3761600,47.22
"2008-06-09",100.16,104.24,100.16,103.49,3445400,48.86
"2008-06-10",102.15,103.79,97.63,99.26,4142400,46.86
"2008-06-11",99.51,101.53,99.51,100.72,2872600,47.55
"2008-06-12",100.83,100.83,97.69,98.93,3496200,46.71
"2008-06-13",98.22,100.15,97.37,98.31,3377200,46.41
"2008-06-16",99.3,99.58,97.52,98,3756000,46.27
"2008-06-17",97.97,102.93,97.97,102.63,4048600,48.45
"2008-06-18",103,103,100.33,101.5,3286600,47.92
"2008-06-19",102.99,102.99,97.2,97.23,3974800,45.9
"2008-06-20",98.92,98.95,94.9,95.22,5631600,44.95
"2008-06-23",95.2,103.23,95.08,103.23,5193400,48.74
"2008-06-24",102.61,103.24,100.65,100.95,4385600,47.66
"2008-06-25",101.69,101.69,97.04,99.28,2873200,46.87
"2008-06-26",100.95,100.95,95.55,96.84,3571600,45.72
"2008-06-27",98.09,99.04,97.41,97.77,3164600,46.16
"2008-06-30",98.4,100.85,98.4,100.56,3207600,47.47
"2008-07-01",100.44,102.97,99.79,102.79,4159000,48.53
"2008-07-02",102.81,104.5,95.81,95.84,5219400,45.25
"2008-07-03",96.32,96.9,92.23,93.21,3545400,44
"2008-07-07",93.05,94.38,89.81,91.46,5002600,43.18
"2008-07-08",89.78,92.1,87.79,91.99,6037400,43.43
"2008-07-09",92.42,93.65,87.73,88.09,4358200,41.59
"2008-07-10",88.55,91.09,87.4,90.65,4792800,42.8
"2008-07-11",92.44,93.93,88.55,89.92,4451400,42.45
"2008-07-14",91.15,91.77,89,90.45,3436200,42.7
"2008-07-15",92.03,92.03,85.91,86.09,4727600,40.64
"2008-07-16",86.25,87.23,82.27,84.37,5737600,39.83
"2008-07-17",84.21,84.96,78.72,80.84,7561000,38.16
"2008-07-18",80.73,82.54,78.39,80.39,5854200,37.95
"2008-07-21",81.7,82.84,79.49,82.56,3862800,38.98
"2008-07-22",82.09,82.09,78.6,79.52,4284000,37.54
"2008-07-23",79.39,80.19,75.81,76.34,5496000,36.04
"2008-07-24",76.63,77.79,73.36,75.71,5183400,35.74
"2008-07-25",76.09,78.54,75.03,76.01,4321800,35.88
"2008-07-28",76.36,78.63,75.74,75.74,3275600,35.76
"2008-07-29",75.32,75.65,73.37,74.62,5472800,35.23
"2008-07-30",73.35,77.82,70.43,77.11,7994000,36.4
"2008-07-31",75.28,77.44,73.27,73.87,5252000,34.96
"2008-08-01",73.88,76.86,73.75,74.31,5020400,35.16
"2008-08-04",74.43,74.43,68.3,69,5902000,32.65
"2008-08-05",68.37,70.55,67.74,70.19,4332800,33.21
"2008-08-06",70.12,70.99,68.66,69.62,6542800,32.94
"2008-08-07",69.71,70.5,67.05,67.09,6026800,31.75
"2008-08-08",66.62,67.37,63.87,66.59,4699800,31.51
"2008-08-11",66.6,67.58,64.92,66.76,4069400,31.59
"2008-08-12",67.65,68.59,67.08,67.73,4768600,32.05
"2008-08-13",68.4,70.07,66.74,69.72,3928200,32.99
"2008-08-14",69.54,69.68,66.82,67.9,3396600,32.13
"2008-08-15",67.63,67.71,66.02,67.06,4101800,31.73
"2008-08-18",67.43,68.35,65.56,65.95,3580000,31.21
"2008-08-19",65.94,68.92,65.9,68.79,4583800,32.55
"2008-08-20",69.73,72.53,69.73,72.31,6002400,34.22
"2008-08-21",73.01,74.43,72.26,73.42,5092200,34.74
"2008-08-22",72.22,72.53,69.82,71.17,3486400,33.68
"2008-08-25",71.24,72.48,70.52,71.71,3245800,33.93
"2008-08-26",72.51,75.77,72.51,74.73,4271400,35.36
"2008-08-27",75.8,76.51,74.15,74.51,3906000,35.26
"2008-08-28",75.47,75.5,71.42,72.84,3826200,34.47
"2008-08-29",73.44,73.93,71.39,71.73,3466400,33.94
"2008-09-02",69.94,70.04,66.97,67.14,4152600,31.77
"2008-09-03",67.37,69.04,65.88,67.16,4615400,31.78
"2008-09-04",67.32,68.51,65.36,68.19,8060800,32.27
"2008-09-05",67.89,68.81,65.4,68.03,5941400,32.19
"2008-09-08",68.92,69.39,64.41,64.93,5728800,30.73
"2008-09-09",63.9,64.67,57.13,57.14,10031400,27.04
"2008-09-10",58.26,60.07,57.25,59.22,7549000,28.02
"2008-09-11",58.32,60.27,56.34,58.98,9304000,27.91
"2008-09-12",59.94,61.81,59.01,61.44,6779200,29.07
"2008-09-15",58.22,59.8,56.67,57.55,11588600,27.23
"2008-09-16",56.3,59.05,53.79,58.83,11157200,27.84
"2008-09-17",58.63,60.28,55.56,57.87,9540000,27.38
"2008-09-18",59.67,61.12,56.59,58.02,7924400,27.46
"2008-09-19",60.07,64.48,58.02,61.92,7572400,29.3
"2008-09-22",61.71,63.14,60.1,61.32,6766000,29.02
"2008-09-23",61.47,62.54,59.11,60,6728400,28.39
"2008-09-24",60.48,61.79,59.5,60.01,5685200,28.4
"2008-09-25",59.93,60.66,58.98,60.12,4963200,28.45
