"","NBL.Open","NBL.High","NBL.Low","NBL.Close","NBL.Volume","NBL.Adjusted"
"2007-01-03",48.29,48.85,47.34,47.88,3362000,22.37
"2007-01-04",47.44,47.83,46.87,47.1,4001800,22
"2007-01-05",47.13,48.05,46.62,47.78,2830600,22.32
"2007-01-08",48.29,48.88,47.44,48.17,2362800,22.5
"2007-01-09",47.58,48.18,46.86,48.01,2886200,22.43
"2007-01-10",47.61,47.82,46.64,46.69,3511200,21.81
"2007-01-11",46.53,47.85,46.04,46.33,3002600,21.64
"2007-01-12",46.5,47.79,46.23,47.45,3508600,22.17
"2007-01-16",47.33,48.34,47.07,47.45,4097400,22.17
"2007-01-17",47.38,48.54,47.24,47.89,2267600,22.37
"2007-01-18",48.24,48.73,47.42,47.95,2411800,22.4
"2007-01-19",48.35,49.54,48.15,49.3,3153400,23.03
"2007-01-22",50.08,50.11,49.28,49.61,2290400,23.17
"2007-01-23",49.97,51.32,49.93,50.8,2851600,23.73
"2007-01-24",50.39,51.49,50.04,51.41,3666400,24.02
"2007-01-25",51.35,51.39,49.94,50.35,3091600,23.52
"2007-01-26",50.45,50.99,49.58,49.84,3589600,23.28
"2007-01-29",50.01,50.93,49.92,50.25,2520200,23.47
"2007-01-30",50.56,52.82,50.56,52.76,4063400,24.65
"2007-01-31",52.5,53.78,52.25,53.41,4297000,24.95
"2007-02-01",53.67,53.98,52.85,53.5,3782000,25.03
"2007-02-02",53.7,53.71,53.03,53.6,2180400,25.07
"2007-02-05",53.84,54.57,53.62,53.73,2417800,25.13
"2007-02-06",54.07,54.19,52.98,53.56,2916800,25.06
"2007-02-07",53.56,53.97,52.67,53.08,2792400,24.83
"2007-02-08",52.78,53.03,52.08,52.72,3870800,24.66
"2007-02-09",53.17,53.83,53.01,53.45,3747800,25
"2007-02-12",52.93,53.49,52.68,53.38,3058000,24.97
"2007-02-13",53.8,54.37,53.2,54.17,2275600,25.34
"2007-02-14",54.39,55.7,54.23,55.61,5203800,26.01
"2007-02-15",55.31,55.89,54.91,55.73,4840200,26.07
"2007-02-16",55.79,56.67,55.43,56.49,3398000,26.43
"2007-02-20",56.26,57.61,55.35,57.25,5349200,26.78
"2007-02-21",57.07,57.84,56.75,57.75,3731400,27.02
"2007-02-22",56.99,58.87,56.99,58.69,3240400,27.46
"2007-02-23",58.82,59,58.04,58.65,2593400,27.44
"2007-02-26",58.87,59.48,58.38,58.44,3204000,27.34
"2007-02-27",57.44,58.28,56.58,57.25,4851400,26.78
"2007-02-28",57.1,58.22,57.06,57.57,6606800,26.93
"2007-03-01",56.2,58.35,56.11,57.49,4597000,26.89
"2007-03-02",57.03,57.78,56.89,57.38,6394400,26.84
"2007-03-05",56.2,57.08,56.04,56.71,4829600,26.53
"2007-03-06",57.17,58.03,57.04,58.02,5170000,27.14
"2007-03-07",56.85,59.42,56.85,58.45,3792400,27.34
"2007-03-08",59.1,59.15,58.02,58.19,3257400,27.22
"2007-03-09",58.18,59.01,57.77,58.6,2554600,27.41
"2007-03-12",58.28,58.44,57.7,57.9,2999800,27.09
"2007-03-13",57.7,58.15,55.95,56.26,4176800,26.32
"2007-03-14",56.57,57.92,56.31,57.85,2967400,27.06
"2007-03-15",57.84,58.24,57.34,57.67,2015600,26.98
"2007-03-16",57.9,57.98,56.51,56.64,2716800,26.5
"2007-03-19",57.49,57.57,56.86,57.52,2920200,26.91
"2007-03-20",57.8,58.33,57.1,58.31,2741600,27.28
"2007-03-21",58.53,59.28,58.07,58.98,2163200,27.59
"2007-03-22",59.44,60.81,59.26,60.49,3146000,28.3
"2007-03-23",60.99,61.27,59.93,60.3,2333600,28.21
"2007-03-26",60.73,60.87,59.34,60.18,3822000,28.15
"2007-03-27",59.87,60.87,59.61,60.25,3229400,28.18
"2007-03-28",61.04,61.04,59.88,60.69,3249000,28.39
