"","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume","VNO.Adjusted"
"2007-12-12",91.36,92.55,88.65,89.69,1797500,68.93
"2007-12-13",89.2,89.85,87.12,89.23,1332700,68.58
"2007-12-14",89.04,89.43,86,86.18,1499300,66.23
"2007-12-17",85.64,86.44,84.31,84.52,1208300,64.96
"2007-12-18",84.96,86.09,82.82,85.4,1305900,65.63
"2007-12-19",86.04,87.07,84.51,86.18,1242800,66.23
"2007-12-20",87,87.29,84.5,85.63,1280300,65.81
"2007-12-21",86.6,87.77,86.04,87.09,1082000,66.93
"2007-12-24",86.44,90.02,86.44,89.95,510200,69.13
"2007-12-26",89.2,89.73,88.38,89.15,727600,68.51
"2007-12-27",89.13,89.13,86.61,87.05,891600,66.9
"2007-12-28",87.68,87.96,85.71,86.3,974100,66.32
"2007-12-31",85.82,88.47,85.82,87.95,975100,67.59
"2008-01-02",87.51,89.09,86.24,87.68,1277200,67.38
"2008-01-03",87.45,87.75,84.11,84.57,1436900,64.99
"2008-01-04",83.94,84.2,82.13,82.79,1911500,63.63
"2008-01-07",83.13,84.43,81.28,83.91,2165300,64.49
"2008-01-08",83.91,85.97,79.1,79.26,2202300,60.91
"2008-01-09",78.98,82.13,77.39,81.86,2127300,62.91
"2008-01-10",80.86,85.82,79.36,84.12,2520900,64.65
"2008-01-11",83.5,86.13,81.92,83.41,2211600,64.1
"2008-01-14",84.1,84.72,80.64,83,1733400,63.79
"2008-01-15",81.08,83.08,80.06,81.75,1598200,62.83
"2008-01-16",80.6,84.78,80.6,83.34,2292200,64.05
"2008-01-17",83.25,84.12,81.46,81.8,2079600,62.87
"2008-01-18",81.99,83.52,79.93,81.31,2389400,62.49
"2008-01-22",77.54,84.32,77.54,83.42,2461100,64.11
"2008-01-23",81.96,93.24,81.96,92.71,4616900,71.25
"2008-01-24",92.25,92.54,88.99,89.92,2200400,69.11
"2008-01-25",90.76,92,87,88.47,1803300,67.99
"2008-01-28",87.6,91.06,86.75,91,1517200,70.65
"2008-01-29",91.34,91.41,88.95,90.16,1070800,70
"2008-01-30",90.23,92.06,87.64,88.23,1604800,68.5
"2008-01-31",87.4,92.23,86.75,90.3,2256600,70.11
"2008-02-01",90.56,94.43,89.95,94,2034000,72.98
"2008-02-04",94.01,94.54,91.86,93.41,1558300,72.53
"2008-02-05",91.7,93.87,90.22,90.22,2039900,70.05
"2008-02-06",90.33,90.97,87.56,87.68,1423900,68.08
"2008-02-07",87.95,90.36,87,89.83,1434000,69.75
"2008-02-08",89.29,89.59,85.02,86.09,1590800,66.84
"2008-02-11",86.21,86.73,84.37,84.69,1163400,65.76
"2008-02-12",84.83,87.97,84.82,87.28,1390200,67.77
"2008-02-13",87.8,89.13,85.77,88.36,1531900,68.61
"2008-02-14",88.37,88.75,85.89,86.66,1225900,67.29
"2008-02-15",86.52,86.86,84.9,86.86,1117800,67.44
"2008-02-19",87.85,88.24,85,85.82,1014700,66.63
"2008-02-20",84.91,87.64,84.75,87.62,1268400,68.03
"2008-02-21",87.57,88.58,85.45,85.77,1514700,66.59
"2008-02-22",86.25,87.46,84.92,87.46,1168500,67.91
"2008-02-25",87.36,90.14,86.14,90.14,1536200,69.99
"2008-02-26",88.4,90.5,88.07,89.33,2414200,69.36
"2008-02-27",88.61,89.56,86.94,87.16,1515100,67.67
"2008-02-28",87.15,87.15,84.06,84.53,1594600,65.63
"2008-02-29",83.43,84.86,83.01,83.56,1620700,64.88
"2008-03-03",84.3,84.81,82.31,84.12,2103100,65.31
"2008-03-04",83.66,84.06,82.05,82.86,1820800,64.33
"2008-03-05",83.49,84.75,82.54,83.8,1064000,65.06
"2008-03-06",83.22,83.66,79.58,79.77,1743200,61.94
"2008-03-07",79.68,81.88,78.92,81,2397700,62.89
"2008-03-10",80.83,81.26,78.7,78.9,1697100,61.26
"2008-03-11",83.48,86.3,80.5,85.92,2422400,66.71
"2008-03-12",85.5,87,83.11,83.11,1901500,64.53
"2008-03-13",81.46,85.55,80,84.44,1939700,65.56
"2008-03-14",84.88,85.1,79.86,80.48,2619000,62.49
"2008-03-17",78.9,80.02,76.64,78.74,2661700,61.14
"2008-03-18",78.86,82.21,78.49,82.2,3336500,63.82
"2008-03-19",83.47,83.76,81.54,81.97,1823900,63.64
"2008-03-20",82.06,86.43,82.06,86.12,2609700,66.87
"2008-03-24",86.8,88.89,86.32,87.95,2392300,68.29
"2008-03-25",88.29,89.25,87.43,89.22,1764300,69.27
"2008-03-26",88.5,88.67,86.89,87.1,1415300,67.63
"2008-03-27",87.48,88.7,86.82,86.96,1465900,67.52
"2008-03-28",87.04,88.52,86.24,87.62,1735300,68.03
"2008-03-31",87.76,89.05,86.21,86.21,1556100,66.94
"2008-04-01",88.2,91.08,87.17,90.93,2050500,70.6
"2008-04-02",90.93,92.39,89.6,91.14,1687300,70.76
"2008-04-03",90.59,93.83,90.24,93.56,1488900,72.64
"2008-04-04",93.74,93.89,89.53,89.77,2189400,69.7
"2008-04-07",90.26,90.74,88.52,89.53,1871700,69.51
"2008-04-08",89.39,90,88.44,88.82,1237400,68.96
"2008-04-09",89.4,90,87.2,87.34,1197400,67.81
"2008-04-10",87.55,89.07,86.67,88.38,1070800,68.62
"2008-04-11",87.99,88.5,87.05,87.4,1712600,67.86
"2008-04-14",87.13,88.26,86.16,86.3,971400,67.01
"2008-04-15",86.73,87.7,85.94,87.38,1276000,67.84
"2008-04-16",88.34,91.23,87.59,91.12,1508400,70.75
"2008-04-17",90.67,91.87,90.01,91.79,838500,71.27
"2008-04-18",93.16,93.63,91.27,91.98,1370600,71.42
"2008-04-21",91.3,91.92,90.71,90.98,822700,70.64
"2008-04-22",91.24,92.65,90.57,91.39,1267700,70.96
"2008-04-23",92.35,94.28,91.49,93.29,1290100,72.43
"2008-04-24",91.27,95.15,91.14,95.03,1947100,73.78
"2008-04-25",95.29,95.89,93.6,94.76,984000,73.57
"2008-04-28",94.95,95.26,94,95.08,1400300,73.82
"2008-04-29",95,95.51,94.28,94.75,1610000,73.57
"2008-04-30",94.85,96,93.09,93.09,1205000,72.28
"2008-05-01",93.51,95.88,92.76,95.56,1682600,74.2
"2008-05-02",97.15,97.85,95.7,96.03,1600200,74.56
"2008-05-05",95.86,99.7,95.39,96.11,934200,74.62
"2008-05-06",94.53,96.5,94.53,96.44,961600,74.88
"2008-05-07",96.66,97,94.37,94.46,973600,73.34
"2008-05-08",94.3,94.6,93,93.39,849200,73.21
"2008-05-09",92.93,94.14,92,92.48,746100,72.49
"2008-05-12",93.4,95.6,92.5,95.53,858500,74.89
"2008-05-13",96.03,96.13,94.72,95.9,780800,75.18
"2008-05-14",96.64,97.85,95.9,97.29,1043900,76.27
"2008-05-15",97.09,98.02,96.31,98.02,869300,76.84
"2008-05-16",97.86,98.29,96.32,97.16,897100,76.16
"2008-05-19",97.47,98.77,96.94,98.09,838100,76.89
"2008-05-20",97.85,98.14,95.95,96.4,886400,75.57
"2008-05-21",96.28,97.69,94.55,94.69,1199600,74.23
"2008-05-22",94.6,95.42,94.23,94.63,812600,74.18
"2008-05-23",93.86,94.99,93.81,94.31,836600,73.93
"2008-05-27",94.7,96.26,94.52,95.98,556700,75.24
"2008-05-28",96.32,96.8,95.27,96.36,923700,75.54
"2008-05-29",96.81,98.18,96.1,98.15,1167800,76.94
"2008-05-30",98.15,98.56,97.19,97.73,745600,76.61
"2008-06-02",97.5,97.54,94.39,95.07,1023200,74.52
"2008-06-03",95.67,96,94.11,95.31,1094600,74.71
"2008-06-04",95.15,96.75,94.55,95.77,942100,75.07
"2008-06-05",96.16,98.77,95.68,98.77,740800,77.43
"2008-06-06",97.99,98,93.04,93.47,1398800,73.27
"2008-06-09",93.57,94.87,91.42,91.67,1119700,71.86
"2008-06-10",91.3,92.64,90.39,92.26,1400500,72.32
"2008-06-11",91.9,92.54,90.38,90.68,1154200,71.08
"2008-06-12",91.82,93.36,91.8,93.36,1356600,73.18
"2008-06-13",93.61,94.33,91.66,94.18,902400,73.83
"2008-06-16",94.26,96.94,94.26,96.62,1273100,75.74
"2008-06-17",97.18,97.48,93.8,93.88,997200,73.59
"2008-06-18",92.94,93.98,91.85,92.33,1186200,72.38
"2008-06-19",92.3,94.17,91.63,94.16,986700,73.81
"2008-06-20",94.33,94.33,92.03,92.27,1263100,72.33
"2008-06-23",93.05,93.37,89.59,89.78,1184100,70.38
"2008-06-24",89.78,91.04,88.45,89.65,1213300,70.28
"2008-06-25",89.91,92.68,89.9,91.48,1546200,71.71
"2008-06-26",90.48,90.6,87.44,87.65,1364900,68.71
"2008-06-27",87.77,88.71,86.64,87.16,1590500,68.32
"2008-06-30",91.2,91.2,86.86,88,1247200,68.98
"2008-07-01",86.82,88.64,86.01,88.64,1682500,69.48
"2008-07-02",88.58,89.85,87.47,87.47,1286600,68.57
"2008-07-03",88.47,89.45,86.91,87.78,617100,68.81
"2008-07-07",88.43,89.52,85,85.6,1567300,67.1
"2008-07-08",85.49,92.79,84.73,91.71,1876400,71.89
"2008-07-09",91.56,91.56,85.58,85.88,1938000,67.32
"2008-07-10",85.72,89,85.5,87.57,2224500,68.65
"2008-07-11",85.8,90.05,85.56,87.66,2176800,68.72
"2008-07-14",88.59,88.99,84.71,85.26,2001600,66.83
"2008-07-15",84.11,88.35,83.93,85.58,2536300,67.09
"2008-07-16",85.72,90.53,84.37,90.03,3045900,70.57
"2008-07-17",90.6,91.28,87.47,90.06,2897100,70.6
"2008-07-18",90.18,91.23,88.66,91.23,2109400,71.51
"2008-07-21",91.45,91.6,90.17,90.99,2468600,71.33
"2008-07-22",89.79,94.23,88.74,93.93,2008400,73.63
"2008-07-23",94.25,98.5,93.85,95.97,2227600,75.23
"2008-07-24",96.3,96.51,89.3,89.59,2232300,70.23
"2008-07-25",89.73,93.61,89.1,92,1643600,72.12
"2008-07-28",91.82,93.29,88.44,88.99,1953000,69.76
"2008-07-29",89.25,95.62,89.2,95.2,2995300,74.63
"2008-07-30",95.75,96.67,92.25,94.67,2127500,74.21
"2008-07-31",93.01,96.33,92.65,95.07,1521000,74.52
"2008-08-01",94.84,95.66,92.06,94.41,1188100,74.01
"2008-08-04",94.4,94.4,92.02,92.4,1392600,72.43
"2008-08-05",93.39,99.04,91.73,98.11,2282800,76.91
"2008-08-06",98.1,99.99,96.34,99.12,1742200,77.7
"2008-08-07",97.51,100,96.68,97.72,2924400,77.3
"2008-08-08",97.63,101.48,97.63,100.92,2056500,79.84
"2008-08-11",101.02,105.34,100,104.05,1897500,82.31
"2008-08-12",102.35,103.9,100.14,101.14,1834400,80.01
"2008-08-13",100.8,101.14,98.61,99.93,1850300,79.05
"2008-08-14",98.53,102.14,98.5,101.91,1442500,80.62
"2008-08-15",101.9,103.25,100.45,102.22,1137300,80.86
"2008-08-18",103.12,103.12,98.42,98.9,1819500,78.24
"2008-08-19",98,98.28,96.06,96.81,1757600,76.58
"2008-08-20",97.14,97.83,94.91,97.03,1494900,76.76
"2008-08-21",95.92,97.31,95.3,96.03,1585400,75.97
"2008-08-22",97.03,100.65,97,100.2,1519700,79.27
"2008-08-25",99.21,99.82,96.11,96.47,1513800,76.32
"2008-08-26",96.38,97.27,94.57,96.51,1188300,76.35
"2008-08-27",96.23,98.48,95.78,97.67,920100,77.26
"2008-08-28",98.66,101.12,97.83,100.58,1184100,79.57
"2008-08-29",99.79,101.04,99.1,99.46,990800,78.68
"2008-09-02",101.99,102.27,99.05,100.94,1213300,79.85
"2008-09-03",100.99,102.97,100.15,102.76,1034400,81.29
"2008-09-04",102.1,102.57,99.85,100.44,1836000,79.46
"2008-09-05",99.14,100.4,97.88,100.03,1948500,79.13
"2008-09-08",103.85,104.84,101.08,104.84,2788900,82.94
"2008-09-09",104.98,104.99,99.77,100.71,2479300,79.67
"2008-09-10",101.9,102.53,98.83,101.35,1811200,80.18
"2008-09-11",98.95,103.05,98.34,102.88,1677400,81.39
"2008-09-12",101.35,103.96,100.38,103.84,1482300,82.15
"2008-09-15",98.99,98.99,88.7,88.7,6453000,70.17
"2008-09-16",87.98,96.85,87.92,95.12,4735800,75.25
"2008-09-17",92.13,95.04,87.3,88,3796100,69.61
"2008-09-18",86.99,100.92,84.75,100.92,6297300,79.84
"2008-09-19",101.05,108.15,95.6,105.74,6014700,83.65
"2008-09-22",104.27,104.7,92.7,93.45,3162400,73.93
"2008-09-23",94.07,97.3,92.43,92.74,3055500,73.36
"2008-09-24",93.65,94.79,89.9,91.46,2297200,72.35
"2008-09-25",92.44,93.88,89.62,92.38,2032000,73.08
"2008-09-26",90.5,95.05,89.45,94.71,2093100,74.92
"2008-09-29",92.25,93.45,83,86.26,3423300,68.24
"2008-09-30",88.24,91.49,87.38,90.95,2547200,71.95
"2008-10-01",89.5,90.65,87.34,90.14,2023800,71.31
"2008-10-02",89.69,90.33,83.88,84.38,3023000,66.75
