"","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume","VNO.Adjusted"
"2007-01-03",122.71,122.71,120.73,121.71,1270300,90.82
"2007-01-04",122.4,122.5,121.36,122,1913700,91.03
"2007-01-05",121.47,121.74,119.24,119.55,1329300,89.2
"2007-01-08",117.51,119.26,116.29,118.14,1803200,88.15
"2007-01-09",119,120.34,117.92,119.9,1307600,89.46
"2007-01-10",119.91,121.6,119.25,121.55,1273900,90.7
"2007-01-11",122,123.84,121.85,122.74,907800,91.58
"2007-01-12",122.49,123.64,122.37,122.98,677800,91.76
"2007-01-16",123,126.04,122.92,125.93,1190300,93.96
"2007-01-17",125.6,126.25,122.08,122.55,1880400,91.44
"2007-01-18",121.44,121.62,119.65,119.9,3931800,89.46
"2007-01-19",120.1,122.97,119.84,122.6,1533100,91.48
"2007-01-22",122.5,122.94,121.57,121.83,825000,90.9
"2007-01-23",122.06,123.4,122.01,122.42,538600,91.35
"2007-01-24",123,124.79,122.92,124.65,7e+05,93.01
"2007-01-25",125.3,126.24,124.11,125.76,1569200,93.84
"2007-01-26",125.76,125.94,123.33,124.27,1212500,92.73
"2007-01-29",123.47,125.11,123.42,125.11,1004700,94
"2007-01-30",125.11,125.85,122.87,123.55,1923700,92.82
"2007-01-31",123.6,123.6,120.95,122.35,2488800,91.92
"2007-02-01",122.32,126.05,120.94,125.74,3079300,94.47
"2007-02-02",125.1,126.89,124.81,125.35,1447300,94.18
"2007-02-05",124.7,125.56,124.55,125.1,1172200,93.99
"2007-02-06",126,127.7,125.62,127,1684400,95.42
"2007-02-07",130.04,135.9,128.51,135.75,5298300,101.99
"2007-02-08",136.05,136.55,133.55,134.65,2265200,101.16
"2007-02-09",134.45,136.02,130.4,133.34,3194000,100.18
"2007-02-12",132.9,133,130.06,131.39,1649800,98.71
"2007-02-13",130.51,134.48,130.04,134.32,1597600,100.91
"2007-02-14",133.9,135.06,132.64,133.91,1610400,100.61
"2007-02-15",134.16,134.61,132.14,133.3,1396000,100.15
"2007-02-16",133.3,134,131.9,133.99,1169700,100.67
"2007-02-20",134,135.24,131.99,134.77,1219000,101.25
"2007-02-21",134.67,135.33,134.21,135.13,885700,101.52
"2007-02-22",134,136,133.62,134.1,993000,100.75
"2007-02-23",134.1,134.42,131.69,132,911700,99.17
"2007-02-26",132.34,133.36,129.43,132.15,1311900,99.28
"2007-02-27",131.96,133.95,125.11,127.1,1799900,95.49
"2007-02-28",128.37,129.13,126.99,127.2,1984700,95.57
"2007-03-01",127.99,128.12,123.51,126,1923500,94.66
"2007-03-02",125.05,125.51,121.34,121.6,2033000,91.36
"2007-03-05",121.36,122.2,117,117.36,2002900,88.17
"2007-03-06",117.69,123.89,117.69,122.88,1583200,92.32
"2007-03-07",122.99,122.99,120.17,120.53,1312300,90.55
"2007-03-08",123,125.25,122.78,123.47,1282600,92.76
"2007-03-09",124.42,125.2,123.46,124.36,774500,93.43
"2007-03-12",123.81,125.47,123.01,124.42,740300,93.48
"2007-03-13",123.84,124.39,120.01,120.16,1751600,90.28
"2007-03-14",120.5,122.55,119.51,122,1703900,91.66
"2007-03-15",122.21,123.18,120.88,122.23,883500,91.83
"2007-03-16",122.7,122.83,120.16,120.91,1531700,90.84
"2007-03-19",120.91,121.77,120.17,121.62,827400,91.37
"2007-03-20",121.4,122.53,120.71,122.36,689000,91.93
"2007-03-21",122.69,125.06,121.64,124.97,1548500,93.89
"2007-03-22",121.83,123.08,121.34,122.13,4025400,91.76
"2007-03-23",122.24,123.3,122.1,122.17,1245600,91.79
"2007-03-26",121.98,123.17,119.82,120.69,1470300,90.67
"2007-03-27",120.69,120.69,118.23,118.85,1226100,89.29
"2007-03-28",118.25,118.93,116.96,118,1374400,88.65
"2007-03-29",119.06,119.08,117,117.44,1453100,88.23
"2007-03-30",117.69,119.8,117.45,119.34,1222300,89.66
"2007-04-02",119.34,120.29,118.48,120.21,1020500,90.31
"2007-04-03",120.99,121.61,120.01,120.92,950700,90.85
"2007-04-04",120.92,121.24,119.04,120.14,882500,90.26
"2007-04-05",120.14,120.69,119.73,120.14,550100,90.26
"2007-04-09",120.39,121.06,119.98,120.75,620600,90.72
"2007-04-10",120.99,121.75,120.59,121.62,784600,91.37
"2007-04-11",121,122,118.39,119.14,930600,89.51
"2007-04-12",115.69,119.33,115.69,119.04,1049000,89.43
"2007-04-13",122.48,122.48,117.96,120.35,937100,90.42
"2007-04-16",120.93,120.99,119.61,120.5,845600,90.53
"2007-04-17",123.96,123.96,119.94,121.44,689100,91.24
"2007-04-18",121.44,121.44,119.92,119.93,1308700,90.1
"2007-04-19",119.94,120.72,119.16,120.1,759000,90.23
"2007-04-20",120.72,121.55,120.72,121.26,936100,91.1
"2007-04-23",121.26,122.63,121,122.55,1057200,92.07
"2007-04-24",122.93,122.98,121.07,121.35,633600,91.17
"2007-04-25",121.76,122.29,119.98,121.7,779100,91.43
"2007-04-26",121.45,122.15,120.71,121.5,652700,91.28
"2007-04-27",120.67,121.45,120,121.17,566200,91.68
"2007-04-30",121.42,121.43,118.6,118.63,890600,89.75
"2007-05-01",118.73,119.93,116.47,118.33,1434600,89.53
"2007-05-02",118.25,120.72,118.04,120.45,1321000,91.13
"2007-05-03",122.77,122.77,120.1,120.48,726200,91.15
"2007-05-04",120.73,121,119.06,119.56,917900,90.46
"2007-05-07",120.88,120.88,119.95,120.47,680700,91.15
"2007-05-08",120.47,120.47,119.1,119.1,967000,90.11
"2007-05-09",119.11,120.75,119.1,120.19,891400,90.94
"2007-05-10",119.94,120.28,117.91,118.05,952900,89.32
"2007-05-11",118.2,119.86,118.11,119.66,627900,90.53
"2007-05-14",120,120.58,118.71,118.77,597900,89.86
"2007-05-15",118.78,119.7,116.54,116.68,1031400,88.28
"2007-05-16",116.85,117.28,114.32,115.2,1463000,87.16
"2007-05-17",114.52,114.92,113.09,113.54,1516900,85.9
"2007-05-18",113.9,113.98,111.35,111.49,1763900,84.35
"2007-05-21",108.04,114.03,104.03,113.1,2242500,85.57
"2007-05-22",113.77,115.41,113.25,114.83,1219100,86.88
"2007-05-23",114.25,115.97,113.2,113.23,1136000,85.67
"2007-05-24",113.2,113.5,110.34,111.38,1331500,84.27
"2007-05-25",111.63,113.49,111.24,112.14,1095400,84.84
"2007-05-29",114.65,116.42,114.23,116.15,1804500,87.88
"2007-05-30",116.25,120.33,116,119.67,2226000,90.54
"2007-05-31",119.69,121.14,118.46,121.01,1979900,91.56
"2007-06-01",121.5,121.55,119.68,120.51,1621300,91.18
"2007-06-04",120.51,123.27,119.99,120.89,1258000,91.46
"2007-06-05",119.3,120.89,118.75,118.79,1010200,89.88
"2007-06-06",118.59,119.41,117.48,117.68,1321000,89.04
"2007-06-07",117,117.16,113.5,114.31,1686500,86.49
"2007-06-08",114.1,116.76,113.5,116.62,1154800,88.23
"2007-06-11",115.62,115.84,114.15,114.25,891300,86.44
"2007-06-12",114.23,114.25,111.76,111.83,1507400,84.61
"2007-06-13",112.33,115.02,112.3,114.83,1314200,86.88
"2007-06-14",114.25,115,113.4,114.38,1246100,86.54
"2007-06-15",115.25,117.1,114.71,116.55,1379700,88.18
"2007-06-18",117,117,115.1,115.2,1043400,87.16
"2007-06-19",115.2,115.35,113.92,114.78,1048800,86.84
"2007-06-20",115.03,115.14,111.58,111.58,1058500,84.42
"2007-06-21",111.08,111.31,108.33,110.41,2698300,83.54
"2007-06-22",109.61,110.03,108.47,109.23,1334400,82.64
"2007-06-25",108.63,109.72,106.51,107.37,1405400,81.24
"2007-06-26",108.5,108.95,106.7,107.8,1390200,81.56
"2007-06-27",107.8,112.79,105.77,111.86,2139000,84.63
"2007-06-28",111.81,112.81,108.64,110.09,1574600,83.29
"2007-06-29",110.1,111.58,109.04,109.84,1757200,83.1
"2007-07-02",112.05,114.83,111.6,114.76,2017400,86.83
"2007-07-03",114.44,115.68,113.66,113.9,641300,86.18
"2007-07-05",115.8,117.21,114.59,115.01,1287300,87.02
"2007-07-06",114.85,115.2,113.83,114.58,766500,86.69
"2007-07-09",114.57,115.76,113.49,115.6,1236000,87.46
"2007-07-10",114.46,114.88,112.91,113.15,1653700,85.61
"2007-07-11",112.75,112.9,111.18,112.12,1188800,84.83
"2007-07-12",112.05,112.92,111.63,112.75,1505400,85.31
"2007-07-13",113.34,114.38,112.79,114.05,956400,86.29
"2007-07-16",114.3,115.32,113.67,113.74,1106400,86.06
"2007-07-17",114.43,114.8,113.63,113.76,1096000,86.07
"2007-07-18",113.4,114.23,112.19,114.06,1594600,86.3
"2007-07-19",114.55,115.11,113.49,114.2,792500,86.4
"2007-07-20",113.5,113.77,110.94,112.33,1492600,84.99
"2007-07-23",113,113.16,110.26,110.26,1063900,83.42
"2007-07-24",109.92,110.96,107.61,108.33,1381300,81.96
"2007-07-25",110,110.2,107,108.63,1406100,82.19
"2007-07-26",110.01,110.01,103.57,105.7,2339000,79.97
"2007-07-27",102.64,108.85,102.64,102.68,2047300,77.69
"2007-07-30",102.7,104.13,101.68,103.59,1586700,78.38
"2007-07-31",107,110,106.01,107.03,2516600,80.98
"2007-08-01",106.9,108.57,104.65,107.96,1982900,81.68
"2007-08-02",108.03,110.14,107.47,109.23,2095300,82.64
"2007-08-03",109.7,109.8,103.25,105.15,1792800,79.56
"2007-08-06",108.19,108.19,102.5,107.48,1435400,81.32
"2007-08-07",105.5,109,105,106.97,1467100,81.58
"2007-08-08",103.48,113.05,103.48,111.26,2228000,84.85
"2007-08-09",104.81,112.62,83.59,110.35,1945000,84.16
"2007-08-10",108.28,109.35,104,104.3,2437200,79.54
"2007-08-13",105,105.98,103,103.37,1534500,78.83
"2007-08-14",103.37,104.33,98.5,98.51,2057500,75.13
"2007-08-15",97.9,101.2,97.22,97.73,2206800,74.53
"2007-08-16",97.08,99.95,92.74,99.45,4721100,75.84
"2007-08-17",102.5,105.28,96.5,100.1,3012600,76.34
"2007-08-20",100.3,104.04,99.39,103.66,1935200,79.05
"2007-08-21",103.66,107.27,102.71,107.27,1791700,81.81
"2007-08-22",108.1,108.34,106.53,107.56,1252100,82.03
"2007-08-23",108.84,109.3,105.52,106.65,1099800,81.33
"2007-08-24",106.02,106.74,105.15,106.49,783500,81.21
"2007-08-27",106.5,106.5,104,104.5,837700,79.69
"2007-08-28",104.6,104.99,100.5,100.56,1578400,76.69
"2007-08-29",101.5,103.65,101,103.65,1225400,79.05
"2007-08-30",102.6,105.11,102.6,104.68,818400,79.83
"2007-08-31",105.55,107.99,104.29,106.59,1470000,81.29
"2007-09-04",106.38,109.2,105.8,108.03,964400,82.39
"2007-09-05",107.03,107.27,104.76,105.15,1052200,80.19
"2007-09-06",105.32,106.72,104.1,106.32,629300,81.08
"2007-09-07",104.8,105.61,103.58,104.49,919700,79.69
"2007-09-10",104.97,105.25,101.62,103.28,1259000,78.76
"2007-09-11",104.1,104.99,103.18,103.92,987300,79.25
"2007-09-12",102.65,104.42,102.65,103.5,877400,78.93
"2007-09-13",104,105.83,103.9,104.87,938400,79.98
"2007-09-14",104.3,105.21,103.31,105.18,872600,80.21
"2007-09-17",104.75,105.16,103.09,103.64,508100,79.04
"2007-09-18",104.25,107.21,103.32,107.21,1340700,81.76
"2007-09-19",107.24,110.24,107.24,109.24,1559000,83.31
"2007-09-20",109.23,109.45,107.03,107.03,776400,81.62
"2007-09-21",108.65,109.36,106.5,106.54,1491600,81.25
"2007-09-24",106.52,108.99,106.52,108.7,897500,82.9
"2007-09-25",108.3,108.36,105.61,106.45,840700,81.18
"2007-09-26",107.2,108.91,106.69,108.18,1119200,82.5
"2007-09-27",108.52,109.69,108.17,109.69,834600,83.65
"2007-09-28",109.54,110.5,108.58,109.35,1074700,83.39
"2007-10-01",110.83,112.89,109.1,112.59,1530300,85.86
"2007-10-02",112.8,114.13,112.42,114.13,1411700,87.04
"2007-10-03",113.55,114.68,112.8,113.95,874800,86.9
"2007-10-04",114.1,114.4,112.09,114.4,894100,87.24
"2007-10-05",114.76,116.36,113.8,115.93,1318700,88.41
"2007-10-08",115.3,116.76,114.4,115.36,826800,87.98
"2007-10-09",115.8,117.25,114.7,117.19,1270700,89.37
"2007-10-10",116.76,116.79,114.32,115.24,1083000,88.57
"2007-10-11",116,117.42,115.16,116.11,1212100,89.23
"2007-10-12",115.25,115.85,113.07,113.52,1440900,87.24
"2007-10-15",113.54,113.99,110.31,110.75,983000,85.11
"2007-10-16",110.76,110.97,108.89,108.93,891300,83.72
"2007-10-17",110.45,110.67,107.86,110.67,1256600,85.05
"2007-10-18",109.68,112.09,107.85,111.08,874100,85.37
"2007-10-19",110.4,110.48,106.71,107.17,1161700,82.36
"2007-10-22",106.59,108.94,105.61,108.35,1209400,83.27
"2007-10-23",109.13,110.31,107.26,108.66,904900,83.51
"2007-10-24",108.15,108.57,106.26,108.34,912900,83.26
"2007-10-25",108.66,111.22,108.26,110.15,1616200,84.65
"2007-10-26",110.64,113.05,109.05,111.14,1279200,85.41
"2007-10-29",111.52,111.91,109.36,109.92,788600,84.48
"2007-10-30",111.39,111.39,109.37,109.88,785100,84.45
"2007-10-31",110.81,111.9,108.85,111.72,992300,85.86
"2007-11-01",109.62,111.5,104.46,107.87,1453000,82.9
"2007-11-02",108.04,108.12,103.65,105.46,1607200,81.05
"2007-11-05",105.05,105.56,102.82,103.7,1185900,79.7
"2007-11-06",104.71,104.81,101.36,103.27,1276500,79.37
"2007-11-07",101.61,102.64,99.05,99.05,1333700,76.12
"2007-11-08",99.06,100.64,96.85,99.25,1961800,76.28
"2007-11-09",98.67,100.13,97.7,98.83,1116400,75.95
"2007-11-12",98.59,100.3,97.15,97.42,1181000,74.87
"2007-11-13",97.52,100.85,97.52,100.85,1459100,77.51
"2007-11-14",100.95,102.13,97.83,98.07,1493900,75.37
"2007-11-15",97.92,100.18,97.02,98.1,1496200,75.39
"2007-11-16",100.93,100.93,95.57,96.96,1322500,74.52
"2007-11-19",95.82,96.1,92.45,92.6,1908100,71.17
"2007-11-20",92.08,94.3,88.79,90.63,2240600,69.65
"2007-11-21",89.12,90.8,88.56,89.56,1511800,68.83
"2007-11-23",90,91.1,89.72,90.83,709800,69.81
"2007-11-26",91.24,91.24,86,86.28,1968400,66.31
"2007-11-27",85.01,87.59,85.01,87.09,2104800,66.93
"2007-11-28",87.96,90.71,87.6,89.61,2160500,68.87
"2007-11-29",89.11,90.34,87.92,89.53,1136400,68.81
"2007-11-30",91,91.61,89.33,90,2348400,69.17
"2007-12-03",89.34,89.86,88.27,88.94,998600,68.35
"2007-12-04",88.59,88.91,86.77,86.77,1049600,66.69
"2007-12-05",87.4,90.09,87.4,89.79,1253200,69.01
"2007-12-06",91.7,93,89.62,93,1071500,71.47
"2007-12-07",93.31,93.98,91.09,91.41,1069100,70.25
"2007-12-10",91.85,94.1,91.05,93.94,663800,72.2
"2007-12-11",94.27,94.72,88.68,88.7,1693000,68.17
