"","CF.Open","CF.High","CF.Low","CF.Close","CF.Volume","CF.Adjusted"
"2007-01-03",25.89,26.74,25.7,26.46,769500,25.28
"2007-01-04",26.45,26.89,26.3,26.75,429300,25.56
"2007-01-05",25.85,26.66,25.85,26.59,433100,25.41
"2007-01-08",26.59,26.74,26.09,26.42,508900,25.25
"2007-01-09",26.48,27.1,26.45,27.02,603500,25.82
"2007-01-10",27.02,27.27,26.95,27.15,696900,25.94
"2007-01-11",27.19,27.82,27.1,27.7,539000,26.47
"2007-01-12",28.21,29.28,28.15,29.03,1070900,27.74
"2007-01-16",29.21,29.77,29.19,29.4,985900,28.09
"2007-01-17",29.39,29.6,29.21,29.4,740100,28.09
"2007-01-18",29.42,29.51,28.83,28.84,555800,27.56
"2007-01-19",28.8,29.35,28.72,29.29,641900,27.99
"2007-01-22",29.3,29.33,28.6,28.67,498900,27.4
"2007-01-23",28.6,29.28,28.35,28.94,942100,27.65
"2007-01-24",28.93,29.1,27.8,28.82,522200,27.54
"2007-01-25",28.8,28.95,28.21,28.32,367200,27.06
"2007-01-26",28.32,28.89,28.2,28.7,639500,27.42
"2007-01-29",28.87,32.18,28.65,31.48,2012000,30.08
"2007-01-30",31.57,31.75,30.69,30.77,1271100,29.4
"2007-01-31",30.78,31.28,30.38,30.5,1181400,29.14
"2007-02-01",31.4,32.91,31.4,31.82,1067000,30.41
"2007-02-02",32,32.02,31.39,31.56,339500,30.16
"2007-02-05",31.61,32.08,31.54,31.63,373200,30.22
"2007-02-06",31.66,32.03,31.01,31.5,693000,30.1
"2007-02-07",31.5,32.18,31.34,32.08,382900,30.65
"2007-02-08",32.28,32.48,31.54,32.4,611400,30.96
"2007-02-09",33.75,34,32.42,32.86,1095100,31.4
"2007-02-12",33.05,34.15,32.96,33.33,1292600,31.85
"2007-02-13",33.41,35.5,32.89,33.96,852400,32.45
"2007-02-14",34.11,34.57,33.92,34.32,797900,32.79
"2007-02-15",34.35,34.8,34.02,34.58,795000,33.06
"2007-02-16",34.58,34.9,34.01,34.35,673000,32.84
"2007-02-20",34.9,37.64,34.55,37.18,1740400,35.55
"2007-02-21",37.26,38.74,37.16,38.43,1805800,36.74
"2007-02-22",38.42,39.58,37.39,38.76,2644300,37.06
"2007-02-23",38.76,40.46,38.6,39.58,2074400,37.84
"2007-02-26",40.1,40.35,39.12,39.56,1054100,37.82
"2007-02-27",37.4,38.38,36.73,37.25,1778300,35.61
"2007-02-28",37.42,39,36.27,38.66,1267500,36.96
"2007-03-01",38.15,38.97,36.26,38,1663300,36.33
"2007-03-02",37.6,38.43,36.2,36.56,1667400,34.95
"2007-03-05",35.99,38.31,35.02,37.2,1586700,35.57
"2007-03-06",37.83,39.18,37.32,38.7,1549600,37
