"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2007-05-17",81.48,81.99,80.49,81.26,662600,81.26
"2007-05-18",82,82.96,80.82,82,366200,82
"2007-05-21",82.48,82.49,81.07,81.8,495900,81.8
"2007-05-22",82,82.35,81.29,82.04,238200,82.04
"2007-05-23",82.15,82.25,80.41,80.7,676400,80.7
"2007-05-24",81.2,82.72,80.98,82.44,495800,82.44
"2007-05-25",82.5,86.63,82.5,86.55,797700,86.55
"2007-05-29",87.25,87.54,85.2,85.65,507200,85.65
"2007-05-30",85.5,86.26,85,86.06,266400,86.06
"2007-05-31",86.06,87,86,86.62,308900,86.62
"2007-06-01",87,88.7,86.72,87.81,646100,87.81
"2007-06-04",87.82,88.33,86.16,87.52,269400,87.52
"2007-06-05",87.65,87.7,85.96,86.26,501000,86.26
"2007-06-06",85.7,85.7,84.37,84.57,339000,84.57
"2007-06-07",82.85,84.45,82.53,82.85,815900,82.85
"2007-06-08",82.65,84.77,82.61,84.76,329600,84.76
"2007-06-11",84.65,85.09,84.01,84.49,379300,84.49
"2007-06-12",84.49,84.72,82.25,82.62,311700,82.62
"2007-06-13",82.65,83.71,82.25,83.35,340900,83.35
"2007-06-14",83.79,85.23,83.69,83.91,308200,83.91
"2007-06-15",84.55,85.25,84.48,85.05,348900,85.05
"2007-06-18",85,87,84.27,85.67,200900,85.67
"2007-06-19",85.78,86.18,84.75,85.93,154500,85.93
"2007-06-20",86.18,86.5,84.45,84.45,219000,84.45
"2007-06-21",84.45,84.45,83,83.45,242400,83.45
"2007-06-22",81.2,81.75,79.04,79.58,1031100,79.58
"2007-06-25",80,81.4,79.62,80.72,604600,80.72
"2007-06-26",80.73,81.36,80.45,80.88,207300,80.88
"2007-06-27",80.42,82.75,80.09,82.3,303500,82.3
"2007-06-28",82.5,82.99,81.86,82.52,230900,82.52
"2007-06-29",84,86.91,83.81,85.28,1069600,85.28
"2007-07-02",86.15,87,85.31,86,418100,86
"2007-07-03",86.01,86.01,84,84.2,502600,84.2
"2007-07-05",84.65,85,82.43,82.58,363200,82.58
"2007-07-06",82.95,85.45,82.76,85.45,466300,85.45
"2007-07-09",85.46,86,84.7,85.76,303900,85.76
"2007-07-10",85.3,86.24,84.83,85.27,293300,85.27
"2007-07-11",85.23,85.56,84.59,85.21,206600,85.21
"2007-07-12",86.15,90.49,86.04,89.82,666100,89.82
"2007-07-13",90,91.1,88.13,90.52,420400,90.52
"2007-07-16",91.98,92,88.77,88.8,274300,88.8
"2007-07-17",89,89.39,85.75,86.04,381200,86.04
"2007-07-18",85.14,86.97,84.6,86.78,594300,86.78
"2007-07-19",86.79,87.94,86.71,87.44,217300,87.44
"2007-07-20",87.5,87.5,85.29,85.73,218000,85.73
"2007-07-23",86.23,87.59,86.02,86.81,154000,86.81
"2007-07-24",86.22,86.47,80.77,82.21,679800,82.21
"2007-07-25",83.1,83.8,78.49,79.59,801500,79.59
"2007-07-26",78.34,81.74,77.51,78.54,932900,78.54
"2007-07-27",79,83.14,78.51,81.5,864900,81.5
"2007-07-30",82,88.23,81.92,87.57,808200,87.57
"2007-07-31",88,90.5,86.46,88.34,1378200,88.34
"2007-08-01",94.1,99.85,94.1,99.19,2086300,99.19
"2007-08-02",99.5,100.7,97.06,99.91,1050900,99.91
"2007-08-03",98.32,101.16,97.5,97.9,587600,97.9
"2007-08-06",98.26,99.5,96.66,99.4,700900,99.4
"2007-08-07",99,110.05,98.61,108.5,1468100,108.5
"2007-08-08",110.3,114.22,106.68,107.56,1326800,107.56
"2007-08-09",104.11,107.78,102.26,104.05,910500,104.05
"2007-08-10",101,103,100.17,101.7,1039000,101.7
"2007-08-13",103.95,104.8,101.03,102.01,355800,102.01
"2007-08-14",102.01,103.16,95.73,96.08,870600,96.08
"2007-08-15",95.86,98.05,94.95,95.36,571800,95.36
"2007-08-16",93.77,96.5,92,96,953800,96
"2007-08-17",99.45,101.5,98.25,99.95,667200,99.95
"2007-08-20",99.95,102.75,99.5,101.16,425700,101.16
"2007-08-21",101.89,102,99.5,99.65,371900,99.65
"2007-08-22",100.93,102.07,99.93,102,275200,102
"2007-08-23",102.01,103.52,100.65,101.37,205100,101.37
"2007-08-24",101.81,103.72,100.53,102.91,171700,102.91
"2007-08-27",102.7,103.64,99.52,99.55,358800,99.55
"2007-08-28",98.1,99.27,96.8,97.13,328100,97.13
"2007-08-29",98,101.83,97.51,100.67,313000,100.67
"2007-08-30",100.29,100.82,99.25,100.05,159900,100.05
"2007-08-31",100.98,104.53,100.23,103.99,470900,103.99
"2007-09-04",104.49,109.39,102.51,107.75,406600,107.75
"2007-09-05",107.25,107.38,104.5,105.75,276500,105.75
"2007-09-06",106,106.77,103.22,105.26,297100,105.26
"2007-09-07",103.67,104,101.01,101.69,287400,101.69
"2007-09-10",101.55,103,99.25,100.54,233300,100.54
"2007-09-11",102.09,103.75,101.89,103.63,360500,103.63
"2007-09-12",103.51,106.79,102.87,103.51,277300,103.51
"2007-09-13",103.95,107.12,102.82,105.58,349500,105.58
"2007-09-14",104.9,105.91,104,105.74,289500,105.74
"2007-09-17",105.5,109,105.38,108.63,407800,108.63
"2007-09-18",109.5,112.4,105.46,111.8,863200,111.8
"2007-09-19",112.5,115.27,112.25,112.88,483200,112.88
"2007-09-20",112.88,114,110.25,110.84,295000,110.84
"2007-09-21",112,114.96,111.57,113.9,441800,113.9
"2007-09-24",114.99,118.45,113.25,114.49,765300,114.49
"2007-09-25",114,115.18,112.77,114.65,346400,114.65
"2007-09-26",116,118,114.93,117.09,539500,117.09
"2007-09-27",117.83,119.97,116.88,119.26,272700,119.26
"2007-09-28",116.73,119.89,116.72,118.13,539500,118.13
"2007-10-01",117.61,123.25,117.61,122.51,573500,122.51
"2007-10-02",121.09,127.26,120.62,124.27,749200,124.27
"2007-10-03",123.9,126.7,123.52,125.82,584500,125.82
"2007-10-04",126.95,126.95,122.88,123.76,387700,123.76
"2007-10-05",124.9,128.57,124.5,127.54,326900,127.54
