"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2007-08-17",98.54,98.54,88.22,95.25,2547300,56.38
"2007-08-20",95.67,98.39,95.07,97.43,1268400,57.67
"2007-08-21",97.24,98.74,96.32,98.19,1047900,58.12
"2007-08-22",98.94,104,98.94,103.51,2817600,61.27
"2007-08-23",103.93,104.89,101.37,102.08,2519200,60.61
"2007-08-24",102.46,105.17,102.23,105.16,2007200,62.44
"2007-08-27",105.11,108.72,104.8,106.58,1982200,63.28
"2007-08-28",105.75,106.09,102.15,102.34,2532400,60.76
"2007-08-29",103.2,105.9,102.94,105.9,1233400,62.88
"2007-08-30",104.75,106.62,104.02,105.09,2057000,62.4
"2007-08-31",106.15,107.93,105.91,107.47,1432400,63.81
"2007-09-04",107.23,110,106.76,109.47,1553700,65
"2007-09-05",108.47,109.43,107.81,109.01,2139300,64.72
"2007-09-06",109.01,110.44,108.45,110.04,2086000,65.34
"2007-09-07",108,108,105.06,105.3,2453400,62.52
"2007-09-10",105.75,106.74,103.1,103.98,2860400,61.74
"2007-09-11",104.32,105.3,103.32,104.46,2546400,62.02
"2007-09-12",103.8,104.07,102.46,103.14,2370200,61.24
"2007-09-13",103.66,105.35,102.98,104.69,1658000,62.16
"2007-09-14",103.87,107.31,103.38,107.19,2107500,63.64
"2007-09-17",106.99,109.86,106.74,109.23,1914600,64.86
"2007-09-18",109.35,115.2,108.9,115.2,2927600,68.4
"2007-09-19",116,117.64,115.12,115.12,2884000,68.35
"2007-09-20",115.69,116.12,114.42,114.95,2264000,68.25
"2007-09-21",116.05,116.21,113.69,113.96,2346900,67.66
"2007-09-24",112,113.44,109.78,110.31,2489100,65.5
"2007-09-25",109.79,111.17,109.15,110.4,2261600,65.55
"2007-09-26",111.35,113.03,111.1,112.47,1712100,66.78
"2007-09-27",113.42,114.07,112.01,112.45,1512800,66.77
"2007-09-28",112.06,113.99,111.19,111.83,1392900,66.4
"2007-10-01",111.83,115.13,110.65,114.23,1748600,67.82
"2007-10-02",76.07,76.31,73.55,74.12,1529700,66.01
"2007-10-03",73,73,71.15,71.55,2842200,63.72
"2007-10-04",72.03,72.37,71.56,72.05,1574600,64.17
"2007-10-05",72.35,74.04,72.35,73.54,1208900,65.5
"2007-10-08",73.55,74.83,73.55,74.57,1233300,66.41
"2007-10-09",75.31,75.31,73.83,74.89,976700,66.7
"2007-10-10",75.01,75.26,74.18,75.17,938700,66.95
"2007-10-11",75.73,77.03,75.16,76.08,2117600,67.76
"2007-10-12",76.52,77.46,75.45,77.06,1793300,68.63
"2007-10-15",76.4,76.4,73.5,74.62,1897000,66.46
"2007-10-16",74.77,75.22,73.41,74.04,1692200,65.94
"2007-10-17",75.08,76.3,73.66,75.18,1962100,66.96
"2007-10-18",76.6,77.74,75.25,75.76,2631100,67.47
"2007-10-19",75.56,76.65,74.47,74.47,1891400,66.33
"2007-10-22",73.5,76.9,73.5,76.69,2546800,68.3
"2007-10-23",77.4,78.12,76.57,77.73,1368900,69.23
"2007-10-24",77.51,78.89,76.81,78.61,1793600,70.01
"2007-10-25",77.57,78.93,76.5,77.99,1892600,69.46
"2007-10-26",78.7,79.36,78.14,78.53,1312700,69.94
"2007-10-29",78.83,79.89,78.75,79.42,1240800,70.73
"2007-10-30",79.37,80.14,78.5,79.61,1405000,70.9
"2007-10-31",79.99,80.95,78.64,80.37,2297900,71.58
"2007-11-01",79.35,79.69,78.08,78.26,1940600,69.7
"2007-11-02",78.62,79.25,77.67,78.99,1757600,70.35
"2007-11-05",78.69,81.73,78,81.23,2313400,72.35
"2007-11-06",81.17,84.53,81.01,84.35,2876600,75.12
"2007-11-07",83.86,85.18,83.09,83.42,2890400,74.3
"2007-11-08",83.49,86.56,83,86.15,3910500,76.73
"2007-11-09",84.84,85.78,82.19,82.91,2607200,73.84
"2007-11-12",82.23,83.38,79.39,79.65,2378400,70.94
"2007-11-13",80.65,81.49,79.64,81.49,1623300,72.77
"2007-11-14",82.5,83.16,80.97,81.48,1756800,72.76
"2007-11-15",80.99,81.4,80,80.48,1566500,71.87
"2007-11-16",79.02,80.28,77.22,78.37,2535800,69.98
"2007-11-19",78.03,78.38,77.46,77.86,4234600,69.53
"2007-11-20",78.14,80.17,77.25,78.99,2817500,70.54
"2007-11-21",78.18,78.77,75.8,75.93,3134900,67.8
"2007-11-23",76.59,77.37,75.09,76.48,773000,68.3
"2007-11-26",76.64,77.6,75.05,75.2,1453300,67.15
"2007-11-27",75.74,76.26,74.47,76.24,2125500,68.08
"2007-11-28",76.97,78.75,76.8,78.75,1710900,70.32
"2007-11-29",78.43,79.99,78.16,79.5,1784400,70.99
"2007-11-30",80.61,81.15,78.39,79.43,1761900,70.93
"2007-12-03",79.5,80.42,78.25,78.78,1414800,70.35
"2007-12-04",78.15,80.95,78.15,79.57,1078500,71.05
"2007-12-05",80.15,81.33,79.98,81.13,1097300,72.45
"2007-12-06",81.1,82.25,80.57,82.25,1215600,73.45
"2007-12-07",82.53,82.56,80.84,81.55,1239000,72.82
"2007-12-10",81.61,82.37,81.43,82.01,1591300,73.23
"2007-12-11",82.28,82.86,78.71,78.79,2097800,70.36
"2007-12-12",80.72,82.37,77.75,78.75,2155100,70.32
"2007-12-13",78.21,78.54,76.92,78.36,2253600,69.97
"2007-12-14",77.57,79.44,76.16,76.68,1970600,68.47
"2007-12-17",76.2,77.52,74.84,75.06,1909100,67.03
"2007-12-18",75.34,75.98,72.8,74.05,1656300,66.13
"2007-12-19",74.58,74.71,72.77,73.74,1810000,65.85
"2007-12-20",74.43,74.62,73.2,74.39,1034400,66.43
"2007-12-21",75.22,76.11,74.2,75.55,2437400,67.46
"2007-12-24",76.29,76.68,75.5,76.58,447000,68.38
"2007-12-26",76.47,77.16,75.75,77,599800,68.76
"2007-12-27",76.68,76.74,75.02,75.26,710300,67.21
"2007-12-28",76,76.38,75.33,76.16,700700,68.01
"2007-12-31",76.06,76.31,74.9,75.31,670800,67.25
"2008-01-02",75.12,76.03,71.2,71.28,2120300,63.65
"2008-01-03",71.66,72.86,71.54,71.84,2001600,64.15
"2008-01-04",71.29,72.1,70.09,70.22,2139400,62.71
"2008-01-07",70.51,71.5,67.37,67.88,3808200,60.62
"2008-01-08",68.09,69.97,65.94,66.01,2996100,58.95
"2008-01-09",66.59,66.61,63.61,66.61,4069800,59.48
"2008-01-10",64.19,66.66,63.57,65.68,3015800,58.65
"2008-01-11",65.21,66.01,64,64.47,1956200,57.57
"2008-01-14",65.12,67.54,65.12,67.3,3187700,60.1
"2008-01-15",66.6,66.9,65.3,66.1,2502800,59.03
"2008-01-16",65.78,67.27,64.04,65.87,3473000,58.82
"2008-01-17",68.12,68.28,61.07,61.11,4071900,54.57
"2008-01-18",62.56,63.98,61.26,61.76,3735300,55.15
"2008-01-22",58.9,63.08,58.74,62.33,2876700,55.66
"2008-01-23",60.58,62.54,58.1,62.45,3157300,55.77
"2008-01-24",62.22,62.85,61.51,62.42,2091200,55.74
"2008-01-25",63.75,64.54,62.62,64.03,2439900,57.18
"2008-01-28",64.2,64.48,62.55,64,1443600,57.15
"2008-01-29",64.53,65.13,63.94,64.87,1190500,57.93
"2008-01-30",64.72,66.96,64.43,65.66,2055600,58.63
"2008-01-31",64.9,68,64.22,67.61,1899600,60.37
"2008-02-01",67.61,69.25,67.5,68.89,1619700,61.52
"2008-02-04",69.31,69.31,67.38,67.98,1423800,60.7
"2008-02-05",66.91,66.91,65.65,66.15,1931500,59.07
"2008-02-06",66.61,67.18,65.6,65.7,1626300,58.67
"2008-02-07",65.21,65.95,64.29,65.08,1563700,58.12
"2008-02-08",64.62,65.84,64.38,64.96,1328300,58.01
"2008-02-11",64.82,65.11,63.31,64.53,1688200,57.62
"2008-02-12",65.06,66.02,64.54,65.16,1193200,58.19
"2008-02-13",66.28,68.17,65.75,68.03,1947800,60.75
"2008-02-14",67.67,68.05,65.87,66.16,1949800,59.08
"2008-02-15",65.98,65.98,64.68,65.87,1730800,58.82
"2008-02-19",66.81,67.85,65.83,66.16,1011900,59.27
"2008-02-20",65.45,66.75,64.67,66.64,1220800,59.7
"2008-02-21",66.75,67.67,64.51,64.66,1947300,57.92
"2008-02-22",64.99,65.25,63.07,64.91,2239400,58.15
"2008-02-25",64.83,66.17,64.55,65.86,1723200,59
"2008-02-26",65.65,66.5,65.19,66.09,1213300,59.21
"2008-02-27",65.79,67.5,65.74,67.15,2195000,60.16
"2008-02-28",66.8,67.85,66.25,66.69,1776600,59.74
"2008-02-29",66.02,66.22,64.36,64.63,1776300,57.9
"2008-03-03",64.62,65.1,63.98,64.74,1215600,58
"2008-03-04",64.01,64.7,63.55,64.38,1670200,57.67
"2008-03-05",64.12,65.24,64,64.82,1739900,58.07
"2008-03-06",64.37,64.62,62.76,62.8,1118400,56.26
"2008-03-07",62.42,63.66,61.96,62.39,1974100,55.89
"2008-03-10",62.32,62.32,60.65,60.69,2052500,54.37
"2008-03-11",61.93,63.72,61.68,63.57,2131300,56.95
"2008-03-12",63.83,64.44,63.27,63.39,1228500,56.79
"2008-03-13",62.66,64.86,62.11,64.5,1212800,57.78
"2008-03-14",64.69,65.43,61.89,62.88,1702000,56.33
"2008-03-17",61.44,63.27,61.44,62.39,1679200,55.89
"2008-03-18",63.7,65.7,63.21,65.66,2339000,58.82
"2008-03-19",66.4,66.77,64.57,64.57,1981500,57.84
"2008-03-20",64.77,65.29,63.64,65.13,1491800,58.35
"2008-03-24",65.33,67.74,65.27,67.25,1340700,60.25
"2008-03-25",67.51,69.19,66.91,68.84,1992100,61.67
"2008-03-26",68.34,68.45,67.26,68.12,1297900,61.02
"2008-03-27",68.71,68.71,66.59,66.6,1376300,59.66
"2008-03-28",67.11,68.31,66.63,67.56,1406200,60.52
"2008-03-31",67.4,69.59,67.35,69.27,1894200,62.05
"2008-04-01",69.98,73.13,69.9,73.13,2265900,65.51
"2008-04-02",73.06,73.64,72.25,72.58,1836500,65.02
"2008-04-03",71.59,72.29,71.06,71.37,1975500,63.94
"2008-04-04",71.5,74.11,71.5,73.71,2363500,66.03
"2008-04-07",73.91,73.91,72.1,72.28,1599600,64.75
"2008-04-08",71.91,72.46,71.42,72.32,1024900,64.79
"2008-04-09",72.49,72.49,71.1,71.86,1553900,64.37
"2008-04-10",72.29,73.48,71.34,73.38,1906800,65.74
"2008-04-11",72.5,72.84,71.45,71.72,1340700,64.25
"2008-04-14",72.02,73,71.13,72,1653000,64.5
"2008-04-15",72.31,73.3,71.5,72.88,1537900,65.29
"2008-04-16",73.43,75.23,73.43,75.03,1383000,67.21
"2008-04-17",74.9,75.17,73.45,74.31,1300300,66.57
"2008-04-18",75.29,76.44,74.89,76.32,1143100,68.37
"2008-04-21",75.57,77.38,75.33,76.97,1219800,68.95
"2008-04-22",79.76,83.41,79.76,81.06,4301600,72.62
"2008-04-23",81.61,81.79,78.64,79.47,2461900,71.19
"2008-04-24",80.03,80.13,78.19,79.21,1841800,70.96
"2008-04-25",79.6,79.91,78.23,79.45,1117000,71.17
"2008-04-28",79.23,79.94,78.88,79.24,1459500,70.99
"2008-04-29",78.85,80.39,78.64,78.87,1341700,70.65
"2008-04-30",80.01,80.81,79,79.85,2525200,71.53
"2008-05-01",80.67,81.52,79.38,81.26,1469100,72.8
"2008-05-02",82.14,82.42,80.71,81.98,1814100,73.44
"2008-05-05",82.15,82.2,81.33,81.89,984100,73.36
"2008-05-06",81.74,81.8,80.1,81.26,1555600,72.8
"2008-05-07",81,82.26,80.34,80.44,1530100,72.06
"2008-05-08",81.06,83.34,80.61,83.07,1497700,74.42
"2008-05-09",81.99,84,81.99,83.59,1383200,74.88
"2008-05-12",83.91,84.76,82.97,84.72,725700,75.9
"2008-05-13",85.1,86.22,83.72,85.69,1517200,76.96
"2008-05-14",85.28,86.91,85.28,85.46,1467800,76.75
"2008-05-15",85.46,85.5,84.12,85.1,1476000,76.43
"2008-05-16",84.95,85.39,84.04,85,1447100,76.34
"2008-05-19",85.4,86.5,84.84,85.44,1203800,76.73
"2008-05-20",85.21,85.23,83.83,84.19,1519300,75.61
"2008-05-21",84.65,85.58,82.6,82.96,1429300,74.5
"2008-05-22",83.26,83.26,81.53,81.71,1587500,73.38
"2008-05-23",81.51,81.51,79.69,80.57,1368500,72.36
"2008-05-27",80.76,81.87,79.81,81.64,1701700,73.32
"2008-05-28",82.24,82.92,81.33,82.84,1493000,74.4
"2008-05-29",82.74,84.16,81.44,83.46,1340500,74.95
"2008-05-30",83.9,85.08,83.27,84.67,1519500,76.04
"2008-06-02",84.51,84.76,82.46,83.09,1595300,74.62
"2008-06-03",83.55,83.71,81.62,82.52,1965700,74.11
"2008-06-04",82.12,82.36,81.23,81.94,1987100,73.59
"2008-06-05",80.42,80.42,78.39,79.78,3643400,71.65
"2008-06-06",79.51,80.61,78.02,78.17,2359900,70.2
"2008-06-09",78.35,79.01,77.25,77.69,2314400,69.77
"2008-06-10",77.28,77.64,76.65,76.95,1676300,69.11
"2008-06-11",76.74,76.75,74.56,74.81,2485000,67.18
"2008-06-12",75.04,77.86,75.04,76.5,2014800,68.7
"2008-06-13",77.16,79.96,77.16,78.67,2654300,70.65
"2008-06-16",78.64,78.64,76.82,77.79,1500600,69.86
"2008-06-17",77.73,78.32,76.89,76.94,1149600,69.1
"2008-06-18",76.59,76.59,75.54,76.3,1665300,68.52
"2008-06-19",76.3,78.88,75.95,78.55,2072600,70.54
"2008-06-20",78.35,78.38,75.71,75.99,1920200,68.24
"2008-06-23",76.26,76.51,74.96,75.31,1956800,67.63
"2008-06-24",75.18,75.18,73.75,74.21,2193900,66.65
"2008-06-25",74.6,74.6,71.27,72.59,3727000,65.19
"2008-06-26",71.88,71.92,69.46,70.05,3076400,62.91
"2008-06-27",69.99,71.52,69.66,70.94,4892500,63.71
"2008-06-30",70.93,71.76,70.33,71.32,2391200,64.05
"2008-07-01",70,72.45,70,72.26,4184500,64.89
"2008-07-02",72.26,72.26,70.02,70.24,3458700,63.08
"2008-07-03",70.67,71.13,69.12,70.53,1545300,63.34
"2008-07-07",70.69,72.14,69.34,70.5,2362400,63.31
"2008-07-08",70.06,72.69,69.1,72.33,3486400,64.96
"2008-07-09",72.53,72.67,70,70.03,2349900,62.89
"2008-07-10",70.05,70.93,66.44,69.05,3316500,62.01
"2008-07-11",68.38,70.24,67.66,68.96,1868500,61.93
"2008-07-14",69.93,69.93,68.04,68.9,1429200,61.88
"2008-07-15",65.49,67.48,63.4,66.76,3581600,59.95
"2008-07-16",66.98,68.41,65.53,68.21,4358100,61.26
"2008-07-17",68.46,68.46,66.53,67.7,3217800,60.8
"2008-07-18",68.04,68.16,66.38,66.88,2352800,60.06
"2008-07-21",67.28,68.44,66.89,68.42,2188400,61.45
"2008-07-22",68.04,68.93,67.96,68.86,1823600,61.84
"2008-07-23",68.97,69.21,67.87,68.75,2073600,61.74
