"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"2007-01-03",82.67,83.29,80.91,81.78,3601600,16.75
"2007-01-04",82.13,82.43,81.56,82.24,2760000,16.85
"2007-01-05",81.99,82.11,81.5,81.68,1814800,16.73
"2007-01-08",81.76,81.86,80.61,81.48,2885600,16.69
"2007-01-09",81.5,82.3,81.08,81.95,3200800,16.79
"2007-01-10",81.91,81.91,81.15,81.29,2825600,16.65
"2007-01-11",81.53,82,81.17,81.34,3659600,16.66
"2007-01-12",81.34,81.38,80.65,80.86,3254000,16.57
"2007-01-16",81.06,81.48,80.92,81.43,1862000,16.68
"2007-01-17",81.53,82.59,81.28,82.1,3567200,16.82
"2007-01-18",82.26,82.61,81.56,81.72,1489200,16.74
"2007-01-19",81.71,81.86,80.79,81.04,1717200,16.6
"2007-01-22",81.14,81.14,80.15,80.35,2367600,16.46
"2007-01-23",78.99,79,75.77,76.46,9478000,15.66
"2007-01-24",77.38,78.3,76.02,77.11,6625600,15.8
"2007-01-25",76.95,77.2,74.53,74.81,6395200,15.33
"2007-01-26",74.5,74.5,73.59,74,3261600,15.16
"2007-01-29",73.7,74.74,73.61,74,5023200,15.16
"2007-01-30",74.9,75.19,74.45,74.58,4779600,15.28
"2007-01-31",74.77,76.12,74.2,75.87,4328000,15.54
"2007-02-01",76.19,77.15,75.96,76.58,4366800,15.69
"2007-02-02",76.73,76.73,76.07,76.12,1650400,15.59
"2007-02-05",76.62,77.58,76.4,77.38,3803600,15.85
"2007-02-06",78.08,78.5,76.85,77.84,2809200,15.95
"2007-02-07",75.1,77.03,74.64,76.18,4865200,15.61
"2007-02-08",76.4,76.91,76.01,76.46,2529200,15.66
"2007-02-09",76.49,76.69,75.46,76.11,3019600,15.59
"2007-02-12",75.92,76.43,75.06,76.2,2726400,15.61
"2007-02-13",76.4,77.29,76.34,77.24,3221600,15.82
"2007-02-14",76.66,77.29,76.46,76.96,2838000,15.77
"2007-02-15",77.1,78.12,77.04,77.76,2575600,15.93
"2007-02-16",77.1,77.58,76.79,77.52,1872400,15.88
"2007-02-20",77.72,79.2,77.5,79.14,2520000,16.21
"2007-02-21",78.99,80.31,78.99,79.99,5522800,16.39
"2007-02-22",80.18,80.97,79.88,80.48,4024800,16.49
"2007-02-23",80.49,80.88,80.02,80.46,3982800,16.48
"2007-02-26",80.46,80.8,80.03,80.28,5090400,16.45
"2007-02-27",80.58,80.58,79,79.29,7272400,16.24
"2007-02-28",79.29,79.98,78.79,79.71,3962800,16.33
"2007-03-01",76.93,80.09,76.92,79.67,4781200,16.32
"2007-03-02",79.61,79.92,78.19,79.19,2386800,16.22
"2007-03-05",80.01,80.01,78.63,79.35,4218800,16.26
"2007-03-06",79.55,80,79.53,79.9,3291600,16.37
"2007-03-07",81.8,81.8,79.49,79.64,3942800,16.43
"2007-03-08",80,80.75,79.9,80.58,2391600,16.62
"2007-03-09",80.88,80.99,80.66,80.86,2384800,16.68
"2007-03-12",80.8,80.97,80.62,80.65,3219600,16.64
"2007-03-13",80.68,80.78,80.19,80.5,3805600,16.61
"2007-03-14",80.48,81.5,80.06,80.78,3885200,16.66
"2007-03-15",80.86,82,80.75,81.29,4349600,16.77
"2007-03-16",81.29,81.33,80.67,80.76,2879200,16.66
"2007-03-19",80.9,81.43,80.8,81.14,3274400,16.74
"2007-03-20",81.14,81.66,81.12,81.61,3081200,16.84
"2007-03-21",81.46,82.08,81,82.05,2849600,16.93
"2007-03-22",82.05,82.31,81.74,81.94,2556400,16.9
"2007-03-23",82.2,82.85,82.02,82.62,2052800,17.04
"2007-03-26",82.74,83.14,82.17,82.77,1852000,17.07
"2007-03-27",82.72,82.73,82.2,82.56,1732800,17.03
"2007-03-28",82.21,82.75,82.01,82.27,2111600,16.97
"2007-03-29",82.48,82.75,81.84,82.3,2410000,16.98
"2007-03-30",82.31,82.93,82.3,82.62,1786400,17.04
"2007-04-02",82.52,83.47,82.52,83.24,1935600,17.17
"2007-04-03",83.45,84.79,83.41,84.39,2894400,17.41
"2007-04-04",84.4,85.91,84.22,85.91,3259600,17.72
"2007-04-05",85.66,85.99,85.49,85.8,1900000,17.7
"2007-04-09",85.78,85.93,85.21,85.25,2611600,17.59
"2007-04-10",85.5,85.97,85.25,85.79,1923600,17.7
"2007-04-11",85.64,85.86,84.38,85.16,2018400,17.57
"2007-04-12",84.94,86.31,83.9,86.15,2386400,17.77
"2007-04-13",86.98,86.99,85.04,85.32,1421200,17.6
"2007-04-16",85.57,86.27,85.42,85.9,1601200,17.72
"2007-04-17",85.9,86.39,85.4,85.78,1470800,17.7
"2007-04-18",85.5,85.73,85.01,85.57,1078800,17.65
"2007-04-19",86.34,86.34,84.43,84.5,2036400,17.43
"2007-04-20",85,85.83,84.96,85.28,3490400,17.59
"2007-04-23",85.28,86.23,84.93,85.84,1794000,17.71
"2007-04-24",85.59,89.13,84.03,88.7,6125600,18.3
"2007-04-25",90.68,90.68,88.12,89.07,3315200,18.37
"2007-04-26",88.55,89.08,88.22,88.49,1990800,18.25
