"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"2007-04-27",87.9,88.24,87.65,88.02,2111200,18.16
"2007-04-30",87.87,88.45,87.75,87.81,2127200,18.11
"2007-05-01",86.4,86.5,84.41,85.81,4118400,17.7
"2007-05-02",86,86.59,85.83,86.26,2176000,17.79
"2007-05-03",86.46,86.6,85.48,86.47,2661200,17.84
"2007-05-04",86.57,86.85,86.14,86.42,2245200,17.83
"2007-05-07",86.42,87.08,86.38,86.81,985600,17.91
"2007-05-08",86.64,86.78,86.25,86.71,1493600,17.89
"2007-05-09",86.96,88.1,86.9,88,1974000,18.15
"2007-05-10",87.99,89.07,87.41,88.26,4304800,18.21
"2007-05-11",88.28,88.5,87.7,88.3,3526800,18.22
"2007-05-14",88.45,89,88.3,88.43,3114400,18.24
"2007-05-15",88.4,89.39,87.9,88.46,5196400,18.25
"2007-05-16",88.6,88.82,88.45,88.55,2821200,18.27
"2007-05-17",88.68,90,88.68,89.94,2326400,18.55
"2007-05-18",90,90.99,89.76,90.53,3914000,18.68
"2007-05-21",90.54,91.49,90.35,91.24,1931600,18.82
"2007-05-22",90.9,92.9,90.9,92.32,2489600,19.04
"2007-05-23",92.49,93.28,92.11,92.57,2276000,19.1
"2007-05-24",92.67,93,91.87,92.22,3266800,19.02
"2007-05-25",92.09,92.61,91.84,92.21,1401200,19.02
"2007-05-29",92.41,92.88,92.23,92.54,2645600,19.09
"2007-05-30",92.55,93.5,92.35,93.4,3027600,19.27
"2007-05-31",92.88,93.88,92.88,93.78,2860800,19.35
"2007-06-01",93.98,94.44,93.54,94.13,3078400,19.42
"2007-06-04",94,95.1,93.77,94.84,1882000,19.56
"2007-06-05",94.08,94.83,93.95,94.4,2700400,19.47
"2007-06-06",94.2,94.2,92.97,92.98,3402400,19.29
"2007-06-07",94.34,94.34,91.72,91.77,2623200,19.04
"2007-06-08",91.77,92.54,91.2,92.46,1909600,19.19
"2007-06-11",92.4,92.55,91.61,92.31,1826000,19.15
"2007-06-12",91.8,92.16,91.04,91.04,2277600,18.89
"2007-06-13",91.96,92.72,91.48,92.71,1834800,19.24
"2007-06-14",93.01,93.45,92.73,93.16,1634000,19.33
"2007-06-15",93.4,94,93.13,93.59,1502800,19.42
"2007-06-18",93.39,93.78,92.69,93.5,3018800,19.4
"2007-06-19",93.35,93.95,92.84,93.87,1600400,19.48
"2007-06-20",93.92,94.49,92.71,92.71,3064800,19.24
"2007-06-21",92.71,92.85,92.09,92.36,1876400,19.16
"2007-06-22",91.86,92.37,91.31,91.85,2506000,19.06
"2007-06-25",92.3,93.01,91.3,91.45,2203600,18.98
"2007-06-26",91.68,92.19,90.87,91.19,2010800,18.92
"2007-06-27",90.73,92.74,90.71,92.48,1719200,19.19
"2007-06-28",92.53,93.08,91.69,91.89,2252000,19.07
"2007-06-29",91.9,92.66,91.13,91.58,2007600,19
"2007-07-02",91.78,92.31,91.59,92.28,1574000,19.15
"2007-07-03",92.41,92.81,92.21,92.7,816400,19.23
"2007-07-05",92.75,93.1,92.13,93.02,1713600,19.3
"2007-07-06",92.98,93.78,92.9,93.66,1088800,19.43
"2007-07-09",93.81,93.97,92.97,93.85,1358000,19.47
"2007-07-10",93,93.15,91.9,92.21,3196800,19.13
"2007-07-11",92.35,93.48,92,93.18,2068400,19.33
"2007-07-12",93.92,95.15,93.18,94.86,2274400,19.68
"2007-07-13",94.55,95.1,94.16,94.51,2739600,19.61
"2007-07-16",94.42,94.82,94.34,94.6,1680000,19.63
"2007-07-17",94.7,96.16,94.7,95.65,1757600,19.85
"2007-07-18",95.38,96.2,94.37,94.69,2739200,19.65
"2007-07-19",94,94,90.75,91.65,4091600,19.02
"2007-07-20",91.55,92.01,90.36,90.55,3228800,18.79
"2007-07-23",89.65,90.87,89.65,89.95,2324800,18.66
"2007-07-24",89.61,89.86,88.53,88.68,2931200,18.4
"2007-07-25",88.84,89.07,87.35,88.52,3774400,18.37
"2007-07-26",87.84,88,85.57,86.63,4070400,17.98
"2007-07-27",86.93,87.41,86.03,86.24,4018400,17.89
"2007-07-30",86.96,87.5,85.26,87.25,3419600,18.1
"2007-07-31",87.65,87.94,85.72,85.79,2931600,17.8
"2007-08-01",85.78,86.61,84.57,86.36,2348000,17.92
"2007-08-02",86.66,87.39,86.32,87.39,2512000,18.13
"2007-08-03",89.28,89.28,86.47,86.47,2904800,17.94
"2007-08-06",88.37,89.34,85.97,88.9,2641600,18.45
"2007-08-07",88.66,93.22,88.46,93.04,4532400,19.31
"2007-08-08",92.9,93.74,91.82,93.03,6782000,19.3
"2007-08-09",93.03,93.03,89.2,91.35,5271200,18.95
"2007-08-10",89.67,91.07,87.07,89.3,4015200,18.53
"2007-08-13",89.3,90.3,87.84,87.89,1907200,18.24
"2007-08-14",87.66,88.36,84.94,85.05,2752800,17.65
"2007-08-15",84.39,84.49,81.47,81.53,5020800,16.92
"2007-08-16",81.52,81.52,78.48,80.62,4599200,16.73
"2007-08-17",86.69,86.69,80.78,82.81,3063600,17.18
"2007-08-20",82.84,83.35,81.65,82.8,1860800,17.18
"2007-08-21",82.72,83.4,81.95,82.25,2159200,17.07
"2007-08-22",83.02,83.25,81.35,81.89,1735600,16.99
"2007-08-23",82.18,82.89,81.89,82.62,2057200,17.14
"2007-08-24",82.5,82.74,81.93,82.63,1460400,17.15
"2007-08-27",82.4,82.4,81.34,81.39,2163600,16.89
"2007-08-28",80.71,80.84,78.42,78.47,2246400,16.28
"2007-08-29",78.82,80.43,78.68,80.42,3187600,16.69
"2007-08-30",79.65,80.09,78.98,79.5,1903200,16.5
"2007-08-31",80,80.4,79.56,79.85,3466400,16.57
"2007-09-04",79.85,82.56,79.79,82,2568400,17.01
"2007-09-05",81.4,81.65,80.05,81.21,3268000,16.85
"2007-09-06",81.1,82.5,80.56,81.46,2940400,17.02
"2007-09-07",80.65,81.2,80,80.32,2450000,16.78
"2007-09-10",80.53,80.65,78.27,78.97,1598400,16.5
"2007-09-11",79.7,81.26,79.2,81.05,2115600,16.93
"2007-09-12",80.68,81.91,80.13,81.11,2235600,16.94
"2007-09-13",81.12,81.92,80.54,81.59,1957200,17.04
"2007-09-14",81.24,81.93,80.46,81.85,1774400,17.1
"2007-09-17",81.38,81.4,80.52,80.99,2182800,16.92
"2007-09-18",81.05,84.63,80.88,84.47,2729600,17.65
"2007-09-19",85.33,89.01,85.33,85.99,4013600,17.96
"2007-09-20",86.15,86.5,84.43,84.5,1938800,17.65
"2007-09-21",85.43,85.45,83.71,83.93,2188800,17.53
"2007-09-24",84,84.58,82.51,83.18,2502800,17.38
"2007-09-25",82.45,82.61,80.65,81.23,3670400,16.97
"2007-09-26",81.94,82.2,80.71,80.95,2123600,16.91
"2007-09-27",80.94,81.78,79.76,81.58,1970000,17.04
"2007-09-28",80.91,81.63,80.47,80.75,1944400,16.87
"2007-10-01",80.75,84.45,80.73,84.08,2565600,17.57
"2007-10-02",83.89,84.47,83.72,84.25,2134400,17.6
"2007-10-03",83.9,84.73,83.84,84.19,3128400,17.59
"2007-10-04",84.71,84.71,82.82,83.06,2134400,17.35
"2007-10-05",83.7,84.6,83.7,84.29,1394400,17.61
"2007-10-08",84.29,84.39,83.4,83.56,1192000,17.46
"2007-10-09",83.9,83.9,82.13,83.1,3130000,17.36
"2007-10-10",83.03,83.4,82.42,82.42,4428000,17.22
"2007-10-11",82.55,82.55,79.57,79.93,4016400,16.7
"2007-10-12",79.93,80.35,79.09,79.46,2108800,16.6
"2007-10-15",79.09,79.27,77.39,78.24,4309600,16.35
"2007-10-16",77.6,81.45,77.6,81.01,5351200,16.92
"2007-10-17",80.73,82.16,78.04,79.85,3754000,16.68
"2007-10-18",79.6,86.27,77.59,81.02,14685200,16.93
"2007-10-19",83,84.09,81.82,82.98,7672400,17.34
"2007-10-22",82.61,84.56,82.5,84.48,3022800,17.65
"2007-10-23",84.48,84.96,81,81.37,3932400,17
"2007-10-24",81.25,82.65,80.64,82.27,3510800,17.19
"2007-10-25",83.39,84.45,82.32,84.12,3781600,17.57
"2007-10-26",85,85,83.3,83.97,2445600,17.54
"2007-10-29",83.93,85.43,83.8,85.18,2658000,17.79
"2007-10-30",84.5,86.85,84.27,85.47,3699200,17.86
"2007-10-31",85.47,87.36,85.02,87.13,3833600,18.2
"2007-11-01",87.14,87.14,83.55,83.79,4285600,17.5
"2007-11-02",83.34,84.34,82.62,83.28,2661600,17.4
"2007-11-05",83.12,83.12,80.59,81.05,2678800,16.93
"2007-11-06",81.2,82.08,80.17,82.02,2234000,17.13
"2007-11-07",82.53,82.53,79.75,80.38,2412400,16.79
"2007-11-08",80.45,80.55,77.31,79.88,3935600,16.69
"2007-11-09",78.81,80.85,78.11,79.87,2638800,16.69
"2007-11-12",79.89,82.22,77.3,80.27,3043200,16.77
"2007-11-13",80.78,82.84,80.41,82.82,2257200,17.3
"2007-11-14",83,83.64,81.82,82.04,1952800,17.14
"2007-11-15",81.64,82.14,78.39,78.69,4408400,16.44
"2007-11-16",79.24,79.24,76.06,76.97,4972400,16.08
"2007-11-19",76.64,76.95,74.45,74.5,3474400,15.56
"2007-11-20",74.49,77.04,74.19,75.23,4085200,15.72
"2007-11-21",74.46,75.61,73.85,74.24,2352000,15.51
"2007-11-23",74.32,75.35,73.84,75.25,1272800,15.72
"2007-11-26",75.1,77.05,73.52,73.62,3766800,15.38
"2007-11-27",73.66,75.05,72.89,73.98,3760400,15.46
"2007-11-28",74.39,75.36,73.71,75.2,4518400,15.71
"2007-11-29",75.11,75.11,73.23,73.97,2806400,15.45
"2007-11-30",74.77,76.17,74.38,74.79,3207600,15.62
"2007-12-03",75.26,75.42,73.98,74.24,3687600,15.51
"2007-12-04",73.97,74.24,72.06,72.33,4845600,15.11
"2007-12-05",72.78,73.63,72.16,73.07,3529200,15.27
"2007-12-06",73.06,73.35,72.23,73.1,3936800,15.39
"2007-12-07",73.18,73.79,71.75,72.2,3388000,15.2
"2007-12-10",72.55,72.85,71.76,72.26,1613200,15.22
"2007-12-11",72.3,74.19,71.33,71.6,3932800,15.08
"2007-12-12",73.27,73.49,70.62,71.69,3442400,15.1
"2007-12-13",71.66,71.68,70.06,71.04,2352400,14.96
"2007-12-14",70.5,70.71,69.67,70.22,3142000,14.79
"2007-12-17",70.06,70.42,68.9,68.9,2354400,14.51
"2007-12-18",69.26,70,68.66,69.82,2433600,14.7
"2007-12-19",70.31,75.97,68.15,75.22,11017600,15.84
"2007-12-20",75.88,76,72.55,73.01,6298800,15.37
"2007-12-21",73.99,74.64,71.24,74.06,4410000,15.6
"2007-12-24",73.61,74.41,73.2,73.81,776800,15.54
"2007-12-26",73.11,73.54,72.04,72.31,1618800,15.23
"2007-12-27",72.6,72.77,70.42,70.73,3150400,14.89
"2007-12-28",70.37,71.79,69.64,70.22,2852800,14.79
"2007-12-31",69.83,69.83,68.53,68.66,3097600,14.46
"2008-01-02",68.52,69.14,67.5,67.81,3458400,14.28
"2008-01-03",68.52,68.57,66.43,66.58,3040000,14.02
"2008-01-04",66.14,66.21,63.68,63.79,3922400,13.43
"2008-01-07",64.05,66.75,63.74,66.53,5799600,14.01
"2008-01-08",66.64,66.64,64.4,64.44,3982800,13.57
"2008-01-09",66,69.88,66,69.88,9324400,14.72
"2008-01-10",69.49,71.45,67.64,70.72,6364800,14.89
"2008-01-11",70.58,73.08,69.32,71.35,6916400,15.03
"2008-01-14",71.78,72.39,68.59,69.56,5042400,14.65
"2008-01-15",68.52,68.75,66.93,67.93,6087600,14.3
"2008-01-16",67.43,68.55,67.07,67.93,8421200,14.3
"2008-01-17",67.91,68.06,66.45,66.62,3909600,14.03
"2008-01-18",68.62,71.56,66.55,68,4712800,14.32
"2008-01-22",67.41,73.35,67,72.56,7395200,15.28
"2008-01-23",70.58,75.67,69.81,75.55,7834000,15.91
"2008-01-24",75.57,76.41,74.14,74.57,5419600,15.7
"2008-01-25",74.11,76.05,73.61,73.89,4929600,15.56
"2008-01-28",73.63,75.46,73.02,74.85,4357600,15.76
"2008-01-29",74.83,76.08,72.96,75.95,2780000,15.99
"2008-01-30",75.92,77.5,75.32,75.5,3056400,15.9
"2008-01-31",75.4,78.29,73.5,77.3,3478800,16.28
"2008-02-01",77.74,79.84,76.94,79.77,3014400,16.8
"2008-02-04",79.96,79.96,76.2,76.27,3606800,16.06
"2008-02-05",76.13,76.55,73.75,73.75,3594000,15.53
"2008-02-06",76.3,78.18,75.5,77.47,7275600,16.31
"2008-02-07",76.89,81.08,76.89,79.94,7518400,16.83
"2008-02-08",79.36,80.43,78.42,79.74,5872400,16.79
"2008-02-11",79.35,81.42,78.75,81.37,4770400,17.14
"2008-02-12",81.06,82.39,80.89,81.84,3472400,17.23
"2008-02-13",81.47,83.29,81.33,82.06,4791200,17.28
"2008-02-14",81.91,81.91,80.28,80.48,3457200,16.95
"2008-02-15",80.33,80.35,78.71,79.21,4104800,16.68
"2008-02-19",80.28,81.55,78.05,78.56,3455200,16.54
"2008-02-20",77.47,80.08,77.32,79.79,4172800,16.8
"2008-02-21",79.96,80.5,78.28,78.51,2280400,16.53
"2008-02-22",78.67,78.88,77.09,78.39,3174000,16.51
"2008-02-25",78.38,78.97,77.73,78.5,4904800,16.53
"2008-02-26",78.27,80.26,78.15,79.97,5928400,16.84
"2008-02-27",79.33,80.09,79.17,79.55,5838400,16.75
"2008-02-28",78.9,79.52,77.92,78.68,2475600,16.57
"2008-02-29",78.3,78.3,75.61,76.04,2970400,16.01
"2008-03-03",75.67,76.31,75.01,75.95,2752000,15.99
"2008-03-04",75.1,76.98,75.01,76.62,3765600,16.13
"2008-03-05",76.8,77.98,76.12,77.19,4327200,16.25
"2008-03-06",76.35,76.84,74.01,74.22,4129200,15.75
"2008-03-07",73.91,75.41,73.67,74.54,3638000,15.82
"2008-03-10",74,75.15,72.12,72.21,2926800,15.32
"2008-03-11",74.3,74.61,72.27,74.61,3168800,15.83
"2008-03-12",77.5,78.63,76.02,78.02,5023200,16.55
"2008-03-13",76.72,78.1,75.61,77.57,5132000,16.46
"2008-03-14",77.57,77.73,75.05,76.27,2881200,16.18
"2008-03-17",74.6,77.29,74.19,76.41,3812400,16.21
"2008-03-18",76.76,78.14,76.35,78.11,2531600,16.57
"2008-03-19",78.35,79.1,76.63,76.63,3135600,16.26
"2008-03-20",76.72,78.97,76.31,78.92,4809600,16.74
"2008-03-24",78.86,79.7,78.55,79.13,5259600,16.79
"2008-03-25",79,79.54,77.98,79.13,5138400,16.79
"2008-03-26",78.52,79.14,77.93,78.83,2590000,16.73
"2008-03-27",79,79.51,78.19,78.49,5888000,16.65
"2008-03-28",78.2,78.32,75.14,75.77,2768800,16.08
"2008-03-31",75.25,77.95,74.99,77.51,3255200,16.45
"2008-04-01",77.8,79.28,77.8,79.14,5166800,16.79
"2008-04-02",79,79.64,78.19,78.41,3942400,16.64
"2008-04-03",78.27,79.07,77.76,79.07,4716800,16.78
"2008-04-04",78.96,79.24,78,78.26,3265600,16.6
"2008-04-07",78.34,78.55,77.2,77.83,4668800,16.51
"2008-04-08",77.46,78.27,77.15,77.75,3770400,16.5
"2008-04-09",78.19,78.63,76.07,76.42,2557200,16.21
"2008-04-10",76,77.14,75.61,76.55,4080000,16.24
"2008-04-11",75.79,76.91,75.79,76.06,2594800,16.14
"2008-04-14",75.75,76.36,75.3,76.04,2237200,16.13
"2008-04-15",76.34,76.34,74.96,75.41,2748800,16
"2008-04-16",75.67,76.38,75.55,76.15,2503600,16.16
"2008-04-17",76.2,77.41,75.85,77.31,2126800,16.4
"2008-04-18",78.73,79.32,78.14,78.88,4039600,16.74
"2008-04-21",78.3,78.82,77.9,78.5,2556800,16.66
"2008-04-22",77.77,79.87,77.45,78.05,3026400,16.56
"2008-04-23",74.93,79.6,74.55,75.23,8572800,15.96
"2008-04-24",74.7,75.58,72.9,74.57,6160000,15.82
"2008-04-25",74.79,76.51,74.79,76.43,6242000,16.22
"2008-04-28",76.79,76.99,75.33,75.62,3068400,16.04
"2008-04-29",75.35,76,75.24,75.24,2969600,15.96
"2008-04-30",75.24,75.92,74.23,74.38,3756400,15.78
"2008-05-01",74.81,77.47,74.27,76.7,2259600,16.27
"2008-05-02",77.6,77.95,76.93,77.4,3108400,16.42
"2008-05-05",76.89,77.12,75.78,75.93,1904800,16.11
"2008-05-06",75.36,75.74,73.9,74.95,3198000,15.9
"2008-05-07",75.1,76.15,74.54,74.55,2304000,15.82
"2008-05-08",74.33,74.7,72.9,73.75,3369200,15.65
"2008-05-09",73.01,74.19,72.76,73.5,1881600,15.59
"2008-05-12",73.96,75.7,73.9,75.59,2698800,16.04
"2008-05-13",75.83,76.44,75.46,76.15,2410400,16.16
"2008-05-14",76.49,78,76.15,77.6,2212000,16.46
"2008-05-15",77.44,78.76,76.5,78.76,2736000,16.71
"2008-05-16",78.56,78.66,76.15,77.21,2176400,16.38
"2008-05-19",77.21,77.52,76.46,76.68,1309600,16.27
"2008-05-20",76.23,76.29,74.83,75.07,3059200,15.93
"2008-05-21",75.06,76.03,73.6,74.08,2946800,15.72
"2008-05-22",73.78,74.84,73.19,74.28,1726000,15.76
"2008-05-23",74.28,74.28,73.26,73.78,1640400,15.65
"2008-05-27",73.86,76.26,73.86,75.46,1731600,16.01
"2008-05-28",75.84,77.6,75.84,76.88,3256400,16.31
"2008-05-29",77.07,77.65,75.84,77.25,1984800,16.39
"2008-05-30",77.44,77.44,74.81,75.7,2848400,16.06
"2008-06-02",75.32,75.56,73.64,74.53,1864400,15.81
"2008-06-03",74.53,75.36,73.5,74.18,2344000,15.74
"2008-06-04",73.39,74.59,73.16,73.8,2925200,15.66
"2008-06-05",73.81,75.11,73.61,74.95,2408000,15.9
"2008-06-06",73.7,74.07,72.73,72.78,3329600,15.56
"2008-06-09",73.33,73.48,71.26,71.55,2274400,15.3
"2008-06-10",71,72.53,70.49,71.93,2653200,15.38
"2008-06-11",71.31,71.73,69.53,69.98,2619600,14.96
"2008-06-12",70.05,71.61,69.75,70.1,2169200,14.99
"2008-06-13",70.64,72.88,70.33,72.78,2433600,15.56
"2008-06-16",72.79,73.57,72.26,73.31,2298400,15.68
"2008-06-17",73.31,74.2,73.21,73.37,2398400,15.69
"2008-06-18",73.5,73.5,72.09,72.11,1946000,15.42
"2008-06-19",71.75,72.6,70.98,72.23,4664000,15.44
"2008-06-20",71.53,71.78,69.44,69.74,4812400,14.91
"2008-06-23",71.59,72,70.22,71.21,6220000,15.23
"2008-06-24",71.09,72.45,70.09,71.33,3135600,15.25
"2008-06-25",71.55,73.9,71.33,72.88,3027600,15.58
"2008-06-26",72.12,73.91,71.67,73.48,7216400,15.71
"2008-06-27",73.52,73.9,71.73,72.11,6271600,15.42
"2008-06-30",71.65,72.39,70.5,71.18,2896000,15.22
"2008-07-01",73.81,75.34,71.45,75.25,11119200,16.09
"2008-07-02",75.71,77.49,74.89,75,5858400,16.04
"2008-07-03",76.27,76.27,73.47,74.49,3581200,15.93
"2008-07-07",74.59,74.76,72.31,73.75,6639600,15.77
"2008-07-08",73.5,75.3,73.28,75.24,4836800,16.09
"2008-07-09",75.33,75.78,73.58,73.69,3412000,15.76
"2008-07-10",73.55,74.06,71.67,72.1,4630800,15.42
"2008-07-11",71.21,71.75,69.56,70.64,4879200,15.1
"2008-07-14",70.82,71.81,69.24,69.72,6260800,14.91
"2008-07-15",69.59,71.42,68,70.28,9208800,15.03
"2008-07-16",72.81,74.07,65.5,73.11,11618800,15.63
"2008-07-17",73.2,74.1,70.42,73.83,6241200,15.79
"2008-07-18",73.75,74.45,72.08,73.52,4174000,15.72
"2008-07-21",73.51,73.84,71.88,72.81,2765200,15.57
"2008-07-22",72.43,74.65,71.62,74.63,4216400,15.96
"2008-07-23",74.85,77.86,74.29,75.5,3848000,16.14
"2008-07-24",75.13,76.01,73.04,73.13,4965200,15.64
"2008-07-25",72.27,74.4,72.03,72.35,4584000,15.47
"2008-07-28",72.63,72.92,69.95,70.18,3465600,15.01
"2008-07-29",70.03,72.39,70.03,71.97,3736400,15.39
"2008-07-30",72.17,73.44,71.5,72.62,3626800,15.53
"2008-07-31",71.47,72.83,71.4,71.58,3164000,15.31
"2008-08-01",72.17,73.14,70.7,70.99,2220800,15.18
"2008-08-04",70.95,72.65,70.76,72.12,3634800,15.42
"2008-08-05",72.93,74.47,72.6,74.25,4166800,15.88
"2008-08-06",73.84,75.14,73.25,74.93,3384400,16.02
"2008-08-07",74.2,74.61,73.42,73.98,2262400,15.82
"2008-08-08",73.9,78.05,73.9,77.57,3478400,16.59
"2008-08-11",77.42,80,76.64,78.69,4724400,16.83
"2008-08-12",78.66,79.89,77.17,77.55,2995200,16.58
"2008-08-13",77.54,77.57,74.94,77.12,3274000,16.49
"2008-08-14",76.76,78.5,76.47,77,3361600,16.46
"2008-08-15",77.52,78.21,76.54,77.97,2730000,16.67
"2008-08-18",78.39,78.81,76.55,77,2496800,16.46
"2008-08-19",76.15,76.88,75.21,76.68,2894800,16.4
"2008-08-20",77.23,77.75,74.95,76.89,3206800,16.44
"2008-08-21",75.58,77.49,75.31,77.3,3364000,16.53
"2008-08-22",77.8,78.23,77.1,77.82,2818400,16.64
"2008-08-25",77.34,77.6,75.86,76.37,2544000,16.33
"2008-08-26",76.29,76.99,75.62,76.71,2553200,16.4
"2008-08-27",76.64,78.07,76.41,77.8,2840800,16.64
"2008-08-28",78.1,79.46,77.6,79.43,3691200,16.98
"2008-08-29",78.91,80.12,78.9,79.25,3489200,16.95
"2008-09-02",80.05,81.43,79.16,79.79,4073600,17.06
"2008-09-03",81.78,84.57,79.92,84.34,9707600,18.03
"2008-09-04",83.69,84.6,82,83.18,5216800,17.79
"2008-09-05",82.42,82.44,79.79,81.34,5002000,17.52
"2008-09-08",82.73,83.8,82.39,83.58,4707200,18
"2008-09-09",83.37,84.41,82.55,82.57,3612000,17.78
"2008-09-10",82.78,84.05,82.01,83.89,5369600,18.06
"2008-09-11",83.49,83.57,81.49,83.32,3720800,17.94
"2008-09-12",82.38,83,81.58,82.65,2858800,17.8
"2008-09-15",81.17,84.01,80.55,81.37,4168800,17.52
"2008-09-16",79.75,83.19,79.75,83.19,4281600,17.91
"2008-09-17",81.92,82.75,79.83,79.83,4834800,17.19
"2008-09-18",80.73,81.65,77.26,81.2,6286400,17.48
"2008-09-19",83.36,84.07,81,82.29,5220800,17.72
"2008-09-22",79.95,81.95,78.4,78.78,3332800,16.96
"2008-09-23",78.8,79.82,75.58,76.84,4594800,16.55
"2008-09-24",76.69,78.98,76.34,77.45,4508800,16.68
"2008-09-25",78.32,80.89,78.32,79.95,4670800,17.22
"2008-09-26",79.02,80.29,77.97,80.23,2163200,17.28
