"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"2007-01-03",50.81,50.93,49.58,50.11,455900,48.05
"2007-01-04",50.15,50.25,49.12,49.6,450900,47.56
"2007-01-05",49.26,49.38,48.66,48.73,408700,46.72
"2007-01-08",48.66,48.85,48.4,48.61,376500,46.61
"2007-01-09",48.69,49.2,48.46,48.9,395700,46.89
"2007-01-10",48.65,49.15,48.6,48.74,254900,46.79
"2007-01-11",49.04,50.49,49,50.15,567700,48.15
"2007-01-12",50.25,50.55,50.21,50.39,203500,48.38
"2007-01-16",50.5,50.77,50.21,50.33,296800,48.32
"2007-01-17",50.09,50.48,50,50.12,148600,48.12
"2007-01-18",50.16,50.25,49.8,50,188400,48
"2007-01-19",50.01,50.4,49.79,50.26,226800,48.25
"2007-01-22",50.2,50.34,49.9,50.12,307400,48.12
"2007-01-23",50.12,53.58,50.07,52.99,918200,50.87
"2007-01-24",52.99,53.09,52.14,52.41,409800,50.32
"2007-01-25",52.25,52.45,51.5,51.68,311300,49.62
"2007-01-26",51.9,52.18,51.01,52.06,472100,49.98
"2007-01-29",51.89,52,51.65,51.82,298200,49.75
"2007-01-30",52,52.44,51.75,52.25,290200,50.16
"2007-01-31",52.2,52.47,51.16,51.92,682000,49.85
"2007-02-01",52.1,52.71,51.79,52.39,478600,50.3
"2007-02-02",52.45,53.12,52.45,52.91,304900,50.8
"2007-02-05",52.91,53.2,52.8,53.07,254100,50.95
"2007-02-06",53.09,53.09,51.73,52.15,501200,50.07
"2007-02-07",52.32,52.83,52.19,52.49,328100,50.39
"2007-02-08",52.4,52.88,52,52.59,266100,50.49
"2007-02-09",52.57,52.58,51.77,52.13,269700,50.05
"2007-02-12",52.18,52.23,51.69,52.11,224700,50.03
"2007-02-13",52.14,52.54,51.85,52.3,257700,50.21
"2007-02-14",52.5,52.74,52.13,52.43,283300,50.34
"2007-02-15",52.35,52.35,51.26,51.74,467700,49.67
"2007-02-16",51.74,52.23,51.49,52.19,289700,50.11
"2007-02-20",52.05,52.09,51.2,51.5,590800,49.44
"2007-02-21",51.25,51.89,50.84,51.54,694600,49.48
"2007-02-22",51.58,51.71,51.16,51.42,460500,49.37
"2007-02-23",53.9,57.1,53.5,55.14,2114200,52.94
"2007-02-26",55.5,56.83,54.68,55.06,559600,52.86
"2007-02-27",54.05,55.1,52.56,53.44,652000,51.31
"2007-02-28",53.36,53.95,52.71,53.12,582300,51
"2007-03-01",52.7,53.48,52.12,53.15,482400,51.03
"2007-03-02",54.75,54.9,52.83,52.93,747500,50.82
"2007-03-05",52.59,53.52,52.04,52.06,544900,49.98
"2007-03-06",52.27,53.05,52.06,52.57,441000,50.47
"2007-03-07",52.43,53.06,52.3,52.58,483500,50.48
"2007-03-08",52.9,53.67,52.53,53.11,359900,50.99
"2007-03-09",53.39,53.5,52.72,53.01,348500,50.89
"2007-03-12",53.04,53.3,52.57,53.05,616200,50.93
"2007-03-13",52.84,53.02,51.92,52.04,246100,49.96
"2007-03-14",52.05,52.3,51.23,52.12,296100,50.04
"2007-03-15",51.98,52.85,51.51,52.81,345300,50.7
"2007-03-16",52.82,52.96,51.7,51.95,468500,49.88
"2007-03-19",52.25,53,52.25,52.87,227000,50.76
"2007-03-20",52.7,53.1,52.5,53.02,415800,50.9
"2007-03-21",53,53.32,52.5,53.21,655600,51.09
"2007-03-22",51.68,54.57,51.68,54.57,895300,52.39
"2007-03-23",54.5,54.93,54.29,54.69,454000,52.51
"2007-03-26",54.3,54.78,53.54,54,384000,51.84
"2007-03-27",53.75,54.16,53.4,53.86,348900,51.71
"2007-03-28",53.79,55.11,53.79,54.41,686100,52.24
"2007-03-29",54.8,55.12,54.13,54.65,534400,52.47
"2007-03-30",54.65,55.25,54.29,54.88,591600,52.69
"2007-04-02",54.9,55.19,53.6,53.88,637400,51.73
"2007-04-03",54.09,54.58,53.5,54.55,598500,52.37
"2007-04-04",54.7,55.17,54.3,55.1,409600,52.9
"2007-04-05",54.97,55.76,54.97,55.36,418700,53.15
"2007-04-09",55.32,55.87,54.96,55.75,399000,53.52
"2007-04-10",55.7,56.01,55.43,55.77,381100,53.54
"2007-04-11",55.79,56.05,55.09,55.56,269000,53.4
"2007-04-12",55.35,55.43,54.83,55.28,232100,53.13
"2007-04-13",55.42,55.42,54.64,55.27,355700,53.13
"2007-04-16",55.45,56.16,55.44,55.96,182400,53.79
"2007-04-17",56.05,56.17,55.47,56.01,265300,53.84
"2007-04-18",56.01,56.19,55.15,55.68,342500,53.52
"2007-04-19",55.16,56.23,54.95,55.79,289200,53.62
"2007-04-20",56.21,56.8,56.12,56.77,403900,54.57
"2007-04-23",56.77,56.81,56.31,56.76,330500,54.56
"2007-04-24",56.87,57.05,56.25,56.65,425900,54.45
"2007-04-25",56.96,57.3,56.14,57.13,523900,54.91
"2007-04-26",57.13,57.42,56.62,57.13,475800,54.91
"2007-04-27",58.01,58.1,56.98,57.63,1147400,55.39
"2007-04-30",57.78,58,55.89,56.06,816100,53.88
"2007-05-01",56.33,56.92,55.8,56.3,403400,54.12
"2007-05-02",56.22,56.6,55.6,56.46,606900,54.27
"2007-05-03",56.67,57.09,56.42,56.74,324800,54.54
"2007-05-04",56.85,57.04,56.29,56.73,255000,54.53
"2007-05-07",56.92,57.31,56.67,57.28,440500,55.06
"2007-05-08",56.9,57.03,56.13,56.62,204100,54.42
"2007-05-09",55,57.43,54.99,57.29,331500,55.07
"2007-05-10",57.28,57.29,56.14,56.31,1145800,54.12
"2007-05-11",56.31,56.76,56.01,56.49,380900,54.3
"2007-05-14",56.59,56.59,55.49,55.99,338000,53.82
"2007-05-15",56.04,56.51,55.46,55.58,366900,53.42
"2007-05-16",55.8,55.93,54.92,55.77,312400,53.61
"2007-05-17",55.5,55.53,54.87,55.07,355300,52.93
"2007-05-18",55.29,56.19,54.88,55.74,310000,53.58
"2007-05-21",55.62,56.43,55.1,56.29,283400,54.11
"2007-05-22",56.43,56.6,55.95,56.21,834100,54.03
"2007-05-23",56.24,56.58,55.81,55.94,400900,53.77
"2007-05-24",56,56.53,55.17,55.4,596400,53.25
"2007-05-25",55.41,57.19,55.41,57.1,652000,54.88
"2007-05-29",57.35,57.92,56.8,57.67,446300,55.43
"2007-05-30",57.49,57.86,57,57.86,323300,55.61
"2007-05-31",57.93,58.51,57.88,58.36,455000,56.1
"2007-06-01",58.66,58.79,57.79,58.06,468600,55.81
"2007-06-04",57.81,58.37,57.54,58.19,324900,55.93
"2007-06-05",58,58.13,57.46,57.69,265300,55.45
"2007-06-06",57.69,57.69,56.5,56.62,355200,54.42
"2007-06-07",56.33,56.53,54.91,55.18,634700,53.04
"2007-06-08",55.22,55.46,54.82,55.34,347500,53.19
"2007-06-11",55.1,56.05,54.55,56,519300,53.83
"2007-06-12",55.67,56.24,55.44,55.65,379200,53.49
"2007-06-13",55.72,56.16,55.52,56.16,356000,53.98
"2007-06-14",56.33,57.11,56.14,56.49,654300,54.3
"2007-06-15",56.5,56.71,56.09,56.3,443800,54.12
"2007-06-18",56.31,56.66,55.92,56.31,250000,54.12
"2007-06-19",56.06,56.51,55.72,56.26,430400,54.08
"2007-06-20",56.26,56.69,55.79,55.96,588900,53.79
"2007-06-21",55.96,56.15,55.22,56.06,319500,53.88
"2007-06-22",56.03,56.03,54.88,55.2,516500,53.06
"2007-06-25",55.37,55.59,54.75,54.95,496000,52.82
"2007-06-26",55.37,55.87,54.9,55.15,503800,53.01
"2007-06-27",55,55.81,54.95,55.78,422000,53.62
"2007-06-28",55.78,56.53,55.5,56.29,508500,54.11
"2007-06-29",56.72,57.37,56.54,57.1,648900,54.88
"2007-07-02",59,59.21,58.25,59.05,558400,56.76
"2007-07-03",59.32,59.9,59.11,59.81,353500,57.49
"2007-07-05",59.8,59.81,59.07,59.59,457800,57.28
"2007-07-06",59.67,60.07,59.29,60.06,355700,57.73
"2007-07-09",60.5,61.28,60.26,61.17,457500,58.8
"2007-07-10",60.7,61.15,60,60.18,319100,57.84
"2007-07-11",60.1,60.92,59.79,60.27,687000,57.99
"2007-07-12",60.69,61.95,60.69,61.64,341400,59.31
"2007-07-13",61.78,62.1,61.46,62,276700,59.66
"2007-07-16",61.73,62.48,61.38,61.67,252200,59.34
"2007-07-17",61.65,62.5,61.07,61.74,421700,59.41
"2007-07-18",61.71,62.31,61.29,61.83,470900,59.49
"2007-07-19",62.39,62.74,62.04,62.61,210100,60.25
"2007-07-20",62.51,62.55,61.95,62.18,292200,59.83
"2007-07-23",62.16,62.39,61.43,62.1,267000,59.75
"2007-07-24",61.43,61.97,60.51,60.8,310000,58.5
"2007-07-25",61.36,62.32,60.16,61.02,433500,58.72
"2007-07-26",60.85,60.85,52.3,59.21,678200,56.97
"2007-07-27",59.45,59.47,57.4,58.36,873400,56.16
"2007-07-30",58.57,61.92,58.57,61.58,966900,59.25
"2007-07-31",62.3,62.52,59.43,59.98,808600,57.71
"2007-08-01",59.91,61.58,59.38,60.2,573900,57.93
"2007-08-02",60.6,61.62,60.08,61.35,447600,59.03
"2007-08-03",61.54,61.92,60.22,60.25,586700,57.97
"2007-08-06",60.8,62.72,60.5,61.3,1014800,58.98
"2007-08-07",60.85,61.96,60.19,61.03,698700,58.73
"2007-08-08",61.61,64.54,61.61,64.53,1117000,62.09
"2007-08-09",62.6,65.36,62.59,64.48,1284100,62.04
"2007-08-10",64.04,64.36,62.39,62.75,1373900,60.38
"2007-08-13",63.58,65.08,62.56,63.25,713900,60.86
"2007-08-14",63.06,63.3,61.74,61.81,929600,59.48
"2007-08-15",61.98,62.22,60.71,61.15,1054400,58.84
"2007-08-16",60.73,61.77,59.43,60.41,1582000,58.13
"2007-08-17",62.52,62.52,60.45,60.82,1050000,58.52
"2007-08-20",60.85,61.9,60.62,61.46,618500,59.14
"2007-08-21",61.63,61.63,60.25,60.51,867200,58.22
"2007-08-22",60.89,62.41,60.89,61.82,469800,59.49
"2007-08-23",62.1,62.28,60.58,60.74,400800,58.45
"2007-08-24",60.44,61.46,60.31,61.31,334800,58.99
"2007-08-27",61.1,61.54,60.65,61.03,476300,58.73
"2007-08-28",60.2,61,59.92,60.52,1095800,58.23
"2007-08-29",61.14,62.54,60.91,62.22,787600,59.87
"2007-08-30",61.95,64.47,61.78,62.65,1117800,60.28
"2007-08-31",63.5,63.75,62.38,63.29,735600,60.9
