"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"2007-11-13",85,87.21,84.6,87.21,834500,78.22
"2007-11-14",87.56,90.71,86.37,88.36,1240400,79.25
"2007-11-15",90.56,91.57,88.91,89.19,1456500,79.99
"2007-11-16",91.73,91.73,87.71,88.39,1024600,79.27
"2007-11-19",87.68,87.85,85.69,85.99,891200,77.12
"2007-11-20",85.94,87.27,85.25,86.42,937500,77.51
"2007-11-21",85.65,85.89,84.4,84.4,1075100,75.7
"2007-11-23",85.72,86.92,84.58,86.84,261500,77.88
"2007-11-26",86.67,88.38,85.81,85.81,620800,76.96
"2007-11-27",86.08,87.38,85.75,86.75,558200,77.8
"2007-11-28",87.48,89.26,86.86,89.2,625700,80
"2007-11-29",88.97,89.42,88.26,89,452500,79.82
"2007-11-30",90.48,90.72,88,88.3,678600,79.19
"2007-12-03",88.27,88.5,86.87,86.92,694100,77.96
"2007-12-04",86.93,87.44,86.3,86.65,752900,77.71
"2007-12-05",87.28,88.5,87.1,88.25,680300,79.15
"2007-12-06",88.22,90.33,88.05,90.15,571000,80.85
"2007-12-07",90.7,92.22,90.5,91.29,1299100,81.88
"2007-12-10",91.36,92,91.27,91.42,792200,81.99
"2007-12-11",91.41,93.28,89.62,89.62,939900,80.38
"2007-12-12",91.82,92.08,89.3,89.96,862100,80.68
"2007-12-13",89.49,92.19,89.28,92.04,749600,82.55
"2007-12-14",90.96,91.3,90.25,90.48,685100,81.15
"2007-12-17",90.54,90.54,88.19,88.19,706200,79.1
"2007-12-18",88.27,89.07,87.55,88.81,683200,79.65
"2007-12-19",89,89.36,87.77,87.81,664100,78.75
"2007-12-20",88.54,88.8,87.24,87.96,634400,78.89
"2007-12-21",89,90.13,88.49,89.26,703200,80.06
"2007-12-24",89.54,90.99,89.27,90.83,138200,81.46
"2007-12-26",91,91.05,90.43,90.68,349500,81.33
"2007-12-27",90.68,90.93,89.03,89.1,361200,79.91
"2007-12-28",89.92,89.92,88.4,88.54,332900,79.41
"2007-12-31",88.04,88.54,87.38,87.52,293100,78.49
"2008-01-02",87.17,87.92,85.34,85.51,854000,76.69
"2008-01-03",85.96,86.37,85.04,85.18,772300,76.4
"2008-01-04",85.94,85.94,82.47,82.54,1368200,74.03
"2008-01-07",82.68,83,81.26,82.09,1064600,73.62
"2008-01-08",82.66,82.66,79.91,80.13,1097800,71.87
"2008-01-09",80.19,80.47,78.34,80.14,1275400,71.88
"2008-01-10",79.32,80.78,78.45,79.94,1889300,71.7
"2008-01-11",77.77,78.37,76.53,76.87,1573200,68.94
"2008-01-14",77.19,77.93,76.8,77.45,532500,69.46
"2008-01-15",76.82,76.95,75.42,76.07,1156000,68.23
"2008-01-16",75.48,77.93,75.26,75.62,1478600,67.82
"2008-01-17",75.93,76.96,72.93,73.29,1802100,65.73
"2008-01-18",73.76,74.45,71.22,71.87,1509500,64.46
"2008-01-22",70.29,76.95,69,76.3,2246500,68.43
"2008-01-23",74.21,78.45,73.02,78.22,1687700,70.15
"2008-01-24",81,82.3,79.27,80.79,1832600,72.46
"2008-01-25",82,82,76.97,77.58,1738500,69.58
"2008-01-28",77.54,77.54,75.08,76.67,1432800,68.76
"2008-01-29",76.67,77.59,76.38,77.3,952800,69.33
"2008-01-30",77.3,79.85,76.82,77.81,626400,69.79
"2008-01-31",76.74,80.11,76.1,79.38,1000500,71.19
"2008-02-01",80.09,80.8,79.07,80.35,752500,72.06
"2008-02-04",80.06,80.46,79.56,80.17,500500,71.9
"2008-02-05",78.46,79.71,78.27,79.03,1125500,70.88
"2008-02-06",79.58,80.1,78.59,78.86,1098900,70.73
"2008-02-07",78.13,79.41,77.53,79.08,858200,71.24
"2008-02-08",79.04,79.78,75.52,76.65,2543700,69.05
"2008-02-11",75,76.71,74.7,76.37,1703500,68.8
"2008-02-12",76.69,76.97,75.21,75.85,1158400,68.33
"2008-02-13",76.28,77.68,76.28,77.41,892700,69.74
"2008-02-14",77.26,77.41,75.05,75.46,680200,67.98
"2008-02-15",75.37,75.57,74.66,75.12,973900,67.67
"2008-02-19",75.91,76,74.28,74.54,841700,67.15
"2008-02-20",74.04,75.17,73.54,74.92,1355500,67.49
"2008-02-21",75.16,75.81,74.26,74.7,962800,67.3
"2008-02-22",75.23,75.31,72.76,74.77,1146300,67.36
"2008-02-25",74.67,76.05,74.32,75.93,1052900,68.4
"2008-02-26",74.9,76.97,74.9,76.84,909600,69.22
"2008-02-27",76.59,77.83,76.3,76.9,971200,69.28
"2008-02-28",76.5,76.71,74.91,75.71,750100,68.21
"2008-02-29",74.73,74.73,73.41,73.66,1314600,66.36
"2008-03-03",73.41,74.93,73.41,74.53,1108500,67.14
"2008-03-04",73.98,74.56,73.25,74.2,809700,66.84
"2008-03-05",73.87,75.61,73.87,74.77,774900,67.36
"2008-03-06",74.23,74.39,73.51,73.54,778500,66.25
"2008-03-07",73.3,74.89,71.9,72.52,1345400,65.33
"2008-03-10",72.06,72.87,71.25,71.6,1608500,64.5
"2008-03-11",73.08,73.62,71.41,73.35,1086100,66.08
"2008-03-12",73.65,75.29,73.45,74.05,1244000,66.71
"2008-03-13",72.87,74.44,70.95,73.75,1490900,66.44
"2008-03-14",74.14,74.3,71.77,72.86,1086300,65.64
"2008-03-17",72,74.92,71.62,74,1549600,66.66
"2008-03-18",74.92,76.18,74.22,76.18,1022600,68.63
"2008-03-19",76.3,77.8,76.03,76.28,1193900,68.72
"2008-03-20",76.7,78.51,76.3,78.26,1092600,70.5
"2008-03-24",78.82,80.47,78.5,79.65,865600,71.75
"2008-03-25",79.53,80.52,78.93,80.05,676100,72.11
"2008-03-26",79.75,79.81,78.34,79.49,688600,71.61
"2008-03-27",80.09,80.09,77.91,78,745400,70.27
"2008-03-28",76.8,77.99,74.75,76.46,1048100,68.88
"2008-03-31",76.53,77,75.54,76.39,673200,68.82
"2008-04-01",76.98,79.43,75.94,79.3,1060800,71.44
"2008-04-02",79.3,80.73,79.12,80.51,1008400,72.53
"2008-04-03",80.31,80.55,79.2,80.25,757800,72.3
"2008-04-04",80.49,81.73,79.75,80.95,525500,72.93
"2008-04-07",81.84,82.12,80.57,81.65,672300,73.56
"2008-04-08",81.3,83.2,81.1,83,921700,74.77
"2008-04-09",83.13,83.21,80.76,81.27,1134600,73.21
"2008-04-10",80.81,80.99,79.23,80,1302000,72.07
"2008-04-11",78.83,80.88,78.5,80,2078400,72.07
"2008-04-14",84.09,84.24,81.35,81.73,1987100,73.63
"2008-04-15",82.54,83,81.66,82.63,1704100,74.44
"2008-04-16",83.41,85.55,82.83,85.32,977800,76.86
"2008-04-17",84.76,86.29,84.33,85.91,1017600,77.39
"2008-04-18",86.76,88.06,86.55,87.5,1185400,78.83
"2008-04-21",87.18,87.77,86.39,87.64,520800,78.95
"2008-04-22",87,87.42,85.31,85.86,479800,77.35
"2008-04-23",86.7,86.7,84.32,85.08,540300,76.65
"2008-04-24",85.6,85.6,84.26,84.71,728300,76.31
"2008-04-25",85.2,86.36,84.27,85.97,502800,77.45
"2008-04-28",85.71,85.92,85.11,85.78,593300,77.28
"2008-04-29",85.34,86.3,85.29,85.82,590200,77.31
"2008-04-30",85.87,87.25,85.69,86.71,1316300,78.11
"2008-05-01",86.92,87.98,86.32,87.84,689300,79.13
"2008-05-02",88.32,88.99,86.71,87.3,558800,78.65
"2008-05-05",86.62,87.18,86.04,86.69,393000,78.1
"2008-05-06",86.57,87.7,85.62,87.37,593100,78.71
"2008-05-07",87.03,87.42,85.73,85.85,570400,77.34
"2008-05-08",85.71,86.55,85.43,86.21,825200,78.03
"2008-05-09",85.1,86.16,84.84,85.87,437000,77.72
"2008-05-12",86.5,87.94,86.09,87.93,625100,79.58
"2008-05-13",88,89.55,87.84,89.46,980900,80.97
"2008-05-14",89.63,91.13,89.02,90.21,888900,81.65
"2008-05-15",89.71,91.44,89.33,91.21,668100,82.55
"2008-05-16",91.04,92,90.87,91.76,1044400,83.05
"2008-05-19",91.61,93.12,91.41,91.5,927700,82.82
"2008-05-20",91.54,91.54,90.38,90.51,517600,81.92
"2008-05-21",91.42,91.97,89.64,90.26,1110100,81.69
"2008-05-22",90.18,91.15,89.88,90.21,494500,81.65
"2008-05-23",89.73,89.73,87.95,88.74,429800,80.32
"2008-05-27",88.26,89.43,87.81,89.26,896100,80.79
"2008-05-28",89.64,90.68,89.38,90.56,393300,81.97
"2008-05-29",90.62,91.75,89.94,91.16,468000,82.51
"2008-05-30",91.16,91.69,90.57,91.26,627500,82.6
"2008-06-02",91.1,91.1,89.3,89.93,572600,81.39
"2008-06-03",90,90.88,89.51,90.36,524000,81.78
"2008-06-04",90.02,91.9,89.79,91.41,734100,82.73
"2008-06-05",91.8,92.78,91.08,92.75,677800,83.95
"2008-06-06",92.3,92.3,89.22,89.22,615700,80.75
"2008-06-09",89.6,90.44,89.37,89.97,538200,81.43
"2008-06-10",89.5,90.74,89.25,90,551300,81.46
"2008-06-11",89.34,90.45,88.5,88.5,1095200,80.1
"2008-06-12",89,89.56,87.98,88.45,905700,80.06
"2008-06-13",88.77,90.52,88.65,89.73,899000,81.21
"2008-06-16",89.47,90.48,89.1,90.09,557000,81.54
"2008-06-17",90.9,90.99,89.34,89.36,541500,80.88
"2008-06-18",88.97,89.29,87.65,88.04,923500,79.68
"2008-06-19",87.97,89.25,87.65,89.09,511500,80.63
"2008-06-20",89.08,89.25,86.44,86.8,864600,78.56
"2008-06-23",87.2,87.55,85.79,86.1,571400,77.93
"2008-06-24",85.79,86,83.94,84.25,792000,76.25
"2008-06-25",84.53,86.12,83.64,85.18,1090700,77.1
"2008-06-26",84.86,84.89,82.17,82.31,1430900,74.5
"2008-06-27",82.18,82.44,80.9,81.44,1462300,73.71
"2008-06-30",81.59,82.77,81.06,81.8,667600,74.04
"2008-07-01",80.72,82.52,79.98,82.03,1624400,74.24
"2008-07-02",82.4,82.76,79.74,79.8,1387900,72.23
"2008-07-03",80.38,83.12,79.66,81.46,812900,73.73
"2008-07-07",82.44,82.89,80.78,81.52,716700,73.78
"2008-07-08",81.93,84.6,81.2,84.45,976700,76.43
"2008-07-09",84.25,86,83.99,83.99,1236500,76.02
"2008-07-10",84.19,84.71,83.11,84.58,1020200,76.55
"2008-07-11",83.79,84.43,82.14,83.14,633100,75.25
"2008-07-14",83.75,84.94,82.88,84.21,825600,76.22
"2008-07-15",82.4,85.02,81.27,83.91,1858200,75.95
"2008-07-16",84.45,87.23,83.76,86.45,1525700,78.25
"2008-07-17",86.57,90.36,86.12,89.52,1759400,81.02
"2008-07-18",89.5,90.42,88.25,88.87,1080200,80.44
"2008-07-21",88.56,89.54,87.89,89.13,746600,80.67
"2008-07-22",88.65,91.97,88.54,91.88,1070700,83.16
"2008-07-23",91.8,92.04,89.98,90.34,1014600,81.77
"2008-07-24",90.5,90.5,88.05,88.35,919600,79.96
"2008-07-25",88.6,89.02,87.76,88,686100,79.65
"2008-07-28",88.04,88.43,86.47,86.76,595900,78.53
"2008-07-29",87.12,88.36,87.12,88.27,645200,79.89
"2008-07-30",89.11,90.42,88.54,90.15,901400,81.59
"2008-07-31",89.34,91.85,89.34,89.51,910200,81.01
"2008-08-01",89.66,90.43,87.68,88.45,751200,80.06
"2008-08-04",88.27,88.52,87.01,87.15,507300,78.88
"2008-08-05",87.61,88.86,87.61,88.86,554600,80.43
"2008-08-06",88,89.59,87.73,89.01,564700,80.56
"2008-08-07",88,88.01,86.03,86.27,705300,78.43
"2008-08-08",86.29,89.74,85.89,89.73,618500,81.58
"2008-08-11",89.15,92.21,88.67,91.27,1254300,82.98
"2008-08-12",90.74,93,90.67,92.78,926900,84.35
"2008-08-13",92.11,92.7,91.15,91.98,778800,83.63
"2008-08-14",91.35,93,91.21,92.48,601300,84.08
"2008-08-15",92.77,93.99,92.61,93.1,696900,84.64
"2008-08-18",93.21,93.49,92.1,92.62,558100,84.21
"2008-08-19",92.91,92.91,90.36,90.74,393500,82.5
"2008-08-20",91.09,91.09,89.62,90.5,484100,82.28
"2008-08-21",89.02,90.93,89.02,90.31,547400,82.11
"2008-08-22",90.74,92.02,90.65,91.19,395600,82.91
"2008-08-25",90.77,90.79,89.06,89.27,415900,81.16
"2008-08-26",89,89.86,87.93,88.5,464100,80.46
"2008-08-27",88.25,89.44,88.25,89.14,374200,81.04
"2008-08-28",89.92,91.83,89.53,90.64,528500,82.41
"2008-08-29",90.41,91.46,90.02,90.03,441000,81.85
"2008-09-02",91.83,93.07,91.28,91.64,1114300,83.32
"2008-09-03",91.69,92.22,90.26,90.81,548600,82.56
"2008-09-04",90.21,90.21,87.59,88.21,787500,80.2
"2008-09-05",87.18,88.55,86.19,87.31,710100,79.38
"2008-09-08",89.88,90.43,88.38,89.46,621800,81.33
"2008-09-09",89.58,89.99,87.51,88.32,1090700,80.3
"2008-09-10",89.23,89.73,87.58,88.39,973900,80.36
"2008-09-11",86.88,88.48,86.08,88.07,852700,80.07
"2008-09-12",87.6,90.75,86.99,90.05,743400,81.87
"2008-09-15",87.31,89.63,86.49,86.91,801100,79.02
"2008-09-16",85.4,92.33,85.4,91.52,2146200,83.21
"2008-09-17",89.79,92.3,88.9,89.06,1555800,80.97
"2008-09-18",89.9,90.45,84.75,89.14,1616000,81.04
"2008-09-19",86.79,93.59,83.63,92.33,1277300,83.94
"2008-09-22",91.57,92.31,88.42,88.87,607700,80.8
"2008-09-23",89.3,90.01,87.46,87.83,877500,79.85
"2008-09-24",87.83,88.42,85.45,85.95,781100,78.14
"2008-09-25",85.59,89.37,85.53,88,828100,80.01
"2008-09-26",86.86,89.25,86.37,89.06,804500,80.97
"2008-09-29",87.98,88.05,82.65,83.36,1231000,75.79
"2008-09-30",85,87.6,82.75,86.97,987600,79.07
"2008-10-01",86.15,86.9,81.16,81.93,1710900,74.49
"2008-10-02",81.66,81.66,76.23,77.98,1516800,70.9
"2008-10-03",78.85,81.93,77.18,77.31,1429600,70.29
"2008-10-06",75.34,77.58,72.69,76.86,1659100,69.88
"2008-10-07",77.55,78.11,72.74,72.74,1632200,66.13
"2008-10-08",71.6,76.02,69.91,72.61,2020100,66.02
"2008-10-09",74.5,77.26,71.21,71.23,2187300,64.76
"2008-10-10",69.09,78.12,66.46,73.87,2385200,67.16
"2008-10-13",74.26,80.45,74.26,80.45,1081400,73.14
"2008-10-14",85.12,86.75,81.81,83.4,2804400,75.83
"2008-10-15",82.01,82.88,74.91,75.21,1515800,68.38
"2008-10-16",75.48,78.11,71.73,77,1906000,70.01
"2008-10-17",76.71,81.16,75.03,78.36,1804300,71.24
"2008-10-20",79.26,83.46,78.69,83.24,2228400,75.68
"2008-10-21",81.76,82.91,77.6,77.73,1714000,70.67
"2008-10-22",75.97,76.7,68.95,71.48,1955900,64.99
"2008-10-23",71.86,73.78,66.67,69.6,2544900,63.28
"2008-10-24",64.26,70.05,63.94,68.16,927100,61.97
"2008-10-27",66.76,71.85,66.76,69.22,1345300,62.93
"2008-10-28",71.17,75.46,68.31,75.46,1433200,68.61
"2008-10-29",75.11,78.18,74.06,74.24,1441000,67.5
"2008-10-30",76.4,77.75,74.58,76.8,828200,69.82
"2008-10-31",77.38,80.89,76.78,78.57,1103200,71.43
"2008-11-03",78.22,79.66,76.99,78.71,1275800,71.56
"2008-11-04",80.4,82.99,79.45,80.95,1745400,73.6
"2008-11-05",77.58,78.23,73.69,76.14,2217400,69.22
"2008-11-06",74.75,76.18,72.51,72.91,1420700,66.64
"2008-11-07",73.06,74.91,70.89,72.18,1336200,65.97
"2008-11-10",73.39,74.25,70.7,71.49,931100,65.34
"2008-11-11",70.73,71.81,68.36,70.07,1259500,64.04
"2008-11-12",68.4,68.98,64.97,65.27,1846000,59.66
"2008-11-13",65.41,67.36,61.11,67.36,1824800,61.57
"2008-11-14",66.1,69.35,64.75,65.06,1018200,59.46
"2008-11-17",64.12,67.41,63.42,64.03,1108300,58.52
"2008-11-18",64,64.86,60.62,63.38,1894600,57.93
"2008-11-19",63.29,63.75,59.89,59.92,1816200,54.77
"2008-11-20",59.6,65.21,58.86,60.33,1966100,55.14
"2008-11-21",61.49,64.59,59.01,64.53,1417400,58.98
"2008-11-24",64.52,68.31,64.52,67.04,1047200,61.27
"2008-11-25",68.16,68.98,66.28,67.68,1085600,61.86
"2008-11-26",66.6,71.13,66.32,70.64,848000,64.56
"2008-11-28",70.43,71.14,69.47,70.57,302000,64.5
"2008-12-01",69.82,69.82,65.26,65.35,1093700,59.73
"2008-12-02",65.4,66.76,64.5,66.1,1033400,60.41
"2008-12-03",64.29,68.43,63.71,68.17,1290600,62.31
"2008-12-04",67.49,68.92,65.91,67.21,998100,61.43
"2008-12-05",66,69.47,64.25,69.31,746000,63.35
"2008-12-08",70.34,72.99,69.76,71.75,1282800,65.58
"2008-12-09",70.7,73.02,70.23,70.8,1176600,64.71
"2008-12-10",71.19,72.19,70.23,70.94,742300,64.84
"2008-12-11",70.65,70.87,65.57,66.29,1032200,60.59
"2008-12-12",63,69.43,62.93,68.74,1461700,62.83
"2008-12-15",71.52,73.36,70.5,72.27,1782100,66.05
"2008-12-16",72.77,75.66,72.47,74.75,1693400,68.32
"2008-12-17",74.19,74.75,73.35,73.98,1587800,67.62
"2008-12-18",74.1,74.39,73.02,73.44,1447800,67.12
"2008-12-19",73.47,74.38,72.74,73.45,1226200,67.13
"2008-12-22",73.9,74.1,72.36,73.65,906600,67.31
"2008-12-23",74.25,75.19,73.72,74.16,934400,67.78
"2008-12-24",74.41,75.49,74.1,74.65,337400,68.23
"2008-12-26",74.9,75.96,74.78,75.56,373200,69.06
"2008-12-29",75.04,75.48,74.05,74.73,912800,68.3
"2008-12-30",75.02,77.5,74.9,77.49,651700,70.82
"2008-12-31",78.09,79.58,77.4,78.84,905100,72.06
"2009-01-02",78.85,81.18,76.73,80.59,1039600,73.66
"2009-01-05",80.02,80.75,78.17,78.81,1480300,72.03
"2009-01-06",79.16,79.33,77.85,78.51,1529200,71.76
"2009-01-07",77.78,78.53,76.99,77.5,1356100,70.83
"2009-01-08",76.15,77.61,74.83,77.44,2079000,70.78
"2009-01-09",77.42,77.69,74.91,76.53,1380400,69.95
"2009-01-12",76.4,77,75.04,75.83,1404000,69.31
"2009-01-13",75.79,77.24,75.09,76.23,950500,69.67
"2009-01-14",75.04,75.3,73.5,73.99,1243700,67.63
"2009-01-15",74.23,76.22,73.22,75.55,1214000,69.05
"2009-01-16",76.53,77.07,74.42,76.52,1423400,69.94
"2009-01-20",76.31,76.84,72.42,72.65,2079300,66.4
"2009-01-21",73.61,73.74,70.01,72.7,2545100,66.45
"2009-01-22",71,71.91,70.12,71.19,1963800,65.07
"2009-01-23",69.82,73.25,69.33,71.82,1623600,65.64
"2009-01-26",70.95,73,70,71.16,1839200,65.04
"2009-01-27",71.68,74.09,71.51,73.51,1495600,67.19
"2009-01-28",74.5,75.54,73.82,75.28,1228200,68.8
"2009-01-29",74.14,75,73.31,74.11,1463200,67.73
"2009-01-30",74.62,75.22,72.26,72.95,1347000,66.67
"2009-02-02",72.01,73.11,71.04,72.56,1340400,66.32
"2009-02-03",72.64,74.56,71.73,74.2,1053500,67.82
"2009-02-04",72.53,74.07,71.55,72.14,2266200,65.93
"2009-02-05",71.46,73.7,70.79,73.08,1196600,67.17
"2009-02-06",73.27,75.61,72.9,75.23,1109600,69.14
"2009-02-09",75.04,76.26,74.35,75.31,777200,69.22
"2009-02-10",74.49,75.66,71.72,72.11,1512700,66.27
"2009-02-11",71.33,72.2,69.9,71.48,2330500,65.7
"2009-02-12",71.94,74.13,71.36,73.73,2255100,67.76
"2009-02-13",73.45,74.99,73.04,74.17,1801400,68.17
"2009-02-17",72.01,73.89,71.61,72.87,1581400,66.97
"2009-02-18",73.51,73.51,70.11,71,1903600,65.25
"2009-02-19",71.45,72.13,68.84,69.11,1635500,63.52
"2009-02-20",68.18,69.82,67.21,68.74,2151200,63.18
"2009-02-23",69.54,69.54,65.79,65.92,2341800,60.59
"2009-02-24",66,69.03,65.95,68.53,1219800,62.98
"2009-02-25",67.89,69.15,67.06,67.66,1773100,62.18
"2009-02-26",67.79,68.49,66.76,66.77,1439100,61.37
"2009-02-27",65.73,67.46,65.73,66.16,1525700,60.81
"2009-03-02",65.17,66.02,63.12,64.05,1760600,58.87
"2009-03-03",64.8,65.25,63.23,63.85,1924800,58.68
"2009-03-04",64.66,65.4,62.95,64.4,2466700,59.19
"2009-03-05",63.25,63.44,61.22,61.71,2134400,56.72
"2009-03-06",61.5,63.37,59.95,61.45,2511000,56.48
"2009-03-09",60.45,62.41,60.32,61.37,1585500,56.4
"2009-03-10",62.65,65.33,61.93,65.17,2068600,59.9
"2009-03-11",65.99,66,63.04,64.21,1866700,59.01
"2009-03-12",64.18,66.74,62.89,66.44,1247900,61.06
"2009-03-13",66.88,66.88,64.76,65.85,1011600,60.52
"2009-03-16",66.69,66.8,62.76,64.33,1980900,59.12
"2009-03-17",64.7,66.47,63.73,66.47,1076600,61.09
"2009-03-18",65.67,68.3,65,67.56,1323300,62.09
"2009-03-19",68.16,68.16,66.63,67.66,1092000,62.18
"2009-03-20",68.2,68.6,66.07,66.71,1154500,61.31
"2009-03-23",67.89,70.49,67.15,70.45,1232200,64.75
"2009-03-24",69.63,71.47,69.24,70.21,984900,64.53
"2009-03-25",70.63,73.24,68.79,70.89,1270500,65.15
"2009-03-26",71.75,73.6,71.25,73.6,1142300,67.64
"2009-03-27",72.6,72.99,71.21,71.69,834000,65.89
"2009-03-30",70.57,71.06,69.28,70.56,1002000,64.85
"2009-03-31",70.7,71.49,68.7,70.18,1191900,64.5
"2009-04-01",69.39,72.01,68.61,71.77,1079400,65.96
"2009-04-02",73.3,75.5,73.27,74.7,1302100,68.65
"2009-04-03",74.5,75.49,73.99,75.24,919800,69.15
"2009-04-06",74.55,75.25,73.48,74.86,882800,68.8
"2009-04-07",73.63,74.23,71.4,72.27,832800,66.42
"2009-04-08",72.44,73.06,71.4,72.64,685700,66.76
"2009-04-09",74.42,77.42,74.13,77,1263600,70.77
"2009-04-13",76.41,77.98,75.55,77.24,1162100,70.99
"2009-04-14",80,86.06,78.21,79.96,5063400,73.49
"2009-04-15",80.5,81.25,78.12,79.59,1519200,73.15
"2009-04-16",79.93,80.65,78.76,80.33,1624900,73.83
"2009-04-17",80.6,81.05,78.82,79.44,1259000,73.01
"2009-04-20",78.46,78.75,76.78,77.34,1067100,71.08
"2009-04-21",76.89,78.04,76.65,77.72,935000,71.43
"2009-04-22",77.65,80.5,76.9,79.44,1211100,73.01
"2009-04-23",78.85,79.99,77.74,79.16,773100,72.75
"2009-04-24",79.65,83.11,78.68,82.09,1218700,75.45
"2009-04-27",80.76,82.12,80.23,80.99,644800,74.44
"2009-04-28",80.3,82.1,79.9,81.49,838200,74.9
"2009-04-29",82.56,84,81.5,83.06,957700,76.34
"2009-04-30",83.34,86.36,83.07,83.88,1312300,77.09
"2009-05-01",83.88,84.23,82.04,82.79,1003000,76.09
"2009-05-04",83.5,84.06,81.2,84.06,1176900,77.26
"2009-05-05",83.18,83.56,81.2,83.38,1319900,76.63
"2009-05-06",83.49,84.81,81.62,82.97,1190000,76.26
"2009-05-07",83.48,83.48,79.61,80.27,964200,74.19
"2009-05-08",81.41,82.17,79.54,80.79,905400,74.67
"2009-05-11",79.07,79.5,77.72,78.67,968400,72.71
"2009-05-12",79.58,80.81,78.56,80.05,987600,73.98
"2009-05-13",79,79.22,77.06,77.55,706100,71.67
"2009-05-14",77.86,78.93,77.2,77.34,831400,71.48
"2009-05-15",77.05,79.02,77.05,77.71,682000,71.82
"2009-05-18",78.14,80.2,77.98,80.18,503700,74.1
"2009-05-19",79.75,80.68,78.82,79,686500,73.01
"2009-05-20",79.48,80.17,76.75,76.96,855200,71.13
"2009-05-21",76.21,76.21,74.58,75.55,812200,69.82
"2009-05-22",75.58,76.59,74.55,75.72,559600,69.98
"2009-05-26",75.26,79.17,74.95,78.61,823400,72.65
"2009-05-27",78.67,79.85,77.35,77.45,986900,71.58
"2009-05-28",77.26,78.53,75.86,78.25,932000,72.32
"2009-05-29",78.12,79.07,77.69,78.83,650900,72.85
"2009-06-01",79.91,83.48,79.77,82.93,1005300,76.64
"2009-06-02",83.21,83.94,82.2,83.63,964900,77.29
"2009-06-03",82.96,83.96,81.8,82.82,1212100,76.54
"2009-06-04",83.11,83.75,82.45,83.37,1177600,77.05
"2009-06-05",84.21,84.4,82.39,82.99,932500,76.7
"2009-06-08",82.82,84.95,82.75,84.43,860100,78.03
"2009-06-09",84.23,85,83.92,84.32,2363100,77.93
"2009-06-10",85.1,85.45,82.88,84.03,1051100,77.66
"2009-06-11",84.52,85.48,83.8,84.12,923400,77.74
"2009-06-12",83.84,83.96,82.91,83.81,836400,77.46
"2009-06-15",83.07,83.09,81.24,82.24,712500,76.01
"2009-06-16",82.5,83,81.1,81.16,652100,75.01
"2009-06-17",80.71,83.3,80.4,82.44,757000,76.19
"2009-06-18",82.6,82.72,81.41,82.4,611100,76.15
"2009-06-19",82.31,82.65,80.44,80.9,1548700,74.77
"2009-06-22",80.36,80.48,78.36,78.36,819100,72.42
"2009-06-23",78.13,78.81,77.12,78.03,1018000,72.12
"2009-06-24",78.48,81.35,78.14,80.56,1277800,74.45
"2009-06-25",80.23,82.79,79.8,82.71,1068000,76.44
"2009-06-26",82.86,83.99,82.42,82.79,1494200,76.51
"2009-06-29",83.28,83.62,82.07,82.82,530000,76.54
"2009-06-30",82.83,83.11,81.12,81.88,641600,75.67
"2009-07-01",82.15,82.79,81.42,81.94,625100,75.73
"2009-07-02",81.39,82.08,80.06,80.11,1092100,74.04
"2009-07-06",80.42,82.3,79.56,81.79,1019500,75.59
"2009-07-07",81.9,82,80.25,80.33,662500,74.24
"2009-07-08",80.79,80.89,78.47,79.14,793800,73.14
"2009-07-09",79.2,79.97,77.88,78.31,947300,72.37
"2009-07-10",77.67,78.75,77.67,78.52,1099000,72.57
"2009-07-13",79.23,81.76,78.33,81.14,1832200,74.99
"2009-07-14",81.56,82.98,81.11,82.58,1159600,76.32
"2009-07-15",83.68,85,81.82,82.99,2185400,76.7
"2009-07-16",82.92,84.02,82.5,83.74,1240500,77.39
"2009-07-17",84.05,84.98,83.48,84.56,1016200,78.15
"2009-07-20",87.03,88.02,85.49,87.78,1159300,81.13
"2009-07-21",87.52,88.45,86.25,87.3,1170700,80.68
"2009-07-22",86.71,88.04,86.3,86.93,845900,80.34
"2009-07-23",87.19,88.93,86.35,88.67,921700,81.95
"2009-07-24",87.98,89.11,87.29,89.08,480500,82.33
"2009-07-27",88.75,89.05,87.87,88.95,484400,82.21
"2009-07-28",87.98,88.6,87.07,88.44,748000,81.74
"2009-07-29",88.13,88.98,87.29,88.79,1029100,82.06
"2009-07-30",89.6,90.95,88.36,90.17,926700,83.33
"2009-07-31",89.78,91.51,89.76,89.91,811300,83.09
"2009-08-03",91.2,91.5,89.86,91.12,1122500,84.21
"2009-08-04",90.58,91.55,90.28,90.36,652000,83.51
"2009-08-05",90.2,90.55,88.69,89.12,764200,82.36
"2009-08-06",89.1,89.62,88.4,89.04,528700,82.72
"2009-08-07",89.74,91.27,89.16,90.98,366300,84.52
"2009-08-10",90.29,90.55,88.14,88.78,501200,82.48
"2009-08-11",89.07,89.07,87.13,88.72,559800,82.42
"2009-08-12",88.28,89.26,87.41,87.59,906800,81.37
"2009-08-13",87.23,87.92,85.81,87.48,737900,81.27
"2009-08-14",88.11,88.11,85.79,86.71,450900,80.55
"2009-08-17",85.71,86.39,84.51,85.95,682500,79.85
"2009-08-18",86.47,87.42,86.23,87.18,401300,80.99
"2009-08-19",86,87.53,85.59,87.09,426700,80.91
"2009-08-20",87.32,88.56,86.84,88.38,479700,82.1
