"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2007-05-31",39.76,41,39.55,40.68,13094300,36.01
"2007-06-01",41.2,41.65,40.85,41.61,9284300,36.83
"2007-06-04",41.58,41.74,41.11,41.51,5349400,36.74
"2007-06-05",41.44,41.8,41.06,41.43,7468400,36.67
"2007-06-06",41.15,41.28,40.6,41.04,5933900,36.41
"2007-06-07",40.58,41.1,39.8,39.84,7673700,35.35
"2007-06-08",39.84,40.22,39.17,39.9,6365000,35.4
"2007-06-11",39.95,40,39.34,39.66,5427300,35.19
"2007-06-12",39.23,39.75,39.05,39.08,5869900,34.67
"2007-06-13",39.11,39.78,39.11,39.72,4800100,35.24
"2007-06-14",39.58,40.27,39.57,39.85,5371100,35.36
