"","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume","AMP.Adjusted"
"2007-01-03",54.68,55.57,54.68,55.22,1858900,47.97
"2007-01-04",55.34,55.75,55.07,55.58,1586600,48.28
"2007-01-05",55.45,55.66,55.02,55.5,1045100,48.21
"2007-01-08",55.51,56.3,55.27,56.19,1227600,48.81
"2007-01-09",56.36,56.71,56.09,56.53,1161200,49.1
"2007-01-10",56.54,56.87,56.13,56.76,1047800,49.3
"2007-01-11",56.72,57.93,56.5,57.81,1149200,50.21
"2007-01-12",57.56,58.18,57.54,57.98,1236100,50.36
"2007-01-16",58.2,58.5,57.5,58.07,1371900,50.44
"2007-01-17",58.06,58.29,57.79,58.04,1117000,50.41
"2007-01-18",58.24,58.4,57.54,57.65,1019200,50.08
"2007-01-19",57.97,57.97,57.23,57.6,1106600,50.03
"2007-01-22",57.47,57.87,56.8,56.91,1287600,49.43
"2007-01-23",56.93,57.75,56.4,57.6,1237500,50.03
"2007-01-24",57.6,58.94,57.04,58.86,1140000,51.13
"2007-01-25",58.87,58.87,57.42,57.45,1063200,49.9
"2007-01-26",58.45,59.35,56.95,58.48,2641900,50.8
"2007-01-29",58.67,58.7,57.5,57.53,1511800,49.97
"2007-01-30",57.4,58.76,57.32,58.73,1060300,51.01
"2007-01-31",58.27,59.24,58,58.96,964400,51.21
"2007-02-01",58.96,59.29,58.53,59.04,990600,51.38
"2007-02-02",59.26,59.85,59.19,59.76,1147900,52.01
"2007-02-05",59.76,60.1,59.51,59.99,1191800,52.21
"2007-02-06",60.24,61.3,60.14,61.21,1408100,53.27
"2007-02-07",61.46,61.8,60.95,61.37,1051700,53.41
"2007-02-08",61.48,61.75,61.06,61.33,1177100,53.37
"2007-02-09",61.12,61.73,59.47,60.1,1293700,52.3
"2007-02-12",60.11,60.42,59.74,60.25,888500,52.43
"2007-02-13",60.35,61.53,60.28,61.12,1318400,53.19
"2007-02-14",61.18,63.07,61.16,62.56,1502700,54.44
"2007-02-15",62.36,62.65,61.99,62.24,911700,54.16
"2007-02-16",61.95,62.57,61.85,62.36,864800,54.27
"2007-02-20",62.36,62.97,61.45,62.9,946600,54.74
"2007-02-21",62.75,63.08,62.28,62.74,1184200,54.6
"2007-02-22",62.74,63.03,62.6,62.92,768600,54.76
"2007-02-23",62.95,62.95,62.05,62.63,682000,54.5
"2007-02-26",62.75,62.79,61.09,61.34,1091100,53.38
"2007-02-27",61.34,61.34,56.74,58.13,3217300,50.59
"2007-02-28",58.12,59.04,57.99,58.45,1750200,50.87
"2007-03-01",58,58.68,56.75,58.1,1501900,50.56
"2007-03-02",58.1,58.36,57.16,57.16,1211700,49.74
"2007-03-05",56.87,57.03,55.89,55.89,1541900,48.64
"2007-03-06",56.57,57.99,56.12,57.9,1374200,50.39
"2007-03-07",57.6,58.35,57.43,57.43,1072900,49.98
"2007-03-08",58,58.82,57.89,58.23,716600,50.67
"2007-03-09",58.7,58.99,57.81,58.39,832800,50.81
"2007-03-12",58.39,58.66,57.97,58.26,883900,50.7
"2007-03-13",57.98,57.98,54.48,54.54,2564500,47.46
"2007-03-14",54.53,55.19,53.01,55.06,3458600,47.92
"2007-03-15",55.86,56.34,55.19,55.51,1232500,48.31
"2007-03-16",55.79,56.71,54.97,55.15,2279700,47.99
"2007-03-19",56,57.61,56,57.52,2110700,50.06
"2007-03-20",57.39,57.82,57.19,57.66,897700,50.18
"2007-03-21",57.66,59.4,57.36,59.26,923300,51.57
"2007-03-22",59.22,59.41,58.32,58.41,519400,50.83
"2007-03-23",58.54,58.68,58.03,58.41,633900,50.83
"2007-03-26",58.25,58.31,56.97,57.53,1052400,50.07
"2007-03-27",57.1,57.67,57.04,57.52,947400,50.06
"2007-03-28",56.84,57.7,56.04,56.63,1352200,49.28
"2007-03-29",57.39,57.6,56.51,57.3,718100,49.86
"2007-03-30",57.42,57.9,56.33,57.14,810800,49.73
"2007-04-02",57.24,58.26,56.96,58.09,1261800,50.55
"2007-04-03",58.26,58.76,57.89,58,1356700,50.47
"2007-04-04",58.2,59.38,57.8,59.29,1159900,51.6
"2007-04-05",59.29,60,58.92,59.54,990100,51.81
"2007-04-09",58.69,60,58.67,59.92,976900,52.14
"2007-04-10",59.87,60.05,59.54,59.84,1143600,52.08
"2007-04-11",59.7,60.15,59.32,59.58,979000,51.85
"2007-04-12",59.7,59.75,59.01,59.32,640100,51.62
"2007-04-13",59.28,59.89,59.05,59.8,626900,52.04
"2007-04-16",59.11,60.49,58.48,60.48,1247700,52.63
"2007-04-17",60.55,60.76,59.41,59.63,1501600,51.89
"2007-04-18",59.64,61.22,59.64,60.48,1494600,52.63
"2007-04-19",59.61,61.98,59.6,59.75,1049700,52
"2007-04-20",59.76,61.25,59.66,60.89,1288400,52.99
"2007-04-23",60.74,61.05,60.2,60.57,664000,52.71
"2007-04-24",60.53,60.85,59.72,59.85,1168200,52.08
"2007-04-25",61.25,61.68,60.51,61.2,1471300,53.26
"2007-04-26",61.18,61.5,60.57,61.29,1355800,53.34
"2007-04-27",60.9,60.99,60.4,60.52,919300,52.67
"2007-04-30",60.53,60.53,59.47,59.47,1187600,51.75
"2007-05-01",59.97,60.1,58.84,59.67,1059800,51.93
"2007-05-02",59.45,60.57,59.45,60.33,734400,52.63
"2007-05-03",60.3,60.9,60.14,60.57,677500,52.84
"2007-05-04",60.8,61.45,60.6,61.33,722100,53.51
"2007-05-07",61.66,61.78,61.08,61.26,478200,53.45
"2007-05-08",61.21,61.21,60.37,60.75,601500,53
"2007-05-09",62.67,62.67,60.13,60.93,588200,53.16
"2007-05-10",60.77,61.13,59.75,59.75,802900,52.13
"2007-05-11",60,61.03,60,61.02,661300,53.24
"2007-05-14",61,61.45,60,60.29,866900,52.6
"2007-05-15",60.39,61.74,60.34,61.06,1492400,53.27
"2007-05-16",61.22,61.63,61.05,61.63,1079800,53.77
"2007-05-17",61.02,61.63,61.02,61.37,678100,53.54
"2007-05-18",61.5,61.81,61.28,61.44,746000,53.6
"2007-05-21",61.7,62.45,61.56,62.18,1334600,54.25
"2007-05-22",62.18,62.41,61.54,61.7,627800,53.83
"2007-05-23",62,62.57,61.43,61.53,763000,53.68
"2007-05-24",61.24,62.14,60.74,61.05,1144300,53.26
"2007-05-25",61.4,61.8,61.27,61.45,662900,53.61
"2007-05-29",61.46,62.03,61.31,61.82,1018800,53.93
"2007-05-30",61.67,61.87,61.22,61.75,955100,53.87
"2007-05-31",62,63,61.73,62.85,2519200,54.83
"2007-06-01",62.85,63.37,62.6,63.3,1242400,55.23
"2007-06-04",63.45,64.91,63.14,64.8,1659600,56.53
"2007-06-05",64.1,64.47,63.9,64.05,1001700,55.88
"2007-06-06",63.5,63.91,63.19,63.71,1089700,55.58
"2007-06-07",63.72,64.28,63.16,63.43,1396200,55.34
"2007-06-08",63.29,63.71,62.6,63.46,1525900,55.36
"2007-06-11",63.52,64.29,63.1,63.92,691800,55.77
"2007-06-12",63.67,64.27,62.7,62.76,962900,54.75
"2007-06-13",63.18,64.73,63.05,64.73,791600,56.47
"2007-06-14",64.7,65.12,64.64,64.98,944100,56.69
"2007-06-15",65.89,66.21,65.53,66.07,1557800,57.64
"2007-06-18",66.07,66.68,65.51,66.29,764700,57.83
"2007-06-19",66.4,67.15,66.3,66.95,1324400,58.41
"2007-06-20",67.4,67.45,65.34,65.38,863600,57.04
"2007-06-21",65.38,66.71,64.24,66.47,1223200,57.99
"2007-06-22",66.1,66.33,64.31,64.4,1434700,56.18
"2007-06-25",64.58,65.59,63.69,63.8,1023700,55.66
"2007-06-26",64.2,64.41,63.42,63.46,1420500,55.36
"2007-06-27",62.8,64.22,62.23,64.2,1340600,56.01
"2007-06-28",63.92,65.34,63.53,64.49,1261600,56.26
"2007-06-29",64.75,65.45,62.85,63.57,1056400,55.46
"2007-07-02",64.4,66.16,64.05,65.13,1085300,56.82
"2007-07-03",65.74,66.55,65.49,65.73,616800,57.35
"2007-07-05",65.83,66.16,64.84,65.23,615200,56.91
"2007-07-06",65.34,65.7,64.86,65.67,546400,57.29
"2007-07-09",65.77,66.07,65.29,65.37,785700,57.03
"2007-07-10",65.09,65.09,62.81,63.3,1272300,55.23
"2007-07-11",63.31,64.45,62.98,64.2,923000,56.01
"2007-07-12",64.75,66,64.2,66,901800,57.58
"2007-07-13",65.75,66.25,65.25,66.08,697100,57.65
"2007-07-16",65.56,66.15,64.96,65.49,888900,57.14
"2007-07-17",66,66.92,65.52,66.35,1067300,57.89
"2007-07-18",65.7,66.35,64.29,65.46,1254800,57.11
"2007-07-19",65.91,66.5,65.59,66.35,836300,57.89
"2007-07-20",66.34,66.34,62.94,63.2,2537900,55.14
"2007-07-23",63.44,65.45,63.44,63.98,1363900,55.82
"2007-07-24",63.41,63.86,61.27,61.82,1573100,53.93
"2007-07-25",62.67,62.97,59.81,61.36,2442900,53.53
"2007-07-26",62.5,62.5,59.34,60.28,2806100,52.59
"2007-07-27",60.38,60.49,57.59,57.76,3075400,50.39
"2007-07-30",57.77,61.15,57.25,60.73,2374900,52.98
"2007-07-31",61.38,62.45,60.04,60.27,3060000,52.58
"2007-08-01",59.98,60.56,57.08,58.77,2887300,51.27
"2007-08-02",59,61.24,58.14,58.5,1907900,51.17
"2007-08-03",58.61,58.94,54.62,55.01,3439700,48.12
"2007-08-06",54.22,57.62,53.54,57.62,2708000,50.4
"2007-08-07",56.7,59.53,55.75,58.71,3006400,51.35
"2007-08-08",58.59,63.08,58.23,60.46,3541400,52.88
"2007-08-09",60.46,61.31,57.43,57.43,4077400,50.23
"2007-08-10",57.54,60.1,54.1,58.66,4109700,51.31
"2007-08-13",60.11,61.54,57.45,57.55,2095500,50.34
"2007-08-14",57.83,58.54,55.2,55.2,1733200,48.28
"2007-08-15",54.44,56.66,53.29,54.88,2155400,48
"2007-08-16",54.57,56.21,51.31,55.44,3717600,48.49
"2007-08-17",62.74,68,55.48,58.44,3009500,51.12
"2007-08-20",58.73,58.84,56.82,58.2,1382300,50.91
"2007-08-21",57.75,59.66,57.27,58.78,1519100,51.41
"2007-08-22",59.45,61.94,59.28,61.54,1689000,53.83
"2007-08-23",61.7,62,59.95,60.94,1216300,53.3
"2007-08-24",60.79,62,60.14,61.93,1406900,54.17
"2007-08-27",61.7,61.82,60.98,61.3,872900,53.62
"2007-08-28",60.81,61.24,58.78,58.81,1394100,51.44
"2007-08-29",59.25,61.08,58.45,61.08,1389600,53.42
"2007-08-30",60.01,61.22,58.06,60.08,1089300,52.55
"2007-08-31",60.99,63.63,59.89,61.01,1684400,53.36
"2007-09-04",60.76,62.38,60.25,61.78,1437600,54.04
"2007-09-05",60.85,61.66,59.24,60.32,1278800,52.76
"2007-09-06",60.16,61.13,59.31,60.9,1374400,53.27
"2007-09-07",60,60.04,58.61,58.89,1511700,51.51
"2007-09-10",59.27,59.54,57.4,57.72,1889500,50.49
"2007-09-11",58.19,59.55,58.11,59.01,1190400,51.61
"2007-09-12",58.75,59.72,58.06,59.21,972000,51.79
"2007-09-13",59.74,60.25,59.16,59.53,1523400,52.07
"2007-09-14",58.93,59.2,58.48,58.96,1175200,51.57
"2007-09-17",58.51,59.4,58.04,59.02,952200,51.62
"2007-09-18",59.17,61.82,59.05,61.27,2075300,53.59
"2007-09-19",62.06,62.24,60.85,61.81,2173300,54.06
"2007-09-20",61.65,61.99,61.23,61.33,1450500,53.64
"2007-09-21",61.66,62,61.13,61.23,1458400,53.56
"2007-09-24",60.89,62.22,60.87,61.54,1536400,53.83
"2007-09-25",61.17,61.42,60.54,60.75,1215800,53.14
"2007-09-26",61.09,61.98,60.95,61.57,1154300,53.85
"2007-09-27",61.58,63.1,61.48,62.95,1550100,55.06
"2007-09-28",63.03,63.18,62.4,63.11,1204900,55.2
"2007-10-01",63.25,64.11,63,64.11,1354600,56.07
"2007-10-02",64.31,64.56,63.66,64.43,1491100,56.35
"2007-10-03",63.88,64.28,63.67,64,1141000,55.98
"2007-10-04",64.1,65.07,64.1,65.03,1153100,56.88
"2007-10-05",65.7,66.03,65.47,65.97,1191300,57.7
"2007-10-08",65.65,65.99,65.44,65.49,583500,57.28
"2007-10-09",65.65,67,65.49,66.9,982800,58.52
"2007-10-10",66.75,66.89,65.89,66.14,929800,57.85
"2007-10-11",66.9,67.24,64.35,64.82,1535300,56.7
"2007-10-12",64.99,66.46,64.99,66.23,1115900,57.93
"2007-10-15",66.45,66.45,64.29,64.82,1386900,56.7
"2007-10-16",64.82,65.59,64.12,65.15,1735800,56.98
"2007-10-17",64.42,66,61.84,63.53,1744100,55.57
"2007-10-18",62.99,65.1,62.83,64.5,1293900,56.42
"2007-10-19",63.84,64.29,60.63,60.91,2264700,53.28
"2007-10-22",60.38,63.24,59.11,63.17,1747700,55.25
"2007-10-23",63.18,65.64,62.94,65.41,1739800,57.21
"2007-10-24",64.69,65.8,61.81,65.8,2582600,57.55
"2007-10-25",64.15,67,61.92,63.28,2518300,55.35
"2007-10-26",65.12,69.25,62.79,63.8,1827600,55.8
"2007-10-29",63.51,63.85,62.28,62.56,1974800,54.72
"2007-10-30",62.73,62.98,61.59,61.91,1393600,54.15
"2007-10-31",62.3,63.04,61.24,62.98,1350700,55.09
"2007-11-01",61.41,61.7,59.45,60.54,2015300,53.08
