"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"2008-09-19",66.62,66.66,61.85,63.7,14473200,29.26
"2008-09-22",65.2,65.81,62.45,63.15,8310400,29.01
"2008-09-23",63.4,63.4,60.55,60.83,8707600,27.94
"2008-09-24",60.84,61.04,58.83,59.27,9357200,27.22
"2008-09-25",62.42,65.78,62.42,65.01,23021800,29.86
"2008-09-26",64.18,68,64,67.79,15114000,31.14
"2008-09-29",66.98,67.35,64.63,65.05,15784400,29.88
"2008-09-30",65.93,67.44,64.85,66.9,10681000,30.73
"2008-10-01",66.2,67.02,65.15,66.16,7438800,30.39
"2008-10-02",65.12,66,63.6,63.75,10744600,29.28
"2008-10-03",64.39,66,63.25,63.25,7985400,29.05
"2008-10-06",61.99,63,57.42,61.14,17140800,28.08
"2008-10-07",61.95,61.95,57.87,57.98,9047600,26.63
"2008-10-08",57.03,58.87,55.16,55.7,18429000,25.58
"2008-10-09",56.08,56.95,52.89,53.08,12124400,24.38
"2008-10-10",50.34,57.92,49.03,54.53,19498200,25.05
"2008-10-13",55.69,56.35,54.29,55.85,13058200,25.65
"2008-10-14",58.06,59.5,56.29,57.12,16020800,26.24
"2008-10-15",56.02,56.53,50.2,50.36,14417000,23.13
"2008-10-16",52.63,56.21,49.9,55.97,16904200,25.71
"2008-10-17",54.63,58.21,53.86,57.48,12386600,26.4
"2008-10-20",58.27,59.75,56.86,59.75,10733800,27.44
"2008-10-21",59.01,59.71,56.72,57.12,8748600,26.24
"2008-10-22",55.5,55.87,51,52.5,13038400,24.11
"2008-10-23",52.21,53.32,48.17,50.73,14572000,23.3
"2008-10-24",47.59,50.19,47.23,47.79,15063800,21.95
"2008-10-27",47.19,48.88,46.47,46.55,7773600,21.38
"2008-10-28",47.66,52.5,46.63,52.42,12987200,24.08
"2008-10-29",52.18,54.89,50.74,52.48,8937200,24.11
"2008-10-30",54.51,56.38,53.5,55.81,12012000,25.64
"2008-10-31",55.18,59.04,55.18,57.63,10533200,26.47
"2008-11-03",57.35,58.5,55.43,55.84,6198400,25.65
"2008-11-04",56.87,57.25,55.03,56.22,6380600,25.82
"2008-11-05",55.99,56.39,52.54,52.78,8336600,24.24
"2008-11-06",51.94,51.94,49.94,50.64,14265000,23.26
"2008-11-07",50.66,51.24,47.56,49.41,12182000,22.7
"2008-11-10",50.73,50.73,46.92,47.97,10742000,22.03
"2008-11-11",47.91,48.22,44.34,45.67,14641000,20.98
"2008-11-12",45.14,45.74,43.5,44.37,9796200,20.38
"2008-11-13",44.53,48.93,43.62,48.86,12481400,22.44
"2008-11-14",47.85,48.65,45.94,46.53,8567200,21.37
"2008-11-17",46.05,48.03,46,46.31,8918600,21.27
"2008-11-18",46.13,47.44,44.55,46.64,9670000,21.42
"2008-11-19",46.5,47.26,43.76,43.84,8128600,20.14
"2008-11-20",43.27,47.84,42.68,43.61,13581000,20.03
"2008-11-21",44.41,48.17,43.75,47.88,12821000,21.99
"2008-11-24",48.18,51,47.91,50.32,9297800,23.11
"2008-11-25",51.28,52.75,48.26,49.29,11902200,22.64
"2008-11-26",48.64,53.49,48.24,53.25,7919400,24.46
"2008-11-28",54,54,51.63,53.25,3745400,24.46
"2008-12-01",52.27,52.27,47.88,48.02,7083200,22.06
"2008-12-02",48.69,50.48,48.39,50.01,8055200,22.97
"2008-12-03",48.93,52.42,47.81,52.01,8686800,23.89
"2008-12-04",51.17,54.17,50.04,51.96,10772800,23.98
"2008-12-05",50.98,53.57,49.51,53.34,6912800,24.62
"2008-12-08",54.53,57.33,54.3,56.17,16164800,25.93
"2008-12-09",55.27,55.63,52.18,52.94,9730000,24.43
"2008-12-10",51.59,51.95,48.94,50.5,12728400,23.31
"2008-12-11",50.17,51.24,48.19,48.73,8240000,22.49
"2008-12-12",47.67,49.7,47.61,49.37,7347400,22.79
"2008-12-15",50.01,50.88,47.35,48.19,6796600,22.24
"2008-12-16",48.27,50.2,47.75,49.64,12275000,22.91
"2008-12-17",48.7,52.4,48.7,50.64,7642800,23.37
"2008-12-18",50.69,54.25,50.35,52.69,12330600,24.32
"2008-12-19",53.29,54,50.43,51.26,12200600,23.66
"2008-12-22",51.27,51.65,48.14,49.1,6893000,22.66
"2008-12-23",49.22,50.02,47.08,47.96,6550800,22.14
"2008-12-24",48.05,49.38,47.64,49.13,2192600,22.68
"2008-12-26",49.3,50.02,49.3,49.76,2459800,22.97
"2008-12-29",49.7,49.97,48.27,48.94,4673200,22.59
"2008-12-30",49.33,49.8,48.79,49.69,4813400,22.93
"2008-12-31",49.81,51.55,49.54,51,7545000,23.54
"2009-01-02",50.95,53.6,50.31,53.06,6014600,24.49
"2009-01-05",52.62,53.77,52.3,53.44,6456800,24.67
"2009-01-06",53.8,54,51.8,52.36,7645200,24.17
"2009-01-07",51.61,52,50.3,50.46,10082400,23.29
"2009-01-08",50.29,51.4,49.72,51.39,7865200,23.72
"2009-01-09",51.45,51.78,49.37,49.61,6623400,22.9
"2009-01-12",49.4,50.47,48.96,50.12,6865400,23.13
"2009-01-13",49.81,50.95,49.11,49.5,7789800,22.85
"2009-01-14",48.22,48.46,46.17,46.65,13702200,21.53
"2009-01-15",46.65,47.37,45.72,46.96,8215000,21.67
"2009-01-16",47.38,47.4,45.87,46.8,6902600,21.6
"2009-01-20",46.13,46.94,44,44.14,7373000,20.37
"2009-01-21",44.69,45.74,43.54,45.66,6971400,21.07
"2009-01-22",45.03,46.86,44.18,45.63,7185000,21.06
"2009-01-23",44.77,46.27,44.04,45.68,5689600,21.08
"2009-01-26",45.79,47.08,45,45.67,4002200,21.08
"2009-01-27",45.92,46.16,44.85,45.51,4844800,21.01
"2009-01-28",46.32,48.35,46.3,47.6,5955600,21.97
"2009-01-29",47.13,47.68,45.82,45.99,4368800,21.23
"2009-01-30",46.29,46.49,44.94,45.25,5335200,20.89
"2009-02-02",44.57,45.3,43.82,44.43,5008200,20.51
"2009-02-03",44.68,46.49,44.11,46.3,5549400,21.37
"2009-02-04",46.42,46.43,45.26,45.78,7527200,21.13
"2009-02-05",45.78,47.43,45.33,47.2,7227200,21.79
"2009-02-06",47.32,49.12,46.8,48.68,6933600,22.47
"2009-02-09",48.74,48.74,47.14,47.77,5690800,22.05
"2009-02-10",47.27,47.77,44.76,45.05,9008200,20.79
"2009-02-11",45.38,45.39,43.37,44.31,11990200,20.45
"2009-02-12",43.69,44.61,42.94,44.46,7436600,20.52
"2009-02-13",44.23,45.03,43.21,43.43,6041400,20.05
"2009-02-17",42.72,42.72,41.37,41.94,11139000,19.36
"2009-02-18",42.32,43.94,41.95,43.52,11725400,20.09
"2009-02-19",43.94,44.38,42.34,42.81,6522000,19.76
"2009-02-20",42.32,43.36,41.92,42.93,6042200,19.81
"2009-02-23",43.45,43.9,41.41,41.61,6458600,19.21
"2009-02-24",41.64,43.12,40.49,42.94,6929200,19.82
"2009-02-25",42.64,43.16,41.56,42.15,7942400,19.45
"2009-02-26",42.5,42.53,41,41.03,6324400,18.94
"2009-02-27",40.23,42.18,40.08,41.53,9369000,19.17
"2009-03-02",40.83,41.29,39.63,39.76,8711400,18.35
"2009-03-03",40.37,41.25,40.02,40.05,8552800,18.48
"2009-03-04",40.74,43.32,40.74,42.55,8347800,19.64
"2009-03-05",41.37,41.94,39.44,39.94,11822400,18.54
"2009-03-06",40.25,40.91,39,39.94,11982600,18.54
"2009-03-09",39.35,40.08,38.24,38.57,10347800,17.91
"2009-03-10",38.97,42,38.97,41.61,11477800,19.32
"2009-03-11",41.98,43.94,41.75,43.43,9624200,20.16
"2009-03-12",43.43,44.84,42.41,44.59,9056400,20.7
"2009-03-13",44.76,44.82,43.27,44.67,9949400,20.74
"2009-03-16",45,45.08,43.61,43.91,8311200,20.39
"2009-03-17",43.85,45.65,43.54,45.41,10933400,21.08
"2009-03-18",45.95,46.53,44.94,45.92,11709200,21.32
"2009-03-19",43.78,47,43.25,46.5,16140800,21.59
"2009-03-20",46.97,47.86,44.31,45.02,12475400,20.9
"2009-03-23",45.97,47.71,44.87,47.62,7191800,22.11
"2009-03-24",46.74,47.21,45.37,45.6,6416200,21.17
"2009-03-25",46.12,47.25,45.15,46.37,6722200,21.53
"2009-03-26",46.68,48.29,46.54,47.6,7059000,22.1
"2009-03-27",47.42,47.65,46.58,46.84,3981000,21.75
"2009-03-30",46,46.44,45.02,46.26,6644600,21.48
"2009-03-31",46.74,47.64,45.8,46.89,8954000,21.77
"2009-04-01",46.18,47.2,45.64,47,6502800,21.82
"2009-04-02",47.61,51.34,47.61,50.49,11941200,23.44
"2009-04-03",50.26,51.89,50.2,51.87,7188000,24.08
"2009-04-06",51.28,51.5,50.46,51.27,5540200,23.8
"2009-04-07",50.37,50.38,49.51,49.86,5790200,23.15
"2009-04-08",49.96,50.62,49.45,50.24,6551800,23.33
"2009-04-09",51.25,53.5,50.59,53.27,9022400,24.73
"2009-04-13",52.73,53.47,51.59,53.12,6601200,24.66
"2009-04-14",52.6,52.6,50.18,51.4,8488000,23.86
"2009-04-15",51.4,52.2,51.05,52.11,5550000,24.19
"2009-04-16",52.2,54.09,51.93,53.77,5782600,24.96
"2009-04-17",54.03,55,53.22,54.61,6932200,25.35
"2009-04-20",53.88,53.88,52.02,52.36,4980800,24.31
"2009-04-21",52.31,53.65,52.03,53.27,5146400,24.73
"2009-04-22",52.91,55.99,52.25,55,7067400,25.54
"2009-04-23",55,55.43,53.26,54.39,6105600,25.25
"2009-04-24",54.73,55.24,54.03,54.73,4198200,25.41
"2009-04-27",54.01,55.28,53.57,54.13,4603400,25.13
"2009-04-28",53.42,56.3,53.4,55.59,4940400,25.81
"2009-04-29",55.6,55.75,52.5,52.96,10928200,24.59
"2009-04-30",53.54,55.02,52.18,52.47,9657600,24.36
"2009-05-01",52.87,53.37,52.5,52.92,6951200,24.57
"2009-05-04",52.91,55.27,52.87,55.27,7275000,25.66
"2009-05-05",54.42,55.18,54.35,55,6624000,25.54
"2009-05-06",55.45,55.78,54.24,54.61,7402600,25.35
"2009-05-07",55.32,55.67,52.43,53.08,9273000,24.64
"2009-05-08",53.76,54.86,52,54.42,5686000,25.27
"2009-05-11",53.6,53.81,52.79,53.14,7528000,24.67
"2009-05-12",52.5,52.85,50.24,50.98,12123400,23.67
"2009-05-13",50.4,50.4,48.76,49.52,9149200,22.99
"2009-05-14",49.4,51.37,49.4,50.95,8349200,23.65
"2009-05-15",50.09,51.6,49.64,49.75,7357600,23.1
"2009-05-18",50.12,51.28,50,51.2,5427400,23.77
"2009-05-19",51.5,52.6,50.53,52.04,7313000,24.16
"2009-05-20",52.33,52.54,50.54,50.69,7431600,23.53
"2009-05-21",50.36,51.43,50.07,51.35,7670600,23.84
"2009-05-22",51.35,52.89,51.19,52.41,7419800,24.33
"2009-05-26",51.97,54.57,51.97,54.17,8385800,25.15
"2009-05-27",54.17,55.29,53.84,54.41,7563600,25.26
"2009-05-28",54.45,55.36,53.61,55.11,7520400,25.59
"2009-05-29",55.26,57.14,54.7,57.05,8282600,26.49
"2009-06-01",57.86,59.95,57.56,59.26,8807400,27.51
"2009-06-02",58.99,59.32,57.75,57.83,9471400,26.85
"2009-06-03",57.39,58.22,56.8,58.17,7009400,27.01
"2009-06-04",58.14,58.14,56.63,57.54,6549200,26.83
"2009-06-05",58.6,59.12,57.95,58.29,8225800,27.18
"2009-06-08",58.12,58.62,57.27,58,5341800,27.04
"2009-06-09",57.99,58.95,57.64,58.66,4854800,27.35
"2009-06-10",58.87,59.06,56.25,57.05,11920200,26.6
"2009-06-11",57.16,57.89,56.57,56.62,7723800,26.4
"2009-06-12",56.42,56.99,55.65,56.61,7743400,26.4
"2009-06-15",56.39,56.47,55.41,55.94,6456400,26.08
"2009-06-16",55.95,56.75,55.14,55.33,4887200,25.8
"2009-06-17",55.15,55.53,54.39,54.63,6782400,25.47
"2009-06-18",55.2,57.43,54.7,56.3,8850000,26.25
"2009-06-19",56.83,57.96,56.53,56.7,7676800,26.44
"2009-06-22",56.2,56.2,55.11,55.26,6150200,25.77
"2009-06-23",55.21,55.26,53.35,53.54,8037000,24.96
"2009-06-24",53.95,54.36,52.76,53.02,10101200,24.72
"2009-06-25",50.65,51.57,50.16,51.28,29802400,23.91
"2009-06-26",50.74,51.37,50.51,50.84,10681800,23.71
"2009-06-29",51.15,52.16,50.8,51.75,6910400,24.13
"2009-06-30",51.86,52.48,51.28,51.78,5850400,24.14
"2009-07-01",52.14,52.99,51.35,52.42,6182600,24.44
"2009-07-02",51.77,51.83,51.06,51.06,7662600,23.81
"2009-07-06",50.74,52.3,50.74,51.91,7439600,24.2
"2009-07-07",51.7,51.85,50.89,51.21,6093000,23.88
"2009-07-08",50.99,51.71,50.75,51.51,5207000,24.02
"2009-07-09",51.86,51.86,50.77,51.06,4268200,23.81
"2009-07-10",50.67,51.79,50.62,51.3,4718200,23.92
"2009-07-13",51.46,51.91,50.81,51.54,6234600,24.03
"2009-07-14",51.49,52.29,51.21,51.9,4008800,24.2
"2009-07-15",52.35,52.99,51.32,52.93,7772400,24.68
"2009-07-16",52.78,53.48,52,53.19,6678200,24.8
"2009-07-17",53.15,53.15,51.98,52.44,6550800,24.45
"2009-07-20",52.59,53.24,52.09,52.83,5323000,24.63
"2009-07-21",53.43,53.44,51.68,52.07,5503600,24.28
"2009-07-22",52,52.43,51.42,51.53,7150600,24.03
"2009-07-23",51.5,52.08,51,51.14,10766200,23.85
"2009-07-24",51.11,52.43,50.59,52.17,7365600,24.33
"2009-07-27",52.21,52.4,51.64,52.37,3137600,24.42
"2009-07-28",51.98,52.94,51.43,52.91,5276600,24.67
"2009-07-29",52.5,54.5,52.36,54.37,10606600,25.35
"2009-07-30",54.93,56.53,54.58,56.09,10028000,26.15
"2009-07-31",55.67,57.77,55.56,56.64,10898600,26.41
"2009-08-03",56.98,57.08,56.24,56.62,6754800,26.4
"2009-08-04",56.46,57.57,56.15,57.54,7421200,26.83
"2009-08-05",57.54,58.17,56.73,57.02,8166800,26.59
"2009-08-06",57.25,57.8,56.82,57.62,7280800,26.87
"2009-08-07",57.96,58.27,57.13,58.07,5724200,27.08
"2009-08-10",57.87,57.87,56.71,57.14,4772000,26.64
"2009-08-11",56.92,57.09,56.02,56.79,3807200,26.48
"2009-08-12",56.6,57.9,56.42,57.52,6098800,26.82
"2009-08-13",57.38,57.83,56.98,57.81,4189000,26.96
"2009-08-14",57.66,58,56.3,56.86,4562600,26.51
"2009-08-17",56.07,56.46,55.17,55.44,5473800,25.85
"2009-08-18",55.52,55.85,55.19,55.61,6656400,25.93
"2009-08-19",55.09,56.93,55.09,56.77,5653200,26.47
"2009-08-20",56.8,57.14,56.2,57,5951800,26.58
"2009-08-21",55.99,56.5,55.24,55.65,11278800,25.95
"2009-08-24",55.7,56.25,55.56,56,7612600,26.11
"2009-08-25",56.29,56.47,55.1,55.16,9145600,25.72
"2009-08-26",55.28,56,54.93,55.45,6699800,25.86
"2009-08-27",55.54,57.13,54.8,56.83,9541000,26.5
"2009-08-28",57.05,57.38,55.81,56.18,4289200,26.2
"2009-08-31",55.92,56,55.15,55.39,3677400,25.83
"2009-09-01",54.9,55.52,54.11,54.36,10071600,25.35
"2009-09-02",54.12,54.33,53.22,53.31,8770600,24.86
"2009-09-03",53.49,53.9,53.31,53.73,7043200,25.17
"2009-09-04",53.87,54.38,53.42,54.23,4841600,25.41
"2009-09-08",54.63,55.26,54.21,55.24,5800600,25.88
"2009-09-09",54.93,55.48,54.53,55.35,7992200,25.93
"2009-09-10",55.35,55.8,54.87,55.42,9326400,25.96
"2009-09-11",55.56,55.89,54.76,54.99,8684200,25.76
"2009-09-14",54.48,55.22,53.52,54.91,7148800,25.72
"2009-09-15",54.76,55,53.97,54.69,7409400,25.62
"2009-09-16",54.76,57.45,54.41,57.18,12160000,26.79
"2009-09-17",57,58.81,56.87,58.09,7381200,27.21
"2009-09-18",58.25,58.88,57.95,58.59,5762800,27.45
"2009-09-21",58.05,59.37,57.66,58.55,4733400,27.43
"2009-09-22",58.97,59.5,58.44,58.57,6187200,27.44
"2009-09-23",58.8,59.25,58.23,58.3,21785600,27.31
"2009-09-24",58.31,58.74,57.83,58.17,13110800,27.25
"2009-09-25",58.33,59.85,58.3,58.64,8747400,27.47
"2009-09-28",58.73,59.31,58.46,59,5044800,27.64
"2009-09-29",59.23,60.19,59.12,60.09,17381800,28.15
"2009-09-30",64.01,64.95,64.01,64.7,33585000,30.31
"2009-10-01",64,64.4,62.5,62.5,16518200,29.28
"2009-10-02",61.53,62.39,61.08,62.02,11284200,29.05
"2009-10-05",61.88,62.92,61.75,62.78,5936600,29.41
"2009-10-06",62.91,64.42,62.84,63.09,7303000,29.56
"2009-10-07",62.94,63.72,62.8,63.42,4379200,29.71
"2009-10-08",63.71,64.36,63.55,64.02,4673800,29.99
"2009-10-09",64.12,64.19,63,63.59,4435000,29.79
"2009-10-12",63.85,64,63.23,63.25,3100200,29.63
"2009-10-13",63.26,63.85,63.01,63.68,3531200,29.83
"2009-10-14",64.08,65.23,63.91,64.9,7316000,30.4
"2009-10-15",64.73,65.01,64.13,64.96,7323800,30.43
"2009-10-16",64.34,65.2,64.26,65.1,7308600,30.5
"2009-10-19",65.04,66.35,64.41,66.09,9250000,30.96
"2009-10-20",65.53,65.79,64.65,65.09,6780000,30.49
"2009-10-21",65.1,65.8,64.7,64.75,6656800,30.33
"2009-10-22",64.82,65.7,64.4,65.19,4995000,30.54
"2009-10-23",65.05,65.16,63.55,64.17,6349200,30.06
"2009-10-26",64.08,64.96,63.59,63.75,5907200,29.87
"2009-10-27",63.65,64.69,62.5,64.09,7855800,30.02
"2009-10-28",63.63,64.26,62.28,62.57,7410400,29.31
"2009-10-29",63,64.11,62.6,63.71,5438400,29.85
"2009-10-30",63.35,63.79,62.02,62.18,7318000,29.13
"2009-11-02",62.34,63.62,61.83,62.5,5763400,29.28
"2009-11-03",62.25,63.05,61.8,62.66,5492800,29.35
"2009-11-04",62.82,63.8,61.97,62.73,4337600,29.39
"2009-11-05",63.49,64.79,63.07,64.76,5286600,30.34
"2009-11-06",64.65,64.82,63.88,64.56,3817800,30.24
"2009-11-09",64.5,65.33,64.36,65.32,4573600,30.6
"2009-11-10",65.34,65.69,64,64.47,4949200,30.2
"2009-11-11",64.61,65.57,64.57,64.93,3340400,30.42
"2009-11-12",64.94,65.39,63.81,64.09,3308800,30.02
"2009-11-13",64.27,64.96,63.72,64.42,3655600,30.18
"2009-11-16",64.66,66.34,64.52,66.1,5190200,30.97
"2009-11-17",65.89,66,64.43,64.96,3927200,30.43
"2009-11-18",64.79,64.79,63.79,64.42,4048800,30.18
"2009-11-19",63.93,64.3,62.88,63.56,4925800,29.78
"2009-11-20",63.34,64.08,62.7,63.92,6303600,29.95
"2009-11-23",64.82,65.53,64.04,64.49,4716200,30.21
"2009-11-24",64.68,65.1,64.32,64.52,3217400,30.23
"2009-11-25",64.53,65.87,64.53,65.7,3990200,30.78
"2009-11-27",64.52,65.44,64,65.05,2349600,30.47
"2009-11-30",64.8,65.54,64.39,64.89,4630600,30.4
"2009-12-01",65.27,66.09,64.74,65.4,3975400,30.64
"2009-12-02",64.53,66.13,64.53,65.35,2968600,30.61
"2009-12-03",65.26,65.59,64.54,64.67,5517600,30.42
"2009-12-04",65.28,65.85,63.82,64.3,5090200,30.25
"2009-12-07",64.3,64.99,64.3,64.54,4474200,30.36
"2009-12-08",64,64.39,63.38,63.53,7255600,29.89
"2009-12-09",63.51,63.51,61.75,61.95,11718400,29.14
"2009-12-10",62.2,63.4,62.2,62.7,5985000,29.5
"2009-12-11",63.16,64.19,63.09,63.86,5414800,30.04
"2009-12-14",64.01,64.32,63.12,64.16,4629000,30.18
"2009-12-15",63.93,65.09,63.62,64.35,4802600,30.27
"2009-12-16",64.68,64.68,63.63,64.05,3820000,30.13
"2009-12-17",63.57,64.05,63.07,63.25,5833600,29.75
"2009-12-18",64.4,65.35,64.05,64.42,10154600,30.3
"2009-12-21",64.52,65.27,64.45,64.88,3699800,30.52
"2009-12-22",64.88,65.33,64.18,65.1,4119600,30.62
"2009-12-23",65.07,65.53,64.89,65.44,3074400,30.78
"2009-12-24",65.44,65.56,65,65.25,1151200,30.69
"2009-12-28",65.25,65.55,64.78,65.5,2823000,30.81
"2009-12-29",65.5,66.43,65.22,66.21,4041600,31.15
"2009-12-30",65.85,66.24,65.71,66.14,3466200,31.11
"2009-12-31",66.21,66.62,66.05,66.07,3174000,31.08
"2010-01-04",66.06,66.07,65.12,65.35,5986400,30.74
"2010-01-05",65.14,65.79,64.7,65.61,3137800,30.86
"2010-01-06",65.4,65.69,64.94,65.21,6699800,30.68
"2010-01-07",65.12,66,65.05,65.85,3594000,30.98
"2010-01-08",65.79,65.85,64.94,65.72,3625000,30.92
"2010-01-11",65.92,65.93,64.65,64.91,5339200,30.53
"2010-01-12",64.6,65.1,64.28,64.82,5743000,30.49
"2010-01-13",65.11,65.67,64.78,65.4,2824600,30.77
"2010-01-14",65.49,65.83,64.75,64.99,3656000,30.57
"2010-01-15",64.78,65.01,63.95,64.39,5637200,30.29
"2010-01-19",64.2,64.8,63.96,64.71,3726800,30.44
"2010-01-20",64.21,64.41,63.57,64.18,4004400,30.19
"2010-01-21",64.31,64.34,63.03,63.64,6991800,29.94
"2010-01-22",63.51,64.24,62.95,62.98,6660200,29.63
"2010-01-25",63.37,64.04,63.31,63.67,5375000,29.95
"2010-01-26",63.33,64.11,63.05,63.74,3355800,29.98
"2010-01-27",63.67,64.17,63.25,64,6780400,30.11
"2010-01-28",64.25,65,63.37,63.52,3579200,29.88
"2010-01-29",63.64,64.65,63.55,63.75,5201400,29.99
"2010-02-01",63.97,64.45,63.51,64.1,3196800,30.15
"2010-02-02",64.29,64.29,63.61,63.93,4769800,30.07
"2010-02-03",63.69,64.1,63.32,64,3944800,30.11
"2010-02-04",63.53,63.75,62.05,62.09,8955600,29.21
"2010-02-05",62.02,62.23,60.89,61.7,6552000,29.02
"2010-02-08",61.62,62.12,61.23,61.3,4088400,28.84
"2010-02-09",61.78,63.1,61.67,62.51,4714800,29.41
"2010-02-10",62.51,62.95,62.25,62.64,3849400,29.47
"2010-02-11",62.43,63.17,62.12,62.95,3505200,29.61
"2010-02-12",62.52,62.55,61.72,62.49,5576200,29.4
"2010-02-16",62.82,63.65,62.33,63.65,4814200,29.94
"2010-02-17",63.87,64.69,63.62,64.48,5320400,30.33
"2010-02-18",64.49,64.59,63.91,64.44,3234200,30.31
"2010-02-19",64.14,64.6,64.01,64.35,4749200,30.27
"2010-02-22",64.57,64.77,64.03,64.31,3432600,30.25
"2010-02-23",64.3,64.55,63.61,64.13,3869600,30.17
"2010-02-24",64,65.02,64,64.93,5809200,30.54
"2010-02-25",65.01,66.28,64.01,66.16,7983800,31.12
"2010-02-26",66.23,67.85,66.23,67.6,9816800,31.8
"2010-03-01",67.91,68.71,67.61,68.24,5337200,32.1
"2010-03-02",68.06,68.33,67.68,68.03,4922600,32
"2010-03-03",67.7,67.97,67.26,67.64,4335200,31.82
"2010-03-04",68.02,68.06,67.44,67.63,3153400,31.94
"2010-03-05",67.83,68.51,67.83,68.32,3730200,32.27
"2010-03-08",67.97,68.96,67.97,68.82,3542200,32.5
"2010-03-09",68.76,69.18,68.53,68.93,3021400,32.56
"2010-03-10",68.91,69.25,68.41,69.12,2796600,32.65
"2010-03-11",69.1,69.85,68.71,69.75,3477800,32.94
"2010-03-12",69.42,69.99,69.41,69.9,3604200,33.01
"2010-03-15",69.75,70.73,69.72,70.39,4757200,33.25
"2010-03-16",70.33,71.05,70.1,70.38,5053600,33.24
"2010-03-17",70.39,71.33,70.28,70.88,7376000,33.48
"2010-03-18",73.35,75.35,73.3,74.66,21844200,35.26
"2010-03-19",74.26,74.32,73.12,73.52,9395000,34.72
"2010-03-22",72.89,74.16,72.82,73.88,5848200,34.89
"2010-03-23",74.4,74.59,73.97,74.49,4492600,35.18
"2010-03-24",74.35,74.39,73.01,73.38,5534400,34.66
"2010-03-25",74.17,74.78,73.53,73.57,5661000,34.75
"2010-03-26",73.8,74.75,73.37,73.89,4331000,34.9
"2010-03-29",74.16,74.33,73.58,73.97,3261400,34.94
"2010-03-30",74.01,74.4,73.55,73.81,3230800,34.86
"2010-03-31",73.49,74.1,73.28,73.5,3958200,34.71
"2010-04-01",73.96,74.39,73.75,74.01,4188400,34.96
"2010-04-05",74.19,74.82,73.62,74.11,3541000,35
"2010-04-06",73.54,74.15,73.5,73.91,4214200,34.91
"2010-04-07",73.97,74.19,73.3,73.59,4425800,34.76
"2010-04-08",73.46,74.28,73.06,73.99,5205400,34.95
"2010-04-09",74.18,75.28,73.65,75.18,6250800,35.51
"2010-04-12",75.29,75.95,75.2,75.53,4433800,35.67
"2010-04-13",75.43,75.93,74.75,75.51,3512800,35.66
"2010-04-14",75.61,75.86,75,75.8,3400600,35.8
"2010-04-15",75.57,75.82,74.97,75.64,3501600,35.73
"2010-04-16",75.59,76,74.98,75.17,6869400,35.5
"2010-04-19",74.95,75.8,74.25,75.58,4390400,35.7
"2010-04-20",76.02,76.58,75.9,76.36,4792400,36.07
"2010-04-21",76.4,77.14,76.17,76.72,5400400,36.24
"2010-04-22",76.29,78.53,76.21,78.23,6922200,36.95
"2010-04-23",77.82,78.44,77.3,77.9,5074600,36.79
"2010-04-26",77.91,78.47,77.78,78.02,3025400,36.85
"2010-04-27",77.67,78.49,76.61,76.74,5497600,36.24
"2010-04-28",76.94,78.03,76.14,76.44,5388200,36.1
"2010-04-29",77.1,77.69,76.72,77.57,4522400,36.64
"2010-04-30",77.45,77.88,75.89,75.91,4934200,35.85
"2010-05-03",76.01,78.39,75.91,77.77,4214400,36.73
"2010-05-04",78.02,78.55,77.1,77.35,7265400,36.53
"2010-05-05",76.87,77.3,74.7,75.21,8654400,35.52
"2010-05-06",74.55,75.99,66.99,72.3,13165200,34.15
"2010-05-07",71.35,72.44,69.78,70.61,10739800,33.35
"2010-05-10",73.89,76.77,73.74,76.65,13238200,36.2
"2010-05-11",75.8,77.07,75.76,76.43,6877000,36.1
"2010-05-12",76.71,77.98,76.01,77.85,4969200,36.77
"2010-05-13",77.65,77.99,75.35,75.55,10488600,35.68
"2010-05-14",74.63,75,73.18,73.74,9507200,34.83
"2010-05-17",73.73,73.85,72.03,73.63,8472400,34.78
"2010-05-18",74.16,75.01,72.7,72.93,9427800,34.45
"2010-05-19",72.54,72.72,71,72.25,11739200,34.12
"2010-05-20",70.53,71.59,69.57,70.31,12521000,33.21
"2010-05-21",69.14,71.78,68.14,71.39,8531600,33.72
"2010-05-24",71.17,71.91,70.71,71.34,11340400,33.69
"2010-05-25",70.09,73,69.27,72.91,10581000,34.44
"2010-05-26",73.52,73.62,71.92,72.52,8363800,34.25
"2010-05-27",73.28,73.96,72.76,73.9,7372000,34.9
"2010-05-28",73.62,73.86,71.96,72.38,7778600,34.19
"2010-06-01",71.44,72.62,70.7,71.18,7332200,33.62
"2010-06-02",71.31,73.06,71.31,73,6330600,34.48
"2010-06-03",73.2,73.86,72.94,73.63,5678600,34.9
"2010-06-04",72.36,72.47,70.16,70.77,7702000,33.55
"2010-06-07",70.54,71.02,69.48,69.59,5513000,32.99
"2010-06-08",69.59,70.43,68.65,70.26,6131800,33.31
"2010-06-09",70.52,71.33,69.67,70.01,6451400,33.19
"2010-06-10",71.19,72.55,71.14,71.75,5915800,34.01
"2010-06-11",71.29,72.64,71.03,72.33,4404400,34.29
"2010-06-14",72.49,72.95,71.91,72.22,4373400,34.24
"2010-06-15",72.29,73.98,72.29,73.98,4349000,35.07
"2010-06-16",73.37,74.5,73.08,73.83,6335600,35
"2010-06-17",74.42,74.7,73.63,74.57,5901400,35.35
"2010-06-18",74.8,75.23,74.47,74.94,5597800,35.53
