"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"2007-04-13",55.1,55.1,53.4,53.65,4286400,24.13
"2007-04-16",54,54.5,53.66,54.37,4903200,24.45
"2007-04-17",54.39,54.4,53.58,54.15,4305000,24.35
"2007-04-18",54.08,54.1,53.64,53.89,4145800,24.24
"2007-04-19",54.5,54.5,53.34,53.48,4579600,24.05
"2007-04-20",53.48,53.73,53.08,53.53,7229000,24.08
"2007-04-23",53.44,54.24,53.44,53.56,4969600,24.09
"2007-04-24",53.85,53.88,52.8,53.51,4850000,24.07
"2007-04-25",53.85,54,53.4,53.62,4752800,24.12
"2007-04-26",53.6,54.03,53.33,53.84,6177600,24.21
"2007-04-27",53.65,54.31,53.5,54.12,3924200,24.34
"2007-04-30",54.25,55,53.82,53.86,5121400,24.22
"2007-05-01",53.86,53.86,52.34,52.99,6049200,23.83
"2007-05-02",53.17,53.86,53.07,53.48,4693600,24.05
"2007-05-03",53.55,53.9,53.09,53.28,2982400,23.96
"2007-05-04",53.41,53.83,53.2,53.29,3843400,23.97
"2007-05-07",53.28,54.12,53.28,53.87,5107400,24.23
"2007-05-08",53.95,54.48,53.72,53.75,5098000,24.17
"2007-05-09",53.8,54.22,53.68,53.92,6141000,24.25
"2007-05-10",54.02,54.02,53.29,53.31,5452400,23.98
"2007-05-11",53.32,53.32,52.65,53.03,6998400,23.85
"2007-05-14",53.28,53.53,52.76,52.87,7343200,23.78
"2007-05-15",53,53.25,52.5,52.58,6958000,23.65
"2007-05-16",52.69,53.34,52.67,52.99,5338400,23.83
"2007-05-17",52.8,53.29,52.67,52.95,4223400,23.81
"2007-05-18",52.92,53.25,52.58,53.25,4830400,23.95
"2007-05-21",53.6,54.94,53.5,54.68,8184600,24.59
"2007-05-22",54.69,55.37,54.5,55.13,7521000,24.8
"2007-05-23",55.4,55.4,54.64,54.82,4475000,24.66
"2007-05-24",55.03,55.39,54.32,54.47,5631200,24.5
"2007-05-25",54.42,54.5,54.12,54.28,4557600,24.41
"2007-05-29",54.6,55.25,54.4,54.72,6344000,24.61
"2007-05-30",54.7,55.74,54.24,55.73,7319400,25.06
"2007-05-31",55.97,57.12,55.77,56.75,10483400,25.52
"2007-06-01",56.75,57.09,56.48,56.69,8382600,25.5
"2007-06-04",57.58,57.58,56.4,57.23,4709200,25.74
"2007-06-05",57.24,57.5,56.74,56.89,6047000,25.59
"2007-06-06",56.9,56.9,55.71,55.71,8426600,25.06
"2007-06-07",55.62,55.62,54.1,54.1,13045800,24.41
"2007-06-08",53.25,53.34,51.87,52.96,17772200,23.9
"2007-06-11",53.6,54.03,53.3,53.4,10000200,24.1
"2007-06-12",53.4,53.8,52.96,53.19,11744200,24
"2007-06-13",53.54,54.02,53.06,53.48,6412600,24.13
"2007-06-14",53.75,53.94,53.26,53.68,8039400,24.22
"2007-06-15",53.88,53.89,53.39,53.42,6281200,24.11
"2007-06-18",53.86,53.97,53.43,53.63,3760400,24.2
"2007-06-19",53.5,54.64,53.25,54.5,6046000,24.59
"2007-06-20",54.7,54.99,53.6,53.63,5102400,24.2
"2007-06-21",53.68,54.15,53.14,53.58,5270200,24.18
"2007-06-22",53.58,53.71,52.89,52.95,7884800,23.89
"2007-06-25",53.6,54.98,53.2,53.81,9879600,24.28
"2007-06-26",54.26,55,53.61,53.82,10900200,24.29
"2007-06-27",56.75,58.7,55.49,58.29,28249200,26.3
"2007-06-28",58.16,59.26,57.77,58.29,10251800,26.3
"2007-06-29",58.3,58.92,57.5,58.29,5834800,26.3
"2007-07-02",58.7,59.4,58.39,58.4,7079000,26.35
"2007-07-03",58.43,59.16,58.3,58.98,4733600,26.61
"2007-07-05",58.98,59.4,58.1,59.35,6097400,26.78
"2007-07-06",59.35,59.97,59.01,59.67,4238200,26.93
"2007-07-09",59.63,59.63,58.63,59.08,5488400,26.66
"2007-07-10",58.75,59.28,58.33,58.45,5793800,26.38
"2007-07-11",58.1,58.75,57.73,58.45,7702600,26.38
"2007-07-12",58.42,59.53,58.4,59.46,6051000,26.83
"2007-07-13",59.15,59.26,58.73,59.01,4217600,26.63
"2007-07-16",58.31,59.04,58.3,58.78,4171800,26.52
"2007-07-17",58.2,59.59,58.19,59.45,6321000,26.83
"2007-07-18",58.79,59.75,58.72,59.68,7193200,26.93
"2007-07-19",59.85,60.35,59.55,59.83,8179000,27
"2007-07-20",59.36,59.9,58.42,58.52,9614400,26.41
"2007-07-23",59.06,59.81,58.9,59.4,7133600,26.8
"2007-07-24",59.15,59.4,58.17,58.35,9605800,26.33
"2007-07-25",58.36,58.56,57.13,57.83,9077400,26.1
"2007-07-26",56.7,57.27,55.73,56.9,17217000,25.68
"2007-07-27",56.45,57.04,55.44,55.44,10694800,25.02
"2007-07-30",56.33,56.93,55.6,56.84,9466800,25.65
"2007-07-31",56.06,57.64,56.06,56.45,9751400,25.47
"2007-08-01",57.21,57.23,55.98,56.9,12188600,25.68
"2007-08-02",57.25,57.25,56.29,56.95,6873400,25.7
"2007-08-03",56.13,57.46,56.11,56.5,8929600,25.5
"2007-08-06",55.85,57.59,55.85,57.47,7403000,25.93
"2007-08-07",57.02,58.63,56.82,58.06,7972600,26.2
"2007-08-08",57.75,58.36,55.86,56.61,9102600,25.55
"2007-08-09",55.76,56,52.2,53.9,17422600,24.32
"2007-08-10",53,56.1,52,55.78,11056600,25.17
"2007-08-13",56.1,57.71,55.89,56.15,7161200,25.34
"2007-08-14",56.15,56.79,54.6,54.66,6333400,24.67
"2007-08-15",54.32,55.22,53.43,53.57,6724600,24.17
"2007-08-16",53.02,53.79,52.4,53.19,8728200,24
"2007-08-17",54.38,55.48,52.68,54.47,6288400,24.58
"2007-08-20",54.5,54.97,54,54.38,6561000,24.54
"2007-08-21",54.5,54.85,53.71,54.12,5302600,24.42
"2007-08-22",54.35,55,53.83,54.19,7242400,24.45
"2007-08-23",54.46,54.92,53.72,54.03,4540400,24.38
"2007-08-24",54.03,54.41,53.79,54.12,3960400,24.42
"2007-08-27",54.12,54.48,53.86,53.88,3526800,24.31
"2007-08-28",53.88,54.39,53.33,53.53,9276800,24.16
"2007-08-29",53.91,55.46,53.89,55.46,5765800,25.03
"2007-08-30",54.9,56,54.81,55.76,4712600,25.16
"2007-08-31",56.27,56.79,55.6,56.34,6177400,25.42
"2007-09-04",56.04,57.24,55.8,56.42,6524000,25.46
"2007-09-05",56.19,56.2,55.06,55.47,4909800,25.03
"2007-09-06",55.26,56.53,55.26,55.8,4688400,25.26
"2007-09-07",55.09,55.15,54.18,54.7,5121600,24.77
"2007-09-10",55.05,55.61,54.15,55.15,4219000,24.97
"2007-09-11",55.3,55.7,54.91,55.53,3402400,25.14
"2007-09-12",55.49,56.61,55.15,56.08,4990600,25.39
"2007-09-13",56.44,57.28,55.73,56.88,4336200,25.75
"2007-09-14",56.57,57.43,56.33,57.23,4787800,25.91
"2007-09-17",57,57,56.09,56.31,9087400,25.5
"2007-09-18",56.72,59.14,56.38,58.79,9367800,26.62
"2007-09-19",59.32,60.53,58.16,58.56,12869600,26.51
"2007-09-20",58.7,59,57.83,58.32,8412000,26.41
"2007-09-21",60.22,60.99,57.15,57.26,20570200,25.93
"2007-09-24",57.75,58.11,56.67,57.81,12327800,26.17
"2007-09-25",57,58.88,56.92,58.45,11169800,26.46
"2007-09-26",58.64,58.8,58.1,58.39,5230400,26.44
"2007-09-27",58.33,58.35,57.3,58.17,7154600,26.34
"2007-09-28",58.08,58.89,58.01,58.66,6376400,26.56
"2007-10-01",58.79,59.64,58.62,59.39,8075400,26.89
"2007-10-02",59.29,59.87,58.91,59.16,4831600,26.79
"2007-10-03",58.81,60,58.79,59.22,6367600,26.81
"2007-10-04",59.36,59.48,58.6,59.36,5280800,26.88
"2007-10-05",59.34,60.5,58.99,60.35,8022800,27.32
"2007-10-08",60.16,60.47,59.67,60.01,3986200,27.17
"2007-10-09",60,62.19,59.96,61.77,11711000,27.97
"2007-10-10",61.46,62.37,61.28,61.86,8973000,28.01
"2007-10-11",62,62.1,60.86,61.01,11783000,27.62
"2007-10-12",60.96,63.44,60.96,63.15,10898200,28.59
"2007-10-15",63,64.74,62.83,63.92,9603600,28.94
"2007-10-16",63.86,64.04,62.7,63.91,8944000,28.94
"2007-10-17",64.5,64.57,62,63.16,6531600,28.6
"2007-10-18",62.58,63.6,62.46,63.26,4374200,28.64
"2007-10-19",62.94,63.97,62.39,63.33,9176000,28.67
