"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2007-01-03",77.53,78.85,77.38,78.26,3781500,64.67
"2007-01-04",78.4,78.41,77.45,77.95,2968400,64.42
"2007-01-05",77.89,77.9,77.01,77.42,2765200,63.98
"2007-01-08",77.42,78.04,76.97,77.59,2434500,64.12
"2007-01-09",78,78.23,77.44,77.68,1896800,64.19
"2007-01-10",77.31,77.96,77.04,77.85,1787500,64.33
"2007-01-11",78.05,79.03,77.88,78.65,2372500,65
"2007-01-12",78.41,79.5,78.22,79.36,2582200,65.58
"2007-01-16",79.48,79.62,78.92,79.56,2526600,65.75
"2007-01-17",79.33,79.51,78.75,78.91,2711300,65.21
"2007-01-18",78.71,79.7,78.6,78.81,1963000,65.13
"2007-01-19",79.09,79.88,78.82,79.25,2912100,65.49
"2007-01-22",79.25,79.29,78.13,78.49,2139300,64.86
"2007-01-23",78.71,79.15,78.33,78.85,1949500,65.16
"2007-01-24",78.85,79.66,78.85,79.49,1772700,65.69
"2007-01-25",79.56,79.75,78.83,79.01,2888700,65.29
"2007-01-26",78.97,79.19,78.23,78.69,1996300,65.03
"2007-01-29",78.54,79.2,78.25,78.96,3420300,65.25
"2007-01-30",74.92,76.18,74.24,74.7,15657900,61.73
"2007-01-31",74.21,74.68,73.09,74.3,9284500,61.4
"2007-02-01",74.75,74.83,73.71,73.99,6501600,61.14
"2007-02-02",73.87,74.07,73.72,73.87,5584500,61.05
"2007-02-05",74.08,74.27,73.7,73.93,6350000,61.1
"2007-02-06",73.91,74.5,73.82,74.27,4872900,61.38
"2007-02-07",74.3,74.99,74.28,74.65,4051900,61.69
"2007-02-08",74.88,74.89,74.11,74.64,3840200,61.68
"2007-02-09",74.64,75,74.25,74.54,4022300,61.6
"2007-02-12",74.55,74.89,74.4,74.59,2972100,61.64
"2007-02-13",76,76.9,75.75,76.43,7193200,63.16
"2007-02-14",76.43,76.92,76.28,76.84,3888100,63.5
"2007-02-15",76.9,77.38,76.6,76.91,3627500,63.56
"2007-02-16",76.91,77.43,76.41,76.84,3794200,63.5
"2007-02-20",76.5,76.75,75.94,76.58,3962200,63.28
"2007-02-21",76.1,76.58,75.9,76.23,2820400,63.39
"2007-02-22",76.25,76.75,76.13,76.35,2795600,63.49
"2007-02-23",76.49,76.57,75.95,76.21,1987400,63.38
"2007-02-26",76.45,76.82,75.64,76.12,2594000,63.3
"2007-02-27",76.13,76.18,73.52,74.5,5865700,61.95
"2007-02-28",74.25,75,73.53,74.08,5290200,61.61
"2007-03-01",74,74.01,73.02,73.66,4470900,61.26
"2007-03-02",73.25,73.79,73,73.01,5008700,60.72
"2007-03-05",73.01,73.77,72.9,73.17,4905700,60.85
"2007-03-06",73.62,73.69,73,73.47,4308500,61.1
"2007-03-07",73.5,74.19,73.17,73.8,3775600,61.37
"2007-03-08",74.03,75.15,74,74.52,3815900,61.97
"2007-03-09",74.59,75.31,74.54,74.73,3346200,62.15
"2007-03-12",74.61,75.29,74.6,75.17,3220100,62.51
"2007-03-13",74.75,75.5,74.65,74.77,4431500,62.18
"2007-03-14",74.78,75.84,74.42,75.8,4612800,63.04
"2007-03-15",75.8,76.26,75.67,75.99,3930100,63.19
"2007-03-16",76.23,76.26,75.15,75.28,5054500,62.6
"2007-03-19",75.54,76.46,75.5,76.36,3200500,63.5
"2007-03-20",76.49,76.5,76.04,76.38,2379600,63.52
"2007-03-21",76.25,77.06,76.05,76.9,3086300,63.95
"2007-03-22",77.09,78,76.91,77.78,4071900,64.68
"2007-03-23",77.59,78.16,77.39,77.97,2780900,64.84
"2007-03-26",77.66,77.67,76.94,77.38,3542100,64.35
"2007-03-27",77.44,77.47,76.81,77.17,2692200,64.17
"2007-03-28",76.74,77.17,76.18,76.38,3186300,63.52
"2007-03-29",76.38,76.38,75.44,76.09,4233300,63.28
"2007-03-30",75.98,77.04,75.67,76.43,3400500,63.56
"2007-04-02",76.44,76.44,75.91,76.28,2414400,63.43
