"","SRCL.Open","SRCL.High","SRCL.Low","SRCL.Close","SRCL.Volume","SRCL.Adjusted"
"2007-01-03",75.5,76.98,75.17,75.65,611800,37.83
"2007-01-04",75.65,76.19,74.73,74.89,592000,37.44
"2007-01-05",74.54,74.63,73.67,73.83,461600,36.92
"2007-01-08",73.55,73.85,73.04,73.18,604200,36.59
"2007-01-09",73.92,74.22,73.12,74.02,1107000,37.01
"2007-01-10",75.24,75.77,74.61,75.52,571200,37.76
"2007-01-11",75.75,76.19,75.35,75.71,424600,37.85
"2007-01-12",75.74,75.75,75.26,75.65,292400,37.83
"2007-01-16",75.85,75.97,75.15,75.42,425200,37.71
"2007-01-17",75.45,76.23,75.21,75.55,796400,37.78
"2007-01-18",75.69,75.69,74.25,74.56,362800,37.28
"2007-01-19",74.49,74.69,74.05,74.54,195200,37.27
"2007-01-22",74.7,74.92,74,74.28,328000,37.14
"2007-01-23",74.13,75.19,74.12,74.93,323000,37.47
"2007-01-24",75.01,75.67,74.85,74.96,197600,37.48
"2007-01-25",74.83,74.94,74.2,74.52,446400,37.26
"2007-01-26",74.47,75.41,74.46,75.14,559400,37.57
"2007-01-29",75.17,77.19,75.17,76.2,469800,38.1
"2007-01-30",76.02,76.72,75.82,76.45,210600,38.22
"2007-01-31",76.31,77.25,76.19,77,339000,38.5
"2007-02-01",77.03,77.76,76.4,76.63,371200,38.31
"2007-02-02",77.27,77.96,76.73,77.56,333200,38.78
"2007-02-05",77.66,78,77.28,77.91,287000,38.96
"2007-02-06",77.96,77.96,76.58,77.13,316400,38.56
"2007-02-07",77.19,77.67,76.79,77.34,262400,38.67
"2007-02-08",77.06,77.55,75.6,77.09,424000,38.54
"2007-02-09",77.1,78.7,77.1,78.7,531600,39.35
"2007-02-12",78.4,79.42,77.54,77.54,333200,38.77
"2007-02-13",77.56,78.29,77.51,78.09,264600,39.04
"2007-02-14",78.23,79.55,77.95,79.05,670600,39.53
"2007-02-15",78.99,79.55,78.35,79.01,459000,39.51
"2007-02-16",79,79.26,78.94,78.99,329600,39.49
"2007-02-20",79,79.74,79,79.68,288000,39.84
"2007-02-21",79.65,79.75,79,79.49,248400,39.74
"2007-02-22",79.74,79.99,79.13,79.68,348400,39.84
"2007-02-23",79.85,80.18,79.31,80.06,250000,40.03
"2007-02-26",80,80,78.98,79.28,676400,39.64
"2007-02-27",78.75,79.06,77.09,77.41,511800,38.71
"2007-02-28",77.26,78.27,77,77.81,449000,38.9
"2007-03-01",77.09,78.53,76.43,78.37,556000,39.19
"2007-03-02",78.55,78.94,77.21,77.29,441600,38.65
"2007-03-05",76.79,77.45,76.31,76.93,472400,38.47
"2007-03-06",77.31,78.1,77,77.95,674800,38.97
"2007-03-07",78,78.77,77.46,78.23,667000,39.12
"2007-03-08",78.54,78.62,77.83,78,581600,39
"2007-03-09",78.29,78.91,78.02,78.46,256400,39.23
"2007-03-12",78.32,78.98,78.26,78.87,248200,39.44
"2007-03-13",78.68,78.7,77.28,77.49,445000,38.74
"2007-03-14",77.5,78.15,77.07,77.91,438000,38.96
"2007-03-15",78.06,79.16,77.85,78.6,411000,39.3
"2007-03-16",78.47,78.85,78.09,78.1,510200,39.05
"2007-03-19",78.42,79.56,78.31,79.22,283000,39.61
"2007-03-20",79.23,79.55,78.82,79.55,334600,39.78
"2007-03-21",79.6,81.17,79.11,81.11,383800,40.56
"2007-03-22",81.17,82.7,80.86,81.53,386400,40.76
"2007-03-23",81.61,82.98,81.42,82.13,508800,41.06
"2007-03-26",82.07,82.53,81.56,82.23,406600,41.12
"2007-03-27",82.28,82.28,81.44,81.56,249400,40.78
"2007-03-28",81.48,81.48,80.48,81,330600,40.5
"2007-03-29",81.21,81.49,80.24,80.95,290400,40.47
"2007-03-30",80.78,81.59,80.66,81.5,340600,40.75
"2007-04-02",81.64,82.05,80.79,81.55,281600,40.78
"2007-04-03",81.7,82.59,81.68,82.18,353200,41.09
"2007-04-04",82.32,82.32,81.82,82,266200,41
"2007-04-05",81.91,82.07,81.18,81.92,276000,40.96
"2007-04-09",81.79,82.02,81.54,81.92,186000,40.96
"2007-04-10",82,82.58,81.8,82.26,409400,41.13
"2007-04-11",81.95,82.48,81.25,81.89,354000,40.94
"2007-04-12",81.63,83.08,81.18,83.08,265400,41.54
"2007-04-13",83.08,83.89,82.64,83.75,289600,41.88
"2007-04-16",83.52,84.94,83.52,84.65,348400,42.33
"2007-04-17",84.9,85.94,84.84,85.81,550200,42.9
"2007-04-18",85.65,85.91,85.19,85.37,379200,42.69
"2007-04-19",85.31,85.45,84.36,84.79,304800,42.4
"2007-04-20",85.33,85.45,84.42,84.94,235200,42.47
"2007-04-23",84.77,85.16,84.61,85.05,171400,42.53
"2007-04-24",85.37,85.69,84.85,84.95,298400,42.47
"2007-04-25",84.9,85.84,84.78,85.33,319800,42.67
"2007-04-26",85.19,85.84,84.76,85.15,461600,42.58
"2007-04-27",83,87.14,83,86.46,897600,43.23
"2007-04-30",86.46,87.55,86.06,87.14,1265000,43.57
"2007-05-01",87.5,87.52,85.41,85.75,560400,42.88
"2007-05-02",85.46,86.37,85.05,86.1,754800,43.05
"2007-05-03",85.79,87.39,85.79,86.83,787800,43.42
"2007-05-04",86.65,86.91,85.89,86.78,551800,43.39
"2007-05-07",86.86,87.54,85.67,86.44,544600,43.22
"2007-05-08",86.15,86.58,85.01,86.52,478600,43.26
"2007-05-09",86.17,87.62,86.01,87.38,666000,43.69
"2007-05-10",87.17,87.48,86.72,86.87,561800,43.44
"2007-05-11",85.86,87.04,85.62,86.8,404000,43.4
"2007-05-14",86.81,86.94,85.82,86.22,457800,43.11
"2007-05-15",86.4,86.6,85.28,86.51,686200,43.26
"2007-05-16",86.83,86.97,86.45,86.66,449200,43.33
"2007-05-17",87.55,90.3,87.02,88.52,1700000,44.26
"2007-05-18",88.64,88.64,87.29,88.02,1151800,44.01
"2007-05-21",88,89.43,88,89.4,485800,44.7
"2007-05-22",89.19,89.95,88.81,89.29,595600,44.65
"2007-05-23",89.15,90.05,89.14,89.7,506400,44.85
"2007-05-24",89.5,90.14,87.87,87.94,534200,43.97
"2007-05-25",88.08,89.19,87.7,88.36,426000,44.18
"2007-05-29",88.47,89.37,88.44,89.07,408000,44.53
