"","PRU.Open","PRU.High","PRU.Low","PRU.Close","PRU.Volume","PRU.Adjusted"
"2007-01-03",85.97,87.1,85.73,86.25,2309100,72.44
"2007-01-04",86.25,86.39,85.49,85.9,1937300,72.14
"2007-01-05",85.57,86.25,85.55,85.69,1566700,71.97
"2007-01-08",85.54,86.35,85.38,86.22,1526900,72.41
"2007-01-09",86.5,86.8,85.44,85.88,2107700,72.12
"2007-01-10",85.73,87.12,85.61,86.94,2534600,73.01
"2007-01-11",86.86,87.91,86.86,87.78,2201600,73.72
"2007-01-12",87.8,87.95,87.1,87.68,1249000,73.64
"2007-01-16",87.79,88.78,87.54,88.61,2176600,74.42
"2007-01-17",88.5,88.5,87.71,87.98,1628000,73.89
"2007-01-18",88.47,88.5,87.87,88.05,1684900,73.95
"2007-01-19",88.48,88.74,87.85,88.56,1827500,74.38
"2007-01-22",88.36,88.56,87.92,88.18,1145300,74.06
"2007-01-23",87.98,88.21,87.52,88.16,1350200,74.04
"2007-01-24",88.15,88.74,88.12,88.67,1327000,74.47
"2007-01-25",88.5,88.55,87.4,87.57,1575100,73.54
"2007-01-26",87.58,88.37,87.26,87.95,1260900,73.86
"2007-01-29",88,88.99,87.9,88.16,1959200,74.04
"2007-01-30",88.48,89,88.43,88.97,2045600,74.72
"2007-01-31",88.45,89.33,88.2,89.13,1899100,74.85
"2007-02-01",89.13,90.03,89.05,90.01,2092000,75.59
"2007-02-02",90,90.7,89.93,90.33,1840700,75.86
"2007-02-05",90.44,90.44,89.63,89.86,1430500,75.47
"2007-02-06",89.77,90.36,89.51,89.73,1712600,75.36
"2007-02-07",89.65,90.37,89.65,90.37,2203100,75.9
"2007-02-08",91.5,92.83,91.19,92.14,5324400,77.38
"2007-02-09",92.7,92.75,90.79,91.33,2517800,76.7
"2007-02-12",91.32,91.65,90.62,91.05,1562200,76.47
"2007-02-13",90.79,91.74,90.75,91.73,1477600,77.04
"2007-02-14",91.73,92.75,91.5,92.55,1966000,77.73
"2007-02-15",92,92.15,91.55,91.84,1475900,77.13
"2007-02-16",91.4,92.7,91.28,92.51,2772000,77.69
"2007-02-20",92.51,93.26,92.11,93.1,2394500,78.19
"2007-02-21",92.4,93.08,92.4,92.63,1844300,77.79
"2007-02-22",92.5,93.03,92.33,92.69,1507700,77.84
"2007-02-23",92.47,92.74,92.15,92.45,1424300,77.64
"2007-02-26",92.45,92.73,91.89,92.37,1419100,77.58
"2007-02-27",92.26,92.36,89.78,90.21,3377900,75.76
"2007-02-28",90.21,91.2,90.14,90.94,2986000,76.37
"2007-03-01",90.95,90.95,89.28,90.38,3105800,75.9
"2007-03-02",90.22,90.72,89.83,89.91,1753500,75.51
"2007-03-05",89.74,90.12,89.23,89.28,2429800,74.98
"2007-03-06",89.75,89.93,89.28,89.75,2411900,75.37
"2007-03-07",89.51,90.2,89.35,89.56,2165400,75.22
"2007-03-08",90,90.65,89.86,90.29,1570800,75.83
"2007-03-09",90.54,90.79,90.02,90.31,1859200,75.85
"2007-03-12",89.91,90.35,89.25,90.17,1499200,75.73
"2007-03-13",89.78,89.93,87.79,87.91,4226300,73.83
"2007-03-14",88,88.9,87.18,88.66,3432800,74.46
"2007-03-15",88.6,89.47,88.49,89.15,1699300,74.87
"2007-03-16",89.36,89.84,88.23,88.65,3861300,74.45
"2007-03-19",89.44,89.95,89.15,89.79,2012000,75.41
"2007-03-20",89.9,90.41,89.35,90.21,2586600,75.76
"2007-03-21",90.16,91.57,89.98,91.14,2717500,76.54
"2007-03-22",91.14,91.3,90.61,91.04,1940000,76.46
"2007-03-23",90.79,91.6,90.71,91.23,1669000,76.62
"2007-03-26",91.23,91.39,90.51,91.05,2006900,76.47
"2007-03-27",90.65,91.05,90.28,90.6,1736300,76.09
"2007-03-28",89.94,90.54,89.57,89.97,2635400,75.56
"2007-03-29",90.19,90.52,89.57,90.11,1859100,75.68
"2007-03-30",90.28,90.88,89.62,90.26,1915300,75.8
"2007-04-02",90.4,90.54,89.88,90.21,1812300,75.76
"2007-04-03",90.46,91.44,90.46,91.41,2125200,76.77
"2007-04-04",91.43,91.63,90.92,91.61,1550900,76.94
"2007-04-05",91.61,91.89,91.34,91.66,736000,76.98
"2007-04-09",91.91,91.94,91.45,91.68,905900,77
"2007-04-10",91.61,92.18,91.51,91.63,1152200,76.95
"2007-04-11",91.75,92.06,91.18,91.35,1704000,76.72
"2007-04-12",91.05,92.07,91.01,91.98,1341700,77.25
"2007-04-13",92.34,92.34,91.72,92.07,1228600,77.32
"2007-04-16",92.06,93,91.95,93,5479100,78.1
"2007-04-17",93.03,93.47,92.86,93.23,2691500,78.3
"2007-04-18",93.11,94.13,92.75,93.96,2851200,78.91
"2007-04-19",93.13,93.8,93.1,93.65,2760900,78.65
"2007-04-20",94.03,95.33,93.98,94.23,2447700,79.14
"2007-04-23",94.03,94.45,93.82,93.88,1960900,78.84
"2007-04-24",93.85,94.29,93.42,94.08,2188400,79.01
"2007-04-25",94.75,95.83,94.15,95.74,3669400,80.41
"2007-04-26",94.84,95.85,94.84,95.41,3392300,80.13
"2007-04-27",95.42,95.66,95.07,95.45,1518800,80.16
"2007-04-30",95.7,95.89,95,95,2347600,79.78
"2007-05-01",95.48,95.74,94.47,95.22,2096300,79.97
"2007-05-02",95.33,97.15,95.31,96.8,3566900,81.3
"2007-05-03",98.01,99.66,97.71,99.65,8502300,83.69
"2007-05-04",99.85,100.75,99.85,100.61,4424800,84.5
"2007-05-07",100.85,101.25,100.4,101.25,3011500,85.03
"2007-05-08",100.61,101.25,100.18,101.02,2989800,84.84
"2007-05-09",101.1,101.61,100.63,101.61,3115400,85.34
"2007-05-10",101.42,101.92,101.08,101.51,4347100,85.25
"2007-05-11",101.72,102.42,101.33,102.28,3928900,85.9
"2007-05-14",102,102.28,101.53,101.78,4302600,85.48
"2007-05-15",101.89,102.41,101.21,101.44,4021600,85.19
"2007-05-16",101.7,101.93,101.12,101.92,2333100,85.6
"2007-05-17",101.99,102.45,101.49,102.3,2352800,85.91
"2007-05-18",102.45,103.08,102.17,102.92,2023000,86.44
"2007-05-21",102.91,103.22,102.61,103.17,1649800,86.65
"2007-05-22",103.17,103.27,102.48,102.72,2552700,86.27
"2007-05-23",102.73,102.85,101.28,101.35,2783300,85.12
"2007-05-24",101.3,101.58,100.12,100.31,3195300,84.24
"2007-05-25",100.24,100.69,100.08,100.37,1831400,84.29
"2007-05-29",100.22,101.67,100.17,101.53,2617100,85.27
"2007-05-30",100.95,101.85,100.72,101.73,2884100,85.44
"2007-05-31",102.5,102.92,101.96,102.02,3341200,85.68
"2007-06-01",102.53,102.55,101.49,101.63,1776400,85.35
"2007-06-04",101.15,101.47,100.65,100.75,1899000,84.61
"2007-06-05",100.95,101.23,100.44,100.57,1741300,84.46
"2007-06-06",100.75,100.85,99.37,99.46,2018900,83.53
"2007-06-07",98.98,99.28,97.38,97.49,3481100,81.88
"2007-06-08",97.49,99.14,97.43,99.09,2930000,83.22
"2007-06-11",99.09,100.17,98.59,99.49,2025800,83.55
"2007-06-12",98.78,99.75,98.02,98.36,2585600,82.61
"2007-06-13",99.5,100.85,98.7,100.81,3429200,84.66
"2007-06-14",100.81,101.62,100.55,100.77,2168700,84.63
"2007-06-15",101.57,102.92,101.57,101.69,3045600,85.4
"2007-06-18",102.25,102.46,101.64,102.16,1709200,85.8
"2007-06-19",102.01,102.91,101.79,102.81,1747700,86.34
