"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2007-06-04",67.1,67.38,66.87,67.27,3051600,28.61
"2007-06-05",67.48,67.55,66.85,66.9,4644400,28.45
"2007-06-06",66.65,67.05,66.3,66.41,4361600,28.24
"2007-06-07",66.25,66.49,66,66.21,5008600,28.16
"2007-06-08",66.22,66.77,65.91,66.69,4357200,28.36
"2007-06-11",66.52,67.3,66.36,67.22,4186000,28.59
"2007-06-12",66.99,67.57,66.84,67.49,5662800,28.7
"2007-06-13",67.66,67.79,66.73,67.46,9809600,28.69
"2007-06-14",67.27,67.42,66.68,66.85,4880400,28.43
"2007-06-15",66.97,67.22,66.38,66.63,6199800,28.34
"2007-06-18",66.72,66.79,66.12,66.38,3221200,28.23
"2007-06-19",66.18,66.18,65.56,65.72,3822000,27.95
"2007-06-20",66.69,67.04,66.4,66.4,7606800,28.24
"2007-06-21",66.3,66.6,65.82,66.28,5888600,28.19
"2007-06-22",65.98,66.04,65.06,65.27,8913800,27.76
"2007-06-25",65.37,66.06,65.31,65.41,4836200,27.82
"2007-06-26",65.54,65.55,64.57,64.65,7936400,27.5
