"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"2007-02-22",174.6,175.9,173.72,175.01,304300,147.25
"2007-02-23",175.02,175.17,173.68,174.35,214300,146.7
"2007-02-26",174.35,174.75,166.8,167.58,427700,141
"2007-02-27",167.25,167.25,159.4,163.04,283800,137.18
"2007-02-28",163.8,163.8,158.28,159.25,515800,133.99
"2007-03-01",158,159.74,154.29,158.54,258000,133.4
"2007-03-02",158,158.2,155.2,155.7,218300,131.01
"2007-03-05",154.52,155.54,152.19,152.51,235200,128.88
"2007-03-06",154.25,155.89,153.45,155.09,326000,131.06
"2007-03-07",154.91,157.45,154.65,155.8,246400,131.66
"2007-03-08",156.05,159.4,156.05,157.56,216600,133.14
"2007-03-09",158.18,159.59,157.4,158.62,169900,134.04
"2007-03-12",158.63,159.62,157.78,159.31,228100,134.62
"2007-03-13",159.31,159.49,153.18,153.36,272100,129.59
"2007-03-14",153.35,154.72,151.32,153.6,308300,129.8
