"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"2007-01-03",97.18,98.4,96.26,97.27,9196800,85.57
"2007-01-04",97.25,98.79,96.88,98.31,10524500,86.48
"2007-01-05",97.6,97.95,96.91,97.42,7221300,85.7
"2007-01-08",98.5,99.5,98.35,98.9,10340000,87
"2007-01-09",99.08,100.33,99.07,100.07,11108200,88.03
"2007-01-10",98.5,99.05,97.93,98.89,8744800,86.99
"2007-01-11",99,99.9,98.5,98.65,8000700,86.78
"2007-01-12",98.99,99.69,98.5,99.34,6636500,87.39
"2007-01-16",99.4,100.84,99.3,100.82,9602200,88.69
"2007-01-17",100.69,100.9,99.9,100.02,8200700,87.99
"2007-01-18",99.8,99.95,98.91,99.45,14725000,87.48
"2007-01-19",95,96.85,94.55,96.17,26035800,84.6
"2007-01-22",96.42,97.23,96.12,97.11,13539300,85.43
"2007-01-23",96.91,97.38,96.2,97.08,10337400,85.4
"2007-01-24",97.08,97.58,96.58,97.4,5700000,85.68
"2007-01-25",97.22,97.92,97.22,97.51,6201300,85.78
"2007-01-26",97.52,97.83,96.84,97.45,5771100,85.73
"2007-01-29",97.7,98.66,97.45,98.54,7294800,86.68
"2007-01-30",98.57,99.45,98.5,99.37,7177900,87.41
"2007-01-31",98.8,99.48,98.35,99.15,6432600,87.22
"2007-02-01",98.97,99.18,97.96,99,6610700,87.09
"2007-02-02",99.1,99.73,98.88,99.17,6656300,87.24
"2007-02-05",99.17,100.44,98.9,100.38,8184800,88.3
"2007-02-06",100,100.4,99.54,99.85,6532800,87.84
"2007-02-07",99.8,100.36,99.12,99.54,7698200,87.83
"2007-02-08",98.9,99.74,98.65,99.62,6152200,87.9
"2007-02-09",99.52,99.7,97.81,98.55,6100400,86.95
"2007-02-12",98.8,99.2,98.22,98.58,5331000,86.98
"2007-02-13",98.6,98.74,97.8,98.29,5702800,86.72
"2007-02-14",98.5,99.43,98.25,99.2,5644800,87.53
"2007-02-15",99.06,99.52,98.48,98.92,5568600,87.28
"2007-02-16",99.12,99.25,98.63,98.99,4800700,87.34
"2007-02-20",98.66,99.46,98.55,99.35,4124200,87.66
"2007-02-21",98.9,99.37,98.7,99.09,4302400,87.43
"2007-02-22",98.8,99.5,97.77,98.5,5900100,86.91
"2007-02-23",98.4,98.44,97.41,97.73,6355800,86.23
"2007-02-26",97.86,97.86,96.46,96.91,5922100,85.51
"2007-02-27",96,96.01,92.88,93.96,11996700,82.9
"2007-02-28",93.71,94.09,92.47,92.94,12191600,82
"2007-03-01",90.25,93.05,88.77,92.27,12865700,81.41
"2007-03-02",92,92.37,90.84,90.9,9451300,80.2
"2007-03-05",90.25,92.15,90.1,91.81,10314900,81.01
"2007-03-06",92.4,93.89,92.26,93.8,9184200,82.76
"2007-03-07",93.97,94.85,93.62,93.94,10269100,82.89
"2007-03-08",94.5,94.82,92.52,93,7403900,82.06
"2007-03-09",93.48,94,92.82,93.28,6333000,82.3
"2007-03-12",93.29,94.17,92.97,94.11,5531300,83.04
"2007-03-13",93.86,94.47,92.62,92.71,7539100,81.8
"2007-03-14",92.65,94.03,92.1,93.76,8713900,82.73
"2007-03-15",93.4,93.97,93.1,93.45,5910000,82.45
"2007-03-16",94.45,94.45,93.02,93.25,8728700,82.28
"2007-03-19",93.95,94.32,93.39,93.99,4568100,82.93
"2007-03-20",94,94.53,93.55,94.5,4560000,83.38
"2007-03-21",94.5,95.81,93.83,95.36,7665600,84.14
"2007-03-22",95.1,95.44,94.65,95.19,5700400,83.99
"2007-03-23",94.82,95.22,94.65,95.03,4412500,83.85
"2007-03-26",95,95.25,94.32,95,6729400,83.82
"2007-03-27",94.71,95.03,94.2,94.73,4695800,83.58
"2007-03-28",93.9,95.02,93.8,94.26,8128000,83.17
"2007-03-29",94.66,95.11,93.96,94.57,6851500,83.44
"2007-03-30",94.24,94.75,93.57,94.26,7638100,83.17
"2007-04-02",94.51,95.5,94.06,95.21,5883700,84.01
"2007-04-03",95.45,96.23,95.33,96.1,5730800,84.79
"2007-04-04",95.8,96.45,95.57,96.21,4276200,84.89
"2007-04-05",95.98,96.75,95.75,96.52,3307100,85.16
"2007-04-09",96.43,96.94,96.12,96.62,4850600,85.25
"2007-04-10",96.4,96.8,96.16,96.46,3596400,85.11
"2007-04-11",96.51,96.7,94.95,95.16,5936900,83.96
"2007-04-12",95.03,95.82,94.53,95.67,7085300,84.41
"2007-04-13",95.75,95.75,94.59,94.93,6027800,83.76
"2007-04-16",94.99,96.3,94.72,96.18,6865100,84.86
"2007-04-17",96.3,97.66,96.02,97.12,10264000,85.69
"2007-04-18",94.8,95.91,94.4,94.8,15871700,83.65
"2007-04-19",94.5,94.87,94,94.29,9445600,83.2
"2007-04-20",95.02,95.15,93.91,94.58,9340300,83.45
"2007-04-23",95.16,95.73,95.05,95.21,7247400,84.01
"2007-04-24",97.23,99.9,97.23,98.49,21450700,86.9
"2007-04-25",98.74,101.7,98.73,101.46,14827300,89.52
"2007-04-26",101,101.5,100.21,100.9,8608500,89.03
"2007-04-27",100.3,101.17,100.06,101.17,6141400,89.27
"2007-04-30",101.11,103,100.97,102.21,10050400,90.18
"2007-05-01",102.06,103.17,102.05,103.17,8670100,91.03
"2007-05-02",102.8,103.14,102.13,102.22,6820300,90.19
"2007-05-03",101.75,103,101.35,102.8,7302200,90.7
"2007-05-04",102.75,103.03,102.25,102.96,5464800,90.85
"2007-05-07",102.76,103.17,102.4,103.16,5620100,91.02
"2007-05-08",102.42,103.39,102.21,103.29,5965000,91.49
"2007-05-09",103.93,104.75,103.7,104.38,8408100,92.46
"2007-05-10",103.82,105.11,103.71,104.68,8959800,92.72
"2007-05-11",104.69,105.99,104.67,105.98,6026100,93.87
"2007-05-14",105.81,106.25,104.79,105.57,5732600,93.51
"2007-05-15",105.4,105.8,104.7,104.83,6104200,92.86
"2007-05-16",105.1,105.89,104.53,105.87,5613500,93.78
"2007-05-17",105.61,106.23,104.73,105.31,7706400,93.28
"2007-05-18",105.84,108.05,105.6,107.99,9857500,95.65
"2007-05-21",107.67,108,106.87,107.04,7512200,94.81
"2007-05-22",106.95,107.25,106.01,106.7,5313300,94.51
"2007-05-23",106.8,107,105.25,105.58,4396900,93.52
"2007-05-24",105.45,105.98,103.57,103.95,6926300,92.08
"2007-05-25",103.9,105.43,103.85,105.18,6123000,93.17
"2007-05-29",105.57,106.63,105.3,105.91,5420300,93.81
"2007-05-30",105.4,107.1,105.21,106.93,7401000,94.72
"2007-05-31",107.26,107.67,106,106.6,5097700,94.42
"2007-06-01",106.62,107.24,106.02,106.54,5289200,94.37
"2007-06-04",106.5,106.59,105.58,106.23,4569900,94.1
"2007-06-05",106.55,106.55,105.54,105.84,5244200,93.75
"2007-06-06",105.5,105.51,102.39,102.41,30770700,90.71
"2007-06-07",102.46,103.17,101.56,101.8,14384600,90.17
"2007-06-08",101.8,103.21,101.75,103.07,8216300,91.3
"2007-06-11",102.87,104,102.5,103.22,7903100,91.43
"2007-06-12",103.11,103.18,102.15,102.34,5578400,90.65
"2007-06-13",102.85,103.26,102.1,103.12,6437600,91.34
"2007-06-14",103.1,104.24,102.81,103.85,5165600,91.99
"2007-06-15",104.22,105.19,103.88,105.09,9432300,93.09
"2007-06-18",105.27,105.65,104.89,105.33,6359200,93.3
"2007-06-19",104.93,106.66,104.9,106.5,5754000,94.33
"2007-06-20",106.5,107.02,105.95,106,6541500,93.89
"2007-06-21",105.77,107,105.61,106.6,5587800,94.42
"2007-06-22",105.96,106.44,104.44,104.44,10808500,92.51
"2007-06-25",104.73,105.77,104.5,105.1,8476400,93.09
"2007-06-26",105.1,106.06,104.82,105.33,5229600,93.3
"2007-06-27",104.75,105.47,104.4,105.43,5403800,93.39
"2007-06-28",105.52,106.92,105.22,105.95,5430900,93.85
"2007-06-29",105.96,106.58,104.1,105.25,7018400,93.23
"2007-07-02",105.39,105.8,104.58,105.01,4701300,93.01
"2007-07-03",105.5,107.08,105.24,106.58,4217900,94.41
"2007-07-05",106.31,108.39,105.98,108.05,6670900,95.71
"2007-07-06",107.79,109.66,107.66,109.03,8977200,96.58
"2007-07-09",108.73,109.35,108.2,108.97,6046300,96.52
"2007-07-10",108.55,109.15,108.25,108.63,6209300,96.22
"2007-07-11",108.3,109.6,108.25,109.1,5887800,96.64
"2007-07-12",109.35,109.65,108.22,109.28,9544100,96.8
"2007-07-13",108.75,109.2,108.1,108.6,7124100,96.19
"2007-07-16",108.57,110.04,108.42,109.66,8864200,97.13
"2007-07-17",109.66,111.47,109.45,110.77,7619900,98.12
