"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"2011-06-24",38.75,39.15,36.84,37.25,837700,34.97
"2011-06-27",36.69,37.95,36.59,37.65,447600,35.35
"2011-06-28",38.34,39.99,37.7,38.7,2075900,36.33
"2011-06-29",39,40.97,38.7,40.07,1847600,37.62
"2011-06-30",40.67,42,40.18,41.4,1512800,38.87
"2011-07-01",41.2,47.43,41,42.2,4167100,39.62
"2011-07-05",42.21,43,41.65,42.21,5911500,39.63
"2011-07-06",41.6,42.25,41.01,41.89,5491500,39.33
"2011-07-07",42.19,43.26,41.71,41.78,8353800,39.22
"2011-07-08",40.8,42.6,40.52,41.41,8208500,38.88
"2011-07-11",40.79,40.79,39.51,40.1,4747600,37.65
"2011-07-12",39.86,40.99,39.44,40.48,4005600,38
"2011-07-13",40.52,41.24,39.24,39.96,5821400,37.51
"2011-07-14",39.97,40.02,38.21,38.64,5764200,36.28
"2011-07-15",39,39.47,38.1,39.16,4969200,36.76
"2011-07-18",38.73,39.59,37.75,39.12,4155800,36.73
"2011-07-19",39.26,39.94,39.13,39.74,3211500,37.31
"2011-07-20",39.79,39.94,39.4,39.53,2724500,37.11
"2011-07-21",39.53,40.24,39.11,40.1,3624600,37.65
"2011-07-22",40.28,40.82,39.91,40.57,3322800,38.09
"2011-07-25",41.25,42.12,40.65,41.37,4449300,38.84
"2011-07-26",41.39,43.72,41.27,43.05,5662100,40.42
"2011-07-27",43.02,43.3,41.97,42.06,3499200,39.49
"2011-07-28",42.43,42.94,42.19,42.78,3327300,40.16
"2011-07-29",42.35,44.61,41.97,43.79,5354800,41.11
"2011-08-01",45.04,45.38,43.99,44.97,5759200,42.22
"2011-08-02",44.53,44.9,42.25,42.33,5497800,39.74
"2011-08-03",43.28,45.4,39.02,41.43,6706900,38.89
"2011-08-04",40.71,40.71,37.23,38.42,7688900,36.07
"2011-08-05",38.91,39.22,33.44,37.31,6174300,35.03
"2011-08-08",35.24,36,29.48,32.33,8271500,30.35
"2011-08-09",33.07,36.41,32.42,36.1,6027100,33.89
"2011-08-10",35.55,36.84,34.12,35.12,4841300,32.97
"2011-08-11",35.9,38.6,35.43,37.34,4378200,35.06
"2011-08-12",37.59,39.12,36.9,37.41,2953400,35.12
"2011-08-15",37.89,39.65,37.89,39.1,2682700,36.9
"2011-08-16",38.36,39.44,38.12,38.86,3266200,36.68
"2011-08-17",39.63,39.96,38.81,39.1,2813800,36.9
"2011-08-18",38.11,38.51,35.41,36.61,3750700,34.55
"2011-08-19",35.78,36.67,34.64,34.99,4939300,33.03
"2011-08-22",35.82,36,32.35,32.57,5387000,30.74
"2011-08-23",32.63,34.7,32.05,34.25,5180000,32.33
"2011-08-24",34.4,36.03,33.71,35.83,3361700,33.82
"2011-08-25",36.19,36.9,33.92,34.38,3188000,32.45
"2011-08-26",34.4,36.76,34.07,34.87,2940200,32.91
"2011-08-29",35.27,36.36,35.04,36,2087500,33.98
"2011-08-30",35.89,36.38,34.75,36.03,2192600,34.01
"2011-08-31",36.51,37.45,36.51,37.06,2865500,34.98
"2011-09-01",37.43,38.22,36.91,37.01,2257700,34.93
"2011-09-02",35.83,36.99,35.12,35.42,1797100,33.43
"2011-09-06",34.23,35.4,33.29,35,2861700,33.03
"2011-09-07",35.58,36.93,35.25,36.29,2606100,34.25
"2011-09-08",36.16,38.15,35.57,37.73,2043300,35.61
"2011-09-09",36.62,37.78,35.93,36.35,2944500,34.31
"2011-09-12",35.34,36.88,34.89,36.66,1959600,34.6
"2011-09-13",36.4,36.63,34.44,35.34,3573500,33.36
"2011-09-14",35.24,35.31,34.46,35.03,3820300,33.06
"2011-09-15",35.88,36.96,35.23,35.42,3040700,33.43
"2011-09-16",35.53,35.67,34.86,35.1,3597700,33.13
"2011-09-19",34.18,34.56,33.1,33.55,2548100,31.67
"2011-09-20",33.57,34.23,33.5,33.69,1929600,31.8
"2011-09-21",33.35,34.46,32.34,32.4,2006500,30.58
"2011-09-22",31.16,31.4,28.84,29.47,5536800,27.82
"2011-09-23",29.18,30.32,29.06,29.53,3384000,27.87
"2011-09-26",29.9,30.36,29.5,30.1,3985500,28.41
"2011-09-27",30.83,31.82,29.7,29.83,4706200,28.16
"2011-09-28",29.97,30.64,28.92,28.98,4422200,27.35
"2011-09-29",29.67,29.85,26.35,27.84,5258400,26.28
"2011-09-30",27.37,27.93,26.83,27.06,4813400,25.54
"2011-10-03",26.91,27.8,26.61,27.15,4324100,25.63
"2011-10-04",26.8,28.81,26.67,28.76,5100000,27.15
"2011-10-05",29.07,31.78,28.53,31.48,5231900,29.71
"2011-10-06",31.52,33.35,31.1,33.29,3989200,31.42
"2011-10-07",33.72,33.98,31.25,31.6,4266400,29.83
"2011-10-10",32.28,33.47,32.08,32.97,2502600,31.12
"2011-10-11",32.68,33.61,32.43,33.15,3307500,31.29
"2011-10-12",33.42,34.13,33.28,33.57,3772100,31.69
"2011-10-13",33.33,33.89,32.83,33.77,3170600,31.87
"2011-10-14",34.43,36.2,34.35,36.14,3369800,34.11
"2011-10-17",36.04,36.48,34.85,34.94,2358800,32.98
"2011-10-18",34.75,36.54,34.17,36.19,2266800,34.16
"2011-10-19",36.19,37.06,35.45,35.6,3016900,33.6
"2011-10-20",35.6,36.66,35.29,36.49,2337700,34.44
"2011-10-21",36.9,37.68,36.5,37.35,3218100,35.25
"2011-10-24",37.55,38.47,35.54,35.85,3287100,33.84
"2011-10-25",34.65,34.65,31.41,32.97,9275300,31.12
"2011-10-26",33.82,34.95,33.2,34.73,3738500,32.78
"2011-10-27",35.27,37.72,35.27,37.33,3862100,35.23
"2011-10-28",37.18,37.62,36.26,37.32,3630000,35.22
"2011-10-31",37.01,37.01,35.42,35.9,3290600,33.88
"2011-11-01",35.5,38.12,34.29,36,6594300,33.98
"2011-11-02",36.9,38.43,36.75,38.33,4585700,36.18
"2011-11-03",39,39.55,38.1,38.67,3901300,36.5
"2011-11-04",38.2,38.72,37.49,38.62,2828800,36.45
"2011-11-07",38.13,39.05,38.13,38.92,2055500,36.73
"2011-11-08",39.03,39.44,37.72,38.11,2509600,35.97
"2011-11-09",37.02,38.99,36.54,37.02,3487000,34.94
"2011-11-10",37.69,37.89,36,37.7,3460400,35.58
"2011-11-11",38.27,39.18,37.64,37.77,4018600,35.65
"2011-11-14",37.63,37.63,35.37,36.71,4073200,34.88
"2011-11-15",36.51,37.32,36.24,36.98,2806900,35.14
"2011-11-16",34.74,35.06,32.2,32.64,12384700,31.01
"2011-11-17",32.72,33.33,31.24,31.62,7821000,30.04
"2011-11-18",31.85,32.95,31.61,32.82,3167900,31.18
"2011-11-21",32.33,33.31,31.3,32.84,3282300,31.2
"2011-11-22",33.09,33.55,32.23,33.52,3047800,31.85
"2011-11-23",32.98,33.43,32.49,32.83,4120100,31.19
"2011-11-25",32.64,32.72,32.19,32.27,1366100,30.66
"2011-11-28",33.62,34.19,32.67,33.28,3815500,31.62
"2011-11-29",33.51,33.61,32.78,33.17,3813700,31.52
"2011-11-30",34.11,34.53,32.45,33.39,6158700,31.73
"2011-12-01",33.92,34.33,33.36,33.95,2998600,32.26
"2011-12-02",34.42,34.77,33.13,33.31,3735600,31.65
"2011-12-05",34.03,35.45,33.86,34.4,4556100,32.68
"2011-12-06",34.57,34.78,34,34.64,2965300,32.91
"2011-12-07",34.46,34.6,33.81,34.5,4015700,32.78
"2011-12-08",34.33,34.57,33.49,34.02,4937400,32.32
"2011-12-09",34.03,34.91,33.8,34.88,3189300,33.14
"2011-12-12",34.42,34.59,33.9,34.59,5458200,32.87
"2011-12-13",34.11,34.89,33.45,33.95,3691700,32.26
"2011-12-14",33.67,33.84,32.03,32.68,3501900,31.05
"2011-12-15",33.01,33.27,32.33,32.53,1747900,30.91
"2011-12-16",32.85,33.25,31.79,31.96,4228400,30.37
"2011-12-19",32,32.82,31.72,31.94,3137300,30.35
"2011-12-20",32.67,32.96,31.81,32.2,3145500,30.59
"2011-12-21",32.05,32.85,32,32.67,2154400,31.04
"2011-12-22",32.93,33.41,32.67,33.31,1846500,31.65
"2011-12-23",33.32,33.58,33.21,33.53,920500,31.86
"2011-12-27",33.55,33.98,33.39,33.65,769900,31.97
"2011-12-28",33.59,33.84,32.74,33.14,1642500,31.49
"2011-12-29",33.35,33.36,32.86,33.28,1063500,31.62
"2011-12-30",33.33,33.5,33.01,33.29,1082800,31.63
"2012-01-03",34.55,34.95,33.36,33.41,2521600,31.74
"2012-01-04",33.3,33.89,33.21,33.76,2895700,32.08
"2012-01-05",33.06,33.13,31,31.92,6196000,30.33
"2012-01-06",31.97,32.03,31.13,31.66,3777300,30.08
"2012-01-09",31.63,31.7,30.24,30.96,4839500,29.42
"2012-01-10",31.51,31.88,30.97,31.83,3004400,30.24
"2012-01-11",31.57,33.08,31.07,32.89,5631700,31.25
"2012-01-12",32.95,33.33,32.5,32.64,2792900,31.01
"2012-01-13",32.5,33.3,32.33,33.03,3099800,31.38
"2012-01-17",33.43,33.95,32.94,33.54,2220300,31.87
"2012-01-18",33.44,35.85,33.2,35.46,3990600,33.69
"2012-01-19",35.67,36.09,35.08,35.85,3146400,34.06
"2012-01-20",37.26,37.78,36.76,37.17,4838400,35.32
"2012-01-23",37.17,38.01,37.01,37.87,2703300,35.98
"2012-01-24",37.48,39.04,37.12,39.04,3711000,37.09
"2012-01-25",38.76,38.85,37.94,38.76,5163700,36.83
"2012-01-26",38.98,38.99,37.35,37.51,3093800,35.64
"2012-01-27",37.4,38.06,37.21,37.53,3078300,35.66
"2012-01-30",36.98,37.64,36.9,37.48,1850200,35.61
"2012-01-31",38.75,38.75,37.28,38.22,5197200,36.31
"2012-02-01",41.7,43.48,40.67,41.88,11147500,39.79
"2012-02-02",41.45,42.99,41.01,42.56,3727700,40.44
"2012-02-03",43.11,44.28,43,43.98,5366300,41.79
"2012-02-06",44.21,45.04,43.76,44.42,5480800,42.21
"2012-02-07",44.3,44.99,43.2,43.92,5861100,41.73
"2012-02-08",44.15,45.42,44.11,44.95,7968200,42.71
"2012-02-09",44.76,45.24,43.83,44.84,3554000,42.6
"2012-02-10",44.37,44.77,43.79,44.08,3502400,41.88
"2012-02-13",44.21,44.62,43.13,43.48,4467600,41.31
"2012-02-14",43.1,44.66,43.07,44.02,874800,42.07
"2012-02-15",44.41,45.01,43.45,43.7,4180300,41.76
"2012-02-16",43.62,44.49,43.56,44.09,3431800,42.13
"2012-02-17",44.3,44.5,43.26,43.44,3552500,41.51
"2012-02-21",43.48,44.05,43.28,43.81,3236800,41.87
"2012-02-22",43.88,44.42,43.48,43.52,3821200,41.59
"2012-02-23",43.4,44.34,43.3,43.69,2983600,41.75
"2012-02-24",43.87,44,42.79,42.86,2929200,40.96
"2012-02-27",42.62,43.14,42.18,42.61,4644900,40.72
"2012-02-28",42.54,42.59,41.31,41.67,7659200,39.82
"2012-02-29",41.7,42.44,41.44,41.55,5127800,39.71
"2012-03-01",41.57,42.82,41.57,42.72,5364400,40.82
"2012-03-02",42.53,43.11,41.97,42.18,2698300,40.31
"2012-03-05",42.27,42.88,41.7,42.75,2345400,40.85
"2012-03-06",42.26,42.72,41.79,41.99,2766600,40.13
"2012-03-07",41.82,43.26,41.82,42.55,2986800,40.66
"2012-03-08",43.1,43.83,42.55,43.64,5935100,41.7
"2012-03-09",43.67,44,43.14,43.9,2897700,41.95
"2012-03-12",43.75,43.89,43.05,43.78,3012200,41.84
"2012-03-13",43.91,44.32,43.63,44.04,4132800,42.09
"2012-03-14",44.11,44.37,43.69,43.91,2722400,41.96
"2012-03-15",44.04,44.42,43.5,43.9,2772200,41.95
"2012-03-16",44.24,44.4,43.61,44.19,3831100,42.23
"2012-03-19",44.11,44.95,44.09,44.55,1931400,42.57
"2012-03-20",44.33,44.33,43.67,43.79,2244400,41.85
"2012-03-21",43.77,44.02,43.25,43.68,2621700,41.74
"2012-03-22",43.15,43.7,42.92,43.37,3450000,41.45
"2012-03-23",43.26,44.36,43.2,44,2407400,42.05
"2012-03-26",44.76,45.35,44.44,45.21,4228000,43.2
"2012-03-27",45.3,45.39,43.97,44,3142400,42.05
"2012-03-28",43.75,43.92,43.14,43.56,3653900,41.63
"2012-03-29",43.16,43.48,42.9,43.24,2512500,41.32
"2012-03-30",43.53,43.99,43.27,43.36,3539200,41.44
"2012-04-02",43.39,43.69,43.01,43.44,4574900,41.51
"2012-04-03",43.47,43.56,42.01,42.4,6179100,40.52
"2012-04-04",42.11,42.66,41.76,42.59,3910700,40.7
"2012-04-05",42.27,42.93,41.79,42.13,2642400,40.26
"2012-04-09",41.61,42.78,41.61,42.46,2829500,40.58
"2012-04-10",42.35,42.63,41.78,41.83,3913900,39.97
"2012-04-11",42.29,42.32,41.34,41.51,3033400,39.67
"2012-04-12",41.42,42.61,41.22,41.76,6156700,39.91
"2012-04-13",41.7,42.15,41.47,41.62,2544300,39.77
"2012-04-16",40.78,41.16,39.97,40.01,5749000,38.24
"2012-04-17",40.23,40.85,39.99,39.99,3711500,38.22
"2012-04-18",39.8,39.99,39.43,39.86,3415400,38.09
"2012-04-19",39.98,40.45,39.58,39.74,2470800,37.98
"2012-04-20",39.85,40.21,39.67,39.9,2635700,38.13
"2012-04-23",39.21,40.19,39.16,40,2499400,38.23
"2012-04-24",40.08,40.4,39.89,40.26,1560900,38.47
"2012-04-25",40.56,40.77,39.71,40.11,1969200,38.33
"2012-04-26",40,40.77,39.94,40.65,1663700,38.85
"2012-04-27",41.02,41.65,40.99,41.29,2840100,39.46
"2012-04-30",41.46,41.99,41.31,41.61,3381800,39.76
"2012-05-01",42.73,42.87,41.04,41.21,4717100,39.38
"2012-05-02",41.14,41.87,40.95,41.49,2597300,39.65
"2012-05-03",41.47,41.5,40.13,40.36,3400000,38.57
"2012-05-04",40.09,40.34,39.35,39.74,3515800,37.98
"2012-05-07",39.43,39.95,39.27,39.66,3683300,37.9
"2012-05-08",39.59,39.59,38.2,38.52,3940400,36.81
"2012-05-09",38.01,38.61,37.93,38.21,3693900,36.51
"2012-05-10",38.17,39,38,38.2,3038800,36.51
"2012-05-11",38.04,38.06,37.13,37.21,3909300,35.56
"2012-05-14",36.5,36.75,35.7,35.82,4322400,34.46
"2012-05-15",35.85,36.19,35.19,35.3,3559900,33.96
"2012-05-16",35.48,36.21,34.87,35.27,3649900,33.93
"2012-05-17",35.28,35.77,34.87,34.87,3333900,33.55
"2012-05-18",35.05,35.59,34.44,34.92,5056500,33.6
"2012-05-21",34.95,36.1,34.86,35.96,2186600,34.6
"2012-05-22",36.1,36.52,35.16,35.39,2941800,34.05
"2012-05-23",35.13,35.48,34.4,35.42,2882800,34.08
"2012-05-24",35.61,35.8,35.2,35.8,2581100,34.44
"2012-05-25",35.63,37.04,35.63,36.88,3039500,35.48
"2012-05-29",37.14,37.38,36.83,37.23,3365600,35.82
"2012-05-30",36.84,36.95,36.3,36.58,2919500,35.19
"2012-05-31",36.7,36.73,35.28,36.07,3923000,34.7
"2012-06-01",35.36,35.73,35.04,35.24,2886900,33.9
"2012-06-04",35.22,35.47,33.65,34.28,3107800,32.98
"2012-06-05",34.28,35.35,34.26,35.2,2681800,33.87
"2012-06-06",35.62,37.06,35.53,36.32,2966000,34.94
"2012-06-07",37.09,38.05,36.79,37.24,3968400,35.83
"2012-06-08",36.94,37.4,36.62,37.36,2270700,35.94
"2012-06-11",37.92,38.36,37.34,37.88,3237500,36.44
"2012-06-12",37.88,39.32,37.87,39.07,4242700,37.59
"2012-06-13",38.8,38.96,38.29,38.76,3527200,37.29
"2012-06-14",38.87,39.64,38.69,39.4,1972500,37.91
"2012-06-15",38.97,40.19,38.97,40.15,4005200,38.63
"2012-06-18",39.89,40.02,39.06,39.84,3564400,38.33
"2012-06-19",40.19,41.2,39.75,40.87,3881800,39.32
"2012-06-20",41.69,42.85,41.42,42.8,6944700,41.18
"2012-06-21",42.9,42.98,41.13,41.33,4206400,39.76
"2012-06-22",41.71,41.92,40.88,41.79,6678700,40.21
"2012-06-25",41.47,41.47,40.33,41.34,2805600,39.77
"2012-06-26",41.34,42.81,41.32,42.55,3656600,40.94
"2012-06-27",42.75,42.84,41.94,42.52,2832800,40.91
"2012-06-28",42.26,44.25,42.05,44.19,4315900,42.52
"2012-06-29",44.91,45.35,44.03,44.92,5495000,43.22
"2012-07-02",45.6,46.52,44.88,46.07,3695300,44.32
"2012-07-03",46.36,46.36,45,45.36,3719000,43.64
"2012-07-05",45,45.1,44.12,44.2,4195600,42.52
"2012-07-06",43.7,44.55,43.33,44.51,2356500,42.82
"2012-07-09",44.55,44.55,43.97,44.39,2794200,42.71
"2012-07-10",44.66,44.98,43.81,43.99,2699900,42.32
"2012-07-11",44.11,44.97,43.58,44.38,3544600,42.7
"2012-07-12",43.29,43.76,42.6,43.43,4693500,41.78
"2012-07-13",43.68,45.03,43.44,44.95,4323600,43.25
"2012-07-16",44.76,44.95,44.26,44.85,2718800,43.15
"2012-07-17",45.02,45.63,44.55,45.45,3454800,43.73
"2012-07-18",45.26,47.15,45.26,46.83,3367900,45.06
"2012-07-19",46.95,47.48,45.34,45.51,3976900,43.79
"2012-07-20",45.37,45.73,45.06,45.56,1686600,43.83
"2012-07-23",44.85,46.09,44.59,45.86,2378100,44.12
"2012-07-24",45.66,45.85,43.62,44.44,3761900,42.76
"2012-07-25",44.72,44.84,44.14,44.51,2354100,42.82
"2012-07-26",45.31,46.16,45.08,45.82,2588200,44.08
"2012-07-27",45.78,47.09,45.78,47.04,2542400,45.26
"2012-07-30",46.84,47.94,46.2,47.47,2677800,45.67
"2012-07-31",47.4,48.88,46.78,47.3,4747700,45.51
