"","TRIP.Open","TRIP.High","TRIP.Low","TRIP.Close","TRIP.Volume","TRIP.Adjusted"
"2012-05-24",45.04,45.32,44.25,44.4,1650000,44.4
"2012-05-25",44.53,45.23,44.52,45,2139200,45
"2012-05-29",45.8,45.8,44.39,45.26,1567700,45.26
"2012-05-30",44.88,44.88,42.71,43.16,2061700,43.16
"2012-05-31",43.48,43.85,42.14,42.88,2499100,42.88
"2012-06-01",41.61,41.8,39.92,41.02,2355900,41.02
"2012-06-04",41.16,41.62,40.12,41.49,1525100,41.49
"2012-06-05",41.21,42.21,40.44,41.09,1301600,41.09
"2012-06-06",40.86,43.81,40.86,42.99,2165700,42.99
"2012-06-07",44,44,41.59,41.67,1862200,41.67
"2012-06-08",42.01,43.15,41.56,43.02,1976700,43.02
"2012-06-11",44.46,44.86,42.53,42.94,2273900,42.94
"2012-06-12",43.04,45.07,42.8,45.02,2116600,45.02
"2012-06-13",44.49,45.31,43.31,43.43,1474300,43.43
"2012-06-14",43.63,44.57,42.7,44.05,957000,44.05
"2012-06-15",44.18,44.45,43.5,44.38,1995900,44.38
"2012-06-18",44.14,45.41,43.77,44.91,1449000,44.91
"2012-06-19",45,45.12,43.63,44.24,1842000,44.24
"2012-06-20",44.1,44.1,42.74,43.29,1370100,43.29
"2012-06-21",43.53,43.85,42.35,43.01,977800,43.01
"2012-06-22",43.46,46.09,43.37,45.53,3595400,45.53
"2012-06-25",44.76,45.39,43.98,44.07,1158500,44.07
"2012-06-26",44.05,44.88,43.95,44.01,890600,44.01
"2012-06-27",44.36,45.35,43.88,44.42,996800,44.42
"2012-06-28",43.97,44.26,42.18,43.58,1209500,43.58
"2012-06-29",44.74,46.3,44.13,44.69,1908900,44.69
"2012-07-02",44.73,47,44.72,46,1814900,46
"2012-07-03",46.02,46.17,44.7,46.05,562800,46.05
"2012-07-05",46.09,47.44,45.71,46.27,1517900,46.27
"2012-07-06",45.84,46.54,45.36,46.36,887100,46.36
"2012-07-09",46.27,46.69,44.95,45.44,926100,45.44
"2012-07-10",45.7,45.81,43.76,44.76,1248500,44.76
"2012-07-11",44.96,45.47,43.98,44.28,923100,44.28
"2012-07-12",43.79,44.54,43.26,43.88,1544400,43.88
"2012-07-13",44.01,46.95,43.49,45.85,2290500,45.85
"2012-07-16",45.91,46.24,44.44,46.15,1010600,46.15
"2012-07-17",47,47.03,45.37,45.52,1760700,45.52
"2012-07-18",45.28,46.07,45.28,45.42,815300,45.42
"2012-07-19",45.42,47.81,44.75,45.1,2613600,45.1
"2012-07-20",45.33,46.4,44.81,44.9,2210600,44.9
"2012-07-23",44.15,46.01,43.06,45.61,2383600,45.61
"2012-07-24",46.25,46.38,43.14,43.47,6151600,43.47
"2012-07-25",36.13,37.45,35.01,36.18,9251500,36.18
"2012-07-26",36.77,37.01,34.03,35.04,6637500,35.04
"2012-07-27",35.57,36.63,35.12,35.41,3029600,35.41
"2012-07-30",35.52,36.18,35.25,36.01,2592100,36.01
"2012-07-31",36.17,37.6,35.99,37.41,3158500,37.41
"2012-08-01",37.47,37.82,36.31,36.57,2856800,36.57
"2012-08-02",36.2,37.5,35.58,36.21,1661900,36.21
"2012-08-03",36.57,37.03,35.91,36.68,2291800,36.68
"2012-08-06",36.67,38.39,36.5,38.01,1985700,38.01
"2012-08-07",38.45,39,38.24,38.66,2066600,38.66
"2012-08-08",37.08,37.69,36.1,36.77,4031900,36.77
"2012-08-09",36.92,37.12,36.1,36.18,1646400,36.18
"2012-08-10",36.26,36.54,35.05,35.1,3806700,35.1
"2012-08-13",35.27,35.29,32.8,33.52,9384300,33.52
"2012-08-14",33.76,33.93,32.28,33.16,5752700,33.16
"2012-08-15",33.2,34.72,32.51,33.96,4098600,33.96
"2012-08-16",33.89,34.3,33.14,33.85,1992300,33.85
"2012-08-17",33.66,33.74,32.37,33.45,3050900,33.45
"2012-08-20",33.27,33.95,32.76,33.84,1842900,33.84
"2012-08-21",33.96,34.75,33.71,34.05,2442900,34.05
"2012-08-22",33.84,34.27,33.51,33.94,1716500,33.94
"2012-08-23",33.73,34.12,33.48,33.54,2111800,33.54
"2012-08-24",34.5,34.7,33.29,34.05,5589400,34.05
"2012-08-27",34.29,34.34,33.89,33.97,737100,33.97
"2012-08-28",33.88,34.44,33.63,34.26,2563100,34.26
"2012-08-29",34.13,34.38,33.34,34.21,1701900,34.21
"2012-08-30",34.13,34.33,33.63,33.71,976400,33.71
"2012-08-31",33.98,34.26,33.28,33.44,1273500,33.44
"2012-09-04",33.5,34.66,33.19,34.65,2225000,34.65
"2012-09-05",34.61,35.92,34.6,35.4,2694000,35.4
"2012-09-06",35.39,36.25,35.33,35.45,2343700,35.45
"2012-09-07",35.46,35.78,35.23,35.61,1156100,35.61
"2012-09-10",35.53,35.96,35.25,35.29,913100,35.29
"2012-09-11",35.16,35.82,34.99,35.38,1408700,35.38
"2012-09-12",35.58,35.95,35.11,35.25,1176700,35.25
"2012-09-13",35.35,36.7,35.05,36.34,1885000,36.34
"2012-09-14",36.47,36.97,36.02,36.06,2209100,36.06
"2012-09-17",36.07,36.29,35.64,35.81,1526000,35.81
"2012-09-18",35.81,36.19,34.7,34.73,2077900,34.73
"2012-09-19",34.96,35.19,34,34.9,1784000,34.9
"2012-09-20",34.84,34.85,33.82,34.48,1981700,34.48
"2012-09-21",34.31,35.07,34.15,34.53,4039400,34.53
"2012-09-24",34.53,34.53,33.47,33.7,2424400,33.7
"2012-09-25",33.75,34.44,33.7,33.74,2135900,33.74
"2012-09-26",33.85,34.09,33.05,33.24,1886400,33.24
"2012-09-27",32.39,34.07,31.71,33.42,3641000,33.42
"2012-09-28",33.38,33.4,32.57,32.93,2988400,32.93
"2012-10-01",33.23,33.27,31.7,31.94,3920200,31.94
"2012-10-02",32,32.66,31.8,32.39,1951800,32.39
"2012-10-03",32.41,32.77,31.99,32.12,2502900,32.12
"2012-10-04",32.64,33.45,32.15,33.4,1924400,33.4
"2012-10-05",33.51,34.18,33.33,33.49,2723000,33.49
"2012-10-08",33.28,34.16,33.15,33.57,1463000,33.57
"2012-10-09",33.36,33.44,32.45,32.52,2518400,32.52
"2012-10-10",32.77,32.8,32.13,32.22,1935300,32.22
"2012-10-11",32.68,32.68,30.97,31.15,3091000,31.15
"2012-10-12",30.72,31.41,30.44,31.22,3370900,31.22
"2012-10-15",31.28,31.58,31.23,31.49,1787000,31.49
"2012-10-16",31.69,31.9,31.14,31.18,1981800,31.18
"2012-10-17",31.13,31.13,30.55,31.09,3058100,31.09
"2012-10-18",31.24,31.29,30.26,30.57,2785700,30.57
"2012-10-19",30.4,30.48,29.06,29.93,3519600,29.93
"2012-10-22",29.85,30.72,29.81,30.7,1389400,30.7
"2012-10-23",30.14,31.84,30.13,31.5,2252900,31.5
"2012-10-24",31.59,31.81,31.08,31.4,2110400,31.4
"2012-10-25",31.61,31.65,30.45,30.78,2024700,30.78
"2012-10-26",32.15,32.33,29.36,30.27,7092100,30.27
"2012-10-31",30.73,30.99,29.7,30.29,5069300,30.29
"2012-11-01",30.48,30.49,28.63,29.41,7728700,29.41
"2012-11-02",35.01,35.95,34.64,35.12,12211100,35.12
"2012-11-05",34.7,34.99,34.14,34.45,2430600,34.45
"2012-11-06",34.43,34.5,33.7,33.83,2094800,33.83
"2012-11-07",34.01,34.42,32.95,34,3693500,34
"2012-11-08",33.89,34.47,33.71,34.17,2536900,34.17
"2012-11-09",33.72,35.04,32.5,34.31,4891400,34.31
"2012-11-12",35.48,35.89,34.88,34.98,2787300,34.98
"2012-11-13",34.7,35.67,34.31,35.54,1738900,35.54
"2012-11-14",35.09,36.35,35.09,35.64,2583300,35.64
"2012-11-15",35.69,36.99,35.5,36.6,4309200,36.6
"2012-11-16",36.54,38.7,36.51,38.03,4298900,38.03
"2012-11-19",38.4,39.32,38.08,38.16,2747700,38.16
"2012-11-20",38.09,38.39,37.05,37.28,2253600,37.28
"2012-11-21",37.48,37.68,36.89,37.4,1836700,37.4
"2012-11-23",37.64,38,36.96,38,581900,38
"2012-11-26",38,38.09,37.46,37.91,767700,37.91
"2012-11-27",38.03,38.04,37.39,37.77,702500,37.77
"2012-11-28",37.63,37.97,37.16,37.9,990700,37.9
"2012-11-29",37.96,38.21,37.55,37.87,1845200,37.87
"2012-11-30",37.89,39.07,37.62,38.19,2961200,38.19
"2012-12-03",38.24,38.38,37.5,37.7,3229000,37.7
"2012-12-04",37.66,37.76,35.96,37.53,3610800,37.53
"2012-12-05",37.35,38.96,37.35,38.37,2426400,38.37
"2012-12-06",38.5,39.34,38.23,39.29,1858800,39.29
"2012-12-07",39.1,39.69,38.35,38.59,1496700,38.59
"2012-12-10",39.58,39.89,37.91,38.39,1933400,38.39
"2012-12-11",47,47,40.64,40.91,12177200,40.91
"2012-12-12",41.05,42.89,40.61,42.65,6426300,42.65
"2012-12-13",42.91,43.15,42.02,42.71,3991100,42.71
"2012-12-14",42.76,42.77,41.4,41.67,2446900,41.67
"2012-12-17",41.86,43.65,41.31,43.45,4647900,43.45
"2012-12-18",43.01,44.29,42.92,42.98,5502200,42.98
"2012-12-19",43.1,44.29,42.85,43.41,1986500,43.41
"2012-12-20",43.49,43.74,42.89,42.97,2640100,42.97
"2012-12-21",42.79,42.79,41.48,41.97,2444900,41.97
"2012-12-24",43.25,44.1,42.13,42.25,1264100,42.25
"2012-12-26",42.3,42.45,41.55,41.8,793200,41.8
"2012-12-27",41.85,42.04,41.29,41.93,785000,41.93
"2012-12-28",41.73,41.98,41.29,41.34,653400,41.34
"2012-12-31",41.34,42.27,40.88,41.92,2324700,41.92
"2013-01-02",42.94,44.17,42.8,44.16,2106600,44.16
"2013-01-03",44.09,44.5,43.45,43.91,1770400,43.91
"2013-01-04",44.01,44.16,43.4,44.12,1052300,44.12
"2013-01-07",44.03,45.33,43.75,45.12,1823800,45.12
"2013-01-08",44.85,45.45,44.27,44.72,2192300,44.72
"2013-01-09",44.77,45.2,44.29,44.33,1261400,44.33
"2013-01-10",44.38,44.6,42.77,43.49,2677000,43.49
"2013-01-11",43.65,44,43.5,43.98,990200,43.98
"2013-01-14",43.89,44.33,43.46,44.15,957100,44.15
"2013-01-15",44.14,44.3,43.36,44.15,959400,44.15
"2013-01-16",44.05,44.2,43.49,43.97,1241700,43.97
"2013-01-17",43.98,44.57,43.53,44.09,1399900,44.09
"2013-01-18",44.16,44.17,43.17,43.68,1901400,43.68
"2013-01-22",43.59,44.38,43.31,44.32,1148900,44.32
"2013-01-23",44.41,44.95,44.2,44.84,1236500,44.84
"2013-01-24",44.78,45.72,44.59,44.82,1029100,44.82
"2013-01-25",44.94,46.05,44.76,45.96,1657100,45.96
"2013-01-28",46.34,47.77,46.02,46.5,2428300,46.5
"2013-01-29",46.42,46.55,45.65,45.9,1610000,45.9
"2013-01-30",46.1,46.29,45.16,45.52,1364200,45.52
"2013-01-31",45.43,46.34,45.07,46.28,1284700,46.28
"2013-02-01",46.29,46.57,45.63,46.3,1772500,46.3
"2013-02-04",46.09,46.78,45.56,45.64,1279400,45.64
"2013-02-05",45.86,46.91,45.7,46.84,1237400,46.84
"2013-02-06",47.05,49.35,46.82,47,4129900,47
"2013-02-07",47.02,47.03,45.66,46.85,1991500,46.85
"2013-02-08",46.82,47.42,46.48,47.02,913400,47.02
"2013-02-11",47.13,47.2,46,46.23,1232200,46.23
"2013-02-12",46.22,46.87,45.84,46.66,1813200,46.66
"2013-02-13",46.79,47.78,46.64,46.9,2629000,46.9
"2013-02-14",42.58,44.86,42.04,43.55,7033500,43.55
"2013-02-15",43.6,45.42,43.5,44.42,2817100,44.42
"2013-02-19",44.49,44.49,43.31,43.52,1607100,43.52
"2013-02-20",43.53,43.55,42.68,42.76,1231100,42.76
"2013-02-21",42.2,43.47,42.2,42.94,1498600,42.94
"2013-02-22",43.11,44.09,42.9,43.85,1986000,43.85
"2013-02-25",44.13,44.77,43.5,43.64,1846900,43.64
"2013-02-26",43.68,44.21,43.44,43.73,1138100,43.73
"2013-02-27",44.15,45.56,44.1,45.27,2194800,45.27
"2013-02-28",45.24,45.74,44.58,45.54,1993300,45.54
"2013-03-01",45.42,45.94,44.59,45.62,2159200,45.62
"2013-03-04",45.42,45.66,44.75,45.51,1841700,45.51
"2013-03-05",45.79,47.84,45.65,47.68,2586800,47.68
"2013-03-06",48,50.88,47.9,48.63,4827100,48.63
"2013-03-07",48.59,51.15,48.1,50.59,3630400,50.59
"2013-03-08",50.77,51.34,50.56,51.03,1531800,51.03
"2013-03-11",51.09,51.63,50.26,51.4,1223200,51.4
"2013-03-12",51.34,51.61,50.61,51.15,1781400,51.15
"2013-03-13",51.14,52.61,50.77,52.39,2037600,52.39
"2013-03-14",52.5,53.41,52.13,52.59,1482400,52.59
"2013-03-15",52.47,53.73,52.23,52.4,2655900,52.4
"2013-03-18",52.12,53.41,51.7,52.43,1098100,52.43
"2013-03-19",52.51,53.35,51.57,52.3,1256300,52.3
"2013-03-20",52.47,53.45,52.47,53.24,1319000,53.24
"2013-03-21",52.56,53,51.64,51.75,2136400,51.75
"2013-03-22",52.06,52.58,51.96,52.5,1077200,52.5
"2013-03-25",52.93,53.5,52.13,52.24,901400,52.24
"2013-03-26",53.22,53.22,51.93,52.44,1256100,52.44
"2013-03-27",52.03,52.73,51.36,52.2,896700,52.2
"2013-03-28",52.24,52.9,52.14,52.52,1034300,52.52
"2013-04-01",52.53,54.14,51.48,51.7,1695700,51.7
"2013-04-02",51.75,51.75,50.13,50.51,2715200,50.51
"2013-04-03",50.62,50.62,48.75,49.11,2461100,49.11
"2013-04-04",48.87,49.8,48.65,49.52,1364800,49.52
"2013-04-05",49.03,49.51,48.29,48.88,1439900,48.88
"2013-04-08",48.86,49.48,48.27,48.68,1272600,48.68
"2013-04-09",48.7,49.04,48.18,48.29,1314600,48.29
"2013-04-10",48.66,50.18,48.41,50.07,2281300,50.07
"2013-04-11",50.18,52.35,50.11,51.89,1987700,51.89
"2013-04-12",51.85,52.69,51.6,52.49,1101900,52.49
"2013-04-15",52.82,53.5,51.1,51.56,3201700,51.56
"2013-04-16",51.9,52.97,51.85,52.94,1565600,52.94
"2013-04-17",52.14,52.54,51.08,52.17,1698500,52.17
"2013-04-18",52.19,52.45,50.95,51.35,1214400,51.35
"2013-04-19",51.23,51.82,50.62,51.09,779400,51.09
"2013-04-22",51.29,51.55,50.34,51.09,742900,51.09
"2013-04-23",51.41,52.55,51.37,52.3,789600,52.3
"2013-04-24",52.11,52.61,51,51.34,1115500,51.34
"2013-04-25",51.33,53.39,51.3,53.01,2121800,53.01
"2013-04-26",53.75,54.8,52.83,53.72,3038000,53.72
"2013-04-29",53.69,54,52.25,53.07,1898200,53.07
"2013-04-30",53.07,53.5,52.38,52.58,1842600,52.58
"2013-05-01",52.53,53,51.88,52.11,1115600,52.11
"2013-05-02",51.9,53.54,51.9,53.51,1271900,53.51
"2013-05-03",54.21,55.64,54,55.3,2378100,55.3
"2013-05-06",55.26,55.55,54.83,55.17,1972600,55.17
"2013-05-07",55.94,56.8,54.07,55.01,2896000,55.01
"2013-05-08",53.34,54.57,51.72,52.49,4386200,52.49
"2013-05-09",52.58,53.1,51.76,51.99,2300900,51.99
"2013-05-10",52.19,54.3,52.15,53.84,2088300,53.84
"2013-05-13",53.68,55.31,53.29,54.79,1785500,54.79
"2013-05-14",55.04,58.38,54.81,58.01,3802200,58.01
"2013-05-15",58,60.26,57.91,59.36,2893500,59.36
"2013-05-16",59.53,60.39,58.65,59.03,2265700,59.03
"2013-05-17",59.64,60.48,59.25,59.88,2675400,59.88
"2013-05-20",60.07,63.01,59.9,62.63,3039500,62.63
"2013-05-21",62.7,63.22,61.89,62.34,1773600,62.34
"2013-05-22",62.26,63.57,61,61.51,2051300,61.51
"2013-05-23",61.06,62.55,59.07,62.06,1479600,62.06
"2013-05-24",61.73,62.02,60.8,61.69,1454600,61.69
"2013-05-28",62.57,64.37,62.01,64.3,2532800,64.3
"2013-05-29",63.97,64.9,63.12,63.56,1783600,63.56
"2013-05-30",63.77,64.1,63.14,63.99,1248400,63.99
"2013-05-31",63.92,65.41,63.76,64.49,6723400,64.49
"2013-06-03",63.15,63.73,60.93,62.06,4068800,62.06
"2013-06-04",62.43,63.91,61.81,62.19,2868300,62.19
"2013-06-05",62.18,62.69,61.25,61.52,1026700,61.52
"2013-06-06",61.71,62.03,60.73,62.03,1486300,62.03
"2013-06-07",62.62,64.17,62.4,64.05,1090300,64.05
"2013-06-10",64.17,64.49,63.57,64.31,932000,64.31
"2013-06-11",63.95,65.1,63.42,63.86,907900,63.86
"2013-06-12",64.48,64.82,63.18,63.18,1419100,63.18
"2013-06-13",63.59,64.54,63.2,64.51,1208100,64.51
"2013-06-14",64.38,64.84,63.67,63.75,1244100,63.75
"2013-06-17",64.18,65.04,63.6,64.36,2113900,64.36
"2013-06-18",64.19,65.2,63.72,63.85,1659700,63.85
"2013-06-19",63.41,64.85,63.37,63.77,973200,63.77
"2013-06-20",62.7,63.69,61.32,61.52,1496600,61.52
"2013-06-21",61.86,62.29,60.1,60.28,2821800,60.28
"2013-06-24",59.48,61.23,58.74,60.68,1454700,60.68
"2013-06-25",61.12,61.83,60.79,61.53,926900,61.53
"2013-06-26",62.35,63.02,60.76,61.91,2344800,61.91
"2013-06-27",62.17,62.72,60.55,60.84,2360100,60.84
"2013-06-28",60.76,61.56,60.47,60.87,4314600,60.87
"2013-07-01",61.45,61.78,60.11,61.07,2544100,61.07
"2013-07-02",60.91,61.13,60,60.23,1817200,60.23
"2013-07-03",59.61,60.85,59.54,60.79,1203400,60.79
"2013-07-05",60.85,61.74,60.37,61.7,1602300,61.7
"2013-07-08",62,63.47,61.88,63.16,2060600,63.16
"2013-07-09",63.54,63.75,62.24,62.74,1302200,62.74
"2013-07-10",62.74,63.01,60.52,61.93,1746900,61.93
"2013-07-11",62.34,62.56,59.74,60.44,2705300,60.44
"2013-07-12",60.33,61.49,60.11,61.05,1265400,61.05
"2013-07-15",61.35,61.35,60.09,60.45,807800,60.45
"2013-07-16",60.67,60.95,59.85,60.62,1416200,60.62
"2013-07-17",60.94,61.34,60.2,61.09,1037200,61.09
"2013-07-18",61.61,62.97,61.5,62.27,1269600,62.27
"2013-07-19",62.37,62.39,60.25,60.62,1249000,60.62
"2013-07-22",61.11,61.27,60.27,60.65,1283900,60.65
"2013-07-23",60.98,61.29,60.03,60.66,1400000,60.66
"2013-07-24",60.6,62.15,60.41,61.14,2704000,61.14
"2013-07-25",69.88,72.26,68.71,71.1,5496900,71.1
"2013-07-26",70.46,74.86,70.46,73.95,2980500,73.95
"2013-07-29",73.49,74.74,72.01,73.29,1308600,73.29
"2013-07-30",73.94,74.66,73.27,73.27,1014200,73.27
"2013-07-31",73.71,76.2,73.59,75.02,1814400,75.02
"2013-08-01",75.78,76.93,75.14,75.89,1193400,75.89
"2013-08-02",75.9,76.27,74.92,75.79,1053300,75.79
"2013-08-05",75.96,78.04,75.83,78.01,1008500,78.01
"2013-08-06",78.2,80.69,77.43,79.28,2520200,79.28
"2013-08-07",78.89,78.99,76.33,77.99,1352900,77.99
"2013-08-08",78.55,80.54,78.48,79.71,1081300,79.71
"2013-08-09",80.9,81.49,80.01,80.94,1429000,80.94
"2013-08-12",80.76,82.19,80.03,81.26,1113800,81.26
"2013-08-13",81.5,81.7,79.68,80.96,933200,80.96
"2013-08-14",80.61,81.99,72.88,73.55,6889900,73.55
"2013-08-15",71.53,72.16,69.56,70.52,4459600,70.52
"2013-08-16",70.29,72.48,69.19,70.99,2405000,70.99
"2013-08-19",71.15,72.29,69.22,69.26,1408300,69.26
"2013-08-20",69.36,70.2,68.84,69.81,1230000,69.81
"2013-08-21",69.49,71.25,69.42,70.2,1022100,70.2
"2013-08-22",70.39,71.43,70,71.21,869700,71.21
"2013-08-23",71.65,72.62,70.91,71.87,1225200,71.87
"2013-08-26",71.72,72.64,71.5,72.25,1137200,72.25
"2013-08-27",71.21,71.78,70.6,71.08,1403400,71.08
"2013-08-28",71.51,73.16,71.16,72.52,1119500,72.52
"2013-08-29",72.32,74.61,71.28,74.18,1009100,74.18
"2013-08-30",74.64,74.67,72.6,73.97,1054000,73.97
"2013-09-03",74.9,75.31,72.76,73.82,1132500,73.82
"2013-09-04",74.02,74.96,73.32,74.74,602600,74.74
"2013-09-05",74.61,75.73,74.17,74.67,1000800,74.67
