"","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2007-04-17",64.36,64.36,63.46,64.19,728100,29.47
"2007-04-18",64.19,64.19,63.65,64.04,441900,29.4
"2007-04-19",64.04,64.07,63.65,64.06,707800,29.41
"2007-04-20",64.76,64.86,64,64.41,768000,29.57
"2007-04-23",64.42,64.42,63.97,64.19,346800,29.47
"2007-04-24",64.1,64.25,63.71,64.02,738600,29.39
"2007-04-25",64.27,64.76,63.71,64.18,681600,29.47
"2007-04-26",64.08,64.45,63.81,64.14,474300,29.45
"2007-04-27",63.9,64.41,63.65,64.1,438600,29.43
"2007-04-30",64.1,64.61,63.73,63.93,851400,29.35
"2007-05-01",64.1,64.63,63.76,64.25,559200,29.5
"2007-05-02",64.21,64.77,64.02,64.4,384600,29.57
"2007-05-03",64.41,64.86,64.13,64.69,515400,29.7
"2007-05-04",64.77,64.89,63.94,64.28,845200,29.51
"2007-05-07",64.45,64.77,64.27,64.65,379200,29.68
"2007-05-08",64.58,64.73,63.99,64.19,656200,29.47
"2007-05-09",64.43,65.48,64.3,65.36,731800,30.01
"2007-05-10",65.26,65.26,64.28,64.41,883600,29.57
"2007-05-11",64.75,64.77,64.14,64.58,641200,29.65
"2007-05-14",64.58,65.62,64.58,65.41,844800,30.03
