"","AVB.Open","AVB.High","AVB.Low","AVB.Close","AVB.Volume","AVB.Adjusted"
"2007-05-18",118.01,118.21,115.38,116.29,834300,87.78
"2007-05-21",116.29,118.98,115.84,117.34,755500,88.58
"2007-05-22",117.6,119.52,117.2,118.75,642800,89.64
"2007-05-23",119.95,120.72,118.23,118.38,826600,89.36
"2007-05-24",118.2,118.51,114.05,115.74,1143300,87.37
"2007-05-25",116.05,120.59,116.04,118.9,1333800,89.75
"2007-05-29",122,128.02,122,127.1,2272700,95.94
"2007-05-30",128,134.65,126.81,132.93,2615200,100.34
"2007-05-31",133.76,133.99,129.05,130.39,1356700,98.43
"2007-06-01",130.4,131.02,127.78,129.41,578000,97.69
"2007-06-04",129.52,132.34,129.23,131.46,1078700,99.23
"2007-06-05",131.46,132.08,129.1,129.12,975000,97.47
"2007-06-06",127.5,128.4,125.61,126.99,786200,95.86
"2007-06-07",125.8,126.99,122.17,122.54,1558400,92.5
"2007-06-08",123.25,124.69,121.63,124.5,743900,93.98
"2007-06-11",124.51,125.3,122.68,122.84,653200,92.73
"2007-06-12",122.83,122.83,120.47,120.89,923000,91.26
"2007-06-13",121.52,129.58,120.83,128.96,3395600,97.35
"2007-06-14",127.9,129.36,126.55,127.69,1062900,96.39
"2007-06-15",129,130.54,128.45,129.5,841700,97.76
"2007-06-18",125.75,129.01,125.33,126.83,796300,95.74
"2007-06-19",126.84,128.42,125.24,128.42,585100,96.94
"2007-06-20",128.62,129.5,122.91,122.94,1285200,92.8
"2007-06-21",121.75,123.04,116.83,121.58,1556100,91.78
"2007-06-22",120.5,121.98,119.8,121.02,1192900,91.35
"2007-06-25",120.5,122,118.71,119.66,1271200,90.33
"2007-06-26",119.85,120.98,116.48,118.01,944200,89.08
"2007-06-27",116.7,121.61,114.92,121.39,1376400,92.3
"2007-06-28",120.36,122.68,118.91,119.52,932500,90.88
"2007-06-29",119.82,121.88,117.79,118.88,1008300,90.39
"2007-07-02",118.88,122.45,118.43,122.33,825300,93.01
"2007-07-03",123.3,124.31,121.54,122.33,438600,93.01
"2007-07-05",124.3,128.46,123.75,125,832700,95.04
"2007-07-06",125,125.14,123.03,124.34,506900,94.54
"2007-07-09",124.73,124.85,122,123.19,530100,93.67
"2007-07-10",121.96,122.51,119.05,119.8,1098500,91.09
"2007-07-11",118.95,119.85,117.78,119.14,801400,90.59
"2007-07-12",119.6,121.18,118.68,121.18,667200,92.14
"2007-07-13",120.8,122.83,119.62,122.73,405600,93.32
"2007-07-16",122.86,124.56,121.83,121.85,481900,92.65
"2007-07-17",122.33,123.36,120.24,120.92,552500,91.94
"2007-07-18",120.22,120.22,116.65,119.58,889600,90.92
"2007-07-19",120.53,120.79,119.25,119.7,518900,91.01
"2007-07-20",119.58,119.58,115.68,116.8,795600,88.81
"2007-07-23",117.25,117.99,115.15,115.25,724700,87.63
"2007-07-24",114.41,116,111.92,112.35,838300,85.42
"2007-07-25",114.06,114.75,109.61,111.97,950100,85.14
"2007-07-26",110.21,111.56,105.95,109.18,1417400,83.01
"2007-07-27",106.02,112.34,106.02,107.01,1723400,81.36
"2007-07-30",107.01,109.04,105.91,108.49,1002600,82.49
"2007-07-31",109.5,111.03,107.09,107.97,1026900,82.09
"2007-08-01",108.4,113.84,106.7,113.54,1782500,86.33
"2007-08-02",113.54,115.4,112.26,114.39,1470900,86.98
"2007-08-03",114.4,114.47,109.03,109.77,1424900,83.46
"2007-08-06",104.59,111.68,104.46,111.68,1306300,84.92
"2007-08-07",110.51,117.59,109.92,116.34,1657300,88.46
"2007-08-08",117.4,120.6,116.98,120.41,1367600,91.55
"2007-08-09",117.2,126.9,112.86,120.42,1540500,91.56
"2007-08-10",118.57,119.81,115.6,115.85,1334500,88.09
"2007-08-13",116.4,116.9,112.25,112.25,870300,85.35
"2007-08-14",111.69,112.81,107.69,107.69,1094800,81.88
"2007-08-15",107.45,112,105.71,106.01,1061000,80.6
"2007-08-16",103.9,112.84,103.48,112.35,2283900,85.42
"2007-08-17",121,123.95,108.88,113.64,1784800,86.41
"2007-08-20",113.31,118.17,112.59,115.52,1200300,87.83
"2007-08-21",114.42,117.72,114.42,117.53,926000,89.36
"2007-08-22",118.22,118.58,115.25,115.98,686300,88.18
"2007-08-23",115.86,117.3,114.11,115.25,613700,87.63
"2007-08-24",114.29,115.75,113.58,114.26,505600,86.88
"2007-08-27",114.41,114.99,112.3,112.43,379100,85.49
"2007-08-28",112.05,112.3,109.58,109.58,893500,83.32
"2007-08-29",110.4,111.88,109.6,111.88,519000,85.07
"2007-08-30",111.25,115.44,110.4,112.56,716500,85.58
"2007-08-31",114.32,115.89,112.75,114.38,725600,86.97
"2007-09-04",114.06,117.4,113.12,116.13,578000,88.3
"2007-09-05",114.55,115.57,112.96,113.29,673800,86.14
"2007-09-06",113.57,114.2,112.53,113.55,409300,86.34
"2007-09-07",111.14,112.75,110.12,111.13,659100,84.5
"2007-09-10",113.04,114.8,110.2,110.81,775400,84.25
"2007-09-11",110.9,113.55,110.9,113.18,684000,86.06
"2007-09-12",113.11,115,111.61,114.45,424200,87.02
"2007-09-13",115.59,118.57,115.03,116.66,812000,88.7
